Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24)
3.536322141533058e-11,0.002217192533333333,0.0915567593028733,0.0,0.006473831849291297,0.45151699800911266,1.238343852887688e-15,0.45690050727078113,5.2388499148321727e-23,9.124532434181901e-34,1.7502364758418493e-18,1.3601780132868423e-34,1.3715977669526765e-54,5.126069397463471e-05,1.2089172355598404e-11,4.748996101685607e-24,3.0228221513565444e-26,1.2087934011798859e-11,1.0505815691492621e-07,3.8185109967829e-24,2.4785728234744844e-17,1.9678307115293352e-17,3.477795970143441e-26,1.4388634449287734e-30,7.10685647063887e-36,1.2552460243806396e-35,6.9248376393454e-40,7.445004836356462e-82
3.5622501342480243e-11,0.002217192533333333,0.0915567593028733,0.0,0.006473468997609189,0.4515168165811153,1.2565194713121751e-15,0.4569005072751815,5.329699287827711e-23,9.46532936930066e-34,1.8011164876011215e-18,1.4403582497055364e-34,1.4745978130256238e-54,5.162354996928218e-05,1.2177112011337868e-11,4.7564269200724774e-24,3.096182243526329e-26,1.217585549192073e-11,1.0505366851284998e-07,3.9045294467722055e-24,2.5132164405053144e-17,1.9956971936377096e-17,3.5786561255109126e-26,1.4925980392029502e-30,7.416980614907573e-36,1.31058259294903e-35,7.387599990043307e-40,8.063509590623626e-82
3.588178126962991e-11,0.002217192533333333,0.0915567593028733,0.0,0.00647310640110858,0.45151663528066716,1.2748267872624377e-15,0.456900507279665,5.421332233081088e-23,9.81623304924108e-34,1.8530715628249124e-18,1.5246137152935536e-34,1.5844872274635246e-54,5.198615086544442e-05,1.2265041809972805e-11,4.763846243837232e-24,3.1707785257583826e-26,1.2263766983240555e-11,1.0504909711859898e-07,3.9918442948698275e-24,2.5480556983107528e-17,2.0237367130110825e-17,3.6816393640411757e-26,1.5479258786526188e-30,7.73815880034223e-36,1.367914712791654e-35,7.877507472556579e-40,8.728281032722404e-82
3.6141061196779575e-11,0.002217192533333333,0.0915567593028733,0.0,0.006472744061094253,0.45151645410842334,1.2932657855480848e-15,0.45690050728422626,5.513750083982834e-23,1.017746610142361e-33,1.9061156555928133e-18,1.6131186165781079e-34,1.701670858687331e-54,5.234849535314778e-05,1.235296175898614e-11,4.771254595584168e-24,3.246623208680789e-26,1.2351668493256447e-11,1.0504444792069444e-07,4.0804654994132274e-24,2.5830894649476872e-17,2.0519486571095174e-17,3.78677302896012e-26,1.6048820446374305e-30,8.070696606674352e-36,1.427298286725983e-35,8.39593257214035e-40,9.442401867432913e-82
3.640034112392924e-11,0.002217192533333333,0.0915567593028733,0.0,0.006472381978867215,0.45151627306503656,1.3118364509900475e-15,0.45690050728886056,5.60695417480916e-23,1.054925435546025e-33,1.9602627739959558e-18,1.7060531989268165e-34,1.826574083535446e-54,5.27105821265038e-05,1.2440871865895014e-11,4.7786524586735826e-24,3.323728523262005e-26,1.2439560029500728e-11,1.0503972579998278e-07,4.170403018766977e-24,2.618316604518717e-17,2.0803324105197078e-17,3.894084564963649e-26,1.6635021225934158e-30,8.414905578039964e-36,1.4887903240260413e-35,8.944306110621565e-40,1.020913525471076e-81
3.665962105107891e-11,0.002217192533333333,0.0915567593028733,0.0,0.006472020155724662,0.45151609215115796,1.3305387684206302e-15,0.45690050729356313,5.700945840253423e-23,1.0931826863712782e-33,2.015526979281002e-18,1.8036039064512668e-34,1.9596436834304357e-54,5.30724098837256e-05,1.2528772138250696e-11,4.7860402805152256e-24,3.4021067199165807e-26,1.252744159953984e-11,1.0503493534795142e-07,4.261666811148964e-24,2.6537359772241524e-17,2.108887354980711e-17,4.0036015165045e-26,1.723822205253146e-30,8.771103288118452e-36,1.5524489525465453e-35,9.52411925543845e-40,1.1031933924604725e-81
3.691890097822857e-11,0.002217192533333333,0.0915567593028733,0.0,0.006471658592959944,0.4515159113674363,1.3493727226835606e-15,0.45690050729832965,5.795726414994021e-23,1.1325415921765072e-33,2.0719223849926892e-18,1.9059635447814237e-34,2.1013487508846095e-54,5.3433977327144e-05,1.2616662583638464e-11,4.793418475551941e-24,3.48177006761794e-26,1.261531321097421e-11,1.0503008088395413e-07,4.354266834456527e-24,2.6893464394147318e-17,2.1376128694097424e-17,4.115351526077051e-26,1.785878895851999e-30,9.139613405284891e-36,1.6183334308382387e-35,1.0136925581444584e-39,1.1914449679688764e-81
3.717818090537824e-11,0.002217192533333333,0.0915567593028733,0.0,0.006471297291862534,0.4515157307145182,1.3683382986340427e-15,0.4569005073031562,5.891297233295482e-23,1.1730257088808443e-33,2.1294631561149592e-18,2.013331446734734e-34,2.252181627146015e-54,5.379528316322364e-05,1.270454320967749e-11,4.800787427964065e-24,3.56273085301777e-26,1.2703174871438152e-11,1.0502516647141027e-07,4.448213046092519e-24,2.72514684364503e-17,2.1665083299280436e-17,4.2293623325002307e-26,1.8497093113203773e-30,9.520765757770053e-36,1.686504160252934e-35,1.078434318641335e-39,1.2860543298373036e-81
3.7437460832527905e-11,0.002217192533333333,0.0915567593028733,0.0,0.006470936253717995,0.4515155501930486,1.3874354811388045e-15,0.4569005073080389,5.987659628639714e-23,1.2146589207939215e-33,2.1881635082107834e-18,2.1259136409035807e-34,2.412658871800614e-54,5.415632610257886e-05,1.2792414024020733e-11,4.8081474941222205e-24,3.645001379571582e-26,1.2791026588599768e-11,1.0502019593304013e-07,4.5435154027913135e-24,2.7611360387275236e-17,2.1955731098868288e-17,4.345661769198257e-26,1.9153510854617213e-30,9.914896398822176e-36,1.757022697036769e-35,1.146805686118602e-39,1.387429485281036e-81
3.769674075967757e-11,0.002217192533333333,0.0915567593028733,0.0,0.006470575479807948,0.45151536980366996,1.4066642550761508e-15,0.456900507312974,6.084814933384768e-23,1.2574654426367422e-33,2.24803770656073e-18,2.243923023184555e-34,2.5833222651607183e-54,5.451710485998956e-05,1.2880275034354816e-11,4.815499004813451e-24,3.7285939666700525e-26,1.2878868370160798e-11,1.0501517286519247e-07,4.640183860444768e-24,2.7973128697872816e-17,2.2248065798932787e-17,4.464277762479681e-26,1.982842372116184e-30,1.0322347671864572e-35,1.8299517644101904e-35,1.2189820315414282e-39,1.4960014455472243e-81
3.795602068682724e-11,0.002217192533333333,0.0915567593028733,0.0,0.0064702149714100515,0.45151518954702263,1.4260246053360116e-15,0.4569005073179584,6.182764478448573e-23,1.3014698215535852e-33,2.3091000653003576e-18,2.367579531272827e-34,2.764739844284202e-54,5.48776181544168e-05,1.296812624839993e-11,4.8228422672632404e-24,3.8135209487757895e-26,1.2966700223856541e-11,1.0501010065131928e-07,4.738228373928144e-24,2.833676178317258e-17,2.2542081078366226e-17,4.5852383298150686e-26,2.052221848309799e-30,1.0743468275643155e-35,1.9053552646331958e-35,1.2951458459855342e-39,1.61222534488325e-81
3.82153006139769e-11,0.002217192533333333,0.0915567593028733,0.0,0.006469854729797962,0.4515150094237454,1.4455165168199935e-15,0.45690050732298876,6.281509593015522e-23,1.3466969391148428e-33,2.3713649465565084e-18,2.4971103221446718e-34,2.957506973483551e-54,5.523786470901837e-05,1.3055967673909693e-11,4.830177566973674e-24,3.899794674565234e-26,1.3054522157455716e-11,1.0500498247464829e-07,4.8376588969260094e-24,2.870224802234139e-17,2.283777058914265e-17,4.7085715781129675e-26,2.123528717389012e-30,1.117861332935809e-35,1.9832982910543416e-35,1.3754869746185042e-39,1.736581605296714e-81
3.847458054112657e-11,0.002217192533333333,0.0915567593028733,0.0,0.006469494756241315,0.45151482943447435,1.4651399744414289e-15,0.45690050732806203,6.381051604263809e-23,1.3931720133107037e-33,2.434846759582565e-18,2.6327499525510297e-34,3.1622474501984425e-54,5.5597843251164096e-05,1.314379931867106e-11,4.83750516939599e-24,3.987427506075391e-26,1.3142334178760365e-11,1.0499982133010056e-07,4.938485381758102e-24,2.906957575934746e-17,2.3135127956579877e-17,4.834305701994489e-26,2.1968027121404173e-30,1.1628144437773724e-35,2.063847140142071e-35,1.4602028565301829e-39,1.869577148625563e-81
3.8733860468276235e-11,0.002217192533333333,0.0915567593028733,0.0,0.006469135052005701,0.45151464957984366,1.4848949631254265e-15,0.4569005073331755,6.48139183711173e-23,1.440920600535589e-33,2.499559959892752e-18,2.774740562544757e-34,3.37961464712028e-54,5.59575525124512e-05,1.323162119050419e-11,4.844825321453925e-24,4.076431817855182e-26,1.323013629560572e-11,1.0499462003549884e-07,5.040717779205204e-24,2.943873330352938e-17,2.343414677960202e-17,4.962468982067012e-26,2.2720840978955528e-30,1.2092429756300952e-35,2.147069323496868e-35,1.5494987705101385e-39,2.0117466574751802e-81
