ExpID,y(CO),y(CO2),CO2+CO,CO2/(CO+CO2),y(H2),CO+CO2/H2,y(H2O),vacant,H,OH,CH3O,HCOO
CO_CO2_ratio_ExpID_56,0.00E+00,5.00E-02,0.05,1.00E+00,0.95,0.05/0.95,0.00E+00,5.42E-01,2.27E-01,1.05E-02,1.74E-01,4.67E-02
CO_CO2_ratio_ExpID_57,5.00E-03,4.50E-02,0.05,9.00E-01,0.95,0.05/0.95,0.00E+00,5.50E-01,2.31E-01,9.60E-03,1.69E-01,4.26E-02
CO_CO2_ratio_ExpID_58,1.00E-02,4.00E-02,0.05,8.00E-01,0.95,0.05/0.95,0.00E+00,5.57E-01,2.34E-01,8.67E-03,1.62E-01,3.82E-02
CO_CO2_ratio_ExpID_59,1.50E-02,3.50E-02,0.05,7.00E-01,0.95,0.05/0.95,0.00E+00,5.65E-01,2.37E-01,7.70E-03,1.56E-01,3.39E-02
CO_CO2_ratio_ExpID_60,2.00E-02,3.00E-02,0.05,6.00E-01,0.95,0.05/0.95,0.00E+00,5.74E-01,2.41E-01,6.76E-03,1.49E-01,2.94E-02
CO_CO2_ratio_ExpID_61,2.50E-02,2.50E-02,0.05,5.00E-01,0.95,0.05/0.95,0.00E+00,5.83E-01,2.45E-01,5.74E-03,1.41E-01,2.48E-02
CO_CO2_ratio_ExpID_62,3.00E-02,2.00E-02,0.05,4.00E-01,0.95,0.05/0.95,0.00E+00,5.93E-01,2.49E-01,4.75E-03,1.34E-01,2.00E-02
CO_CO2_ratio_ExpID_63,3.50E-02,1.50E-02,0.05,3.00E-01,0.95,0.05/0.95,0.00E+00,6.03E-01,2.54E-01,3.68E-03,1.25E-01,1.52E-02
CO_CO2_ratio_ExpID_64,4.00E-02,1.00E-02,0.05,2.00E-01,0.95,0.05/0.95,0.00E+00,6.13E-01,2.58E-01,2.55E-03,1.16E-01,1.02E-02
CO_CO2_ratio_ExpID_65,4.50E-02,5.00E-03,0.05,1.00E-01,0.95,0.05/0.95,0.00E+00,6.24E-01,2.63E-01,1.35E-03,1.06E-01,5.13E-03
CO_CO2_ratio_ExpID_66,5.00E-02,0.00E+00,0.05,0.00E+00,0.95,0.05/0.95,0.00E+00,6.36E-01,2.68E-01,4.31E-16,9.60E-02,2.79E-17
CO_CO2_ratio_ExpID_67,0.00E+00,5.00E-01,0.5,1.00E+00,0.5,0.50/0.50,0.00E+00,3.07E-01,9.21E-02,1.30E-02,3.57E-01,2.31E-01
CO_CO2_ratio_ExpID_68,5.00E-02,4.50E-01,0.5,9.00E-01,0.5,0.50/0.50,0.00E+00,3.11E-01,9.34E-02,1.05E-02,3.74E-01,2.11E-01
CO_CO2_ratio_ExpID_69,1.00E-01,4.00E-01,0.5,8.00E-01,0.5,0.50/0.50,0.00E+00,3.17E-01,9.54E-02,8.71E-03,3.87E-01,1.92E-01
CO_CO2_ratio_ExpID_70,1.50E-01,3.50E-01,0.5,7.00E-01,0.5,0.50/0.50,0.00E+00,3.25E-01,9.77E-02,7.29E-03,3.96E-01,1.72E-01
CO_CO2_ratio_ExpID_71,2.00E-01,3.00E-01,0.5,6.00E-01,0.5,0.50/0.50,0.00E+00,3.36E-01,1.01E-01,6.15E-03,4.05E-01,1.53E-01
CO_CO2_ratio_ExpID_72,2.50E-01,2.50E-01,0.5,5.00E-01,0.5,0.50/0.50,0.00E+00,3.48E-01,1.05E-01,5.15E-03,4.11E-01,1.32E-01
CO_CO2_ratio_ExpID_73,3.00E-01,2.00E-01,0.5,4.00E-01,0.5,0.50/0.50,0.00E+00,3.61E-01,1.09E-01,4.22E-03,4.16E-01,1.10E-01
CO_CO2_ratio_ExpID_74,3.50E-01,1.50E-01,0.5,3.00E-01,0.5,0.50/0.50,0.00E+00,3.78E-01,1.14E-01,3.34E-03,4.20E-01,8.61E-02
CO_CO2_ratio_ExpID_75,4.00E-01,1.00E-01,0.5,2.00E-01,0.5,0.50/0.50,0.00E+00,3.96E-01,1.19E-01,2.43E-03,4.23E-01,6.02E-02
CO_CO2_ratio_ExpID_76,4.50E-01,5.00E-02,0.5,1.00E-01,0.5,0.50/0.50,0.00E+00,4.16E-01,1.26E-01,1.42E-03,4.25E-01,3.16E-02
CO_CO2_ratio_ExpID_77,5.00E-01,0.00E+00,0.5,0.00E+00,0.5,0.50/0.50,0.00E+00,4.38E-01,1.32E-01,-6.17E-17,4.30E-01,-8.12E-18
