Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(52),COX(53),CH3OX(48),CHOX(64),SX(57),CH2O2X(54),CH3X(25),CH4(24)
1.639381566576055e-11,0.00264225016925734,0.0,0.0,0.007041690936056405,0.799894005314952,0.09999403409597972,0.09999999983768706,6.396904732954175e-20,5.155562689540437e-24,1.2771627783885056e-24,2.327439000603675e-32,1.346913271053208e-35,6.65377845327671e-05,3.267014212984073e-17,2.1255763455283108e-20,3.2270114044952015e-24,5.965502914912967e-06,1.6231282177539355e-10,2.3864693889942613e-10,1.7410988621597017e-22,1.4457062391568587e-25,2.7371188476390506e-19,4.074638679224134e-28,2.372165962013029e-43,3.146945320723125e-33,7.27256734576082e-05,1.624587265484075e-10,1.2774453260213494e-29,1.146579632770882e-19,1.7504793361210096e-44,2.6169676522130076e-30,7.460145285694445e-37,6.330696772582154e-41
1.6486691371850096e-11,0.00264225016925734,0.0,0.0,0.007040912067559562,0.7998934147510488,0.09999403049735948,0.09999999983770502,6.575641385115073e-20,5.2873005256011865e-24,1.3027971093496453e-24,2.4438245999451468e-32,1.424708990373858e-35,6.690719957461136e-05,3.2904088270854914e-17,6.587021203766154e-20,3.2968056370687752e-24,5.9690984938182835e-06,1.6229486765112425e-10,2.4170629907677296e-10,1.7508314368032844e-22,1.4537834199943092e-25,2.8229632306480205e-19,4.229192364301873e-28,2.429792344945077e-43,3.304297159019325e-33,7.313152831032397e-05,1.624407187230472e-10,1.3327819455458983e-29,1.159499403525558e-19,1.8492687147667633e-44,2.6683140956889596e-30,7.789411634771231e-37,6.686576324487954e-41
1.6579567077939644e-11,0.00264225016925734,0.0,0.0,0.007040133428250947,0.7998928242959186,0.09999402697816345,0.09999999983772298,6.66728216227832e-20,5.421620746257784e-24,1.3248437624524468e-24,2.565279593636739e-32,1.506477822170039e-35,6.727653265377877e-05,3.3185637669442897e-17,-1.8814817072037932e-21,3.367334477357517e-24,5.97261462959462e-06,1.6227691890801513e-10,2.447845162222945e-10,1.76056183709687e-22,1.4618569219406913e-25,2.9109495959730797e-19,4.388606102312228e-28,2.490741045653166e-43,3.46850197007872e-33,7.353731536172875e-05,1.6242271669434317e-10,1.3901645677519162e-29,1.1724895302520608e-19,1.9529814894366063e-44,2.7202853477920248e-30,8.131089712494975e-37,7.060170944671697e-41
1.667244278402919e-11,0.00264225016925734,0.0,0.0,0.007039355016601206,0.799892233949528,0.09999402353691267,0.09999999983774091,6.678667148362346e-20,5.558559228321687e-24,1.343608849891784e-24,2.691992023411028e-32,1.5923960656781912e-35,6.764578380341245e-05,3.351128673166999e-17,2.1233862929345086e-20,3.438790323570247e-24,5.976052801334959e-06,1.6225897529483067e-10,2.478815669728845e-10,1.7702900639282842e-22,1.4699267476549078e-25,3.001117387733529e-19,4.553000871770614e-28,2.5376986805529118e-43,3.639813915599477e-33,7.394303462896442e-05,1.6240472041779814e-10,1.4496557823882757e-29,1.18554998460815e-19,2.0618305029717718e-44,2.772955231550488e-30,8.485566900469013e-37,7.452248433031451e-41
1.676531849011874e-11,0.00264225016925734,0.0,0.0,0.007038576831108729,0.7998916437118434,0.0999940201721555,0.09999999983775885,6.87307648921175e-20,5.69815216449915e-24,1.370604627125519e-24,2.824155684257687e-32,1.682646657561745e-35,6.801495305655258e-05,3.374380360122406e-17,6.585445758436126e-20,3.511415990564697e-24,5.979414460639733e-06,1.6224103694761767e-10,2.509974280514547e-10,1.7800161181805564e-22,1.4779928997853376e-25,3.09350651053496e-19,4.722499856587724e-28,2.598302461644694e-43,3.8184949318009884e-33,7.434868612908355e-05,1.6238672984970442e-10,1.5113196900529398e-29,1.1986807382655431e-19,2.1760363883826335e-44,2.826294934110231e-30,8.853240129339736e-37,7.863605276415189e-41
1.6858194196208287e-11,0.00264225016925734,0.0,0.0,0.007037798870299155,0.7998910535828314,0.09999401688246733,0.0999999998377768,6.967394796118356e-20,5.84043606518057e-24,1.3934137597852223e-24,2.961970262717337e-32,1.77741937687428e-35,6.838404044594362e-05,3.402919033663886e-17,-7.993575708164915e-22,3.5847708124402336e-24,5.982701032124824e-06,1.6222310387456048e-10,2.541320762695958e-10,1.7897400007334986e-22,1.486055380983534e-25,3.1881573305772173e-19,4.897228471055411e-28,2.6641805472106543e-43,4.0048149162392215e-33,7.475426987905093e-05,1.6236874494713168e-10,1.5752219287337378e-29,1.2118817629098764e-19,2.2958278020179484e-44,2.8802656566571968e-30,9.234516050512535e-37,8.295066344280782e-41
1.6951069902297834e-11,0.00264225016925734,0.0,0.0,0.007037021132724839,0.799890463562459,0.0999940136664501,0.09999999983779471,6.971714667178698e-20,5.985447760242127e-24,1.4124883140693018e-24,3.1056414775746404e-32,1.876911054942998e-35,6.875304600423731e-05,3.4362394954084264e-17,2.224981188312843e-20,3.659116869314424e-24,5.985913913926804e-06,1.6220517582486294e-10,2.572854885301102e-10,1.7994617124616471e-22,1.4941141938901152e-25,3.285110678788347e-19,5.077314385000457e-28,2.7119522141815928e-43,4.1990519178616784e-33,7.515978589574538e-05,1.6235076566791478e-10,1.6414297006390137e-29,1.2251530302406526e-19,2.421441662067038e-44,2.9349661360839234e-30,9.629811209412155e-37,8.747487001078588e-41
1.7043945608387382e-11,0.00264225016925734,0.0,0.0,0.007036243616964366,0.7998898736506928,0.09999401052273167,0.09999999983781264,7.1793744367779e-20,6.1332244008596415e-24,1.4407592462888913e-24,3.2553812229871384e-32,1.9813257902715848e-35,6.912196976399018e-05,3.4595023926070364e-17,6.43395377705595e-20,3.734642234557485e-24,5.9890544781944485e-06,1.62187252948713e-10,2.6045764182942137e-10,1.8091812542350106e-22,1.5021693411355198e-25,3.384407852901885e-19,5.2628875494313905e-28,2.775573444058025e-43,4.401492330350384e-33,7.5565234195961e-05,1.6233279197064135e-10,1.710011799332503e-29,1.2384945119711957e-19,2.553123392618114e-44,2.9903467233474098e-30,1.0039552220835403e-36,9.22175400657461e-41
1.713682131447693e-11,0.00264225016925734,0.0,0.0,0.007035466321622075,0.7998892838475001,0.0999940074499654,0.09999999983783055,7.274167273520698e-20,6.283803461334085e-24,1.4642451989964416e-24,3.4114077140693726e-32,2.0908751685443916e-35,6.949081175747237e-05,3.488536489828445e-17,7.803505032155168e-22,3.810890098693781e-24,5.9921240715688245e-06,1.6216933524122391e-10,2.636485132598606e-10,1.8188986269207075e-22,1.5102208253535612e-25,3.4860906184298255e-19,5.454080221804493e-28,2.846349881859388e-43,4.6124310887791254e-33,7.597061479640899e-05,1.623148238146395e-10,1.7810386371372373e-29,1.2519061798286062e-19,2.691127173329116e-44,3.0463625191250866e-30,1.0464175946411495e-36,9.71878505865136e-41
1.7229697020566477e-11,0.00264225016925734,0.0,0.0,0.007034689245327564,0.7998886941528482,0.0999940044468297,0.09999999983784846,7.276760301925776e-20,6.4372227409292485e-24,1.4838710072692207e-24,3.573945634951289e-32,2.2057784878039427e-35,6.98595720168712e-05,3.522328465910844e-17,2.4131114659906862e-20,3.888206042767031e-24,5.99512401566105e-06,1.6215142245999267e-10,2.6685808001183693e-10,1.828613831380587e-22,1.5182686491672603e-25,3.590201211917679e-19,5.651026991488178e-28,2.8952158684529618e-43,4.8321718696115434e-33,7.637592771371885e-05,1.622968611599658e-10,1.8545822728340926e-29,1.2653880055537202e-19,2.8357161946634813e-44,3.1031399784403464e-30,1.0904129673584389e-36,1.0239531217089884e-40
