Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(52),COX(53),CH3OX(48),CHOX(64),SX(57),CH2O2X(54),CH3X(25),CH4(24),CH4X(275)
7.938055348405569e-10,0.00299236199292705,0.0,0.0,0.004261104879266311,0.7970327825326009,0.09999888625187558,0.09999999977394707,1.9882030780912252e-13,7.994976224161615e-16,4.693505606241179e-18,7.294333447169987e-21,4.188375191994129e-23,0.0018196595740706072,2.884367222154893e-14,6.429477069599351e-17,1.9430571528711705e-17,1.0305507284279788e-06,2.258253674659279e-10,8.296951864497233e-08,1.1526092253393802e-19,1.806060075787502e-22,2.180178456150143e-12,4.76709389551256e-20,2.962091072121334e-34,2.5051692811605095e-22,0.0020573461932283706,2.259227893546929e-10,1.0982763779267269e-18,1.2808438417078038e-15,4.381670478046274e-32,4.5874443691146334e-24,7.672473779416202e-28,2.9443949209482407e-19,8.109713439225138e-17
7.992999753383174e-10,0.00299236199292705,0.0,0.0,0.004248026324248156,0.7970229870524786,0.09999888868536387,0.09999999977463725,2.019017381427081e-13,8.254954517103418e-16,4.781285437422248e-18,7.572569726464116e-21,4.252417701320012e-23,0.0018262313272103653,2.8752606271975096e-14,6.452609141501035e-17,1.967625020624313e-17,1.0273830092834248e-06,2.2513220158434603e-10,8.370438953345962e-08,1.1567508093511157e-19,1.81050769890331e-22,2.2371010659597674e-12,2.0902698714221673e-20,3.0287531544720927e-34,2.5937201263013304e-22,0.002063855429285332,2.2522880304190253e-10,1.1401929654037545e-18,1.2931699361863007e-15,4.5092479804174894e-32,4.659062742968756e-24,1.0681872370805116e-27,3.201722320140741e-19,8.416545969229149e-17
8.047944158360779e-10,0.00299236199292705,0.0,0.0,0.004235053154152454,0.7970132766851963,0.09999889109379578,0.09999999977532183,2.0500531528264828e-13,8.521398287546883e-16,4.869999899704716e-18,7.85515259799797e-21,4.312835815585588e-23,0.001832762485570929,2.8662336222551997e-14,6.475597514396529e-17,1.9922770031246123e-17,1.0242408324848897e-06,2.2444462123160028e-10,8.443876786390707e-08,1.1608666515141525e-19,1.8149177393794507e-22,2.2950190377810854e-12,1.9446073589110446e-20,3.0963562354431944e-34,2.6834397636824805e-22,0.002070299850137046,2.245404101724571e-10,1.1833538597320896e-18,1.305510824159758e-15,4.5640645835722357e-32,4.731182645960091e-24,1.387916372678657e-27,3.4686208368820176e-19,8.728061855715557e-17
8.102888563338383e-10,0.00299236199292705,0.0,0.0,0.00422218435391081,0.7970036506399386,0.09999889347743898,0.09999999977600083,2.0813098081454492e-13,8.794416120964144e-16,4.9596504308821724e-18,8.158915029685026e-21,4.425705814370937e-23,0.0018392534981717772,2.857303884780927e-14,6.498443838095579e-17,2.0170122602254103e-17,1.0211239518407577e-06,2.2376257260705536e-10,8.517263221642308e-08,1.1649570377311507e-19,1.8192907214229e-22,2.353940091232153e-12,1.9558804631529777e-20,3.1649048799448826e-34,2.780540009673774e-22,0.00207668002210012,2.2385755685692848e-10,1.227785018270498e-18,1.3178662610344267e-15,4.667878792611537e-32,4.8038023935942896e-24,1.5589760856294029e-27,3.7452729532920014e-19,9.063134026969973e-17
8.157832968315988e-10,0.00299236199292705,0.0,0.0,0.0042094189198164066,0.7969941081342042,0.09999889583655794,0.09999999977667434,2.1127867652775148e-13,9.074117416133862e-16,5.0502384329719526e-18,8.47325063457622e-21,4.5454099606467387e-23,0.0018457048079327971,2.8484501812897534e-14,6.521149242514038e-17,2.0418299691265247e-17,1.0180321239176249e-06,2.2308600251095785e-10,8.590596162597279e-08,1.1690222499997863e-19,1.8236271598384941e-22,2.4138721764216385e-12,2.7233575377844706e-20,3.2344036067586895e-34,2.881055607897555e-22,0.0020829965062260755,2.2318018980927797e-10,1.2735126859917947e-18,1.3302360073805186e-15,4.7700854043275005e-32,4.8769203169112766e-24,1.7031165356739727e-27,4.032423448225018e-19,9.409854087419948e-17
8.212777373293592e-10,0.00299236199292705,0.0,0.0,0.0041967558593719164,0.7969846483937034,0.0999988981714139,0.09999999977734242,2.1444834419652863e-13,9.360612406703482e-16,5.1417652699682484e-18,8.794393774664984e-21,4.6549612486332987e-23,0.0018521168517708175,2.839663760216739e-14,6.543715267411616e-17,2.0667293244774852e-17,1.0149651080033008e-06,2.224148583384418e-10,8.663873557375577e-08,1.1730625664751972e-19,1.8279275602340513e-22,2.474823146497803e-12,2.0801855394747413e-20,3.3048569082287967e-34,2.9835618728358354e-22,0.0020892498583567247,2.2250825633877602e-10,1.320563399654269e-18,1.3426198288258513e-15,4.8848734587330006e-32,4.95053475749829e-24,1.890678515976018e-27,4.3306539624283384e-19,9.763987990422455e-17
8.267721778271197e-10,0.00299236199292705,0.0,0.0,0.0041841941911399,0.796975270652255,0.09999890048226509,0.09999999977800507,2.1763992553749148e-13,9.654012165752168e-16,5.234232267385266e-18,9.120017808755895e-21,4.7537622002942014e-23,0.0018584900606946517,2.83094444127151e-14,6.566143412381236e-17,2.0917095373613743e-17,1.0119226660703648e-06,2.2174908807141143e-10,8.737093397874832e-08,1.1770782615311591e-19,1.8321924192203093e-22,2.5368007431223453e-12,2.5693978778495555e-20,3.376269210420759e-34,3.0872030257980124e-22,0.0020954406291788705,2.218417043420532e-10,1.3689639893413075e-18,1.3550174959517762e-15,4.96164288072146e-32,5.024644065603137e-24,2.1230091962674035e-27,4.640106186898286e-19,1.0122923419044063e-16
8.322666183248802e-10,0.00299236199292705,0.0,0.0,0.004171732944595577,0.7969659741516858,0.0999989027693665,0.09999999977866239,2.2085336232986473e-13,9.954428586763014e-16,5.3276407138235744e-18,9.458359313782202e-21,4.869413646756568e-23,0.0018648248598983827,2.822303780575968e-14,6.588435272633335e-17,2.1167698343260497e-17,1.0089045627404159e-06,2.2108864027019803e-10,8.810253718940706e-08,1.1810696058200184e-19,1.8364222246057515e-22,2.5998125866212582e-12,2.168764209046074e-20,3.4486449011053718e-34,3.195024244476228e-22,0.0021015693642783043,2.2118048229527844e-10,1.4187415757583261e-18,1.3674287841913322e-15,5.077914366102427e-32,5.099246602656371e-24,2.3266244575423293e-27,4.960884805740041e-19,1.0495894516575442e-16
8.377610588226406e-10,0.00299236199292705,0.0,0.0,0.004159371159981956,0.796956758141732,0.0999989050329702,0.09999999977931442,2.240885965513292e-13,1.0261974369210945e-15,5.421991864296982e-18,9.80557852889622e-21,4.9866546577741655e-23,0.0018711216688529894,2.8137356473483037e-14,6.610592434652977e-17,2.1419094573799547e-17,1.00591056524892e-06,2.2043346406562015e-10,8.883352597553071e-08,1.1850368663319432e-19,1.8406174555864465e-22,2.663866343838848e-12,2.8693119163999416e-20,3.521988337928014e-34,3.3055950058186917e-22,0.002107636604193151,2.2052453924646213e-10,1.4699235681918765e-18,1.3798534737295674e-15,5.172180012378364e-32,5.174340743930562e-24,2.52705696347177e-27,5.293307385134481e-19,1.0878588862527693e-16
8.432554993204011e-10,0.00299236199292705,0.0,0.0,0.004147107888167275,0.7969476218799407,0.09999890727332521,0.09999999977996123,2.2734557033296119e-13,1.0576763015753183e-15,5.517286939986886e-18,1.0165671113245278e-20,5.1162092479512327e-23,0.0018773809013961982,2.805241198950523e-14,6.632616233969976e-17,2.1671276644075922e-17,1.0029404434105497e-06,2.19783509151522e-10,8.956388152027669e-08,1.1889803064525848e-19,1.8447785829309518e-22,2.7289695894136218e-12,2.1888767523570232e-20,3.5963038236262086e-34,3.420365729054677e-22,0.0021136428844665445,2.1987382480788207e-10,1.5225376641500546e-18,1.3922913494059916e-15,5.308951413387147e-32,5.2499248782839896e-24,2.707636435289088e-27,5.637854688305207e-19,1.1275477857051766e-16
