Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(48),CH2O2X(49),CH3OX(44),CH3X(50),CH4(39),CH4X(236),CH3O2X(47),CH4O2(169),H(23),HCO(31),OCHCO(260),SX(257),CH2OX(167)
1.5331281788049403e-10,0.0028149649241145727,0.0915567593028733,0.0,0.007771561433939755,0.4511014143635204,3.002594045228141e-38,0.4569006123298972,1.1063854470321432e-18,3.305327406087943e-28,2.6891799234033114e-14,4.132635161397183e-29,-1.0258592244756902e-41,0.00014333266814835248,3.821110564212589e-20,3.9473132744497434e-21,6.010661919678172e-19,1.7493098364821646e-18,1.1101284190724102e-11,3.0019827701347013e-22,3.961018557133719e-24,1.7932917887374373e-15,2.277603130721758e-26,2.0083572124303677e-31,7.799644957235336e-32,2.3392976816617597e-30,0.00036954765847771064,6.96755198125747e-20,4.182129754546068e-31,1.1804611756911404e-21,-1.3527912727184864e-24,-1.1768315952469224e-21,3.0821542670565716e-26,6.629823550316177e-26,1.6067281481262404e-23,6.217617713830645e-39,5.951912198632283e-83,2.845273761160848e-25,5.041919147139675e-32
1.5392588148783928e-10,0.0028149649241145727,0.0915567593028733,0.0,0.007770050782120645,0.4510999740178132,3.0378086917697356e-38,0.45690061232985413,1.1129375990742083e-18,3.36412968778996e-28,2.7070644453006766e-14,4.237027415092292e-29,-1.0025082211550799e-41,0.00014347328028671075,3.8507945106572913e-20,3.942769155510165e-21,6.03028474164927e-19,1.758113136536736e-18,1.1144175902753227e-11,3.0362740090323677e-22,3.970805336010315e-24,1.793341600069731e-15,2.3175090754840235e-26,2.0457952073536525e-31,7.852538639464662e-32,2.398184282917722e-30,0.0003709176981155854,7.013370888732858e-20,4.264596425071264e-31,-1.2216480701654264e-22,-1.3397252729662833e-24,1.2578103819227827e-22,3.103408976089228e-26,6.721756546962743e-26,1.6166621273107907e-23,6.319186267766709e-39,6.1212299684941246e-83,2.8846528980156365e-25,5.088589606143229e-32
1.5453894509518452e-10,0.0028149649241145727,0.0915567593028733,0.0,0.007768542729137611,0.4510985353556145,3.073256876152309e-38,0.45690061232981105,1.1194975684172724e-18,3.423660424955612e-28,2.7249668825916454e-14,4.3434642273510813e-29,-1.0670271170338575e-41,0.00014361206176993475,3.8805871237186243e-20,3.93828417141444e-21,6.049822614075641e-19,1.766916883336239e-18,1.1187057574897668e-11,3.070779224166309e-22,3.9805534132321766e-24,1.793390651326548e-15,2.3579029103010592e-26,2.083716877145945e-31,7.905472988292609e-32,2.458218596863717e-30,0.00037228696957247227,7.059223261687882e-20,4.348237870694854e-31,-6.349783395572521e-22,-1.3366195551068642e-24,6.385922344507759e-22,3.1246793754915133e-26,6.814414380814393e-26,1.6266054621819515e-23,6.4219116037047e-39,6.294493845738373e-83,2.9243410311493136e-25,5.135451972120549e-32
1.5515200870252977e-10,0.0028149649241145727,0.0915567593028733,0.0,0.0077670372556812705,0.451097098366884,3.108938830671712e-38,0.456900612329768,1.126065318281886e-18,3.483924349903165e-28,2.7428870015352276e-14,4.4519730543804995e-29,-1.0217945939776253e-41,0.00014374903113620305,3.9104883421269084e-20,3.933857482371942e-21,6.069275818538373e-19,1.775721066799344e-18,1.1229929221969769e-11,3.1054984903340364e-22,3.990263091883101e-24,1.7934389542695223e-15,2.3987877556626147e-26,2.1221253756702206e-31,7.958446183370202e-32,2.5194159013273454e-30,0.0003736554736197011,7.105108462119065e-20,4.433064008142431e-31,6.572750185953392e-22,-1.3476849837006045e-24,-6.536505710324611e-22,3.145965163834849e-26,6.90779760774917e-26,1.6365580255121768e-23,6.525800911384834e-39,6.471775096284793e-83,2.964338373514588e-25,5.182505878180929e-32
1.55765072309875e-10,0.0028149649241145727,0.0915567593028733,0.0,0.007765534342591135,0.4510956630416577,3.1448547845886704e-38,0.4569006123297249,1.1326408120207312e-18,3.5449261907092397e-28,2.7608245707698754e-14,4.5625815377459865e-29,-1.0256528957480959e-41,0.00014388420677858673,3.9404981047264624e-20,3.929488261998828e-21,6.088644636380513e-19,1.7845256769678665e-18,1.1272790858674094e-11,3.14043187943788e-22,3.999934630022164e-24,1.793486520434191e-15,2.4401667289226327e-26,2.16102375960669e-31,8.011457898543555e-32,2.581791567396861e-30,0.00037502321102458815,7.151025858737767e-20,4.519084771131496e-31,-2.2149139813205024e-22,-1.3394137022629042e-24,2.2510762122957955e-22,3.1672660429273065e-26,7.001906764149402e-26,1.6465196913664077e-23,6.630861382918946e-39,6.653145885089119e-83,3.004645129643004e-25,5.229750957526043e-32
1.5637813591722025e-10,0.0028149649241145727,0.0915567593028733,0.0,0.007764033970855897,0.45109422937004834,3.1810049641596994e-38,0.45690061232968193,1.139224013118214e-18,3.60667067112953e-28,2.778779361294398e-14,4.675317485008351e-29,-1.0498797334487472e-41,0.00014401760694508311,3.970616350445684e-20,3.9251756973181454e-21,6.107929348697995e-19,1.7933307040051783e-18,1.1315642499608266e-11,3.175579460517278e-22,4.00956831901441e-24,1.7935333611360007e-15,2.4820429442451283e-26,2.200415185097867e-31,8.06450784653943e-32,2.6453610590630373e-30,0.00037639018255046573,7.196974826914233e-20,4.606310110110759e-31,-1.7610422949880392e-22,-1.3404830626832231e-24,1.797217777214356e-22,3.18858171778505e-26,7.096742367157424e-26,1.656490335091895e-23,6.737100212693585e-39,6.838679282193578e-83,3.045261495758878e-25,5.277186843500764e-32
1.569911995245655e-10,0.0028149649241145727,0.0915567593028733,0.0,0.007762536121613123,0.45109279734224506,3.217389592667801e-38,0.4569006123296389,1.1458148851900545e-18,3.6691625105215557e-28,2.7967511464489237e-14,4.7902088765749237e-29,-1.0237047792760134e-41,0.00014414924973878257,4.000843018304059e-20,3.920918988439548e-21,6.127130236330688e-19,1.802136138194643e-18,1.1358484159263818e-11,3.210941299780789e-22,4.01916450139391e-24,1.7935794874759886e-15,2.5244195125543298e-26,2.2403028775131204e-31,8.117594339342135e-32,2.710139934174084e-30,0.00037775638895671333,7.242954748622015e-20,4.694749992002762e-31,2.789392411548029e-22,-1.344108776193994e-24,-2.7531834940716115e-22,3.209911896603967e-26,7.192304914929363e-26,1.6664698333080452e-23,6.844524597274155e-39,7.028449268773693e-83,3.0861876598841096e-25,5.324813169636362e-32
1.5760426313191074e-10,0.0028149649241145727,0.0915567593028733,0.0,0.007761040776148926,0.45109136694851315,3.2540088904528933e-38,0.4569006123295959,1.1524133919828887e-18,3.732406423769684e-28,2.814739701895893e-14,4.9072838689541034e-29,-1.0335385745014928e-41,0.00014427915311806757,4.031178047421393e-20,3.916717348219366e-21,6.146247579853622e-19,1.8109419699380748e-18,1.140131585202699e-11,3.246517460637806e-22,4.0287234164506886e-24,1.7936249103462433e-15,2.5672995414898395e-26,2.2806898087092e-31,8.170717061646517e-32,2.7761438424857977e-30,0.0003791218309987877,7.288965012382274e-20,4.784414399948393e-31,-1.5298953731978545e-22,-1.3402458683337608e-24,1.5660666788185193e-22,3.2312562907314444e-26,7.288594886887304e-26,1.6764580638962672e-23,6.953141735310186e-39,7.222530743181324e-83,3.1274238019501647e-25,5.372629569699805e-32
1.5883039034660123e-10,0.0028149649241145727,0.0915567593028733,0.0,0.007758057522442965,0.4510885110247055,3.327952360678689e-38,0.4569006123295099,1.1656331653703435e-18,3.861169308573524e-28,2.850766237814874e-14,5.148098112659031e-29,-8.323642647923224e-42,0.00014453381274448065,4.0921729463337026e-20,3.90847618811389e-21,6.184232755494983e-19,1.8285547882773975e-18,1.1486949393899867e-11,3.318312986961894e-22,4.04773048248267e-24,1.793713688232519e-15,2.6545823950678346e-26,2.362973707056386e-31,8.277071399611134e-32,2.91188981631854e-30,0.0003818504249928118,7.381074152551889e-20,4.967456806152187e-31,5.677505208039898e-22,-1.3417698498312357e-24,-5.641339423884853e-22,3.273986585891223e-26,7.483358928874608e-26,1.6964602399638138e-23,7.1739830762082e-39,7.623932370993004e-83,3.210826699827489e-25,5.468831128123003e-32
1.6005651756129172e-10,0.0028149649241145727,0.0915567593028733,0.0,0.007755084062991868,0.45108566152226875,3.402837079835641e-38,0.45690061232942397,1.1788830458575762e-18,3.9929969524279743e-28,2.8868572200777974e-14,5.397988813180549e-29,9.19129298456062e-42,0.00014478172660487376,4.153600561847898e-20,3.9004461673494575e-21,6.22188711460504e-19,1.846169084550004e-18,1.1572543238243067e-11,3.3909664919688705e-22,4.0665918385492496e-24,1.7937997779493933e-15,2.7439162985363686e-26,2.4472914155342183e-31,8.38355396595296e-32,3.0527260134136927e-30,0.0003845759704988884,7.473297484448196e-20,5.155517508702609e-31,-2.2418763847565378e-20,-1.0764353570442816e-24,2.2422096729714054e-20,3.316770356011089e-26,7.6810379632741e-26,1.716495911201109e-23,7.399681862731886e-39,8.043501925357013e-83,3.295471471149874e-25,5.565788595308264e-32
