Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(50),CH2O2X(51),CH3OX(46),CH3X(52),CH4(41),CH4X(238),CH3O2X(49),CH4O2(171),SX(188),SX(53),C2H4O(231),CH2OX(169),CHOX(168),SX(54),SX(55),SX(318),SX(259),SX(262),SX(450),C2HOX(465),C2H6O(236),SX(357),SX(497)
1.9920668632103062e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0011247455033725757,0.4511136073733463,2.929638539493942e-20,0.4569006123310767,1.681370069033389e-18,4.7787632706881734e-24,6.353506304068052e-14,3.361579745160669e-24,7.4817338664049346e-34,5.771622730078346e-05,2.180928898530554e-20,1.6981145188674107e-21,7.8771472274444105e-19,1.1285870016264772e-18,9.88627645190988e-12,1.3343186340655601e-18,5.5416364277716755e-24,9.644675433778593e-16,3.8153479269581183e-22,8.26434020776896e-27,9.047972956117975e-32,1.2671921835455672e-25,0.00040016286903876166,1.4733096584355276e-19,3.0279053733814968e-27,-3.2013420070698374e-24,5.090218068287617e-25,-4.426853563558506e-22,4.6498913873657706e-26,4.813918747375721e-25,4.391729647195332e-32,1.951807988245076e-42,2.5191545024903365e-30,1.4263049530420333e-28,5.565446437153653e-28,1.1011570753270288e-36,6.794894685707041e-43,3.440930181597284e-27,1.4359517450120116e-24,9.504551031626468e-34,1.7863193075658274e-33,1.0998151269009882e-31,1.1786140936865789e-32,8.04810381836377e-34,1.0935362892134416e-41
1.9990921700740975e-10,0.0005377589567108198,0.0915567593028733,0.0,0.001123673691692111,0.4511125095233315,2.950895837240234e-20,0.4569006123310469,1.6889209062029474e-18,4.81544167256881e-24,6.377802313588637e-14,3.4704888540724186e-24,7.481361543480947e-34,5.7664150573281696e-05,2.1940849793711935e-20,1.69806994187508e-21,7.890653121345559e-19,1.1323015786049413e-18,9.91587938167862e-12,1.3394214330980477e-18,1.0966334735857457e-24,9.644597941046061e-16,3.843666695483521e-22,8.809374398217717e-27,9.076221902921103e-32,1.3090519867605893e-25,0.0004012867574171251,1.4776304215922201e-19,3.0617663268372255e-27,-2.426532448677017e-24,5.078752385838078e-25,-4.434506481876044e-22,4.6637831719869206e-26,4.84891106930074e-25,4.4059075444098385e-32,1.4038699029595197e-42,2.5816113417920356e-30,1.4319299814444932e-28,5.587215647597685e-28,-1.6171011402756758e-36,6.73120720710653e-43,3.440822768906135e-27,1.4463687615175991e-24,9.395273949719051e-34,1.659044456974494e-33,1.1982929634497237e-31,1.2114437315481364e-32,8.047913499746653e-34,1.1220996503172106e-41
2.0061174769378887e-10,0.0005377589567108198,0.0915567593028733,0.0,0.001122603501356075,0.4511114133117314,2.9722229136824226e-20,0.45690061233101703,1.696473662236485e-18,4.852227436590894e-24,6.402076203165179e-14,3.580295802642899e-24,7.480222948957542e-34,5.7612107986613124e-05,2.2072678077560493e-20,1.6980258420274767e-21,7.904057282898887e-19,1.13601210803805e-18,9.945452358014258e-12,1.3445195867397593e-18,4.9547234180323074e-24,9.644520354628556e-16,3.8720697379089923e-22,8.523761197042061e-27,9.104363285446228e-32,1.3512475764929836e-25,0.00040240899031025696,1.4819371794627406e-19,3.0958535177899267e-27,5.727614997345384e-24,5.06653058292042e-25,-4.51598924257394e-22,4.677630174427983e-26,4.883977194495579e-25,4.4189086641103715e-32,1.2668477138088784e-42,2.6440758240550485e-30,1.4375642895835238e-28,5.608952055947995e-28,5.468001161088596e-37,6.736208276489935e-43,3.4406295885606914e-27,1.45680724336034e-24,7.997129407810199e-34,1.864806158875173e-33,1.2944700602260423e-31,1.244242989737723e-32,8.047716069352632e-34,1.150580661866836e-41
2.01314278380168e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0011215349289279287,0.4511103187355817,2.993619692587404e-20,0.4569006123309873,1.7040282973302149e-18,4.8891202096361295e-24,6.42632798750318e-14,3.690685793732293e-24,7.481681349589124e-34,5.756010048500683e-05,2.220477286770243e-20,1.6979822082031392e-21,7.917360190560057e-19,1.13971859473306e-18,9.97499542555723e-12,1.3496130980523789e-18,5.8632962271022795e-24,9.64444267596506e-16,3.900550078086841e-22,8.420497196909451e-27,9.132551271206364e-32,1.39365677511983e-25,0.0004035295702104663,1.486229970208764e-19,3.13016693770409e-27,-3.3020786604062485e-24,5.055953879872146e-25,-4.425639912472434e-22,4.6914325161852284e-26,4.919116627687804e-25,4.4308308199591226e-32,1.9360196268769524e-42,2.706511064358936e-30,1.4431916037797682e-28,5.630669890176606e-28,1.2040377506058693e-36,6.744048721615809e-43,3.440695545451132e-27,1.4672670402727935e-24,9.126218623014428e-34,1.8240903461448276e-33,1.390907559097284e-31,1.2770116226778077e-32,8.047538382534796e-34,1.1789795618982262e-41
2.0201680906654712e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0011204679710026951,0.4511092257919363,3.0150860978132684e-20,0.45690061233095747,1.7115847719227773e-18,4.9261196397422514e-24,6.45055768169302e-14,3.801721420345279e-24,7.481461871144262e-34,5.750812898601883e-05,2.233713321641915e-20,1.6979390294866527e-21,7.930562321193719e-19,1.1434210434994843e-18,1.0004508628852623e-11,1.3547019701805678e-18,9.877409390186719e-25,9.644364906461329e-16,3.9291016514675945e-22,9.008855538830399e-27,9.160577095877534e-32,1.436303787927864e-25,0.0004046484996051747,1.490508832012055e-19,3.1647069110397374e-27,-2.637521568821221e-24,5.044502561565078e-25,-4.432187676532042e-22,4.705190318823761e-26,4.954328876138351e-25,4.4417651986199105e-32,1.4493040561232506e-42,2.7689542070729917e-30,1.4488006460037416e-28,5.652378956619242e-28,-1.9086901776758214e-36,6.712000482929918e-43,3.440604166248577e-27,1.4777480027626195e-24,9.651293611916068e-34,1.6855745206044682e-33,1.488683344830157e-31,1.3097498524372677e-32,8.047375715263484e-34,1.207296658824722e-41
2.0271933975292625e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0011194026242062197,0.45110813447786663,3.0366220533093415e-20,0.45690061233092777,1.7191430466933635e-18,4.9632253762351165e-24,6.474765301205202e-14,3.9136758176416065e-24,7.4801793618988335e-34,5.7456194381233305e-05,2.2469758184719992e-20,1.6978962952610934e-21,7.943664150065843e-19,1.1471194591488921e-18,1.0033992012332039e-11,1.3597862063442218e-18,4.695856465209943e-24,9.64428704749115e-16,3.957736573582626e-22,8.75006669989898e-27,9.188491364498751e-32,1.4792944699952472e-25,0.00040576578097695193,1.4947738030710108e-19,3.1994735934111827e-27,6.161673298032676e-24,5.032217520290145e-25,-4.520117456241305e-22,4.718903703965652e-26,4.989613449628261e-25,4.451794442405131e-32,1.2148983382906535e-42,2.83141378582813e-30,1.4544128233997918e-28,5.674060631384164e-28,6.8190884932980995e-37,6.7286281349946575e-43,3.4403966118200365e-27,1.4882499821060345e-24,8.16090325109634e-34,1.8232120337060408e-33,1.5853197275787172e-31,1.3424579324205368e-32,8.047205427701374e-34,1.2355322948111583e-41
2.0342187043930537e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0011183388851944526,0.45110704479046193,3.058227483116213e-20,0.4569006123308981,1.7267030825599164e-18,5.000437069774946e-24,6.498950861899683e-14,4.026228235111951e-24,7.481652763938919e-34,5.7404297536944906e-05,2.2602646811889116e-20,1.69785399522255e-21,7.956666150836864e-19,1.1508138464947144e-18,1.0063445620356917e-11,1.36486580984752e-18,6.3685694475737936e-24,9.644209100397083e-16,3.9864489205769214e-22,8.558715801628115e-27,9.21646064531425e-32,1.5225043325478583e-25,0.00040688141680355396,1.499024921597434e-19,3.2344669360742544e-27,-3.418781653623545e-24,5.021690581441549e-25,-4.424260277542603e-22,4.732572793278596e-26,5.024969860445388e-25,4.46099165922481e-32,1.9300698506634937e-42,2.8938475641812726e-30,1.4600261854972442e-28,5.695716679111276e-28,1.4539694914841982e-36,6.72130228239568e-43,3.440462868216038e-27,1.4987728303377417e-24,8.734635208176906e-34,1.833284772863722e-33,1.6814368515361159e-31,1.3751358589354387e-32,8.047021467654654e-34,1.263686802520017e-41
2.041244011256845e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0011172767506527467,0.4511059567268284,3.079902311365773e-20,0.4569006123308684,1.734264840677408e-18,5.037754372143222e-24,6.523114379989634e-14,4.1393944232944544e-24,7.481615521537175e-34,5.7352439294822824e-05,2.2735798157474045e-20,1.6978121192801987e-21,7.969568795555801e-19,1.1545042103520544e-18,1.0092869497199557e-11,1.3699407840717658e-18,7.936176532808843e-25,9.644131066490856e-16,4.0152304312620965e-22,9.215259209328857e-27,9.244266683509137e-32,1.5659394107162135e-25,0.0004079954095579583,1.5032622258134027e-19,3.269687263690091e-27,-3.200016349624188e-24,5.010287817881539e-25,-4.42634837675031e-22,4.7461977084658697e-26,5.060397623371266e-25,4.4694255814997947e-32,1.5074332166619088e-42,2.9562776860081554e-30,1.4656219863502943e-28,5.717363434092621e-28,-2.331253687618263e-36,6.688801288723789e-43,3.4403906213979475e-27,1.5093164002554261e-24,9.800343878910079e-34,1.7032109855079608e-33,1.778398994764609e-31,1.407783511935152e-32,8.046841131724259e-34,1.2917601748069387e-41
2.0552946249844273e-10,0.0005377589567108198,0.0915567593028733,0.0,0.001115157281863927,0.4511037854593827,3.123459860177143e-20,0.4569006123308092,1.7493933694597737e-18,5.112704417621268e-24,6.571375354972645e-14,4.367244290415108e-24,7.501561287099451e-34,5.724884186444276e-05,2.3002885215505596e-20,1.697729600565691e-21,7.99507789694066e-19,1.1618728868689777e-18,1.0151628233885014e-11,1.3800768585518601e-18,2.9170361592121433e-24,9.643974743341863e-16,4.0730427405373417e-22,9.133064245232636e-27,9.299675314082771e-32,1.6533593599148264e-25,0.0004102184757183989,1.511695544235797e-19,3.340808139835753e-27,-1.1018694255228225e-26,4.987427468333591e-25,-4.457892562402944e-22,4.773315503398537e-26,5.131465277065042e-25,4.4844476120490766e-32,1.6099299816545505e-42,3.08118056704631e-30,1.4768042977250568e-28,5.760591532431302e-28,-9.795760142912073e-37,6.6047492422275685e-43,3.442409648060841e-27,1.5304651201037436e-24,1.084261729553375e-33,1.668984478195746e-33,1.9707215198628149e-31,1.4729926996570282e-32,8.047833724630392e-34,1.3476732185304417e-41
2.0679401773392513e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0011132552145674012,0.4511018368432854,3.1628982375426017e-20,0.456900612330756,1.7630145505603727e-18,5.180517174009276e-24,6.614735016481594e-14,4.5746864025004034e-24,7.521682772035023e-34,5.7155744158410515e-05,2.324415266934322e-20,1.6976566878957555e-21,8.017700992883858e-19,1.1684909837365595e-18,1.020440985844306e-11,1.389183528826462e-18,4.794360705183406e-24,9.643833768171783e-16,4.1253336161842147e-22,9.046194144471809e-27,9.349325986572232e-32,1.7329148101848772e-25,0.0004122136406681754,1.5192386694207352e-19,3.405594054518119e-27,-2.914006587176349e-24,4.967403277352935e-25,-4.428552411028161e-22,4.7975716646480676e-26,5.195665372482878e-25,4.496346306599707e-32,1.734725925367138e-42,3.193690260474394e-30,1.486855032125413e-28,5.799424570992946e-28,5.3463978115650975e-37,6.722708368074731e-43,3.444447154437353e-27,1.5495683747997483e-24,8.883446720787277e-34,1.8120887682837686e-33,2.1442979394294165e-31,1.5315949276383553e-32,8.050959038915469e-34,1.397743414359151e-41
2.0805857296940753e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0011113582954782816,0.45109989344394635,3.202560290136761e-20,0.45690061233070284,1.776640718287186e-18,5.248666745461327e-24,6.6580235276504e-14,4.7842514592631295e-24,7.540331913554308e-34,5.706278355402166e-05,2.3486256802589254e-20,1.697585003501542e-21,8.040009442268795e-19,1.1750961194434375e-18,1.0257095838272783e-11,1.3982752560517451e-18,-1.2695622238161307e-23,9.643692530813631e-16,4.177847700163858e-22,1.1210819354404837e-26,9.398503122745676e-32,1.8132510651658245e-25,0.0004142035203089992,1.5267376308182226e-19,3.471117173429596e-27,2.0224013023095298e-23,4.944656996604454e-25,-4.659754191789109e-22,4.8216865950819664e-26,5.260089215208162e-25,4.5071246464384916e-32,-1.0024478324293867e-42,3.306270996569746e-30,1.4968670384635562e-28,5.838211983044829e-28,-1.0245938747967958e-35,6.817569071264574e-43,3.446206942088103e-27,1.5687365127516787e-24,8.280360849402355e-34,1.6459177606041067e-33,2.319805999809492e-31,1.5901329345157732e-32,8.056168725249543e-34,1.4475917893133196e-41
2.0932312820488993e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0011094665062430405,0.4510979552450617,3.2424455788007066e-20,0.4569006123306498,1.7902716544419486e-18,5.317151144733278e-24,6.701240994832939e-14,4.997492973993126e-24,7.543848213560343e-34,5.6969964150735686e-05,2.372919228942793e-20,1.6975144970834548e-21,8.062005939104204e-19,1.1816883221086092e-18,1.0309686428285284e-11,1.4073520624116448e-18,4.318434157896066e-24,9.643551037910098e-16,4.2306285278309845e-22,9.413026382608711e-27,9.447798741130565e-32,1.894970011569597e-25,0.00041618812889493764,1.5341926513157434e-19,3.5373790203628215e-27,8.734583673278497e-24,4.925084332935162e-25,-4.544780899138894e-22,4.8456610045191973e-26,5.32473406389826e-25,4.516495994262283e-32,1.1606425178783995e-42,3.4188473813573054e-30,1.5068886905033502e-28,5.8769117959346075e-28,2.277491161136114e-37,6.626807813290468e-43,3.446405534260801e-27,1.5879687024001952e-24,9.71324051796195e-34,1.6701894554166103e-33,2.4914483939382216e-31,1.6486069655685795e-32,8.059365535778336e-34,1.49720479682281e-41
2.1058768344037233e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0011075798287670685,0.4510960222304808,3.282553665335185e-20,0.4569006123305969,1.8039071431819823e-18,5.385968397961242e-24,6.744387527506175e-14,5.213235882751068e-24,7.54023635336383e-34,5.6877289836656545e-05,2.3972953712881703e-20,1.6974451204150044e-21,8.083693160096444e-19,1.1882676198551877e-18,1.0362181882562244e-11,1.4164139707509494e-18,1.9275145330195316e-23,9.643409295839292e-16,4.283646563957474e-22,7.7298886637141e-27,9.496961773816728e-32,1.9776153174832076e-25,0.00041816748063249306,1.5416039536836737e-19,3.604379712623743e-27,-1.9474775503151034e-23,4.907180877650532e-25,-4.26260870394929e-22,4.8694956024284115e-26,5.389597202358117e-25,4.5244243159786175e-32,3.790276073906232e-42,3.5314317758696525e-30,1.5169052483686386e-28,5.915537144624992e-28,9.430087248901158e-36,6.657622131727829e-43,3.4458979488120795e-27,1.6072641198455473e-24,8.68091088490024e-34,1.973616272589477e-33,2.66200261318783e-31,1.707004787000718e-32,8.059798672458655e-34,1.5465698780987782e-41
2.1185223867585473e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0011056982452042768,0.45109409438420073,3.322884112500645e-20,0.45690061233054413,1.817546970990637e-18,5.4551165436923555e-24,6.787463238044477e-14,5.430446832627281e-24,7.5372859264530156e-34,5.678476429838135e-05,2.4217535698468535e-20,1.6973768274868473e-21,8.105073764584737e-19,1.1948340408075912e-18,1.041458245431638e-11,1.4254610045292095e-18,-1.0945099110778174e-23,9.643267310723535e-16,4.336859990646537e-22,1.1312949761125226e-26,9.545340563377623e-32,2.0607856698455452e-25,0.00042014158968115917,1.5489717605278956e-19,3.672119877035843e-27,1.1793775984282118e-23,4.883618007541947e-25,-4.575161042476707e-22,4.8931910977792714e-26,5.454675939302098e-25,4.5309985698338724e-32,-3.4197735821784063e-43,3.643974137173394e-30,1.526863692361059e-28,5.954134421081588e-28,-9.049217676912996e-36,6.846932323865107e-43,3.445409836336182e-27,1.6266219487837958e-24,7.876955861317015e-34,1.81071408949966e-33,2.8366376514933266e-31,1.765302947296763e-32,8.058630844529711e-34,1.595669902796382e-41
