Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(52),COX(53),CH3OX(48),CHOX(64),SX(57),CH2O2X(54),CH3X(25),CH4(24),CH4X(275),SX(189)
4.035489913063538e-22,0.00299236199292705,0.0,0.0,0.008139224620757312,0.7999999999999973,0.09999999999999946,0.1,9.925045885456204e-64,7.382675031614633e-47,3.3976407764199783e-43,4.0337990616274334e-106,1.481961125094379e-130,1.779765619906618e-15,1.270090342008691e-45,5.60077824665839e-43,2.495541597241817e-68,5.449282307036283e-16,2.5877012686638796e-18,1.6256980226167746e-41,2.5923322092220132e-40,1.551889520016797e-43,3.085400177691702e-62,8.030372088944339e-82,8.576557547433206e-80,6.5477213631066826e-105,1.934527847724929e-15,1.9357212772034651e-19,8.030372076812831e-82,1.313702851748923e-40,7.096176771229534e-132,1.146815441995935e-58,5.65083061527125e-100,5.254989325370901e-116,4.523413546699641e-102,1.3044070359433321e-111
8.074485899031563e-22,0.00299236199292705,0.0,0.0,0.008139224620753047,0.7999999999999945,0.09999999999999892,0.1,3.1807688151151612e-62,1.4771764203135002e-46,6.79823345620781e-43,1.2927479257976399e-104,1.9020502792506856e-128,3.561077517499624e-15,5.083753105739689e-45,4.4851649570646446e-42,4.008286551157518e-67,1.0903299001547019e-15,5.177650736642227e-18,1.3018769169799892e-40,1.0376084629272633e-39,6.211602417683481e-43,1.2352337496376129e-61,6.430810599397344e-81,6.86820190552361e-79,2.098407242512451e-103,3.8707364320661885e-15,3.873124326727258e-19,6.430810579957761e-81,5.258235028939465e-40,4.5508849382190874e-130,4.5902504545688616e-58,9.051149587241594e-99,3.3683086972621905e-114,1.4496590907622137e-100,4.1803507413754434e-110
1.6152477870967613e-21,0.00299236199292705,0.0,0.0,0.008139224620744515,0.7999999999999888,0.09999999999999783,0.1,1.0186073085757708e-60,2.9549942546175462e-46,1.3599418815783418e-42,4.1398875778499855e-103,2.4379190530520434e-126,7.123701312678142e-15,2.034294366116943e-44,3.5899497118932945e-41,6.451504975318815e-66,2.181133238450866e-15,1.0357549610388484e-17,1.0420291906167926e-39,4.151785383054201e-39,2.4854500632013724e-42,4.946859783137407e-61,5.1472549359298115e-80,5.497345199207039e-78,6.719925679683035e-102,7.743153600742626e-15,7.747930422289825e-19,5.1472549047700756e-80,2.1039789392145488e-39,2.915558019481819e-128,1.8366980890690044e-57,1.4489700334371887e-97,2.1573559871285978e-112,4.642378875379228e-99,1.3387128111508072e-108
3.230846181483971e-21,0.00299236199292705,0.0,0.0,0.008139224620727453,0.7999999999999775,0.09999999999999565,0.09999999999999999,3.260761815406328e-59,5.910629923225525e-46,2.7201789534934414e-42,1.3252593170931176e-101,3.1226466261538e-124,1.42489489030052e-14,8.140597670629122e-44,2.8726869085933453e-40,1.0435911987740054e-64,4.362739912619265e-15,2.0717347109039254e-17,8.33834466424908e-39,1.6609844882349144e-38,9.943418660246427e-42,1.985973299742726e-60,4.1188468052388607e-79,4.398989850004076e-77,2.1511801369842215e-100,1.548798793807119e-14,1.549754259947488e-18,4.118846755126575e-79,8.417285872149181e-39,1.8669176856153317e-126,7.347988337697978e-57,2.318981122795107e-96,1.3812323643280942e-110,1.4861166498545846e-97,4.285482615519872e-107
6.462042970258391e-21,0.00299236199292705,0.0,0.0,0.008139224620693327,0.7999999999999549,0.09999999999999128,0.09999999999999998,1.043638673089888e-57,1.1821901260441026e-45,5.4406530973235526e-42,4.241622492288872e-100,3.9983387812086667e-122,2.849944408353943e-14,3.259857454153326e-43,2.2984401987917288e-39,1.7053561665759566e-63,8.725953251260348e-15,4.1436941110973863e-17,6.671520283292591e-38,6.644478583369385e-38,3.977691156369462e-41,8.055077520175557e-60,3.2954946698561e-78,3.5196373286607336e-76,6.885062826996021e-99,3.0977656612631086e-14,3.0996766898084673e-18,3.2954945881167117e-78,3.3671884433299836e-38,1.1951382132341476e-124,2.939434545670418e-56,3.71087315856085e-95,8.841566090588357e-109,4.756462170590551e-96,1.3716107624785165e-105
1.292443654780723e-20,0.00299236199292705,0.0,0.0,0.008139224620625076,0.7999999999999097,0.09999999999998255,0.09999999999999994,3.3399549876279937e-56,2.3644443934870207e-45,1.0881601384983423e-41,1.3574460697123774e-98,5.118738591671311e-120,5.700043444412827e-14,1.309361816154887e-42,1.8388680841267324e-38,2.841953792183421e-62,1.745237988975964e-14,8.287612513337574e-17,5.337554056910769e-37,2.6578995008012698e-37,1.5911411934915964e-40,3.3990585648358514e-59,2.636562695985946e-77,2.8158879220822115e-75,2.203425848103624e-97,6.19569939613619e-14,6.199521527226301e-18,2.636562555285393e-77,1.3469302396958794e-37,7.649923497894654e-123,1.175821659909435e-55,5.937799901444923e-94,5.65913974869272e-107,1.5222101661588124e-94,4.3895646920218445e-104
2.5849223702904908e-20,0.00299236199292705,0.0,0.0,0.008139224620488574,0.7999999999998192,0.09999999999996509,0.09999999999999985,1.0688349947950264e-54,4.7289529283721297e-45,2.1763497960301782e-41,4.3440307283429116e-97,6.552539335506899e-118,1.1400241516338758e-13,5.3234092607797474e-42,1.4711402775146633e-37,4.9094999445594774e-61,3.490523301162674e-14,1.6575447725231302e-16,4.270178364000244e-36,1.0631813642097687e-36,6.364694159634556e-40,1.6427742467923137e-58,2.109317091000079e-76,2.252781353601563e-74,7.051291276920847e-96,1.2391566865726769e-13,1.2399211112845468e-17,2.109316802440522e-76,5.38783101761001e-37,4.89633985535227e-121,4.7033823072139105e-55,9.500802770332872e-93,3.622021679128283e-105,4.8713005131090665e-93,1.4047264353928738e-102
5.1698798013100265e-20,0.00299236199292705,0.0,0.0,0.008139224620215569,0.7999999999996382,0.09999999999993017,0.09999999999999969,3.4203484550896227e-53,9.457969998139438e-45,4.352729111093339e-41,1.3901228244570516e-95,8.387606790349134e-116,2.280063765942326e-13,2.2667563840138397e-41,1.176929648388217e-36,9.014435458512005e-60,6.981093863483506e-14,3.3151111778674673e-16,3.4161967109923286e-35,4.252768185110636e-36,2.5459034783982442e-39,1.1103766874668371e-57,1.68748102137159e-75,1.802253153848514e-73,2.256465368841394e-94,2.4783301804285574e-13,2.4798589927217806e-17,1.6874801534768895e-75,2.1551546847222836e-36,3.1338545688892506e-119,1.8813720426977108e-54,1.520154769472899e-91,2.3181497528314256e-103,1.558853159607164e-91,4.4952312213454597e-101
1.0339794663349099e-19,0.00299236199292705,0.0,0.0,0.008139224619669557,0.7999999999992764,0.09999999999986034,0.09999999999999935,1.094522097502268e-51,1.8916004137662407e-44,8.70548774121827e-41,4.448455709728057e-94,1.0736380916874028e-113,4.560142994252283e-13,1.1265022708457376e-40,9.415492525257291e-36,1.8132380388557527e-58,1.3962234739914812e-13,6.630241440420441e-16,2.7329789314014765e-34,1.701115499823578e-35,1.0183665040354528e-38,1.170194978851595e-56,1.3499988382516522e-74,1.4418132142057459e-72,7.2207700312370075e-93,4.956677167891381e-13,4.959734612849859e-17,1.349994847040322e-74,8.620665420183428e-36,2.0058256592544123e-117,7.525526300469563e-54,2.4322739465023334e-90,1.4836369753566656e-101,4.988400386869773e-90,1.4384942211426485e-99
2.0679624387427241e-19,0.00299236199292705,0.0,0.0,0.008139224618577537,0.7999999999985528,0.09999999999972067,0.09999999999999869,3.502477138922324e-50,3.7832072416661787e-44,1.7411005001473117e-40,1.4235399650258067e-92,1.3742880305369686e-111,9.120301449644419e-13,8.022741920090536e-40,7.532393166792685e-35,4.0881419265350764e-57,2.7924515499936085e-13,1.326049177299935e-15,2.1863916974384885e-33,6.804475891585548e-35,4.0734758394710026e-38,1.632374764419158e-55,1.0800234839355142e-73,1.1534539880796367e-71,2.3106577435228296e-91,9.913371141821278e-13,9.919485282120523e-17,1.0800004041210302e-73,3.448277204945599e-35,1.283915541512159e-115,3.0102180594431076e-53,3.891723417685782e-89,9.49550290549382e-100,1.5963264046379066e-88,4.603291672877322e-98
4.1359283835583527e-19,0.00299236199292705,0.0,0.0,0.008139224616393496,0.7999999999971054,0.09999999999944133,0.09999999999999735,1.120786979767733e-48,7.566420897447428e-44,3.4822039522171213e-40,4.5559943431792757e-91,1.759267280632737e-109,1.824061835551758e-12,8.835816024910421e-39,6.025877409676849e-34,1.0339370899759034e-55,5.584907304861379e-13,2.652095166817388e-15,1.7491166624703492e-32,2.721791087655e-34,1.6293919788197462e-37,2.5242234816692167e-54,8.641478748150485e-73,9.227631815567798e-71,7.394114339998039e-90,1.982675908569805e-12,1.9838984336720402e-16,8.640036283711844e-73,1.3793144498293813e-34,8.220116488201764e-114,1.2040886645066462e-52,6.227638135572664e-88,6.077999346305588e-98,5.108991859036736e-87,1.473268707467511e-96
8.271860273189609e-19,0.00299236199292705,0.0,0.0,0.008139224612025413,0.7999999999942107,0.09999999999888264,0.0999999999999947,3.5864661144820624e-47,1.5132848208935466e-43,6.964410856701695e-40,1.4595991799903183e-89,3.9468243724866454e-107,3.648125214761948e-12,1.2536917621745443e-37,4.8206282252430786e-33,2.8680726217151443e-54,1.116981722605144e-12,5.304170837959411e-15,1.399294465523141e-31,1.0887149433187968e-33,6.517568628251777e-37,4.0305971989901324e-53,6.921375762152287e-72,7.382083407692822e-70,2.3661169853489587e-88,3.965353495751954e-12,3.9677973310158603e-16,6.912138263425075e-72,5.5172758188142264e-34,6.9652783512493e-112,4.816357038326594e-52,9.9753796769829e-87,3.894343539545673e-96,1.6367624832375638e-85,4.719894506012201e-95
1.6543724052452124e-18,0.00299236199292705,0.0,0.0,0.008139224603289249,0.7999999999884213,0.09999999999776525,0.0999999999999894,1.1476332211304947e-45,3.0265702831615156e-43,1.3928824671364056e-39,4.714351530382169e-88,5.117198364595825e-105,7.296251965324561e-12,1.9418389610922813e-36,3.8563789307611096e-32,8.478774136810734e-53,2.2339630714253265e-12,1.060825694947389e-14,1.119435728618031e-30,4.3548436862929176e-33,2.6070255354252526e-36,6.531670377746498e-52,5.590290285625846e-71,5.905622695725716e-69,7.571681379747139e-87,7.930708663743434e-12,7.935591471402234e-16,5.530378401190496e-71,2.206922638450453e-33,4.522940190373128e-110,1.926542948015284e-51,1.610547007457234e-85,2.5153455163294686e-94,5.286572102911415e-84,1.5244759596436746e-93
3.3087451610977154e-18,0.00299236199292705,0.0,0.0,0.008139224585816925,0.7999999999768425,0.0999999999955305,0.0999999999999788,3.6721922835720844e-44,6.0531412075834934e-43,2.7857652392475364e-39,1.623820024624571e-86,7.061039170308226e-103,1.4592505435018708e-11,3.0811462634986674e-35,3.0849030037118995e-31,2.601640730431727e-51,4.467923227397256e-12,2.1216168255841667e-14,8.955481685436251e-30,1.741923774460736e-32,1.0428081842244517e-35,1.0758886786629487e-50,4.823416372853565e-70,4.724424216289486e-68,2.4233252849167793e-85,1.5861418974235113e-11,1.5871165134996803e-15,4.428694608919434e-70,8.82778483171327e-33,3.127147074082461e-108,7.706170238655078e-51,2.768141030956428e-84,1.7311109815737266e-92,1.8209214766434704e-82,5.25094198092132e-92
4.963117916950218e-18,0.00299236199292705,0.0,0.0,0.008139224568344601,0.7999999999652636,0.09999999999329574,0.0999999999999682,1.7568005230521645e-43,9.079712131902549e-43,4.178648032368176e-39,8.155270236412347e-86,3.744254269647328e-102,2.1888758873281797e-11,1.1642107095934213e-34,9.157976389670426e-31,1.2339334617017789e-50,6.70188084170363e-12,3.1823818651965844e-14,2.658657739321452e-29,3.7015676728947503e-32,2.2159642705845442e-35,4.1625828184737187e-50,1.543734612522636e-69,1.4025513056811771e-67,1.1594980176684437e-84,2.3792129259235513e-11,2.3806724181440143e-15,1.3161663887429637e-69,1.8759200375139476e-32,1.6194526745224946e-107,1.6375610100975713e-50,1.1112121914186348e-83,1.0298912175654707e-91,9.145182667687443e-82,2.637171240290131e-91
6.617490672802721e-18,0.00299236199292705,0.0,0.0,0.008139224550872282,0.7999999999536848,0.09999999999106099,0.0999999999999576,5.814256330042623e-43,1.2106283056144441e-42,5.5715308662162315e-39,2.900683516542832e-85,2.3364050077839436e-101,2.9185012280113813e-11,3.02872394696977e-34,1.9954071850390132e-30,4.0575450600466036e-50,8.935835914347345e-12,4.243120814426248e-14,5.793073026966709e-29,6.314406899424999e-32,3.780169372144182e-35,1.13855656898705e-49,3.7738757483064595e-69,3.056061507293675e-67,3.838257687479266e-84,3.172283951874463e-11,3.1742268610759097e-15,2.8729854498649035e-69,3.2001250538467515e-32,7.546959340958527e-107,2.7934864302657424e-50,3.151015327954249e-83,4.077311502350568e-91,3.252784995176188e-81,9.379961882267656e-91
9.926236184507728e-18,0.00299236199292705,0.0,0.0,0.008139224515927648,0.7999999999305271,0.09999999998659151,0.09999999999993638,3.392230581165708e-42,1.81594249046636e-42,8.357296739593927e-39,2.3168342860240348e-84,5.478747343649831e-100,4.3777519020011094e-11,1.1109501008188521e-33,5.791708673560298e-30,2.3468910261479346e-49,1.3403740094517087e-11,6.364537482344956e-14,1.681548967313395e-28,1.3073066392447352e-31,7.826343205175971e-35,4.783186157212785e-49,1.6219648298426708e-68,8.87069084196822e-67,2.2417701416431826e-83,4.7584259977936426e-11,4.761332316398439e-15,8.405219719992328e-69,6.625552608120649e-32,1.0358612698438256e-105,5.783560793844543e-50,1.5451920685070024e-82,3.592814596832271e-90,2.598086070875504e-80,7.492014434170724e-90
1.3234981696212733e-17,0.00299236199292705,0.0,0.0,0.008139224480983026,0.7999999999073694,0.09999999998212201,0.09999999999991516,1.128596797302887e-41,2.4212566753545648e-42,1.1143063057787553e-38,9.711622764560464e-84,3.362819229906185e-99,5.837002564432519e-11,2.8800907537119834e-33,1.266515775261974e-29,7.780016465350621e-49,1.7871634928110705e-11,8.485858211951183e-14,3.677355262913213e-28,2.2233681994134747e-31,1.3310531774159852e-34,1.331547945538021e-48,4.98715242568428e-68,1.9398980797008783e-66,7.465958753844903e-83,6.344568034338774e-11,6.348432396505344e-15,1.8561316699683258e-68,1.1268499338638373e-31,5.293730968067865e-105,9.83632778771485e-50,5.2281105368899595e-82,1.6625515647682408e-89,1.08906137004369e-79,3.140487530806425e-89
1.654372720791774e-17,0.00299236199292705,0.0,0.0,0.008139224446038415,0.7999999998842117,0.09999999997765255,0.09999999999989394,3.0429911137444863e-41,3.0265708603731597e-42,1.392883015198329e-38,3.4223907702787266e-83,1.766763149150817e-98,7.29625321448002e-11,6.296276987534371e-33,2.3760271701175373e-29,2.0922077361683978e-48,2.233951974753492e-11,1.0607076154797014e-13,6.89921373887955e-28,3.3967760749021874e-31,2.033544078940724e-34,3.078232998494989e-48,1.3576391540004546e-67,3.639469316151712e-66,2.0160370016654016e-82,7.930710060840287e-11,7.935526717470632e-15,3.535114059021742e-68,1.721598662828849e-31,2.2767032895483078e-104,1.5027699547570808e-49,1.5303702115029947e-81,6.294665668782678e-89,3.83788485245634e-79,1.1067161444064395e-88
2.316121823132775e-17,0.00299236199292705,0.0,0.0,0.008139224376149227,0.7999999998378963,0.09999999996871363,0.09999999999985153,1.793667117768472e-40,4.2371992320112136e-42,1.950036934726923e-38,7.241649485803881e-82,9.328737166382218e-97,1.0214754476645434e-10,2.4211775594403e-32,6.500270570120472e-29,1.2280114495498765e-47,3.1275258714974e-11,1.484919725280284e-13,1.887746937232774e-27,6.5317542619254126e-31,3.910413401303478e-34,1.2988506770446967e-47,1.1133298969397175e-66,9.95791197889513e-66,1.2077156299122504e-81,1.1102994083081572e-10,1.1109697720342379e-14,1.0600228622122009e-67,3.3106895626759737e-31,7.585205057441369e-103,2.889783192853862e-49,1.8035965018480934e-80,2.111580594853532e-87,8.120898197314175e-78,2.3417846160061265e-87
2.977870925473776e-17,0.00299236199292705,0.0,0.0,0.008139224306260089,0.7999999997915809,0.09999999995977475,0.0999999999998091,6.0491697565927965e-40,5.447827607820719e-42,2.5071918631652517e-38,4.341118707004544e-81,7.597758622892844e-96,1.3133255688513286e-10,6.430232311920839e-32,1.3701519219753544e-28,4.1348147721943373e-47,4.021095700985464e-11,1.9090900944029607e-13,3.979593348678649e-27,1.0711859773497128e-30,6.413036424913947e-34,3.6748907662947083e-47,4.6466372197932513e-66,2.099184832513696e-65,4.143271944029188e-81,1.4275278064530417e-10,1.428384533255889e-14,2.5221686298653453e-67,5.429705679728677e-31,5.389887181141505e-102,4.739259141777529e-49,9.051212401083894e-80,1.4956729393017995e-86,4.868205933291248e-77,1.4038189792956636e-86
4.301369130155778e-17,0.00299236199292705,0.0,0.0,0.008139224166481942,0.7999999996989502,0.09999999994189714,0.0999999999997243,4.136925326143379e-39,7.869084401160664e-42,3.621508247053105e-38,1.2926215796514822e-79,5.432793878380822e-94,1.8970257961377667e-10,2.917126864501656e-31,4.178075643977205e-28,2.8231450714571947e-46,5.808223160004016e-11,2.7573056493904493e-13,1.2138946845001888e-26,2.2206709641814715e-30,1.3295232217687353e-33,1.8916366119022217e-46,5.448793583808743e-65,6.402708036133605e-65,3.2007372121291308e-80,2.0619845905068073e-10,2.0632070395775002e-14,1.2733811562727812e-66,1.125755856593164e-30,2.549123492944469e-100,9.825488597071172e-49,1.690896133782914e-78,7.442156997780516e-85,1.449570656661052e-75,4.180024901510054e-85
6.948365539519782e-17,0.00299236199292705,0.0,0.0,0.0081392238869262,0.7999999995136888,0.09999999990614238,0.09999999999955471,5.209716532946449e-38,1.2711598631167252e-41,5.850202621645575e-38,1.1189374750797537e-77,1.2101483586646048e-91,3.064426190362699e-10,2.1823301329128767e-30,1.811657219199053e-27,3.555009486734181e-45,9.382429279204281e-11,4.4532361662759554e-13,5.267149407033886e-26,5.773292344871525e-30,3.456705861209809e-33,1.751860828908219e-45,1.5063312467506978e-63,2.7777675618594646e-64,7.552507026271839e-79,3.3308981096707667e-10,3.332823988523625e-14,2.140312989655678e-65,2.9274221234281855e-30,3.692646560734803e-98,2.5547965536140143e-48,8.89569623394155e-77,1.2631254291861822e-82,1.2547984880920163e-73,3.618332787236881e-83
1.2242358358247791e-16,0.00299236199292705,0.0,0.0,0.008139223327816915,0.7999999991431661,0.09999999983463481,0.09999999999921572,9.968540713853754e-37,2.2396640501847494e-41,1.0308307317421009e-37,1.994113674637801e-75,7.927531982504265e-89,5.399226737423659e-10,2.31783633883315e-29,1.0227645099626502e-26,6.820678003306621e-44,1.6530646328817013e-10,7.843095943270453e-13,2.9777654706830187e-25,1.7891528859919812e-29,1.0713773329640765e-32,2.5925647316731256e-44,7.6755537982934255e-62,1.569995344839584e-63,7.998701736960885e-77,5.868724952226492e-10,5.871945637164609e-14,9.742630258622676e-64,9.07650998303432e-30,1.2551531180099697e-95,7.920711939927491e-48,8.96029694954508e-75,4.484933788115416e-80,2.2362384263248294e-71,6.448263229122834e-81
2.283034399570381e-16,0.00299236199292705,0.0,0.0,0.008139222209607127,0.7999999984021208,0.0999999996916275,0.09999999999853855,2.426997735396678e-35,4.176706327906867e-41,1.923407485181518e-37,5.598901844266994e-73,7.951099700406234e-86,1.0068826865997948e-09,2.996764148778213e-28,6.780834937203307e-26,1.6725878083704273e-42,3.082629971306949e-10,1.4614819233383297e-12,1.979933719533737e-24,6.21674410838953e-29,3.72367368563466e-32,5.290671272904592e-43,5.792842939540029e-60,1.0436897868509606e-62,2.0771991561391696e-74,1.0944377854253714e-09,1.094973997462058e-13,7.253750611654999e-62,3.1568810634246854e-29,7.443375349173029e-93,2.7562940102719325e-47,1.346930965657969e-72,2.5152763334170994e-77,6.278719037466991e-69,1.8104059383072306e-78
