Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(48),CH2O2X(49),CH3OX(44),CH3X(50),CH4(39),CH4X(236),CH3O2X(47),CH4O2(169),H(23),HCO(31),OCHCO(260),SX(257),CH2OX(167),CHOX(166),SX(186),C2H6O(234),SX(408),SX(460),C2H4O(229),SX(525),SX(419)
0.14416159970960324,0.0027079452504016393,0.0915567593028733,0.0,0.0049681006726558325,0.448578074219018,1.9838399310453968e-22,0.45689516952885767,9.187481857997107e-06,3.907613218251747e-12,5.098623442456964e-07,2.4234568072225027e-07,3.0098562454664143e-15,0.00010995459656041848,2.621093772344165e-10,2.7311764831469235e-17,1.8223403699117387e-09,4.321372127050089e-07,5.593492637621148e-10,7.989507691390261e-11,3.2155286446736285e-23,2.6408231191541787e-14,6.308541359963953e-12,7.465615132638054e-17,6.083662570628467e-25,5.295871095375527e-10,0.002890877351155626,1.0797102742474246e-12,1.0847732807780235e-10,3.067244799572092e-19,4.142432455386909e-06,1.1474516073253075e-07,7.84214908241245e-19,6.587386281592351e-13,3.4939526564571837e-22,3.7942826832743698e-25,2.3657912565255597e-53,2.1201758425472448e-14,3.368744557593758e-21,3.042099459862987e-20,3.2687835018131355e-21,2.52798708621283e-17,1.777534428416345e-23,1.9374472801026462e-26,8.577921601388834e-17,2.7056653530463557e-18,2.6467406035077773e-23
0.14507297886886764,0.0027079452504016393,0.0915567593028733,0.0,0.00496810062901596,0.44857794651889155,1.997366948565541e-22,0.4568951373627512,9.251753912797087e-06,3.907880525282958e-12,5.09862183728842e-07,2.423631735487284e-07,3.010253347681514e-15,0.00010995457994376869,2.6211159311132514e-10,2.7317533398827622e-17,1.8350886980109428e-09,4.321673969133872e-07,5.593492194813206e-10,7.989994489126804e-11,3.215527921951618e-23,2.6408226405178085e-14,6.308988596187791e-12,7.466142394729073e-17,6.083660465117322e-25,5.296253310987724e-10,0.002890876502794115,1.0797099248446524e-12,1.0848517259525845e-10,3.090299443505047e-19,4.173685361773947e-06,1.1561079267506305e-07,7.84214650373121e-19,6.587383242557322e-13,3.4939521591401135e-22,3.794513901595033e-25,2.382067799678661e-53,2.120174844316399e-14,3.3689493013083912e-21,3.0422847839822206e-20,3.2701166465068986e-21,2.542773503304767e-17,1.787621522442458e-23,1.948779550420074e-26,8.581455282061284e-17,2.7067775386355174e-18,2.6478304612678145e-23
0.14598435802813203,0.0027079452504016393,0.0915567593028733,0.0,0.004968100586251122,0.4485778188132383,2.0108942653899477e-22,0.4568951051966556,9.316028181751927e-06,3.9081355099827805e-12,5.098620232977443e-07,2.423798576528253e-07,3.010632155901912e-15,0.00010995456334580601,2.621136905866562e-10,2.7323258494437482e-17,1.8478374653789201e-09,4.321961559336942e-07,5.593491752985093e-10,7.990458840466325e-11,3.2155272002934226e-23,2.6408221628037195e-14,6.30941522910368e-12,7.4666453208855e-17,6.083658361878134e-25,5.296617854913494e-10,0.0028908756549061733,1.0797095758136582e-12,1.0849265513927556e-10,3.113355652706696e-19,4.204940433595721e-06,1.1647648456924239e-07,7.8421439277323095e-19,6.587380204449564e-13,3.4939516618010822e-22,3.794734459238642e-25,2.398339928115971e-53,2.1201738467863236e-14,3.3691445820363116e-21,3.0424615627464684e-20,3.271428943222953e-21,2.5575525662617053e-17,1.797703251017785e-23,1.960106184673613e-26,8.584934304238487e-17,2.707872484364371e-18,2.648903454830832e-23
0.14689573718739643,0.0027079452504016393,0.0915567593028733,0.0,0.004968100544320829,0.4485776911023156,2.0244218675952607e-22,0.4568950730305708,9.380304561953597e-06,3.9083787356731305e-12,5.098618629484401e-07,2.423957699673789e-07,3.0109935047268938e-15,0.00010995454676566586,2.621156750032941e-10,2.7328942104035445e-17,1.8605866515958993e-09,4.3222355570230807e-07,5.593491312091478e-10,7.990901773692795e-11,3.215526479649825e-23,2.6408216859692565e-14,6.3098222000489534e-12,7.467125022908284e-17,6.0836562608058055e-25,5.296965534185489e-10,0.0028908748074698977,1.079709227137251e-12,1.0849979224044819e-10,3.1364133550397567e-19,4.23619757067529e-06,1.17342233641324e-07,7.842141354291543e-19,6.587377167226052e-13,3.4939511644411084e-22,3.7949448445777986e-25,2.4146078000546477e-53,2.1201728499245592e-14,3.36933083328444e-21,3.042630187624028e-20,3.2727213450152865e-21,2.5723245639222013e-17,1.8077798273185562e-23,1.971427404219313e-26,8.588361166343902e-17,2.708950978265226e-18,2.649960355062429e-23
0.14780711634666083,0.0027079452504016393,0.0915567593028733,0.0,0.004968100503186462,0.4485775633863687,2.0379497418961847e-22,0.4568950408644967,9.444582955196852e-06,3.908610740296586e-12,5.098617026771501e-07,2.42410945764677e-07,3.0113381913120343e-15,0.00010995453020252351,2.621175514694893e-10,2.7334586124034856e-17,1.8733362371751706e-09,4.32249659115009e-07,5.593490872089121e-10,7.991324270574831e-11,3.2155257599738784e-23,2.640821209973732e-14,6.3102104079996385e-12,7.467582562572748e-17,6.083654161800084e-25,5.297297119551099e-10,0.002890873960464396,1.079708878799033e-12,1.0850659968613565e-10,3.1594724816646956e-19,4.2674566774137465e-06,1.1820803724431592e-07,7.842138783290452e-19,6.587374130845772e-13,3.4939506670611624e-22,3.795145523893115e-25,2.430871568619124e-53,2.1201718537001505e-14,3.3695084689495524e-21,3.0427910323747747e-20,3.2739947618811237e-21,2.5870897743181973e-17,1.8178514564164217e-23,1.9827434221313862e-26,8.591738253945021e-17,2.7100137727742407e-18,2.651001898007613e-23
0.14871849550592522,0.0027079452504016393,0.0915567593028733,0.0,0.0049681004628111805,0.4485774356656313,2.0514778756165818e-22,0.45689500869843347,9.508863267767427e-06,3.9088320375274084e-12,5.098615424802687e-07,2.4242541872885066e-07,3.0116669769936093e-15,0.00010995451365559229,2.6211932486860144e-10,2.734019236542372e-17,1.8860862035210755e-09,4.322745261663682e-07,5.593490432936777e-10,7.991727268418556e-11,3.215525041220803e-23,2.6408207347783377e-14,6.310580711420602e-12,7.468018953812857e-17,6.083652064765345e-25,5.297613347054362e-10,0.002890873113869737,1.0797085307833627e-12,1.0851309255286459e-10,3.1825329668910715e-19,4.298717662583984e-06,1.1907389285226993e-07,7.84213621461607e-19,6.58737109526961e-13,3.4939501696621706e-22,3.7953369423482077e-25,2.447131381966396e-53,2.1201708580835766e-14,3.369677884183737e-21,3.04294445383168e-20,3.2752500626612448e-21,2.601848465042588e-17,1.8279183355616897e-23,1.9940544434839066e-26,8.595067844732929e-17,2.7110615863020337e-18,2.6520287864271964e-23
0.14962987466518962,0.0027079452504016393,0.0915567593028733,0.0,0.004968100423159846,0.44857730794032696,2.0650062566618482e-22,0.45689497653238087,9.573145410239416e-06,3.909043117836848e-12,5.09861382354356e-07,2.424392210253173e-07,3.011980588847718e-15,0.00010995449712412187,2.621209998684855e-10,2.7345762557503207e-17,1.8988365328888026e-09,4.322982140828284e-07,5.5934899945951e-10,7.992111662034538e-11,3.21552432334788e-23,2.640820260346047e-14,6.310933930039921e-12,7.468435164816125e-17,6.083649969610377e-25,5.297914919553371e-10,0.002890872267666916,1.0797081830753188e-12,1.0851928523740976e-10,3.205594748035366e-19,4.329980439133475e-06,1.1993979805482062e-07,7.842133648160623e-19,6.587368060460274e-13,3.493949672245018e-22,3.7955195249238707e-25,2.463387383411175e-53,2.1201698630466775e-14,3.36983945622363e-21,3.0430907926496286e-20,3.2764880768605415e-21,2.6166008936068673e-17,1.837980654458431e-23,2.0053606656248886e-26,8.598352113293022e-17,2.7120951047384126e-18,2.653041691269744e-23
0.15054125382445402,0.0027079452504016393,0.0915567593028733,0.0,0.004968100384198942,0.4485771802106686,2.0785348734925404e-22,0.45689494436633904,9.637429297281742e-06,3.90924444951365e-12,5.098612222961308e-07,2.4245238336732756e-07,3.01227972118524e-15,0.00010995448060739656,2.6212258093053134e-10,2.7351298351470217e-17,1.9115872083459934e-09,4.323207774496528e-07,5.593489557026568e-10,7.992478305620601e-11,3.215523606314372e-23,2.6408197866415494e-14,6.311270846549044e-12,7.468832120030907e-17,6.0836478762481755e-25,5.298202508174414e-10,0.0028908714218377997,1.079707835660669e-12,1.0852519148657984e-10,3.228657765285198e-19,4.361244923995863e-06,1.208057505519694e-07,7.842131083821348e-19,6.587365026382207e-13,3.493949174810547e-22,3.795693677312297e-25,2.479639711550498e-53,2.1201688685626042e-14,3.3699935451841774e-21,3.043230374022205e-20,3.2777095963904674e-21,2.6313473077887646e-17,1.8480385955314222e-23,2.0166622784427146e-26,8.601593135671102e-17,2.713114982892576e-18,2.6540412530803883e-23
0.15145263298371842,0.0027079452504016393,0.0915567593028733,0.0,0.0049681003458965,0.4485770524768594,2.092063715099174e-22,0.4568949122003079,9.701714847473147e-06,3.9094364796417995e-12,5.098610623024643e-07,2.424649350797468e-07,3.0125650369851196e-15,0.00010995446410473373,2.6212407231836217e-10,2.7356801323850562e-17,1.924338213736047e-09,4.323422683320784e-07,5.593489120195389e-10,7.99282801456446e-11,3.215522890081421e-23,2.6408193136311622e-14,6.311592208231981e-12,7.469210702089989e-17,6.083645784595771e-25,5.2984767537057e-10,0.0028908705763650974,1.0797074885258393e-12,1.085308244257643e-10,3.251721961569514e-19,4.3925110379108586e-06,1.2167174814909815e-07,7.842128521500218e-19,6.587361993001505e-13,3.493948677359563e-22,3.795859786773224e-25,2.4958885003874916e-53,2.1201678746057456e-14,3.3701404948186073e-21,3.043363508367963e-20,3.2789153772371287e-21,2.646087945970144e-17,1.8580923341851508e-23,2.0279594646250886e-26,8.604792893744754e-17,2.71412184587189e-18,2.65502808334957e-23
0.1523640121429828,0.0027079452504016393,0.0915567593028733,0.0,0.004968100308222028,0.44857692473909316,2.1055927709781343e-22,0.4568948800342875,9.766001983125301e-06,3.909619635037592e-12,5.098609023703703e-07,2.424769041602028e-07,3.0128371692690663e-15,0.00010995444761548225,2.621254781062044e-10,2.7362272979790225e-17,1.9370895336430103e-09,4.3236273639101234e-07,5.593488684067421e-10,7.993161567170351e-11,3.2155221746119567e-23,2.640818841282752e-14,6.311898728527047e-12,7.469571753654559e-17,6.083643694574003e-25,5.298738267933488e-10,0.0028908697312323125,1.0797071416578793e-12,1.0853619658630233e-10,3.2747872824344856e-19,4.42377870525205e-06,1.2253778875220134e-07,7.842125961103741e-19,6.587358960285823e-13,3.4939481798928324e-22,3.796018222953981e-25,2.5121338794541266e-53,2.1201668811516757e-14,3.370280633246345e-21,3.0434904919877526e-20,3.280106141058907e-21,2.66082303746525e-17,1.8681420390550313e-23,2.0392523999105853e-26,8.6079532794101e-17,2.7151162904024377e-18,2.6560027658048166e-23
0.1532753913022472,0.0027079452504016393,0.0915567593028733,0.0,0.00496810027114644,0.4485767969975549,2.1191220311086587e-22,0.45689484786827766,9.830290630113648e-06,3.909794323147622e-12,5.09860742497002e-07,2.4248831733770005e-07,3.0130967224198768e-15,0.00010995443113902106,2.6212680218694096e-10,2.7367714756210087e-17,1.9498411533580376e-09,4.323822289935091e-07,5.593488248610098e-10,7.99347970631261e-11,3.215521459870627e-23,2.640818369565678e-14,6.312191088523695e-12,7.469916079181577e-17,6.083641606107382e-25,5.298987634922915e-10,0.0028908688864237144,1.0797067950444391e-12,1.0854131993171755e-10,3.297853675924859e-19,4.455047853862226e-06,1.2340387036332768e-07,7.842123402542758e-19,6.587355928204341e-13,3.4939476824110896e-22,3.7961693386748338e-25,2.5283759739329718e-53,2.1201658881771026e-14,3.3704142736501422e-21,3.043611607694234e-20,3.2812825767163704e-21,2.6755528028396778e-17,1.878187872251138e-23,2.050541253333111e-26,8.611076098591208e-17,2.7160988860936366e-18,2.656965857647801e-23
0.1541867704615116,0.0027079452504016393,0.0915567593028733,0.0,0.004968100234641999,0.4485766692524208,2.1326514859308404e-22,0.4568948157022785,9.894580717715748e-06,3.909960932908793e-12,5.098605826796426e-07,2.424992001287738e-07,3.0133442734448426e-15,0.00010995441467475788,2.6212804827985233e-10,2.7373128024827875e-17,1.962593058847305e-09,4.324007913182219e-07,5.593487813792369e-10,7.993783141018375e-11,3.215520745823717e-23,2.640817898450706e-14,6.312469938396311e-12,7.470244446616747e-17,6.083639519123905e-25,5.299225412245019e-10,0.002890868041924296,1.0797064486737375e-12,1.0854620588285124e-10,3.3209210924705366e-19,4.486318414896017e-06,1.2426999107622223e-07,7.842120845732221e-19,6.587352896727656e-13,3.493947184915032e-22,3.7963134706806787e-25,2.5446149047775587e-53,2.1201648956598094e-14,3.3705417149433223e-21,3.043727125414422e-20,3.2824453417365537e-21,2.6902774542199716e-17,1.8882299895943958e-23,2.0618261874591577e-26,8.614163075077579e-17,2.7170701766486245e-18,2.6579178907383563e-23
0.155098149620776,0.0027079452504016393,0.0915567593028733,0.0,0.004968100198682245,0.4485765415038592,2.1461811263246253e-22,0.45689478353629004,9.958872178456829e-06,3.9101198355717404e-12,5.098604229157022e-07,2.4250957689126915e-07,3.0135803731861515e-15,0.00010995439822212773,2.621292199380575e-10,2.7378514095052336e-17,1.9753452367213796e-09,4.3241846645603364e-07,5.593487379584607e-10,7.994072547982117e-11,3.215520032439066e-23,2.6408174279099577e-14,6.312735898777213e-12,7.470557589015744e-17,6.083637433554902e-25,5.299452132151895e-10,0.0028908671977197486,1.079706102534539e-12,1.0855086534193331e-10,3.343989484778274e-19,4.517590322669531e-06,1.2513614907216477e-07,7.842118290591041e-19,6.587349865827747e-13,3.493946687405326e-22,3.7964509403603546e-25,2.560850788831325e-53,2.120163903578615e-14,3.3706632424082792e-21,3.043837302766264e-20,3.283595063714002e-21,2.7049971955939812e-17,1.8982685408454142e-23,2.073107358617999e-26,8.61721585419594e-17,2.718030681022389e-18,2.658859372727367e-23
0.1560095287800404,0.0027079452504016393,0.0915567593028733,0.0,0.004968100163241945,0.44857641375203067,2.159710943589743e-22,0.4568947513703121,1.0023164947962179e-05,3.910271385489073e-12,5.098602632027094e-07,2.425194708758373e-07,3.0138055474802777e-15,0.0001099543817805918,2.621303205556597e-10,2.7383874216754163e-17,1.9880976742059193e-09,4.324352955060966e-07,5.59348694595856e-10,7.994348573014656e-11,3.215519319685998e-23,2.6408169579168423e-14,6.312989562071212e-12,7.470856206096454e-17,6.083635349334869e-25,5.299668302701952e-10,0.0028908663537964207,1.0797057566161268e-12,1.0855530871563105e-10,3.367058807728075e-19,4.548863514516675e-06,1.2600234261598993e-07,7.842115737041863e-19,6.587346835477874e-13,3.493946189882606e-22,3.796582054434829e-25,2.57708373894486e-53,2.120162911913312e-14,3.370779128307367e-21,3.0439423856102836e-20,3.2847323416511898e-21,2.7197122231020776e-17,1.9083036699259913e-23,2.0843849171248535e-26,8.620236006323257e-17,2.7189808945298115e-18,2.659790788140677e-23
0.1569209079393048,0.0027079452504016393,0.0915567593028733,0.0,0.004968100128297032,0.44857628599708815,2.173240929426547e-22,0.4568947192043448,1.0087458964816136e-05,3.9104159208699885e-12,5.098601035383074e-07,2.425289042752479e-07,3.0140202982685276e-15,0.00010995436534963618,2.6213135337461227e-10,2.738920958291938e-17,2.000850359113724e-09,4.324513176675018e-07,5.593486512887284e-10,7.994611832429669e-11,3.2155186075352616e-23,2.6408164884459967e-14,6.313231493714268e-12,7.47114096572523e-17,6.083633266401336e-25,5.299874408837447e-10,0.0028908655101412962,1.0797054109082783e-12,1.0855954593712009e-10,3.390129018274421e-19,4.58013793065188e-06,1.2686857005228914e-07,7.842113185010925e-19,6.587343805652562e-13,3.49394569234748e-22,3.7967071056157144e-25,2.593313864091362e-53,2.1201619206446356e-14,3.3708896324674272e-21,3.044042608577422e-20,3.285857747241027e-21,2.7344227253194242e-17,1.918335515133609e-23,2.0956590074972324e-26,8.623225030247984e-17,2.719921289905854e-18,2.660712599416164e-23
0.1578322870985692,0.0027079452504016393,0.0915567593028733,0.0,0.004968100093824549,0.4485761582391778,2.186771075917703e-22,0.45689468703838815,1.015175417042733e-05,3.910553764502491e-12,5.098599439202483e-07,2.4253789827159513e-07,3.0142251046605032e-15,0.0001099543489287707,2.621323214913077e-10,2.7394521332189146e-17,2.0136032798179622e-09,4.324665703267701e-07,5.593486080345076e-10,7.994862914370013e-11,3.2155178959589545e-23,2.6408160194732285e-14,6.313462233378267e-12,7.47141250533956e-17,6.083631184694726e-25,5.300070913416013e-10,0.0028908646667419576,1.0797050654012451e-12,1.085635864872134e-10,3.41320007535157e-19,4.611413514038916e-06,1.277348298017753e-07,7.842110634427866e-19,6.587340776327505e-13,3.4939451948005255e-22,3.796826373235194e-25,2.609541269480327e-53,2.1201609297542084e-14,3.3709950028389498e-21,3.04413819557397e-20,3.2869718260936677e-21,2.749128883529533e-17,1.9283642093488962e-23,2.1069297686645474e-26,8.626184356385455e-17,2.7208523183197202e-18,2.661625247895811e-23
