Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(52),COX(53),CH3OX(48),CHOX(64),SX(57),CH2O2X(54),CH3X(25)
6.08217712997798e-08,0.000897708597878115,0.0,0.0,0.00014959588347545895,0.7986231223925202,0.09999983623448691,0.09999999988308944,9.047753254378215e-11,3.556091828903967e-10,4.800289240493041e-15,5.480276016717949e-12,1.452296891069039e-14,0.0018303082109340815,9.867323857936094e-16,6.345856460408751e-17,1.0648590217191524e-15,1.2052525467273246e-07,2.6425947614858903e-11,3.933937417943362e-08,3.8175697484519876e-19,3.465165929087462e-22,3.6017334519852347e-09,1.6175894703619225e-14,1.0256810451340799e-30,4.4242675662313386e-15,0.000461699770507455,2.642540134904024e-11,1.9312826987877775e-12,1.3492289259387e-13,1.7998535977895038e-24,5.513660124724687e-22,1.543019432717448e-19
6.104818021390574e-08,0.000897708597878115,0.0,0.0,0.00014954963813156586,0.7986231787726661,0.09999983630851901,0.09999999988267883,9.089628788171905e-11,3.572035251137636e-10,4.817288457591976e-15,5.511840055727058e-12,1.4570065282543296e-14,0.0018305135787781515,9.864186550544847e-16,6.346510626267004e-17,1.0694577221399726e-15,1.204879888033283e-07,2.6417778324679888e-11,3.9301235644040933e-08,3.817990635921126e-19,3.465317680931653e-22,3.601896924437594e-09,1.6183166148657254e-14,1.0293360892615961e-30,4.429473586263121e-15,0.0004615407232547861,2.6417231868594733e-11,1.9405046086396106e-12,1.3544687730704975e-13,1.8051312452490095e-24,5.5314753791671155e-22,1.5504642686160942e-19
6.127458912803168e-08,0.000897708597878115,0.0,0.0,0.0001495040859139684,0.7986232343060033,0.09999983638139232,0.09999999988226801,9.131513269147744e-11,3.587979071976228e-10,4.834287391788839e-15,5.543422507978883e-12,1.461713732296577e-14,0.0018307158650310745,9.861096265134068e-16,6.347154928474946e-17,1.0740594093954096e-15,1.2045128148319263e-07,2.6409731476016195e-11,3.9263700649062154e-08,3.8184052062684667e-19,3.46546713540976e-22,3.6020570027958115e-09,1.6190328647337163e-14,1.0329901085750524e-30,4.4346488018597276e-15,0.0004613840633080285,2.6409184832570812e-11,1.949727039488789e-12,1.3597083711402427e-13,1.8104106655720835e-24,5.549303965394475e-22,1.5579107064004044e-19
6.150099804215762e-08,0.000897708597878115,0.0,0.0,0.00014945921632013366,0.7986232890054143,0.09999983645312539,0.09999999988185698,9.173406563683432e-11,3.6039232763180344e-10,4.851286049800943e-15,5.575023114109029e-12,1.4664185394715858e-14,0.001830915116490958,9.858052289214276e-16,6.347789518134354e-17,1.0786640595238139e-15,1.2041512424872115e-07,2.6401805213583785e-11,3.9226759064853214e-08,3.81881355547564e-19,3.465614328015062e-22,3.6022137446223004e-09,1.6197383750015612e-14,1.0366431134399906e-30,4.4397936589792515e-15,0.0004612297543901461,2.6401258385638745e-11,1.9589499665935543e-12,1.3649477182049825e-13,1.8156918598973434e-24,5.567145771601639e-22,1.565358729479575e-19
6.172740695628356e-08,0.000897708597878115,0.0,0.0,0.00014941501901002968,0.7986233428835819,0.09999983652373642,0.09999999988144574,9.21530854016674e-11,3.619867849315694e-10,4.8682844381677675e-15,5.606641618400917e-12,1.4711209854824502e-14,0.0018311113792287357,9.85505392131693e-16,6.348414544050385e-17,1.083271648640795e-15,1.2037950876727067e-07,2.6393997710804626e-11,3.919040094942363e-08,3.8192157780314634e-19,3.465759293671311e-22,3.602367206423403e-09,1.6204332986001845e-14,1.0402951141286266e-30,4.44490859754783e-15,0.00046107776078845866,2.6393450701175537e-11,1.968173365600076e-12,1.3701868123544866e-13,1.8209748288620376e-24,5.585000686352404e-22,1.5728083215326348e-19
6.19538158704095e-08,0.000897708597878115,0.0,0.0,0.00014937148380351234,0.7986233959529901,0.09999983659324332,0.0999999998810343,9.257219068964994e-11,3.635812776371564e-10,4.885282563256044e-15,5.638277768737543e-12,1.4758211054691927e-14,0.0018313046985999524,9.85210047081969e-16,6.349030152676336e-17,1.0878821529416018e-15,1.2034442683505296e-07,2.6386307169345035e-11,3.9154616544426416e-08,3.8196119669561613e-19,3.465902066742485e-22,3.602517443671646e-09,1.6211177863816857e-14,1.043946120820221e-30,4.449994051529183e-15,0.0004609280473454764,2.638575998080334e-11,1.977397212536137e-12,1.3754256517106447e-13,1.8262595726187886e-24,5.602868598594245e-22,1.5802594665038631e-19
6.218022478453544e-08,0.000897708597878115,0.0,0.0,0.00014932860067775724,0.7986234482259292,0.09999983666166373,0.09999999988062266,9.299138022394788e-11,3.651758043133176e-10,4.9022804312647535e-15,5.669931316553766e-12,1.4805189340182234e-14,0.0018314951192563412,9.849191257775074e-16,6.349636488090249e-17,1.0924955487034295e-15,1.20309870375065e-07,2.6378731818662062e-11,3.91193962712497e-08,3.8200022138251893e-19,3.466042681042374e-22,3.6026645108274495e-09,1.6217919871449885e-14,1.047596143601603e-30,4.455050448993705e-15,0.0004607805794498953,2.6378184453935716e-11,1.986621483804938e-12,1.380664234426885e-13,1.831546090851879e-24,5.620749397672544e-22,1.5877121485982856e-19
6.240663369866138e-08,0.000897708597878115,0.0,0.0,0.0001492863597647356,0.7986234997144984,0.0999998367290149,0.09999999988021085,9.341065274692271e-11,3.6677036354887937e-10,4.919278048229946e-15,5.701602016789156e-12,1.4852145051716238e-14,0.001831682685157201,9.846325612734494e-16,6.350233692167975e-17,1.0971118122876618e-15,1.2027583143505426e-07,2.6371269915557527e-11,3.908473072720667e-08,3.820386608792606e-19,3.466181169843963e-22,3.602808461360292e-09,1.622456047661254e-14,1.0512451924686415e-30,4.460078212187081e-15,0.00046063532302775,2.637072237733173e-11,1.9958461561790045e-12,1.385902558687596e-13,1.83683438279309e-24,5.638642973344215e-22,1.5951663522772572e-19
6.263304261278732e-08,0.000897708597878115,0.0,0.0,0.00014924475134873297,0.7986235504306083,0.0999998367953139,0.09999999987979881,9.383000701983989e-11,3.6836495395630606e-10,4.936275420029386e-15,5.733289627841386e-12,1.489907852436251e-14,0.001831867439580579,9.843502876582363e-16,6.350821904537359e-17,1.101730920142034e-15,1.2024230218551918e-07,2.6363919743739793e-11,3.9050610681821134e-08,3.8207652406140863e-19,3.4663175658886715e-22,3.602949347769352e-09,1.6231101126990505e-14,1.0548932773266322e-30,4.465077757598465e-15,0.00046049224453371913,2.636337203465771e-11,2.0050712067942103e-12,1.3911406227075682e-13,1.8421244472370947e-24,5.6565492157907895e-22,1.602622062254122e-19
6.285945152691326e-08,0.000897708597878115,0.0,0.0,0.00014920376586391074,0.7986236003859851,0.09999983686057741,0.09999999987938658,9.424944182258037e-11,3.6995957417127427e-10,4.9532725523870935e-15,5.764993911520156e-12,1.4945990087926785e-14,0.0018320494251342556,9.840722400372049e-16,6.351401262591398e-17,1.106352848802736e-15,1.2020927491774323e-07,2.635667961339294e-11,3.901702707320577e-08,3.821138196669494e-19,3.466451901395384e-22,3.603087221603651e-09,1.6237543250492705e-14,1.0585404079909715e-30,4.4700494960281534e-15,0.00046035131094258235,2.6356131736056363e-11,2.014296613143894e-12,1.3963784247314395e-13,1.847416282556442e-24,5.67446801563099e-22,1.6100792634899594e-19
6.30858604410392e-08,0.000897708597878115,0.0,0.0,0.00014916339389190933,0.7986236495921718,0.09999983692482187,0.09999999987897419,9.466895595335721e-11,3.7155422285225457e-10,4.970269450877727e-15,5.796714633001672e-12,1.4992880067039684e-14,0.0018322286837665445,9.837983545160005e-16,6.351971901613785e-17,1.1109775748964458e-15,1.2017674204186362e-07,2.634954786075339e-11,3.8983971004530357e-08,3.821505562985091e-19,3.4665842080693345e-22,3.603222133481689e-09,1.624388825549808e-14,1.0621865941883635e-30,4.474993832654808e-15,0.00046021248974082617,2.6348999817723426e-11,2.0235223530730882e-12,1.40161596303316e-13,1.8527098867161223e-24,5.69239926393278e-22,1.617537941189402e-19
6.331226935516514e-08,0.000897708597878115,0.0,0.0,0.0001491236261594917,0.7986236980605338,0.09999983698806343,0.09999999987856159,9.508854822843727e-11,3.731488986801042e-10,4.98726612093083e-15,5.828451560783637e-12,1.503974878124283e-14,0.0018324052567769017,9.835285681848077e-16,6.352533954745694e-17,1.1156050751422915e-15,1.2014469608497168e-07,2.6342522847693614e-11,3.895143374057739e-08,3.821867424255342e-19,3.466714517110806e-22,3.6033541331106164e-09,1.6250137531099936e-14,1.0658318455572447e-30,4.4799111671021696e-15,0.0004600757489183929,2.6341974641491356e-11,2.0327484047728496e-12,1.4068532359154604e-13,1.8580052572877318e-24,5.710342852224918e-22,1.6249980807965342e-19
