Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(50),CH2O2X(51),CH3OX(46),CH3X(52),CH4(41),CH4X(238),CH3O2X(49),CH4O2(171),SX(188),SX(53),C2H4O(231),CH2OX(169),CHOX(168),SX(54),SX(55),SX(262),SX(259),SX(436),C2HOX(464),C2H6O(236),SX(357),OCCO(227)
1.8172534180303366e-09,0.0027149456784039327,0.1557,0.0,0.0058854428127977955,0.6422241764522085,0.20004914223103315,4.389071050716845e-19,3.607956697578574e-21,3.436906229488231e-16,-4.2715287161591115e-25,1.5846181774721625e-16,-2.7908621406662233e-20,0.00015592202866459206,8.227542506926544e-18,-5.83598369440356e-23,2.9582008596044204e-21,0.0018508577444675892,-5.073133273330961e-19,2.4470336325140004e-11,-1.429403240891461e-30,9.918351815955466e-27,2.8041588607157055e-14,2.3649432698808196e-20,-6.23665517219995e-40,5.857457196623501e-18,9.786252119963081e-05,-1.652048356611845e-31,7.517022069034103e-19,3.2012496015373453e-21,1.455799820735015e-20,-5.133866587995493e-19,-1.3931298339223795e-33,6.988397863703324e-34,8.61680982269823e-18,-1.2991564508489477e-25,4.423638214412541e-20,2.5956002439475887e-21,8.59286027400063e-21,1.0053963602598211e-19,-8.875123599026373e-27,4.443353761719078e-22,2.0252722233146243e-33,4.324765738219097e-21,-3.805725575530297e-21,-9.947253970622382e-33,1.1486091610916008e-34,1.308466084415915e-36
1.82240265190941e-09,0.0027149456784039327,0.1557,0.0,0.005881935047321324,0.6422239832114632,0.20004578066015613,5.195627755178742e-19,3.733666398976259e-21,3.461666233874868e-16,-4.0345661333600085e-25,1.596656651522081e-16,-3.240410335736819e-20,0.00015582793648283394,8.290347166102987e-18,2.382681922281882e-23,2.928660867735217e-21,0.0018542193152325628,-3.3282260268990947e-19,2.458220728134507e-11,1.677648879799599e-30,-2.618102071615351e-26,2.8243116817173507e-14,2.3762844216948267e-20,-2.8479885709485082e-39,5.901852335762804e-18,9.810280797962491e-05,-1.8511552356381148e-31,7.585001955415594e-19,-2.3253719368220308e-21,1.4592018887094265e-20,2.9532209906287114e-18,3.070989398490664e-34,3.7150705636640093e-34,5.341514936710311e-18,6.236855078342045e-26,1.7641419808151297e-19,2.94835257073057e-22,1.0623018357244315e-20,-1.4997615380398414e-19,-4.984386076733738e-28,-5.761000733500617e-22,1.0718718639188452e-33,-3.402432131977071e-21,5.07408995134228e-21,-8.952536874177716e-33,2.247545325349843e-35,1.3365859494899038e-36
1.8275518857884834e-09,0.0027149456784039327,0.1557,0.0,0.005878435127946835,0.6422237900246632,0.20004242698563768,4.639522918429506e-19,3.677995447598057e-21,3.4865242746218503e-16,-3.7366586908407577e-25,1.6088587689953455e-16,-3.2995204938402294e-20,0.000155734052713418,8.354488001469469e-18,-2.784459566450517e-23,2.719796170884638e-21,0.0018575729896388351,-1.7517238090204298e-18,2.4694213647401876e-11,-1.5989822112746846e-29,-3.521496679471295e-26,2.844542623952694e-14,2.3892040880869908e-20,3.3063034693739347e-38,5.946852360513182e-18,9.834293660809992e-05,-2.0342971278744007e-31,7.653375479236912e-19,2.367991600552138e-20,1.4668181038224173e-20,6.028157983500038e-18,-5.994815787614372e-33,-8.92179180811406e-34,7.428536499629647e-19,-4.504665886750211e-25,2.6314247862997718e-19,6.393913859471354e-21,5.411978401497736e-21,1.3251911938604207e-18,1.1408685313471522e-27,3.960082578140624e-21,-2.6026737919068493e-33,1.3087954165242631e-20,-1.5734651606928533e-20,-8.237774930984382e-33,1.0166282010276891e-33,1.3652140271380431e-36
1.8327011196675569e-09,0.0027149456784039327,0.1557,0.0,0.00587494303653417,0.6422235968917123,0.20003908118919983,3.8431787288642255e-19,3.611972686989352e-21,3.511480392395142e-16,-3.7336540749894396e-25,1.6210552484475272e-16,-2.4268814079950315e-20,0.00015564037687996622,8.418622675942447e-18,-7.075067844154817e-23,2.5030771208899434e-21,0.0018609187859642965,-3.9909302172417133e-19,2.4806355029673326e-11,-6.88884377842353e-31,-1.340622267423538e-26,2.864853574978652e-14,2.3999932139435815e-20,-2.379865680451988e-39,5.991828979395315e-18,9.85829074197021e-05,-2.260361414222483e-31,7.72213050560096e-19,1.2430021167351233e-21,1.4822856992620924e-20,9.405827636368356e-18,-1.2703883716578236e-32,-3.0280970175173368e-33,-1.2761234943746997e-18,-9.728928583323125e-26,2.638982502543957e-19,2.6488482632035785e-21,8.688839253023175e-21,4.330715791213148e-20,6.008529489390975e-28,4.043955030245201e-22,-8.813311037893625e-33,5.146560871885343e-21,-4.603126330526944e-21,-7.463739341948917e-33,1.4686030509905128e-33,1.3943604034753512e-36
1.8378503535466303e-09,0.0027149456784039327,0.1557,0.0,0.005871458754984401,0.6422234038125136,0.20003574325260765,3.553414148905596e-19,3.6244608741663646e-21,3.5365346232873244e-16,-3.914401400585684e-25,1.6331906906855e-16,-1.7080690380094626e-20,0.00015554690850727077,8.482124615664721e-18,6.973435658483509e-23,2.3610923129779968e-21,0.0018642567224440348,1.5162853413109734e-18,2.4918630920066343e-11,2.221097396655235e-29,4.53775001934199e-27,2.8852451367975086e-14,2.4099679388140175e-20,-4.4293197462690987e-38,6.036576595433016e-18,9.882272074830531e-05,-2.525617762562919e-31,7.791262713578556e-19,-3.36028985614756e-20,1.5009671837604873e-20,1.0853109466144177e-17,-2.0516838123871166e-33,-5.2299382080566846e-33,-7.025531675526294e-19,6.7660358971435205e-25,2.2807058963752734e-19,-6.326732714408952e-21,1.6476333095744798e-20,-1.850421781878153e-18,1.6565353214404747e-27,-5.634660788513496e-21,-1.5216385649559993e-32,-2.0178644852495432e-20,2.6319182547208166e-20,-6.197439121904623e-33,1.4817589623081289e-34,1.4240335591163237e-36
1.8424846640377962e-09,0.0027149456784039327,0.1557,0.0,0.00586832956410418,0.6422232300871137,0.20003274581480582,3.5522421907472e-19,3.754901701873862e-21,3.559167342352453e-16,-3.9754515745116646e-25,1.644132909076794e-16,-2.3064396176098242e-20,0.0001554629639591554,8.539326507293157e-18,2.284755199452024e-23,2.3513278408181826e-21,0.001867254160144525,-5.994011513508111e-19,2.5019793686083628e-11,-3.422321239714312e-30,5.833470624803813e-27,2.9036656634021284e-14,2.4221993184939405e-20,8.195985573152561e-39,6.0769227635044024e-18,9.903841837141016e-05,-2.7515933778654316e-31,7.853809757578616e-19,5.1686695114595245e-21,1.515687794097558e-20,8.191993185198086e-18,8.394904777971387e-33,-4.9152951481402915e-33,-1.2899662271287322e-19,-6.836941910606888e-26,2.178026623031207e-19,1.6850619635924273e-21,9.615658657409593e-21,2.715410685056966e-19,-5.919470062022057e-28,6.239190370923696e-22,-1.4301150168907791e-32,-3.172676561722593e-22,5.887693183020492e-22,-5.80213680524061e-33,-5.768691092943145e-34,1.4511950759118488e-36
1.8471189745289622e-09,0.0027149456784039327,0.1557,0.0,0.005865206671466399,0.6422230564051056,0.20002975471550993,3.667970778659026e-19,3.8588569604199556e-21,3.581879578261427e-16,-3.9151489676051334e-25,1.6551552570357988e-16,-2.3874650129532404e-20,0.00015537918672589625,8.597006151721427e-18,-3.918212032569645e-23,2.321814551933473e-21,0.0018702452593389678,-6.302518897375272e-19,2.5121064411298e-11,-3.301259859908019e-30,-1.1506314808325027e-27,2.922150125868026e-14,2.4328049254635158e-20,4.906123535749024e-39,6.117564348779255e-18,9.925398894540988e-05,-2.9449407697511366e-31,7.9166729084792805e-19,5.080459119080527e-21,1.5288363254043596e-20,8.317180690874019e-18,4.874343108670839e-33,-2.363531013753821e-33,-2.2549487942098656e-19,-1.4316004616660293e-25,2.2743120001669553e-19,3.2869319365638947e-21,8.279596834277452e-21,2.9167982566794615e-19,6.462687259569319e-28,1.1068475467892976e-21,-6.87932023920946e-33,6.352675635134973e-21,-6.510143492227036e-21,-6.330802390206621e-33,5.556085473817502e-35,1.4787932302523519e-36
1.8509631271041119e-09,0.0027149456784039327,0.1557,0.0,0.00586262100701927,0.6422229123690535,0.20002727840389123,3.679964579402538e-19,3.8832381161013576e-21,3.600779691878568e-16,-3.877555885268173e-25,1.6643490237736674e-16,-2.173374426985079e-20,0.0001553098203646187,8.645135858521548e-18,6.994786381361279e-24,2.2420602860606226e-21,0.0018727215708734285,1.5526422327617047e-19,2.5205149939456313e-11,5.985956249398448e-30,-4.281838688703235e-27,2.937531586836978e-14,2.4409441717213596e-20,-1.232693715535318e-38,6.151463297371696e-18,9.943270813584942e-05,-3.0958480273028403e-31,7.969057483947757e-19,-9.258342678845764e-21,1.5402467306196342e-20,9.356140733866715e-18,-3.8309846749141315e-34,-1.2672616602123763e-33,-4.1942702120110364e-19,1.758238584421741e-25,2.3161586053007376e-19,-4.267822897482842e-22,1.1517913141567488e-20,-4.971997085892472e-19,1.5438824557968741e-27,-1.4299025076110452e-21,-3.690657372748215e-33,-3.9744587267408766e-21,6.1991991325147844e-21,-6.398560099980932e-33,3.947624311793041e-34,1.5020213911628378e-36
1.8548072796792616e-09,0.0027149456784039327,0.1557,0.0,0.005860039659706521,0.6422227683627701,0.20002480643698337,3.6301334811219223e-19,3.898920383717482e-21,3.619734548675988e-16,-3.867074298908923e-25,1.6735725487553375e-16,-2.4184066546822748e-20,0.00015524056869461807,8.693442529886769e-18,4.8139754276667774e-23,2.1570875824169214e-21,0.0018751935376970083,-8.197037089089469e-19,2.52893092629166e-11,-6.447394712993908e-30,-3.374457039932088e-27,2.9529573146987496e-14,2.4504722285124726e-20,1.665339338972419e-38,6.185471292607865e-18,9.961134021206806e-05,-3.2457116606416014e-31,8.021658460602499e-19,9.605240311291101e-21,1.5520370011417172e-20,8.448227610735672e-18,-1.7603961939804353e-33,-1.1664876888543251e-33,-4.624672437025392e-19,-9.427575864528912e-26,2.317728753021171e-19,1.4298266280505948e-21,9.9548850013675e-21,4.852936888921272e-19,-1.0256615465786897e-27,9.168274422962944e-22,-3.3975928558503e-33,-2.6449387787832445e-21,2.6608805124407605e-21,-5.858055663036483e-33,3.970552384505932e-34,1.5255575751821845e-36
1.8586514322544112e-09,0.0027149456784039327,0.1557,0.0,0.005857462622076054,0.6422226243862156,0.20002233880727724,3.671833443232156e-19,3.952147692383147e-21,3.638744162188298e-16,-3.871552301648024e-25,1.6828149051030475e-16,-2.4006875347517593e-20,0.00015517143152027747,8.741865376654245e-18,-1.1910201262605708e-24,2.1115676869640434e-21,0.0018776611673186905,-6.647884846853669e-19,2.537354216336579e-11,-3.8359104006496366e-30,-8.055743664078693e-29,2.9684274581061336e-14,2.459108689210165e-20,7.814246430675657e-39,6.219547789112222e-18,9.978988531157216e-05,-3.395540665093975e-31,8.074475281684449e-19,5.8927710897412166e-21,1.5641111115678267e-20,8.488178810880707e-18,-9.580739226747623e-34,-1.1790401110500612e-33,-2.8920322045528413e-19,-1.1529299604121198e-25,2.296068352436401e-19,2.5179498840502446e-21,9.054465873191106e-21,3.2605648535247654e-19,-9.699919427843954e-28,9.670023809228931e-22,-3.4342091555878046e-33,2.6728277834561535e-21,-2.7008260010563687e-21,-5.315465086362056e-33,3.1001413396535387e-34,1.549405256732421e-36
1.8624955848295609e-09,0.0027149456784039327,0.1557,0.0,0.005854889886689848,0.6422224804393503,0.20001987550727718,3.733267426885541e-19,4.004817190257391e-21,3.6578085452571927e-16,-3.8753629868563446e-25,1.6920785583641143e-16,-2.2411885672294393e-20,0.00015510240864634827,8.790364431364327e-18,-1.2209122919469007e-23,2.0672875813410352e-21,0.0018801244672343185,3.560091521990992e-20,2.5457848408702865e-11,4.783457779236115e-30,5.435351255034505e-28,2.983941995829389e-14,2.4674123351886907e-20,-1.1127972727721252e-38,6.2537019308253895e-18,9.996834357163112e-05,-3.5428303503805155e-31,8.127508428747102e-19,-7.491599494417206e-21,1.576194608227738e-20,9.106593981763857e-18,7.578358710890003e-35,-1.180060400447229e-33,-1.3773158824320838e-19,1.0986954365353533e-25,2.281203424650529e-19,6.113220347106059e-22,1.0735512968345014e-20,-3.820824933266835e-19,6.003155931113205e-28,-9.045609487281283e-22,-3.4372014719251416e-33,-5.094852676991827e-22,2.2451143321193112e-21,-4.955949514007388e-33,1.512683442626471e-34,1.5735677349439656e-36
1.8663397374047106e-09,0.0027149456784039327,0.1557,0.0,0.005852321446123986,0.6422223365221345,0.20001741652950034,3.767765055704647e-19,4.023105268768479e-21,3.6769277105196747e-16,-3.872539640970583e-25,1.7013679107813916e-16,-2.5121015797342658e-20,0.0001550334998779073,8.838978856605693e-18,6.558858971903455e-23,1.9907120645170327e-21,0.0018825834449266309,-8.464949924977142e-19,2.5542227764581118e-11,-7.295239636820498e-30,-9.814068828481075e-28,2.999500873463762e-14,2.476934903240451e-20,2.0713385952426828e-38,6.2879500419048834e-18,0.0001001467151292783,-3.6854137040003816e-31,8.180758523506591e-19,1.072225696131757e-20,1.588169567358205e-20,8.095858162566496e-18,1.909372563461833e-33,-6.961603093008657e-34,2.468834905490962e-20,-5.0952208883728596e-26,2.2799042448332433e-19,4.9408438336386515e-22,1.0874096939399797e-20,4.993681613086322e-19,-8.649877854233406e-28,5.9376395510657165e-22,-2.0299957768322106e-33,-6.147581241337041e-21,6.483245405601062e-21,-4.6546621968597225e-33,1.3439198637498348e-34,1.5980483071520422e-36
1.8701838899798602e-09,0.0027149456784039327,0.1557,0.0,0.005849757292966574,0.6422221926345287,0.2000149618664771,3.8451451386477497e-19,4.074776432950842e-21,3.696101670451125e-16,-3.8644490659328064e-25,1.7106881576958494e-16,-2.5070219327242634e-20,0.00015496470502037973,8.887813475443965e-18,1.737171530224649e-23,1.9504076600032676e-21,0.0018850381078652856,-6.584571113233946e-19,2.5626679997846092e-11,-3.713388589124277e-30,6.916096117649985e-28,3.015104063046901e-14,2.4854987808187225e-20,8.670816188738526e-39,6.3223114129685474e-18,0.00010032500012131069,-3.8223975991575294e-31,8.23422624292672e-19,5.766477527587649e-21,1.6001424887120822e-20,8.211334297617607e-18,2.1427500538312885e-33,9.598858049932403e-35,1.5766263150656643e-19,-8.371482230987067e-26,2.28932641699038e-19,1.8418569975224237e-21,9.74985249119708e-21,3.0356889944251064e-19,-6.549534689621104e-28,7.229078789331917e-22,2.7375804113935875e-34,-1.0334029565082818e-22,3.2490462604721186e-22,-4.4265376076728314e-33,2.274399007607924e-34,1.6228502903108462e-36
1.87402804255501e-09,0.0027149456784039327,0.1557,0.0,0.0058471974198181596,0.6422220487764938,0.20001251151075078,3.89777063553537e-19,4.1392423804107436e-21,3.715330437553084e-16,-3.855588839872797e-25,1.7200406199908688e-16,-2.1925557744720465e-20,0.00015489602387953072,8.936809028667341e-18,-4.9675035746792277e-23,1.9257466805640125e-21,0.0018874884635068831,5.713002536553639e-19,2.571120488008897e-11,1.2257229004075965e-29,1.6616855265581218e-27,3.030751559470411e-14,2.493487149372812e-20,-3.103130121165133e-38,6.3567909420326045e-18,0.00010050319868428958,-3.954921807389033e-31,8.287911975128651e-19,-1.919222206289053e-20,1.6120850086518998e-20,9.584356158543397e-18,4.7057775596611345e-34,4.247432710468185e-34,9.119780062923685e-20,2.1625635473882176e-25,2.3135575040851956e-19,6.13117637799294e-22,1.0846545274528963e-20,-9.34644367301012e-19,1.69058011179984e-27,-1.8386437672157246e-21,1.229975519421889e-33,2.489270000469637e-21,1.4126144454400952e-22,-4.204749418347122e-33,1.265939443270442e-34,1.6479770879144722e-36
1.8778721951301596e-09,0.0027149456784039327,0.1557,0.0,0.005844641819292915,0.6422219049479903,0.20001006545487796,3.8186025861542195e-19,4.17226523996987e-21,3.7346140243463834e-16,-3.85510123678614e-25,1.7294230094758348e-16,-2.393711014906773e-20,0.00015482745626144395,8.985904380526777e-18,3.7007739676938384e-24,1.8712785554376875e-21,0.0018899345192949918,-3.1088063119701845e-19,2.5795802185785826e-11,-2.1273232383778538e-32,-4.226520197360349e-28,3.046443374058705e-14,2.5030118871942117e-20,1.213341741987311e-39,6.3913801165642185e-18,0.00010068131095454127,-4.086199194483842e-31,8.341815838440372e-19,-1.3836459738805714e-22,1.62416629574143e-20,8.876275663835823e-18,-3.575823509999291e-34,1.5149006763186386e-34,-6.202752024374838e-20,3.8503031032396525e-26,2.324294974030105e-19,7.5299933339107515e-22,1.0763527651745259e-20,-4.245524385960176e-20,2.201651245989581e-28,-3.226394254959381e-22,4.353205672497045e-34,-1.7304632061538367e-21,2.933150291990645e-21,-4.06618665718228e-33,2.4685886691820536e-35,1.6734321823237978e-36
