Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(50),CH2O2X(51),CH3OX(46),CH3X(52),CH4(41),CH4X(238),CH3O2X(49),CH4O2(171),SX(188),SX(53),C2H4O(231),CH2OX(169),CHOX(168),SX(54),SX(55),SX(318),SX(259),SX(262),SX(450),C2HOX(465),C2H6O(236)
1.674959739685631e-09,0.00053584454179025,0.0915567593028733,0.0,0.00042753886197053747,0.4504039550542624,1.1669703955208522e-18,0.4569006122997481,1.1199663254110003e-17,1.861691882589603e-21,3.2388400784695575e-13,-1.8577236523662454e-18,-1.086206179290958e-31,2.1556564087652783e-05,3.002170977583734e-19,1.5282731419429487e-21,3.960292543058906e-19,4.2694265019332615e-18,4.095342961178011e-11,6.562738979006798e-18,7.254842158859315e-22,8.860548372832685e-16,1.9738486242046566e-18,4.760547089674523e-22,2.2054078937811587e-31,-3.480059875131558e-20,0.0011278950194692956,2.9441477566259624e-19,-5.612374448429318e-23,5.061434271904046e-27,-5.565951762187536e-22,-9.20496756692224e-20,8.996027330652844e-26,7.358987600032613e-24,7.064849767508794e-35,1.5242915232151646e-37,1.7886406036365986e-31,6.575789159493679e-28,2.61038122021122e-27,-6.5826578536875e-32,-5.359178421083217e-41,5.3974280015836455e-30,1.9670377617324556e-23,-1.426381009780247e-35,1.9584088097707434e-35,1.1228710619436768e-32,2.2744583340920178e-41
1.6839511164402905e-09,0.00053584454179025,0.0915567593028733,0.0,0.00042692158899340106,0.4504033195437797,1.1766487599202503e-18,0.4569006122996276,1.1239026425072514e-17,1.8718587936966136e-21,3.24959613608823e-13,-1.855788544908783e-18,-1.0730793756963763e-31,2.1520088839637534e-05,3.028221671232401e-19,1.528366604223985e-21,3.9510131056950907e-19,4.278907964737523e-18,4.107284403469306e-11,6.584514306122949e-18,1.5560291055558216e-21,8.860199569690596e-16,1.9710555769546898e-18,1.0199076244408397e-21,2.210735604360088e-31,-3.4600727702891815e-20,0.0011285487675750322,2.9496500560394044e-19,-5.581464622712667e-23,1.2892302518523983e-26,-5.595970025979174e-22,-9.194219318617211e-20,9.012831835118703e-26,7.395627127317463e-24,7.06657471912886e-35,1.8181549946885713e-37,1.8010121140617486e-31,6.596041920568739e-28,2.619076549679169e-27,-2.7430362821941606e-31,1.2590481132258853e-40,5.395971233847236e-30,1.97595645856406e-23,-4.866304435658606e-35,6.328544811635467e-35,1.1277386822882945e-32,2.2814837560122277e-41
1.6929424931949498e-09,0.00053584454179025,0.0915567593028733,0.0,0.0004263157726777397,0.45040269581631054,1.1863484453654015e-18,0.45690061229950735,1.1278310579280757e-17,1.8820096034180944e-21,3.2603337230849015e-13,-1.8521814869714304e-18,-1.095420593109239e-31,2.1484266296640432e-05,3.0551576158641635e-19,1.52845934049937e-21,3.9418996990270396e-19,4.2883466879318335e-18,4.1191984929146194e-11,6.6062519864062345e-18,-2.46488715502568e-21,8.859855851795497e-16,1.9695004245477258e-18,-1.4917320108565392e-21,2.2160737676065893e-31,-3.433969769408562e-20,0.0011291904063145523,2.9551869337898808e-19,-5.550820669917007e-23,-1.9603223236380126e-26,-5.6259296645187775e-22,-9.17498366601169e-20,9.029742337200826e-26,7.432292137527556e-24,7.039436770887677e-35,-3.849764187307479e-37,1.8131624545445591e-31,6.616264330869901e-28,2.6277568207644586e-27,3.523210307630054e-31,-1.8440844251533566e-40,5.3948180738499074e-30,1.9848749853034326e-23,6.791346994284327e-35,-7.637269623313535e-35,1.1391747551747581e-32,2.2758592467726972e-41
1.7019338699496092e-09,0.00053584454179025,0.0915567593028733,0.0,0.00042572119981866286,0.4504020836529269,1.1960693550649203e-18,0.4569006122993874,1.1317517135915378e-17,1.8921444315038763e-21,3.2710531686364615e-13,-1.8491581235132633e-18,-1.0970144543851721e-31,2.1449085011924496e-05,3.0818338505551367e-19,1.5285513414039538e-21,3.932949449671041e-19,4.29774326023833e-18,4.131085623700245e-11,6.627952694658857e-18,2.004190093323903e-22,8.859517166195794e-16,1.9644568362353265e-18,1.2140754950209015e-22,2.2214233461134175e-31,-3.410129075309933e-20,0.0011298201603394764,2.960758061166892e-19,-5.520338738525881e-23,6.34935284325157e-29,-5.655832559560394e-22,-9.15872194832357e-20,9.046757860948233e-26,7.468983781081044e-24,7.007049144841947e-35,1.053653448128048e-37,1.8254580912762078e-31,6.63645726012553e-28,2.636422290809408e-27,6.064674115581366e-32,-8.848270241438244e-41,5.393764383377633e-30,1.99379367398874e-23,9.424931704000907e-36,-7.391341054892246e-36,1.1449647545090904e-32,2.266481589388266e-41
1.7109252467042686e-09,0.00053584454179025,0.0915567593028733,0.0,0.00042513766119326574,0.45040148283878045,1.2058113935519986e-18,0.4569006122992677,1.1356647489262519e-17,1.902266909079354e-21,3.281754795855418e-13,-1.8486148485172335e-18,-1.0593959458472135e-31,2.1414533734790192e-05,3.107287928001281e-19,1.528642595305813e-21,3.924159530738667e-19,4.307098260186689e-18,4.142946183804249e-11,6.649617119546286e-18,3.3287479967969264e-21,8.85918346051038e-16,1.961678190121741e-18,2.1688904973809037e-21,2.226783788614336e-31,-3.395581737338287e-20,0.0011304382501233976,2.96636311061774e-19,-5.489672063446299e-23,2.8770074305468585e-26,-5.685695226636972e-22,-9.15505690443694e-20,9.063877416612358e-26,7.505703192058642e-24,7.084867749730301e-35,4.645918521971446e-37,1.8379153604572556e-31,6.656621596557369e-28,2.6450732395089654e-27,-5.701500853526964e-31,2.0849085816745287e-40,5.392394315987474e-30,2.0027128516648136e-23,-9.83583800102777e-35,1.2174676426709034e-34,1.1471366477259598e-32,2.2841684941613078e-41
1.719916623458928e-09,0.00053584454179025,0.0915567593028733,0.0,0.00042456495148601557,0.45040089316302667,1.2155744666615306e-18,0.4569006122991483,1.1395703009129885e-17,1.9123803590304678e-21,3.2924389277294616e-13,-1.8451989729004113e-18,-1.085355855032811e-31,2.1380601407236703e-05,3.134237830379343e-19,1.5287330923038898e-21,3.915527161221385e-19,4.3164122562894765e-18,4.154780557163892e-11,6.671245923137726e-18,-3.424515591254374e-21,8.858854679662202e-16,1.962073984892987e-18,-2.0821376320242556e-21,2.2321540551117953e-31,-3.37043856766816e-20,0.0011310448920398572,2.972001753039491e-19,-5.459341606689014e-23,-2.743853852749146e-26,-5.715520835963842e-22,-9.13680300185265e-20,9.081100009468487e-26,7.54245148843581e-24,7.066398330266514e-35,-5.867434918589184e-37,1.8500010533942017e-31,6.676758201674285e-28,2.653709941614356e-27,4.459272422225443e-31,-2.2740194950691288e-40,5.391400393092011e-30,2.0116328404545825e-23,8.013311890878041e-35,-9.285010236352775e-35,1.1607046910224698e-32,2.2830521745148386e-41
1.7289080002135873e-09,0.00053584454179025,0.0915567593028733,0.0,0.0004240028692154577,0.4504003144187499,1.225358481507638e-18,0.4569006122990292,1.1434685041256992e-17,1.92248196062535e-21,3.303105876993554e-13,-1.8406122031257712e-18,-1.1131379753267116e-31,2.1347277160711856e-05,3.1618197548662137e-19,1.528822826194572e-21,3.9070496053763664e-19,4.325685807225428e-18,4.1665891163410076e-11,6.6928397255485196e-18,-1.5371401297094907e-21,8.858530769814685e-16,1.955925347625157e-18,-1.0613733758016518e-21,2.237535744519145e-31,-3.3410302990652034e-20,0.0011316402984388602,2.977673656861767e-19,-5.429439782048296e-23,-1.7240107589000072e-26,-5.745299118279794e-22,-9.112615882238756e-20,9.098424647054162e-26,7.57922977229749e-24,6.941871232769777e-35,-1.4006003589744153e-37,1.8621652787037963e-31,6.696867907968213e-28,2.6623326493282093e-27,4.307233079793452e-31,-1.5584710910241326e-40,5.39072343854216e-30,2.0205539576247802e-23,7.14005389995893e-35,-7.825212164055424e-35,1.1688218628245791e-32,2.2556097742003222e-41
1.7378993769682467e-09,0.00053584454179025,0.0915567593028733,0.0,0.0004234512166623331,0.4503997464028896,1.2351633464616005e-18,0.4569006122989103,1.14735949077235e-17,1.9325693015530584e-21,3.3137559463961687e-13,-1.8415565647741385e-18,-1.042125254283888e-31,2.1314550312907612e-05,3.1866312896647e-19,1.5289117875500026e-21,3.898724172154411e-19,4.33491946201452e-18,4.178372226168215e-11,6.7143991427564556e-18,6.454412029204466e-21,8.858211679424141e-16,1.9515464995802363e-18,4.208197879428014e-21,2.2429287041420005e-31,-3.3322515406471833e-20,0.0011322246777219524,2.983378490061282e-19,-5.399062051712248e-23,5.778265692091104e-26,-5.7750350991226825e-22,-9.116521431569568e-20,9.115850333418511e-26,7.616039130063978e-24,7.069544333418757e-35,1.0131041898903864e-36,1.8747984767439186e-31,6.716951489161983e-28,2.670941603837921e-27,-1.0687444268561293e-30,3.4403748452871046e-40,5.38974433227544e-30,2.0294765156550587e-23,-1.738536253541359e-34,2.129023985766596e-34,1.1657006323417071e-32,2.285204081423194e-41
1.746890753722906e-09,0.00053584454179025,0.0915567593028733,0.0,0.00042290979979912885,0.4503991889161688,1.2449889711301708e-18,0.45690061229879164,1.1512433907347126e-17,1.9426463149938657e-21,3.324389444693047e-13,-1.8391098764317873e-18,-1.0600623612883193e-31,2.1282410364586588e-05,3.2132027357267523e-19,1.5289999665970733e-21,3.8905482145857043e-19,4.34411376017836e-18,4.1901302519903004e-11,6.735924797379612e-18,-3.785868514353813e-21,8.857897353111174e-16,1.9551668755822518e-18,-2.2095254164301922e-21,2.2483305046396255e-31,-3.31095261127585e-20,0.0011327982344158944,2.9891159216656745e-19,-5.3689361300704e-23,-2.776846267372303e-26,-5.804730828937456e-22,-9.103198317720239e-20,9.13337606708846e-26,7.652880632714519e-24,7.134067720834046e-35,-7.1982185790013185e-37,1.886910102245524e-31,6.737009690739483e-28,2.6795370488668223e-27,3.3705864951666085e-31,-2.766275099813219e-40,5.3889307643624594e-30,2.0384008223071518e-23,5.704769735009336e-35,-7.211669267121295e-35,1.1805441290552619e-32,2.3025789163431426e-41
1.7558821304775654e-09,0.00053584454179025,0.0915567593028733,0.0,0.0004223784282208256,0.4503986417630227,1.2548352663342698e-18,0.4569006122986733,1.155120331607337e-17,1.952711030252256e-21,3.335006671465428e-13,-1.831015148593186e-18,-1.1525147980267608e-31,2.1250846996507245e-05,3.242680114597313e-19,1.5290873602546821e-21,3.8825191291463875e-19,4.3532692319154544e-18,4.2018635470844357e-11,6.757417284771125e-18,-5.959825377580705e-21,8.857587735909628e-16,1.9481138250369784e-18,-4.097160243275943e-21,2.2537434215092543e-31,-3.268762417074498e-20,0.0011333611692449545,2.994885620055823e-19,-5.339801169364543e-23,-6.319966739674743e-26,-5.834369746271335e-22,-9.061210201830304e-20,9.151000846493511e-26,7.689755336000954e-24,6.860558633675394e-35,-8.813327595309455e-37,1.8987748155936851e-31,6.757043302541124e-28,2.688119227299647e-27,1.320416274609402e-30,-2.9792303568235296e-40,5.389299321767885e-30,2.0473271806899396e-23,2.0572391807558807e-34,-2.344365386866712e-34,1.1951014192077709e-32,2.2360102676185133e-41
1.7648735072322248e-09,0.00053584454179025,0.0915567593028733,0.0,0.00042185691507694154,0.45039810475152986,1.264702144088063e-18,0.45690061229855505,1.1589904387367118e-17,1.9627594438604895e-21,3.3456079066603525e-13,-1.833706592909821e-18,-1.0348782936606029e-31,2.121985006640018e-05,3.266719815735089e-19,1.5291739625447893e-21,3.8746343552046473e-19,4.362386398274426e-18,4.213572451967886e-11,6.778877194817861e-18,1.1217878892571808e-20,8.857282778037805e-16,1.9395332537025794e-18,7.27838639756452e-21,2.2591688155276243e-31,-3.266724691981317e-20,0.0011339136792018517,3.000687251894715e-19,-5.30976009063686e-23,1.0182531680035882e-25,-5.863965968828453e-22,-9.074008572063896e-20,9.168723671264314e-26,7.726664280664118e-24,7.019786090964526e-35,1.9176411942314854e-36,1.911619776423015e-31,6.777053087780745e-28,2.696688379222885e-27,-1.7290644729007457e-30,5.675213331562698e-40,5.3898956877524535e-30,2.0562558893251787e-23,-2.6122901944861014e-34,3.260519447125275e-34,1.1839032073300479e-32,2.2716281697378885e-41
1.7738648839868841e-09,0.00053584454179025,0.0915567593028733,0.0,0.00042134507700503624,0.4503975776933435,1.2745895175784035e-18,0.4569006122984372,1.1628538352594964e-17,1.972800572874004e-21,3.356193444918338e-13,-1.835559218943646e-18,-9.890037477252855e-32,2.118940960594039e-05,3.2912245508711267e-19,1.5292597623878233e-21,3.866891374434726e-19,4.3714657712980384e-18,4.2252573149198356e-11,6.8003051337088726e-18,-1.4778259076263008e-21,8.856982424428041e-16,1.9490427173833743e-18,-3.4773110743136458e-22,2.2646017487962573e-31,-3.2616332405380694e-20,0.0011344559576173569,3.006520485088373e-19,-5.2794328993603923e-23,5.011764144842503e-27,-5.893539008739795e-22,-9.0825247264474e-20,9.186543539097285e-26,7.763608492653014e-24,7.315550699758101e-35,-3.747856937979226e-37,1.9239907714232818e-31,6.7970397255784525e-28,2.7052447416900192e-27,-4.706880016768464e-31,-3.01326830513109e-40,5.389570715699818e-30,2.065187242215958e-23,-6.764066257401291e-35,6.097905994371782e-35,1.1964855156696697e-32,2.352927599352209e-41
1.7828562607415435e-09,0.00053584454179025,0.0915567593028733,0.0,0.00042084273406530495,0.4503970604036253,1.2844973011446374e-18,0.4569006122983195,1.1667106421393141e-17,1.9828332007771806e-21,3.366763580159992e-13,-1.820754490648928e-18,-1.21599020469659e-31,2.1159515817830054e-05,3.3242256248554794e-19,1.5293447586433934e-21,3.859287710149377e-19,4.380507854186443e-18,4.236918474772346e-11,6.82170166156315e-18,-1.552386724493029e-20,8.856686617484479e-16,1.9431356276178894e-18,-1.067787332525399e-20,2.2700444243834568e-31,-3.194752678049608e-20,0.001134988194228605,3.012384989045456e-19,-5.2513218355650405e-23,-1.6549406057474127e-25,-5.9230498823810765e-22,-9.00646892479664e-20,9.204459446322167e-26,7.800588983335202e-24,6.768509947644048e-35,-2.656365767833912e-36,1.9352983367068598e-31,6.817003933122505e-28,2.7137885404097177e-27,3.131258151002651e-30,-6.022907301445505e-40,5.3936553387677755e-30,2.0741215289108023e-23,4.513533108197154e-34,-5.291998812474024e-34,1.2254106921265964e-32,2.2182688258431696e-41
1.7918476374962029e-09,0.00053584454179025,0.0915567593028733,0.0,0.0004203497096762774,0.45039655270097917,1.2944254102587677e-18,0.45690061229820206,1.1705609782040963e-17,1.9928431482942103e-21,3.377318565537577e-13,-1.822653181794554e-18,-1.0798240654639422e-31,2.1130159072961935e-05,3.3487853690073727e-19,1.5294289513798024e-21,3.851820926747945e-19,4.389513141476259e-18,4.248556244891324e-11,6.843067310354281e-18,1.660666403692214e-20,8.856395310028727e-16,1.9239250077160784e-18,1.0468835934476602e-20,2.2755022513163717e-31,-3.19002179357889e-20,0.001135510575246123,3.018280431305825e-19,-5.222054748452797e-23,1.4349831923691446e-25,-5.952501474652339e-22,-9.015270957822994e-20,9.222470391338984e-26,7.837606749701048e-24,6.798463175094215e-35,2.9910079883407848e-36,1.948246586055908e-31,6.836946441874907e-28,2.7223199952380914e-27,-2.0899833787736793e-30,9.159336150049398e-40,5.39889808439402e-30,2.0830590345643427e-23,-2.901186126341745e-34,3.903801852954141e-34,1.2043540802161808e-32,2.2092536285333582e-41
1.8008390142508622e-09,0.00053584454179025,0.0915567593028733,0.0,0.00041986583055207027,0.45039605440738734,1.3043737615059753e-18,0.45690061229808493,1.1744049601831843e-17,2.0028458620316235e-21,3.38785867577909e-13,-1.836391367008546e-18,-8.280182154828936e-32,2.1101329907522728e-05,3.367374114090493e-19,1.5295123273413847e-21,3.8444886292000957e-19,4.398482119167998e-18,4.2601709551027307e-11,6.86440267114377e-18,8.462904850242661e-21,8.856108449542663e-16,1.9420455473290164e-18,7.165514921296669e-21,2.2809666427860102e-31,-3.229316796239953e-20,0.0011360232834195945,3.024206479989151e-19,-5.190704534137938e-23,1.346919227097143e-25,-5.981955083839801e-22,-9.084151756944022e-20,9.240575374482016e-26,7.874662774570377e-24,7.685251255843445e-35,1.5352987241732652e-36,1.9614438905229766e-31,6.856867856789312e-28,2.730839333205886e-27,-3.0886646371428504e-30,-1.9472713349174833e-40,5.401526347427036e-30,2.092000040003073e-23,-4.207335216803736e-34,4.577553663205157e-34,1.2037857710049786e-32,2.45986402674975e-41
