Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(52),COX(53),CHOX(64),CH2O2X(54),CH3OX(48),SX(57),OCO(174),SX(231),CH3X(25),CH4(24),CH4X(249),CH3O2X(51),C2HO2X(68),SX(130),SX(55),SX(162)
8.975476286259093,0.000897708597878115,0.0,0.0,0.00014719460929925573,0.7918149892058194,0.10681056653508476,0.09318759835475506,0.0068111127115592284,1.483437368516232e-07,1.2087880752069854e-06,3.022302860282689e-07,1.8615211753989075e-11,0.0018449896817495978,8.611890955351578e-16,5.673855267717153e-17,7.889451358210665e-08,1.266670108856118e-07,2.4230503430726612e-11,3.942474473543025e-08,3.6574696984880456e-19,8.339250148874514e-22,7.0683182423288136e-09,2.0740732935248107e-18,2.4716317264403666e-22,2.143901553448797e-11,0.00044933095206794874,2.7772070355784354e-11,7.990898596052319e-12,1.3661681822301093e-13,1.0653522967139239e-12,2.2696606851446586e-21,1.8429403816496619e-09,4.485777494786145e-12,3.1086461894292275e-20,6.192968963695675e-10,1.400323851818572e-12,1.2252303454933528e-22,2.221286380293499e-19,7.14435310354248e-28,3.027070039826928e-25,1.3637474008167395e-28
9.012920980756487,0.000897708597878115,0.0,0.0,0.00014719627429914467,0.7917989216660124,0.106826631536061,0.09317153162879777,0.006827179508683679,1.4847606880644513e-07,1.2085331829436117e-06,3.040345269843609e-07,1.879585779990945e-11,0.0018449918320620744,8.609407097816257e-16,5.672161253856197e-17,7.90815131089726e-08,1.2668749543794904e-07,2.4226599942508603e-11,3.9430720427467546e-08,3.656818203808836e-19,8.337821369511895e-22,7.074703653231216e-09,2.086141268046931e-18,2.471489649660913e-22,2.1567245174948317e-11,0.00044932691675551926,2.77765616475721e-11,7.992109794297062e-12,1.3658955540846502e-13,1.0671165778037425e-12,2.2917118864674344e-21,1.8462778168782458e-09,4.493951754975576e-12,3.127270361806096e-20,6.258980391321409e-10,1.4152660416884402e-12,1.2249764208761025e-22,2.2219572118722075e-19,7.213691860733189e-28,3.03047927792005e-25,1.3769831057833609e-28
9.05036567525388,0.000897708597878115,0.0,0.0,0.0001471979321174689,0.7917829239198978,0.10684262672766578,0.09315553471122154,0.006843176497428928,1.4860711086400638e-07,1.208279164712981e-06,3.0584033692405873e-07,1.8977466462452214e-11,0.00184499397306115,8.60693474152363e-16,5.670475099860485e-17,7.926770435522048e-08,1.2670789145038817e-07,2.4222713329355022e-11,3.9436670166908535e-08,3.6561692601132244e-19,8.33639878669478e-22,7.081027398548744e-09,2.0982193601004086e-18,2.471346408035952e-22,2.169558795207243e-11,0.0004493228989223746,2.778103352674988e-11,7.993315732274816e-12,1.365623840649457e-13,1.068873828318346e-12,2.31388084288401e-21,1.8495872044972023e-09,4.502057708923954e-12,3.145911176917724e-20,6.325386393784487e-10,1.4302977207810402e-12,1.2247233519153205e-22,2.222625229824508e-19,7.283400187118565e-28,3.0338627993118625e-25,1.390289355838912e-28
9.087810369751274,0.000897708597878115,0.0,0.0,0.00014719958278511773,0.7917669956633079,0.10685855241413436,0.09313960729778638,0.006859103982026517,1.4873687715029276e-07,1.2080260253341413e-06,3.07647700143683e-07,1.916003830078567e-11,0.0018449961047880747,8.604473829882764e-16,5.66879676692157e-17,7.945309080786984e-08,1.267281993046686e-07,2.4218843518426016e-11,3.9442594066776876e-08,3.6555228662583573e-19,8.334982373730568e-22,7.087290149923695e-09,2.1103074704290783e-18,2.471202032138589e-22,2.1824042741827166e-11,0.0004493188984917224,2.77854860770649e-11,7.994516432891447e-12,1.3653530477294056e-13,1.0706241261208153e-12,2.3361676238389182e-21,1.852868760571277e-09,4.5100958800462836e-12,3.164568470476512e-20,6.392187322391099e-10,1.4454189696889382e-12,1.2244711436943273e-22,2.2232904455440605e-19,7.353478297948216e-28,3.03722088221622e-25,1.4036661920722562e-28
9.125255064248668,0.000897708597878115,0.0,0.0,0.00014720122633279532,0.7917511365934102,0.10687440889836665,0.09312374908558817,0.006874962265372441,1.4886538162846876e-07,1.2077737692939869e-06,3.0945660111129227e-07,1.9343573866760338e-11,0.0018449982272828343,8.60202430667786e-16,5.66712621646929e-17,7.963767593845119e-08,1.2674841938106064e-07,2.421499043726425e-11,3.944849223956797e-08,3.654879020744717e-19,8.33357210403202e-22,7.093492571225462e-09,2.122405500786491e-18,2.4710565517664045e-22,2.1952608432089395e-11,0.000449314915388245,2.7789919381810176e-11,7.99571191895168e-12,1.3650831807532203e-13,1.0723675481598858e-12,2.3585722978284464e-21,1.8561226996747824e-09,4.5180667881578115e-12,3.1832420798821285e-20,6.459383524982989e-10,1.4606298681828414e-12,1.224219800953734e-22,2.2239528703693926e-19,7.423926405651312e-28,3.040553801746251e-25,1.417113655032253e-28
9.162699758746061,0.000897708597878115,0.0,0.0,0.00014720286279106608,0.7917353464087007,0.10689019648193282,0.09310795977305267,0.006890751649033153,1.4899263810076322e-07,1.2075224007598654e-06,3.1126702446470537e-07,1.9528073704976172e-11,0.0018450003405842308,8.599586115933551e-16,5.665463410135982e-17,7.982146320221147e-08,1.267685520580322e-07,2.4211154013684388e-11,3.945436479720129e-08,3.654237721753118e-19,8.332167951142916e-22,7.09963531867231e-09,2.1345133540359805e-18,2.4709099959679837e-22,2.208128392210568e-11,0.00044931094953797404,2.779433352398569e-11,7.996902213140092e-12,1.364814244796259e-13,1.0741041704991536e-12,2.3810949323636302e-21,1.8593492348977005e-09,4.5259709494465064e-12,3.2019318443761853e-20,6.526975345974876e-10,1.4759304951883037e-12,1.223969328119806e-22,2.2246125155905417e-19,7.494744719042387e-28,3.0438618299751484e-25,1.4306317845777504e-28
9.200144453243455,0.000897708597878115,0.0,0.0,0.00014720449219043872,0.7917196248090006,0.1069059154650795,0.0930922390599295,0.006906472433251457,1.4911866021023446e-07,1.2072719235917209e-06,3.1307895500954417e-07,1.9713538352850724e-11,0.001845002444733228,8.597159201962976e-16,5.663808309741508e-17,8.000445604153865e-08,1.2678859771238653e-07,2.420733417576526e-11,3.946021185123177e-08,3.6535989671302456e-19,8.330769888689671e-22,7.105719041048805e-09,2.1466309340873404e-18,2.4707623930670595e-22,2.2210068124081665e-11,0.00044930700086485834,2.7798728586287672e-11,7.998087338063478e-12,1.3645462445747015e-13,1.0758340683250212e-12,2.4037355942066476e-21,1.8625485778517082e-09,4.533808876630786e-12,3.2206376049368e-20,6.594963126389847e-10,1.4913209289482287e-12,1.2237197293021798e-22,2.225269392477475e-19,7.565933445023305e-28,3.047145236105177e-25,1.4442206202045194e-28
9.237589147740849,0.000897708597878115,0.0,0.0,0.00014720611456122947,0.7917039714954477,0.1069215661467356,0.09307658664728649,0.0069221249169524445,1.4924346144280716e-07,1.2070223413538009e-06,3.1489237771730427e-07,1.9899968340686143e-11,0.0018450045397695595,8.594743509480351e-16,5.662160877347288e-17,8.018665788372794e-08,1.268085567195528e-07,2.420353085198942e-11,3.946603351270759e-08,3.652962754401934e-19,8.329377890396884e-22,7.111744379628041e-09,2.1587581457919836e-18,2.470613770681803e-22,2.2338959961813286e-11,0.0004493030692942931,2.7803104650925723e-11,7.999267316234108e-12,1.36427918446757e-13,1.0775573159365154e-12,2.426494349206598e-21,1.8657209386765694e-09,4.541581078882074e-12,3.2393592041192833e-20,6.663347203896893e-10,1.506801246916011e-12,1.2234710083009187e-22,2.2259235122451125e-19,7.6374927879744205e-28,3.050404286340495e-25,1.4578802009250635e-28
9.275033842238242,0.000897708597878115,0.0,0.0,0.00014720772993359417,0.7916883861704911,0.10693714882451809,0.09306100223750348,0.006937709397749401,1.4936705512912102e-07,1.2067736573259477e-06,3.167072777234439e-07,2.0087364191733815e-11,0.0018450066257309752,8.592338983419369e-16,5.660521075215425e-17,8.036807213905908e-08,1.268284294531389e-07,2.419974397111384e-11,3.947182989204755e-08,3.652329080821112e-19,8.327991930133882e-22,7.117711968260329e-09,2.1708948950927246e-18,2.4704641557498e-22,2.246795836957455e-11,0.0004492991547538452,2.7807461799817652e-11,8.000442170033209e-12,1.3640130685448932e-13,1.0792739867795103e-12,2.4493712621867294e-21,1.868866526046667e-09,4.5492880617484745e-12,3.258096486289713e-20,6.732127912847521e-10,1.5223715256808405e-12,1.2232231686410186e-22,2.2265748860507753e-19,7.709422948246896e-28,3.053639243900269e-25,1.4716105649822186e-28
9.312478536735636,0.000897708597878115,0.0,0.0,0.0001472093383376675,0.7916728685378867,0.10695266379473807,0.09304548553426654,0.006953226171949633,1.4948945444614816e-07,1.206525874514481e-06,3.185236403254965e-07,2.0275726422260715e-11,0.001845008702658138,8.5899455689723e-16,5.658888865780578e-17,8.05487022058123e-08,1.268482162850589e-07,2.4195973462118252e-11,3.947760109935301e-08,3.6516979433447074e-19,8.3266119818468e-22,7.123622433668673e-09,2.1830410889686326e-18,2.470313574550457e-22,2.259706229456174e-11,0.00044929525716821023,2.781180011463091e-11,8.001611921771027e-12,1.3637479005538052e-13,1.0809841534586112e-12,2.47236639729828e-21,1.8719855471773037e-09,4.556930327382094e-12,3.276849297529585e-20,6.801305584309159e-10,1.5380318412086807e-12,1.2229762135661692e-22,2.2272235250415543e-19,7.781724124565238e-28,3.0568503692702914e-25,1.4854117503112521e-28
