Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CHO3X(91),H(23),HCO(31),CH3X(53)
1.63425666296636e-08,0.002719578564615631,0.1557,0.0,0.006868042133538781,0.6413517024231503,0.2019,-1.9748494842999003e-33,1.819348699396775e-23,-6.352049203810835e-20,1.2979561800337413e-31,3.876799356223965e-21,1.9070761622051992e-36,0.0001747600105612869,1.1600628076544253e-26,4.8805664793677386e-32,4.920101682274238e-27,-5.3269747514755996e-20,-2.6933988825679923e-33,1.1025948982493942e-19,-2.097317420638436e-44,3.4585801695863194e-45,2.3265352491005902e-21,2.842919630296974e-26,1.6316186629850565e-46,2.9382765333489027e-22,3.9670806850525104e-36,0.0009609175715671499,-1.8877065893412047e-28,6.202943077681475e-28,-8.988120032758978e-31,2.0348048930787763e-24,-1.655320360752392e-26,-1.6072017495095268e-63,3.240994484796678e-22,1.482029948790629e-24,1.377586819504398e-26
1.657183421744274e-08,0.002719578564615631,0.1557,0.0,0.006857484544429892,0.6413410163483547,0.2019,-2.0132724014420538e-33,1.8193564720358673e-23,-6.351140283998672e-20,1.2972679243290204e-31,3.9482071308857105e-21,1.9139301920785084e-36,0.00017450303918752845,1.1814321945405075e-26,4.962630909673332e-32,4.913103738096158e-27,-5.326836885629328e-20,-2.6541590816496236e-33,1.1016871982411218e-19,-2.0668280318624835e-44,3.446615188409954e-45,2.3299939762507765e-21,2.8473167774816097e-26,1.6283554957087935e-46,2.9923632625590176e-22,3.1502130162211186e-36,0.0009717321320497956,-1.885438562066902e-28,6.18971260300959e-28,-8.98743181712488e-31,2.068889143766049e-24,-1.6505256594966922e-26,-1.2012685893642016e-63,3.2655909413385457e-22,1.5146819405214125e-24,1.4060291331291137e-26
1.6801101805221877e-08,0.002719578564615631,0.1557,0.0,0.006846986962509883,0.6413303910128407,0.2019,-2.0511106572103853e-33,1.8193643476779334e-23,-6.350234616770466e-20,1.2965806352277785e-31,4.0196170763106466e-21,1.9207888551269172e-36,0.00017424753199968913,1.2028007899636603e-26,5.044692584704866e-32,4.906145902821855e-27,-5.32669951821759e-20,-2.6154909606440892e-33,1.1007819953124327e-19,-2.0367804461722036e-44,3.43473441133819e-45,2.333238550942009e-21,2.851452874392004e-26,1.6251097408997724e-46,3.0464503963409727e-22,2.3203636202782144e-36,0.0009824852211576453,-1.8831817352650726e-28,6.176550364214404e-28,-8.986744567950045e-31,2.102870589808738e-24,-1.645763983995526e-26,-8.969908219263859e-64,3.289823702789544e-22,1.5474833067906104e-24,1.4345776691519446e-26
1.7030369393001016e-08,0.002719578564615631,0.1557,0.0,0.00683654891299751,0.6413198259360167,0.2019,-2.0883728947805505e-33,1.819372325721628e-23,-6.349332177040711e-20,1.295894305919465e-31,4.091023065842703e-21,1.927651532485216e-36,0.0001739934773759785,1.2241667642885657e-26,5.125572657411293e-32,4.899227888188048e-27,-5.3265626456964873e-20,-2.5773861908154383e-33,1.0998792634716253e-19,-2.0071734393279162e-44,3.4229370091184515e-45,2.336277879503795e-21,2.8553379296037456e-26,1.6218812546244933e-46,3.1005332918503757e-22,1.4778469409815424e-36,0.0009931773252937286,-1.8809360383310365e-28,6.163455773953462e-28,-8.98605827842498e-31,2.1367469384961725e-24,-1.6410350180143252e-26,-6.688781646292313e-64,3.313698827543255e-22,1.5804292987246382e-24,1.46322996658758e-26
1.7259636980780155e-08,0.002719578564615631,0.1557,0.0,0.00682616992608175,0.6413093206423213,0.2019,-2.125067629475908e-33,1.8193804055720898e-23,-6.34843293998895e-20,1.2952089296622806e-31,4.162419263450338e-21,1.9345176318841346e-36,0.00017374086381670377,1.2455283753012778e-26,5.206439053510986e-32,4.8923492799685794e-27,-5.326426264558251e-20,-2.5398365647680822e-33,1.0989789773975661e-19,-1.977996176510122e-44,3.4112221630010414e-45,2.3391204913606565e-21,2.858981694052131e-26,1.6186698945082604e-46,3.1546075267522853e-22,6.229709100844681e-37,0.0010038089257687632,-1.8787014063853844e-28,6.150428270692491e-28,-8.985372941808914e-31,2.1705160602963302e-24,-1.6363384604236096e-26,-4.978433942226665e-64,3.33722226109717e-22,1.6135152645129543e-24,1.4919836481059962e-26
1.7488904568559293e-08,0.002719578564615631,0.1557,0.0,0.006815849536856862,0.6412988746611592,0.2019,-2.1612032506714103e-33,1.8193885866306442e-23,-6.347536881056556e-20,1.2945244997822973e-31,4.233800111320927e-21,1.9413865872319145e-36,0.00017348967994264557,1.2668839642684563e-26,5.288724422301084e-32,4.885509667219991e-27,-5.326290371330724e-20,-2.502833994679018e-33,1.0980811124139268e-19,-1.9492353856562937e-44,3.399589064338046e-45,2.3417745549017785e-21,2.862396221178506e-26,1.6154755197901457e-46,3.2086688898058577e-22,-2.4396291654683556e-37,0.0010143804988677102,-1.8764777670825806e-28,6.137467287780365e-28,-8.984688551428942e-31,2.204175980629301e-24,-1.6316740090918617e-26,-3.695974197190719e-64,3.3603998383954055e-22,1.6467366474118887e-24,1.520836416637815e-26
1.771817215633843e-08,0.002719578564615631,0.1557,0.0,0.0068055872852584446,0.6412884875268361,0.2019,-2.196788023668804e-33,1.8193968682905574e-23,-6.346643975942262e-20,1.29384100967259e-31,4.3051603175661466e-21,1.948257857643505e-36,0.00017323991449348175,1.2882319521956832e-26,5.369040645406569e-32,4.878708740752693e-27,-5.326154962576708e-20,-2.466370510555762e-33,1.0971856444644042e-19,-1.920899022151279e-44,3.3880369144566076e-45,2.3442478931946683e-21,2.8655907507830446e-26,1.61229799117169e-46,3.2627133715334795e-22,-1.1226592257952491e-36,0.001024892515915291,-1.8742650489230547e-28,6.124572255365988e-28,-8.98400510067916e-31,2.237724872022029e-24,-1.6270413536884143e-26,-2.7343098874319906e-64,3.383237286117598e-22,1.680088983792418e-24,1.5497860521472412e-26
1.794743974411757e-08,0.002719578564615631,0.1557,0.0,0.006795382716000473,0.6412781587784946,0.2019,-2.231830091543532e-33,1.819405249939738e-23,-6.345754200599115e-20,1.2931584527923812e-31,4.376494843038783e-21,1.9551309247412403e-36,0.000172991556326267,1.3095708363074523e-26,5.447008123238743e-32,4.871946192658385e-27,-5.3260200348936075e-20,-2.4304382585196775e-33,1.0962925500891965e-19,-1.892984803474041e-44,3.376564924800274e-45,2.346548000509059e-21,2.8685703502624444e-26,1.609137170825505e-46,3.3167371542162155e-22,-2.0128288170643023e-36,0.0010353454433404759,-1.8720631906151675e-28,6.111742640312389e-28,-8.983322583019794e-31,2.271161046671909e-24,-1.6224402053073948e-26,-2.0130896427036415e-64,3.4057402249153374e-22,1.713567901230849e-24,1.578830408597583e-26
1.817670733189671e-08,0.002719578564615631,0.1557,0.0,0.006785235378513352,0.6412678879600512,0.2019,-2.266337476963708e-33,1.8194137309634597e-23,-6.344867531232096e-20,1.292476822666201e-31,4.4477988907384425e-21,1.9620052925274956e-36,0.00017274459441389483,1.3308991866129613e-26,5.529659167640456e-32,4.865221649657598e-27,-5.3258855849130435e-20,-2.395029499114387e-33,1.095401806402568e-19,-1.865455570681461e-44,3.3651723165041745e-45,2.3486820558257714e-21,2.871347240406246e-26,1.6059929224990622e-46,3.370736603853233e-22,-2.9141884748920074e-36,0.0010457397427399708,-1.8698721217907775e-28,6.098977907109571e-28,-8.982640991976366e-31,2.3044829494023928e-24,-1.6178702786983755e-26,-1.4720407143688227e-64,3.4279141715974585e-22,1.747169116641368e-24,1.6079674109749198e-26
1.8405974919675847e-08,0.002719578564615631,0.1557,0.0,0.0067751448268829366,0.6412576746201357,0.2019,-2.3003180839817417e-33,1.8194223107509045e-23,-6.34398394429323e-20,1.291796112883058e-31,4.519067897248627e-21,1.9688804891324748e-36,0.00017249901784355606,1.352215642578115e-26,5.61264876280905e-32,4.858534799822776e-27,-5.3257516093001013e-20,-2.3601366056387513e-33,1.0945133910710928e-19,-1.8383201748310935e-44,3.353858320101307e-45,2.3506569342278648e-21,2.873935554562355e-26,1.6028651113509454e-46,3.4247082636621885e-22,-3.8264608443411064e-36,0.0010560758709407246,-1.867691768521631e-28,6.086277496945313e-28,-8.981960321138877e-31,2.3376891508905365e-24,-1.613331266309357e-26,-1.0660077223302398e-64,3.449764541265489e-22,1.7808884344494774e-24,1.6371950523901845e-26
