Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(50),CH2O2X(51),CH3OX(46),CH3X(52),CH4(41),CH4X(238),CH3O2X(49),CH4O2(171),SX(188),SX(53),C2H4O(231),CH2OX(169),CHOX(168),SX(54),SX(55),SX(318),SX(259),SX(262),SX(450),C2HOX(465),C2H6O(236),SX(357),SX(497),OCCO(227)
4.4109390326873156e-11,0.0027149456784039327,0.1557,0.0,0.00767687314582815,0.642198629948237,0.20183400304725405,1.5075105397506466e-31,2.2275613348514754e-33,7.4850304329009615e-22,3.793331345714417e-39,9.357909701404496e-24,4.087912421524511e-32,9.168996241795917e-05,4.760863093651733e-25,3.7693537641701987e-34,2.1105416631936644e-33,6.599695273891956e-05,1.5701965211330255e-29,7.009886893100092e-15,5.027198390534584e-43,7.505702025006945e-39,6.175635398780179e-20,2.6661645211081616e-25,3.8207280512426395e-57,3.4694232308511865e-25,0.00015552507055059843,7.670726347347676e-45,1.6301064591856427e-26,-1.500955556817652e-22,-1.6169780189410698e-24,1.4441134788547637e-22,3.836328078169202e-51,4.182255558414768e-52,5.652808099682125e-24,8.807552735394113e-39,9.828960520816767e-26,9.525743774684272e-26,1.3982610172340548e-24,1.0506541483399164e-31,2.8876650583777995e-40,1.0501892279604045e-25,1.2043492758341886e-51,3.382520982959838e-31,8.792072698813213e-31,5.209366256113734e-29,-3.631403995005708e-33,9.320842941001482e-33,-3.385346617652922e-42,7.801990523913918e-54
4.4667882137235155e-11,0.0027149456784039327,0.1557,0.0,0.007673202769690106,0.642196249072853,0.20183318886110396,1.6382441437691149e-31,2.4775642390395275e-33,7.9471938374564865e-22,4.2959703689667985e-39,1.0250608159644593e-23,4.486234234905293e-32,9.26405916264353e-05,5.21502869719274e-25,4.0890629517821366e-34,2.3456543076819517e-33,6.681113888876561e-05,1.723116995865072e-29,7.267159754389798e-15,5.575712248063226e-43,8.287448778717226e-39,6.556879109077772e-20,2.8497308320089964e-25,4.356210668739338e-57,3.8002790855767893e-25,0.00015743063133005317,8.730668994444525e-45,1.772549180983668e-26,1.3118469728452495e-23,-1.6182354154798339e-24,-1.840861520342474e-23,4.4365047629353816e-51,4.961542954281775e-52,5.2913092219985264e-24,9.59461767069668e-39,1.0340180375381555e-25,1.0081924352190873e-25,1.4689265514651229e-24,1.125403410291313e-31,3.13262623592403e-40,1.1047782324753748e-25,1.428682588259431e-51,3.2990613267534435e-31,4.806627832504075e-31,5.628668281137235e-29,-2.6121361699180813e-33,1.0715066730453379e-32,-2.0058283372706083e-42,9.349737195290656e-54
4.5226373947597154e-11,0.0027149456784039327,0.1557,0.0,0.0076695407538700045,0.6421938728840157,0.20183237518639996,1.778364974686023e-31,2.7515123174089695e-33,8.431129624532478e-22,4.8562348227977005e-39,1.1214108980650811e-23,4.917100039975159e-32,9.3584896184337e-05,5.705216106739813e-25,4.430767595357045e-34,2.6030646849651608e-33,6.762481359246647e-05,1.8885221559729406e-29,7.530263116204221e-15,6.175127046919556e-43,9.136860968379527e-39,6.956077171667804e-20,3.0430195114175654e-25,4.9569320925015866e-57,4.15736373810748e-25,0.0001593346678882956,9.917676306070659e-45,1.9252726859863884e-26,1.2779662662889853e-22,-1.6196330044185036e-24,-1.3257775272011301e-22,5.119093359462833e-51,5.870961687219441e-52,4.8247993044820055e-24,1.044038476446712e-38,1.0818126960020144e-25,1.0661228723279814e-25,1.5418947795243931e-24,1.2043289105064147e-31,3.394550778746857e-40,1.1558103383469798e-25,1.6904642542736593e-51,2.8494047777576715e-31,5.094405307742396e-31,5.987652025436578e-29,-1.4396394717716841e-33,1.2100291146377272e-32,-4.421109571033616e-43,1.1177670619093672e-53
4.578486575795915e-11,0.0027149456784039327,0.1557,0.0,0.007665887109401037,0.6421915013864202,0.20183156202216715,1.9284081454117537e-31,3.0513059517772764e-33,8.937537024581618e-22,5.479698680012776e-39,1.2252866975279758e-23,5.382653638188894e-32,9.452286146619273e-05,6.23369187840217e-25,4.795625498388966e-34,2.8845180161969022e-33,6.843797782497933e-05,2.0672334397993055e-29,7.799241680924617e-15,6.8293277894606125e-43,1.00585877434008e-38,7.373805785587594e-20,3.246382706404874e-25,5.629642657580548e-57,4.542326282111174e-25,0.00016123718284263066,1.1244644576822753e-44,2.0888612867260036e-26,-8.593621568206837e-23,-1.6176327235428268e-24,8.157358030722081e-23,5.893812467502202e-51,6.929716929822626e-52,4.450703807223495e-24,1.1348372316878951e-38,1.1259483312019064e-25,1.126417110405552e-25,1.6171921538587726e-24,1.287598835849269e-31,3.6743450108261665e-40,1.2029312228828288e-25,1.9952191623671642e-51,2.7204105714267534e-31,7.4974921993365965e-31,6.302868750107559e-29,-1.1236331249110324e-34,1.3469208965533298e-32,1.3064360763485252e-42,1.3331723962652564e-53
4.634335756832115e-11,0.0027149456784039327,0.1557,0.0,0.007662241846181704,0.6421891345841945,0.20183074936742965,2.088931313536859e-31,3.378964717848055e-33,9.467126218207103e-22,6.172373535351329e-39,1.3371540233443446e-23,5.885145138277306e-32,9.545447397844117e-05,6.802826005541809e-25,5.184835908468956e-34,3.191866658786466e-33,6.925063256222886e-05,2.2601129317416233e-29,8.074139403896817e-15,7.54242985072388e-43,1.1057511699162142e-38,7.810650149733486e-20,3.460178468990926e-25,6.381665466374745e-57,4.956890961683125e-25,0.00016313817881219387,1.272553754685659e-44,2.263923203761681e-26,3.9806000988038653e-23,-1.6189407266841642e-24,-4.375723310050132e-23,6.771333110957053e-51,8.159470870641172e-52,4.089774826386719e-24,1.2322257694306445e-38,1.1669980389414478e-25,1.1891262506286764e-25,1.6948443655079893e-24,1.3753853284817941e-31,3.97294860989049e-40,1.2467533413825744e-25,2.3491787881769174e-51,2.7078274621193637e-31,5.024095700850515e-31,6.637762657875932e-29,1.3704560109596874e-33,1.4814643469731853e-32,3.239781821099612e-42,1.586458410408383e-53
4.690184937868315e-11,0.0027149456784039327,0.1557,0.0,0.007658604972986999,0.6421867724809037,0.2018299372212106,2.2605152836638415e-31,3.736632785584214e-33,1.0020618241151666e-21,6.940734678012853e-39,1.457499538010668e-23,6.4269343550592e-32,9.637972134863682e-05,7.415094594239506e-25,5.59964020705797e-34,3.5270747721741304e-33,7.006277878098609e-05,2.468064655156977e-29,8.354999495782784e-15,8.318788444876131e-43,1.213875593759113e-38,8.267204383580948e-20,3.684770651499558e-25,7.220933952312218e-57,5.402859107245151e-25,0.00016503765841766152,1.4375453931631632e-44,2.4510911203364498e-26,-1.21668998812501e-22,-1.6171008381130276e-24,1.1800712113242344e-22,7.763352119722432e-51,9.584607514209017e-52,3.850742198359076e-24,1.3365882089567329e-38,1.2053455355588118e-25,1.2543010468163966e-25,1.774876353368517e-24,1.4678644939510966e-31,4.291335190743815e-40,1.2876868147652334e-25,2.759357318610424e-51,2.4045714883583078e-31,3.419756940910337e-31,6.948983314288935e-29,3.008747288317026e-33,1.6130851777767856e-32,5.356846914176416e-42,1.883657114011084e-53
4.746034118904515e-11,0.0027149456784039327,0.1557,0.0,0.007654976497479811,0.6421844150795574,0.20182912558253258,2.443764615253999e-31,4.126584457934999e-33,1.0598744885535118e-21,7.791748180075022e-39,1.5868312809788643e-23,7.010494241813614e-32,9.729859231446965e-05,8.073082527895892e-25,6.041322589303943e-34,3.8922230902689574e-33,7.087441745874829e-05,2.6920358776067617e-29,8.641864425071936e-15,9.163008174589332e-43,1.3307691172065747e-38,8.744071444812609e-20,3.9205287979351913e-25,8.156031136691885e-57,5.882111063030817e-25,0.00016693562428096416,1.6210697785623087e-44,2.6510227359265545e-26,2.3433992556789543e-22,-1.6207326259969661e-24,-2.3758918970105838e-22,8.88266947215769e-51,1.1232520409217846e-51,3.499266450644795e-24,1.4483255345935602e-38,1.2413927603545993e-25,1.321991879815071e-25,1.8573123144723297e-24,1.5652164079419484e-31,4.6305128701192765e-40,1.3261612292071083e-25,3.233634364731263e-51,2.199402836104294e-31,5.593413986647571e-31,7.203129399059985e-29,4.801730434896431e-33,1.7413734731537895e-32,7.655685581052846e-42,2.231661755538647e-53
4.801883299940715e-11,0.0027149456784039327,0.1557,0.0,0.00765135642622268,0.6421820623826142,0.2018283144504174,2.639308235799218e-31,4.551229847171957e-33,1.1202248597473037e-21,8.732899013002503e-39,1.7256791894386342e-23,7.638414354301721e-32,9.821107671239812e-05,8.779486118332012e-25,6.511210732350473e-34,4.289513799157101e-33,7.168554957362012e-05,2.933018427698615e-29,8.934775920748499e-15,1.0079952753286129e-42,1.4569942874147354e-38,9.241863043964381e-20,4.167828031532262e-25,9.196230601630288e-57,6.396608104234208e-25,0.00016883207902500323,1.8248851738121207e-44,2.864401318321739e-26,-3.6007490864839443e-22,-1.6146923144689738e-24,3.5706110860643066e-22,1.0143269697313183e-50,1.3133924735365523e-51,3.3211977611675615e-24,1.5678560834595745e-38,1.2750286237444645e-25,1.3922487332148849e-25,1.942175715169447e-24,1.667625121286747e-31,4.991524850488059e-40,1.3620578953383898e-25,3.7808446742865797e-51,2.3124669898190312e-31,5.250972487414402e-31,7.468094764318659e-29,6.748117362147983e-33,1.866049759821959e-32,1.0134137238641086e-41,2.6383356581038136e-53
4.857732480976915e-11,0.0027149456784039327,0.1557,0.0,0.007647744764689676,0.6421797143919887,0.2018275038238865,2.847800059231285e-31,5.013120688755582e-33,1.1831882371174121e-21,9.772220208835558e-39,1.874595615928623e-23,8.313404344739789e-32,9.911716546616202e-05,9.53711574082977e-25,7.010676453025077e-34,4.721275519212553e-33,7.249617610419636e-05,3.1920500228623784e-29,9.23377497511192e-15,1.1074754990582608e-42,1.5931398459978223e-38,9.761199556170803e-20,4.4270489380746905e-25,1.0351539227154092e-56,6.948394341953047e-25,0.00017072702527337047,2.0508853152144135e-44,3.091936253895186e-26,6.458811604259807e-22,-1.6250898981499719e-24,-6.483632493053108e-22,1.1560407449302641e-50,1.5323195290719356e-51,2.869936557319042e-24,1.6956160396173315e-38,1.3063142936363253e-25,1.465121170482762e-25,2.0294893031151256e-24,1.7752786635019363e-31,5.375449984860029e-40,1.3954423096805514e-25,4.4108752867246486e-51,1.9862810374021384e-31,2.802223488002041e-31,7.736286441031662e-29,8.8462310637423e-33,1.986838069154158e-32,1.2789597909126644e-41,3.112633019916478e-53
4.9135816620131146e-11,0.0027149456784039327,0.1557,0.0,0.007644141517278751,0.6421773711090577,0.20182669370196096,3.0699196093946634e-31,5.5149562921902426e-33,1.2488409639632241e-21,1.091832307980224e-38,2.0341558422738234e-23,9.038297483900041e-32,0.00010001685057483146,1.034889845055643e-24,7.541136353315986e-34,5.189968390354113e-33,7.330629802944537e-05,3.470215607350577e-29,9.53890184674723e-15,1.2152826831769799e-42,1.7398214514219089e-38,1.0302709930106082e-19,4.698577445779571e-25,1.1632741710835366e-56,7.539598614061434e-25,0.0001726204656500706,2.301107324960198e-44,3.3343635957210215e-26,-1.2694089831768919e-21,-1.605400360718469e-24,1.2668382737444516e-21,1.3150697356047973e-50,1.7838731946111952e-51,3.0138026923348055e-24,1.8320599329267773e-38,1.3353750452432455e-25,1.540658313411393e-25,2.119275119974861e-24,1.8883690442832548e-31,5.783403310974414e-40,1.4264483509246324e-25,5.134770580618363e-51,1.9023211248202807e-31,3.939400339957517e-31,7.96398724676114e-29,1.1094004688134357e-32,2.1034976085091173e-32,1.561873576813468e-41,3.6647327945526174e-53
4.9694308430493145e-11,0.0027149456784039327,0.1557,0.0,0.007640546687324013,0.6421750325346652,0.20182588408366156,3.3063726484785435e-31,6.0595896280669586e-33,1.317260416202939e-21,1.2180428508709685e-38,2.2049585893518512e-23,9.816054209433183e-32,0.0001009101251009338,1.1217880577843662e-24,8.104052455821485e-34,5.698189258959459e-33,7.411591632859451e-05,3.768648699722653e-29,9.850196063641562e-15,1.3319869518145722e-42,1.8976824049305767e-38,1.0867031594217248e-19,4.982804701539056e-25,1.3051446922669745e-56,8.172436360167584e-25,0.00017451240277924763,2.57773992426467e-44,3.5924466091937964e-26,2.545378282780868e-21,-1.6445315225119267e-24,-2.546892955664184e-21,1.4932208236992403e-50,2.0723354178770336e-51,2.0791557932449458e-24,1.9776611448990525e-38,1.362434791411928e-25,1.6189088217848125e-25,2.2115545147597525e-24,2.0070922542494994e-31,6.216536599258308e-40,1.455315470545441e-25,5.964845676510741e-51,1.6981088484307334e-31,4.506097287869339e-31,8.162022770396334e-29,1.3488983701457e-32,2.215814720814343e-32,1.861805991805826e-41,4.306186848492113e-53
5.0252800240855144e-11,0.0027149456784039327,0.1557,0.0,0.007636960277108772,0.642172698669131,0.2018250749680088,3.5578918101729052e-31,6.650033550273134e-33,1.3885249907978909e-21,1.3568399321110404e-38,2.3876265221853133e-23,1.064976569845753e-31,0.00010179698315776683,1.214723029976405e-24,8.700932824269887e-34,6.248676964761707e-33,7.49250319810167e-05,4.0885327490545617e-29,1.0167696426443295e-14,1.458188404456478e-42,2.0673943798049886e-38,1.1454810360357063e-19,5.280126943857632e-25,1.4620136099776078e-56,8.849211478792825e-25,0.00017640283928491385,2.883131950671354e-44,3.866976314810679e-26,-5.3058285658944664e-21,-1.5639497729907344e-24,5.302986062981066e-21,1.692456178186402e-50,2.4024726339856365e-51,3.411986996917144e-24,2.132912417554048e-38,1.3878061100164666e-25,1.6999208743671062e-25,2.306348157689209e-24,2.1316482627029994e-31,6.6760388948718244e-40,1.4823773767681478e-25,6.914808670381137e-51,2.2333145277151415e-31,3.588805277313482e-31,8.402962549389099e-29,1.6028345185921393e-32,2.3236791871621457e-32,2.178379845551771e-41,5.050083680086267e-53
5.081129205121714e-11,0.0027149456784039327,0.1557,0.0,0.007633382287877778,0.6421703695122553,0.2018242663540234,3.825237237539766e-31,7.289467152316887e-33,1.4627140938721052e-21,1.5092773750257562e-38,2.5828067498702443e-23,1.1542657462379312e-31,0.0001026774198975662,1.3140240185512744e-24,9.333332177700139e-34,6.844317726016068e-33,7.573364596611805e-05,4.431102499084144e-29,1.0491441011859652e-14,1.5945181649325673e-42,2.2496581537505304e-38,1.2066700324909593e-19,5.590945372355049e-25,1.6352212954121653e-56,9.572318164955383e-25,0.00017829177779068292,3.2198011830362946e-44,4.1587720277765914e-26,1.1550039242981438e-20,-1.7369574081391676e-24,-1.1549089219777686e-20,1.9149035778739476e-50,2.7795815367830977e-51,-1.0920608506583593e-25,2.29832637165493e-38,1.4112207006999717e-25,1.783742151113904e-25,2.4036760545008043e-24,2.262241016325826e-31,7.163137021785246e-40,1.507348237712804e-25,7.999892189352418e-51,5.270375913293902e-32,1.3234631255033276e-31,8.568799056753016e-29,1.8709006629024164e-32,2.4270250136862808e-32,2.5111669755682025e-41,5.911229080891636e-53
5.136978386157914e-11,0.0027149456784039327,0.1557,0.0,0.0076298127198511975,0.642168045063326,0.20182345824072592,4.109197225016856e-31,7.981242250112285e-33,1.5399081285548605e-21,1.676479995086581e-38,2.7911713201450897e-23,1.249809296113732e-31,0.00010355143149788609,1.42003297145963e-24,1.0002852483651747e-33,7.488150616472664e-33,7.654175926322746e-05,4.7976453592376674e-29,1.0821467176183743e-14,1.741639435164583e-42,2.445204344122806e-38,1.2703363767637995e-19,5.915666014722519e-25,1.8262055600069101e-56,1.0344242727457043e-24,0.0001801792209195055,3.590443461524169e-44,4.468681894287799e-26,-3.3606986937127323e-22,-1.6409251865732256e-24,3.42518181283463e-22,2.1628671747354766e-50,3.2095381030645854e-51,-5.587731930029806e-24,2.474436022800562e-38,1.3971119112655298e-25,1.8704198166224758e-25,2.5035575611007714e-24,2.399078432255048e-31,7.679096091441246e-40,1.4922256178747435e-25,9.23699429326907e-51,-2.457883265278425e-31,-3.575836909219746e-31,8.513092709560729e-29,2.1525620681313778e-32,2.521739935765163e-32,2.859076493511847e-41,6.906344301821299e-53
