Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(41),COX(42),CHOX(51),CH2O2X(43),CH3OX(38),CH3X(25),CH4(24),CH4X(158),SX(46),CH3O2X(40),SX(93)
2.8325972872359607e-09,0.00299236199292705,0.0,0.0,0.0025119601509950044,0.795928481286713,0.09999939263189918,0.09999999986522051,1.6396106658191998e-12,1.8493847106517936e-24,6.39385787729401e-16,4.927678498513123e-26,4.615480473335995e-40,0.0031102765104562956,1.6870188774712646e-14,1.0968490734150639e-16,9.657115917372226e-17,6.072366209101998e-07,1.331220179857895e-10,1.1562637505061561e-16,1.5159194481099297e-19,4.514279064596906e-22,1.1374761105036113e-21,4.586788206578796e-28,6.785382661252571e-32,3.366380259030794e-29,0.0025163804564212427,1.331300776667414e-10,6.281471177085863e-15,3.6985196215398676e-22,4.7881814575454734e-27,4.570146777816082e-35,9.685310437386904e-35,1.9592393933822045e-34,1.1075416601284707e-48,3.278255666674681e-32,1.0010581873847713e-56
2.8425265420404966e-09,0.00299236199292705,0.0,0.0,0.002509243196337392,0.7959277690969424,0.0999993932893394,0.09999999986535403,1.6501050854177739e-12,1.8724492600582918e-24,6.433128421332245e-16,5.0073493533458694e-26,4.701589902255713e-40,0.003114287355399183,1.685165511066597e-14,1.0982801843241191e-16,9.708650326989266e-17,6.065793351665724e-07,1.3297802693120196e-10,1.1606440826863806e-16,1.5174151076182877e-19,4.520087042144795e-22,1.1475425113527374e-21,4.636738626071067e-28,6.835862802625501e-32,3.4173256587453236e-29,0.0025150872237097587,1.3298601670663442e-10,6.307349264623496e-15,3.717216060641149e-22,4.855077651334613e-27,4.611206431572906e-35,9.827037280417921e-35,1.987182898154716e-34,1.1223584850962065e-48,3.3026467020832956e-32,1.021035350505402e-56
2.8524557968450324e-09,0.00299236199292705,0.0,0.0,0.0025065431009457344,0.7959270691258399,0.09999939394269644,0.0999999998654866,1.660626904179499e-12,1.8957145504160284e-24,6.472488235058025e-16,5.0879898481513437e-26,4.788964382960894e-40,0.003118288910977782,1.6833233646269107e-14,1.0997290931496131e-16,9.760275854928183e-17,6.059261317986414e-07,1.3283492940534284e-10,1.1650253175662495e-16,1.5189064014063503e-19,4.52588152843555e-22,1.157659894373798e-21,4.687034672337084e-28,6.886524901393953e-32,3.4688307112790005e-29,0.002513786417012438,1.3284285018514242e-10,6.333241718254752e-15,3.7359400321378497e-22,4.9226515910080636e-27,4.652465764831558e-35,9.97026272698899e-35,2.0154088514393525e-34,1.1373219672225976e-48,3.327125663710723e-32,1.0413321812350637e-56
2.8623850516495683e-09,0.00299236199292705,0.0,0.0,0.002503859654440645,0.79592638119562,0.09999939459202116,0.09999999986561829,1.6711755038088583e-12,1.9191815819871176e-24,6.511937188073371e-16,5.1696079672305325e-26,4.877617575044938e-40,0.0031222812424822922,1.681492884342148e-14,1.101034347228524e-16,9.811992226845498e-17,6.052769598503829e-07,1.3269271427924657e-10,1.1694074593256742e-16,1.5203933608690747e-19,4.531662618315694e-22,1.1678283343642693e-21,4.737677455969422e-28,6.937368955099648e-32,3.520899256356488e-29,0.0025124781814694517,1.327005669391558e-10,6.359148529325454e-15,3.75469143732026e-22,4.990907589784337e-27,4.693924954105233e-35,1.0114996684838358e-34,2.043918944530599e-34,1.1524331119151345e-48,3.351692550367974e-32,1.0619525566465463e-56
2.872314306454104e-09,0.00299236199292705,0.0,0.0,0.002501192649441646,0.7959257051310626,0.09999939523736387,0.09999999986574908,1.6817502780550126e-12,1.942851356483986e-24,6.551475150833755e-16,5.252211731143459e-26,4.967563234953434e-40,0.003126264414333395,1.6796739436530576e-14,1.1024262790051034e-16,9.863799172229012e-17,6.046317690929729e-07,1.3255137053199477e-10,1.1737905120237271e-16,1.521876016992333e-19,4.537430405368926e-22,1.178047906058288e-21,4.7886680887762135e-28,6.988394961367697e-32,3.5735351451153545e-29,0.0025111626600908604,1.3255915596470077e-10,6.385069688877908e-15,3.7734701772300274e-22,5.05984997291303e-27,4.7355841754367876e-35,1.0261249090418598e-34,2.072714872051808e-34,1.1676929291240272e-48,3.3763473609065217e-32,1.082900386462362e-56
2.88224356125864e-09,0.00299236199292705,0.0,0.0,0.002498541881522573,0.795925040759474,0.09999939587877404,0.09999999986587897,1.6923526997163894e-12,1.966724877068087e-24,6.591101994635959e-16,5.335809196772378e-26,5.058815216355659e-40,0.003130238490096054,1.6778654075317506e-14,1.1039672126709234e-16,9.915696481752254e-17,6.03990510013455e-07,1.3241088732038679e-10,1.178174479599104e-16,1.5233544003599477e-19,4.543184981936125e-22,1.188318684126251e-21,4.840007683781633e-28,7.039602917894942e-32,3.626742240109333e-29,0.002509839993787373,1.324186064145734e-10,6.411005187653499e-15,3.792276152671961e-22,5.129483077670934e-27,4.7774436043328235e-35,1.0409029908951292e-34,2.101798331946937e-34,1.1831024333524772e-48,3.401090094212621e-32,1.1041796132189956e-56
2.892172816063176e-09,0.00299236199292705,0.0,0.0,0.002495907149167568,0.7959243879106513,0.09999939651630056,0.099999999866008,1.7029823727561309e-12,1.9908031483485896e-24,6.630817591606104e-16,5.420408457384924e-26,5.151387470516576e-40,0.003134203532493305,1.6760680009174626e-14,1.1052216405848164e-16,9.967683881454394e-17,6.033531338023367e-07,1.3227125402091194e-10,1.1825593658729113e-16,1.524828541160566e-19,4.548926439135343e-22,1.1986407431736283e-21,4.891697355220977e-28,7.09099282244087e-32,3.6805244153113627e-29,0.002508510321400653,1.322789075960051e-10,6.436955016095329e-15,3.811109264224988e-22,5.199811253358064e-27,4.819503415883897e-35,1.05583491342929e-34,2.1311710254723674e-34,1.1986626436648939e-48,3.425920749202878e-32,1.1257942124308476e-56
2.9021020708677117e-09,0.00299236199292705,0.0,0.0,0.0024932882537278176,0.795923746416845,0.09999939714999147,0.09999999986613615,1.7136370694051255e-12,2.0150871763810616e-24,6.670621814687881e-16,5.506017642697089e-26,5.245294046669358e-40,0.0031381596034196473,1.67428248736537e-14,1.1064675954227921e-16,1.001976105197021e-16,6.02719592345525e-07,1.321324600696389e-10,1.186945174549847e-16,1.5262984691932412e-19,4.554654866881369e-22,1.209014157740305e-21,4.943738218532446e-28,7.142564672817218e-32,3.7348855561163766e-29,0.0025071737797331753,1.3214004896836532e-10,6.462919164350875e-15,3.829969412252863e-22,5.27083886129358e-27,4.861763784751406e-35,1.0709216788928386e-34,2.1608346571892903e-34,1.2143745836898106e-48,3.4508393248193246e-32,1.1477481927539897e-56
2.9120313256722475e-09,0.00299236199292705,0.0,0.0,0.002490684999379109,0.7959231161127229,0.09999939777989429,0.09999999986626344,1.724319332135307e-12,2.039577968666136e-24,6.710514537630922e-16,5.59264491893606e-26,5.340549092387877e-40,0.003142106763953998,1.6725064781449056e-14,1.1081901123106558e-16,1.0071927819536233e-16,6.020898382148193e-07,1.3199449502373687e-10,1.1913319092168947e-16,1.5277642138740408e-19,4.560370353904516e-22,1.219439002300781e-21,4.996131390359871e-28,7.194318466875089e-32,3.789829559343862e-29,0.002505830503577651,1.3200202014090876e-10,6.488897622274673e-15,3.8488564969160225e-22,5.3425702748116084e-27,4.904224884958241e-35,1.0861642924169953e-34,2.1907909349552675e-34,1.2302392816300664e-48,3.475845820023174e-32,1.1700455961516312e-56
2.9219605804767834e-09,0.00299236199292705,0.0,0.0,0.0024880971930797986,0.7959224968353343,0.09999939840605569,0.09999999986638991,1.73503061252052e-12,2.0642765341481708e-24,6.750495634979361e-16,5.680298488903107e-26,5.437166853959536e-40,0.003146045074372821,1.6707403091440407e-14,1.1095003968992571e-16,1.0124183953015623e-16,6.014638246530104e-07,1.3185734876764823e-10,1.195719573346889e-16,1.5292258042434306e-19,4.56607298776957e-22,1.2299153512627058e-21,5.048877988550103e-28,7.246254202497026e-32,3.845360333240262e-29,0.0025044806257460204,1.3186481087054788e-10,6.514890379431026e-15,3.867770418182283e-22,5.415009879257005e-27,4.946886890079154e-35,1.101563761995704e-34,2.2210415699153906e-34,1.2462577702759814e-48,3.500940233790828e-32,1.1926904980593216e-56
