Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(52),COX(53),CH3OX(48),CHOX(64),SX(57),CH2O2X(54)
5.584384975919903e-07,0.0007926750507772021,0.0,0.0,5.2400443860259216e-05,0.7988551306155947,0.09999961809121093,0.09999999998140129,1.4570931369377162e-11,3.785295180282687e-08,1.490771935217719e-15,1.4779725575946056e-09,1.0391975710816752e-11,0.0019173301391434484,1.1072061463912477e-17,7.8433055853884825e-19,1.0913640470273997e-16,1.5279721806880005e-07,4.026013958385138e-12,5.8711109963682705e-08,1.6623752273249933e-20,4.7586699096408285e-24,1.3090745460318185e-07,8.181122698137821e-13,2.9502128267087304e-32,1.023204747000124e-12,0.00018600297944502893,4.026170469961409e-12,1.4985217037766118e-10,1.5015024498384872e-13,2.7014785204739902e-22,1.203821973601324e-22
5.622889935218328e-07,0.0007926750507772021,0.0,0.0,5.240042071458059e-05,0.7988551304893503,0.09999961804686404,0.09999999998129548,1.4676707019326894e-11,3.809088728655956e-08,1.4999324077859604e-15,1.4884290599991455e-09,1.0443723291229825e-11,0.001917330452310965,1.1072056575719332e-17,7.843306862004309e-19,1.0992864917403748e-16,1.527971504525266e-07,4.026012180057738e-12,5.8710902053488136e-08,1.6623754891021237e-20,4.758670164058291e-24,1.307027792198931e-07,8.168336130655292e-13,2.9663493174191284e-32,1.023287740253683e-12,0.0001860028934660285,4.026168689755657e-12,1.5076041632917269e-10,1.5117507529502292e-13,2.7149291089317123e-22,1.211218697696792e-22
5.661394894516754e-07,0.0007926750507772021,0.0,0.0,5.2400399777915877e-05,0.7988551303603527,0.09999961800247364,0.09999999998118969,1.4782482703150012e-11,3.832841032431745e-08,1.5090928771468016e-15,1.4988701772961937e-09,1.0495389840214531e-11,0.0019173307546452205,1.1072052155165212e-17,7.843308095086536e-19,1.1072089786867465e-16,1.5279708927908594e-07,4.026010571452725e-12,5.8710700984467384e-08,1.6623757416203812e-20,4.758670409680593e-24,1.3049856444690296e-07,8.155577960466878e-13,2.982486699026929e-32,1.0233710653837286e-12,0.00018600281563975205,4.0261670792800235e-12,1.5166628769709376e-10,1.521995666226378e-13,2.7283587364863047e-22,1.218615464042561e-22
5.69989985381518e-07,0.0007926750507772021,0.0,0.0,5.2400380867027545e-05,0.7988551302288478,0.09999961795804084,0.0999999999810839,1.488825841971705e-11,3.856552182734054e-08,1.5182533433978455e-15,1.5092959433235752e-09,1.0546975543768057e-11,0.0019173310470076972,1.1072048163458528e-17,7.843309288094517e-19,1.1151315048830094e-16,1.5279703401404953e-07,4.026009118491643e-12,5.871050621451909e-08,1.662375985617143e-20,4.7586706472435885e-24,1.3029480927758295e-07,8.142848157286619e-13,2.998624970795124e-32,1.0234547248006527e-12,0.00018600274529003268,4.026165624455309e-12,1.5256979008952156e-10,1.5322371907702915e-13,2.741767443623661e-22,1.2260122693655755e-22
5.738404813113605e-07,0.0007926750507772021,0.0,0.0,5.2400363813822465e-05,0.7988551300950606,0.09999961791356672,0.09999999998097811,1.499403416799125e-11,3.880222270488822e-08,1.5274138066288873e-15,1.5197063918880285e-09,1.059848058720278e-11,0.001917331330188759,1.1072044565013762e-17,7.843310444202017e-19,1.1230540675664657e-16,1.5279698416715863e-07,4.026007808259601e-12,5.871031724629212e-08,1.6623762217689107e-20,4.758670877295898e-24,1.3009151270641897e-07,8.130146688154805e-13,3.0147641318920174e-32,1.0235387206543295e-12,0.00018600268179658783,4.026164312365947e-12,1.534709291031063e-10,1.5424753276862584e-13,2.7551552712552817e-22,1.2334091106394939e-22
5.776909772412031e-07,0.0007926750507772021,0.0,0.0,5.2400348464103235e-05,0.7988551299591983,0.09999961786905218,0.09999999998087232,1.509980994700936e-11,3.903851386424083e-08,1.5365742669230197e-15,1.5301015567616192e-09,1.064990515517051e-11,0.0019173316049135123,1.1072041327187166e-17,7.843311566320776e-19,1.1309766641782565e-16,1.527969392886827e-07,4.026006628909347e-12,5.8710133623495884e-08,1.662376450696328e-20,4.7586711005006964e-24,1.298886737291007e-07,8.117473517673777e-13,3.030904181399827e-32,1.023623054856834e-12,0.00018600262459041167,4.026163131164059e-12,1.543697103229757e-10,1.5527100780793953e-13,2.7685222606786368e-22,1.240805985066679e-22
5.815414731710457e-07,0.0007926750507772021,0.0,0.0,5.2400334676419275e-05,0.79885512982145,0.09999961782449812,0.09999999998076653,1.5205585755878884e-11,3.92743962107012e-08,1.545734724357047e-15,1.5404814716784553e-09,1.0701249431684935e-11,0.001917331871847207,1.1072038420033483e-17,7.843312657122169e-19,1.138899292348686e-16,1.527968989660683e-07,4.026005569572982e-12,5.870995492750521e-08,1.6623766729688017e-20,4.758671317382689e-24,1.296862913426033e-07,8.104828608224548e-13,3.0470451183214125e-32,1.0237077291032114e-12,0.0001860025731495352,4.026162069981177e-12,1.5526613932266664e-10,1.562941443055546e-13,2.781868453540395e-22,1.248202890060978e-22
5.853919691008882e-07,0.0007926750507772021,0.0,0.0,5.240032232101151e-05,0.7988551296819897,0.0999996177799054,0.09999999998066074,1.5311361593779512e-11,3.9509870647596505e-08,1.5548951790017152e-15,1.5508461703316924e-09,1.075251360014219e-11,0.0019173321316001864,1.1072035816082571e-17,7.843313719057087e-19,1.1468219498838974e-16,1.527968628208617e-07,4.026004620280894e-12,5.8709780774241884e-08,1.6623768891087404e-20,4.758671528442129e-24,1.2948436454526218e-07,8.092211920165406e-13,3.063186941586211e-32,1.0237927448904464e-12,0.00018600252699513243,4.026161118847168e-12,1.5616022166406442e-10,1.5731694237211936e-13,2.7951938918023755e-22,1.2555998232316473e-22
5.892424650307308e-07,0.0007926750507772021,0.0,0.0,5.240031127884562e-05,0.798855129540977,0.09999961773527476,0.09999999998055495,1.5417137459958476e-11,3.974493807628041e-08,1.5640556309221583e-15,1.5611956863708046e-09,1.0803697843339801e-11,0.0019173323847324285,1.1072033490134737e-17,7.843314754374196e-19,1.1547446347530467e-16,1.527968305058885e-07,4.026003771887467e-12,5.870961081131801e-08,1.6623770995954417e-20,4.758671734110402e-24,1.2928289233684098e-07,8.079623412013555e-13,3.079329650056149e-32,1.0238781035347792e-12,0.00018600248568795264,4.026160268615932e-12,1.570519628973494e-10,1.583394021183379e-13,2.80849861771007e-22,1.2629967823686598e-22
5.930929609605733e-07,0.0007926750507772021,0.0,0.0,5.240030144072639e-05,0.7988551293985579,0.0999996176906069,0.09999999998044916,1.5522913353721962e-11,3.9979599396135187e-08,1.5732160801784858e-15,1.5715300533991073e-09,1.0854802343494056e-11,0.0019173326317577085,1.1072031419073251e-17,7.843315765136629e-19,1.1626673450760965e-16,1.5279680170267104e-07,4.026003016003044e-12,5.8709444715418866e-08,1.6623773048686544e-20,4.758671934813615e-24,1.2908187371859375e-07,8.067063040611229e-13,3.095473242531416e-32,1.0239638061875121e-12,0.0001860024488250524,4.0261595108973735e-12,1.5794136856094952e-10,1.5936152365496228e-13,2.821782673763554e-22,1.270393765429262e-22
