Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(50),CH2O2X(51),CH3OX(46),CH3X(52),CH4(41),CH4X(238),CH3O2X(49),CH4O2(171),SX(188),SX(53),C2H4O(231),CH2OX(169),CHOX(168),SX(54),SX(55),SX(318),SX(259),SX(262),SX(450),C2HOX(465),C2H6O(236),SX(357),SX(497),OCCO(227),SX(387),SX(190)
3.020128130838763e-08,0.002724645380668153,0.1557,0.0,0.003134497089852723,0.6397773244759475,0.19967930479071658,3.1836096333696874e-18,7.092069909155137e-18,9.669845920847984e-14,6.980083126625979e-22,1.0415652954945409e-13,1.0609517178712839e-19,8.152752787565357e-05,5.679198580192379e-15,6.353116278949862e-22,9.94543468861247e-20,0.0022206947519181636,6.8263633976537295e-18,4.5198676173292823e-10,3.6765220507622726e-31,1.1906638040147543e-24,5.176161286308968e-12,1.978711729765583e-18,8.683497328718786e-40,8.819484854444919e-16,0.0025819115286234437,8.98946484550962e-28,3.8549064691755176e-16,5.8871857076846145e-24,1.5155543347236997e-16,5.524451111224437e-15,4.659229105482337e-33,9.443094086524933e-31,6.493816634536273e-19,5.538581882349855e-26,1.0934291429827922e-17,2.4950570562169513e-20,1.9281648050347214e-19,2.972013999916082e-23,5.273247029567447e-29,8.64264060663019e-18,1.7725966199487887e-30,2.500920417987084e-24,5.255957809025778e-24,1.6700172588035867e-19,2.417027036095264e-21,2.020891076958014e-24,1.2000635838925394e-30,3.8987754969641844e-27,7.343382905376268e-32,6.78013637337648e-24
3.0345443094869606e-08,0.002724645380668153,0.1557,0.0,0.003134496253545018,0.6397773262061497,0.19967930221162736,3.247837245486716e-18,7.269994752196742e-18,9.781112266625381e-14,7.155255836711037e-22,1.0568709307151306e-13,1.077349245385905e-19,8.152750537342253e-05,5.762341134860055e-15,6.482336894785929e-22,1.0149148429083311e-19,0.0022206973284127915,6.924096620394432e-18,4.5452747614924737e-10,3.7291584036025963e-31,1.2148904534074661e-24,5.2272803053207945e-12,1.9982603215583055e-18,8.904561437476857e-40,8.918647233584676e-16,0.0025819098083467414,9.21507929459745e-28,3.8966398102741775e-16,5.945459363860297e-24,1.54479693179939e-16,5.604708739518878e-15,4.780593155132632e-33,9.746512795642684e-31,6.558020916248682e-19,5.624720533910478e-26,1.1105696261486038e-17,2.509086606211995e-20,1.9390073108913013e-19,3.0013799800033656e-23,5.354710637537677e-29,8.764119114749941e-18,1.8261618465619176e-30,2.5358931166348324e-24,5.3294892949746485e-24,1.7027021632502604e-19,2.4645180008525307e-21,2.04930794681427e-24,1.2236415141070165e-30,3.982233545810395e-27,7.464648052375295e-32,6.853592711979716e-24
3.048960488135158e-08,0.002724645380668153,0.1557,0.0,0.0031344954563066207,0.6397773278553991,0.19967929975308296,3.3129784098971218e-18,7.451539316478152e-18,9.893172597936897e-14,7.333994702957889e-22,1.0723279268190744e-13,1.0939872854868731e-19,8.152748392225774e-05,5.846300973039364e-15,6.61358922737922e-22,1.0356090481862062e-19,0.0022206997843580846,7.022793486205512e-18,4.570724820418255e-10,3.782313816023612e-31,1.2394980857848607e-24,5.27865977002472e-12,2.0179087635928062e-18,9.13021004306811e-40,9.018441632410176e-16,0.0025819081684944466,9.445287163869972e-28,3.9386159768447494e-16,6.004031550108393e-24,1.5744632709579075e-16,5.685743857589879e-15,4.904568170799301e-33,1.0058285463590092e-30,6.622553051008539e-19,5.711810841351777e-26,1.1278918623097438e-17,2.5231398473827436e-20,1.9498681244693358e-19,3.0308958225163935e-23,5.43736855554778e-29,8.88665034108548e-18,1.8810914648693234e-30,2.5711690270401444e-24,5.4036588739086606e-24,1.7358429261989003e-19,2.5126748377224974e-21,2.077971229339589e-24,1.2475500224194106e-30,4.0670673660296306e-27,7.58734702543763e-32,6.927476378473722e-24
3.063376666783356e-08,0.002724645380668153,0.1557,0.0,0.003134494696310051,0.6397773294274828,0.19967929740944484,3.3790420699306786e-18,7.63676052898159e-18,1.000602958194516e-13,7.516355952731823e-22,1.0879370582070988e-13,1.110868344286383e-19,8.152746347299449e-05,5.931082218182151e-15,6.746896409874953e-22,1.056629794326041e-19,0.0022207021253924314,7.122458680290362e-18,4.596218022411674e-10,3.8359908104527303e-31,1.26449104101262e-24,5.330299914214181e-12,2.0376571437555704e-18,9.360517394983585e-40,9.118869359282135e-16,0.0025819066053047904,9.680160881894826e-28,3.9808353020636523e-16,6.0629025484216095e-24,1.604557445997061e-16,5.767560235610253e-15,5.0311993015019076e-33,1.0378604991115932e-30,6.68741333960094e-19,5.799859648425673e-26,1.1453969280786205e-17,2.5372169057672633e-20,1.9607473432084537e-19,3.060561664636424e-23,5.521233223480842e-29,9.010237923106393e-18,1.937413973911429e-30,2.6067492268714396e-24,5.478468821961876e-24,1.7694434900771854e-19,2.5615033036925854e-21,2.1068817775569405e-24,1.2717919666076112e-30,4.153293208429579e-27,7.711490957291953e-32,7.001787968021836e-24
3.0777928454315534e-08,0.002724645380668153,0.1557,0.0,0.003134493971813307,0.6397773309260095,0.19967929517533842,3.4460372121373512e-18,7.825715964998958e-18,1.0119685890974259e-13,7.702396458565315e-22,1.1036990999606553e-13,1.1279949450832906e-19,8.152744397876758e-05,6.016688996773397e-15,6.882281755157574e-22,1.0779808200336287e-19,0.002220704356890498,7.223096892030546e-18,4.621754595999486e-10,3.890191912072234e-31,1.2898736926018316e-24,5.382200974272326e-12,2.05750555217636e-18,9.595558633823925e-40,9.219931728501815e-16,0.0025819051151919534,9.919773708233404e-28,4.023298121346531e-16,6.122072643830461e-24,1.6350835705040272e-16,5.850161645492199e-15,5.160532294323718e-33,1.0707667926958472e-30,6.752602086085708e-19,5.888873834598774e-26,1.1630859019521955e-17,2.551317907550525e-20,1.9716450646407597e-19,3.0903776451150506e-23,5.606317166819238e-29,9.134885491193655e-18,1.9951583463207186e-30,2.642634792160794e-24,5.55392141173943e-24,1.8035078112854226e-19,2.6110091755837613e-21,2.1360404428389997e-24,1.2963702143569945e-30,4.2409274501098046e-27,7.837091053974158e-32,7.076528079460527e-24
3.092209024079751e-08,0.002724645380668153,0.1557,0.0,0.0031344932811558646,0.6397773323544198,0.19967929304564036,3.5139728663264565e-18,8.018463853159702e-18,1.0234144202534393e-13,7.892173743258887e-22,1.1196148278504635e-13,1.1453696284707793e-19,8.152742539490384e-05,6.1031254383720635e-15,7.019768758028674e-22,1.0996658932638705e-19,0.002220706483975558,7.324712815029744e-18,4.647334769930604e-10,3.944919648731176e-31,1.3156504479146389e-24,5.434363189172496e-12,2.0774540803107556e-18,9.835409799111946e-40,9.321630060310702e-16,0.002581903694737836,1.01641997402179e-27,4.066004772351507e-16,6.1815421240587746e-24,1.6660457778644363e-16,5.933551860932224e-15,5.292613539927712e-33,1.104567452324641e-30,6.818119597805229e-19,5.978860315447601e-26,1.1809598643164234e-17,2.5654429790044155e-20,1.9825613863961987e-19,3.1203439042367987e-23,5.692632997237679e-29,9.260596668750197e-18,2.054354034460244e-30,2.678826797354952e-24,5.630018912464078e-24,1.8380398601749022e-19,2.6611982500123083e-21,2.1654480749340783e-24,1.3212876432736853e-30,4.329986595163997e-27,7.964158574587783e-32,7.151697315312151e-24
3.121041381376147e-08,0.002724645380668153,0.1557,0.0,0.003134491995101936,0.639777335013855,0.19967928908016438,3.652702046424779e-18,8.415573197572626e-18,1.0465477569366573e-13,8.283172022665681e-22,1.1519104486196057e-13,1.1808734922951217e-19,8.152739078993505e-05,6.278503844444045e-15,7.301142617457627e-22,1.1440534014255996e-19,0.002220710444211423,7.530896590594386e-18,4.698626834932676e-10,4.055965147115328e-31,1.3684040696664478e-24,5.5394720523458616e-12,2.1176518620093742e-18,1.0329850616751307e-39,9.5269399223801e-16,0.002581901049926178,1.0667792038647803e-27,4.152150931391402e-16,6.3013804055802245e-24,1.7292950737371286e-16,6.102713812465214e-15,5.5652094776202765e-33,1.1749338560848737e-30,6.950142162707795e-19,6.161778008893603e-26,1.2172670855326204e-17,2.5937658367018504e-20,2.0044502218651085e-19,3.180727826751967e-23,5.869011195501549e-29,9.515224311651704e-18,2.1772196034096307e-30,2.7521344166417635e-24,5.7841577066547284e-24,1.9085230920315478e-19,2.763649291699586e-21,2.2250136305888445e-24,1.372151603461321e-30,4.5124462510070526e-27,8.222741235033155e-32,7.303325588840914e-24
3.146990502942903e-08,0.002724645380668153,0.1557,0.0,0.003134490938262816,0.6397773371988779,0.19967928582165914,3.780866333657582e-18,8.786539499722504e-18,1.067644741600561e-13,8.648440822583451e-22,1.1815099108448404e-13,1.213701256478727e-19,8.152736235210463e-05,6.4392233495155604e-15,7.561806179267855e-22,1.1851830065644267e-19,0.002220713697984522,7.719852935341344e-18,4.744941105986955e-10,4.157732589496288e-31,1.4172750789905649e-24,5.634965629190318e-12,2.1541732068024953e-18,1.079207883248372e-39,9.71390715664389e-16,0.0025818988767027655,1.1138247000425688e-27,4.2305198124270736e-16,6.410261704184501e-24,1.7877527152023316e-16,6.257695179701766e-15,5.82042315390595e-33,1.2415310263801148e-30,7.07008999862681e-19,6.329799314731598e-26,1.2505871225323267e-17,2.6193399963944497e-20,2.024214768246912e-19,3.235588747621726e-23,6.032092917446502e-29,9.748062945638336e-18,2.2930676242820267e-30,2.819170043523946e-24,5.925110913086765e-24,1.9735977448318856e-19,2.8582503375307657e-21,2.279482589503703e-24,1.4191182348250124e-30,4.681701305166379e-27,8.460598479234739e-32,7.441264760910219e-24
3.172939624509659e-08,0.002724645380668153,0.1557,0.0,0.0031344899685781936,0.6397773392033097,0.1996792828320634,3.912220292729562e-18,9.170729317767614e-18,1.0890057631116072e-13,9.026741647541688e-22,1.2116194133451177e-13,1.2473731191985822e-19,8.152733625894043e-05,6.602695330450233e-15,7.829652847913589e-22,1.2274548805893191e-19,0.0022207166828326686,7.912050257118827e-18,4.791400209875554e-10,4.2612457434057215e-31,1.467493096570681e-24,5.731309182668209e-12,2.191020401543415e-18,1.1271115731060947e-39,9.902955713741087e-16,0.0025818968828898036,1.1625488099869944e-27,4.309684062322726e-16,6.5201176226467915e-24,1.8476884534372102e-16,6.415291051779188e-15,6.085291698231736e-33,1.3113549011534485e-30,7.191107963621628e-19,6.501080099459182e-26,1.2845234112193005e-17,2.6449941115590995e-20,2.0440411023482585e-19,3.2909388212041657e-23,6.199366056432278e-29,9.984403718125676e-18,2.4140985403665384e-30,2.887215171658199e-24,6.068188770734584e-24,2.040250217655572e-19,2.955156009402305e-21,2.334771344646319e-24,1.4672290114878129e-30,4.855835597741704e-27,8.703388205081489e-32,7.580603836262108e-24
3.1988887460764155e-08,0.002724645380668153,0.1557,0.0,0.003134489078847263,0.6397773410420696,0.19967928008916022,4.046818154986964e-18,9.568506538542018e-18,1.110632402069492e-13,9.418434167055813e-22,1.2422435064620164e-13,1.2819045344058306e-19,8.152731231671872e-05,6.768943987352681e-15,8.104826303532458e-22,1.2708920793994456e-19,0.002220719420972709,8.10751608749024e-18,4.838005488783842e-10,4.366519432829679e-31,1.5190850772959618e-24,5.828504200184203e-12,2.2281940109963648e-18,1.1767438348054856e-39,1.009409350824494e-15,0.0025818950536648385,1.2129978642716615e-27,4.389645731785971e-16,6.630949947804708e-24,1.909127111510727e-16,6.575523507318652e-15,6.360109037121667e-33,1.3845364129415636e-30,7.313197968776748e-19,6.675662046478347e-26,1.3190823213065898e-17,2.6707289232489164e-20,2.0639297969982338e-19,3.3467789196401043e-23,6.370907324840329e-29,1.0224267522890334e-17,2.5405022968059354e-30,2.9562760103810734e-24,6.213404397229799e-24,2.1085041673257506e-19,3.0544008241273427e-21,2.3908847963826113e-24,1.5165010676573832e-30,5.0349500671245156e-27,8.951178384806385e-32,7.721346463672799e-24
3.224837867643172e-08,0.002724645380668153,0.1557,0.0,0.003134488262464304,0.6397773427288439,0.19967927757256868,4.184714609160637e-18,9.980242319141845e-18,1.1325262447136746e-13,9.823885294992722e-22,1.2733867484503244e-13,1.317311144987791e-19,8.152729034772546e-05,6.937993555826849e-15,8.387472216193874e-22,1.3155179803574486e-19,0.0022207219327854376,8.306278005855428e-18,4.884758287292432e-10,4.473568511766702e-31,1.57207834795334e-24,5.926552196364838e-12,2.2656946184375947e-18,1.2281533791862397e-39,1.0287328517144718e-15,0.0025818933754303743,1.2652191266746178e-27,4.470406895299247e-16,6.742760497134356e-24,1.9720937211347178e-16,6.7384146472294035e-15,6.645176217392279e-33,1.4612108476124238e-30,7.436361959681527e-19,6.853587238827858e-26,1.3542702427046714e-17,2.6965451738419236e-20,2.083881426047328e-19,3.4031099313616004e-23,6.546794375732338e-29,1.0467675189117685e-17,2.6724743871599957e-30,3.026358754533312e-24,6.360770879103254e-24,2.1783833955248925e-19,3.156019503479529e-21,2.4478278300517535e-24,1.5669516399804635e-30,5.219147042763563e-27,9.204037712982515e-32,7.863496331548207e-24
