Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60),CHOX2(61),SX(53),CH3OX(46),CH3X(55),CH4(41),CH2OX2(52)
9.896672765655081e-09,0.0027332747035799065,0.1557,0.0,0.004777853512495551,0.6423382328223858,0.19875735270334913,2.12765660666396e-21,2.4634332222153252e-20,4.884810721445181e-11,1.970265472849255e-25,5.33395506817372e-13,3.3526725940371613e-18,0.0001235266828760949,2.4086291794796873e-20,2.993086306278914e-24,6.80226279442259e-22,0.0031426397126072675,7.735265171673863e-24,7.477838333233707e-09,2.1567671798735946e-34,1.5065944057662284e-30,4.7048509266950875e-11,1.939148838780485e-17,5.332132909959754e-40,2.1234325232971977e-14,1.6550372928331555e-18,2.430713232655262e-13,9.746088069189772e-12,2.8742050148219446e-15,1.5061070800359424e-28,3.134679577222953e-15,5.305645415811571e-21,1.7012710798483626e-18,1.4509355750156716e-15
9.941355321518037e-09,0.0027332747035799065,0.1557,0.0,0.004777246186120124,0.6423382409362631,0.1987567291104037,2.1636160544897145e-21,2.502046788061442e-20,4.90688146583187e-11,2.0122663722316563e-25,5.401637104705381e-13,3.414106128268674e-18,0.0001235104165319951,2.429768483388409e-20,3.030144710710226e-24,6.886658639772542e-22,0.0031432632676409084,7.829986125441952e-24,7.515087233162264e-09,2.19292852145367e-34,1.5304057501016657e-30,4.748287809021188e-11,1.9564068564645243e-17,5.443103642972366e-40,2.150313689057567e-14,1.6762218881683937e-18,2.4404168002077316e-13,9.74678332230548e-12,2.8742100307395782e-15,1.54355672432815e-28,3.16779025961591e-15,5.353830601930739e-21,1.7230495537106077e-18,1.450802482089909e-15
9.986037877380992e-09,0.0027332747035799065,0.1557,0.0,0.004776651490615234,0.6423382488810581,0.1987561184864758,2.20003457839144e-21,2.5411351788842295e-20,4.928952425191028e-11,2.0549968777984366e-25,5.469917220787697e-13,3.476393260129934e-18,0.0001234944883348741,2.4510031794080232e-20,3.0675249049050563e-24,6.971829853532316e-22,0.0031438738536408157,7.925492078617763e-24,7.552350394661674e-09,2.2295593184179306e-34,1.5761811325725918e-30,4.791924329711373e-11,1.973704078685923e-17,5.561726770519337e-40,2.1774318231708766e-14,1.6975961568322746e-18,2.4501191730729e-13,9.747463641054274e-12,2.8742183157454032e-15,1.581792630205767e-28,3.201087040051164e-15,5.402331358363009e-21,1.7450236252948254e-18,1.450674440371672e-15
9.999999999999999e-09,0.0027332747035799065,0.1557,0.0,0.0047764682122900925,0.6423382513294831,0.19875593029916225,2.211509192296022e-21,2.553447316042316e-20,4.935849075208652e-11,2.0685003136828763e-25,5.491375784401177e-13,3.496034940825909e-18,0.00012348957941704403,2.4576537310503186e-20,3.0792777654382645e-24,6.998602994697131e-22,0.003144062029099521,7.95549635833125e-24,7.563997095524609e-09,2.2411091874089288e-34,1.58445965361172e-30,4.8056005411433324e-11,1.9792110111911296e-17,5.601516227696824e-40,2.1859541890510346e-14,1.7043140552482692e-18,2.453150668266026e-13,9.747673212882271e-12,2.8742215657860933e-15,1.5939037158183492e-28,3.2115295904478084e-15,5.417681679778792e-21,1.751929995314133e-18,1.4506354506122697e-15
1.0030720433243948e-08,0.0027332747035799065,0.1557,0.0,0.004776069163247127,0.6423382566602837,0.198755520561804,2.236916275904813e-21,2.5807026784928404e-20,4.951023675600966e-11,2.098467816722712e-25,5.538796099650062e-13,3.53956036255456e-18,0.00012347889125714667,2.472296585467984e-20,3.1052795721455218e-24,7.057778257708254e-22,0.0031444717403681425,8.021783932553925e-24,7.589627940004058e-09,2.2667111679618122e-34,1.5546911379404992e-30,4.8357605574706196e-11,1.991706893073243e-17,5.6894792979167435e-40,2.204787178988235e-14,1.7191607301925543e-18,2.459820376638551e-13,9.74812935351743e-12,2.874229811461869e-15,1.6208283905952077e-28,3.2345700591743624e-15,5.45168968322796e-21,1.7671930643223543e-18,1.4505513499186525e-15
1.0075402989106903e-08,0.0027332747035799065,0.1557,0.0,0.004775498946748154,0.6423382642773812,0.19875493507223907,2.2742652557330574e-21,2.6207535988075837e-20,4.973095291669437e-11,2.1426894697925902e-25,5.608276872273608e-13,3.603615108062329e-18,0.0001234636184171862,2.4936833442344286e-20,3.1433567899382845e-24,7.1445069186786505e-22,0.003145057191972045,8.118863074126337e-24,7.626919988373727e-09,2.3043216060324233e-34,1.546623558538962e-30,4.879796537148686e-11,2.0093890282021545e-17,5.805619958486726e-40,2.2323809960518454e-14,1.7409162814778176e-18,2.469520435764775e-13,9.748780773653457e-12,2.8742444600415066e-15,1.6606777907387365e-28,3.268239456191469e-15,5.500789104378832e-21,1.7895600544057048e-18,1.4504331139739511e-15
1.0120085544969859e-08,0.0027332747035799065,0.1557,0.0,0.004774940589203675,0.6423382717357196,0.19875436175912756,2.3120856424652377e-21,2.6612923153256704e-20,4.9951673465602004e-11,2.187670219740269e-25,5.678366514943715e-13,3.6685350299468494e-18,0.00012344866307631482,2.5152780745639456e-20,3.1817015313928053e-24,7.232023261115964e-22,0.0031456304671058323,8.216734284904538e-24,7.66422665441727e-09,2.34235203957812e-34,1.6540847593307725e-30,4.924032272904235e-11,2.02632632413121e-17,5.922723505683361e-40,2.2602160631796732e-14,1.76286386998552e-18,2.479219374794878e-13,9.74941822741706e-12,2.8742622079756357e-15,1.7013548016662072e-28,3.3020953704359334e-15,5.5499237283119536e-21,1.8121265554971292e-18,1.4503196358969533e-15
1.0164768100832815e-08,0.0027332747035799065,0.1557,0.0,0.004774393843940315,0.6423382790385982,0.1987538003691975,2.350381582144766e-21,2.7023231942983897e-20,5.017239912019579e-11,2.233420577833039e-25,5.749066062285693e-13,3.7343445264768414e-18,0.00012343401863582076,2.536993645585555e-20,3.2204615212793134e-24,7.320331096077684e-22,0.0031461918190414185,8.315402373973158e-24,7.70154805821183e-09,2.380964591247234e-34,1.6490459906283935e-30,4.968467828013149e-11,2.044695540772242e-17,6.062075306468259e-40,2.2882927752725553e-14,1.7850047403380425e-18,2.488917217566166e-13,9.750042030800133e-12,2.874283000160435e-15,1.7428735770333116e-28,3.336137941228765e-15,5.599917630907056e-21,1.8348921651774374e-18,1.4502108195256461e-15
1.020945065669577e-08,0.0027332747035799065,0.1557,0.0,0.004773858469416771,0.642338286189248,0.1987532506544459,2.3891572518176463e-21,2.7438506253878296e-20,5.039313058407116e-11,2.2799517974531476e-25,5.820376923450442e-13,3.8010647664664665e-18,0.0001234196786340579,2.5587566710779877e-20,3.2595653324664274e-24,7.409433130218844e-22,0.003146741495781589,8.414871252836053e-24,7.738884318897457e-09,2.4200433466511163e-34,1.6331374245544918e-30,5.013103265794518e-11,2.062645009177671e-17,6.189879600153685e-40,2.316611678126356e-14,1.8073401161792696e-18,2.4986139874204737e-13,9.750652456559882e-12,2.874306778680722e-15,1.7852484420956219e-28,3.3703673090101634e-15,5.649919273982512e-21,1.857858273044528e-18,1.4501065760264674e-15
1.0254133212558726e-08,0.0027332747035799065,0.1557,0.0,0.004773334229117693,0.6423382931908327,0.19875271237203004,2.42841685655521e-21,2.785879085399087e-20,5.0613868547236014e-11,2.3272721081493345e-25,5.892309006589854e-13,3.86864841144799e-18,0.00012340563674362697,2.58074891194178e-20,3.29890573930732e-24,7.499338070016043e-22,0.0031472797401691597,8.515147050911099e-24,7.77623554635411e-09,2.459473707014424e-34,1.7746349227892554e-30,5.057938560230893e-11,2.079164745669934e-17,6.30354194793882e-40,2.3451767418020556e-14,1.8298712909396334e-18,2.50830970721442e-13,9.75124980669754e-12,2.8743334929807646e-15,1.828493911124239e-28,3.4047836150097273e-15,5.700200090807861e-21,1.8810277684482377e-18,1.4500068151611687e-15
