Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51)
4.044608818220749e-10,0.0027332747035799065,0.0915567593028733,0.0,0.007104362189521343,0.4514646535373146,6.8785060336998715e-18,0.4565087545168012,4.4485810468267685e-17,1.9727723192212247e-22,1.3837928933579019e-17,1.754946599642575e-22,8.62416243365919e-36,0.0001559496375722504,1.8026123961373432e-16,4.598803127813734e-20,1.2705640815796909e-17,1.7512692953906952e-16,2.2909539044995236e-11,5.547740483588278e-17,1.2776946412535401e-19,2.186827286427527e-19,1.5458419251006456e-20,2.8302079863925047e-25,1.630995064213041e-32,7.070689145154079e-24,0.00039185780131606695
4.0603843233980724e-10,0.0027332747035799065,0.0915567593028733,0.0,0.007101680687921107,0.45146467997955125,6.956680122730926e-18,0.45650738732372265,4.474462930801908e-17,1.991912523932418e-22,1.3892214068969286e-17,1.7769764094800253e-22,8.469888250435448e-36,0.00015589675309886505,1.8161575620433583e-16,4.5977055528938503e-20,1.2723725354522244e-17,1.7641170534980077e-16,2.2992899326882148e-11,5.574571035437928e-17,-5.410213782593063e-20,2.1863051110745027e-19,1.56079542975224e-20,1.1218937965652243e-25,1.6391569125925468e-32,7.15944713056551e-24,0.0003932249943111949
4.076159828575396e-10,0.0027332747035799065,0.0915567593028733,0.0,0.007099001377199505,0.4514647064802098,7.035426274868785e-18,0.45650602116766165,4.500354573957766e-17,2.011138510857933e-22,1.393924156383059e-17,1.7988476528717767e-22,8.274360809011497e-36,0.00015584375178154624,1.829749885487911e-16,4.596605630202641e-20,1.2741552113506303e-17,1.7770061990268091e-16,2.307621887193974e-11,5.60138599203941e-17,-3.7710858348999485e-19,2.1857811901095075e-19,1.575820276260348e-20,-7.772396929793394e-26,1.6462710660578574e-32,7.247566241198182e-24,0.0003945911502889922
4.0919353337527194e-10,0.0027332747035799065,0.0915567593028733,0.0,0.007096324250482737,0.45146473303709483,7.114746325882784e-18,0.4565046560473768,4.52625571034922e-17,2.030450149294786e-22,1.402919230418887e-17,1.8339906724922941e-22,9.287596474431565e-36,0.00015579063801179942,1.8433893247240673e-16,4.5955019628725884e-20,1.2759123452498396e-17,1.7899366777475856e-16,2.3159495770172078e-11,5.628185265420832e-17,5.57710108482491e-19,2.1852563592824683e-19,1.590670551024494e-20,7.769164699169487e-25,1.6538202931416138e-32,7.389157648960616e-24,0.00039595627049061205
4.107710838930043e-10,0.0027332747035799065,0.0915567593028733,0.0,0.007093649301028341,0.45146475964807253,7.194642109116445e-18,0.45650329196163053,4.552166075051625e-17,2.04984730884063e-22,1.4150735745513448e-17,1.8770970068071067e-22,1.0892888913510808e-35,0.00015573741605696517,1.857075851921788e-16,4.594396048530128e-20,1.277644169551773e-17,1.8029084354990098e-16,2.3242732674258042e-11,5.654968903950722e-17,2.537886694097737e-19,2.1847308477078836e-19,1.605633197337801e-20,3.5728748170243947e-25,1.66281056071733e-32,7.56283342935885e-24,0.00039732035615361414
4.121908793589634e-10,0.0027332747035799065,0.0915567593028733,0.0,0.007091243702608962,0.45146478364248654,7.267042078380427e-18,0.45650206516796943,4.575493077409958e-17,2.0673777654821252e-22,1.4229343426994795e-17,1.905943873718612e-22,1.1451492086429942e-35,0.00015568942722911827,1.8694339564710587e-16,4.5933995806874325e-20,1.279181363068661e-17,1.8146182663414677e-16,2.3317611451294437e-11,5.679060779232847e-17,-1.9368402765969962e-19,2.184256483316629e-19,1.6192585098431336e-20,9.069176518806066e-28,1.6715041218655965e-32,7.67905752682395e-24,0.00039854714973978797
4.136106748249225e-10,0.0027332747035799065,0.0915567593028733,0.0,0.007088839857675513,0.4514648076775639,7.339911206884399e-18,0.456500839210388,4.598827155230292e-17,2.084977294260314e-22,1.42793996783846e-17,1.926934819193212e-22,1.135647205790425e-35,0.00015564135707436057,1.881830143896946e-16,4.592400611541513e-20,1.280698411766757e-17,1.826361450004029e-16,2.339245667185614e-11,5.703139911001304e-17,1.390891359806292e-19,2.1837811142420136e-19,1.6329527401931906e-20,3.171525139971633e-25,1.679848234946368e-32,7.763629917842381e-24,0.0003997731072464667
4.150304702908816e-10,0.0027332747035799065,0.0915567593028733,0.0,0.007086437761569865,0.4514648317518705,7.413250826108223e-18,0.4564996140879911,4.622168122342105e-17,2.102645800732668e-22,1.4336159829066464e-17,1.9506403292876692e-22,1.144916169237574e-35,0.00015559320846097118,1.8942643907418791e-16,4.591399347015464e-20,1.282195482734089e-17,1.8381379471532195e-16,2.3467269225781447e-11,5.72720630727238e-17,9.575588678037199e-21,2.1833051741206e-19,1.6467274941850934e-20,9.144665815393977e-26,1.6877054103342682e-32,7.859139347021315e-24,0.0004009982295685774
4.1645026575684073e-10,0.0027332747035799065,0.0915567593028733,0.0,0.007084037409711336,0.4514648558640089,7.487062265948078e-18,0.456498389799886,4.645515794056779e-17,2.120383190660162e-22,1.440083487012132e-17,1.9767999294443473e-22,1.1751020128148512e-35,0.00015554498418423332,1.9067366696321595e-16,4.590397204165983e-20,1.2836727416462636e-17,1.8499477185031788e-16,2.354204865675805e-11,5.751259936754396e-17,-1.1500399559475258e-19,2.182828326717169e-19,1.6605101714919545e-20,7.618608268361213e-26,1.695037303750155e-32,7.964536358059323e-24,0.00040222251759882045
4.1787006122279983e-10,0.0027332747035799065,0.0915567593028733,0.0,0.0070816387975945975,0.4514648800126169,7.561346854718516e-18,0.45649716634518245,4.668869988077496e-17,2.1381893699671496e-22,1.446689613051754e-17,2.00361642570771e-22,1.2112655681868658e-35,0.0001554966869684707,1.9192469538752808e-16,4.5893934011374934e-20,1.2851303536293972e-17,1.861790724810358e-16,2.3616794718732086e-11,5.775300774036468e-17,1.007470252836748e-19,2.182350574807131e-19,1.674317069002461e-20,2.94266720498082e-25,1.7022962825599766e-32,8.072580011747806e-24,0.0004034459722276974
4.1928985668875894e-10,0.0027332747035799065,0.0915567593028733,0.0,0.007079241920787879,0.4514649041963666,7.63610591915403e-18,0.4564959437229919,4.6922305237102084e-17,2.156064244799566e-22,1.451705654825694e-17,2.0204629772791995e-22,1.1467436093589855e-35,0.00015544831946878412,1.9317952209545808e-16,4.5883863261520925e-20,1.2865684825077583e-17,1.8736669268731914e-16,2.3691508537132822e-11,5.799328834145567e-17,-2.514259699288585e-19,2.181872228871152e-19,1.6883881016390987e-20,-5.496556144916142e-25,1.7091362449076602e-32,8.140454512856491e-24,0.0004046685943435403
4.2070965215471805e-10,0.0027332747035799065,0.0915567593028733,0.0,0.007076846774931045,0.45146492841396424,7.711340784411182e-18,0.4564947219324281,4.715597220826115e-17,2.17400772145465e-22,1.45305387109127e-17,2.0253138929767958e-22,9.70420108845724e-36,0.00015539988427292774,1.9443814457591271e-16,4.587378321324758e-20,1.2879872898440127e-17,1.8855762855401467e-16,2.3766190360841464e-11,5.823344108042764e-17,-1.1645762063050838e-18,2.181392962088315e-19,1.702633315298965e-20,-1.3471414366773237e-24,1.7155492376916464e-32,8.159998298120196e-24,0.00040589038483253856
4.2212944762067716e-10,0.0027332747035799065,0.0915567593028733,0.0,0.007074453355733089,0.45146495266414877,7.787052774069965e-18,0.4564935009726074,4.738969901912322e-17,2.1920197064546e-22,1.4558265686045333e-17,2.044969511258956e-22,9.571157540003784e-36,0.00015535138390377145,1.9570055923551327e-16,4.5863724050837255e-20,1.2893869370828417e-17,1.8975187617127988e-16,2.384083689212678e-11,5.84734648424364e-17,9.832324594112879e-20,2.1809126805165447e-19,1.7164193588788855e-20,1.4492213446970253e-24,1.7211539278879198e-32,8.239190588351951e-24,0.0004071113445787661
4.2354924308663627e-10,0.0027332747035799065,0.0915567593028733,0.0,0.007072061658971483,0.4514649769456907,7.863243210136355e-18,0.45649228084264726,4.762348394374301e-17,2.210100106464853e-22,1.462975840507061e-17,2.0853632252499993e-22,1.1071923094761834e-35,0.0001553028208198784,1.9696676438550404e-16,4.585362010516857e-20,1.2907675876391307e-17,1.9094943163274733e-16,2.3915451148229073e-11,5.871336037403319e-17,2.2278562287111514e-19,2.180432223967161e-19,1.7304195585249537e-20,4.897782275573979e-25,1.7263410764007194e-32,8.401937163138365e-24,0.0004083314744642083
4.248270590059995e-10,0.0027332747035799065,0.0915567593028733,0.0,0.007069910601133268,0.4514649988248985,7.93222476564545e-18,0.45649118343448686,4.783393862044523e-17,2.2264308843011863e-22,1.4699351260717822e-17,2.1164245170120908e-22,1.1941080002702747e-35,0.00015525906240452172,1.9810958769219085e-16,4.584449655651326e-20,1.2919940621449587e-17,1.9203005652994115e-16,2.398257614549329e-11,5.892915651781674e-17,-2.1295622206635866e-20,2.1799993165592977e-19,1.743071205130066e-20,1.2432604137215102e-25,1.7314751098578708e-32,8.527083237207624e-24,0.0004094288825574324
4.259770933334264e-10,0.0027332747035799065,0.0915567593028733,0.0,0.0070679758366061106,0.45146501853636734,7.994641222854425e-18,0.4564901963407243,4.802338581403433e-17,2.241175844634972e-22,1.4745663648302576e-17,2.1344605665465017e-22,1.1819865989186706e-35,0.00015521963946677741,1.991407502889503e-16,4.583629468847102e-20,1.2930849368385906e-17,1.9300490473445543e-16,2.4042965783267553e-11,5.912328389977806e-17,2.905415422038135e-20,2.179608928624292e-19,1.7545494046955654e-20,2.8284203116452527e-25,1.7365946769344515e-32,8.599750347015555e-24,0.0004104159762596882
4.2712712766085326e-10,0.0027332747035799065,0.0915567593028733,0.0,0.007066042194877513,0.4514650382663252,8.057373934165236e-18,0.4564892097898718,4.8212868057366776e-17,2.2559655267386804e-22,1.4784744344377966e-17,2.1506872950177615e-22,1.144840218477956e-35,0.0001551801795509325,2.0017439519378083e-16,4.582808792628872e-20,1.2941636282325834e-17,1.939819162849565e-16,2.4103334066664988e-11,5.931732684075727e-17,-4.615710011122883e-20,2.179218119762517e-19,1.766155122494753e-20,-2.9249537917408936e-25,1.7417437993679904e-32,8.665127653636719e-24,0.0004114025270517583
4.2827716198828014e-10,0.0027332747035799065,0.0915567593028733,0.0,0.00706410967382729,0.4514650580141769,8.120423599129383e-18,0.45648822378146475,4.84023844591996e-17,2.270799881386894e-22,1.4826660352222505e-17,2.169176783024279e-22,1.1332316410358265e-35,0.00015514068384763069,2.0121052096637758e-16,4.581985921926403e-20,1.2952302204529431e-17,1.9496108911421784e-16,2.416368076789139e-11,5.951128520539739e-17,-1.2024865791746295e-19,2.178827086546622e-19,1.77768573828215e-20,1.0295939561717762e-27,1.7466255839959778e-32,8.739621670630819e-24,0.00041238853539846327
4.29427196315707e-10,0.0027332747035799065,0.0915567593028733,0.0,0.007062178271361189,0.45146507777933925,8.183790916624266e-18,0.4564872383150391,4.859193412183728e-17,2.2856788594193923e-22,1.4874036053855513e-17,2.1907780132770623e-22,1.1566966286879608e-35,0.00015510115352285948,2.0224912614771303e-16,4.581162605397982e-20,1.2962847958154468e-17,1.959424211571473e-16,2.4224005586719144e-11,5.970515884556277e-17,8.307088585245243e-20,2.178435605309618e-19,1.7891819685503887e-20,6.676867036169695e-25,1.7513653233073307e-32,8.826652968576029e-24,0.0004133740017637726
4.305772306431339e-10,0.0027332747035799065,0.0915567593028733,0.0,0.00706024798541101,0.4514650975612414,8.247476584853808e-18,0.45648625339013177,4.878151615749468e-17,2.3006024117502746e-22,1.4924442890768516e-17,2.214297205900013e-22,1.1851174155990057e-35,0.0001550615897185561,2.0329020954101381e-16,4.580339386692818e-20,1.2973274364302468e-17,1.9692591035036722e-16,2.4284309087203253e-11,5.989894786734611e-17,4.063138195178453e-20,2.1780436287153513e-19,1.8008366469441552e-20,-9.718325988461065e-26,1.7562260696400575e-32,8.921411777273002e-24,0.0004143589266108118
4.317272649705608e-10,0.0027332747035799065,0.0915567593028733,0.0,0.007058318813934041,0.4514651173593241,8.31148130134902e-18,0.4564852690062804,4.897112969334504e-17,2.315570489378197e-22,1.4973691793820476e-17,2.236068292443094e-22,1.1978560459334548e-35,0.00015502199355316789,2.0433376976835548e-16,4.579514589469874e-20,1.298358224719457e-17,1.9791155463221965e-16,2.4344591223745907e-11,6.009265219045942e-17,-1.3590077182438372e-19,2.177651338819959e-19,1.8124670895761065e-20,-8.597711632073411e-26,1.7612964334411158e-32,9.009127417449344e-24,0.00041534331040187194
4.3287729929798766e-10,0.0027332747035799065,0.0915567593028733,0.0,0.007056390754911816,0.45146513717303977,8.375805762968585e-18,0.45648428516302364,4.9160773856212556e-17,2.3305830433867684e-22,1.5019895752825864e-17,2.256257140754909e-22,1.2089658835735678e-35,0.00015498236612204828,2.05379805312016e-16,4.57868858798603e-20,1.2993772419313724e-17,1.988993519431326e-16,2.4404851484321994e-11,6.028627160321265e-17,8.885017872003563e-20,2.1772587433143777e-19,1.8240572832045525e-20,8.436854258916642e-25,1.7664576510936824e-32,9.09046817546696e-24,0.0004163271535984157
4.3402733362541454e-10,0.0027332747035799065,0.0915567593028733,0.0,0.007054463806350152,0.45146515700185175,8.440450665899526e-18,0.45648330185990066,4.9350447777332904e-17,2.345640024938407e-22,1.5066152269500085e-17,2.278108524753429e-22,1.218932222917151e-35,0.00015494270849800875,2.0642831498953304e-16,4.577862700611481e-20,1.3003845686166116e-17,1.9988930022557722e-16,2.4465090474292716e-11,6.047980623533956e-17,8.553985789576073e-20,2.176865743056242e-19,1.835850062599798e-20,-7.432526970610857e-26,1.7715763413299875e-32,9.178507324880147e-24,0.0004173104566610863
4.351773679528414e-10,0.0027332747035799065,0.0915567593028733,0.0,0.007052537966278994,0.45146517684523474,8.505416705657877e-18,0.45648231909645187,4.9540150603469654e-17,2.3607413852717577e-22,1.511373488520054e-17,2.299985891168254e-22,1.2223872654367034e-35,0.0001549030217318047,2.0747929745612967e-16,4.5770360881198465e-20,1.3013802857173038e-17,2.0088139742379482e-16,2.452530825196273e-11,6.067325605088054e-17,-1.9131009449044065e-19,2.1764723613893437e-19,1.847613159546317e-20,-3.474027273527905e-25,1.7766350449057288e-32,9.266651152950164e-24,0.0004182932200497139
4.363274022802683e-10,0.0027332747035799065,0.0915567593028733,0.0,0.00705061323275103,0.4514651967026745,8.5707045770893e-18,0.45648133687221804,4.972988148679082e-17,2.3758870757015417e-22,1.5160717778638866e-17,2.3210398290799796e-22,1.242737051704988e-35,0.0001548633068524252,2.0853275111082367e-16,4.576208028748703e-20,1.3023644735677352e-17,2.0187564148385758e-16,2.4585504016446847e-11,6.086662075677716e-17,7.703812909858839e-20,2.1760786874800684e-19,1.8592528355786128e-20,1.0497111086161123e-24,1.7816994002284726e-32,9.351477362024769e-24,0.0004192754442233238
4.374774366076952e-10,0.0027332747035799065,0.0915567593028733,0.0,0.007048689603841808,0.45146521657366684,8.636314974369681e-18,0.4564803551867411,4.9919639578957475e-17,2.3910770476192983e-22,1.5208250105286895e-17,2.3441651247313658e-22,1.2655177211618414e-35,0.00015482356486764222,2.0958867480853045e-16,4.575379578857242e-20,1.3033372113261393e-17,2.0287203035382999e-16,2.4645678484405345e-11,6.105990051961343e-17,1.639273699818881e-19,2.1756847214411356e-19,1.8711444669745577e-20,6.178571167973897e-26,1.7868159720560413e-32,9.444649115662274e-24,0.0004202571296401433
4.3862747093512206e-10,0.0027332747035799065,0.0915567593028733,0.0,0.007046767077649894,0.4514652364577184,8.702248591005758e-18,0.4564793740395635,5.0109424042446504e-17,2.406311252496106e-22,1.5256552878562357e-17,2.366869519405454e-22,1.263508872197754e-35,0.00015478379676455434,2.1064706729894703e-16,4.574550970253783e-20,1.3042985781055614e-17,2.0387056198367527e-16,2.4705832015987074e-11,6.125309540163086e-17,-2.511682438064207e-19,2.1752903889607846e-19,1.8830550233425373e-20,-7.219868352881282e-25,1.7919717564576922e-32,9.53612504312164e-24,0.0004212382767576081
4.3977750526254894e-10,0.0027332747035799065,0.0915567593028733,0.0,0.0070448456522951355,0.45146525635434587,8.768506119835741e-18,0.4564783934302286,5.0299234051202644e-17,2.421589641882336e-22,1.5302899178169253e-17,2.3874745162253595e-22,1.2803239877410024e-35,0.00015474400350979752,2.1170792687057318e-16,4.573721268767668e-20,1.3052486530383793e-17,2.0487123432516414e-16,2.4765963429712762e-11,6.144620500327892e-17,3.707099778943849e-20,2.1748957328079455e-19,1.8947461410289952e-20,1.2561076684892926e-24,1.797128809082023e-32,9.619142439990234e-24,0.00042221888603237033
4.409275395899758e-10,0.0027332747035799065,0.0915567593028733,0.0,0.007042925325918669,0.4514652762630757,8.835088253029944e-18,0.4564774133582805,5.048906878054812e-17,2.4369121674040955e-22,1.5349495970001652e-17,2.410760056094156e-22,1.3107490420103273e-35,0.00015470418605003768,2.1277125237957072e-16,4.57289068738611e-20,1.3061875142811976e-17,2.0587404533197352e-16,2.4826073436164987e-11,6.163922949438008e-17,2.7907810196850215e-19,2.174500850420847e-19,1.9067325198911236e-20,3.5154847200636968e-25,1.8022683468604945e-32,9.712959804051365e-24,0.00042319895792030445
4.420775739174027e-10,0.0027332747035799065,0.0915567593028733,0.0,0.007041006096683687,0.45146529618344455,8.901995682091377e-18,0.4564764338232643,5.067892741034467e-17,2.4522787807639304e-22,1.5398088176784164e-17,2.4345216807999046e-22,1.3007185931112919e-35,0.00015466434531256792,2.1383704271968904e-16,4.5720599625032796e-20,1.3071152393387e-17,2.0687899295971077e-16,2.4886162865065522e-11,6.183216908402857e-17,-3.1163912451271306e-19,2.174105657294322e-19,1.9188187384662634e-20,-1.252417992570823e-24,1.807398869231938e-32,9.80869531967729e-24,0.00042417849287651433
4.432276082448296e-10,0.0027332747035799065,0.0915567593028733,0.0,0.007039087962773358,0.45146531611499807,8.969229097856415e-18,0.4564754548247253,5.086880913224301e-17,2.467689433742197e-22,1.5444613130605423e-17,2.4550700933606514e-22,1.3143145771990833e-35,0.00015462448220542998,2.1490529604516712e-16,4.571228684619543e-20,1.3080319057894004e-17,2.0788607516581445e-16,2.4946230074765153e-11,6.202502324213669e-17,-5.15911991882239e-20,2.173710122336799e-19,1.930546572189221e-20,1.4096451451756174e-24,1.8125356306338215e-32,9.891484719816643e-24,0.0004251574913553398
4.4437764257225646e-10,0.0027332747035799065,0.0915567593028733,0.0,0.007037170922390546,0.4514653360572918,9.036789190495363e-18,0.4564744763622103,5.1058713144148546e-17,2.48314407819451e-22,1.5490762949289046e-17,2.47863362063425e-22,1.3625700753795269e-35,0.0001545845976178344,2.1597601116813324e-16,4.570396444156981e-20,1.3089375907391236e-17,2.0889528990956727e-16,2.5006275617623097e-11,6.22177920966864e-17,4.417492032081707e-19,2.173314397377515e-19,1.9425956269094882e-20,8.934590779100457e-25,1.8176812827585396e-32,9.986422084223525e-24,0.0004261359538103626
4.4552767689968334e-10,0.0027332747035799065,0.0915567593028733,0.0,0.007035254973759366,0.4514653560098903,9.104676649513093e-18,0.4564734984352662,5.124863864600279e-17,2.4986426660527894e-22,1.5539811141696826e-17,2.503746353943687e-22,1.3431541251284592e-35,0.0001545446924208667,2.1704918720943605e-16,4.5695637582609687e-20,1.309832370408075e-17,2.0990663515215853e-16,2.506630106962223e-11,6.241047608514905e-17,-3.549058244353683e-19,2.172918414016837e-19,1.9548968375643064e-20,-1.9580417891876478e-24,1.822827613978084e-32,1.0087601231319736e-23,0.00042711388069441325
4.466777112271102e-10,0.0027332747035799065,0.0915567593028733,0.0,0.0070333401151227845,0.45146537597236697,9.172892163749654e-18,0.456472521043441,5.143858484589323e-17,2.5141851493271057e-22,1.5586393626695365e-17,2.523963328151732e-22,1.342856269534558e-35,0.00015450476746752407,2.1812482217504978e-16,4.5687308138710397e-20,1.3107163207483752e-17,2.1092010885663623e-16,2.5126304282196537e-11,6.260307453174741e-17,-2.185514324289832e-19,2.172522078989541e-19,1.9666621085711516e-20,1.4058900476719025e-24,1.8279682517304963e-32,1.0169055240412256e-23,0.00042809127245957684
4.478277455545371e-10,0.0027332747035799065,0.0915567593028733,0.0,0.007031426344741714,0.4514653959443043,9.241436421380881e-18,0.4564715441862834,5.162855096131534e-17,2.5297714801015145e-22,1.5631549151864606e-17,2.547333413995357e-22,1.417909378625576e-35,0.00015446482359300176,2.1920291473899414e-16,4.5678971754008574e-20,1.3115895175753853e-17,2.1193570898788188e-16,2.5186285336170608e-11,6.279558742936835e-17,6.580804617414023e-19,2.1721255958229e-19,1.9787245306675333e-20,1.8167054552334783e-24,1.8331024742743827e-32,1.0263213206687625e-23,0.000429068129557199
4.488627764492213e-10,0.0027332747035799065,0.0915567593028733,0.0,0.007029704880435947,0.45146541392679823,9.30340789709401e-18,0.45647066547160986,5.179953684994302e-17,2.5438366278653585e-22,1.5675974032141967e-17,2.570559180161733e-22,1.4825659851814216e-35,0.00015442885860487396,2.2017529880775492e-16,4.567146405761286e-20,1.3123662626391261e-17,2.1285156552043517e-16,2.5240251438949972e-11,6.296877649939893e-17,-3.989511309971744e-20,2.171768593852679e-19,1.989839198866878e-20,-3.304174211015004e-25,1.8377246153836098e-32,1.0356789767819322e-23,0.00042994684417675715
