Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CH3X(53),CH4(39),H(23),CH4X(405),CH2OX(174)
6.288352143591766e-09,0.0028149649241145727,0.0915567593028733,0.0,0.003086874806019842,0.45151119639114257,2.2651060876323492e-38,0.454333260713313,3.659514619508592e-17,1.3074272978822234e-22,2.6538177409946436e-16,5.853089231942641e-24,3.819276267102674e-36,6.286392973132235e-05,6.43177900648259e-14,7.264052763044202e-24,3.5053210112685505e-19,6.43547012503705e-14,2.200432408390276e-10,3.4090312561315614e-20,2.9598721781007545e-21,2.3968939091843037e-19,7.759280035089177e-23,7.505917082715869e-28,1.8976333325780111e-31,3.3457686791150845e-25,0.002567351407605909,9.514504802401525e-14,1.9419889672560221e-22,3.0492787670655495e-26,3.4796971078727274e-19,5.2459710987484836e-27,6.663842068846855e-27,-9.706661461534348e-21,1.387556588391899e-23,6.084181511258381e-22,1.6722856628740863e-20,2.5100946433815378e-30
6.308419488455985e-09,0.0028149649241145727,0.0915567593028733,0.0,0.0030808578822947323,0.45151125769361133,2.2764510261726645e-38,0.45433019094883864,3.664443102441512e-17,1.312850671218117e-22,2.657296424573289e-16,5.90868496319161e-24,3.817726574098752e-36,6.274132479346208e-05,6.462976528660567e-14,7.250346324924951e-24,3.4917981710568622e-19,6.466672422120287e-14,2.2032931483046479e-10,3.42720522817742e-20,2.9630895862669195e-21,2.392366063895856e-19,7.816067429805485e-23,7.560896865536632e-28,1.8964163802265422e-31,3.37754484825354e-25,0.002570421171793911,9.533978585957738e-14,1.9476018925211659e-22,3.052267726979281e-26,3.488585102979874e-19,5.290521556496122e-27,6.658536707859775e-27,8.728643021145408e-21,1.424351774048023e-23,6.095356960457873e-22,-1.71205944391682e-21,2.5232312495022773e-30
6.328486833320203e-09,0.0028149649241145727,0.0915567593028733,0.0,0.003074864932976709,0.4515113187519016,2.2878107980475815e-38,0.4543271334157463,3.6693524204418756e-17,1.3182700982058827e-22,2.660761957616756e-16,5.96457761295723e-24,3.874458636029029e-36,6.261920821246382e-05,6.494211242756175e-14,7.236692805524745e-24,3.478355130276136e-19,6.49791189273448e-14,2.2061394129082835e-10,3.4453988748946105e-20,2.9662882029743165e-21,2.3878557030625985e-19,7.873030904683634e-23,7.616037701046067e-28,1.8951951184450552e-31,3.4094906839721837e-25,0.002573478704601273,9.55341445264459e-14,1.9532045160450277e-22,3.0552298392665884e-26,3.4974499149885985e-19,5.335255168719695e-27,6.653192739086892e-27,7.12421455359717e-21,1.4670327079323545e-23,6.106504856952811e-22,-1.0431904052460039e-22,2.536379793902063e-30
6.348554178184422e-09,0.0028149649241145727,0.0915567593028733,0.0,0.0030688958161782043,0.45151137956745857,2.29918534723906e-38,0.45432408804164887,3.6742426868184045e-17,1.3236855475683155e-22,2.6642144163332e-16,6.0207672875737324e-24,3.8219537240435284e-36,6.24975770982183e-05,6.525483000674264e-14,7.223091903384352e-24,3.4649912612328366e-19,6.529188388891664e-14,2.2089712637997717e-10,3.4636120424400005e-20,2.9694666598810455e-21,2.383362726402354e-19,7.930169987060265e-23,7.671176797281576e-28,1.8939696266325765e-31,3.4416062467337455e-25,0.0025765240784151743,9.572812553384808e-14,1.9587968571495267e-22,3.058165289542248e-26,3.5062916156207277e-19,5.380171626168437e-27,6.647810770303498e-27,-2.0436503211488278e-20,1.5584033359906435e-23,6.117625324037201e-22,2.744958980877369e-20,2.54954016021308e-30
6.368621523048641e-09,0.0028149649241145727,0.0915567593028733,0.0,0.003062950391135463,0.4515114401417158,2.310574618053369e-38,0.4543210547547297,3.6791140139881174e-17,1.329096988511271e-22,2.6676538763401823e-16,6.077254086371742e-24,3.777195051414318e-36,6.237642858328602e-05,6.556791655195472e-14,7.209543317356334e-24,3.4517059424010445e-19,6.56050176347883e-14,2.2117887622423985e-10,3.4818445780081766e-20,2.972629693442456e-21,2.3788870343955853e-19,7.987484200088355e-23,7.726655424621065e-28,1.8927399831466429e-31,3.4738915930232104e-25,0.0025795573650522893,9.592173038208881e-14,1.9643789352747706e-22,3.061074262157426e-26,3.5151102765393084e-19,5.425270618329763e-27,6.642391402183729e-27,7.326210990175208e-21,1.5959816048911387e-23,6.128718484213037e-22,-3.176963241867646e-22,2.562712232765769e-30
6.3886888679128595e-09,0.0028149649241145727,0.0915567593028733,0.0,0.0030570285181929415,0.45151150047609584,2.3219785551185765e-38,0.45431803348373695,3.683966513485097e-17,1.3345043907180605e-22,2.671080412670718e-16,6.1340381072286115e-24,3.915965462783093e-36,6.22557598227635e-05,6.588137059969332e-14,7.196046745994521e-24,3.4384985583498365e-19,6.591851870251042e-14,2.2145919691666109e-10,3.500096329825089e-20,2.9757754473641586e-21,2.374428528279958e-19,8.044973071063297e-23,7.7824225028456175e-28,1.8915062653157313e-31,3.50634677850152e-25,0.002582578635764394,9.611496056262091e-14,1.9699507699714292e-22,3.0639569401989435e-26,3.5239059693443076e-19,5.470551833507415e-27,6.636935228373359e-27,2.645432544688453e-20,1.6007695958856705e-23,6.139784459196933e-22,-1.9434470588145282e-20,2.5758958964996577e-30
6.408756212777078e-09,0.0028149649241145727,0.0915567593028733,0.0,0.003051130058781979,0.4515115605720099,2.3333971033820665e-38,0.45431502415797825,3.68880029596914e-17,1.339907724343917e-22,2.6744940997801005e-16,6.191119447302295e-24,3.86461779973e-36,6.213556799426703e-05,6.61951906950745e-14,7.18260189517411e-24,3.425368499671601e-19,6.623238563824626e-14,2.2173809451724524e-10,3.518367147143346e-20,2.9788983596304966e-21,2.3699871100518846e-19,8.102636131872219e-23,7.837976267169779e-28,1.8902685494567003e-31,3.538971858377358e-25,0.0025855879612439224,9.630781755811452e-14,1.9755123808726816e-22,3.066813505510977e-26,3.5326787655683993e-19,5.516014958461933e-27,6.631442835668546e-27,-3.597366992211976e-20,1.724650082571168e-23,6.150823369926693e-22,4.29896258388695e-20,2.58909103746378e-30
6.428823557641297e-09,0.0028149649241145727,0.0915567593028733,0.0,0.0030452548754263922,0.45151162043085824,2.3448302081080792e-38,0.4543120267073149,3.693615471234311e-17,1.3453069600105205e-22,2.677895011549844e-16,6.248498193651795e-24,3.6629375826939366e-36,6.201585029739264e-05,6.65093753917673e-14,7.169208472822095e-24,3.412315162911405e-19,6.654661699670398e-14,2.2201557505319773e-10,3.536656880232186e-20,2.982006646783471e-21,2.365562682448718e-19,8.160472905395827e-23,7.893843552794292e-28,1.8890269108883408e-31,3.5717668821170283e-25,0.002588585411629442,9.650030284252605e-14,1.9810637877224418e-22,3.069644138701082e-26,3.5414287366728683e-19,5.561659678716559e-27,6.625914804001727e-27,-1.1385267170093994e-20,1.800248036092697e-23,6.161835336567821e-22,1.8385979677677848e-20,2.602297542557014e-30
6.4488909025055155e-09,0.0028149649241145727,0.0915567593028733,0.0,0.003039402831734045,0.4515116800540299,2.35627781487527e-38,0.45430904106215697,3.698412148217403e-17,1.3507020688005698e-22,2.6812832212926445e-16,6.306174430352049e-24,3.940868973834912e-36,6.189660395345583e-05,6.682392325192694e-14,7.155866181650721e-24,3.39933795049734e-19,6.686121134106984e-14,2.2229164451916454e-10,3.5549653803695406e-20,2.9851022844652232e-21,2.361155148937166e-19,8.218482916765615e-23,7.9503769430334965e-28,1.8877814239392909e-31,3.604731897524238e-25,0.0025915710565110714,9.669241788116638e-14,1.9866050103846919e-22,3.072449019117485e-26,3.5501559540436167e-19,5.60748567901183e-27,6.620351706442785e-27,7.029315435923103e-20,1.7151875814210384e-23,6.172820478519929e-22,-6.32739688867892e-20,2.6155152989735506e-30
6.468958247369734e-09,0.0028149649241145727,0.0915567593028733,0.0,0.003033573792363839,0.4515117394429035,2.367739869574299e-38,0.4543060671534572,3.7031904350063007e-17,1.3560930222524284e-22,2.684658801760749e-16,6.364148247771785e-24,4.4314984980085104e-36,6.17778262057423e-05,6.71388328461284e-14,7.14257473458403e-24,3.386436270670602e-19,6.717616724294201e-14,2.2256630887747017e-10,3.5732924998407856e-20,2.988171252302219e-21,2.3567644137244834e-19,8.276665705883933e-23,8.006381962995197e-28,1.8865321619652503e-31,3.6378669559439947e-25,0.0025945449649358494,9.688416413076873e-14,1.9921360687751226e-22,3.0752283249058947e-26,3.5588604889872844e-19,5.653492642514347e-27,6.614754109516064e-27,-4.068210909375887e-21,1.7295099755980988e-23,6.183778914423119e-22,1.1120112784652543e-20,2.628744195075267e-30
