Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60),SX(53),CH3OX(46),CHOX2(61),CHO3X(93),CH2O3(187),CH2OX2(52),CHX(32),SX(489),SX(504),C2HOX(502),C2H4O(540),CH2X(63),SX(57)
0.10109404144409036,0.0027792097116130575,0.0915567593028733,0.0,0.00040923270983903606,0.45130694722830167,4.820150926148165e-08,0.45313556114434533,4.745752117791116e-10,6.304202440258318e-17,2.4652390203760667e-11,2.0118384256730338e-13,1.2036290864583889e-26,8.494460933543079e-06,4.77771535929684e-08,2.6454220883177874e-20,6.808289146324574e-15,5.006682058312922e-11,5.467421322353964e-11,2.001555531347307e-17,5.53085477136587e-22,2.4443520124645883e-20,8.522116038437012e-19,8.980271810862504e-24,2.0131257919638295e-27,4.1388258696627235e-17,0.0037650028653326228,0.00023143339744617815,1.67989883064168e-20,2.0481101823111738e-13,6.1452555734394575e-18,3.6415154916932755e-25,3.7083347396393573e-23,4.178438993204598e-14,7.540975194269928e-26,7.860682540035115e-27,2.306577121208194e-37,2.537907021311378e-37,4.3491302175771795e-35,3.503762440756739e-26,6.518974334022085e-28,3.160346933979765e-41
0.10159751249766721,0.0027792097116130575,0.0915567593028733,0.0,0.0004092321436675126,0.4513069259867143,4.820279315654762e-08,0.4531355714756126,4.7720574207765e-10,6.304517730701513e-17,2.4771236776606562e-11,2.0196178227775573e-13,1.2066065974373387e-26,8.494448981592014e-06,4.7775808750989346e-08,2.645592531448863e-20,6.846015299804059e-15,5.0068084899542334e-11,5.467413882848559e-11,2.0017282005069958e-17,5.530847123222984e-22,2.444348710737694e-20,8.540860196908274e-19,9.00072100962927e-24,2.022828001641144e-27,4.148303238605941e-17,0.0037649925326595436,0.00023145464225745238,1.679938928305854e-20,2.0579784865193783e-13,6.16900957165918e-18,3.64160356437851e-25,3.7082300302645396e-23,4.1995791662181176e-14,7.541300265906477e-26,7.861094407070307e-27,2.3075444896170566e-37,2.538976180967199e-37,4.3509543262486237e-35,3.5041745411697646e-26,6.5226122906359495e-28,3.167578510825938e-41
0.10210098355124407,0.0027792097116130575,0.0915567593028733,0.0,0.00040923159341938126,0.4513069053424571,4.820407818637014e-08,0.4531355815162596,4.798364326479632e-10,6.304833449792144e-17,2.489005109571003e-11,2.0273906050332473e-13,1.2095827297632169e-26,8.494437365786005e-06,4.777446488596035e-08,2.645758928382541e-20,6.883743915199691e-15,5.0069352339003006e-11,5.467406652578287e-11,2.0019009731118492e-17,5.530839690301479e-22,2.4443455020265167e-20,8.559589011982979e-19,9.021153433709174e-24,2.0325276305745132e-27,4.157772835728263e-17,0.0037649824906054634,0.00023147528957020947,1.679979196006959e-20,2.0678442167014846e-13,6.192743536884483e-18,3.641692144120459e-25,3.7081254084049107e-23,4.2207187127132816e-14,7.541626473696365e-26,7.861507229997773e-27,2.3085117983441317e-37,2.5400452736621667e-37,4.3527783195924596e-35,3.5045868176933417e-26,6.526248492370593e-28,3.1748056608916553e-41
0.10260445460482093,0.0027792097116130575,0.0915567593028733,0.0,0.0004092310586470558,0.45130688527873064,4.8205364320402366e-08,0.4531355912744603,4.824672796501842e-10,6.305149584746096e-17,2.5008833179115962e-11,2.0351567795340112e-13,1.2125574534101399e-26,8.494426076675844e-06,4.77731219710888e-08,2.645921392537924e-20,6.921474934305893e-15,5.007062281515064e-11,5.4673996256586285e-11,2.002073845612299e-17,5.5308324665497645e-22,2.4443423837150737e-20,8.578302490877924e-19,9.041569091449997e-24,2.0422246791384674e-27,4.167234664811607e-17,0.003764972730996753,0.00023149535618876917,1.6800196290148096e-20,2.0777073731845125e-13,6.216457486922627e-18,3.64178121673756e-25,3.7080208716525844e-23,4.2418576340084785e-14,7.541953785020116e-26,7.861920982676695e-27,2.3094790387484525e-37,2.541114289847505e-37,4.3546021813937925e-35,3.504999270330238e-26,6.529882919761478e-28,3.1820283830216007e-41
0.10310792565839778,0.0027792097116130575,0.0915567593028733,0.0,0.00040923053891541507,0.45130686577920787,4.820665152895594e-08,0.4531356007581582,4.85098279352087e-10,6.305466123138792e-17,2.5127583044704203e-11,2.0429163533417882e-13,1.2155307402868845e-26,8.494415105075281e-06,4.7771779980335444e-08,2.6460800341418974e-20,6.959208300601218e-15,5.00718962440571e-11,5.467392796370787e-11,2.0022468145588665e-17,5.5308254460852e-22,2.444339353261568e-20,8.597000641067666e-19,9.061967991449435e-24,2.0519191477289892e-27,4.176688729725287e-17,0.003764963245889726,0.00023151485844483932,1.6800602227312076e-20,2.0875679552446872e-13,6.240151439650319e-18,3.6418707684474643e-25,3.707916417666486e-23,4.2629959313852954e-14,7.542282168166387e-26,7.862335639705615e-27,2.3104462024644887e-37,2.5421832202781764e-37,4.356425895956023e-35,3.505411899081236e-26,6.533515553986597e-28,3.1892466762739963e-41
0.10361139671197464,0.0027792097116130575,0.0915567593028733,0.0,0.000409230033801135,0.45130684682802075,4.820793978317714e-08,0.45313560997507335,4.877294281260561e-10,6.305783052894987e-17,2.5246300710210805e-11,2.0506693334873185e-13,1.2185025641162027e-26,8.494404442049306e-06,4.777043888839325e-08,2.6462349603204968e-20,6.996943958797374e-15,5.0073172544133977e-11,5.467386159157672e-11,2.0024198765923828e-17,5.530818623190163e-22,2.444336408195051e-20,8.615683469986035e-19,9.082350142275503e-24,2.061611036683777e-27,4.186135034415848e-17,0.0037649540275643315,0.000231533812210808,1.680100972684908e-20,2.0974259609704984e-13,6.263825412686019e-18,3.641960785847757e-25,3.707812044170911e-23,4.284133606089553e-14,7.542611592300909e-26,7.86275117637299e-27,2.3114132813495634e-37,2.5432520559561934e-37,4.3582494479967537e-35,3.505824703945188e-26,6.537146376751686e-28,3.1964605396932913e-41
0.1041148677655515,0.0027792097116130575,0.0915567593028733,0.0,0.0004092295428933747,0.45130682840974773,4.820922905502318e-08,0.45313561893270926,4.903607224461403e-10,6.306100362279e-17,2.5364986192869383e-11,2.058415726970864e-13,1.2214729003217732e-26,8.494394078924505e-06,4.77690986706669e-08,2.6463862751829847e-20,7.034681855316896e-15,5.007445163609759e-11,5.467379708617262e-11,2.002593028454283e-17,5.530811992309704e-22,2.444333546113905e-20,8.634350985333927e-19,9.102715552771257e-24,2.0713003463684376e-27,4.195573582908067e-17,0.003764945068517344,0.00023155223291266143,1.6801418745337457e-20,2.107281390923509e-13,6.287479423770642e-18,3.6420512559193857e-25,3.707707748955751e-23,4.305270659332316e-14,7.542942027480778e-26,7.863167568678048e-27,2.312380267480357e-37,2.5443207881260447e-37,4.360072822647606e-35,3.506237684919076e-26,6.5407753703453e-28,3.2036699724843177e-41
0.10461833881912835,0.0027792097116130575,0.0915567593028733,0.0,0.00040922906579281303,0.4513068105094007,4.821051931723949e-08,0.453135627638358,4.929921588851904e-10,6.30641803988523e-17,2.5483639509753306e-11,2.06615554076292e-13,1.2244417259224498e-26,8.494384007269856e-06,4.776775930325266e-08,2.6465340799079654e-20,7.072421938262089e-15,5.00757334429046e-11,5.467373439499523e-11,2.002766266979985e-17,5.530805548043705e-22,2.444330764684964e-20,8.653003195145871e-19,9.123064232098945e-24,2.0809870771940372e-27,4.20500437930989e-17,0.003764936361456584,0.00023157013554253892,1.6801829240570797e-20,2.1171342447877246e-13,6.3111134908167375e-18,3.642142166012029e-25,3.707603529872095e-23,4.326407092290868e-14,7.543273444598286e-26,7.863584793307252e-27,2.313347153203774e-37,2.5453894083296655e-37,4.361896005550416e-35,3.5066508419980626e-26,6.544402517679228e-28,3.210874974132328e-41
0.10512180987270521,0.0027792097116130575,0.0915567593028733,0.0,0.00040922860211068095,0.45130679311241356,4.8211810543337636e-08,0.4531356360991061,4.956237341120775e-10,6.306736074628778e-17,2.5602260677904623e-11,2.0738887818049168e-13,1.2274090194328289e-26,8.494374218880225e-06,4.776642076291902e-08,2.6466784728287322e-20,7.110164156669104e-15,5.007701788964901e-11,5.4673673467034237e-11,2.002939589083697e-17,5.5307992851429245e-22,2.444328061639945e-20,8.671640107296144e-19,9.143396189273711e-24,2.0906712294829014e-27,4.2144274277993244e-17,0.003764927899295301,0.00023158753467093435,1.6802241171491353e-20,2.12698452015025e-13,6.3347276313520025e-18,3.642233503819841e-25,3.707499384830368e-23,4.347542906109662e-14,7.543605815339319e-26,7.864002827567708e-27,2.3143139310640573e-37,2.5464579083282647e-37,4.363718982711371e-35,3.5070641751755395e-26,6.548027802117261e-28,3.218075544023283e-41
0.10562528092628207,0.0027792097116130575,0.0915567593028733,0.0,0.00040922815146984755,0.4513067762046294,4.8213102707573706e-08,0.45313564432184184,4.982554448889894e-10,6.307054455736452e-17,2.572084971381742e-11,2.0816154570098865e-13,1.2303747607700696e-26,8.494364705794074e-06,4.776508302708786e-08,2.6468195495089233e-20,7.147908461179084e-15,5.007830490354189e-11,5.467361425269916e-11,2.003112991773436e-17,5.530793198508369e-22,2.4443254347739393e-20,8.690261729903508e-19,9.163711433569414e-24,2.1003528035879214e-27,4.223842732624577e-17,0.0037649196751457004,0.0002316044444585547,1.6802654498238387e-20,2.1368322177357253e-13,6.358321863027343e-18,3.6423252573903385e-25,3.707395311802056e-23,4.3686781019012457e-14,7.543939112217478e-26,7.864421649421006e-27,2.315280593791679e-37,2.547526280089215e-37,4.365541740488237e-35,3.5074776844431865e-26,6.551651207548378e-28,3.2252716816591175e-41
0.10612875197985892,0.0027792097116130575,0.0915567593028733,0.0,0.00040922771350392236,0.4513067597722896,4.8214395784927354e-08,0.4531356523132591,5.008872880688025e-10,6.30737317273813e-17,2.5839406633799312e-11,2.089335573263104e-13,1.2333389311669492e-26,8.494355460274812e-06,4.7763746073815925e-08,2.6469574028212076e-20,7.185654804211104e-15,5.0079594413863626e-11,5.467355670379172e-11,2.0032864721473593e-17,5.530787283183053e-22,2.444322881945339e-20,8.708868071558009e-19,9.184009974707048e-24,2.1100317999484157e-27,4.233250298114059e-17,0.003764911682313635,0.00023162087866784525,1.6803069182075953e-20,2.1466773378568426e-13,6.3818962038380105e-18,3.6424174151135286e-25,3.707291308814854e-23,4.389812680747159e-14,7.54427330851836e-26,7.864841237473893e-27,2.3162471343918227e-37,2.5485945158814124e-37,4.3673642657602163e-35,3.5078913697910125e-26,6.555272718488396e-28,3.232463386945595e-41
0.10663222303343578,0.0027792097116130575,0.0915567593028733,0.0,0.00040922728785581955,0.45130674380202285,4.821568975108156e-08,0.4531356600798634,5.035192605925291e-10,6.307692215458095e-17,2.5957931454271822e-11,2.0970491374227419e-13,1.2363015130899228e-26,8.494346474786589e-06,4.776240988177719e-08,2.6470921230279278e-20,7.223403138765323e-15,5.008088635184239e-11,5.467350077348899e-11,2.0034600273703333e-17,5.530781534347487e-22,2.4443204010719787e-20,8.727459140537454e-19,9.20429182210978e-24,2.119708218872009e-27,4.242650128659804e-17,0.0037649039142937327,0.00023163685067419026,1.6803485185298573e-20,2.1565198774746996e-13,6.405450671224258e-18,3.642509965689874e-25,3.7071873739498595e-23,4.4109466436988075e-14,7.544608378239172e-26,7.865261570886353e-27,2.317213546043415e-37,2.5496626081674704e-37,4.36918654572414e-35,3.508305231207407e-26,6.558892319825584e-28,3.2396506595857914e-41
0.10713569408701264,0.0027792097116130575,0.0915567593028733,0.0,0.00040922687417931146,0.4513067282808331,4.821698458240287e-08,0.45313566762797736,5.061513594868361e-10,6.308011574006755e-17,2.60764241910636e-11,2.1047561563204805e-13,1.2392624901622237e-26,8.494337742020715e-06,4.776107443024536e-08,2.6472237978487253e-20,7.261153419294155e-15,5.008218065064823e-11,5.46734464162677e-11,2.0036336546940204e-17,5.530775947321261e-22,2.4443179901294164e-20,8.746034945296758e-19,9.224556985403264e-24,2.129382060689383e-27,4.252042228715091e-17,0.0037648963647631682,0.00023165237347679875,1.6803902471311783e-20,2.1663598373289247e-13,6.4289852827009216e-18,3.64260289814494e-25,3.707083505345211e-23,4.432079991778307e-14,7.544944296146973e-26,7.865682629417593e-27,2.3181798220687245e-37,2.5507305495694283e-37,4.371008567846705e-35,3.5087192686791877e-26,6.562509996902313e-28,3.246833499300367e-41
0.1076391651405895,0.0027792097116130575,0.0915567593028733,0.0,0.00040922647213832627,0.45130671319609084,4.821828025592195e-08,0.4531356749637464,5.087835818616317e-10,6.308331238772797e-17,2.619488485974466e-11,2.112456636762086e-13,1.24222184709247e-26,8.494329254879629e-06,4.7759739699077035e-08,2.6473525125316617e-20,7.298905602275256e-15,5.008347724537105e-11,5.4673393587877214e-11,2.0038073514593842e-17,5.530770517554418e-22,2.444315647151916e-20,8.764595494990272e-19,9.24480547487486e-24,2.1390533258849615e-27,4.261426602811828e-17,0.003764889027576729,0.00023166745970928446,1.6804321004571796e-20,2.1761972186553304e-13,6.452500056405301e-18,3.6426962018252467e-25,3.706979701191058e-23,4.453212725979313e-14,7.545281037728929e-26,7.866104393441752e-27,2.3191459560821484e-37,2.5517983330287246e-37,4.372830320153112e-35,3.509133482191645e-26,6.566125735722842e-28,3.254011906420387e-41
0.10814263619416635,0.0027792097116130575,0.0915567593028733,0.0,0.0004092260814048292,0.4513066985355209,4.821957674931523e-08,0.45313568209314226,5.114159249077236e-10,6.308651200415186e-17,2.63133134761823e-11,2.1201505855280197e-13,1.245179569607148e-26,8.494321006441177e-06,4.77584056686954e-08,2.6474783499306593e-20,7.33665964435677e-15,5.008477607287076e-11,5.46733422453394e-11,2.003981115061331e-17,5.530765240621745e-22,2.4443133702282826e-20,8.783140798278241e-19,9.265037300330988e-24,2.1487220147546306e-27,4.270803255540245e-17,0.0037648818967627546,0.00023168212164994796,1.6804740750447917e-20,2.186032017685444e-13,6.4759950097066116e-18,3.64278986635493e-25,3.7068759597249096e-23,4.4743448472678176e-14,7.545618579101846e-26,7.866526843820533e-27,2.3201119418531022e-37,2.552865951660356e-37,4.374651790948257e-35,3.509547871728583e-26,6.569739522582384e-28,3.2611858809631795e-41
0.1086461072477432,0.0027792097116130575,0.0915567593028733,0.0,0.00040922570166088617,0.4513066842871936,4.822087404088664e-08,0.45313568902196905,5.140483858945409e-10,6.308971449855503e-17,2.6431710055620075e-11,2.1278380093740016e-13,1.2481356443869933e-26,8.49431298999478e-06,4.77570723200743e-08,2.647601390565594e-20,7.374415503380791e-15,5.0086077071782296e-11,5.4673292346865974e-11,2.0041549429733567e-17,5.530760112227024e-22,2.444311157499607e-20,8.801670863845804e-19,9.285252471647085e-24,2.158388127588916e-27,4.280172191541332e-17,0.0037648749665170856,0.0002316963712317691,1.6805161675339095e-20,2.1958642349145688e-13,6.499470159904981e-18,3.6428838816556505e-25,3.7067722792377647e-23,4.4954763565829304e-14,7.545956897098168e-26,7.866949961957247e-27,2.3210777732338256e-37,2.5539333986731605e-37,4.376472968690417e-35,3.50996243727237e-26,6.57335134413153e-28,3.268355422764583e-41
