Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(50),CH2O2X(51),CH3OX(46),CH3X(52),CH4(41),CH4X(238),CH3O2X(49),CH4O2(171),SX(188),SX(53),C2H4O(231),CH2OX(169),CHOX(168),SX(54),SX(55),SX(262),SX(259),SX(436),C2HOX(464),C2H6O(236)
0.01091130127987029,0.0005485282325552088,0.0915567593028733,0.0,0.000412297539094415,0.4503485988517664,1.4260861438381096e-08,0.45689919081953634,1.273504974358258e-07,6.2180227673046586e-12,1.310452406170308e-06,7.974778842112957e-08,1.1460472610030602e-15,1.9243133421515063e-05,3.763868800138218e-11,9.818444164253655e-18,9.327131332953266e-12,7.562135094353623e-11,2.8140865499048434e-10,1.3056521558312692e-11,6.530536417644594e-23,1.5503390292183722e-14,3.223872874903383e-13,7.386817164549364e-18,1.6576861210279802e-24,5.59109151393231e-11,0.0011827772529253563,1.0024562193698254e-12,5.530119085124821e-12,4.71035631241752e-22,1.6433081427416413e-08,1.8299446151808557e-10,1.7500151586996075e-18,5.144046526796401e-12,5.995981367451975e-25,9.911206359433125e-25,2.1317464700737784e-20,1.8284240745594366e-21,7.986547120233912e-21,1.153027051429066e-26,4.1232996968475206e-25,1.34179682321858e-28,1.2723137304091217e-13,1.3484665037766772e-25,1.742568208702101e-18,3.6705997244418434e-20
0.010963158540125102,0.0005485282325552088,0.0915567593028733,0.0,0.0004122975431255849,0.4503485915247484,1.4417371596153513e-08,0.4568991852807836,1.2849984472979963e-07,6.238334547081374e-12,1.315029871395666e-06,8.036289777506352e-08,1.1571795468851792e-15,1.924313345312096e-05,3.77509124873437e-11,9.857558307276911e-18,9.411301135932262e-12,7.645124226013627e-11,2.8140865432634713e-10,1.3098407383394782e-11,6.530568771366604e-23,1.555268743503848e-14,3.2432647499900215e-13,7.432614342140223e-18,1.6634823845204686e-24,5.6341827717861674e-11,0.0011827772452459569,1.0059578508733311e-12,5.572773556542184e-12,4.76040460388588e-22,1.661929075809233e-08,1.8506341034585985e-10,1.7561541222950493e-18,5.1621956499788656e-12,6.099341790199767e-25,1.0007477138177089e-24,2.168485642386526e-20,1.834289288394659e-21,8.012166409533109e-21,1.16424379573531e-26,4.163351969798253e-25,1.3650167130718284e-28,1.2767799882594043e-13,1.3782511717498374e-25,1.7810744281981865e-18,3.7400473400661676e-20
0.011015015800379913,0.0005485282325552088,0.0915567593028733,0.0,0.000412297547149341,0.4503485842011254,1.457484426316182e-08,0.4568991797513866,1.2965375373994242e-07,6.2585774200174605e-12,1.3195946352776074e-06,8.097916802216264e-08,1.16835430164647e-15,1.9243133484470353e-05,3.786306802879212e-11,9.896581278025196e-18,9.495804965358745e-12,7.728623686636272e-11,2.81408653663032e-10,1.3140145387403979e-11,6.530601035088633e-23,1.5601847792285445e-14,3.2626720628197866e-13,7.478454766052843e-18,1.669262564920762e-24,5.6773552224069247e-11,0.0011827772375547904,1.0094497662807808e-12,5.615508528825272e-12,4.810744071322228e-22,1.680670315376026e-08,1.8714569329605527e-10,1.7622760521164998e-18,5.180294414051774e-12,6.204010197620552e-25,1.0104115423429357e-24,2.205672818639354e-20,1.8401337933207138e-21,8.037695243066888e-21,1.1755036842433211e-26,4.2035570398221295e-25,1.388521915341577e-28,1.2812338534851103e-13,1.4085474116778656e-25,1.8202423148773483e-18,3.8104330400537e-20
0.011061687334609244,0.0005485282325552088,0.0915567593028733,0.0,0.00041229755076450117,0.45034857761276187,1.4717393338495242e-08,0.45689917478290715,1.306961655957685e-07,6.27673725311738e-12,1.3236920922525277e-06,8.15347942575169e-08,1.1784476955298436e-15,1.9243133512457344e-05,3.796394743404054e-11,9.931642796811893e-18,9.572143530172404e-12,7.804209930362963e-11,2.814086530667526e-10,1.3177584274305994e-11,6.530629995695553e-23,1.5645975475982527e-14,3.280151738518172e-13,7.519747795444261e-18,1.674451013131392e-24,5.716279181970915e-11,0.0011827772306225606,1.0125842051715666e-12,5.654038169949297e-12,4.856298705045101e-22,1.6976404067981365e-08,1.890311612966531e-10,1.767771264134572e-18,5.196540360170707e-12,6.299310132309841e-25,1.0191402228197396e-24,2.2395268395531512e-20,1.84537629383758e-21,8.060594518205045e-21,1.185674267292006e-26,4.239871538147512e-25,1.4099221692452433e-28,1.2852317649243936e-13,1.4362565566285177e-25,1.856065782835473e-18,3.8745882074485515e-20
0.011108358868838574,0.0005485282325552088,0.0915567593028733,0.0,0.00041229755437389797,0.4503485710271378,1.4860723394517835e-08,0.45689916982196593,1.3174226030453305e-07,6.294841610466146e-12,1.3277793153107237e-06,8.20913430754709e-08,1.1885751279904447e-15,1.924313354022181e-05,3.8064769211005795e-11,9.966666720875824e-18,9.648751773873875e-12,7.880210276695408e-11,2.8140865247114304e-10,1.3214903693243767e-11,6.53065888378642e-23,1.5689992947158836e-14,3.297643569196701e-13,7.56107492050596e-18,1.6796265026493353e-24,5.7552676703403275e-11,0.0011827772236805577,1.0157108154722316e-12,5.692631786858515e-12,4.90208948318117e-22,1.7147081570608695e-08,1.9092745342535778e-10,1.773252751418646e-18,5.212745730187831e-12,6.395604015129179e-25,1.0278983166025138e-24,2.2737485095059138e-20,1.850602063701965e-21,8.083420714031194e-21,1.1958794087495553e-26,4.276308502606403e-25,1.431556600543828e-28,1.2892196912063447e-13,1.4643896665766398e-25,1.892437612666738e-18,3.939514351971942e-20
0.011155030403067905,0.0005485282325552088,0.0915567593028733,0.0,0.0004122975579773303,0.4503485644442479,1.5004835054723392e-08,0.4568991648685443,1.3279203212329208e-07,6.312890673826667e-12,1.3318563300121137e-06,8.264880613205498e-08,1.1987364197783385e-15,1.9243133567776626e-05,3.816553468622569e-11,1.0001621801092754e-17,9.725629270575918e-12,7.956625037657924e-11,2.8140865187617053e-10,1.3252104077102927e-11,6.530687699541245e-23,1.5733900480718603e-14,3.315147323210378e-13,7.602435617548969e-18,1.6847890658240018e-24,5.794320099642551e-11,0.0011827772167289615,1.018829616727893e-12,5.731288800717447e-12,4.948116532012111e-22,1.731873664168745e-08,1.9283458022628004e-10,1.7787205482662846e-18,5.22891062544476e-12,6.492960007524762e-25,1.0366857032380748e-24,2.3083400032554774e-20,1.8558111586311383e-21,8.10617407426228e-21,1.2061189554549687e-26,4.312867288209053e-25,1.4534266410698637e-28,1.2931976572561977e-13,1.4929513274220914e-25,1.9293637391459703e-18,4.005216748430637e-20
0.011201701937297236,0.0005485282325552088,0.0915567593028733,0.0,0.00041229756157475474,0.4503485578640873,1.514972893668996e-08,0.45689915992262337,1.3384547531703474e-07,6.3308845621352824e-12,1.3359231618527797e-06,8.320717511566665e-08,1.2089314067282555e-15,1.924313359512226e-05,3.8266242274185554e-11,1.0036504025576818e-17,9.802775599559458e-12,8.033454538244097e-11,2.8140865128182074e-10,1.3289187853183836e-11,6.530716443141753e-23,1.577769835101881e-14,3.3326630046393734e-13,7.643829826820472e-18,1.689938734935658e-24,5.833435888433232e-11,0.001182777209767806,1.0219406284371737e-12,5.770008635012583e-12,4.994379979186817e-22,1.74913702494292e-08,1.9475255228886545e-10,1.7841746888780202e-18,5.245035147027928e-12,6.591427054877015e-25,1.045502257085199e-24,2.343303529696523e-20,1.861003915728433e-21,8.12885607152283e-21,1.2163927618611724e-26,4.349547304273087e-25,1.475533739202795e-28,1.2971656879498465e-13,1.5219461538884133e-25,1.9668501336928953e-18,4.0717006729230616e-20
0.011248373471526567,0.0005485282325552088,0.0915567593028733,0.0,0.0004122975651666325,0.4503485512866511,1.529540564870991e-08,0.4568991549841843,1.349025841556717e-07,6.3488234465574265e-12,1.339979836265124e-06,8.376644175513884e-08,1.219159918051937e-15,1.924313362223095e-05,3.8366891031238076e-11,1.0071382582346914e-17,9.880190353144072e-12,8.110699141854841e-11,2.814086506881314e-10,1.3326153743237817e-11,6.530745114768639e-23,1.5821386832861656e-14,3.350190425819588e-13,7.685256999637484e-18,1.6950755422226272e-24,5.872614465742601e-11,0.0011827772027966528,1.0250438700734226e-12,5.808790716816657e-12,5.040879964466969e-22,1.7664983350342383e-08,1.9668138070918992e-10,1.789615207310157e-18,5.261119395771352e-12,6.69085037107774e-25,1.0543477457737842e-24,2.3786414124912557e-20,1.866180168410675e-21,8.151465977335592e-21,1.2267005956519703e-26,4.386347936528723e-25,1.497879360891271e-28,1.3011238081253944e-13,1.5513787879096185e-25,2.0049028023951462e-18,4.1389714038607485e-20
0.011295045005755898,0.0005485282325552088,0.0915567593028733,0.0,0.00041229756875273344,0.4503485447119341,1.5441865786490487e-08,0.45689915005320864,1.3596335290970136e-07,6.366707598045188e-12,1.344026378618031e-06,8.432659782198095e-08,1.2294217596083915e-15,1.9243133649121716e-05,3.846748516818631e-11,1.0106216354961664e-17,9.957873104883214e-12,8.188359139971659e-11,2.8140865009506585e-10,1.3362998881158918e-11,6.530773714597929e-23,1.5864966199295983e-14,3.367729039893434e-13,7.726715959746546e-18,1.700199519791454e-24,5.911855249427638e-11,0.0011827771958157055,1.0281393610405593e-12,5.847634475466823e-12,5.087616608103695e-22,1.7839576890844482e-08,1.9862107566652863e-10,1.795042137601605e-18,5.277163472260572e-12,6.791254839981878e-25,1.0632220254636766e-24,2.4143556905311284e-20,1.8713395127799365e-21,8.174002027723655e-21,1.2370422716677085e-26,4.423268486447497e-25,1.5204648434453453e-28,1.305072042516055e-13,1.5812538971189616e-25,2.043527786728336e-18,4.207034221028528e-20
0.011341716539985228,0.0005485282325552088,0.0915567593028733,0.0,0.0004122975723323768,0.4503485381399304,1.55891099436998e-08,0.4568991451296775,1.3702777586092098e-07,6.3845370547785506e-12,1.3480628142170292e-06,8.488763510951685e-08,1.2397167555914247e-15,1.9243133675830142e-05,3.85680219997558e-11,1.014090975365198e-17,1.0035823419373613e-11,8.2664347906805e-11,2.8140864950254474e-10,1.3399730115720299e-11,6.530802242810719e-23,1.590843672110066e-14,3.385279072852806e-13,7.768207227675429e-18,1.7053106996310148e-24,5.951157655584485e-11,0.0011827771888255993,1.031227120659637e-12,5.886539340656762e-12,5.134590012810125e-22,1.8015151805828938e-08,2.0057164656936917e-10,1.8004555137699484e-18,5.293167476826369e-12,6.892955282224166e-25,1.0721250906577492e-24,2.450448544470365e-20,1.8764828854271376e-21,8.196468315140474e-21,1.247417737223183e-26,4.460308321138749e-25,1.5432916893034436e-28,1.3090104157834645e-13,1.6115761773818185e-25,2.082731163587948e-18,4.275894404067264e-20
0.011376711847332537,0.0005485282325552088,0.0915567593028733,0.0,0.00041229757501289694,0.45034853321388035,1.5700031429684784e-08,0.456899141442782,1.3782829660713508e-07,6.3978701784156196e-12,1.3510828042173482e-06,8.53088859741629e-08,1.2474578216070822e-15,1.9243133695697605e-05,3.8643366278316045e-11,1.0166930504450632e-17,1.0094447514206036e-11,8.32525049616153e-11,2.814086490586787e-10,1.342719526028743e-11,6.530823586996528e-23,1.594096060129262e-14,3.3984458438753505e-13,7.799339066099804e-18,1.7091347944238e-24,5.980667527969387e-11,0.0011827771835776358,1.0335373280568449e-12,5.915750782634023e-12,5.169967081166707e-22,1.814744596763304e-08,2.0204136787099854e-10,1.8045057065824387e-18,5.3051413912043734e-12,6.969825007778176e-25,1.0788194785083266e-24,2.4777615617769606e-20,1.880328757103188e-21,8.213267109151e-21,1.25521946391065e-26,4.488159503435014e-25,1.5605669747809639e-28,1.311957037365502e-13,1.6346086630938044e-25,2.112509803007376e-18,4.32805349975131e-20
0.011411707154679845,0.0005485282325552088,0.0915567593028733,0.0,0.0004122975776900849,0.4503485282893512,1.5811394286398064e-08,0.4568991377600539,1.3863086623873895e-07,6.411172764037084e-12,1.3540971366899658e-06,8.573062427377324e-08,1.2552173698563573e-15,1.9243133715446368e-05,3.871867864745118e-11,1.0192914707583218e-17,1.0153221637118767e-11,8.38430022205222e-11,2.8140864861514063e-10,1.3454594266195941e-11,6.530844891092306e-23,1.5973423553459146e-14,3.411618726510116e-13,7.830488300224555e-18,1.7129517253665556e-24,6.010211489929619e-11,0.001182777178324236,1.035843207637941e-12,5.94499602532634e-12,5.205477391108679e-22,1.8280292793751646e-08,2.035172143295132e-10,1.8085483120786328e-18,5.317092874241245e-12,7.047307223238987e-25,1.0855298536573065e-24,2.5052897109863735e-20,1.8841653642052993e-21,8.230025435763814e-21,1.26303998361266e-26,4.5160771822531145e-25,1.5779794144752585e-28,1.314898138935022e-13,1.6578972197745643e-25,2.1426196594408543e-18,4.3806660957820763e-20
0.011446702462027154,0.0005485282325552088,0.0915567593028733,0.0,0.0004122975803639726,0.45034852336634085,1.5923198752693958e-08,0.4568991340814853,1.3943548234904256e-07,6.4244448714709454e-12,1.3571058222332227e-06,8.615284659230301e-08,1.262995319405909e-15,1.924313373507353e-05,3.879396019001609e-11,1.021886854239422e-17,1.021214561292442e-11,8.443584098580191e-11,2.814086481719262e-10,1.348192803144189e-11,6.53086615517356e-23,1.6005825691779915e-14,3.4247977295858236e-13,7.86165490889433e-18,1.7167615058797377e-24,6.039789303174588e-11,0.0011827771730653649,1.03814476751099e-12,5.974274831880544e-12,5.241120991907555e-22,1.841369266587552e-08,2.0499919013772376e-10,1.8125833444609226e-18,5.329021967959123e-12,7.125397955157472e-25,1.0922561412594618e-24,2.5330338354520422e-20,1.887992833066633e-21,8.246743846752672e-21,1.2708792135249657e-26,4.544061066418192e-25,1.5955295589801028e-28,1.3178337308268672e-13,1.6814438577696711e-25,2.173063334444692e-18,4.4337344195118457e-20
0.011481697769374462,0.0005485282325552088,0.0915567593028733,0.0,0.00041229758303456507,0.45034851844484713,1.6035445067679118e-08,0.45689913040706853,1.4024214253587214e-07,6.4376865373401775e-12,1.3601088714256095e-06,8.657554952323132e-08,1.2707915933845387e-15,1.9243133754579222e-05,3.886920905562782e-11,1.0244792036137819e-17,1.0271219265729107e-11,8.503102252540967e-11,2.814086477290341e-10,1.35091966178029e-11,6.53088737931516e-23,1.6038167130183032e-14,3.4379827733342816e-13,7.892838694739257e-18,1.7205641493595492e-24,6.069400729471993e-11,0.0011827771678010173,1.040442015768224e-12,6.0035869660826155e-12,5.276897933004145e-22,1.854764596204475e-08,2.06487299492743e-10,1.816610817920067e-18,5.340928714298816e-12,7.204099623417028e-25,1.0989982747194922e-24,2.5609948783247296e-20,1.891811172370507e-21,8.263422380045922e-21,1.2787370774272248e-26,4.572110879361898e-25,1.613218022516272e-28,1.3207638233664922e-13,1.7052505957144442e-25,2.2038434402639433e-18,4.487260698151017e-20
0.011516693076721771,0.0005485282325552088,0.0915567593028733,0.0,0.0004122975857018612,0.4503485135248681,1.6148133466621646e-08,0.45689912673679567,1.410508443974803e-07,6.450897833011351e-12,1.3631062948257962e-06,8.699872967239448e-08,1.278606119042906e-15,1.924313377396336e-05,3.894442473585256e-11,1.0270685169368429e-17,1.03304424196551e-11,8.562854808616876e-11,2.8140864728645866e-10,1.3536400220728791e-11,6.530908563591812e-23,1.6070447982370747e-14,3.45117379022399e-13,7.924039485734118e-18,1.724359669175178e-24,6.099045531151598e-11,0.001182777162531193,1.0427349604864338e-12,6.032932192564354e-12,5.312808262064173e-22,1.8682153056938138e-08,2.079815465004128e-10,1.8206307466141718e-18,5.352813155122894e-12,7.283415115469173e-25,1.1057561912402104e-24,2.5891738095760518e-20,1.8956204094706807e-21,8.280061155123457e-21,1.2866135034182963e-26,4.6002263593424835e-25,1.6310454361686398e-28,1.3236884268541652e-13,1.729319460957236e-25,2.234962600379023e-18,4.541247158904101e-20
0.01155168838406908,0.0005485282325552088,0.0915567593028733,0.0,0.00041229758836586054,0.4503485086064015,1.6261264181277012e-08,0.456899123070659,1.4186158553287812e-07,6.464078843415161e-12,1.3660981029726721e-06,8.74223836579866e-08,1.2864388245766411e-15,1.9243133793226246e-05,3.901960773797672e-11,1.0296547481386552e-17,1.038981489881205e-11,8.622841889409323e-11,2.8140864684419677e-10,1.3563538835314651e-11,6.530929708078006e-23,1.610266836184015e-14,3.464370693912252e-13,7.955257071725789e-18,1.728148078671688e-24,6.128723471540495e-11,0.0011827771572558874,1.0450236097274697e-12,6.062310276822476e-12,5.348852026870088e-22,1.8817214321799633e-08,2.0948193526517567e-10,1.824643144678572e-18,5.364675332215764e-12,7.363347304237321e-25,1.112529829009017e-24,2.617571567290333e-20,1.8994205436674456e-21,8.29666016893246e-21,1.2945084205408226e-26,4.628407248020105e-25,1.6490124113921303e-28,1.3266075515737884e-13,1.7536524896819906e-25,2.26642344978051e-18,4.595696029102829e-20
