Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60),SX(53),CH3OX(46),CHOX2(61),CHO3X(93),CH2O3(187),CH2OX2(52),CHX(32),SX(489),SX(504),C2HOX(502),C2H4O(540),CH2X(63),SX(57),SX(394),CH2O2X(54),CH3X(55),CH4(41),CH4X(776),CH3O2X(49),CH2OX(176),CHOX(175),SX(56),OCCO(335),SX(681),C2H6O(768),SX(505)
2.3262767252900557e-07,0.00053584454179025,0.1557,0.0,0.00032213714286937937,0.6423901382975145,0.20066423489612675,1.7168189938644243e-12,1.6192122290838519e-12,4.3197952429948565e-10,6.230546900066368e-15,2.741033978651333e-09,7.656599477090494e-12,1.9073769975181113e-05,1.3568927615438571e-13,4.426520938088718e-17,8.536439202541069e-15,0.0012351782982754028,2.57154690674276e-16,5.647383757758406e-07,1.6179015323179117e-27,1.654602241848087e-23,1.847804832823316e-08,1.7658434625040037e-14,4.0171873597863403e-28,1.0051770610473912e-10,1.4199467414584372e-10,1.75444879382302e-08,1.1896967834743436e-12,3.5585303722618865e-18,1.833922987484002e-12,1.092786810929646e-15,3.4960734600184656e-32,3.7641913421813127e-29,4.995058080714125e-16,8.728229315652749e-16,7.271207651090165e-17,2.2640693391955133e-16,5.312692488822559e-15,8.080161676023184e-12,2.6208800790188033e-17,1.8831323041475656e-20,1.2702164384282438e-32,1.1407214249971905e-22,1.6045532633062627e-22,1.1854978107148523e-11,1.2553979450379374e-10,1.2686300520880924e-27,6.655563028350334e-17,2.263553255632702e-16,5.237746550181726e-15,3.0899639308231744e-21,4.0748112836475724e-21,2.14749258220449e-17,3.4536841047421744e-17
2.3276043853998396e-07,0.00053584454179025,0.1557,0.0,0.00032213679005671167,0.6423901373646567,0.20066423451346235,1.724487901189293e-12,1.6328257179662015e-12,4.3309984687740486e-10,6.3022269637880434e-15,2.755440487213537e-09,7.721301875512685e-12,1.9073745277307253e-05,1.3640696324738026e-13,4.4633197254724145e-17,8.607423801437566e-15,0.001235176910459019,2.585654935699688e-16,5.66438594810881e-07,1.6276704093539094e-27,1.6733674354453262e-23,1.853064463292443e-08,1.7752849746643725e-14,4.052240942774258e-28,1.0104834380465055e-10,1.4270973254979145e-10,1.755436661692151e-08,1.1896941749752588e-12,3.5996979913234156e-18,1.8403909316059582e-12,1.095253394296777e-15,3.554392307450969e-32,3.8275392059287176e-29,5.006355172990043e-16,8.721529044401237e-16,7.305026839741333e-17,2.2717074405361093e-16,5.324327271225464e-15,8.092076198700368e-12,2.6196401429544274e-17,1.8941801276206518e-20,1.291683627869109e-32,1.1533516291403018e-22,1.608364769495326e-22,1.1915558340783076e-11,1.262044906218883e-10,1.2830235404459877e-27,6.675572850041162e-17,2.2703580736724773e-16,5.281879168658636e-15,3.1117069195544233e-21,4.085688695108645e-21,2.1518015732360104e-17,3.474505983616744e-17
2.3289320455096234e-07,0.00053584454179025,0.1557,0.0,0.00032213643629134294,0.6423901364292297,0.20066423412970258,1.7321954457982545e-12,1.6465523642917377e-12,4.342233835999282e-10,6.374720406922615e-15,2.7699237633844133e-09,7.786545846386585e-12,1.907372051449167e-05,1.3712830218342718e-13,4.5004157004278995e-17,8.678982027829098e-15,0.0012351755189082836,2.5998416586124434e-16,5.681434292372895e-07,1.637500611572408e-27,1.6923407855264365e-23,1.8583363638380762e-08,1.784775365030543e-14,4.087589408118356e-28,1.0158181776679185e-10,1.4342853760669838e-10,1.7564245284917336e-08,1.1896915594479752e-12,3.6413388230903464e-18,1.8468817534757686e-12,1.0977266681068285e-15,3.6136706069081595e-32,3.891943621890241e-29,5.017682925195914e-16,8.715089701593099e-16,7.287542897014731e-17,2.271406695254801e-16,5.336879591079539e-15,8.104018048258081e-12,2.616388728366654e-17,1.9052883153755026e-20,1.3135120109690205e-32,1.1661206783977287e-22,1.6243676694881076e-22,1.197645934700479e-11,1.2687274252165046e-10,1.297576701036413e-27,6.695636823930197e-17,2.2771813043434235e-16,5.3263846204139685e-15,3.1336035472993287e-21,4.0977185850854696e-21,2.1561223457312495e-17,3.495447187548144e-17
2.3302597056194072e-07,0.00053584454179025,0.1557,0.0,0.00032213608157129355,0.6423901354912275,0.20066423374484488,1.7399418301835695e-12,1.6603930819821806e-12,4.353501431808584e-10,6.448036254686209e-15,2.784484203635149e-09,7.852335806530198e-12,1.9073695686608386e-05,1.378533094803045e-13,4.537811109098087e-17,8.751118274639835e-15,0.001235174123615516,2.6141075115777294e-16,5.698528886360476e-07,1.6473925275315525e-27,1.7115243978063352e-23,1.8636205477067208e-08,1.7943148594746283e-14,4.123235048021457e-28,1.0211814266707624e-10,1.4415110830213303e-10,1.7574123942189e-08,1.1896889368787544e-12,3.6834582353673186e-18,1.8533955307867746e-12,1.1002066462224534e-15,3.673923351326771e-32,3.957421974210225e-29,5.029041399862483e-16,8.708626177545894e-16,7.332968766966708e-17,2.2812828803004475e-16,5.3483883120458e-15,8.115986289937996e-12,2.615502481663729e-17,1.9164571556213686e-20,1.3357076137057484e-32,1.1790300735106167e-22,1.6260600549027504e-22,1.2037682841964911e-11,1.2754456854584804e-10,1.3122911368839085e-27,6.715755062343504e-17,2.2840229854263825e-16,5.371266025555133e-15,3.1556549015121378e-21,4.108903184644497e-21,2.1604552367660728e-17,3.5165083451751294e-17
2.331587365729191e-07,0.00053584454179025,0.1557,0.0,0.0003221357258945818,0.6423901345506445,0.20066423335888683,1.7477272578272362e-12,1.6743487917111506e-12,4.364801343513649e-10,6.522183625755246e-15,2.799122206219116e-09,7.918676205859415e-12,1.9073670793534947e-05,1.385820017114106e-13,4.5755082693109305e-17,8.823836965306897e-15,0.0012351727245730347,2.628452932983857e-16,5.715669825905135e-07,1.6573465517775854e-27,1.730920655714358e-23,1.8689170280654726e-08,1.803903689496215e-14,4.159180274625953e-28,1.026573332474635e-10,1.448774637041621e-10,1.7584002588707772e-08,1.1896863072522469e-12,3.7260616534465964e-18,1.8599323414383263e-12,1.1026933424962604e-15,3.735166474138272e-32,4.0239919168293403e-29,5.040430662077305e-16,8.702084870538219e-16,7.318822687750001e-17,2.2818400733977817e-16,5.360964527115871e-15,8.127982113868766e-12,2.612154490328019e-17,1.9276869437310772e-20,1.3582765578828956e-32,1.192081330425055e-22,1.641826724720776e-22,1.2099230550354364e-11,1.2821998711901697e-10,1.3271686881937843e-27,6.735927675776575e-17,2.2908831548731434e-16,5.416526528737988e-15,3.1778620770126513e-21,4.120797481547213e-21,2.164800308558827e-17,3.537690088093927e-17
2.332915025838975e-07,0.00053584454179025,0.1557,0.0,0.0003221353692592271,0.6423901336074749,0.20066423297182584,1.755551933226373e-12,1.6884204210900166e-12,4.376133658603658e-10,6.5971717351601486e-15,2.813838171215779e-09,7.985571528315327e-12,1.9073645835145493e-05,1.3931439550558122e-13,4.613509454496931e-17,8.89714255415909e-15,0.001235171321773158,2.642878363571354e-16,5.732857206866925e-07,1.6673630774223305e-27,1.7505316937937734e-23,1.874225817999718e-08,1.81354208220251e-14,4.195427406958638e-28,1.0319940431758709e-10,1.456076229653651e-10,1.7593881224444855e-08,1.1896836705548373e-12,3.769154561896923e-18,1.8664922635481806e-12,1.1051867707987794e-15,3.797415891121383e-32,4.091671385304192e-29,5.051850774282455e-16,8.695556710812244e-16,7.372939306759978e-17,2.2925392281683623e-16,5.372421089128121e-15,8.140004488381681e-12,2.6122093937296085e-17,1.938977969547369e-20,1.3812250645685815e-32,1.205275980763299e-22,1.6408695562716755e-22,1.2161104205623608e-11,1.2889901674939683e-10,1.3422109790137184e-27,6.756154776686384e-17,2.297761850464883e-16,5.462169299866699e-15,3.2002261761870116e-21,4.131622645600113e-21,2.169157463945326e-17,3.558993050629112e-17
2.3342426859487588e-07,0.00053584454179025,0.1557,0.0,0.0003221350116632468,0.6423901326617129,0.20066423258365948,1.7634160620488682e-12,1.702608905744523e-12,4.3874984647716915e-10,6.673009909439454e-15,2.8286325008080032e-09,8.053026297129534e-12,1.9073620811317604e-05,1.400505075464735e-13,4.6518170157340876e-17,8.971039529314424e-15,0.0012351699152082008,2.6573842467905583e-16,5.750091125129399e-07,1.6774425042421963e-27,1.7703599460693398e-23,1.8795469305004667e-08,1.8232302708587304e-14,4.231978893290114e-28,1.037443707650314e-10,1.4634160533565247e-10,1.760375984937138e-08,1.1896810267711167e-12,3.812742514036315e-18,1.87307537546635e-12,1.1076869449889443e-15,3.860687813705625e-32,4.1604786412298914e-29,5.063301801646206e-16,8.689084388113669e-16,7.372713685821055e-17,2.2952978871367043e-16,5.3848123159897116e-15,8.152054525221592e-12,2.609413457157297e-17,1.9503305307512668e-20,1.4045594705236485e-32,1.2186155742836086e-22,1.6534869756845199e-22,1.2223305551326813e-11,1.2958167604170936e-10,1.3574198879271092e-27,6.776436475578404e-17,2.304659110177669e-16,5.508197538050643e-15,3.2227483101589804e-21,4.143428626778525e-21,2.1735267344682743e-17,3.58041787026888e-17
2.3355703460585426e-07,0.00053584454179025,0.1557,0.0,0.00032213465310465875,0.6423901317133527,0.20066423219438523,1.7713198507508153e-12,1.7169151867119279e-12,4.3988958498474444e-10,6.749707550775638e-15,2.843505598593608e-09,8.121045062084158e-12,1.9073595721926045e-05,1.4079035457143236e-13,4.690433269414439e-17,9.045532403328657e-15,0.0012351685048704777,2.671971027919775e-16,5.767371676592354e-07,1.687585230860671e-27,1.7904076376498574e-23,1.8848803784948426e-08,1.832968485113513e-14,4.268837105453526e-28,1.0429224752981831e-10,1.4707943013036952e-10,1.7613638463458453e-08,1.189678375887209e-12,3.856831109795595e-18,1.8796817557096e-12,1.1101938789404554e-15,3.924998717153313e-32,4.2304321693962966e-29,5.07478380704388e-16,8.682625074380414e-16,7.406305981554771e-17,2.302793781826237e-16,5.396689871171222e-15,8.164131553675027e-12,2.608527733573995e-17,1.9617449204768644e-20,1.4282861914312704e-32,1.2321016730467876e-22,1.6574552390668715e-22,1.2285836337821212e-11,1.3026798366551117e-10,1.3727971125919828e-27,6.79677288464515e-17,2.3115749718277975e-16,5.554614462134249e-15,3.2454295959528138e-21,4.1546862146974815e-21,2.1779081677066382e-17,3.601965186740321e-17
2.3368980061683265e-07,0.00053584454179025,0.1557,0.0,0.00032213429358147967,0.6423901307623886,0.2006642318040005,1.7792635068988758e-12,1.7313402126681599e-12,4.4103259018525535e-10,6.827274168303748e-15,2.8584578701630475e-09,8.189632410430627e-12,1.907357056684789e-05,1.4153395336841636e-13,4.729360586559407e-17,9.12062572282533e-15,0.0012351670907523034,2.6866391548156295e-16,5.784698957177718e-07,1.6977916610225854e-27,1.8106772065486988e-23,1.89022617481976e-08,1.842756958938931e-14,4.306004507034369e-28,1.048430496258161e-10,1.4782111675701733e-10,1.7623517066677095e-08,1.189675717887924e-12,3.901426015040775e-18,1.8863114830165966e-12,1.1127075865192318e-15,3.9903652013681255e-32,4.3015507707577553e-29,5.086296855302967e-16,8.676200122502685e-16,7.386115931797217e-17,2.302916453583147e-16,5.409468101086819e-15,8.176236371863584e-12,2.6041745680454848e-17,1.9732214373624702e-20,1.4524117549927375e-32,1.245735856502916e-22,1.6755096723307875e-22,1.234869832505016e-11,1.3095795838174137e-10,1.3883445309001163e-27,6.817164114689027e-17,2.3185094733768066e-16,5.601423318825703e-15,3.2682711589199877e-21,4.167036088529517e-21,2.1823018612498097e-17,3.623635642929739e-17
2.3382256662781103e-07,0.00053584454179025,0.1557,0.0,0.0003221339330917268,0.6423901298088148,0.20066423141250286,1.7872472391905287e-12,1.7458849400851933e-12,4.4217887090032995e-10,6.905719380682869e-15,2.8734897231336726e-09,8.25879296767264e-12,1.9073545345957583e-05,1.4228132078531875e-13,4.768601307680528e-17,9.19632406805837e-15,0.001235165672845989,2.7013890779620207e-16,5.802073062830055e-07,1.7080621980645348e-27,1.831170882224952e-23,1.895584332219928e-08,1.8525959228099193e-14,4.343483488665312e-28,1.053967921420093e-10,1.4856668471680203e-10,1.7633395658998274e-08,1.1896730527597119e-12,3.946532963180402e-18,1.892964636364725e-12,1.1152280816076937e-15,4.0568044145877524e-32,4.373853572215668e-29,5.097841008881877e-16,8.669779534951763e-16,7.440043677576494e-17,2.31302162326963e-16,5.4210950467433035e-15,8.188368006394786e-12,2.6051305669905644e-17,1.984760375666736e-20,1.4769428042571785e-32,1.2595197219088209e-22,1.6740192083900022e-22,1.2411893282719017e-11,1.3165161904420455e-10,1.4040638402724845e-27,6.837610278283662e-17,2.3254626526220966e-16,5.648627383294768e-15,3.291274132908717e-21,4.1778583076985756e-21,2.186707815546831e-17,3.6454298846900625e-17
2.3395533263878941e-07,0.00053584454179025,0.1557,0.0,0.0003221335716334159,0.6423901288526258,0.20066423101988975,1.7952712573900447e-12,1.7605503328098896e-12,4.4332843596986287e-10,6.985052910497061e-15,2.8886015670326102e-09,8.328531395491724e-12,1.9073520059133153e-05,1.4303247372273525e-13,4.8081578547453475e-17,9.272632050683007e-15,0.0012351642511438468,2.716221250321894e-16,5.819494089511732e-07,1.718397252146295e-27,1.8518912317472823e-23,1.9009548633527858e-08,1.8624856139729377e-14,4.381276581920089e-28,1.0595349023815845e-10,1.4931615359919178e-10,1.7643274240392896e-08,1.1896703804867976e-12,3.992157751812465e-18,1.8996412949355804e-12,1.1177553780723563e-15,4.124333322491312e-32,4.4473600113961465e-29,5.109416333434086e-16,8.663393070809916e-16,7.409106453465682e-17,2.3121587960564275e-16,5.4340895389257584e-15,8.20052781862599e-12,2.5989740300818417e-17,1.9963620382465828e-20,1.501886092594376e-32,1.2734548834116009e-22,1.6956272204510352e-22,1.2475422989743722e-11,1.323489845942997e-10,1.4199570240565975e-27,6.858111485663659e-17,2.332434547593431e-16,5.696229957665449e-15,3.3144396598034942e-21,4.1907556640300285e-21,2.1911261474849276e-17,3.667348560832418e-17
2.340880986497678e-07,0.00053584454179025,0.1557,0.0,0.00032213320920456345,0.6423901278938154,0.20066423062615865,1.8033357722987866e-12,1.7753373618780045e-12,4.444812942514218e-10,7.0652845820980815e-15,2.9037938132415605e-09,8.398852390861544e-12,1.9073494706248448e-05,1.437874291368278e-13,4.8480325848786734e-17,9.349554313397047e-15,0.0012351628256381873,2.731136127272322e-16,5.836962133203322e-07,1.7287972306272272e-27,1.872840458766963e-23,1.906337780790501e-08,1.8724262630470965e-14,4.419386182967617e-28,1.0651315914275463e-10,1.5006954307933312e-10,1.7653152810831806e-08,1.1896677010561933e-12,4.038306241375734e-18,1.9063415381368675e-12,1.1202894898050277e-15,4.192969839391303e-32,4.522089832611403e-29,5.12102289070739e-16,8.65701444474009e-16,7.48682399061061e-17,2.3249656275483605e-16,5.445425570113906e-15,8.212714335434087e-12,2.6034165231865655e-17,2.0080267196196074e-20,1.5272484820312856e-32,1.2875429716980844e-22,1.6872639544861398e-22,1.2539289233995514e-11,1.3305007405832246e-10,1.4360257541360047e-27,6.878667849992651e-17,2.339425196041272e-16,5.744234370362149e-15,3.3377688893215887e-21,4.20073278385867e-21,2.195556752939274e-17,3.6893923228623255e-17
