Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),H2*(37)
8.449412024137041e-11,0.00048144307504249394,0.11111111111111112,0.0,0.001161555302186174,0.22219458891462318,0.22210161615613555,0.22222216854423782,0.22213561692180128,4.640922711767364e-21,8.850670622433194e-16,-4.378451117168914e-19,1.489970618886831e-28,4.086663105159841e-05,1.2064397355749705e-13,1.912488520619616e-15,8.6605300279256e-05,0.0001206060659224158,5.367800182292579e-08,1.4489501054273595e-13,4.597058509928192e-16,5.312081704788633e-16,2.9681198333644024e-19,3.549486587420217e-18,4.1501542207092703e-20,1.8180010492548937e-28,-4.082999704658501e-24,-1.3756885588736451e-52,7.199992140239156e-06
8.49395794244904e-11,0.00048144307504249394,0.11111111111111112,0.0,0.001160777842458023,0.2221945043878281,0.22210103365768408,0.22222216858153984,0.22213555616481323,4.705813870583099e-21,8.973199229089271e-16,-3.914604064213867e-19,1.248826147791567e-28,4.096606064520835e-05,1.198990613435185e-13,1.9041408103567265e-15,8.666605726659873e-05,0.00012118856437160501,5.3640701245258275e-08,1.456911268805209e-13,4.607434011395837e-16,5.340961609132848e-16,3.00912765413065e-19,3.5813057966514015e-18,7.333914108063755e-21,1.8215375775879678e-28,-4.2932157787408574e-24,-1.3205422716824846e-52,7.2348041388132526e-06
8.53850386076104e-11,0.00048144307504249394,0.11111111111111112,0.0,0.0011600031865480521,0.22219442035042827,0.2221004515613179,0.22222216861869726,0.22213549685454942,4.771212498817462e-21,9.096424484834818e-16,-2.7066188668946455e-19,5.320646096556961e-29,4.106455872259123e-05,1.1916244732011772e-13,1.8958890352999903e-15,8.67253675297263e-05,0.00012177066073564212,5.3603545275434354e-08,1.4648713413535666e-13,4.617611225391499e-16,5.369680518314811e-16,3.0504475339032583e-19,3.420646714908477e-18,9.157948783016939e-20,1.816685933115878e-28,-4.4737219745613474e-24,-1.2836950650834672e-52,7.269592500239244e-06
8.583049779073039e-11,0.00048144307504249394,0.11111111111111112,0.0,0.0011592313075112857,0.22219433679949704,0.2220998698656223,0.22222216865571146,0.22213543897124716,4.837125554908392e-21,9.220340749516276e-16,-2.7836770366024414e-19,6.806107129170873e-29,4.116213096880079e-05,1.1843399568020785e-13,1.8877315670156723e-15,8.678325083125815e-05,0.0001223523564289618,5.356653251248456e-08,1.4728565425605583e-13,4.627592592138713e-16,5.398237887428418e-16,3.092079603535729e-19,3.6853763731517e-18,-1.2071072030866933e-19,1.818187831141336e-28,-4.603399705015399e-24,-1.2605187158679236e-52,7.304357308635144e-06
8.627595697385039e-11,0.00048144307504249394,0.11111111111111112,0.0,0.0011584621786831868,0.22219425373211207,0.2220992885691963,0.2222221686925838,0.22213538249540327,4.903561306923589e-21,9.344942379438295e-16,-4.259878858881171e-19,1.4473337202691923e-28,4.125878306215379e-05,1.1771357352496105e-13,1.879666811898863e-15,8.68397266744299e-05,0.00012293365285263467,5.352966156989101e-08,1.480860233309525e-13,4.637380548815208e-16,5.426633203908897e-16,3.134024160194488e-19,3.780338202076995e-18,-2.296955842157778e-20,1.8316450947346666e-28,-4.748952657423338e-24,-1.22474866277208e-52,7.339098647312403e-06
8.672141615697038e-11,0.00048144307504249394,0.11111111111111112,0.0,0.0011576957736767145,0.22219417114535517,0.22209870767065218,0.22222216872931572,0.22213532740777053,4.970520287398818e-21,9.470223728755555e-16,-5.029973203217349e-19,1.8494956541480612e-28,4.135452067368797e-05,1.1700105078717924e-13,1.8716932102849836e-15,8.689481430642987e-05,0.00012351455139446115,5.349293107544772e-08,1.4888655657597638e-13,4.646977528556291e-16,5.454865987029308e-16,3.17628141668771e-19,3.851267579541736e-18,2.854333266056029e-20,1.8469263565648313e-28,-4.9638287320323725e-24,-1.1612404252415e-52,7.3738165987842906e-06
8.716687534009038e-11,0.00048144307504249394,0.11111111111111112,0.0,0.0011569320663794103,0.22219408903631302,0.22209812716861552,0.22222216876590856,0.22213527368935454,5.037997426227904e-21,9.596179150827761e-16,-4.642386683869521e-19,1.6519037082723522e-28,4.144934946664821e-05,1.1629630015692087e-13,1.8638092355891173e-15,8.694853272169316e-05,0.00012409505342888638,5.3456339671121566e-08,1.496868342762916e-13,4.656385959495179e-16,5.482935787400858e-16,3.2188513314697365e-19,3.886657375754689e-18,1.7817647882110883e-22,1.8571763553224128e-28,-5.218537548593347e-24,-1.085427311900116e-52,7.408511244774201e-06
8.761233452321037e-11,0.00048144307504249394,0.11111111111111112,0.0,0.0011561710309505222,0.2221940074020772,0.2220975470617251,0.2222221688023636,0.2221352213214103,5.1059956802008206e-21,9.722802999538576e-16,-5.426569678036666e-19,2.1466066638358907e-28,4.1543275095967326e-05,1.155991970092683e-13,1.8560133934309e-15,8.70009006651538e-05,0.00012467516031706494,5.341988601291364e-08,1.504892269672385e-13,4.665608263843991e-16,5.510842186481486e-16,3.261733895748439e-19,4.140443197364124e-18,-1.2905581636158646e-19,1.8728986166731143e-28,-5.4614009162318444e-24,-1.0071609813452917e-52,7.4431826662238655e-06
8.805779370633037e-11,0.00048144307504249394,0.11111111111111112,0.0,0.0011554126418181793,0.22219392623974457,0.22209696734863252,0.22222216883868223,0.2221351702854393,5.174519359003124e-21,9.850089630578325e-16,-7.139048734740758e-19,3.024612758581885e-28,4.163630320771738e-05,1.1490961933408856e-13,1.8483042207718595e-15,8.705193663545603e-05,0.00012525487340732578,5.338356877072133e-08,1.512930634495904e-13,4.674646857005595e-16,5.538584796083701e-16,3.30492928168706e-19,4.238469448036929e-18,-9.349805249726999e-21,1.8973664716765309e-28,-5.73640571891282e-24,-9.114313225741196e-53,7.4778309433014894e-06
8.850325288945036e-11,0.00048144307504249394,0.11111111111111112,0.0,0.0011546568736765788,0.22219384554641733,0.22209638802800233,0.2222221688748658,0.2221351205631859,5.2435767605804054e-21,9.97803340269079e-16,-9.483152979922478e-19,4.3677386453741705e-28,4.1728439438618636e-05,1.1422744766882447e-13,1.8406802851474007e-15,8.710165888812468e-05,0.00012583419403515192,5.334738662820107e-08,1.5209866502677597e-13,4.683504146714929e-16,5.566163257880717e-16,3.348437747580683e-19,4.644380317582885e-18,-1.3401444232383744e-19,1.9377610732345066e-28,-6.104752605083241e-24,-7.709009843664512e-53,7.512456155409787e-06
