Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(50),CH2O2X(51),CH3OX(46),CH3X(52),CH4(41),CH4X(238),CH3O2X(49),CH4O2(171),SX(188),SX(53),C2H4O(231),CH2OX(169),CHOX(168),SX(54),SX(55),SX(262),SX(259),SX(436),C2HOX(464),C2H6O(236),SX(357),OCCO(227),SX(387),SX(190),SX(495)
2.0869409726167205e-07,0.0005485282325552088,0.1557,0.0,0.00021171180474906763,0.6415519469366058,0.20135133248192286,1.2528802392945844e-14,1.3608706397353793e-12,1.2275922758557722e-11,4.900882456336957e-16,3.7398252850388154e-11,6.1410475729854965e-15,1.1794176762699693e-05,1.3151713579220672e-12,3.147467154317109e-17,3.275657569919439e-15,0.0005486467139476956,3.693995390390722e-15,2.0018821579662694e-08,3.9428717079071297e-28,1.0628380500990016e-19,7.316030813427053e-10,2.0852094403303073e-16,6.63160213281781e-33,1.2253537962199205e-12,0.0008421451376007587,1.9185607587848301e-22,7.166853201278358e-14,1.1194197173890922e-21,3.865799572929416e-13,2.2963472920842483e-12,1.7285065958903834e-25,1.0224664497944489e-22,2.339772349678502e-16,3.66575385974661e-21,1.2879466777496928e-14,3.3426902796606274e-18,1.2292223995073117e-17,7.093879019209406e-21,1.1415579212841223e-24,1.3448011386845362e-22,2.685350980028826e-22,3.211820953902041e-22,2.1487956058115477e-17,-1.6185527840393272e-25,1.2173476443740418e-29,1.9512180233261853e-21,1.2850715507351943e-26,6.933234871616692e-21,4.822493387596474e-31
2.0943418002444393e-07,0.0005485282325552088,0.1557,0.0,0.00021166745134863172,0.6415517802191862,0.20135145345931274,1.2702576854746919e-14,1.393304809999776e-12,1.2444444489087466e-11,5.051519746582104e-16,3.798580332369134e-11,6.3208382955523406e-15,1.1791696378435664e-05,1.324915105006073e-12,3.2140257907324e-17,3.3444009755588443e-15,0.0005485254572595034,3.736125288517464e-15,2.0287414429297504e-08,3.9882619010500873e-28,1.0853486396559726e-19,7.414892199695406e-10,2.1190165737383617e-16,6.857914073894364e-33,1.2443656905384456e-12,0.0008423129495289615,1.9770989230545967e-22,7.264920413203347e-14,1.137545212549821e-21,3.9299820174036525e-13,2.332200628446674e-12,1.7891526233466096e-25,1.0604593676888447e-22,2.3776571672014907e-16,3.7659331827147135e-21,1.3082046624677221e-14,3.387534686247764e-18,1.2457140119622575e-17,7.208802978721875e-21,1.1747098130702648e-24,1.3665626723841626e-22,2.7846648605866815e-22,3.263787744242465e-22,2.1835465139574227e-17,-1.5713133052699548e-25,1.2374031965788523e-29,2.0056565644466812e-21,1.320409512595263e-26,7.028027506130212e-21,4.956004271732736e-31
2.101742627872158e-07,0.0005485282325552088,0.1557,0.0,0.00021162376767990774,0.6415516160227995,0.20135157260219205,1.2878340807519974e-14,1.426417094375296e-12,1.2615193327863417e-11,5.206629975839066e-16,3.858270329337935e-11,6.505891118174487e-15,1.1789253424551703e-05,1.3346566951655922e-12,3.2817852479983044e-17,3.414382445635726e-15,0.0005484060314193617,3.778695941161873e-15,2.055952851081707e-08,4.0341342465353424e-28,1.1082672791249014e-19,7.515040065443226e-10,2.1534166367171276e-16,7.091549092730233e-33,1.2636861275473146e-12,0.0008424782197962362,2.0373681142204494e-22,7.364294577945807e-14,1.1559984474173819e-21,3.995166737832077e-13,2.3686305065504522e-12,1.8517965909220587e-25,1.0997801437595727e-22,2.4162326382244536e-16,3.868797204890212e-21,1.3287867377178596e-14,3.4329669461273923e-18,1.2624218056094132e-17,7.325742536839446e-21,1.208828033809197e-24,1.3887101525746362e-22,2.887433278899018e-22,3.316676577228338e-22,2.218852903694678e-17,-1.5367651444154178e-25,1.257796352976839e-29,2.061580174177405e-21,1.356703092488226e-26,7.124083571236331e-21,5.093140075699235e-31
2.109143455499877e-07,0.0005485282325552088,0.1557,0.0,0.00021158074358694395,0.6415514543092695,0.20135168993827215,1.3056115332324532e-14,1.4602196562525329e-12,1.2788198515105514e-11,5.366342539185553e-16,3.9189115592451016e-11,6.696363670086499e-15,1.1786847333247338e-05,1.3443958485394301e-12,3.3507645363701424e-17,3.4856216296342085e-15,0.0005482884086684509,3.8217141632832134e-15,2.0835209486291596e-08,4.080496265536979e-28,1.1316005006817418e-19,7.616490876589546e-10,2.1884212761643524e-16,7.332734037246844e-33,1.2833206983482266e-12,0.0008426409868378345,2.0994183045430492e-22,7.464993237760746e-14,1.1747752146983032e-21,4.061369865745835e-13,2.4056472019811137e-12,1.9165009858960642e-25,1.140472449652208e-22,2.4554816310929945e-16,3.974416935361678e-21,1.349698611310222e-14,3.4789946823118605e-18,1.2793485838010308e-17,7.444737324291539e-21,1.243941471605535e-24,1.4112358999797198e-22,2.9937692695908094e-22,3.3704682619254826e-22,2.254724269832379e-17,-1.495696295683938e-25,1.2785471542777424e-29,2.119028846339395e-21,1.3939779172832097e-26,7.221420027651054e-21,5.234003293610409e-31
2.1165442831275957e-07,0.0005485282325552088,0.1557,0.0,0.00021153836906728663,0.6415512950409971,0.2013518054948443,1.3235921811273344e-14,1.4947248519856635e-12,1.2963489670016982e-11,5.530790551174504e-16,3.980520622217726e-11,6.892417469676599e-15,1.1784477545298597e-05,1.3541323254099685e-12,3.420983034288439e-17,3.558138558681862e-15,0.000548172561667365,3.8651870000467816e-15,2.11145035950414e-08,4.127355730677412e-28,1.1553549645411846e-19,7.719261301129361e-10,2.2240423906050956e-16,7.581702695798327e-33,1.3032751068741753e-12,0.0008428012885069233,2.1633009033254977e-22,7.567034171930592e-14,1.1938785219874942e-21,4.1286078204517827e-13,2.4432611921953693e-12,1.9833302222694848e-25,1.1825813341017174e-22,2.4954145606167114e-16,4.082865217499396e-21,1.3709460886759116e-14,3.525625613148874e-18,1.2964971848870383e-17,7.565827772684941e-21,1.2800797252321598e-24,1.4341467363196248e-22,3.1037894247512323e-22,3.4251790231381746e-22,2.2911702959632947e-17,-1.444293926641645e-25,1.2996642739765448e-29,2.1780436583572568e-21,1.4322602804189645e-26,7.320054065321644e-21,5.378695045138713e-31
2.1239451107553145e-07,0.0005485282325552088,0.1557,0.0,0.00021149663426965005,0.6415511381809528,0.20135191929878618,1.3417781948133861e-14,1.5299452346672617e-12,1.31410967955641e-11,5.700110956125746e-16,4.043114442160323e-11,7.0942182341639035e-15,1.178214350992789e-05,1.3638659275579484e-12,3.492460501912309e-17,3.631953657681575e-15,0.0005480584634897519,3.909121721616376e-15,2.139745766050519e-08,4.174720660551596e-28,1.1795374637168318e-19,7.823368211361754e-10,2.260292136270633e-16,7.838696014842283e-33,1.3235551724586349e-12,0.000842959162083392,2.2290687975539853e-22,7.670435400089249e-14,1.213321551482298e-21,4.196897314738395e-13,2.4814831622442177e-12,2.0523506776503907e-25,1.226153264551786e-22,2.5360576118797603e-16,4.194216803932859e-21,1.3925350810278176e-14,3.572867553476685e-18,1.3138704826403687e-17,7.689055212086476e-21,1.3172731597446795e-24,1.457456001206082e-22,3.217613999966985e-22,3.4808408973197246e-22,2.3282009065197107e-17,-1.3905029689062969e-25,1.3211511356637412e-29,2.2386667988367807e-21,1.471577174628899e-26,7.420003106457813e-21,5.527316211141809e-31
2.138746766010752e-07,0.0005485282325552088,0.1557,0.0,0.0002114150451774929,0.6415508315402201,0.20135214175425828,1.3787751817038236e-14,1.602582780945086e-12,1.3503380918470961e-11,6.053936562132136e-16,4.1713257127464536e-11,7.515750660130073e-15,1.177758053527913e-05,1.3833239315986066e-12,3.6392733838349006e-17,3.783562117557155e-15,0.0005478354079276365,3.9984069230549246e-15,2.1974535917804595e-08,4.271000112660401e-28,1.229214435569571e-19,8.035660012910769e-10,2.334727470001434e-16,8.377757948855066e-33,1.3651161461236387e-12,0.0008432677712631962,2.366479672763703e-22,7.881392038582987e-14,1.2532451385809411e-21,4.33669927630472e-13,2.559794863467038e-12,2.197241205110362e-25,1.3178794343831853e-22,2.619512974183978e-16,4.425938700329354e-21,1.4367618764608222e-14,3.669216219463483e-18,1.3493028463821242e-17,7.942090861228956e-21,1.3949520030945706e-24,1.5052910530729449e-22,3.457176214110765e-22,3.595068384586152e-22,2.404056461784457e-17,-1.2820325167053594e-25,1.3652575983298908e-29,2.3649124708167117e-21,1.5534261726656125e-26,7.62391706942924e-21,5.836769993172886e-31
2.1520682557406457e-07,0.0005485282325552088,0.1557,0.0,0.00021134370703050496,0.6415505634395576,0.20135233623157311,1.4127973396469489e-14,1.6705326144940167e-12,1.3837666268050328e-11,6.390499532890531e-16,4.2902603955138796e-11,7.91655712558051e-15,1.1773590774955242e-05,1.400825215009843e-12,3.7759172195691856e-17,3.924662942460009e-15,0.0005476403770108095,4.080420490388521e-15,2.2506905340729793e-08,4.3594654788017325e-28,1.2754586393256992e-19,8.231466940454871e-10,2.4039966275782024e-16,8.892931242989311e-33,1.4036956088432856e-12,0.000843537578006297,2.4971595642826984e-22,8.076091030249308e-14,1.2903959347747019e-21,4.4662911890538635e-13,2.6324663436439255e-12,2.335845874018427e-25,1.4059331812777224e-22,2.697173143912857e-16,4.6452083115443414e-21,1.477795778909123e-14,3.7581001132983e-18,1.3819900179180524e-17,8.177564672683399e-21,1.4687964853512533e-24,1.549772818777194e-22,3.6870780024936276e-22,3.7012868191501785e-22,2.4744292818957054e-17,-1.191310719488551e-25,1.406283541922686e-29,2.4844808054684697e-21,1.630914229078376e-26,7.812116599884383e-21,6.1298019934073184e-31
2.1653897454705394e-07,0.0005485282325552088,0.1557,0.0,0.0002112742950461038,0.6415503025907603,0.20135252543011048,1.447520324077503e-14,1.7410043017124852e-12,1.417994002632928e-11,6.74516632300838e-16,4.412664467201115e-11,8.33881026860829e-15,1.1769708659991825e-05,1.4183161412424326e-12,3.9169664289257324e-17,4.070307030410516e-15,0.0005474506117508401,4.164053455395107e-15,2.3051888661497733e-08,4.44970404219324e-28,1.3232019369758026e-19,8.431876056089967e-10,2.475504020827692e-16,9.43820658317927e-33,1.4434262652619947e-12,0.0008438000722071264,2.634842651638322e-22,8.275488954090525e-14,1.3287524882938478e-21,4.599564055774274e-13,2.7072839374984333e-12,2.4826808568132368e-25,1.4995190260388303e-22,2.77735346697149e-16,4.875139402825789e-21,1.5200337186068212e-14,3.849089802006589e-18,1.4154515871838343e-17,8.420647226692885e-21,1.5465776373345948e-24,1.595666044616197e-22,3.9313543343480416e-22,3.8108743534934665e-22,2.546859426350967e-17,-1.0933446748617649e-25,1.448626447882888e-29,2.609969570401341e-21,1.7122080786183875e-26,8.004858655593258e-21,6.437295492706409e-31
2.1787112352004332e-07,0.0005485282325552088,0.1557,0.0,0.00021120675694335456,0.6415500487973282,0.20135270949246545,1.4829581694426992e-14,1.8140787175242326e-12,1.4530391697819905e-11,7.118890061569099e-16,4.538649308752862e-11,8.783679283903954e-15,1.176593126721949e-05,1.4357972216831845e-12,4.0625520341554505e-17,4.220629730070489e-15,0.00054726596924556,4.249356395331385e-15,2.3609781008501545e-08,4.541771542939968e-28,1.3724894376702695e-19,8.636993447184528e-10,2.549330676284404e-16,1.0015282747799997e-32,1.4843465857273001e-12,0.0008440554516661072,2.7798969695812054e-22,8.479700035282132e-14,1.3683445401394893e-21,4.736626761863747e-13,2.7843181686291403e-12,2.6382146867020392e-25,1.598965047558145e-22,2.8601184162520596e-16,5.116243446754418e-21,1.5635146934379666e-14,3.94223454629289e-18,1.4497056692328452e-17,8.67161396080495e-21,1.6285096521735092e-24,1.643005697085136e-22,4.1908534566297053e-22,3.9239139914123565e-22,2.621412049985063e-17,-9.85990986791703e-26,1.4923311574273378e-29,2.7416685664906375e-21,1.7974931011276206e-26,8.202253675681651e-21,6.759957073588532e-31
2.192032724930327e-07,0.0005485282325552088,0.1557,0.0,0.00021114104185437736,0.6415498018680791,0.2013528885573645,1.519125352892543e-14,1.889839155955521e-12,1.4889215217129856e-11,7.512674321468592e-16,4.668330305155898e-11,9.25239885611111e-15,1.1762255752422033e-05,1.4532694965163788e-12,4.212810313653801e-17,4.375771791306632e-15,0.0005470863104542091,4.336382569236781e-15,2.4180884216428038e-08,4.635726665912305e-28,1.4233680788581603e-19,8.846927530970585e-10,2.6255608374921734e-16,1.0625955228123628e-32,1.5264964747206678e-12,0.0008443039088233135,2.932710013163739e-22,8.688841296778427e-14,1.409222126185249e-21,4.87759177802639e-13,2.863642149607111e-12,2.8029426595195777e-25,1.704618037624737e-22,2.945572284347919e-16,5.369056129992406e-21,1.608279097158605e-14,4.037584723338559e-18,1.48477078952677e-17,8.93075125699062e-21,1.7148187144318466e-24,1.6918500052938828e-22,4.4664717737344585e-22,4.040544717648349e-22,2.6981545259506357e-17,-8.702268180423021e-26,1.537450623001058e-29,2.879881690280732e-21,1.8869636212038803e-26,8.404414804294047e-21,7.098528133034053e-31
2.2053542146602207e-07,0.0005485282325552088,0.1557,0.0,0.00021107710028597096,0.6415495616170028,0.2013530627597706,1.5560368185769377e-14,1.968371428482183e-12,1.525660904929571e-11,7.927575946583666e-16,4.801827003375463e-11,9.746272857991103e-15,1.175867934819204e-05,1.4707345531085467e-12,4.3678831506789234e-17,4.535879720864016e-15,0.0005469115000926371,4.425188034720178e-15,2.476550696873466e-08,4.73163117020809e-28,1.4758867474541052e-19,9.06178910011348e-10,2.7042820999277504e-16,1.1272122362630067e-32,1.5699173289509911e-12,0.0008445456309036256,3.093689831873918e-22,8.903032628796539e-14,1.4514470002935463e-21,5.022575292120644e-13,2.945331687725262e-12,2.9773885887577886e-25,1.8168445815104004e-22,3.033841296541947e-16,5.634138478693593e-21,1.6543687837073705e-14,4.13519185225836e-18,1.5206658934008563e-17,9.198356902044412e-21,1.805743658478301e-24,1.7422673730306363e-22,4.759156624268147e-22,4.1609301954887585e-22,2.777156652915281e-17,-7.500720140859728e-26,1.584038981927384e-29,3.0249276201251933e-21,1.980823368800347e-26,8.611457958121875e-21,7.45378533992783e-31
2.2186757043901145e-07,0.0005485282325552088,0.1557,0.0,0.0002110148840822981,0.6415493278631231,0.20135323223098464,1.5937080031645185e-14,2.049763968851739e-12,1.5632776292270522e-11,8.364708058819207e-16,4.9392632771946995e-11,1.026667876755264e-14,1.175519936184593e-05,1.4881945430230863e-12,4.527918399010313e-17,4.701106153620705e-15,0.0005467414065313904,4.515831767238328e-15,2.536396494272189e-08,4.829550022601491e-28,1.5300964075087302e-19,9.281691368881984e-10,2.7855855527659105e-16,1.1955792102103724e-32,1.6146520980396066e-12,0.000844780800057894,3.263266187542744e-22,9.122396859868793e-14,1.4950506769370066e-21,5.171697346455055e-13,3.0294654011099437e-12,3.162106787022236e-25,1.9360322000067994e-22,3.1249943920451365e-16,5.9120780352906975e-21,1.7018271640750234e-14,4.235108622469604e-18,1.5574103567516995e-17,9.474740537669065e-21,1.9015367813580873e-24,1.794293874243622e-22,5.0699092074465555e-22,4.285155996011521e-22,2.8584907762224e-17,-6.260739953847676e-26,1.6321433910618888e-29,3.1771405256136657e-21,2.0792859886162098e-26,8.823501895268504e-21,7.826542308043304e-31
2.2319971941200082e-07,0.0005485282325552088,0.1557,0.0,0.0002109543463885777,0.6415491004303595,0.20135339709874442,1.6321548608511606e-14,2.1341079446387675e-12,1.6017924781555272e-11,8.825243255588161e-16,5.0807674986321036e-11,1.0815071871716952e-14,1.1751813173395395e-05,1.5056521971983522e-12,4.6930702561800555e-17,4.8716102366658244e-15,0.0005465759016965325,4.608375799068393e-15,2.5976580957178223e-08,4.9295515525049615e-28,1.5860502293801357e-19,9.506750019955876e-10,2.8695659254204555e-16,1.267908836790275e-32,1.6607453476258807e-12,0.0008450095935003041,3.441891784681133e-22,9.347059829620112e-14,1.5400815049223686e-21,5.325081980613685e-13,3.116124823062743e-12,3.357683713963804e-25,2.0625905682413356e-22,3.219133401731913e-16,6.2034900903528474e-21,1.750699224273127e-14,4.337388912358638e-18,1.5950239925347004e-17,9.760224186893422e-21,2.0024646259100113e-24,1.8479871127724875e-22,5.399787712042465e-22,4.413359341113888e-22,2.9422318176548277e-17,-4.9677641732628736e-26,1.6818230927598252e-29,3.3368708176056653e-21,2.18257542452227e-26,9.040668285181248e-21,8.217654299325413e-31
