Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(48),CH2O2X(49),CH3OX(44),CH3X(50),CH4(39),CH4X(236),CH3O2X(47),CH4O2(169),H(23),HCO(31),OCHCO(260),SX(257),CH2OX(167),CHOX(166),SX(186),C2H6O(234),SX(408),SX(460),C2H4O(229),SX(525)
3.7046724739241368e-09,0.002725616131494464,0.0915567593028733,0.0,0.0051310262744002876,0.4487080949378948,2.919034677453675e-36,0.456900612196012,1.8215106519100312e-17,2.085928911889625e-24,5.453653710898407e-13,1.2089414732468404e-23,-2.647627811860113e-38,0.0001118568768329918,5.4866557782393075e-18,1.55078530461333e-21,3.934347619638021e-19,2.4004595045330697e-17,1.444680450226889e-10,9.199002439037054e-20,1.0446967139297225e-23,9.5733972655739e-16,1.4696764063302303e-22,1.5576508871118936e-27,6.6063009045067554e-31,3.4302326683083738e-25,0.0027786049792386997,1.147155916083132e-18,9.596228583920818e-27,-1.628023170760025e-21,-1.489839444145547e-23,1.5468076524257271e-21,3.648911452497415e-25,3.6108697346462795e-23,8.240788955343106e-23,1.3233545332554903e-35,1.2236525808967163e-77,9.561124441666093e-23,4.474708540614415e-30,4.120231860248927e-29,1.528035897890307e-33,-4.021541588617188e-36,-6.337872432162793e-39,-3.288947382759209e-45,-1.5928504977512472e-33,-2.6120885824294856e-32
3.7248664192508965e-09,0.002725616131494464,0.0915567593028733,0.0,0.00512904220862545,0.4487060875164053,2.9495770967421253e-36,0.45690061219541656,1.8305147877900594e-17,2.1154636937346975e-24,5.480153054584618e-13,1.2313293893394179e-23,-1.4642106490863912e-38,0.00011181016425085481,5.536741470524498e-18,1.5508879558774143e-21,3.932853350727656e-19,2.4143732511509896e-17,1.4506085319682844e-10,9.28280186048439e-20,1.0484591905453345e-23,9.573305246320343e-16,1.4895127765248271e-22,1.5786225228175279e-27,6.636927398686304e-31,3.488348541965585e-25,0.0027806357570165138,1.1522868087156925e-18,9.753089414790826e-27,1.307721052031045e-19,-1.762984090950264e-23,-1.308286648492519e-19,3.6653259967001213e-25,3.645511884741991e-23,8.277312276923725e-23,1.342602186938039e-35,1.2544475049781262e-77,9.646353114714151e-23,4.514574040557625e-30,4.1569678062529566e-29,1.9558286206033053e-33,-4.0431438149072e-36,-3.3556460759223824e-39,-2.861744284806087e-45,-1.2019243159358064e-33,-1.3854672237903975e-32
3.745060364577656e-09,0.002725616131494464,0.0915567593028733,0.0,0.005127092480060355,0.4487041148349689,2.9802675350143716e-36,0.45690061219482214,1.8395154352064656e-17,2.1452621843457825e-24,5.506641168998427e-13,1.2540097005511402e-23,-9.161444490201136e-39,0.00011176425734249135,5.5870127977723155e-18,1.550990347869705e-21,3.931390312886509e-19,2.4283020425895814e-17,1.4565259853475825e-10,9.366941810531709e-20,1.0526369571956886e-23,9.573214761962889e-16,1.509509319198576e-22,1.5997837702685096e-27,6.6647928401836565e-31,3.547114741359325e-25,0.0027826313919044276,1.1574187801510652e-18,9.911726273250381e-27,-1.5743275496425485e-20,-1.6899154012107313e-23,1.5695952631924227e-20,3.6817445418268994e-25,3.6803175463947874e-23,8.313788070395122e-23,1.362022535521079e-35,1.2858420562923589e-77,9.731904004769775e-23,4.554354676938249e-30,4.193870922475635e-29,1.890949926572246e-33,-4.057497212743342e-36,-3.118946638194103e-39,-3.307311613638119e-45,-1.0169996322221224e-33,-8.182388283966918e-33
3.765254309904416e-09,0.002725616131494464,0.0915567593028733,0.0,0.0051251764942715754,0.4487021762922363,3.011105930136223e-36,0.4569006121942288,1.8485126607578697e-17,2.1753255788695424e-24,5.533118247821155e-13,1.276984763271854e-23,-2.1732435929175722e-38,0.00011171914225109067,5.637469571760698e-18,1.5510926014363642e-21,3.929957969703627e-19,2.442245920901353e-17,1.4624328757561417e-10,9.451422635844053e-20,1.056259090216657e-23,9.573125788596078e-16,1.5296665769985284e-22,1.6211108555615025e-27,6.6953251538079955e-31,3.6065350659116224e-25,0.002784592492180282,1.162551850935896e-18,1.007215144638139e-26,-2.1474357499504012e-19,-1.3479555339500143e-23,2.1467095107483954e-19,3.698167154068836e-25,3.7152870128322385e-23,8.350216666303926e-23,1.3816162498384e-35,1.3178446221045298e-77,9.817777351392209e-23,4.594275764458219e-30,4.230922201138496e-29,-3.8643442700809915e-33,-4.06794978260182e-36,-4.399217022674362e-39,-4.020930175192055e-45,-1.3414315472101065e-33,-2.1135035747838262e-32
3.785448255231176e-09,0.002725616131494464,0.0915567593028733,0.0,0.005123293667166236,0.4487002712972722,3.042092221046411e-36,0.4569006121936365,1.857506529953182e-17,2.205655074752531e-24,5.559584481402738e-13,1.3002569469032839e-23,-2.3197302537656358e-38,0.00011167480535605703,5.688111604586841e-18,1.5511936993855692e-21,3.928555799503309e-19,2.4562049271760848e-17,1.4683292676061976e-10,9.536244682116348e-20,1.0594147137965355e-23,9.57303830264388e-16,1.5499850925676272e-22,1.6425700877933766e-27,6.729582806725502e-31,3.6666133355241123e-25,0.0027865196555892074,1.167686040536055e-18,1.023437726225217e-26,1.9215390430247022e-19,-1.7232061878635384e-23,-1.9222566623675476e-19,3.7145938961331633e-25,3.7504205770313864e-23,8.38659838968701e-23,1.401384001230055e-35,1.3504636640800329e-77,9.903973391785522e-23,4.6348555256306254e-30,4.268076980275231e-29,-2.0192925331303383e-33,-4.085710730361934e-36,-3.908101573425725e-39,-2.752574970827269e-45,-1.4264819335213216e-33,-2.271510555703366e-32
3.805642200557935e-09,0.002725616131494464,0.0915567593028733,0.0,0.005121443424749909,0.4486983992693755,3.073226347738181e-36,0.45690061219304523,1.8664971071017423e-17,2.236251871715313e-24,5.586040056818557e-13,1.3238286257058845e-23,-8.891869500471466e-40,0.00011163123327041483,5.738938709454833e-18,1.5512941012715835e-21,3.92718328226803e-19,2.4701791015546845e-17,1.4742152243476192e-10,9.621408293992553e-20,1.064002598939385e-23,9.572952280855333e-16,1.5704654081910544e-22,1.6642354244194314e-27,6.755788906796016e-31,3.7273533589265614e-25,0.0027884134695258687,1.1728213674021218e-18,1.039841609014997e-26,2.84380750962646e-19,-2.0781473599611934e-23,-2.8441156226533126e-19,3.7310248272744886e-25,3.785718531689989e-23,8.42293356017016e-23,1.4213264615401514e-35,1.3837077186118441e-77,9.99049236505824e-23,4.6752843884631735e-30,4.305404820566899e-29,1.0607209816779849e-32,-4.103101520450904e-36,-2.886333310296355e-39,-2.337651037801089e-45,-9.107179132983963e-34,1.5094360056767033e-34
3.82381675135202e-09,0.002725616131494464,0.0915567593028733,0.0,0.005119805600055832,0.4486967421592676,3.101373412593835e-36,0.456900612192514,1.874585864055636e-17,2.26401852478682e-24,5.609841113984555e-13,1.3453011730739356e-23,1.6658076846195204e-38,0.00011159266142656705,5.78484118717387e-18,1.5513850346032494e-21,3.925972943600755e-19,2.482768859646862e-17,1.479503715075872e-10,9.698347867216303e-20,1.0671664848333307e-23,9.572876094146122e-16,1.589036480732959e-22,1.6838882096533023e-27,6.783447527699898e-31,3.782588325596354e-25,0.0027900898655531534,1.1774441483160997e-18,1.0547611416855465e-26,-2.0284248962576465e-24,-2.0116099294772296e-23,-1.3946390234282763e-25,3.745816293340071e-25,3.817627486391524e-23,8.455595670762901e-23,1.43942460762803e-35,1.4141688692340858e-77,1.0068635744745296e-22,4.7115572077101496e-30,4.3391471850870007e-29,1.0607492794567571e-32,-4.104906058189181e-36,1.6492185905388857e-39,-3.3345759803741645e-45,-3.048551509142833e-34,1.834723132028915e-32
3.841991302146104e-09,0.002725616131494464,0.0915567593028733,0.0,0.005118193307469141,0.4486951108809843,3.1296401343700145e-36,0.4569006121919836,1.8826720510272323e-17,2.2920035430769296e-24,5.633633818840334e-13,1.3670199843045873e-23,1.628892217485336e-38,0.00011155468898288161,5.8308932883480425e-18,1.5514751622040794e-21,3.924785848125779e-19,2.49537096361373e-17,1.4847838489272753e-10,9.775564636444528e-20,1.0705593224890124e-23,9.57280105833766e-16,1.6077394482054632e-22,1.7036682713866758e-27,6.810538797813288e-31,3.8383651809959038e-25,0.002791740130055919,1.1820678764628364e-18,1.0698294410471497e-26,5.268450923508867e-22,-2.0303600068220696e-23,-3.764885089356429e-22,3.7606112366241196e-25,3.8496700471230225e-23,8.48822055368319e-23,1.4576653030195367e-35,1.445149584281569e-77,1.0147041062822367e-22,4.7481755663382264e-30,4.372990331243874e-29,5.423143050545859e-34,-4.089445536181808e-36,5.064685849109531e-39,-3.2998285543412385e-45,-3.320157344198257e-35,1.8183494006872443e-32
3.860165852940188e-09,0.002725616131494464,0.0915567593028733,0.0,0.005116606148875858,0.44869350503175803,3.158026471441192e-36,0.456900612191454,1.890755712635234e-17,2.3202078058072252e-24,5.657418301181764e-13,1.388986810519083e-23,9.550800824922363e-39,0.00011151730664877737,5.877094878449481e-18,1.5515647924978842e-21,3.9236216350518443e-19,2.5079854408004832e-17,1.4900556702221708e-10,9.85305885044894e-20,1.0739662484661314e-23,9.57272715714492e-16,1.6265747067446564e-22,1.7235883849173697e-27,6.837555921064533e-31,3.89468671811102e-25,0.0027933646704470082,1.1866925632084049e-18,1.0850474172928224e-26,1.149909106043258e-21,-1.9596700606384263e-23,-6.70003657850501e-22,3.775409693718995e-25,3.881846426566318e-23,8.520808431079426e-23,1.4760490385265962e-35,1.476656243355804e-77,1.022570848880602e-22,4.7849259344926194e-30,4.406952254726588e-29,-3.461169348526304e-33,-4.068584168826703e-36,3.500626748884974e-39,-3.3006706440607367e-45,-1.3532178988040722e-34,1.1251820230722295e-32
3.878340403734272e-09,0.002725616131494464,0.0915567593028733,0.0,0.0051150437323802915,0.44869192421510345,3.186532382829532e-36,0.45690061219092526,1.898836892809732e-17,2.3486321936287767e-24,5.681194688792825e-13,1.4112034086344636e-23,7.524494915850924e-39,0.00011148050527696759,5.923445823279318e-18,1.5516541704408381e-21,3.9224799494374416e-19,2.5206123179632835e-17,1.4953192226895942e-10,9.930830757134873e-20,1.0773436828775439e-23,9.572654374485857e-16,1.6455426527679263e-22,1.7436487247895105e-27,6.864682348913554e-31,3.951555732550756e-25,0.002794963887785088,1.1913182192949963e-18,1.1004159832858281e-26,-2.668047930210822e-21,-1.9165889929143172e-23,3.1437260433075663e-21,3.79021169927836e-25,3.9141568371509654e-23,8.55335952178624e-23,1.494576305285485e-35,1.5086952759086173e-77,1.0304638191791368e-22,4.821794803705918e-30,4.441034221007319e-29,1.0219559587375213e-34,-4.056312083533183e-36,1.4201073289412704e-39,-3.312333801092774e-45,-3.163528628149733e-34,9.012433448689579e-33
3.8965149545283566e-09,0.002725616131494464,0.0915567593028733,0.0,0.005113505672184333,0.44869036804071966,3.2151578281948285e-36,0.45690061219039735,1.9069156348192896e-17,2.377277588607665e-24,5.704963107476665e-13,1.433671540640833e-23,1.0830624631581505e-38,0.00011144427586169948,5.9699459893377144e-18,1.551743149028104e-21,3.921360443801965e-19,2.533251621276968e-17,1.5005745494764144e-10,1.0008880603502814e-19,1.080735155878473e-23,9.572582694481603e-16,1.6646436829128162e-22,1.763849546280428e-27,6.8917303514535705e-31,4.0089750199512265e-25,0.0027965381768740305,1.1959448548524655e-18,1.1159360545551029e-26,1.849925296046047e-21,-1.9403383682420325e-23,-1.5072658434193233e-21,3.8050172860439553e-25,3.9466014910398204e-23,8.585874041378125e-23,1.5132475947551307e-35,1.5412731614369569e-77,1.0383830340160737e-22,4.858803754549421e-30,4.475234759854498e-29,2.324471397523254e-33,-4.050892472193802e-36,2.4769747204966764e-39,-3.273376372086076e-45,-2.980381924099955e-34,1.2339875438970987e-32
3.914689505322441e-09,0.002725616131494464,0.0915567593028733,0.0,0.0051119915885014435,0.4486888361243938,3.24390276782465e-36,0.45690061218987027,1.9149919812522152e-17,2.4061448742108606e-24,5.7287236810862e-13,1.4563929741288136e-23,1.3652242854264724e-38,0.00011140860953632408,6.016595243637512e-18,1.5518317749480887e-21,3.9202627751032923e-19,2.5459033763426332e-17,1.505821693156267e-10,1.0087208635612623e-19,1.0841128808243665e-23,9.57251210145732e-16,1.683878193972648e-22,1.7841917038027695e-27,6.918813611422759e-31,4.066947377928566e-25,0.0027980879263603087,1.2005724794341e-18,1.1316085492826243e-26,-3.596749823935309e-22,-1.964346390324997e-23,6.650315037835945e-22,3.819826484870845e-25,3.979180600115109e-23,8.618352202222261e-23,1.5320633987153233e-35,1.5743964296772441e-77,1.0463285100942278e-22,4.895936956215238e-30,4.509555399935001e-29,1.8725511586854332e-34,-4.0413781124818295e-36,4.0275846286008946e-39,-3.278483649757041e-45,-1.6320210683136275e-34,1.5277756664673788e-32
3.932864056116525e-09,0.002725616131494464,0.0915567593028733,0.0,0.005110501107473946,0.4486873280879055,3.272767162624609e-36,0.456900612189344,1.923065974037758e-17,2.435234935292115e-24,5.752476531554232e-13,1.479369482957385e-23,1.3291079068798383e-38,0.00011137349757085856,6.063393453523382e-18,1.5519200708720783e-21,3.919186605709935e-19,2.558567608195143e-17,1.5110606957383474e-10,1.0165815098548587e-19,1.0874864962388258e-23,9.572442579938926e-16,1.7032465828271197e-22,1.8046752892535826e-27,6.945898221836889e-31,4.1254756086156504e-25,0.0027996135188288838,1.2052011020327028e-18,1.147434388291662e-26,-1.9133160995061707e-22,-1.962702629902337e-23,5.453214457473479e-22,3.834639324812654e-25,4.0118943759647714e-23,8.650794213530395e-23,1.5510242092648687e-35,1.6080716608000855e-77,1.0543002639691273e-22,4.9332006311292296e-30,4.543995577295403e-29,-1.4599951122708454e-33,-4.0251579709037364e-36,3.669076356098806e-39,-3.2635869780961746e-45,-1.1855413353069424e-34,1.4906355634523926e-32
3.951038606910609e-09,0.002725616131494464,0.0915567593028733,0.0,0.005109033861081248,0.44868584355893465,3.3017509741087934e-36,0.4569006121888185,1.931137654457314e-17,2.4645486580777575e-24,5.776221778923035e-13,1.502602847221434e-23,1.1829730379485095e-38,0.0001113389313699098,6.110340486651482e-18,1.5520080166138464e-21,3.918131603399053e-19,2.5712443413105765e-17,1.5162915986761073e-10,1.024470023638577e-19,1.0908564934693469e-23,9.572374114649248e-16,1.7227492464183646e-22,1.825300832348812e-27,6.972978988465323e-31,4.184562518524391e-25,0.0028011153308978207,1.209830731088782e-18,1.1634144950415795e-26,1.9933091868240256e-22,-1.946622113749407e-23,1.9747311953042052e-22,3.8494558331863057e-25,4.0447430298693214e-23,8.683200281409828e-23,1.5701305188196747e-35,1.642305485605048e-77,1.062298312073484e-22,4.970595098524006e-30,4.5785553376955307e-29,-2.77886456589491e-34,-4.008926536134051e-36,2.8542128913303264e-39,-3.246919647708841e-45,-1.7620840586548752e-34,1.3324393051054308e-32
3.9692131577046935e-09,0.002725616131494464,0.0915567593028733,0.0,0.005107589487043927,0.4486843821709682,3.330854164390327e-36,0.45690061218829386,1.9392070631506382e-17,2.4940869301526076e-24,5.799959541373528e-13,1.5260948529036002e-23,1.1430045687525753e-38,0.00011130490247078733,6.157436211039409e-18,1.5520956269887308e-21,3.917097440901064e-19,2.5839335996136158e-17,1.5215144428758275e-10,1.0323864292157949e-19,1.0942201713432193e-23,9.572306690507034e-16,1.7423865817809647e-22,1.8460687709767128e-27,7.000068071676105e-31,4.244210917187335e-25,0.0028025937333115455,1.2144613745092484e-18,1.1795497956247416e-26,-1.2387636525211724e-22,-1.9373514220534944e-23,5.1286657336077765e-22,3.864276035598725e-25,4.077726772789315e-23,8.715570608913571e-23,1.5893828201107819e-35,1.677104585715371e-77,1.0703226707280644e-22,5.0081186700431596e-30,4.6132350317903185e-29,8.645933074174747e-34,-3.99673493968162e-36,2.972221403529299e-39,-3.238186779392197e-45,-2.1339968902318367e-34,1.2840913738880647e-32
