Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60),CHOX2(61),SX(53),CH3OX(46),CH3X(55),CH4(41),CH2OX2(52),CHX(32),SX(406),SX(420),C2HOX(418),C2H4O(376),CH2X(63),SX(57),CH4X(383),SX(56),CH2OX(176)
1.5012448675802414e-08,0.0028149649241145727,0.1557,0.0,0.00577891085413107,0.6423307143722377,0.1995330199031433,1.616594666077117e-14,2.8107236633522534e-16,1.2187585578188075e-10,5.293068992016035e-21,6.250975480557449e-12,9.213061782878206e-17,0.00013855093599954565,6.997067728423658e-15,2.5944495729161378e-20,5.598359187964185e-18,0.002366960164600376,3.303706291109151e-18,1.952754202175479e-08,3.9010884530868533e-29,2.7419660195900625e-28,2.5577202580686186e-10,1.5616742907208385e-16,4.5967372856932844e-32,3.507830474461547e-13,2.611293377672543e-12,4.0501565429475874e-13,1.3367958252240515e-11,4.687936164876743e-15,1.3261940625105342e-23,2.705270559867011e-14,2.995428704170908e-23,6.936624891653868e-15,2.099807293120528e-15,3.306100457801534e-13,3.028488812775188e-16,3.790369362185149e-16,5.036951914604604e-14,1.7496763189688343e-12,8.036651562519368e-15,7.44067599646385e-25,4.884353510892944e-13,1.3508100655268415e-19,1.7462528500371347e-18
1.507606493192705e-08,0.0028149649241145727,0.1557,0.0,0.00577890484856675,0.642330714394287,0.1995330137470631,1.633458998257305e-14,2.8620381984769896e-16,1.224397710245095e-10,5.416724802698056e-21,6.3335167975573704e-12,9.38171384482054e-17,0.0001385507861370961,7.060161059945283e-15,2.631078299911652e-20,5.678286814750426e-18,0.0023669662180485222,3.3447167328852705e-18,1.9627201567003437e-08,3.9495437976004954e-29,2.7898746015489584e-28,2.580466291336681e-10,1.5757046301498906e-16,4.6613229981347626e-32,3.5540885539147305e-13,2.6280656948135417e-12,4.066665576553285e-13,1.3367978588911949e-11,4.6887448256061525e-15,1.3548487680492478e-23,2.7316725915575207e-14,3.006913882251755e-23,7.0559579289942425e-15,2.1002506891985213e-15,3.2857278112741366e-13,3.026743216846668e-16,3.7882040189301205e-16,5.0340888205017945e-14,1.762285029589099e-12,7.999430085676904e-15,7.545165907129153e-25,4.948201222722354e-13,1.381245546197076e-19,1.7551651427773726e-18
1.5139681188051683e-08,0.0028149649241145727,0.1557,0.0,0.005778899080800823,0.6423307144132792,0.19953300783470926,1.6504310031438574e-14,2.9140787658164114e-16,1.230039588250077e-10,5.542761009305668e-21,6.41679882879301e-12,9.552743514820077e-17,0.00013855064220354062,7.123556930025367e-15,2.6680789760291024e-20,5.759036140553284e-18,0.0023669720275978903,3.3860520056019355e-18,1.972702190174978e-08,3.9983836105269027e-29,2.838451460311983e-28,2.6033170892476507e-10,1.5898019129869556e-16,4.726555649328375e-32,3.600761205826205e-13,2.644896673407674e-12,4.083174854864063e-13,1.3367998097892694e-11,4.689554699780597e-15,1.3840559618985473e-23,2.7582151409930757e-14,3.018451083873945e-23,7.176847417288127e-15,2.100694743119576e-15,3.265457921925504e-13,3.0249295177148767e-16,3.7859537256262074e-16,5.0311109205085235e-14,1.774886296130086e-12,7.962458927145376e-15,7.650701371316788e-25,5.01261532886156e-13,1.4122365308846245e-19,1.7640918161718228e-18
1.5203297444176318e-08,0.0028149649241145727,0.1557,0.0,0.005778893541300871,0.6423307144293324,0.19953300215631162,1.6675110538886657e-14,2.9668527538694225e-16,1.23568419648781e-10,5.6712142245161606e-21,6.500825106358302e-12,9.726174850700774e-17,0.00013855050396118678,7.187255662989506e-15,2.705454114673772e-20,5.840612780454095e-18,0.002366977603017805,3.427713155240196e-18,1.982700380316521e-08,4.0476091377923747e-29,2.8877039153200197e-28,2.6262727431932074e-10,1.6039662168705475e-16,4.792439509191293e-32,3.647850404734687e-13,2.6617865876295533e-12,4.0996843789676334e-13,1.3368016812326205e-11,4.6903657972229324e-15,1.4138250920348232e-23,2.784898413028799e-14,3.0300400786271903e-23,7.299307131247782e-15,2.1011394562300114e-15,3.2452931290718777e-13,3.0230504235949084e-16,3.783621858951089e-16,5.028022739580803e-14,1.787479841909372e-12,7.925736706602469e-15,7.757289281793845e-25,5.077598464054456e-13,1.4437908307418542e-19,1.773032939646373e-18
1.5266913700300952e-08,0.0028149649241145727,0.1557,0.0,0.005778888220916377,0.6423307144425605,0.19953299670249156,1.684699525394596e-14,3.020367601080987e-16,1.2413315396304637e-10,5.802121500419918e-21,6.58559916636832e-12,9.902032072921949e-17,0.00013855037118186506,7.251257587031974e-15,2.743206242502309e-20,5.923022379296328e-18,0.002366982953686162,3.4697012262721655e-18,1.9927148049053486e-08,4.0972216236667015e-29,2.9376393525845324e-28,2.6493333454411306e-10,1.6181976201935275e-16,4.858978868811451e-32,3.695358127434044e-13,2.678735712004563e-12,4.1161941499270997e-13,1.336803476402749e-11,4.691178127618151e-15,1.4441657450418304e-23,2.8117226136353852e-14,3.041680645835705e-23,7.423350909496643e-15,2.101584829938123e-15,3.2252356674659013e-13,3.021108605230057e-16,3.781211748870973e-16,5.024828740747094e-14,1.800065401392676e-12,7.88926204135767e-15,7.864936565325892e-25,5.143153265560345e-13,1.4759163357380091e-19,1.781988582685945e-18
1.5330529956425587e-08,0.0028149649241145727,0.1557,0.0,0.005778883110863432,0.6423307144530728,0.19953299146424605,1.7019967943176294e-14,3.0746307961056374e-16,1.2469816223684934e-10,5.9355203327571075e-21,6.671124549000373e-12,1.008033956543374e-16,0.0001385502436465471,7.315563034200163e-15,2.781337899511561e-20,6.006270611886552e-18,0.002366988088605107,3.51201726169412e-18,2.0027455417854648e-08,4.147222310802385e-29,2.9882652252767037e-28,2.672498989135883e-10,1.6324962021020321e-16,4.9261780405875214e-32,3.7432863529964116e-13,2.695744321410275e-12,4.1327041687820145e-13,1.3368051983536369e-11,4.691991700519192e-15,1.4750876477639571e-23,2.8386879499014678e-14,3.0533725743710685e-23,7.548992654630336e-15,2.102030865711877e-15,3.20528766896489e-13,3.0191066951912714e-16,3.7787266777669467e-16,5.0215333239186584e-14,1.8126427200375519e-12,7.853033546034369e-15,7.9736501829002435e-25,5.209282373186365e-13,1.5086210151909556e-19,1.7909588148347557e-18
1.539414621255022e-08,0.0028149649241145727,0.1557,0.0,0.005778878202710049,0.6423307144609737,0.19953298643293296,1.71940323906901e-14,3.1296498780727414e-16,1.2526344494108097e-10,6.071448665192101e-21,6.757404798535015e-12,1.0261121876538312e-16,0.0001385501211449797,7.380172340378757e-15,2.819851639127948e-20,6.090363183195231e-18,0.0023669930164160985,3.554662303059432e-18,2.0127926688649204e-08,4.197612440273726e-29,3.0395890543230646e-28,2.6957697682991757e-10,1.6468620424944553e-16,4.994041358367635e-32,3.7916370627952485e-13,2.7128126910779325e-12,4.1492144365494137e-13,1.3368068500168641e-11,4.6928065253525684e-15,1.5066006689753756e-23,2.8657946300359325e-14,3.065115662466941e-23,7.676246333278469e-15,2.1024775650767036e-15,3.1854511642201846e-13,3.0170472872221064e-16,3.776169879618058e-16,5.018140824775811e-14,1.8252115541342343e-12,7.817049832287707e-15,8.083437129950123e-25,5.275988429319857e-13,1.5419129183017274e-19,1.799943705696618e-18
1.5457762468674856e-08,0.0028149649241145727,0.1557,0.0,0.005778873488362047,0.6423307144663635,0.19953298160025618,1.736919239817409e-14,3.1854324368535635e-16,1.2582900254849398e-10,6.2099448936259025e-21,6.8444434633969544e-12,1.044440371975691e-16,0.00013855000347533307,7.445085845274081e-15,2.858750028297536e-20,6.17530582855773e-18,0.00236699774541435,3.597637390511285e-18,2.022856264116236e-08,4.248393251615645e-29,3.0916184290037816e-28,2.7191457778305006e-10,1.6612952220204446e-16,5.062573177590311e-32,3.8404122405283584e-13,2.729941096593994e-12,4.165724954224803e-13,1.3368084342065052e-11,4.693622611423681e-15,1.5387148210652427e-23,2.893042863370192e-14,3.0769097175356483e-23,7.805125976167232e-15,2.102924929613354e-15,3.165728084385815e-13,3.0149329356286325e-16,3.77354453924046e-16,5.014655513729185e-14,1.837771670643837e-12,7.781309508556751e-15,8.19430443657962e-25,5.343274078960603e-13,1.5758001746918964e-19,1.8089433249352476e-18
1.5584994980924125e-08,0.0028149649241145727,0.1557,0.0,0.005778864610315306,0.642330714469993,0.19953297249927757,1.772281438780122e-14,3.299318599670475e-16,1.2696094437327572e-10,6.494796909521163e-21,7.020810253767197e-12,1.081856568797515e-16,0.0001385497818646236,7.575826829065087e-15,2.9377110912233195e-20,6.347764435827886e-18,0.0023670066385035296,3.6845818573910305e-18,2.0430331713495134e-08,4.3511318705856134e-29,3.1978245177982326e-28,2.7662138719871756e-10,1.6903639248237114e-16,5.201659850911792e-32,3.939243946347935e-13,2.764379119303071e-12,4.198746743179433e-13,1.3368114108614345e-11,4.69525860392547e-15,1.6047872957792863e-23,2.9479648325896045e-14,3.100650003051886e-23,8.067819598437257e-15,2.103821660789787e-15,3.12662943699306e-13,3.010549418353173e-16,3.7681007211929005e-16,5.007423205675547e-14,1.8628648711068357e-12,7.710553447630573e-15,8.419308423701184e-25,5.47959475201799e-13,1.6453936711510165e-19,1.8269870274990746e-18
1.5699504241948465e-08,0.0028149649241145727,0.1557,0.0,0.005778857208136881,0.6423307144656004,0.1995329649111184,1.8044859492676613e-14,3.4045044269541274e-16,1.2798063696577497e-10,6.760340529819052e-21,7.182169829608008e-12,1.116411119900681e-16,0.00013854959707622748,7.694537559750373e-15,3.010117580933681e-20,6.505942601390952e-18,0.002367014038950972,3.763971042188995e-18,2.061249492563102e-08,4.4449451645121846e-29,3.295900520442822e-28,2.808936014608527e-10,1.7167568816091523e-16,5.329168272620501e-32,4.029664110777509e-13,2.7955814343569307e-12,4.228467217502536e-13,1.3368138850786928e-11,4.696735401660209e-15,1.666411835878165e-23,2.997880839904073e-14,3.122188816575367e-23,8.30994672702545e-15,2.104631010656483e-15,3.0918459651008484e-13,3.0064411438945207e-16,3.7629977902571967e-16,5.000638183600909e-14,1.885416812151325e-12,7.647691353744003e-15,8.625578085741884e-25,5.60429215682624e-13,1.7101471482725937e-19,1.8432774309591916e-18
1.5814013502972806e-08,0.0028149649241145727,0.1557,0.0,0.005778850322073035,0.6423307144544605,0.19953295785193798,1.8370514141234817e-14,3.512284304601718e-16,1.2900122768352585e-10,7.03482240019212e-21,7.346042049931018e-12,1.1518147183138505e-16,0.00013854942515512648,7.814239350505146e-15,3.08381088382491e-20,6.666965612125268e-18,0.0023670209098357966,3.844445691581447e-18,2.0795203862757618e-08,4.5400434786441687e-29,3.396383708082789e-28,2.8520006196714894e-10,1.7433693056873824e-16,5.458911376494878e-32,4.1214905104405766e-13,2.826982567891067e-12,4.2581885161214486e-13,1.3368161795539705e-11,4.698216425511129e-15,1.730146498383373e-23,3.048258786645148e-14,3.143890168498248e-23,8.557563121963336e-15,2.1054425425844954e-15,3.0574556597295506e-13,3.002192718943133e-16,3.7577199968911916e-16,4.9936157869119245e-14,1.907937354110755e-12,7.585596035522427e-15,8.835459053615517e-25,5.730908702430384e-13,1.776959734993448e-19,1.8596166405423166e-18
1.5928522763997146e-08,0.0028149649241145727,0.1557,0.0,0.005778843915470641,0.642330714437028,0.19953295128416917,1.8699801143255244e-14,3.622704367343156e-16,1.3002271935288844e-10,7.318483380267621e-21,7.512447764358483e-12,1.1880823860109055e-16,0.00013854926518736606,7.934934318749681e-15,3.1588064711196134e-20,6.8308680412552504e-18,0.0023670272887204536,3.92601182493871e-18,2.0978463096138782e-08,4.6364339913217785e-29,3.499320893921135e-28,2.895408272432922e-10,1.770201694449233e-16,5.590915362775795e-32,4.2147348013225393e-13,2.8585841401937097e-12,4.2879106441795637e-13,1.3368183070290216e-11,4.6997017260013255e-15,1.7960550965407687e-23,3.0990999345070295e-14,3.16575324406863e-23,8.810752936609057e-15,2.106256267541616e-15,3.0234664164443856e-13,2.9978175497343653e-16,3.752284056868757e-16,4.986378450282118e-14,1.9304255016072864e-12,7.524259239833439e-15,9.04899361049437e-25,5.859459913150898e-13,1.845881823019492e-19,1.876005064737143e-18
1.6043032025021486e-08,0.0028149649241145727,0.1557,0.0,0.005778837954277948,0.6423307144137249,0.19953294517291104,1.9032743494766025e-14,3.7358113045088956e-16,1.310451148208872e-10,7.611569434732921e-21,7.681407869252743e-12,1.2252293255285354e-16,0.0001385491163238569,8.056624620897559e-15,3.235119963234269e-20,6.997684797074802e-18,0.0023670332105011336,4.008675449373968e-18,2.1162277204178017e-08,4.73412386774315e-29,3.6047596583534617e-28,2.9391595674006626e-10,1.79725455309957e-16,5.725206669709591e-32,4.3094086656283235e-13,2.8903877754239556e-12,4.317633606660281e-13,1.3368202793409157e-11,4.7011913527420915e-15,1.864203091401972e-23,3.150405557135416e-14,3.1877773109295815e-23,9.069601002444461e-15,2.107072196933319e-15,2.989885227408938e-13,2.993328594782282e-16,3.7467061278101495e-16,4.9789478653337487e-14,1.952880357654361e-12,7.463672670479164e-15,9.266224421759685e-25,5.989961343276473e-13,1.9169646921547444e-19,1.89244311268921e-18
1.6157541286045826e-08,0.0028149649241145727,0.1557,0.0,0.005778832406859642,0.6423307143849429,0.19953293948573955,1.9369364378471662e-14,3.8516523653828244e-16,1.3206841695543857e-10,7.914331721549266e-21,7.852943308476338e-12,1.263270921705088e-16,0.0001385489777757635,8.179312452122592e-15,3.3127671315415536e-20,7.167451126880908e-18,0.002367038707597334,4.0924425603308694e-18,2.134665077251375e-08,4.833120260664949e-29,3.7127483612093405e-28,2.983255108340766e-10,1.8245283946483496e-16,5.861811976284419e-32,4.4055238122097026e-13,2.9223951016493955e-12,4.347357408399948e-13,1.3368221074863814e-11,4.702685354503325e-15,1.934657626508052e-23,3.202176940164346e-14,3.209961715990648e-23,9.33419283038863e-15,2.1078903425747678e-15,2.956718215479713e-13,2.9887383604141927e-16,3.7410018036111397e-16,4.9713449728092786e-14,1.9753011203040073e-12,7.40382798820273e-15,9.487194539386768e-25,6.122428577659723e-13,1.9902605209493133e-19,1.9089311942083264e-18
1.6272050547070166e-08,0.0028149649241145727,0.1557,0.0,0.005778827243825172,0.6423307143510468,0.19953293419253124,1.970968716418519e-14,3.970275364618958e-16,1.3309262864556638e-10,8.227026681600417e-21,8.027075074149924e-12,1.3022227434403724e-16,0.00013854884881022385,8.303000046124812e-15,3.391763900136445e-20,7.340202620934387e-18,0.0023670438101278083,4.17731914216533e-18,2.153158839411705e-08,4.93343031109146e-29,3.8233361542099737e-28,3.027695508284288e-10,1.8520237398960831e-16,6.000758204988639e-32,4.5030919769913015e-13,2.954607750885126e-12,4.377082054099875e-13,1.336823801681549e-11,4.704183779278804e-15,2.007487563179937e-23,3.254415381252049e-14,3.2323058823655975e-23,9.604614612137796e-15,2.108710716664705e-15,2.9239706683872535e-13,2.9840588976058368e-16,3.735186110493324e-16,4.963589956897544e-14,1.997687079264516e-12,7.344716811443166e-15,9.71194740637973e-25,6.25687723231043e-13,2.0658223974515964e-19,1.9254697197762142e-18
1.6386559808094507e-08,0.0028149649241145727,0.1557,0.0,0.005778822437869198,0.6423307143123739,0.1995329292652998,2.0053735409264827e-14,4.0917286877209365e-16,1.3411775280160472e-10,8.549916129768474e-21,8.203824207407972e-12,1.3421005454760792e-16,0.00013854872874637108,8.427689674907481e-15,3.4721263476048526e-20,7.515975216445403e-18,0.002367048546074092,4.263311168721713e-18,2.171709466939151e-08,5.035061148954283e-29,3.9365729935384316e-28,3.072481389533671e-10,1.8797411174172015e-16,6.142072524586504e-32,4.602124923395368e-13,2.987027359133994e-12,4.4068075483374944e-13,1.3368253714174315e-11,4.705686674346915e-15,2.082763516411665e-23,3.3071221901159293e-14,3.2548093063750224e-23,9.88095322153088e-15,2.1095333317611824e-15,2.891647072907852e-13,2.979301800035166e-16,3.7292735045738625e-16,4.955702241656611e-14,2.020037612498616e-12,7.286330717751287e-15,9.94052686123795e-25,6.393322954986437e-13,2.1437043300636265e-19,1.942059100554587e-18
1.6501069069118847e-08,0.0028149649241145727,0.1557,0.0,0.0057788179636236794,0.6423307142692385,0.19953292467804468,2.040153285905546e-14,4.2160612965861425e-16,1.3514379235539032e-10,8.883267347488794e-21,8.383211799152484e-12,1.3829202701974767e-16,0.00013854861695164486,8.55338364856971e-15,3.553870708824973e-20,7.69480520158632e-18,0.0023670529414321073,4.350424603903284e-18,2.1903174206275247e-08,5.138019893793621e-29,4.052509652649764e-28,3.117613383668753e-10,1.9076810635555924e-16,6.285782352911396e-32,4.702634442765391e-13,3.0196555664280193e-12,4.436533895576727e-13,1.3368268255113652e-11,4.707194086327059e-15,2.1605578913890038e-23,3.3602986885667153e-14,3.277471554633445e-23,1.0163296215941253e-14,2.110358200759164e-15,2.8597511489593144e-13,2.97447820335538e-16,3.723277870956053e-16,4.9477004894579365e-14,2.0423521828095496e-12,7.228661245824036e-15,1.017297714243002e-24,6.531781425782289e-13,2.223961258502995e-19,1.9586997483933726e-18
