Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CHO3X(91),H(23),HCO(31)
8.447426657770387e-07,0.0027344314106420324,0.1557,0.0,0.004362793644060501,0.6387715287655766,0.2019,0.0,0.0,8.184013647095575e-18,0.0,-5.635177602310373e-18,6.988882556140315e-31,0.0001123335260992107,0.0,0.0,0.0,-1.3561759024741803e-18,0.0,-7.347474216690271e-19,0.0,0.0,-1.8028419303386182e-20,-2.2238403907339885e-25,0.0,-4.378101348447172e-19,0.0,0.003572304471376994,-3.9083597094568864e-27,-1.362997537877523e-27,0.0,-1.7312318059685025e-21,9.157327795111148e-25,0.0,6.930577288066154e-22,2.7240363872076295e-23
8.499662985604739e-07,0.0027344314106420324,0.1557,0.0,0.0043627895990257185,0.6387715246723831,0.2019,0.0,0.0,8.175513895107791e-18,0.0,-5.64313680814355e-18,6.9884228613744695e-31,0.00011233342978165377,0.0,0.0,0.0,-1.3562200216533423e-18,0.0,-7.181599522166745e-19,0.0,0.0,-1.763735455862357e-20,-2.175737732577338e-25,0.0,-4.38281204329014e-19,0.0,0.0035723086127293327,-3.906246276708444e-27,-1.2949503657532459e-27,0.0,-1.7336565048691598e-21,9.148108928239493e-25,0.0,6.930577865774102e-22,2.7240540512558575e-23
8.551899313439091e-07,0.0027344314106420324,0.1557,0.0,0.004362785803444391,0.6387715208316129,0.2019,0.0,0.0,8.167024822302054e-18,0.0,-5.650921862429895e-18,6.987959752679335e-31,0.00011233333940390773,0.0,0.0,0.0,-1.3562619459012528e-18,0.0,-7.01769215719528e-19,0.0,0.0,-1.7250917617413272e-20,-2.1282041909102605e-25,0.0,-4.387379918125479e-19,0.0,0.003572312498688407,-3.904153958968157e-27,-1.227729349753668e-27,0.0,-1.7360280384507746e-21,9.138899212476226e-25,0.0,6.930578407857514e-22,2.7240706703514056e-23
8.604135641273443e-07,0.0027344314106420324,0.1557,0.0,0.00436278224193256,0.638771517227699,0.2019,0.0,0.0,8.158546393799633e-18,0.0,-5.658534827344554e-18,6.987493347250837e-31,0.00011233325459966275,0.0,0.0,0.0,-1.3563017018539003e-18,0.0,-6.8557296807497175e-19,0.0,0.0,-1.686905569373186e-20,-2.0812332753280717e-25,0.0,-4.391806698706165e-19,0.0,0.003572316145004482,-3.9020825075788415e-27,-1.1613250422905448e-27,0.0,-1.7383470314711084e-21,9.12969858927564e-25,0.0,6.930578916513136e-22,2.7240863058461206e-23
8.656371969107795e-07,0.0027344314106420324,0.1557,0.0,0.00436277890005506,0.6387715138460341,0.2019,0.0,0.0,8.150078575086466e-18,0.0,-5.6659777414971774e-18,6.987023759117577e-31,0.00011233317502519897,0.0,0.0,0.0,-1.3563393158422344e-18,0.0,-6.695689907946734e-19,0.0,0.0,-1.649171660465931e-20,-2.0348185695028205e-25,0.0,-4.396094091031321e-19,0.0,0.003572319566456447,-3.900031677461667e-27,-1.0957281042502944e-27,0.0,-1.740614101835302e-21,9.120507003953874e-25,0.0,6.930579393802261e-22,2.7241010155233633e-23
8.708608296942148e-07,0.0027344314106420324,0.1557,0.0,0.004362775764266989,0.6387715106729127,0.2019,0.0,0.0,8.141621332005497e-18,0.0,-5.673252620204495e-18,6.9865510992187886e-31,0.00011233310035799163,0.0,0.0,0.0,-1.3563748138957032e-18,0.0,-6.537550907050517e-19,0.0,0.0,-1.6118848763280854e-20,-1.9889537303308097e-25,0.0,-4.400243781574337e-19,0.0,0.0035723227769117257,-3.8980012270247895e-27,-1.0309293036040654e-27,0.0,-1.742829860658815e-21,9.111324405428076e-25,0.0,6.930579841659078e-22,2.724114853803117e-23
8.7608446247765e-07,0.0027344314106420324,0.1557,0.0,0.004362772821858796,0.6387715076954732,0.2019,0.0,0.0,8.133174630749323e-18,0.0,-5.680361455759402e-18,6.986075475480478e-31,0.00011233303029541204,0.0,0.0,0.0,-1.3564082217457485e-18,0.0,-6.381290996517533e-19,0.0,0.0,-1.5750401171688518e-20,-1.943632487062934e-25,0.0,-4.404257437508136e-19,0.0,0.0035723257893824976,-3.895990918085716e-27,-9.669195142116462e-28,0.0,-1.744994912330379e-21,9.10215074599933e-25,0.0,6.930580261898513e-22,2.724127871935479e-23
8.813080952610852e-07,0.0027344314106420324,0.1557,0.0,0.004362770060904765,0.638771504901648,0.2019,0.0,0.0,8.12473843785316e-18,0.0,-5.687306217696663e-18,6.985596992889736e-31,0.0001123329645534947,0.0,0.0,0.0,-1.3564395648292522e-18,0.0,-6.226888742080487e-19,0.0,0.0,-1.5386323414078442e-20,-1.89884864045934e-25,0.0,-4.408136706927594e-19,0.0,0.0035723286160784474,-3.894000515786415e-27,-9.03689714507131e-28,0.0,-1.7471098545749755e-21,9.092985981129269e-25,0.0,6.930580656223574e-22,2.7241401181832125e-23
8.865317280445204e-07,0.0027344314106420324,0.1557,0.0,0.004362767470214662,0.6387715022801141,0.2019,0.0,0.0,8.116312720188073e-18,0.0,-5.694088853055306e-18,6.985115753567339e-31,0.00011233290286578154,0.0,0.0,0.0,-1.356468868291942e-18,0.0,-6.0743229538706e-19,0.0,0.0,-1.502656564993975e-20,-1.85459606197921e-25,0.0,-4.411883219069224e-19,0.0,0.0035723312684562618,-3.892029788511126e-27,-8.412309861344666e-28,0.0,-1.7491752785169624e-21,9.083830069216949e-25,0.0,6.930581026232265e-22,2.724151637993903e-23
8.917553608279556e-07,0.0027344314106420324,0.1557,0.0,0.004362765039288383,0.6387714998202461,0.2019,0.0,0.0,8.107897444954457e-18,0.0,-5.700711286637725e-18,6.984631856838596e-31,0.00011233284498225339,0.0,0.0,0.0,-1.356496156991749e-18,0.0,-5.923572683577449e-19,0.0,0.0,-1.467107860733649e-20,-1.8108686929396326e-25,0.0,-4.415498584528128e-19,0.0,0.0035723337572660693,-3.890078507822082e-27,-7.795345128454263e-28,0.0,-1.7511917687430698e-21,9.074682971427975e-25,0.0,6.930581373424048e-22,2.724162474162366e-23
8.969789936113908e-07,0.0027344314106420324,0.1557,0.0,0.004362762758273375,0.638771497512074,0.2019,0.0,0.0,8.099492579675795e-18,0.0,-5.7071754212655814e-18,6.984145399302542e-31,0.00011233279066831106,0.0,0.0,0.0,-1.356521455502128e-18,0.0,-5.774617221645616e-19,0.0,0.0,-1.4319813576279924e-20,-1.7676605436965968e-25,0.0,-4.418984395472277e-19,0.0,0.0035723360925950204,-3.8881464483852725e-27,-7.185915792664115e-28,0.0,-1.7531599033652545e-21,9.065544651513767e-25,0.0,6.930581699205927e-22,2.724172666983804e-23
9.02202626394826e-07,0.0027344314106420324,0.1557,0.0,0.004362760617924713,0.6387714953462432,0.2019,0.0,0.0,8.091098092192625e-18,0.0,-5.7134831380325565e-18,6.983656474899509e-31,0.00011233273970381564,0.0,0.0,0.0,-1.3565447881153324e-18,0.0,-5.627436094507318e-19,0.0,0.0,-1.3972722402185058e-20,-1.7249656928790597e-25,0.0,-4.422342225854183e-19,0.0,0.0035723382839081756,-3.886233387894393e-27,-6.583935695363805e-28,0.0,-1.7550802540836733e-21,9.056415075615763e-25,0.0,6.930582004898143e-22,2.724182254398248e-23
9.074262591782612e-07,0.0027344314106420324,0.1557,0.0,0.004362758609567617,0.6387714933139751,0.2019,0.0,0.0,8.082713950656749e-18,0.0,-5.719636296554001e-18,6.983165174977068e-31,0.00011233269188221062,0.0,0.0,0.0,-1.3565661788456487e-18,0.0,-5.4820090618504155e-19,0.0,0.0,-1.3629757479414615e-20,-1.6827782865745029e-25,0.0,-4.425573631619983e-19,0.0,0.003572340340086876,-3.88433910701852e-27,-5.989319662936218e-28,0.0,-1.75695338624941e-21,9.04729421213341e-25,0.0,6.930582291739527e-22,2.724191272126766e-23
9.126498919616964e-07,0.0027344314106420324,0.1557,0.0,0.004362756725062283,0.6387714914070336,0.2019,0.0,0.0,8.074340123525631e-18,0.0,-5.725636735213542e-18,6.98267158835444e-31,0.00011233264700968152,0.0,0.0,0.0,-1.3565856514325939e-18,0.0,-5.338316113921115e-19,0.0,0.0,-1.329087174490893e-20,-1.6410925375290221e-25,0.0,-4.428680150915986e-19,0.0,0.00357234226946474,-3.882463389337787e-27,-5.401983495362356e-28,0.0,-1.7587798589269042e-21,9.038182031582282e-25,0.0,6.930582560892518e-22,2.724199753799904e-23
9.178735247451316e-07,0.0027344314106420324,0.1557,0.0,0.004362754956770901,0.6387714896176896,0.2019,0.0,0.0,8.065976579557024e-18,0.0,-5.731486271406679e-18,6.982175801385367e-31,0.00011233260490435592,0.0,0.0,0.0,-1.3566032293440689e-18,0.0,-5.196337468860627e-19,0.0,0.0,-1.2956018671893611e-20,-1.5999027244289375e-25,0.0,-4.431663304292722e-19,0.0,0.0035723440798614485,-3.880606021270461e-27,-4.821843952369836e-28,0.0,-1.7605602249564755e-21,9.029078506416132e-25,0.0,6.930582813447884e-22,2.724207731078778e-23
9.230971575285668e-07,0.0027344314106420324,0.1557,0.0,0.004362753297526686,0.638771487938691,0.2019,0.0,0.0,8.057623287803745e-18,0.0,-5.73718670178146e-18,6.981677898019492e-31,0.00011233256539558341,0.0,0.0,0.0,-1.3566189357794775e-18,0.0,-5.0560535700752345e-19,0.0,0.0,-1.262515226366923e-20,-1.5592031911131828e-25,0.0,-4.43452459490655e-19,0.0,0.003572345778614435,-3.878766792031304e-27,-4.2488187441022005e-28,0.0,-1.762295031016544e-21,9.019983610926837e-25,0.0,6.930583050429119e-22,2.724215233769258e-23
9.28320790312002e-07,0.0027344314106420324,0.1557,0.0,0.0043627517406048255,0.6387714863632329,0.2019,0.0,0.0,8.04928021760866e-18,0.0,-5.74273980247623e-18,6.981177959862304e-31,0.00011233252832324463,0.0,0.0,0.0,-1.3566327936728042e-18,0.0,-4.917445083639228e-19,0.0,0.0,-1.2298227047483837e-20,-1.518988345782376e-25,0.0,-4.437265508718827e-19,0.0,0.0035723473726086323,-3.8769454935773274e-27,-3.6828265208859065e-28,0.0,-1.7639848176853752e-21,9.01089732114031e-25,0.0,6.93058327279661e-22,2.7242222899296084e-23
9.335444230954373e-07,0.0027344314106420324,0.1557,0.0,0.00436275027969524,0.6387714848849303,0.2019,0.0,0.0,8.040947338599822e-18,0.0,-5.7481473293545236e-18,6.9806760662336345e-31,0.00011233249353708152,0.0,0.0,0.0,-1.356644825695655e-18,0.0,-4.780492895729954e-19,0.0,0.0,-1.1975198068477374e-20,-1.479252660332326e-25,0.0,-4.439887514692713e-19,0.0,0.003572348868304381,-3.8751419205348634e-27,-3.1237868588708206e-28,0.0,-1.7656301195028957e-21,9.001819614647534e-25,0.0,6.930583481451528e-22,2.7242289259719576e-23
9.387680558788725e-07,0.0027344314106420324,0.1557,0.0,0.0043627489088769855,0.6387714834977916,0.2019,0.0,0.0,8.03262462068577e-18,0.0,-5.753411018237185e-18,6.980172294224781e-31,0.00011233246089610654,0.0,0.0,0.0,-1.3566550542602656e-18,0.0,-4.645178110094558e-19,0.0,0.0,-1.165602088370259e-20,-1.4399906695965714e-25,0.0,-4.442392064987631e-19,0.0,0.0035723502717636105,-3.873355870167298e-27,-2.5716202513467455e-28,0.0,-1.7672314650322374e-21,8.99275047052935e-25,0.0,6.93058367723946e-22,2.724235166757959e-23
9.439916886623077e-07,0.0027344314106420324,0.1557,0.0,0.004362747622594252,0.6387714821961948,0.2019,0.0,0.0,8.024312034050979e-18,0.0,-5.758532585131655e-18,6.979666718754279e-31,0.00011233243026803861,0.0,0.0,0.0,-1.3566635015224659e-18,0.0,-4.511482045547922e-19,0.0,0.0,-1.134065155622691e-20,-1.4011969705505866e-25,0.0,-4.444780595151397e-19,0.0,0.0035723515886744114,-3.8715871423320676e-27,-2.026248100021761e-28,0.0,-1.7687893769205656e-21,8.983689869291912e-25,0.0,6.930583860953865e-22,2.724241035688951e-23
9.492153214457429e-07,0.0027344314106420324,0.1557,0.0,0.004362746415633871,0.6387714809748649,0.2019,0.0,0.0,8.01600954915146e-18,0.0,-5.763513726458588e-18,6.979159412622345e-31,0.00011233240152873867,0.0,0.0,0.0,-1.3566701893846177e-18,0.0,-4.379386233501137e-19,0.0,0.0,-1.1029046649301137e-20,-1.3628662217016003e-25,0.0,-4.447054524310108e-19,0.0,0.0035723528243740933,-3.869835539404514e-27,-1.4875926998666668e-28,0.0,-1.7703043719599913e-21,8.974637792698598e-25,0.0,6.930584033339261e-22,2.7242465547909384e-23
9.54438954229178e-07,0.0027344314106420324,0.1557,0.0,0.004362745283104162,0.6387714798288515,0.2019,0.0,0.0,8.007717136710483e-18,0.0,-5.768356119275751e-18,6.978650446564001e-31,0.0001123323745617238,0.0,0.0,0.0,-1.3566751394985074e-18,0.0,-4.2488724155200287e-19,0.0,0.0,-1.0721163220598548e-20,-1.3249931423699794e-25,0.0,-4.449215255355754e-19,0.0,0.0035723539838708167,-3.8681008662532286e-27,-9.555772308084221e-29,0.0,-1.77177696114828e-21,8.965594223711392e-25,0.0,6.930584195094267e-22,2.724251744794692e-23
9.596625870126132e-07,0.0027344314106420324,0.1557,0.0,0.0043627442204150985,0.6387714787535106,0.2019,0.0,0.0,7.999434767714433e-18,0.0,-5.773061421499287e-18,6.9781398893009846e-31,0.00011233234925771259,0.0,0.0,0.0,-1.3566783732682148e-18,0.0,-4.1199225409134844e-19,0.0,0.0,-1.0416958816534348e-20,-1.2875725118697492e-25,0.0,-4.45126417513165e-19,0.0,0.003572355071863891,-3.8663829302107256e-27,-4.3012575102034917e-29,0.0,-1.7732076497486115e-21,8.956559146470608e-25,0.0,6.930584346874415e-22,2.7242566252112297e-23
9.648862197960483e-07,0.0027344314106420324,0.1557,0.0,0.004362743223259735,0.6387714777444834,0.2019,0.0,0.0,7.991162413408799e-18,0.0,-5.7776312721223466e-18,6.977627807592379e-31,0.00011233232551414555,0.0,0.0,0.0,-1.3566799118529405e-18,0.0,-3.992518764350788e-19,0.0,0.0,-1.0116391466647724e-20,-1.2505991689578708e-25,0.0,-4.453202654615646e-19,0.0,0.003572356092762823,-3.864681540990786e-27,8.883681930304635e-30,0.0,-1.7745969373493854e-21,8.947532546120822e-25,0.0,6.930584489294813e-22,2.724261214402947e-23
9.701098525794834e-07,0.0027344314106420324,0.1557,0.0,0.004362742287596732,0.6387714767976808,0.2019,0.0,0.0,7.982900045294257e-18,0.0,-5.782067291431184e-18,6.977114266284058e-31,0.00011233230323478278,0.0,0.0,0.0,-1.3566797761698012e-18,0.0,-3.8666434435076106e-19,0.0,0.0,-9.819419678047388e-21,-1.2140680111710045e-25,0.0,-4.455032049101256e-19,0.0,0.0035723570507051887,-3.862996510668843e-27,6.013847063250736e-29,0.0,-1.7759453179240013e-21,8.938514408758044e-25,0.0,6.93058462293264e-22,2.724265529650658e-23
9.753334853629185e-07,0.0027344314106420324,0.1557,0.0,0.004362741409633954,0.6387714759092653,0.2019,0.0,0.0,7.974647635122895e-18,0.0,-5.786371081218677e-18,6.976599328356939e-31,0.00011233228232934462,0.0,0.0,0.0,-1.3566779868965953e-18,0.0,-3.742279136740444e-19,0.0,0.0,-9.526002429937737e-21,-1.1779739939580478e-25,0.0,-4.456753698376582e-19,0.0,0.0035723579495734034,-3.861327653670198e-27,1.107591286587557e-28,0.0,-1.7772532798894242e-21,8.929504721461916e-25,0.0,6.9305847483294845e-22,2.724269587216752e-23
9.805571181463536e-07,0.0027344314106420324,0.1557,0.0,0.004362740585813141,0.6387714750756365,0.2019,0.0,0.0,7.9664051548945e-18,0.0,-5.7905442249953616e-18,6.976083054974123e-31,0.00011233226271310162,0.0,0.0,0.0,-1.356674564474531e-18,0.0,-3.619408600788771e-19,0.0,0.0,-9.236099168204984e-21,-1.142312130187728e-25,0.0,-4.45836892690121e-19,0.0,0.003572358793010461,-3.859674786677674e-27,1.6075291045160852e-28,0.0,-1.7785213061647072e-21,8.92050347211054e-25,0.0,6.930584865993533e-22,2.724273402404709e-23
9.857807509297887e-07,0.0027344314106420324,0.1557,0.0,0.004362739812795477,0.6387714742934153,0.2019,0.0,0.0,7.958172576852996e-18,0.0,-5.794588288198006e-18,6.975565505526845e-31,0.0001123322443065356,0.0,0.0,0.0,-1.3566695291109274e-18,0.0,-3.498014788504503e-19,0.0,0.0,-8.949669800058354e-21,-1.1070774895688846e-25,0.0,-4.459879043981036e-19,0.0,0.0035723595844346914,-3.858037728613069e-27,2.1012698815836323e-28,0.0,-1.7797498742297724e-21,8.911510649318863e-25,0.0,6.930584976401642e-22,2.7242769896151725e-23
9.910043837132238e-07,0.0027344314106420324,0.1557,0.0,0.004362739087448012,0.6387714735594323,0.2019,0.0,0.0,7.949949873482922e-18,0.0,-5.798504818395742e-18,6.975046737679374e-31,0.00011233222703506555,0.0,0.0,0.0,-1.35666290078188e-18,0.0,-3.37808084660869e-19,0.0,0.0,-8.666674688752815e-21,-1.0722651977050841e-25,0.0,-4.46128534394103e-19,0.0,0.003572360327053625,-3.856416300648543e-27,2.5888845167684063e-28,0.0,-1.7809394561827148e-21,8.902526242535023e-25,0.0,6.930585080001255e-22,2.7242803623987786e-23
9.96228016496659e-07,0.0027344314106420324,0.1557,0.0,0.0043627384068310225,0.638771472870712,0.2019,0.0,0.0,7.941737017506049e-18,0.0,-5.8022953454937595e-18,6.97452680741285e-31,0.0001123322108286951,0.0,0.0,0.0,-1.3566546992348981e-18,0.0,-3.259590113474787e-19,0.0,0.0,-8.387074648371308e-21,-1.0378704356507433e-25,0.0,-4.462589106295992e-19,0.0,0.0035723610238769846,-3.8548103261018205e-27,3.070443105407475e-28,0.0,-1.7820905187968678e-21,8.893550241841967e-25,0.0,6.930585177212228e-22,2.7242835335059235e-23
9.999999999999997e-07,0.0027344314106420324,0.1557,0.0,0.004362737941606542,0.6387714723999487,0.2019,0.0,0.0,7.935812624410492e-18,0.0,-5.804954993639875e-18,6.974150673909805e-31,0.00011233219975109223,0.0,0.0,0.0,-1.3566478097527723e-18,0.0,-3.1749160288511676e-19,0.0,0.0,-8.187264610668873e-21,-1.0132909044732641e-25,0.0,-4.463467512659515e-19,0.0,0.0035723615001790683,-3.8536601622254065e-27,3.414450101403318e-28,0.0,-1.7828980113706464e-21,8.887073896010005e-25,0.0,6.930585243659242e-22,2.7242857047627243e-23
1.001451649280094e-06,0.0027344314106420324,0.1557,0.0,0.004362737768186093,0.6387714722244636,0.2019,0.0,0.0,7.933533981878052e-18,0.0,-5.805961381934717e-18,6.974005769068025e-31,0.00011233219562171873,0.0,0.0,0.0,-1.3566449439915085e-18,0.0,-3.1425261169379037e-19,0.0,0.0,-8.110830938651776e-21,-1.003888439458806e-25,0.0,-4.46379159591938e-19,0.0,0.0035723616777288913,-3.853219630412617e-27,3.546014950224762e-28,0.0,-1.7832035235785274e-21,8.884582637866997e-25,0.0,6.930585268428527e-22,2.72428651493365e-23
1.0066752820635291e-06,0.0027344314106420324,0.1557,0.0,0.004362737168924877,0.6387714716180678,0.2019,0.0,0.0,7.925340739785287e-18,0.0,-5.8095044228977234e-18,6.973483675386995e-31,0.00011233218135252414,0.0,0.0,0.0,-1.3566336543498318e-18,0.0,-3.026872572130233e-19,0.0,0.0,-7.837905259896776e-21,-9.703144991233853e-26,0.0,-4.4648940632101165e-19,0.0,0.003572362291259303,-3.851644041184698e-27,4.0156685571529475e-28,0.0,-1.7842789268229926e-21,8.875623421957098e-25,0.0,6.930585354019818e-22,2.7242893179698056e-23
1.0118989148469642e-06,0.0027344314106420324,0.1557,0.0,0.004362736606618652,0.638771471049067,0.2019,0.0,0.0,7.917157264641612e-18,0.0,-5.812925946495038e-18,6.9729605775540025e-31,0.00011233216796329053,0.0,0.0,0.0,-1.3566208493871266e-18,0.0,-2.9126133793420053e-19,0.0,0.0,-7.56825974794498e-21,-9.371439581591212e-26,0.0,-4.46589774425748e-19,0.0,0.00357236286695476,-3.850083388067027e-27,4.479471655338529e-28,0.0,-1.785317179669989e-21,8.86667258597042e-25,0.0,6.930585434332976e-22,2.724291953234649e-23
1.0171225476303993e-06,0.0027344314106420324,0.1557,0.0,0.004362736078988516,0.6387714705151551,0.2019,0.0,0.0,7.908983530085336e-18,0.0,-5.8162274139665365e-18,6.972436525235147e-31,0.00011233215539972149,0.0,0.0,0.0,-1.356606547962305e-18,0.0,-2.7997326219071854e-19,0.0,0.0,-7.301856969175193e-21,-9.043722133407749e-26,0.0,-4.466803861004125e-19,0.0,0.003572363407148464,-3.8485375027159336e-27,4.9374912116089625e-28,0.0,-1.7863187281603045e-21,8.857730122129262e-25,0.0,6.930585509693486e-22,2.724294430720034e-23
1.0223461804138344e-06,0.0027344314106420324,0.1557,0.0,0.004362735583896054,0.6387714700141681,0.2019,0.0,0.0,7.900819509976184e-18,0.0,-5.819410269871872e-18,6.971911566617182e-31,0.00011233214361091704,0.0,0.0,0.0,-1.3565907687184202e-18,0.0,-2.688214564114335e-19,0.0,0.0,-7.038659915593288e-21,-8.719947134992745e-26,0.0,-4.467613621407191e-19,0.0,0.003572363914029731,-3.847006218877408e-27,5.389793420413569e-28,0.0,-1.7872840132905972e-21,8.848796023291792e-25,0.0,6.9305855804067615e-22,2.724296759826308e-23
