Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(48),CH2O2X(49),CH3OX(44),CH3X(50),CH4(39),CH4X(236),CH3O2X(47),CH4O2(169),H(23),HCO(31),OCHCO(260),SX(257),CH2OX(167),CHOX(166),SX(186),C2H6O(234),SX(408)
1.5174252017275387e-10,0.0005555851823910342,0.0915567593028733,0.0,0.0012500159171719611,0.45118682771429,1.0634848124701247e-37,0.4569006123311299,1.220274796336581e-18,2.406821655146429e-27,7.867478738197239e-14,2.019245083256465e-27,1.0872601577456942e-38,5.854124609362046e-05,2.988532396436155e-20,1.5744076278823884e-21,7.006827437699099e-19,1.9516340730732596e-18,9.81645949399422e-12,7.830298754713905e-22,9.368783479246641e-24,1.816185566490963e-15,1.6387929259681901e-25,3.338004908957288e-30,2.1625196545517643e-31,1.1366702060934068e-28,0.0003265300186832065,1.6764902083403624e-19,3.8242853681992656e-30,2.1844202403291233e-20,-7.255188196920798e-25,-2.2047763673227993e-20,7.739533252128771e-26,5.156661948933662e-25,8.742631104092058e-24,1.9670900840261764e-38,3.4017200877332842e-81,2.211944756215531e-24,2.0506013497748033e-31,8.961381898571761e-31,1.3195922221741246e-33,4.698104373810393e-43,7.325839958576361e-45
1.5200826306645382e-10,0.0005555851823910342,0.0915567593028733,0.0,0.0012495543220202752,0.451186356777148,1.0679403652827693e-37,0.45690061233111456,1.223002857024653e-18,2.4205266571899153e-27,7.883715246764086e-14,2.034701795523704e-27,1.1304376631617028e-38,5.8522562084345546e-05,2.9977931843715456e-20,1.5743253651538082e-21,7.013668854021313e-19,1.9551359196472983e-18,9.831597286666362e-12,7.859102923389189e-22,9.373715248675393e-24,1.816178974593464e-15,1.6479275113030099e-25,3.3567550268876894e-30,2.1664075399201526e-31,1.1453278122656021e-28,0.00032701029782955103,1.6793904622782176e-19,3.848295146120279e-30,-1.9258051779131975e-20,-3.028812401975688e-25,1.9040955631314054e-20,7.753180997187991e-26,5.177352551530842e-25,8.76019726879326e-24,1.9785298660285914e-38,3.4360683038084513e-81,2.2207859750009648e-24,2.056945928099044e-31,8.988758187605603e-31,1.3164277300296453e-33,4.866949293482056e-43,6.737003381428362e-45
1.5227400596015376e-10,0.0005555851823910342,0.0915567593028733,0.0,0.0012490930087501694,0.451185886114809,1.0724051022806293e-37,0.45690061233109924,1.225731678775349e-18,2.4342776980604852e-27,7.899946511518845e-14,2.0502403129448234e-27,1.0463007425659569e-38,5.850386391453226e-05,3.007064815434329e-20,1.5742437792459898e-21,7.020490280920939e-19,1.95863663364236e-18,9.84672918154001e-12,7.887945135207926e-22,9.378643180145183e-24,1.816172372405966e-15,1.6570919962799343e-25,3.3755670743723655e-30,2.170291618881005e-31,1.1540308013765345e-28,0.00032749030925332504,1.682287365950588e-19,3.8723996201096826e-30,2.0639873141449e-20,-7.439084809124551e-25,-2.0831048477192053e-20,7.766813056430697e-26,5.198073348455752e-25,8.777757582700575e-24,1.9900116620949413e-38,3.4706889998020805e-81,2.2296398901805783e-24,2.0632956632687498e-31,9.016158383937083e-31,1.1692569383699975e-33,4.5693234248975416e-43,4.62056900015364e-45
1.525397488538537e-10,0.0005555851823910342,0.0915567593028733,0.0,0.0012486319769405335,0.4511854157269808,1.0768790204959468e-37,0.4569006123310839,1.2284612581456925e-18,2.448074809183961e-27,7.916172528516341e-14,2.0658608510921194e-27,1.0789359966646875e-38,5.848515184821779e-05,3.016347274445955e-20,1.57416287156631e-21,7.027291757616053e-19,1.9621362153954675e-18,9.861855182160219e-12,7.916825304205878e-22,9.38356549762466e-24,1.8161657600196695e-15,1.666286398851847e-25,3.394439703792148e-30,2.174171893678141e-31,1.1627792940484572e-28,0.0003279700531145353,1.6851809214238659e-19,3.896598916815262e-30,-2.3112232131968934e-20,-3.0472849538536566e-25,2.2910911875695304e-20,7.780429439486627e-26,5.218824270968863e-25,8.795312041811744e-24,2.0015355275117067e-38,3.5055837252000865e-81,2.2385064716565196e-24,2.06965054138717e-31,9.043582419090453e-31,1.1614455331683207e-33,4.6991678316727405e-43,4.3166840391800773e-45
1.5280549174755365e-10,0.0005555851823910342,0.0915567593028733,0.0,0.0012481712261704777,0.4511849456133729,1.081362116958752e-37,0.4569006123310687,1.2311915917018169e-18,2.46191802179932e-27,7.932393293885178e-14,2.0815636322351413e-27,1.233102099077581e-38,5.846642614655042e-05,3.0256405474012463e-20,1.5740826276867817e-21,7.034073323295642e-19,1.965634665245756e-18,9.876975292066827e-12,7.945743344542489e-22,9.388480843015851e-24,1.816159137524876e-15,1.6755107368340163e-25,3.413373303375966e-30,2.1780483665556474e-31,1.1715734101074758e-28,0.0003284495295729846,1.688071130783334e-19,3.920893162525723e-30,-4.941030171836779e-22,-4.1017000413113673e-25,2.46448535324779e-22,7.794030156063796e-26,5.239605250460733e-25,8.812860642203706e-24,2.0131015174398995e-38,3.540754034567419e-81,2.2473856893881402e-24,2.0760105487937626e-31,9.071030224590872e-31,1.2920072267809186e-33,5.2745091380477504e-43,5.644144470085337e-45
1.530712346412536e-10,0.0005555851823910342,0.0915567593028733,0.0,0.0012477107560217569,0.4511844757736969,1.0858543886969055e-37,0.45690061233105345,1.2339226760131726e-18,2.47580736695924e-27,7.948608803826933e-14,2.097348883285704e-27,1.4776217952417055e-38,5.844768706779405e-05,3.034944620491199e-20,1.5740030386613852e-21,7.040835017062017e-19,1.9691319835344406e-18,9.892089514794466e-12,7.974699170500643e-22,9.393392370935694e-24,1.8161525050109554e-15,1.6847650278679557e-25,3.4323697542798434e-30,2.1819210397952977e-31,1.1804132712987052e-28,0.0003289287387882733,1.6909579961316693e-19,3.945282483170199e-30,-2.1592181713496302e-20,-3.524461908507294e-26,2.127059533237071e-20,7.807615215948287e-26,5.260416218451887e-25,8.830403380031735e-24,2.024709686915249e-38,3.5762014875500834e-81,2.2562775133919447e-24,2.082375671761042e-31,9.098501732218443e-31,1.5217717484901608e-33,6.187094479771048e-43,7.927496615373828e-45
1.5333697753495354e-10,0.0005555851823910342,0.0915567593028733,0.0,0.00124725056607628,0.4511840062076654,1.0903558327361405e-37,0.4569006123310382,1.2366545076521848e-18,2.489742875530619e-27,7.964819054615355e-14,2.1132168385760644e-27,1.5398724023324863e-38,5.8428934867386524e-05,3.044259481077062e-20,1.5739240919220634e-21,7.047576877927364e-19,1.9726281706047963e-18,9.907197853872592e-12,8.00369269648686e-22,9.39830153263757e-24,1.8161458625663993e-15,1.6940492895411204e-25,3.451427052600911e-30,2.185789915688538e-31,1.1892989989958685e-28,0.0003294076809197993,1.693841519588859e-19,3.9697670043196194e-30,1.819520658834559e-20,-3.694577126703641e-25,-1.8535320790914378e-20,7.821184629003721e-26,5.281257106592678e-25,8.84794025152856e-24,2.0363600908483809e-38,3.611927648877151e-81,2.2651819137415248e-24,2.088745896314092e-31,9.125996874146777e-31,1.532240568064124e-33,6.427007822829085e-43,7.505696178172886e-45
1.5360272042865348e-10,0.0005555851823910342,0.0915567593028733,0.0,0.0012467906559239415,0.45118353691499297,1.0948664461001005e-37,0.4569006123310229,1.2393870831989159e-18,2.5037245781951733e-27,7.981024042595552e-14,2.1291677098380597e-27,1.5592702318277424e-38,5.8410169797887507e-05,3.053585114563217e-20,1.5738457932994268e-21,7.054298944860058e-19,1.9761232268021272e-18,9.922300312825548e-12,8.032723837030311e-22,9.403200963153313e-24,1.8161392102786857e-15,1.7033635393949731e-25,3.470542350967977e-30,2.189654996551174e-31,1.198230709480536e-28,0.0003298863561267611,1.6967217032881246e-19,3.994346851181499e-30,-1.5800322938243018e-20,-3.288979998702759e-26,1.5454167096427922e-20,7.834738405170093e-26,5.302127846663235e-25,8.865471253003515e-24,2.0480527840249965e-38,3.647934088362735e-81,2.2740988605675357e-24,2.095121208729155e-31,9.153515582519599e-31,1.4920930992383671e-33,6.513325583000246e-43,6.531400007188737e-45
1.5386846332235343e-10,0.0005555851823910342,0.0915567593028733,0.0,0.0012463310251551176,0.4511830678953958,1.099386225810383e-37,0.45690061233100765,1.2421203992438313e-18,2.517752505449867e-27,7.997223764183216e-14,2.1452017222018287e-27,1.4643971562145177e-38,5.8391392109089105e-05,3.062921507366839e-20,1.5737681317468826e-21,7.061001256811947e-19,1.9796171524737483e-18,9.937396895172577e-12,8.06179250678426e-22,9.408090898693539e-24,1.8161325482344304e-15,1.7127077946494812e-25,3.489722059005236e-30,2.193516284707198e-31,1.2072085227086472e-28,0.0003303647645681579,1.6995985493803683e-19,4.0190221486079794e-30,1.61549289620395e-20,-4.044402535004647e-25,-1.6472319964565506e-20,7.848276554462075e-26,5.323028370573197e-25,8.882996380841668e-24,2.0597878211060542e-38,3.6842223809079433e-81,2.283028324057581e-24,2.101501595636283e-31,9.181057789385584e-31,1.327462155414155e-33,6.170113083928095e-43,4.288112649556772e-45
1.5413420621605337e-10,0.0005555851823910342,0.0915567593028733,0.0,0.0012458716733667965,0.4511825991485916,1.1039151688865773e-37,0.4569006123309924,1.2448544523867621e-18,2.5318266876075223e-27,8.013418215863816e-14,2.161319108433527e-27,1.490212153158757e-38,5.83726020479835e-05,3.072268644468955e-20,1.5736911059487792e-21,7.067683852707837e-19,1.9831099479689645e-18,9.952487604427932e-12,8.090898620524604e-22,9.41298897347662e-24,1.816125876519282e-15,1.7220820723095803e-25,3.508969961652689e-30,2.197373782512891e-31,1.2162325687666475e-28,0.0003308429064027932,1.7024720600292656e-19,4.043793021087463e-30,-1.735270127795846e-20,-6.843663577454399e-26,1.7027442732891073e-20,7.861799086967513e-26,5.34395861036169e-25,8.900515631503e-24,2.0715652566279533e-38,3.7207941065028066e-81,2.291970274456199e-24,2.107887043376662e-31,9.20862342722436e-31,1.3076581893975139e-33,6.276209892412566e-43,3.983459270863077e-45
1.5439994910975332e-10,0.0005555851823910342,0.0915567593028733,0.0,0.0012454126001539801,0.4511821306742994,1.108453272346303e-37,0.4569006123309771,1.2475892392328715e-18,2.5459471547971993e-27,8.029607394191858e-14,2.1775200934872055e-27,1.459846011550984e-38,5.835379985888166e-05,3.0816265128200765e-20,1.5736146982214158e-21,7.074346771405298e-19,1.9866016136390414e-18,9.967572444100818e-12,8.120042093152333e-22,9.417887874445462e-24,1.816119195218092e-15,1.7314863897577265e-25,3.528269876004119e-30,2.201227492324893e-31,1.2253029654726539e-28,0.0003313207817892737,1.7053422374180789e-19,4.068659592755216e-30,1.7381020502526543e-20,-4.199009861903159e-25,-1.7697046338850168e-20,7.875306012846517e-26,5.364918498196985e-25,8.918029001521557e-24,2.0833851450027116e-38,3.7576508502281796e-81,2.3009246820647127e-24,2.114277537894755e-31,9.236212429030692e-31,1.2272093052641701e-33,6.1645487436359724e-43,3.068654802896941e-45
1.5466569200345326e-10,0.0005555851823910342,0.0915567593028733,0.0,0.0012449538051162374,0.45118166247224034,1.113000533205251e-37,0.45690061233096185,1.2503247563901237e-18,2.5601139369648187e-27,8.0457912957901e-14,2.193804885471428e-27,1.3377236865190668e-38,5.833498578337437e-05,3.0909950987242276e-20,1.573538905741654e-21,7.080990051669553e-19,1.990092149837182e-18,9.982651417695475e-12,8.149222839692099e-22,9.422755723542002e-24,1.8161125044147995e-15,1.740920763985743e-25,3.547629945839421e-30,2.2050774165385496e-31,1.2344198236276973e-28,0.0003317983908860113,1.7082090837439278e-19,4.093621987389987e-30,3.146885237033004e-22,-3.4117898058534753e-25,-5.947452441977969e-22,7.888797342331515e-26,5.385907966376487e-25,8.935536487504649e-24,2.095247540518149e-38,3.7947942022576203e-81,2.309891517241222e-24,2.1206730658389225e-31,9.263824727394202e-31,1.0457418504238707e-33,5.704646263082527e-43,1.068423299357409e-45
1.549314348971532e-10,0.0005555851823910342,0.0915567593028733,0.0,0.00124449528785654,0.4511811945421365,1.1175569484772189e-37,0.4569006123309466,1.2530610004744695e-18,2.5743270638736564e-27,8.061969917348807e-14,2.2101737377602235e-27,1.1323531655153458e-38,5.831616006037449e-05,3.1003743882873377e-20,1.573463725704411e-21,7.087613732224913e-19,1.9935815569185042e-18,9.997724528711212e-12,8.178440775292157e-22,9.427612764798686e-24,1.8161058041924622e-15,1.7503852110890835e-25,3.567070513198031e-30,2.2089235575494356e-31,1.243583280756844e-28,0.0003322757338512245,1.7110726012181057e-19,4.1186803284153336e-30,1.5075366606108498e-20,-6.225053762952717e-25,-1.5294512473330945e-20,7.902273085726036e-26,5.40692694732655e-25,8.953038086132015e-24,2.1071524973380713e-38,3.8322257578592417e-81,2.3188707504005272e-24,2.1270736141048635e-31,9.291460254900886e-31,7.731547411327431e-34,4.925830734200504e-43,-1.756128931740629e-45
1.5519717779085315e-10,0.0005555851823910342,0.0915567593028733,0.0,0.0012440370479832297,0.45118072688371175,1.1221225151741525e-37,0.45690061233093143,1.2557979681124092e-18,2.5885865651048626e-27,8.078143255624995e-14,2.2266268709293364e-27,1.0667448874181639e-38,5.829732292612485e-05,3.109764366626296e-20,1.57338915812429e-21,7.094217851780151e-19,1.997069835240021e-18,1.0012791780642454e-11,8.207695815224185e-22,9.432522963079009e-24,1.8160990946332324e-15,1.759879748275706e-25,3.586559428545848e-30,2.2127659177774364e-31,1.2527934596074377e-28,0.00033275281084294055,1.713932792065942e-19,4.143834738890445e-30,-1.2379619525082831e-20,-4.069201612245125e-25,1.2179783138263012e-20,7.915733253403142e-26,5.427975373602339e-25,8.970533794155034e-24,2.1191000695024467e-38,3.8699471173975406e-81,2.327862352014058e-24,2.1334791687478404e-31,9.319118945018648e-31,6.708970475718621e-34,4.676996375852329e-43,-2.3623732641872578e-45
1.554629206845531e-10,0.0005555851823910342,0.0915567593028733,0.0,0.001243579085103688,0.4511802594966914,1.126697230306181e-37,0.4569006123309162,1.2585356559380969e-18,2.6028924700579196e-27,8.094311307441706e-14,2.2431644142562744e-27,1.0447718595780484e-38,5.8278474614294684e-05,3.119165020365581e-20,1.573315186591527e-21,7.100802448999534e-19,2.0005569851606117e-18,1.0027853176978741e-11,8.23698787488528e-22,9.437416898712274e-24,1.816092375818481e-15,1.7694043937452864e-25,3.6060690782325216e-30,2.216604499657119e-31,1.2620504247435497e-28,0.00033322962201899484,1.7167896585298077e-19,4.169085341524105e-30,1.0137482978802306e-20,-6.363671111203785e-25,-1.0330649001268233e-20,7.929177855804376e-26,5.449053177887566e-25,8.988023608395915e-24,2.1310903109275935e-38,3.907959886335206e-81,2.3368662926097655e-24,2.1398897157866585e-31,9.34680073141497e-31,6.234161917179194e-34,4.5886297272608455e-43,-2.2393441728740624e-45
1.5572866357825304e-10,0.0005555851823910342,0.0915567593028733,0.0,0.001243121398829782,0.45117979238080236,1.1312810908816556e-37,0.456900612330901,1.2612740605900632e-18,2.6172448079512094e-27,8.110474069687255e-14,2.2597866033372154e-27,1.1170521465071427e-38,5.8259615355950405e-05,3.1285763354690413e-20,1.5732418065073107e-21,7.107367562470229e-19,2.0040430070410085e-18,1.0042908721204811e-11,8.266316869797167e-22,9.442173798560524e-24,1.8160856478287052e-15,1.7789591622231174e-25,3.6256901332855196e-30,2.2204393056456766e-31,1.271354304222833e-28,0.0003337061675370339,1.7196432028653175e-19,4.194432258677433e-30,-9.765436932434377e-21,-3.9811498000732604e-25,9.550800405640726e-21,7.942606903439236e-26,5.470160292994425e-25,9.005507525746923e-24,2.1431232754063583e-38,3.9462656752348893e-81,2.3458825427720894e-24,2.1463052425462095e-31,9.374505546861419e-31,6.82233989059854e-34,4.861609623529879e-43,-9.261223153514507e-46
1.5599440647195298e-10,0.0005555851823910342,0.0915567593028733,0.0,0.001242663988773442,0.45117932553577295,1.1358740939071829e-37,0.4569006123308858,1.2640131787109742e-18,2.6316436078224222e-27,8.126631539314538e-14,2.2764938855439534e-27,1.1052955701742907e-38,5.824074537962884e-05,3.1379982989782277e-20,1.5731690081267517e-21,7.113913230699883e-19,2.00752790124376e-18,1.0057958416800558e-11,8.295682715605163e-22,9.447005239702007e-24,1.8160789107436216e-15,1.7885440670589493e-25,3.645446412935266e-30,2.2242703382074067e-31,1.280705342985259e-28,0.0003341824475545145,1.7224934273447026e-19,4.219875612355548e-30,1.0051054677203593e-20,-5.942504943094652e-25,-1.026218672154694e-20,7.956020406884794e-26,5.49129665186333e-25,9.022985543169603e-24,2.1551990166083028e-38,3.9848660997609715e-81,2.3549110731418417e-24,2.1527257361794223e-31,9.402233324494341e-31,6.425954085093911e-34,4.8120740473699234e-43,-9.28045964008694e-46
1.5626014936565293e-10,0.0005555851823910342,0.0915567593028733,0.0,0.001242206854552764,0.4511788589613327,1.1404762363876665e-37,0.4569006123308706,1.2667530069510393e-18,2.6460888985291985e-27,8.142783713340304e-14,2.2932863642373873e-27,1.1254890697057411e-38,5.822186491130248e-05,3.1474308965854024e-20,1.5730967940596977e-21,7.120439492150506e-19,2.0110116681332212e-18,1.0073002267241134e-11,8.325085328077016e-22,9.452116418620589e-24,1.8160721646420527e-15,1.7981591297441894e-25,3.6651201945011085e-30,2.228097599835562e-31,1.2901035946087904e-28,0.0003346584622287066,1.7253403342511561e-19,4.245415524187878e-30,-9.618356656834823e-21,-3.940582872895493e-25,9.401204603378819e-21,7.969418376784792e-26,5.512462187562885e-25,9.040457657694003e-24,2.1673175880798788e-38,4.0237627806812813e-81,2.3639518544161922e-24,2.1591511821268106e-31,9.429983999038311e-31,6.384716490891373e-34,4.8906923174702335e-43,-5.797971530376427e-46
