Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(48),CH2O2X(49),CH3OX(44),CH3X(50),CH4(39),CH4X(236),CH3O2X(47),CH4O2(169),H(23),HCO(31),OCHCO(260),SX(257),CH2OX(167),CHOX(166),SX(186),C2H6O(234)
0.025031212471671272,0.00053584454179025,0.0915567593028733,0.0,0.00039421648904807853,0.45036711200239354,5.897038085692162e-23,0.4568986183062796,3.3789488694570504e-07,1.2319613193831194e-12,1.7107745488347848e-06,1.9504017425666864e-07,3.51185308040133e-15,1.954543865780409e-05,3.6201979011292515e-11,1.040709264156574e-17,2.6596308538172946e-11,3.2849254131142995e-08,2.2896768423311725e-10,1.805223953842402e-11,3.142343969319146e-23,1.6361089376773296e-14,5.002596611479481e-13,1.2711773392675104e-17,1.2178630110664096e-24,1.6673163491541018e-10,0.0011631946123022573,1.4344014098911103e-12,1.5273779431075638e-11,9.217959767187522e-22,5.432984980597331e-08,6.033801659408123e-10,1.0987737154081862e-18,5.260922005352125e-12,1.7875140772541642e-22,2.443448607807489e-25,2.3027614644359165e-53,6.505132464461739e-14,1.7849113208910273e-21,7.209116927590976e-21,5.085285727628606e-22,2.4129776738828904e-19
0.02509831989396315,0.00053584454179025,0.0915567593028733,0.0,0.000394216452593117,0.4503671055155569,5.924258839999111e-23,0.45689861434306644,3.3955552226681534e-07,1.2353749474352363e-12,1.713433841746909e-06,1.95828551205366e-07,3.531367303574293e-15,1.9545436709589688e-05,3.626323382230412e-11,1.042806951614834e-17,2.6727011678494207e-11,3.3007094177783596e-08,2.2896766125952714e-10,1.80863650084084e-11,3.1423536787086676e-23,1.6385146199421667e-14,5.020206289371842e-13,1.275733367683274e-17,1.2197568875875316e-24,1.6740556654110196e-10,0.0011631944879832655,1.4366309650511751e-12,1.533551637020409e-11,9.27369103470527e-22,5.468285116840517e-08,6.07296441525193e-10,1.1004871029891805e-18,5.26914463605772e-12,1.7875140647984116e-22,2.4480679826212403e-25,2.317764190831665e-53,6.515297551785367e-14,1.7882839408915707e-21,7.222738731754358e-21,5.128043308552591e-22,2.4376981124809706e-19
0.02516542731625503,0.00053584454179025,0.0915567593028733,0.0,0.0003942164161217485,0.45036709902864336,5.951522668611645e-23,0.4568986103849808,3.4121949628225844e-07,1.2387892006635246e-12,1.716085985288252e-06,1.9661757990592527e-07,3.5509334345851973e-15,1.9545434760558023e-05,3.632439683316069e-11,1.0449012006992223e-17,2.6857977560864137e-11,3.3164986930047584e-08,2.2896763827943224e-10,1.8120464045330568e-11,3.142363358952703e-23,1.6409138337587376e-14,5.03782732753047e-13,1.2802923387717364e-17,1.221645671726584e-24,1.680800551827352e-10,0.0011631943636136119,1.4388545253406642e-12,1.539730433653483e-11,9.329608356772818e-22,5.503715500960554e-08,6.112271504982081e-10,1.1021958835606805e-18,5.2773451604869925e-12,1.7875140523420086e-22,2.452683556743525e-25,2.3328212142159195e-53,6.525435306700786e-14,1.7916539400250936e-21,7.236349950644902e-21,5.170995966934961e-22,2.4625984884106956e-19
0.02523253473854691,0.00053584454179025,0.0915567593028733,0.0,0.0003942163796335806,0.45036709254163865,5.978829464783209e-23,0.45689860643200886,3.428868044672088e-07,1.242204148281447e-12,1.7187309986772437e-06,1.9740725728674063e-07,3.570551458228797e-15,1.9545432810694365e-05,3.6385464965127496e-11,1.046993448279472e-17,2.6989205832206e-11,3.3322929116190865e-08,2.2896761529238137e-10,1.8154535395806528e-11,3.142373010137896e-23,1.6433065965200417e-14,5.055459599094317e-13,1.284854221800519e-17,1.2235293771776227e-24,1.6875509821544916e-10,0.0011631942391969725,1.4410721068721103e-12,1.5459143089630057e-11,9.385711832499929e-22,5.5392762229140625e-08,6.151723028709018e-10,1.1039000695132213e-18,5.285523638064492e-12,1.7875140398853182e-22,2.457295688368964e-25,2.3479306849631613e-53,6.535545802722865e-14,1.795021194222817e-21,7.2499500831849e-21,5.214144149791492e-22,2.487679558158794e-19
0.0252929314186096,0.00053584454179025,0.0915567593028733,0.0,0.0003942163467817329,0.4503670867032473,6.003442230617943e-23,0.4568986028786948,3.443902288117033e-07,1.2452781399141766e-12,1.7211054302894764e-06,1.9811851902618103e-07,3.588252023700429e-15,1.9545431055193167e-05,3.6440348179578164e-11,1.0488733621973968e-17,2.710753532175953e-11,3.346511664446508e-08,2.2896759459936843e-10,1.8185177486550162e-11,3.142381671451136e-23,1.645454581686281e-14,5.071338286683286e-13,1.2889624128203268e-17,1.2252203810892236e-24,1.693631087897664e-10,0.0011631941271825653,1.4430628317029058e-12,1.551484119225555e-11,9.436364201615497e-22,5.5713923855489655e-08,6.187352972346948e-10,1.1054299186774826e-18,5.292865466814013e-12,1.787514028673657e-22,2.461443362996172e-25,2.361576222688633e-53,6.544622003336623e-14,1.7980495292354766e-21,7.26218134219372e-21,5.253143630913537e-22,2.5104076398592115e-19
0.02535332809867229,0.00053584454179025,0.0915567593028733,0.0,0.0003942163139178903,0.45036708086476307,6.02808963655318e-23,0.4568985993295018,3.458963468855634e-07,1.2483526600330246e-12,1.7234741159409455e-06,1.98830301504185e-07,3.6059945764959785e-15,1.954542929909618e-05,3.649515709692546e-11,1.0507512643664337e-17,2.722607679865344e-11,3.360733918363887e-08,2.2896757390170196e-10,1.8215797684135358e-11,3.142390309380243e-23,1.647597368159583e-14,5.087226012818846e-13,1.2930729453153095e-17,1.2269072922534274e-24,1.6997156440952834e-10,0.001163194015133426,1.4450487384511483e-12,1.557058006469269e-11,9.48716750471297e-22,5.603614259357658e-08,6.223100059376361e-10,1.1069560651893398e-18,5.300189528717655e-12,1.787514017461615e-22,2.465588168596038e-25,2.3752647718252296e-53,6.553676236903823e-14,1.8010756935941517e-21,7.274403834279788e-21,5.292300777760609e-22,2.5332832490785362e-19
0.025407685110728714,0.00053584454179025,0.0915567593028733,0.0,0.0003942162843308556,0.45036707561004025,6.050301855362018e-23,0.4568985961387432,3.472541535811979e-07,1.2511201807293477e-12,1.7256010317224878e-06,1.9947134913809027e-07,3.621998757588101e-15,1.9545427718132224e-05,3.6544420405771365e-11,1.0524394360326147e-17,2.7332945163278914e-11,3.3735367440184056e-08,2.2896755527024167e-10,1.824333742689489e-11,3.1423980635833405e-23,1.6495214415018974e-14,5.101532675445389e-13,1.2967744208753053e-17,1.2284220211888705e-24,1.7051955341858406e-10,0.0011631939142607525,1.4468319447024093e-12,1.5620779764929143e-11,9.53301958414737e-22,5.632704382317155e-08,6.25537265434559e-10,1.1083264386882138e-18,5.306766029311491e-12,1.7875140073703818e-22,2.4693160046477228e-25,2.387621608626536e-53,6.561806309227329e-14,1.803797413678582e-21,7.285396694809441e-21,5.327676691613119e-22,2.5539978901709074e-19
0.025462042122785137,0.00053584454179025,0.0915567593028733,0.0,0.0003942162547352392,0.4503670703552281,6.072542013957424e-23,0.4568985929513073,3.48614137155744e-07,1.2538881259103758e-12,1.7277233146499486e-06,2.0011281517469277e-07,3.6380369245161735e-15,1.9545426136740712e-05,3.659362291147941e-11,1.0541257270497742e-17,2.7439984840243357e-11,3.3863420401187976e-08,2.2896753663569452e-10,1.8270859913940143e-11,3.1424057989563715e-23,1.651441323244955e-14,5.115846622717333e-13,1.3004777821403979e-17,1.2299334502263018e-24,1.7106790001175143e-10,0.0011631938133624038,1.4486112662337288e-12,1.567101222280331e-11,9.578994028188934e-22,5.661880230715162e-08,6.287740245251853e-10,1.1096938268142351e-18,5.313328204851423e-12,1.7875139972787468e-22,2.4730414915460584e-25,2.4000136966152557e-53,6.569918669969946e-14,1.806517422805526e-21,7.296382645055428e-21,5.363179808421417e-22,2.5748328793367963e-19
0.02551639913484156,0.00053584454179025,0.0915567593028733,0.0,0.0003942162251313929,0.4503670651003198,6.094810056312495e-23,0.4568985897671867,3.499762952271888e-07,1.2566564926271528e-12,1.7298409748134406e-06,2.0075469801534825e-07,3.654109062075281e-15,1.954542455493929e-05,3.664276500114669e-11,1.055810243285047e-17,2.7547195642250364e-11,3.399149633879713e-08,2.289675179982448e-10,1.8298365031759283e-11,3.142413515550048e-23,1.6533570225192447e-14,5.130167816705947e-13,1.3041830194576128e-17,1.2314415865542312e-24,1.7161660282239975e-10,0.0011631937124397355,1.4503867115066047e-12,1.57212773131236e-11,9.625090887859882e-22,5.691141851348908e-08,6.320202883858267e-10,1.1110582360707253e-18,5.3198760865380446e-12,1.7875139871867246e-22,2.476764649622502e-25,2.4124410085841024e-53,6.578013357715528e-14,1.8092357097568997e-21,7.307361639709932e-21,5.398809970362213e-22,2.595788619956552e-19
0.025570756146897983,0.00053584454179025,0.0915567593028733,0.0,0.00039421619551982095,0.4503670598453086,6.117105926523928e-23,0.45689858658637444,3.513406254179537e-07,1.2594252793413687e-12,1.7319540222811052e-06,2.013969960666836e-07,3.670215152724064e-15,1.954542297275252e-05,3.669184700009729e-11,1.0574929036036025e-17,2.765457738200099e-11,3.411959352771676e-08,2.289674993581909e-10,1.8325852899810466e-11,3.142421213416406e-23,1.6552685484362807e-14,5.144496233469643e-13,1.3078901262467517e-17,1.2329464373457328e-24,1.721656604885689e-10,0.0011631936114939391,1.4521582889657115e-12,1.577157491112576e-11,9.671310213877803e-22,5.720489290833181e-08,6.352760621676876e-10,1.1124196729471336e-18,5.326409705503811e-12,1.7875139770942804e-22,2.4804854673023747e-25,2.4249035816634327e-53,6.586090410964558e-14,1.8119522863560027e-21,7.318333726524914e-21,5.434566952326105e-22,2.616865515640253e-19
0.025625113158954407,0.00053584454179025,0.0915567593028733,0.0,0.0003942161659009633,0.45036705459018794,6.139429568811115e-23,0.4568985834088631,3.5270712535554773e-07,1.2621944837006737e-12,1.7340624670991608e-06,2.020397077403492e-07,3.6863551846181474e-15,1.954542139020204e-05,3.6740868498299777e-11,1.0591737048236221e-17,2.7762129872765002e-11,3.4247710245706864e-08,2.289674807157838e-10,1.835332361765321e-11,3.142428892606815e-23,1.6571759100878372e-14,5.158831848801134e-13,1.3115990958277341e-17,1.2344480097583808e-24,1.727150716526451e-10,0.001163193510526272,1.453926007037073e-12,1.5821904892444243e-11,9.717652056801214e-22,5.749922595599075e-08,6.385413510044456e-10,1.1137781439189542e-18,5.332929092812829e-12,1.787513967001399e-22,2.484203954022118e-25,2.4374013970717726e-53,6.594149868134456e-14,1.8146671624408286e-21,7.329298945235625e-21,5.470450597050789e-22,2.6380639702239215e-19
0.02567947017101083,0.00053584454179025,0.0915567593028733,0.0,0.00039421613627520837,0.450367049334951,6.161780927518457e-23,0.45689858023464547,3.54075792671118e-07,1.2649641049435614e-12,1.7361663192919522e-06,2.0268283145419385e-07,3.702529144099345e-15,1.9545419807307173e-05,3.678982985179004e-11,1.0608527032963508e-17,2.78698529281722e-11,3.4375844772391676e-08,2.289674620712356e-10,1.8380777199330257e-11,3.142436553172054e-23,1.6590791165447575e-14,5.173174633265798e-13,1.3153099204270495e-17,1.2359463109337241e-24,1.7326483496205907e-10,0.0011631934095380433,1.4556898741271348e-12,1.587226713317419e-11,9.764116467018271e-22,5.779441811900568e-08,6.418161600112743e-10,1.115133655446898e-18,5.339434279461938e-12,1.7875139569080835e-22,2.4879201307205853e-25,2.4499345024963465e-53,6.602191767555937e-14,1.8173803394108186e-21,7.340257301494407e-21,5.506460707007133e-22,2.6593843877732665e-19
0.025733827183067253,0.00053584454179025,0.0915567593028733,0.0,0.00039421610664301486,0.4503670440795912,6.184159947112553e-23,0.4568985770637146,3.5544662500056154e-07,1.2677341401168974e-12,1.7382655888619982e-06,2.033263656310319e-07,3.718737015733859e-15,1.954541822409038e-05,3.6838731003253195e-11,1.0625298726628398e-17,2.7977746362095545e-11,3.450399539042766e-08,2.2896744342481141e-10,1.84082136812605e-11,3.142444195163437e-23,1.6609781768590922e-14,5.187524558092249e-13,1.3190225924306603e-17,1.2374413479981126e-24,1.7381494906868326e-10,0.0011631933085304862,1.4574498986252258e-12,1.592266150981909e-11,9.810703494662852e-22,5.8090469858096104e-08,6.451004942806336e-10,1.1164862139781335e-18,5.345925296380529e-12,1.7875139468143121e-22,2.491633992482558e-25,2.4625028919702355e-53,6.61021614747879e-14,1.820091820875914e-21,7.351208809880985e-21,5.542597069482805e-22,2.6808271725806874e-19
0.025788184195123676,0.00053584454179025,0.0915567593028733,0.0,0.0003942160770048208,0.45036703882410184,6.206566572183245e-23,0.45689857389606303,3.5681961998379423e-07,1.270504587570295e-12,1.7403602857900375e-06,2.039703086992775e-07,3.734978784678213e-15,1.9545416640573228e-05,3.6887572239422015e-11,1.064205208394064e-17,2.808580998877751e-11,3.463216038477864e-08,2.2896742477676054e-10,1.8435633157492716e-11,3.1424518186320135e-23,1.6628731000633306e-14,5.201881598948224e-13,1.3227371051644474e-17,1.2389331280624683e-24,1.7436541262922828e-10,0.0011631932075048521,1.4592060889024304e-12,1.597308789932547e-11,9.857413189694158e-22,5.838738163219518e-08,6.483943588868704e-10,1.1178358259459541e-18,5.352402174430482e-12,1.7875139367200701e-22,2.495345548676224e-25,2.475106536563059e-53,6.61822304607027e-14,1.8228016161328682e-21,7.362153507944398e-21,5.578859506293932e-22,2.7023927291600337e-19
0.0258425412071801,0.00053584454179025,0.0915567593028733,0.0,0.0003942160473610389,0.45036703356847624,6.229000747442102e-23,0.45689857073168394,3.5819477526544e-07,1.2732754452875823e-12,1.7424504200350792e-06,2.0461465909234027e-07,3.7512544362636364e-15,1.95454150567761e-05,3.693635346384246e-11,1.0658787368040927e-17,2.8194043622856732e-11,3.4760338043462356e-08,2.2896740612731382e-10,1.8463035649794045e-11,3.1424594236284893e-23,1.6647638951694436e-14,5.216245726860547e-13,1.3264534509746463e-17,1.2404216582218868e-24,1.7491622430447572e-10,0.001163193106462416,1.4609584533107536e-12,1.6023546179011832e-11,9.904245601865113e-22,5.868515389842892e-08,6.516977588840513e-10,1.1191824977690949e-18,5.3588649444066504e-12,1.7875139266253516e-22,2.4990548101944973e-25,2.4877455073911166e-53,6.626212501411821e-14,1.825509727341928e-21,7.373091404409628e-21,5.615247815016209e-22,2.724081462247359e-19
0.025896898219236523,0.00053584454179025,0.0915567593028733,0.0,0.00039421601771210985,0.45036702831270764,6.251462417723276e-23,0.45689856757056996,3.5957208849406446e-07,1.2760467114520715e-12,1.744536001534447e-06,2.0525941524912064e-07,3.767563954365114e-15,1.9545413472720668e-05,3.69850749830532e-11,1.067550448920293e-17,2.830244707923606e-11,3.4888526656900563e-08,2.2896738747672296e-10,1.8490421215806465e-11,3.1424670102037285e-23,1.666650571170392e-14,5.230616915007418e-13,1.3301716226909196e-17,1.2419069455562572e-24,1.7546738276003776e-10,0.0011631930054044218,1.4627070001846853e-12,1.607403622663994e-11,9.9512007807198e-22,5.898378711214732e-08,6.550106993062239e-10,1.1205262358526735e-18,5.365313637036821e-12,1.787513916530141e-22,2.502761781170962e-25,2.5004197860208604e-53,6.634184551503846e-14,1.8282161602116085e-21,7.384022522332539e-21,5.65176177537134e-22,2.7458937767953974e-19
0.025951255231292946,0.00053584454179025,0.0915567593028733,0.0,0.000394215988058467,0.45036702305678955,6.273951527981692e-23,0.4568985644127141,3.609515573229684e-07,1.2788183833516578e-12,1.7466170402038276e-06,2.0590457561328662e-07,3.7839073235944866e-15,1.9545411888428265e-05,3.703373666950776e-11,1.0692203443945348e-17,2.8411020173216315e-11,3.501672451870672e-08,2.289673688252348e-10,1.851778990196369e-11,3.142474578408433e-23,1.668533137039712e-14,5.24499513604364e-13,1.3338916130144923e-17,1.2433889971301317e-24,1.7601888666564226e-10,0.0011631929043321178,1.4644517378406682e-12,1.6124557920348975e-11,9.99827877559891e-22,5.9283281726895315e-08,6.583331851676843e-10,1.121867046587997e-18,5.3717482829817624e-12,1.7875139064344233e-22,2.5064664659767167e-25,2.513129357142339e-53,6.6421392342646e-14,1.8309209193330314e-21,7.394946880256448e-21,5.688401195993488e-22,2.7678300779730616e-19
0.02600561224334937,0.00053584454179025,0.0915567593028733,0.0,0.00039421595840053223,0.4503670178007155,6.296468023294242e-23,0.4568985612581092,3.6233317940934273e-07,1.2815904596093485e-12,1.7486935459373174e-06,2.0655013863394485e-07,3.800284528108066e-15,1.954541030391968e-05,3.7082338834122094e-11,1.0708884353848633e-17,2.851976272040643e-11,3.514492992493578e-08,2.2896735017308674e-10,1.8545141766896494e-11,3.1424821282931e-23,1.670411601730867e-14,5.259380363660594e-13,1.3376134148916812e-17,1.2448678199924593e-24,1.765707346955444e-10,0.001163192803246762,1.4661926745765217e-12,1.617511113869177e-11,1.0045479635649004e-21,5.9583638194452086e-08,6.61665221463459e-10,1.1232049363521016e-18,5.378168912835566e-12,1.7875138963381904e-22,2.510168875886056e-25,2.5258742672156026e-53,6.650076587527987e-14,1.8336240105103985e-21,7.405864501623899e-21,5.725165863479412e-22,2.7898907711615844e-19
0.026059969255405793,0.00053584454179025,0.0915567593028733,0.0,0.00039421592873873723,0.4503670125444785,6.319011848857893e-23,0.4568985581067482,3.6371695241507043e-07,1.284362937520513e-12,1.7507655286074712e-06,2.0719610276485913e-07,3.816695551920237e-15,1.9545408719216183e-05,3.7130881378443276e-11,1.072554721665153e-17,2.862867453677362e-11,3.5273141174930346e-08,2.2896733152052455e-10,1.8572476838321722e-11,3.1424896599082146e-23,1.6722859741781547e-14,5.27377256932942e-13,1.3413370207988725e-17,1.2463434211769802e-24,1.771229255280521e-10,0.001163192702149598,1.4679298186723412e-12,1.6225695760593163e-11,1.0092803409799956e-21,5.98848569648004e-08,6.650068131680956e-10,1.124539911508341e-18,5.384575557125717e-12,1.7875138862414268e-22,2.5138690134276825e-25,2.538654516702451e-53,6.657996649046634e-14,1.8363254364913737e-21,7.416775397532282e-21,5.7620555585923325e-22,2.8120762619532445e-19
