Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44)
1.2699348221526631e-21,0.000539690409995138,0.0915567593028733,0.0,0.001588308876610776,0.4515426283560989,2.3755635476843128e-80,0.4569006123410255,4.663036886486507e-70,2.770900956158514e-80,8.241423012454991e-45,1.5846499532130768e-107,1.215185428489745e-146,2.0884161408601897e-15,2.657703777558082e-39,3.3588599069601875e-51,4.643381469216947e-59,2.6577037775614107e-39,7.839507169395724e-23,2.833851977731489e-53,9.615862836957099e-40,4.145151352326418e-38,6.954001255601223e-67,3.7848647589870795e-89,8.608582508371963e-80,4.585378131615974e-104,1.4133482438132052e-15,3.2631502201007814e-26,1.8272839759196875e-54,4.130739958138398e-68,8.313264332310495e-60,2.356940820521235e-93
2.540972976036128e-21,0.000539690409995138,0.0915567593028733,0.0,0.0015883088766058566,0.4515426283560978,9.508445088014963e-80,0.45690061234102414,1.493994574316143e-68,8.877829228146409e-79,1.6490006253422938e-44,4.065090988100815e-105,1.2481635450627003e-143,4.178646717967981e-15,1.0637741286129453e-38,2.689130252030379e-50,7.438056355406015e-58,1.0637741286156105e-38,1.56858253788706e-22,2.2688044740275764e-52,3.84885071668518e-39,1.659140795807085e-37,1.1139349343314635e-65,2.4262479082470072e-87,6.893847873478739e-79,1.469661490229237e-102,2.8279244183217738e-15,6.529135496851927e-26,1.4629380690006209e-53,6.614565411520012e-67,3.3274722321177993e-59,1.510892341085111e-91
5.0830492838030574e-21,0.000539690409995138,0.0915567593028733,0.0,0.0015883088765960179,0.4515426283560957,3.804616567541116e-79,0.4569006123410213,4.7837011666055155e-67,2.842657637363832e-77,3.29871727354374e-44,1.0417379690026035e-102,1.280075550453798e-140,8.359107872131753e-15,4.25648214439109e-38,2.1521214765530633e-49,1.1907811477838137e-56,4.256482144412417e-38,3.137846179772051e-22,1.8157327767868596e-51,1.5400413151757593e-38,6.638724292248863e-37,1.7833321020971722e-64,1.5540585242979819e-85,5.517872409352532e-78,4.710125831890443e-101,5.657076767303838e-15,1.3061106050313728e-25,1.1707947860446464e-52,1.0587610834576132e-65,1.331422316165143e-58,9.677557993628208e-90
1.0167201899336917e-20,0.000539690409995138,0.0915567593028733,0.0,0.0015883088765763402,0.45154262835609155,1.5220943687932357e-78,0.45690061234101564,1.5312514994291829e-65,9.09930662153445e-76,6.598150570072648e-44,2.6682242980827377e-100,1.3117990114684093e-137,1.6720030180252055e-14,1.702870023204496e-37,1.7220241530945638e-48,1.9058037134583862e-55,1.7028700232215612e-37,6.2763734635020955e-22,1.4528615531548392e-50,6.161165614821053e-38,2.655921987105319e-36,2.8541597732379463e-63,9.950002936017485e-84,4.4154158431404996e-77,1.5172584800213923e-99,1.1315381465127684e-14,2.612504715707536e-25,9.368132559715518e-52,1.6943619439637065e-64,5.3265562347779706e-58,6.196147611598037e-88
2.0335507130404636e-20,0.000539690409995138,0.0915567593028733,0.0,0.0015883088765369852,0.45154262835608316,6.08887299473446e-78,0.4569006123410043,4.9007522894300077e-64,2.912224947760058e-74,1.3197017165148052e-43,6.832407823463996e-98,1.3437935130771338e-134,3.3441874795663686e-14,6.812034463047983e-37,1.3777501124123661e-47,3.049729086418345e-54,6.812034463184521e-37,1.255342803080243e-21,1.1623987370095319e-49,2.4646648544600276e-37,1.0624552445033847e-35,4.567315825608053e-62,6.36928466842718e-82,3.532779893248247e-76,5.098234787690211e-98,2.2631990860214234e-14,5.225292936995075e-25,7.495210340973595e-51,2.711253330365388e-63,2.1307959004677265e-57,3.966335746149831e-86
4.0672117592540077e-20,0.000539690409995138,0.0915567593028733,0.0,0.0015883088764582752,0.45154262835606646,2.4356483076414864e-77,0.45690061234098167,1.5683603129319732e-62,9.319824567364575e-73,2.639475038758651e-43,1.7493172794866907e-95,1.3763027867846112e-131,6.688556402317105e-14,2.7249246630975262e-36,1.1022523882554313e-46,4.879920989448381e-53,2.7249246632067614e-36,2.5107537164764097e-21,9.299617497725389e-49,9.859044836612546e-37,4.2499937991956443e-35,7.308225041044824e-61,4.076744270771255e-80,2.8264028119169367e-75,2.2514390801383802e-96,4.526520964814277e-14,1.0450869379311002e-24,5.9964412191170025e-50,4.338220933726302e-62,8.523530434861795e-57,2.538708396762307e-84
8.134533851681095e-20,0.000539690409995138,0.0915567593028733,0.0,0.0015883088763008549,0.45154262835603304,9.742791527408588e-77,0.45690061234093643,5.018944152405845e-61,2.982450059481485e-71,5.279021734909838e-43,4.4785164295161275e-93,1.4094588397980355e-128,1.3377294246492214e-13,1.0899920411170655e-35,8.818227977834272e-46,7.808156855628702e-52,1.0899920412044559e-35,5.021575543013138e-21,7.439848403844835e-48,3.943685569817637e-36,1.7000320170922348e-34,1.1693548741969432e-59,2.6092341787344856e-78,2.2611938236450373e-74,2.307402965816399e-94,9.053164721502158e-14,2.090202226290625e-24,4.797248099129354e-49,6.941313872743327e-61,3.4094815671760046e-56,1.6248507671649294e-82
1.626917803653527e-19,0.000539690409995138,0.0915567593028733,0.0,0.0015883088759860143,0.45154262835596615,3.897156506909762e-76,0.4569006123408459,1.606092594510997e-59,9.543968096420138e-70,1.0558115953846869e-42,1.146524526019538e-90,1.443334501415241e-125,2.675476992953698e-13,4.360012515880003e-35,7.054665408740698e-45,1.2493276631511643e-50,4.360012516579136e-35,1.0043219195064183e-20,5.951913863016472e-47,1.57748019517513e-35,6.800196524307306e-34,1.8709902161144668e-58,1.669933725005198e-76,1.808983804220376e-73,4.800950534917686e-92,1.810645223128661e-13,4.18043280259503e-24,3.8378140373592833e-48,1.110619174677137e-59,1.3638065879592636e-55,1.0399244730716143e-80
3.253846640624362e-19,0.000539690409995138,0.0915567593028733,0.0,0.0015883088753563333,0.45154262835583237,1.5588713379151578e-75,0.4569006123406648,5.139544285847624e-58,3.0540633672154575e-68,2.111631761799046e-42,2.9350852874756004e-88,1.4779682176389946e-122,5.350972127440473e-13,1.7440138760825072e-34,5.643764700428265e-44,1.998942006980485e-49,1.7440138766418172e-34,2.0086506495076612e-20,4.761502550209195e-46,6.309872237167658e-35,2.7200918693680626e-33,2.993574512870556e-57,1.068747474545136e-74,1.447199330250639e-72,1.1936401795152734e-89,3.6213027236490287e-13,8.36089395354527e-24,3.070221466845185e-47,1.776985441936216e-58,5.455256916716542e-55,6.655519330521674e-79
6.507704314566032e-19,0.000539690409995138,0.0915567593028733,0.0,0.0015883088740969713,0.4515426283555648,6.235527011724891e-75,0.45690061234030266,1.6446613609730807e-56,9.772820415156806e-67,4.22329325671782e-42,7.513546967400382e-86,1.513372286190758e-119,1.0701962387925304e-12,6.976073239099955e-34,4.5150233699589445e-43,3.198320424802105e-48,6.976073243574463e-34,4.017308107874285e-20,3.809122472686753e-45,2.523890805657098e-34,1.0880390543993625e-32,4.789622503271363e-56,6.839724404269104e-73,1.1577695084132639e-71,3.0442820826359595e-87,7.242617718943673e-13,1.6721816248811463e-23,2.456107693113265e-46,2.8431328310223776e-57,2.1821173426243392e-54,4.2594548512473526e-77
