Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(50),CH2O2X(51),CH3OX(46),CH3X(52),CH4(41),CH4X(238),CH3O2X(49),CH4O2(171),SX(188),SX(53),C2H4O(231),CH2OX(169),CHOX(168),SX(54),SX(55),SX(262),SX(259),SX(436),C2HOX(464),C2H6O(236),SX(357)
3.264025914953764e-10,0.0027792097116130575,0.1557,0.0,0.007518210343080798,0.642286004579719,0.2014467109700419,9.762504307064601e-26,7.474094954576971e-27,6.1165927258039816e-18,1.0061466332606363e-31,1.0109422113699662e-18,3.2048210839464493e-26,0.0001874387776980854,6.95688985541301e-20,5.230514120490899e-29,5.234874436216718e-27,0.00045328902821878934,1.2387020703418292e-23,1.7386362219970308e-12,1.4257325943885109e-36,1.0771724900810602e-32,4.399914233089176e-16,1.5977877608938443e-21,2.4521489009884693e-49,4.966812789720468e-20,2.0276030565238275e-05,6.979057938413592e-38,3.900061922720291e-21,9.31999429725049e-28,2.0050325475367e-23,6.860437849621018e-20,6.982252733536288e-43,1.9466314058784266e-42,8.7013783049791e-23,1.2215250529859842e-32,7.85967851525603e-22,1.262650817268318e-22,1.0273399385528766e-21,2.4442329910077335e-27,1.9093674967101328e-33,2.5066254520243292e-29,7.348396632934695e-42,5.037464865978413e-29,4.203511229302203e-25,5.582541232119907e-35,7.057998944471436e-37
3.2763939077379064e-10,0.0027792097116130575,0.1557,0.0,0.0075166160210810885,0.6422859473442628,0.20144515698640938,9.924521685928093e-26,7.677107014313772e-27,6.190096040824817e-18,1.0345338862135514e-31,1.0368250708649724e-18,3.2447320212847567e-26,0.0001874049835334723,7.134356472088148e-20,4.898117487679079e-29,5.349819100963686e-27,0.0004548430118380085,1.2550603947777246e-23,1.7519425286466622e-12,1.443422388700611e-36,1.0878862296280302e-32,4.452629627537504e-16,-8.686478736247385e-23,1.9674481781797566e-49,5.093993530440581e-20,2.0350163097030496e-05,7.256188558875228e-38,3.9631488376977484e-21,8.69587870758407e-28,2.041497471306472e-23,7.038365005847624e-20,7.203330387962833e-43,2.001494190652802e-42,8.193551791382561e-23,1.246169734221054e-32,7.862410730866665e-22,1.272509521672672e-22,1.0353514941694752e-21,2.7935737241317577e-27,2.0712285851649035e-33,2.4722398994470688e-29,7.555493925043658e-42,5.0389678472712155e-29,4.209254390017989e-25,5.615971031169968e-35,7.062038048208831e-37
3.288761900522049e-10,0.0027792097116130575,0.1557,0.0,0.0075150229573589635,0.6422858901966154,0.20144360410212048,1.0211722199277971e-25,7.878864722402438e-27,6.264147346677767e-18,1.0642623813993986e-31,9.786442562950618e-19,3.3774824224018684e-26,0.00018737104711863674,6.738873107320767e-20,5.093524347943498e-29,5.461410929103003e-27,0.00045639589611353343,1.3013576746695424e-23,1.7652929684825803e-12,1.4975747974042704e-36,1.0951937270497753e-32,4.506648883145176e-16,1.2349252675249099e-21,2.5455983310278496e-49,4.807815243232809e-20,2.0424278945077038e-05,7.542067264846325e-38,4.026898044700185e-21,9.372288029790986e-28,2.0760122752798952e-23,6.642295731323858e-20,7.431145851675485e-43,2.0617735516147217e-42,8.759235122623297e-23,1.2709216400953685e-32,7.865633105226685e-22,1.282400193165979e-22,1.043389611006301e-21,4.4081358038729216e-27,2.4887558711515945e-33,2.5058656847693894e-29,7.783028017557537e-42,5.04560001774137e-29,4.215192246450507e-25,5.649413679695109e-35,7.065320660400587e-37
3.301129893306192e-10,0.0027792097116130575,0.1557,0.0,0.00751343114647855,0.6422858331344596,0.2014420523163617,1.0476734257647994e-25,8.060034181024942e-27,6.338748222042623e-18,1.0943831108100807e-31,9.41419203171104e-19,3.4886426419349133e-26,0.00018733697306331853,6.486231827662392e-20,5.359787374532244e-29,5.550559513969211e-27,0.00045794768185890305,1.3407261157055022e-23,1.7786861873312188e-12,1.5440465186368314e-36,1.0753355228311502e-32,4.560833932095008e-16,2.1412389205953397e-21,3.293079932336643e-49,4.624687139731906e-20,2.049837812201819e-05,7.833869142590167e-38,4.0913081185520775e-21,9.388473842270889e-28,2.1070152305199504e-23,6.389674501093842e-20,7.572944287834387e-43,2.1237136517602796e-42,8.708468914477239e-23,1.29586111681743e-32,7.869561362707437e-22,1.292322745473267e-22,1.051454309477941e-21,3.655004864340614e-27,2.3183253972752453e-33,2.4986777899327306e-29,8.016792987929431e-42,4.9479287735492174e-29,4.22145131675694e-25,5.682864602401176e-35,7.068293037898525e-37
3.3134978860903344e-10,0.0027792097116130575,0.1557,0.0,0.0075118405831328325,0.6422857761555408,0.20144050162832122,1.0664020338125397e-25,8.234679291153667e-27,6.413900216228804e-18,1.123678586443062e-31,9.625545355718375e-19,3.537295735970448e-26,0.00018730276585010434,6.631376699607461e-20,4.7585091876735337e-29,5.63171647816962e-27,0.0004594983698859715,1.3600020778875408e-23,1.7921216666155315e-12,1.5635684456642758e-36,1.0336453791572507e-32,4.6147852104708735e-16,9.06548597575202e-22,1.8240984446451277e-49,4.7285364069312067e-20,2.057246064044065e-05,8.127805990172064e-38,4.156388679855361e-21,8.113189081134401e-28,2.134722270589088e-23,6.535846635529784e-20,7.293004368685368e-43,2.184775767779703e-42,7.63018300897379e-23,1.322586539618399e-32,7.873837109886941e-22,1.3022770408932397e-22,1.0595454496230464e-21,1.4393628787886248e-28,1.6197882849187293e-33,2.4373667087423506e-29,8.247268632406436e-42,4.9576628028070364e-29,4.227854969173473e-25,5.716323015673947e-35,7.0716600019671185e-37
3.325865878874477e-10,0.0027792097116130575,0.1557,0.0,0.00751025126214014,0.6422857192576679,0.20143895203718876,1.0801850646553133e-25,8.409806369074137e-27,6.489604786699062e-18,1.1512430841215678e-31,1.0172627209946176e-18,3.5480935011062995e-26,0.00018726842983791153,7.005356254713589e-20,4.799264070752685e-29,5.712262816291407e-27,0.0004610479610049499,1.3669430650996083e-23,1.805599649913124e-12,1.5710025466021124e-36,9.984831308431929e-33,4.668740080001903e-16,1.5986822071606135e-21,1.810693544032283e-49,4.997467867158938e-20,2.0646526512878823e-05,8.420448509190126e-38,4.222238073200573e-21,6.821662119293704e-28,2.1644502375348666e-23,6.910993665418719e-20,6.950900855607265e-43,2.2423926972863864e-42,6.405306490108581e-23,1.3481294249103027e-32,7.877311755210614e-22,1.3122626845962686e-22,1.0676627107865935e-21,3.260587821054415e-27,1.0985616893651161e-33,2.3358384989467962e-29,8.464751485292434e-42,4.792956338211361e-29,4.2339435421294395e-25,5.749790335598124e-35,7.075295590377561e-37
3.33823387165862e-10,0.0027792097116130575,0.1557,0.0,0.007508663178440695,0.6422856624387083,0.20143740354215575,1.0974725915885543e-25,8.593590565551903e-27,6.565863474090951e-18,1.1780190464988083e-31,1.0502039358451822e-18,3.58310023841872e-26,0.00018723396926540378,7.230990123607153e-20,5.814910262741816e-29,5.800154308762173e-27,0.00046259645602444354,1.3817741622903258e-23,1.819120766021588e-12,1.5923426682025772e-36,1.0067000328120595e-32,4.723342248287771e-16,1.7902368934913492e-21,4.678297204775072e-49,5.1593611256032864e-20,2.072057575181602e-05,8.714490960508323e-38,4.2888563776989624e-21,6.409307313389758e-28,2.1966303019621806e-23,7.137125379778593e-20,7.246786568453604e-43,2.2985907507933295e-42,5.863167154528978e-23,1.371886494314908e-32,7.880021734361621e-22,1.3222797019400252e-22,1.0758060699995045e-21,8.069409366271056e-27,1.1013857393179386e-33,2.2637160003146168e-29,8.676855136051253e-42,4.425719529305042e-29,4.239721132207867e-25,5.783269394451747e-35,7.0788071632115e-37
3.3506018644427625e-10,0.0027792097116130575,0.1557,0.0,0.007507076327093287,0.6422856056965893,0.2014358561424151,1.1159679472383335e-25,8.793349237618819e-27,6.642677814747285e-18,1.2051052725817735e-31,1.0775986556892636e-18,3.628673797576216e-26,0.0001871993882542936,7.418834355948114e-20,5.772413334305485e-29,5.9024268655449635e-27,0.00046414385575152393,1.4003648578811355e-23,1.83268475744554e-12,1.610468665723695e-36,1.039741537052336e-32,4.778414283335704e-16,1.2113295713355813e-21,2.6691078066308662e-49,5.293975710972822e-20,2.0794608369685674e-05,9.013175771562899e-38,4.3562589010827426e-21,6.040412016397243e-28,2.2316230493950647e-23,7.325152238985726e-20,7.726663123557356e-43,2.3563976676942105e-42,5.642234329297711e-23,1.4000439497848063e-32,7.882228420752055e-22,1.3323282803059583e-22,1.0839755576670964e-21,-1.571522141585072e-27,1.2660439692014306e-33,2.2802340305703766e-29,8.895028915694515e-42,4.5258155205700824e-29,4.245227587926851e-25,5.816758203806704e-35,7.0816212994033104e-37
3.362969857226905e-10,0.0027792097116130575,0.1557,0.0,0.007505490703271991,0.642285549029294,0.20143430983716126,1.1370471242145559e-25,9.0027533780437e-27,6.720049405815041e-18,1.233489048972877e-31,1.0843966412436128e-18,3.6959289052550467e-26,0.0001871646908125885,7.466307330032176e-20,5.162084796349791e-29,6.012448876070501e-27,0.00046569016099171973,1.4256806491718438e-23,1.8462917507932044e-12,1.6343778431165547e-36,1.0572354443777823e-32,4.834107738001021e-16,1.6350560169235471e-21,-3.630262947653774e-50,5.327311229715707e-20,2.0868624378872533e-05,9.320011645071681e-38,4.424387619627538e-21,5.875142127060457e-28,2.2661768243156062e-23,7.372584809414084e-20,7.75269758321333e-43,2.4187020945533897e-42,5.649320562128233e-23,1.4295599377769023e-32,7.884654619361025e-22,1.3424085175707183e-22,1.0921713252576902e-21,-2.387646672539955e-27,1.3646416339507366e-33,2.3040853620844776e-29,9.130219132380764e-42,4.853544715185109e-29,4.250799135560847e-25,5.850254443952359e-35,7.084011990031461e-37
3.375337850011048e-10,0.0027792097116130575,0.1557,0.0,0.007503906302263017,0.6422854924348618,0.2014327646255903,1.157552826894016e-25,9.20434790136793e-27,6.797979771037288e-18,1.262709852475133e-31,1.0980433113052723e-18,3.751394317826361e-26,0.00018712988083771512,7.560472714583505e-20,5.817334893326839e-29,6.112877875787519e-27,0.00046723537254906786,1.446995843453341e-23,1.859941351011007e-12,1.6683358056178146e-36,1.0690050419504464e-32,4.890131670593007e-16,1.5999274567454574e-21,6.043417097893031e-49,5.394322502699262e-20,2.094262379171371e-05,9.63369509401475e-38,4.493268359996322e-21,6.109692719141771e-28,2.3010084375273502e-23,7.46683167830918e-20,7.913065747361574e-43,2.4835119478160705e-42,5.529379182528562e-23,1.4521598590133075e-32,7.887165908314311e-22,1.35252010252165e-22,1.1003933206913159e-21,1.5751084553885787e-26,1.2695240406636476e-33,2.2214426281974912e-29,9.374831565591038e-42,4.432989349850372e-29,4.256493816435687e-25,5.883753992347721e-35,7.086255670588399e-37
3.3877058427951905e-10,0.0027792097116130575,0.1557,0.0,0.007502323119461623,0.6422854359113852,0.20143122050689954,1.1784733645200585e-25,9.407111128907406e-27,6.8764704624013594e-18,1.2922886817078497e-31,1.1206263591220672e-18,3.805269174366046e-26,0.00018709496211957835,7.715559543812807e-20,6.43378940267993e-29,6.212705548374002e-27,0.00046877949122611486,1.4685633842177828e-23,1.8736334752426333e-12,1.6941507160993856e-36,1.0950509833775014e-32,4.946460112043112e-16,1.4808724886615977e-21,6.54769585327445e-49,5.505276684397057e-20,2.1016606620499885e-05,9.952979036521434e-38,4.562886133616313e-21,5.839688560905186e-28,2.3351749295210275e-23,7.622169064717259e-20,8.413240070534505e-43,2.5491922997774004e-42,5.240245271445602e-23,1.479337772973385e-32,7.889782548142743e-22,1.3626632494553927e-22,1.1086414855253236e-21,2.6596186635629148e-27,1.1705756361505344e-33,2.214697152312556e-29,9.622705210068503e-42,4.1544947182446136e-29,4.262210991466082e-25,5.917257860047939e-35,7.088681635798982e-37
3.400073835579333e-10,0.0027792097116130575,0.1557,0.0,0.00750074115036913,0.6422853794570095,0.20142967748028795,1.1977907875789877e-25,9.620726202066593e-27,6.955522974488872e-18,1.3220305415262596e-31,1.1472587044962242e-18,3.858648428842372e-26,0.00018705993834351907,7.898257986455135e-20,5.715252567588074e-29,6.3217414774520254e-27,0.0004703225178239512,1.489815377973181e-23,1.8873681264714566e-12,1.7003151846490587e-36,1.1143310151700391e-32,5.003145452938492e-16,1.607982918493343e-21,-5.089486488775337e-49,5.636139348491328e-20,2.1090572877476288e-05,1.0277104323356862e-37,4.6332859383901385e-21,4.914610928555097e-28,2.370804632878889e-23,7.805048180184705e-20,8.52484591746555e-43,2.6162119154862994e-42,5.0219059807299977e-23,1.5162415923905306e-32,7.892129366216024e-22,1.3728379772932487e-22,1.1169156792427951e-21,-1.8476980312597314e-26,1.204402179871939e-33,2.3087590690702647e-29,9.875670336202192e-42,4.8522748103269995e-29,4.2677079516395625e-25,5.950765940222072e-35,7.091104954977121e-37
3.412441828363476e-10,0.0027792097116130575,0.1557,0.0,0.007499160390590015,0.6422853230699302,0.20142813554495592,1.2165525828738953e-25,9.83880828741248e-27,7.035138849681984e-18,1.3523211993094218e-31,1.1713568632081392e-18,3.9002957446554613e-26,0.00018702481309320043,8.063697310718518e-20,5.775448629289475e-29,6.4334632460710085e-27,0.00047186445314223685,1.5062488802529575e-23,1.9011453302931222e-12,1.7316701844423653e-36,1.12711036831478e-32,5.060266317509988e-16,1.5848423200495786e-21,3.866475073675746e-49,5.75453895806303e-20,2.1164522574843813e-05,1.0607361004015073e-37,4.704455782021701e-21,5.292206023046606e-28,2.407186302504566e-23,7.970550727887396e-20,8.45265935420699e-43,2.6850287465380303e-42,4.9168000882241405e-23,1.5390083113554107e-32,7.894339147201359e-22,1.3830437980973091e-22,1.1252159429387499e-21,2.1181526043402398e-26,1.1568500751289117e-33,2.194531355983065e-29,1.0135437684533269e-41,4.737192297740107e-29,4.273245783567105e-25,5.984280238425516e-35,7.093424674729556e-37
3.4248098211476185e-10,0.0027792097116130575,0.1557,0.0,0.00749758083582907,0.6422852667483934,0.2014265947001051,1.2389685577360189e-25,1.0055614672226186e-26,7.115319602152076e-18,1.3832865156004093e-31,1.1942530782086465e-18,3.9507651692296083e-26,0.0001869895898534084,8.22095758575412e-20,6.917682973775096e-29,6.542091591281056e-27,0.0004734052979792312,1.526779230784748e-23,1.9149650136951086e-12,1.7768696638938548e-36,1.1649867276224027e-32,5.117807028247093e-16,1.5997370581146897e-21,1.7803641898632872e-48,5.867025423621598e-20,2.123845572475998e-05,1.0944095050335578e-37,4.776414470307688e-21,6.13881621384784e-28,2.4449904237319064e-23,8.127795242869376e-20,9.04111854752123e-43,2.755385464593829e-42,4.894515074949969e-23,1.5572298043642146e-32,7.896435637160975e-22,1.393280796480584e-22,1.1335422429781011e-21,2.700460022159009e-26,1.1806153273247361e-33,2.0858116264077514e-29,1.0400949026029595e-41,3.715026379502494e-29,4.27882499714328e-25,6.017798610499983e-35,7.0954829114046374e-37
3.437177813931761e-10,0.0027792097116130575,0.1557,0.0,0.007496002481888667,0.642285210490692,0.20142505494493868,1.2616318829437348e-25,1.0284675939211327e-26,7.196066776441924e-18,1.415208901529954e-31,1.2138493186175523e-18,4.027463105576289e-26,0.0001869542720127827,8.355739229413714e-20,6.659718401763825e-29,6.660943671924713e-27,0.0004749450531318121,1.556736168851511e-23,1.9288271467154305e-12,1.7708769631322406e-36,1.2070172500172984e-32,5.175792540514088e-16,1.6112664300926e-21,-9.360069296185297e-49,5.963284127731752e-20,2.1312372339339924e-05,1.128848783339877e-37,4.8491433872430376e-21,4.542357951531887e-28,2.4830273145853245e-23,8.262543088697938e-20,9.558047249620256e-43,2.8283361770165824e-42,4.898665280780001e-23,1.6049693910713468e-32,7.898614578788602e-22,1.4035496917100925e-22,1.1418945322244933e-21,-4.659988925026696e-26,1.3875854790767097e-33,2.3402623837807442e-29,1.0676276744140571e-41,4.4676344546171214e-29,4.284225712998029e-25,6.051320900040108e-35,7.097464037345405e-37
3.449545806715904e-10,0.0027792097116130575,0.1557,0.0,0.007494425324666065,0.6422851542951671,0.20142351627866104,1.2789334082302776e-25,1.0521229044291751e-26,7.27738188263089e-18,1.4481330996568367e-31,1.2359522449350404e-18,4.073788390478046e-26,0.00018691886286646494,8.50761920574084e-20,5.91979910318583e-29,6.785313456275348e-27,0.0004764837193955034,1.57410029644912e-23,1.9427316017162696e-12,1.7848345711260243e-36,1.2215179867110293e-32,5.234158917276303e-16,1.6339235116684392e-21,-1.1848730739604264e-48,6.071866939662137e-20,2.138627243065741e-05,1.1640812867781807e-37,4.9226604150152944e-21,4.231527777051125e-28,2.5218776203960472e-23,8.414406184160359e-20,9.386453098656474e-43,2.9049289704362945e-42,4.872279654464857e-23,1.639400351805494e-32,7.900808163358927e-22,1.4138497755552441e-22,1.1502728144142427e-21,9.3235044799779e-28,1.2800127442179218e-33,2.331753729001055e-29,1.0965408113966037e-41,5.520805989928723e-29,4.28962749327158e-25,6.084845048068914e-35,7.099429422209841e-37
