Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60),SX(53),CH3OX(46),CHOX2(61),CHO3X(93),CH2O3(187),CH2OX2(52),CHX(32),SX(489),SX(504),C2HOX(502),C2H4O(540),CH2X(63),SX(57),SX(394),CH2O2X(54),CH3X(55)
3.2949118613967954e-10,0.002724645380668153,0.0915567593028733,0.0,0.007209590710088901,0.4514631554569557,3.2163436766682966e-18,0.45657556486851697,3.019324231992961e-17,1.7076423175057374e-22,9.754828002785536e-18,7.322537062820432e-23,2.1009029846815554e-36,0.00015894563906954475,1.0844072106097905e-16,4.346050053108432e-20,1.1128396826689968e-17,1.0646897125512893e-16,1.848512452677701e-11,4.011187118825189e-17,2.5306071425473034e-22,2.0520348831162778e-19,8.379956414679683e-21,9.003143796340523e-26,3.002352903222177e-33,2.840056435297812e-24,0.0003250474540258666,7.96097486551527e-11,4.9068214255931335e-25,1.238568128710745e-21,5.125255792944801e-26,2.6216858818611335e-25,3.8478222619347013e-31,1.9763163001125408e-28,1.6116519202878185e-25,1.289815074802715e-29,4.637580638766434e-40,-3.677329093529174e-40,6.580774201755257e-39,2.329476653220423e-39,8.132356124357155e-30,2.852077443899598e-44,2.199055449391316e-32,2.204223335442532e-24,2.6448689032424306e-28
3.3071137975194305e-10,0.002724645380668153,0.0915567593028733,0.0,0.007207431200420627,0.4514631702345373,3.25123050102675e-18,0.4565744703359282,3.037697838346951e-17,1.7244694097508226e-22,9.803725235062762e-18,7.432259311350626e-23,2.1430412086291194e-36,0.00015891608334360518,1.0921838162413178e-16,4.3454799904309675e-20,1.115194218872599e-17,1.0721797880294292e-16,1.8549679679690935e-11,4.0312827629458186e-17,2.5228901165303204e-22,2.051767582640255e-19,8.462601652479746e-21,9.101839205689973e-26,3.0176418370321e-33,2.8826122546717804e-24,0.0003261419865500432,7.989105188562059e-11,4.93953085911391e-25,1.2500318471906647e-21,5.20044813891436e-26,2.6340644050000454e-25,3.8548998509077146e-31,1.9773526608799466e-28,1.6190725919857674e-25,1.3020380166649533e-29,9.62829310292175e-42,3.2523677211292054e-40,6.472303864275293e-39,2.3778040695039836e-39,8.211714164843123e-30,2.8940944420237793e-44,2.2190175712414977e-32,2.2152693123120253e-24,2.6837141298730536e-28
3.3193157336420655e-10,0.002724645380668153,0.0915567593028733,0.0,0.007205273360858623,0.45146318518840517,3.2863621856074086e-18,0.4565733764621065,3.0560857257249994e-17,1.7413759912171048e-22,9.852607234048491e-18,7.54308552977177e-23,2.186074983121761e-36,0.0001588861750455693,1.0999865552053863e-16,4.344904352861482e-20,1.1175278858353737e-17,1.0796935285285672e-16,1.861420987817641e-11,4.05137196934523e-17,2.599191143845009e-22,2.0514970977563214e-19,8.545637525780904e-21,9.216714524644783e-26,3.0329203562073672e-33,2.9255962469652928e-24,0.0003272358603071879,8.017227088574913e-11,4.972326272199344e-25,1.2615459756250107e-21,5.276362093716516e-26,2.646432147563264e-25,3.861989435393806e-31,1.9783907368736183e-28,1.6264808362302947e-25,1.3143185064274765e-29,-4.772330742506704e-40,3.8245582417573546e-40,7.008516173893812e-39,2.4541473324255023e-39,8.291436043671448e-30,2.9355124976372944e-44,2.2389782020645285e-32,2.2263117828095207e-24,2.7229324412046295e-28
3.3315176697647005e-10,0.002724645380668153,0.0915567593028733,0.0,0.0072031171818418595,0.45146320031448556,3.3217395014606027e-18,0.4565722832463449,3.0744876971972845e-17,1.7583619530899057e-22,9.901473726526272e-18,7.654977607519113e-23,2.229644466186418e-36,0.00015885592232264074,1.1078154117699352e-16,4.344332080639e-20,1.1198407953410181e-17,1.0872309103773744e-16,1.8678715139636348e-11,4.071454664154605e-17,2.5570421481727563e-22,2.0512235003381396e-19,8.629064703422544e-21,9.272155206160523e-26,3.0481884567137782e-33,2.9689936307497916e-24,0.00032832907600421283,8.045340572062797e-11,5.005207175272768e-25,1.2731104345907887e-21,5.353000608770946e-26,2.6587881336812647e-25,3.8690906780252252e-31,1.9794305283462727e-28,1.6338766735407603e-25,1.3266564922321633e-29,6.064803121623254e-40,-6.073242892776214e-40,7.056444514673979e-39,2.4955872914661492e-39,8.371521146847727e-30,2.984108311929663e-44,2.2589373594292067e-32,2.2373507059454946e-24,2.7625294017652516e-28
3.3437196058873355e-10,0.002724645380668153,0.0915567593028733,0.0,0.0072009626539920575,0.4514632156087928,3.357363218858868e-18,0.45657119068794,3.092903569298636e-17,1.775427186613619e-22,9.950324084834531e-18,7.767907595608774e-23,2.2735682514046892e-36,0.00015882533314594952,1.115670370219675e-16,4.343748642260464e-20,1.122133070984689e-17,1.0947919099345602e-16,1.8743195481358248e-11,4.091530775254577e-17,2.499951658383982e-22,2.050946860700503e-19,8.712882075345559e-21,9.35989202005111e-26,3.0634461234445102e-33,3.0127935658143068e-24,0.00032942163434469324,8.073445645497465e-11,5.03817373834353e-25,1.2847251446318215e-21,5.43036663427468e-26,2.671133065974685e-25,3.8762040148321513e-31,1.9804720355304869e-28,1.641260103165043e-25,1.3390519220142068e-29,2.3207802306103333e-40,2.6903682266675635e-40,6.700418151352622e-39,2.5357752757103162e-39,8.451968860926155e-30,3.028377905517696e-44,2.2788950608353316e-32,2.2483860402560702e-24,2.802504655502625e-28
3.3559215420099705e-10,0.002724645380668153,0.0915567593028733,0.0,0.00719880976810979,0.4514632310674277,3.3932341072979377e-18,0.4565700987861913,3.111333153628867e-17,1.792571583084997e-22,9.999158687067022e-18,7.881971304906991e-23,2.3185655431674946e-36,0.00015879441531433053,1.1235514148560305e-16,4.3431528454894704e-20,1.1244048297227375e-17,1.1023765035886654e-16,1.8807650920523086e-11,4.111600232237693e-17,2.629906625509773e-22,2.0506672476496093e-19,8.7970879064369e-21,9.505622072897102e-26,3.0786933443465708e-33,3.0570332127728003e-24,0.00033051353602892475,8.10154231531416e-11,5.071225785602231e-25,1.2963900261743811e-21,5.508463121713119e-26,2.6834673335979293e-25,3.8833294350497404e-31,1.9815152587088741e-28,1.64863112946794e-25,1.3515047435597116e-29,-8.789533173350313e-40,7.771460057383188e-40,7.402865824300411e-39,2.6281550279835903e-39,8.53277857288649e-30,3.0675107977870334e-44,2.2988513237147367e-32,2.2594177492274803e-24,2.842855761712378e-28
3.3681234781326055e-10,0.002724645380668153,0.0915567593028733,0.0,0.007196658515170667,0.4514632466865749,3.429352935497722e-18,0.45656900754040186,3.129776256846712e-17,1.8097950338667991e-22,1.0047977529851295e-17,7.997136630506503e-23,2.36426306175673e-36,0.00015876317645802237,1.1314585299972862e-16,4.342556811944306e-20,1.1266561818660539e-17,1.1099846677578653e-16,1.8872081474284455e-11,4.13166296637368e-17,2.611660330749066e-22,2.050384728492728e-19,8.881683610626773e-21,9.553032077603581e-26,3.093930124706462e-33,3.101700119516317e-24,0.0003316047817539823,8.129630587912337e-11,5.104362706611917e-25,1.3081049994739957e-21,5.58729299440592e-26,2.695789577039086e-25,3.8904664977694363e-31,1.982560198213284e-28,1.6559897822263272e-25,1.3640149044853197e-29,6.961868171609645e-40,-9.006540506289484e-40,7.650118055772226e-39,2.6751887035610775e-39,8.613949670268473e-30,3.1194178651906465e-44,2.3188061654324217e-32,2.270445795723106e-24,2.883590748192242e-28
3.3803254142552405e-10,0.002724645380668153,0.0915567593028733,0.0,0.0071945088863216095,0.451463262462502,3.4657204714032903e-18,0.4565679169498776,3.1482326950123996e-17,1.8270974304018916e-22,1.0096779490063702e-17,8.113308003770914e-23,2.4099601770270857e-36,0.0001587316240422888,1.1393916999782763e-16,4.3419572184424485e-20,1.1288872454588189e-17,1.1176163788897668e-16,1.8936487159689423e-11,4.151718910570865e-17,2.453104480484338e-22,2.0500993690678664e-19,8.966668648067831e-21,9.607127824068499e-26,3.109156453156799e-33,3.1467572192402614e-24,0.0003326953722137751,8.157710469656311e-11,5.137584728554674e-25,1.3198699848087666e-21,5.666859171062742e-26,2.7081005241002835e-25,3.8976152752877e-31,1.9836068543693592e-28,1.6633360673601793e-25,1.376582352204364e-29,7.082779739666244e-40,1.8450897764668012e-41,6.889645375925442e-39,2.6976568531091784e-39,8.695481541284811e-30,3.168602328018039e-44,2.3387596032879583e-32,2.281470139008591e-24,2.9247111410855917e-28
3.3925273503778755e-10,0.002724645380668153,0.0915567593028733,0.0,0.007192360872877183,0.4514632783915569,3.5023374821858395e-18,0.45656682701392787,3.166702288171184e-17,1.8444786642007162e-22,1.014556503936833e-17,8.230634300865098e-23,2.456875765067986e-36,0.00015869976537096365,1.1473509091501933e-16,4.341346109395325e-20,1.1310981408460728e-17,1.125271613461215e-16,1.9000867993639174e-11,4.1717679993395935e-17,2.6401815142059656e-22,2.0498112338130782e-19,9.052039672041131e-21,9.799708773621346e-26,3.124372311378979e-33,3.192262254178619e-24,0.00033378530809910267,8.185781966875944e-11,5.170891763475862e-25,1.331684902398989e-21,5.747164587842812e-26,2.7204010211760983e-25,3.9047759826248885e-31,1.98465522751703e-28,1.6706699762099714e-25,1.3892070340028536e-29,-1.4521762519219004e-39,1.4361614098217472e-39,7.721917570841765e-39,2.8094986240863288e-39,8.777373574628409e-30,3.2027208148334516e-44,2.3587116545166627e-32,2.2924907455989737e-24,2.966209124815922e-28
3.4047292865005105e-10,0.002724645380668153,0.0915567593028733,0.0,0.007190214466316025,0.45146329447016686,3.539204734243657e-18,0.45656573773186493,3.1851848510976837e-17,1.86193862685303e-22,1.019433486755939e-17,8.349134299287486e-23,2.5049524300570936e-36,0.00015866760758992136,1.1553361418809638e-16,4.340729396596046e-20,1.1332889813938505e-17,1.132950347978106e-16,1.9065223993046265e-11,4.191810168762082e-17,2.7206978325732974e-22,2.0495203857671045e-19,9.137798733561422e-21,9.8579735102357e-26,3.1395777154536664e-33,3.23822250719431e-24,0.0003348745900977078,8.213845085867294e-11,5.204283050752076e-25,1.343549672206905e-21,5.828212143126172e-26,2.7326892439586963e-25,3.911948381026139e-31,1.9857053180449586e-28,1.6779915464990505e-25,1.4018888970226117e-29,5.981225421771187e-40,-1.1779151693061582e-39,8.423326526177407e-39,2.872645769115122e-39,8.859625159599492e-30,3.2565132383119574e-44,2.3786623362905754e-32,2.303507583729252e-24,3.0080948301158858e-28
3.4169312226231455e-10,0.002724645380668153,0.0915567593028733,0.0,0.007188069658277348,0.45146331069483603,3.576322993203081e-18,0.456564649103004,3.2036802009968e-17,1.8794772100489498e-22,1.0243087119322995e-17,8.468587429126497e-23,2.5524502106970934e-36,0.0001586351576904741,1.163347382554944e-16,4.3401114020697104e-20,1.1354598812104059e-17,1.140652558975199e-16,1.912955517475615e-11,4.211845356456114e-17,2.3868743711951007e-22,2.0492268865713799e-19,9.223947088336792e-21,9.837298744848111e-26,3.154772663791029e-33,3.2845524291624767e-24,0.0003359632188943298,8.241899832893256e-11,5.23775886919853e-25,1.355464214258025e-21,5.910004715582022e-26,2.7449658215242097e-25,3.9191322945305877e-31,1.9867571263603427e-28,1.6853007993337625e-25,1.4146278881999122e-29,1.6063059213899817e-39,-6.17958774812449e-40,7.064625649708272e-39,2.8627992873440816e-39,8.942235686302113e-30,3.3161838754540875e-44,2.398611665719656e-32,2.314520612274874e-24,3.050375740100112e-28
3.4291331587457805e-10,0.002724645380668153,0.0915567593028733,0.0,0.007185926440557502,0.45146332706214437,3.613693023919455e-18,0.45656356112666324,3.222188161856185e-17,1.8970943055600771e-22,1.0291821937523804e-17,8.589181569803461e-23,2.601071206273177e-36,0.0001586024225126973,1.1713846155723918e-16,4.339486108411512e-20,1.1376109595091543e-17,1.148378223015928e-16,1.9193861555390418e-11,4.2318735015372535e-17,2.586117844347261e-22,2.0489307965712792e-19,9.310478816212533e-21,1.0086397987633172e-25,3.169957122893136e-33,3.331324889911119e-24,0.00033705119517075537,8.269946214184179e-11,5.2713192578774875e-25,1.3674284486652263e-21,5.992545229965632e-26,2.757232277063218e-25,3.9263278812979787e-31,1.987810652872337e-28,1.6925977061260301e-25,1.4274239543633647e-29,-2.1700546639745926e-39,2.446737591349256e-39,7.85645129186517e-39,2.9937649942259194e-39,9.025204545368522e-30,3.342292740898564e-44,2.418559659852986e-32,2.3255297989204957e-24,3.0930354652635256e-28
3.4413350948684155e-10,0.002724645380668153,0.0915567593028733,0.0,0.007183784805106621,0.45146334356874596,3.651315590478067e-18,0.4565624738021638,3.240708556691407e-17,1.914789805246821e-22,1.0340541445357608e-17,8.711084807696363e-23,2.6518755236002837e-36,0.00015856940874868454,1.179447825350153e-16,4.33885265511614e-20,1.1397423328337287e-17,1.1561273166922297e-16,1.92581431516092e-11,4.251894544593943e-17,2.91764946162756e-22,2.04863217482219e-19,9.397395663843184e-21,1.0207908281538399e-25,3.185131117547269e-33,3.378605082434575e-24,0.00033813851960587014,8.29798423593848e-11,5.30496327218986e-25,1.3794422951369102e-21,6.075836569830668e-26,2.7694862594279395e-25,3.933535124305433e-31,1.9888658980210593e-28,1.6998823073222632e-25,1.4402770422284763e-29,4.820896282858176e-41,-1.2522196563550253e-39,9.44803677647952e-39,3.094272256438509e-39,9.10853112805447e-30,3.3923081678853254e-44,2.438506335679754e-32,2.3365351200710153e-24,3.1360831068908817e-28
3.4535370309910505e-10,0.002724645380668153,0.0915567593028733,0.0,0.007181644744025344,0.45146336021136724,3.6891914561950985e-18,0.45656138712882977,3.259241206994457e-17,1.9325636010897233e-22,1.0389243013287366e-17,8.833882314140568e-23,2.7013692044341324e-36,0.00015853612294573378,1.1875369963215892e-16,4.338216408804509e-20,1.1418541145063903e-17,1.1638998166243638e-16,1.9322399980112407e-11,4.271908427655628e-17,2.337220869912176e-22,2.0483310790313387e-19,9.48470297808133e-21,1.0049983339568754e-25,3.200294670209409e-33,3.426232113454732e-24,0.00033922519287570653,8.32601390432325e-11,5.338691232312324e-25,1.3915056734054998e-21,6.159881559275715e-26,2.781728088838783e-25,3.940753811863802e-31,1.989922862278576e-28,1.7071546526771963e-25,1.4531870982966086e-29,3.1448269713875144e-39,-1.945560622456238e-39,7.311498106129739e-39,3.032500128500246e-39,9.1922148265621e-30,3.4724392147410706e-44,2.4584517101302624e-32,2.347536533882079e-24,3.1795397391356107e-28
3.4657389671136855e-10,0.002724645380668153,0.0915567593028733,0.0,0.007179506249561591,0.45146337698680505,3.727321383618552e-18,0.4565603011059877,3.2777859390500115e-17,1.9504155851642957e-22,1.0437925373112207e-17,8.957717263594845e-23,2.7511804960060843e-36,0.0001585025715094664,1.195652112935392e-16,4.337576281680852e-20,1.1439464209611848e-17,1.1716956994607349e-16,1.938663205725347e-11,4.2919150941503914e-17,2.383743141945712e-22,2.0480275656993377e-19,9.572391572656164e-21,1.0334489033724585e-25,3.215447721268078e-33,3.474261513778979e-24,0.0003403112156534932,8.35403522547483e-11,5.372503353847612e-25,1.4036185035967404e-21,6.244683110465241e-26,2.793960245303637e-25,3.947983946833805e-31,1.9909815461246507e-28,1.7144146871435758e-25,1.466154068977023e-29,-2.8696842647830142e-39,3.839197140873346e-39,7.622469595154361e-39,3.1718986812661636e-39,9.276255033669965e-30,3.489954030941873e-44,2.478395800077049e-32,2.3585340047177535e-24,3.2233780953633723e-28
3.4779409032363205e-10,0.002724645380668153,0.0915567593028733,0.0,0.007177369314107421,0.4514633938919263,3.765706134529183e-18,0.45655921573296726,3.2963425819486005e-17,1.9683456496398104e-22,1.048659312976688e-17,9.08308737359678e-23,2.8050855891127938e-36,0.00015846876070687942,1.203793159656524e-16,4.336928678694978e-20,1.1460193697523071e-17,1.179514941877731e-16,1.945083939938902e-11,4.3119144888846144e-17,3.2246738455796402e-22,2.047721690174124e-19,9.660460090778714e-21,1.0632118154216381e-25,3.230590291541016e-33,3.522886325358401e-24,0.0003413965886097022,8.382048205499392e-11,5.406398468251599e-25,1.415780705257423e-21,6.330244116110522e-26,2.806179836060604e-25,3.95522560558757e-31,1.9920419500542534e-28,1.7216624419140827e-25,1.4791779006058935e-29,-1.4231365020968283e-39,-7.1779907970828794e-40,1.0781227080354262e-38,3.348141891568813e-39,9.36065114275387e-30,3.5214361738234696e-44,2.498338622335895e-32,2.3695275211947564e-24,3.267596936721956e-28
3.4901428393589555e-10,0.002724645380668153,0.0915567593028733,0.0,0.007175233930195953,0.45146341092366504,3.804346469941423e-18,0.45655813100910075,3.314910963279367e-17,1.986353686825051e-22,1.0535243561632908e-17,9.209344223238386e-23,2.8572133022031202e-36,0.0001584346966693333,1.2119601209669179e-16,4.3362760906321436e-20,1.1480730752374555e-17,1.187357520579556e-16,1.9515022023145828e-11,4.3319065580208406e-17,2.4120945066416216e-22,2.04741350648122e-19,9.748921563425022e-21,1.0265385005786229e-25,3.245722454656643e-33,3.57185505508207e-24,0.0003424813124120942,8.41005285047349e-11,5.440376921604512e-25,1.4279921976943066e-21,6.416567326207782e-26,2.818386541974053e-25,3.962478667800157e-31,1.9931040745929446e-28,1.7288980149361684e-25,1.49225853928987e-29,5.547083914027648e-39,-4.400765717260506e-39,7.838195553574658e-39,3.213011980453969e-39,9.445402548295143e-30,3.636804746529343e-44,2.518280193666745e-32,2.3805170433282845e-24,3.312242876681537e-28
