Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60),SX(53),CH3OX(46),CHOX2(61),CHO3X(93),CH2O3(187),CH2OX2(52),CHX(32),SX(489),SX(504),C2HOX(502),C2H4O(540),CH2X(63),SX(57),SX(394),CH2O2X(54)
1.5618073099742177e-10,0.0028149649241145727,0.0915567593028733,0.0,0.007808967837732085,0.45147025991685014,1.893127253807422e-18,0.4567352437879295,1.3707538121150898e-17,5.108482413480628e-23,5.699024535539663e-18,4.634453739594071e-24,8.194924703500559e-38,0.00014473679965208277,7.971763462847491e-17,1.6652283403293776e-18,7.836003013831512e-18,7.86232429221791e-17,1.1333599446906344e-11,2.240783598137337e-17,3.862945903610654e-22,4.189420928677043e-19,2.14096847569768e-21,1.9054168429220733e-26,2.9107525043970652e-33,2.650876724399474e-25,0.00016536854176355464,3.9424128980064944e-11,6.135896209746781e-25,3.118453879755765e-22,7.821064169546054e-27,2.429782460266846e-25,1.6656244936327898e-30,3.163462635290234e-29,1.0713159922075173e-25,7.654185826628711e-30,5.618356893695962e-42,6.062866931236567e-42,6.4063071669107745e-40,6.606451418089484e-41,3.166815810218623e-30,5.295865427564991e-45,2.4503781332168352e-33,2.3437004655492697e-24
1.5706218637159472e-10,0.0028149649241145727,0.0915567593028733,0.0,0.0078070067224567065,0.45147016303270765,1.9248467066673453e-18,0.45673436011429513,1.295977494942135e-17,5.209982888062066e-23,5.7598050706088025e-18,4.778327615045283e-24,8.525391718887037e-38,0.00014493056750381657,8.060235523256489e-17,3.485971266210711e-18,7.010488353710226e-18,7.94847487504125e-17,1.1395530728133748e-11,2.2646752644145384e-17,3.876152686284073e-22,4.193532066482578e-19,2.18354994206364e-21,1.9462191544943938e-26,2.9466959937146377e-33,2.733171046788564e-25,0.00016625221533612502,3.964068243054332e-11,6.201495226066055e-25,3.1726594119621216e-22,8.047211120762215e-27,2.4550781619658206e-25,6.066517303511749e-30,3.2030964361204427e-29,1.0840016849263272e-25,7.788748465203733e-30,5.813183736253244e-42,6.279550985807027e-42,6.644732364416557e-40,6.904106173942935e-41,3.2294822425228004e-30,5.4601149220307254e-45,2.4763169167339444e-33,2.3686919689786135e-24
1.5785549620835038e-10,0.0028149649241145727,0.0915567593028733,0.0,0.0078052455663010405,0.4514700773794885,1.9536904068181797e-18,0.4567335651893112,1.4452034539872157e-17,5.302365242958958e-23,5.814627184211414e-18,4.910602310433484e-24,8.831893525119847e-38,0.00014510187355259858,8.140263414534427e-17,8.129306472891928e-19,8.41447441789391e-18,8.02638548511723e-17,1.1451252471797506e-11,2.2862246963319507e-17,3.8879742377051283e-22,4.1971640718385026e-19,2.222306963472733e-21,1.9833854443221417e-26,2.9791285447497218e-33,2.808830742024694e-25,0.00016704714026427752,3.983553404195342e-11,6.260797001039352e-25,3.221913088466152e-22,8.254796288915151e-27,2.477885625092708e-25,9.329709669124949e-30,3.302384014402559e-29,1.0954405455462826e-25,7.911047437799356e-30,5.993018229852035e-42,6.479683018245065e-42,6.865303811080779e-40,7.181395542370485e-41,3.2865133651835686e-30,5.611137313323016e-45,2.500104782728426e-33,2.3912334632718644e-24
1.5864880604510604e-10,0.0028149649241145727,0.0915567593028733,0.0,0.007803488013504332,0.45146999316758113,1.9828160394682266e-18,0.45673277062469486,1.52823336122782e-17,5.395727184077902e-23,5.869560745244786e-18,5.045551259068136e-24,9.147186968389758e-38,0.00014527029697756805,8.220672950431333e-17,-5.339506401306919e-19,9.154714829028329e-18,8.104651100421196e-17,1.1506958697658345e-11,2.3078178478983374e-17,3.8997352656105873e-22,4.20073261381992e-19,2.2614756981502126e-21,2.0209733011912708e-26,3.0116384031393542e-33,2.886020061962368e-25,0.0001678417048248881,4.0030341700888615e-11,6.32034717112368e-25,3.2716114021038474e-22,8.46626447816029e-27,2.50073143068678e-25,1.036968507677484e-29,3.4375789084166753e-29,1.1068993729072567e-25,8.034478232304572e-30,6.177180835471463e-42,6.684747284487817e-42,7.091660171741218e-40,7.467826189864563e-41,3.344143694789659e-30,5.765227786931809e-45,2.524656174385235e-33,2.413820730387656e-24
1.594421158818617e-10,0.0028149649241145727,0.0915567593028733,0.0,0.007801734024261822,0.4514699103778961,2.0122248849395738e-18,0.45673197641963353,1.470597702974442e-17,5.490070559536916e-23,5.9246039545371006e-18,5.1832061161610094e-24,9.471455728538011e-38,0.00014543587595836887,8.301463957943808e-17,9.236398872540322e-19,8.49758491443134e-18,8.183271394922452e-17,1.1562649432401861e-11,2.3294540116230394e-17,3.911436376138242e-22,4.204238619727974e-19,2.301056932316155e-21,2.0589834078446302e-26,3.0442239368836067e-33,2.9647571122368265e-25,0.00016863590983051043,4.022510549743015e-11,6.380145312391122e-25,3.3217549228437265e-22,8.681657583192007e-27,2.5236148036496644e-25,1.0963911084973753e-29,3.5828599602679414e-29,1.1183775713088837e-25,8.159042730155719e-30,6.365744048915407e-42,6.894826696261165e-42,7.323909955308997e-40,7.763629600311152e-41,3.40237426117887e-30,5.922423579231612e-45,2.550289846126574e-33,2.4364530292358984e-24
1.601560947349418e-10,0.0028149649241145727,0.0915567593028733,0.0,0.007800158448222653,0.45146983706756405,2.0389360500589908e-18,0.4567312619418333,1.4829636818268507e-17,5.575820211090174e-23,5.9742351219722164e-18,5.309435225918442e-24,9.771125108900074e-38,0.00014558249627172933,8.374501880455585e-17,9.56670380324938e-19,8.542963463347402e-18,8.254332641865957e-17,1.1612757870589994e-11,2.348962756250023e-17,3.9219166445905855e-22,4.207341312864938e-19,2.337033363037585e-21,2.0935540700216014e-26,3.07361428672223e-33,3.036958744721459e-25,0.00016935038758073175,4.0400355485619555e-11,6.434175305512185e-25,3.367265202097833e-22,8.878901824044892e-27,2.5442413262938943e-25,1.145250733398207e-29,3.723217339550854e-29,1.1287240262479512e-25,8.27212161879761e-30,6.53927320973526e-42,7.088254978372275e-42,7.538064224796125e-40,8.038060863100694e-41,3.455295799568019e-30,6.066585667572053e-45,2.5743705528591842e-33,2.4568599994923385e-24
1.608700735880219e-10,0.0028149649241145727,0.0915567593028733,0.0,0.007798585698334908,0.4514697648802999,2.0658785853568354e-18,0.4567305477540409,1.4953840961507204e-17,5.662367558514082e-23,6.023952381812234e-18,5.4379049021141885e-24,1.007835210514551e-37,0.00014572687044961464,8.447848529742474e-17,9.836535947429165e-19,8.594194976404872e-18,8.325680678964536e-17,1.1662853801407326e-11,2.368505270091383e-17,3.932349305514972e-22,4.2103947507774063e-19,2.3733450819944665e-21,2.1284677459662135e-26,3.103063466928937e-33,3.110441939476761e-25,0.00017006457532300136,4.057557008169995e-11,6.4884055055986935e-25,3.4131369418301013e-22,9.079389768435467e-27,2.5648971062262926e-25,1.3537817790207024e-29,3.879974554860822e-29,1.1390852727790342e-25,8.386121618215251e-30,6.716478484959351e-42,7.285873683996837e-42,7.757161651699946e-40,8.320449033059862e-41,3.50870504623212e-30,6.21332051175705e-45,2.5994309294911575e-33,2.4773023284344354e-24
1.61584052441102e-10,0.0028149649241145727,0.0915567593028733,0.0,0.007797015746451994,0.451469693802605,2.093053421735874e-18,0.4567298338556817,1.5030980075740092e-17,5.749713846758804e-23,6.073754465601757e-18,5.568638277202283e-24,1.0393275233700865e-37,0.00014586902548912383,8.521503780579878e-17,1.101277432296855e-18,8.602195771520163e-18,8.397315270188132e-17,1.1712937243717077e-11,2.3880810543609795e-17,3.9427347939187023e-22,4.213399583324948e-19,2.409992619307504e-21,2.163724878595927e-26,3.132570330345358e-33,3.1852199273988193e-25,0.0001707784736320651,4.075074934928932e-11,6.542835606146876e-25,3.459370525535879e-22,9.283151996725587e-27,2.585581597605466e-25,1.647565933833872e-29,4.07364607362622e-29,1.1494608933055758e-25,8.501044021477346e-30,6.897413916423047e-42,7.487745005812243e-42,7.981283644260304e-40,8.610971058730701e-41,3.5626026883842664e-30,6.362655385185233e-45,2.6256333842581613e-33,2.497779494330928e-24
1.622980312941821e-10,0.0028149649241145727,0.0915567593028733,0.0,0.007795448564700694,0.45146962382111205,2.120461489328077e-18,0.45672912024618645,1.5071065100440017e-17,5.83786028927896e-23,6.123640118354336e-18,5.701658498085833e-24,1.071603446885593e-37,0.000146008988124875,8.595467508010902e-17,1.2928729217077588e-18,8.573618771605734e-18,8.469236180019059e-17,1.1763008216199725e-11,2.4076896155721572e-17,3.9530735425090843e-22,4.2163564522926495e-19,2.4469764918513523e-21,2.1993258939878547e-26,3.162133742925649e-33,3.261305947638388e-25,0.00017149208307722444,4.0925893351370855e-11,6.597465301449204e-25,3.5059663268411386e-22,9.490219098099955e-27,2.606294260577812e-25,1.9272326123721627e-29,4.3060966016089993e-29,1.1598504754618876e-25,8.616890097426881e-30,7.082133634194837e-42,7.693931537730716e-42,8.21051233944443e-40,8.909806521957647e-41,3.616989393690567e-30,6.514617598263753e-45,2.6531341589686004e-33,2.518290981046522e-24
1.6301201014726221e-10,0.0028149649241145727,0.0915567593028733,0.0,0.007793884125480294,0.4514695549225845,2.14810371749629e-18,0.4567284069249913,1.5597425535624073e-17,5.926808068423522e-23,6.1736080984768525e-18,5.836988724623234e-24,1.1046771242976785e-37,0.00014614678482976866,8.669739587430972e-17,5.258104461721037e-19,9.017759040367066e-18,8.541443173448394e-17,1.1813066737354784e-11,2.427330465507817e-17,3.963365981609905e-22,4.2192659914759823e-19,2.4842972034182708e-21,2.2352712015773005e-26,3.1917525837544024e-33,3.3387132467464464e-25,0.00017220540422239138,4.110100215029927e-11,6.652294286592209e-25,3.5529247096160546e-22,9.700621668912195e-27,2.627034561240342e-25,1.9073016303253269e-29,4.569348179606677e-29,1.170253612089614e-25,8.733661090948415e-30,7.270691992679274e-42,7.904493834600894e-42,8.44493063016615e-40,9.217137601084355e-41,3.67186581051021e-30,6.669234496838736e-45,2.68230681367784e-33,2.538836278707061e-24
1.6372598900034231e-10,0.0028149649241145727,0.0915567593028733,0.0,0.007792322401461489,0.4514694870939163,2.1759810348358817e-18,0.45672769389153745,1.5850889805669722e-17,6.016558335822635e-23,6.223657177688081e-18,5.974652128212437e-24,1.1385628446597358e-37,0.00014628244181594661,8.744319894214945e-17,3.062473788147562e-19,9.187625778366134e-18,8.61393601597256e-17,1.1863112825502565e-11,2.4470031211888204e-17,3.973612539327673e-22,4.222128826769332e-19,2.5219552448805318e-21,2.2715611948324103e-26,3.221425745323912e-33,3.417455077864391e-25,0.00017291843762614234,4.127607580780681e-11,6.707322257429949e-25,3.6002460280867385e-22,9.914390311096766e-27,2.647801971599451e-25,1.808934701348572e-29,4.823544154662245e-29,1.1806699012183425e-25,8.8513582232313e-30,7.463143955067995e-42,8.11949461653041e-42,8.684622117175274e-40,9.533149094581855e-41,3.72723256816636e-30,6.826533460195205e-45,2.713122765390436e-33,2.55941488101231e-24
1.6443996785342242e-10,0.0028149649241145727,0.0915567593028733,0.0,0.0077907633655855185,0.4514694203221314,2.2040943691763926e-18,0.4567269811452719,1.643319699330652e-17,6.10711221277507e-23,6.2737861409419565e-18,6.11467189036309e-24,1.1732750428580432e-37,0.00014641598503559015,8.819208304245033e-17,-5.54643094137361e-19,9.670301771725513e-18,8.686714473589494e-17,1.1913146498785967e-11,2.4667071048430205e-17,3.983813641503478e-22,4.224945576246084e-19,2.5599510943530886e-21,2.3081962514275902e-26,3.251152133267977e-33,3.4975446999073016e-25,0.00017363118384177288,4.14511143850095e-11,6.762548910585373e-25,3.6479306269474096e-22,1.0131555630567046e-26,2.6685959695322877e-25,1.3524541218839005e-29,5.053813188576701e-29,1.1910989460498977e-25,8.969982692033891e-30,7.659543700591314e-42,8.339000717913457e-42,8.929671092360964e-40,9.858028538994567e-41,3.783090277151977e-30,6.986541899498541e-45,2.7457309706689946e-33,2.58002628914788e-24
1.6515394670650252e-10,0.0028149649241145727,0.0915567593028733,0.0,0.007789206991062966,0.4514693545943832,2.232444647583163e-18,0.4567262686856462,1.6808555502910423e-17,6.198470790632452e-23,6.3239937863434035e-18,6.257071201299988e-24,1.208828299586909e-37,0.00014654744018197368,8.894404693429572e-17,-9.920941225195007e-19,9.936806872105361e-18,8.759778312795294e-17,1.1963167775172217e-11,2.486441943872744e-17,3.9939697111474825e-22,4.227716850246601e-19,2.598285217354913e-21,2.3451767325280935e-26,3.2809306665705845e-33,3.578995376765117e-25,0.00017434364341735155,4.162611794241323e-11,6.817973943493309e-25,3.695978841470822e-22,1.0352148235672544e-26,2.6894160387514524e-25,6.55734476954835e-30,5.216264279451789e-29,1.2015403549279205e-25,9.089535671943943e-30,7.859948593038662e-42,8.563072055467103e-42,9.180162616847782e-40,1.0191966130334099e-40,3.83943952940781e-30,7.149287257287946e-45,2.7797606461799342e-33,2.600670007965362e-24
1.6586792555958262e-10,0.0028149649241145727,0.0915567593028733,0.0,0.007787653251372677,0.45146928989795404,2.261032796358954e-18,0.4567255565121178,1.7126677143537747e-17,6.290635131181863e-23,6.374278925065949e-18,6.401873258591624e-24,1.2452373413170182e-37,0.00014667683269045832,8.969908937930171e-17,-1.309089570134614e-18,1.0140408293668503e-17,8.833127300580539e-17,1.2013176672454633e-11,2.506207170822017e-17,4.004081168976815e-22,4.230443251461399e-19,2.6369580669696614e-21,2.3825029842490187e-26,3.3107602772198706e-33,3.6618203765181614e-25,0.00017505581689577297,4.180108653991984e-11,6.873597054331842e-25,3.744390997617949e-22,1.0576198735681906e-26,2.7102616687591974e-25,-1.1732689850733626e-30,5.287779722934753e-29,1.211993741313134e-25,9.210018314637417e-30,8.064415320551441e-42,8.791771798445761e-42,9.436182464873278e-40,1.0535154652901322e-40,3.896280898546612e-30,7.314797004747846e-45,2.8146812898985903e-33,2.621345549129222e-24
1.6658190441266272e-10,0.0028149649241145727,0.0915567593028733,0.0,0.007786102120260577,0.4514692262202546,2.2898597410455598e-18,0.45672484462414875,1.6590598652279173e-17,6.38360626702828e-23,6.4246403812674134e-18,6.549101265864502e-24,1.2825170403287569e-37,0.00014680418773955318,9.045720913894704e-17,6.046357527928431e-20,9.511971496378704e-18,8.906761204426846e-17,1.2063173208254365e-11,2.5260023233437e-17,4.0141484340293037e-22,4.2331253750138134e-19,2.675970084006206e-21,2.420175338922088e-26,3.340639910486069e-33,3.7460329707017323e-25,0.0001757677048148121,4.197602023683318e-11,6.929417941973695e-25,3.793167412147657e-22,1.0803737739266575e-26,2.73113235480242e-25,-3.220860337946776e-30,5.262872216157604e-29,1.2224587237590202e-25,9.33143174913721e-30,8.272994225238692e-42,9.02517034503577e-42,9.697817111448698e-40,1.0887789789126205e-40,3.9536149401147775e-30,7.483098638917289e-45,2.849497851526228e-33,2.6420524284692016e-24
1.6729588326574282e-10,0.0028149649241145727,0.0915567593028733,0.0,0.007784553571738599,0.45146916354882344,2.3189264064254013e-18,0.45672413302120646,1.6887692232875462e-17,6.477385201973742e-23,6.475076992007185e-18,6.698778431456111e-24,1.3206824146394884e-37,0.00014692953025192317,9.121840498268095e-17,-2.2969099110948e-19,9.710375849914336e-18,8.980679792302939e-17,1.2113157400022146e-11,2.5458269441657584e-17,4.024171922000993e-22,4.2357638085406174e-19,2.715321697157958e-21,2.4581941121598853e-26,3.370568524567632e-33,3.83164643353561e-25,0.0001764793077071767,4.2150919091865223e-11,6.985436306142608e-25,3.842308392724783e-22,1.1034795853039491e-26,2.7520275978458323e-25,-4.72833269663827e-30,5.20877487365545e-29,1.2329349258872345e-25,9.453777082068379e-30,8.485745060356418e-42,9.263324595345923e-42,9.965153814615047e-40,1.1250069782187245e-40,4.0114421917684844e-30,7.654219684669737e-45,2.8840173239250424e-33,2.6627901705178762e-24
1.6800986211882293e-10,0.0028149649241145727,0.0915567593028733,0.0,0.007783007580083317,0.4514691018713267,2.348233716523121e-18,0.4567234217027631,1.7564032684065843e-17,6.571972911395791e-23,6.525587607157243e-18,6.85092796706181e-24,1.3597486279192118e-37,0.00014705288489561384,9.198267568061433e-17,-1.2630149631878187e-18,1.0273003568770755e-17,9.054882832661425e-17,1.2163129265040011e-11,2.5656805810572304e-17,4.03415204488669e-22,4.238359132276612e-19,2.755013323161832e-21,2.4965596033708866e-26,3.400545090985331e-33,3.9186740411500654e-25,0.00017719062610056067,4.232578316314199e-11,7.041651847369687e-25,3.8918142380279893e-22,1.1269403680098958e-26,2.7729469045292116e-25,-9.47588864204324e-30,5.136738617319085e-29,1.2434219763598282e-25,9.577055397912913e-30,8.702731714375143e-42,9.506303118483497e-42,1.023828039909052e-39,1.1622195600733648e-40,4.0697631735689025e-30,7.828187693732545e-45,2.9181632385878736e-33,2.6835583009946824e-24
1.68652443086595e-10,0.0028149649241145727,0.0915567593028733,0.0,0.007781618352666357,0.45146904720130154,2.374816809941811e-18,0.45672278175897857,1.727997684898638e-17,6.657794135593247e-23,6.571109494236592e-18,6.989995611686305e-24,1.3956910873167179e-37,0.0001471622246311531,9.267314729104224e-17,-4.193466392657305e-19,9.898724236898469e-18,9.121908584869818e-17,1.2208093418333943e-11,2.5835732932647937e-17,4.043097419019817e-22,4.240658538432894e-19,2.7910268324762376e-21,2.5313852289171972e-26,3.4275641602124644e-33,3.998218955505552e-25,0.00017783056984011774,4.2483131134754083e-11,7.092414173777484e-25,3.9366816978421564e-22,1.1483611018830829e-26,2.791794451711999e-25,-1.165620781997885e-29,5.0247322067360366e-29,1.2528692942401635e-25,9.688804461243134e-30,8.901683091926873e-42,9.72916693129226e-42,1.0489117927780031e-39,1.1965695417648497e-40,4.122674612319073e-30,7.987215840840549e-45,2.9482609554772817e-33,2.7022752121442493e-24
