Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CHO3X(91),H(23),HCO(31),CH3X(53),CH4(39),OCHCO(417),CH4X(436)
1.3194268839800356e-08,0.0027792097116130575,0.0915567593028733,0.0,0.0017793341169843112,0.45134142328102667,2.2552801168208976e-38,0.45381029828413005,3.232076030850431e-17,1.3414926020427861e-22,2.4221502754604253e-16,3.3076521846375885e-23,4.073007022874283e-35,3.6094218287292915e-05,1.172939661656905e-13,2.070041620040392e-24,9.216347895016327e-20,1.173263302927344e-13,2.3361413122898585e-10,4.817558206405161e-20,2.3122985165644233e-21,1.0416947030356077e-19,2.7705578697371266e-22,2.6937349619829777e-27,8.406120219078798e-32,3.2504445024634512e-24,0.0030903138231655114,0.00018315796592942085,1.7114787231940527e-22,1.5309561311477955e-26,3.838009308776427e-19,1.9830105031247977e-26,2.191962760535799e-27,3.29923639446942e-27,4.265889216732609e-22,7.241828701086997e-35,4.339618520071543e-21,4.077268376686465e-23,5.317781784786202e-79,-3.1669082932181935e-21
1.3246679743992812e-08,0.0027792097116130575,0.0915567593028733,0.0,0.0017740233171650978,0.45134133109203584,2.2683187731964675e-38,0.4538076622811192,3.235233634293143e-17,1.3458918609681016e-22,2.4245198643268866e-16,3.3383338519859297e-23,4.0762072380053225e-35,3.598742792813066e-05,1.1792653719323734e-13,2.0640377732283807e-24,9.162665765304931e-20,1.179589321120928e-13,2.3362759292226177e-10,4.841981504999821e-20,2.3116039465067168e-21,1.0386705306026625e-19,2.7899019535418713e-22,2.7126018323848684e-27,8.389446436995268e-32,3.2805913030351793e-24,0.0030929498261622044,0.00018330355009976023,1.7155715582518956e-22,1.5301519944511354e-26,3.8451317287618573e-19,1.9986314561132016e-26,2.1846989321335932e-27,3.307408706017818e-27,4.273267938617968e-22,7.31247740960861e-35,-3.723613797554094e-21,4.0910672357611356e-23,5.400710627365078e-79,4.8941916972417176e-21
1.3299090648185267e-08,0.0027792097116130575,0.0915567593028733,0.0,0.001768745867281077,0.4513412395536753,2.2813780587918066e-38,0.4538050427952766,3.238372607689255e-17,1.3502774413993688e-22,2.4268758138540427e-16,3.369138679470599e-23,4.0641018837735354e-35,3.5881307626460524e-05,1.1855964549832907e-13,2.0580713639893153e-24,9.109475789223208e-20,1.1859207102767525e-13,2.3363868330199555e-10,4.866398813828144e-20,2.311352439289598e-21,1.0356650002557418e-19,2.809277587640349e-22,2.7315032974520647e-27,8.372833290823052e-32,3.310859073161888e-24,0.0030955693119930155,0.00018344814861119584,1.7196495188255132e-22,1.5293410892022402e-26,3.852218171039961e-19,2.0142882850009585e-26,2.1774681722125846e-27,3.3155508334813845e-27,4.280619187863795e-22,7.383479776775249e-35,-4.239028652669771e-21,4.1676001239799906e-23,5.484551762358221e-79,5.416083630803077e-21
1.3351501552377723e-08,0.0027792097116130575,0.0915567593028733,0.0,0.0017635014595907047,0.45134114865957997,2.29445794954004e-38,0.453802439674368,3.241493122363207e-17,1.354649405228753e-22,2.4292182463117393e-16,3.400066331147918e-23,4.07003326794346e-35,3.577585119970856e-05,1.1919328771839492e-13,2.0521421910942105e-24,9.056771947975973e-20,1.1922574367856513e-13,2.336474247623729e-10,4.890810018613744e-20,2.3113885776218713e-21,1.0326779430937039e-19,2.828684525334778e-22,2.7504523697624685e-27,8.35628063280123e-32,3.3412474825966714e-24,0.0030981724328923163,0.00018359177091982056,1.7237127051243588e-22,1.5285235632374155e-26,3.859268908780186e-19,2.0299807450893943e-26,2.1702703975115257e-27,3.3236629875175085e-27,4.2879431560311e-22,7.454835691513775e-35,1.0242414574970253e-20,4.1595424774538095e-23,5.569310991793953e-79,-9.068160247075266e-21
1.3403912456570178e-08,0.0027792097116130575,0.0915567593028733,0.0,0.0017582897901267675,0.4513410584034658,2.3075584219716827e-38,0.4537998527680252,3.244595347542329e-17,1.3590078142000486e-22,2.4315472836461197e-16,3.431116471723513e-23,4.087801652466444e-35,3.567105254116109e-05,1.1982746052181746e-13,2.0462499308917906e-24,9.004548314692256e-20,1.1985994673477928e-13,2.3365383948926644e-10,4.915215009414823e-20,2.310351141136311e-21,1.0297091922475005e-19,2.8481225226788405e-22,2.7694132158518495e-27,8.339788312065453e-32,3.371756201731871e-24,0.0031007593392281215,0.0001837344263633885,1.7277612165665598e-22,1.5276995619357597e-26,3.866284212507928e-19,2.04570859345208e-26,2.163105522348848e-27,3.331745377055976e-27,4.295240032769266e-22,7.526545041222359e-35,-1.2904086529366888e-21,4.112999678994345e-23,5.654994128115632e-79,2.4552862511046337e-21
1.3456323360762633e-08,0.0027792097116130575,0.0915567593028733,0.0,0.0017531105586384617,0.4513409687791271,2.3206794532098221e-38,0.45379728192771784,3.247679450388864e-17,1.3633527299039804e-22,2.433863046637176e-16,3.462288765215111e-23,4.063398575623728e-35,3.5566905618808106e-05,1.204621606075538e-13,2.0403940118008e-24,8.95279905275071e-20,1.2049467689688912e-13,2.3365794946253016e-10,4.9396136790168344e-20,2.30967902677863e-21,1.0267585828595932e-19,2.867591337636528e-22,2.7883921039667485e-27,8.323356174397785e-32,3.402384900283775e-24,0.0031033301795306252,0.0001838761241631461,1.7317951517851786e-22,1.5268692282618715e-26,3.873264350132344e-19,2.0614715888556657e-26,2.1559734587168117e-27,3.339798209314747e-27,4.30251000584092e-22,7.598607711816979e-35,-1.7369167365395268e-20,4.2538592675504924e-23,5.741606994247378e-79,1.8546124428719517e-20
1.3508734264955089e-08,0.0027792097116130575,0.0915567593028733,0.0,0.0017479634685381494,0.45134087978043697,2.3338210209599903e-38,0.45379472700672585,3.2507455960313875e-17,1.3676842137736754e-22,2.43616565234511e-16,3.4935828779064636e-23,4.0549507684659346e-35,3.5463404474147916e-05,1.2109738470476235e-13,2.034574281904077e-24,8.901518414093806e-20,1.2112993089564787e-13,2.336597764581741e-10,4.96400591815667e-20,2.3104757360972584e-21,1.0238259520450054e-19,2.8870907294735288e-22,2.8074468533913074e-27,8.306984062975687e-32,3.43313325020112e-24,0.0031058851005202072,0.00018401687342562917,1.735814608643841e-22,1.5260327028041018e-26,3.880209586977647e-19,2.0772694920291144e-26,2.1488741163694832e-27,3.347821689816657e-27,4.309753261146402e-22,7.671023587747428e-35,1.7006037975484568e-20,4.30468900756228e-23,5.82915542355572e-79,-1.582358931721212e-20
1.3561145169147544e-08,0.0027792097116130575,0.0915567593028733,0.0,0.0017428482268432059,0.4513407914013447,2.3469831035002943e-38,0.4537921878601109,3.253793947595677e-17,1.3720023270803165e-22,2.4384552178719986e-16,3.5249984783227883e-23,4.112822980783546e-35,3.5360543221109723e-05,1.217331295724351e-13,2.0287907061158166e-24,8.850700737636682e-20,1.2176570549162327e-13,2.3365934205082916e-10,4.988391622336511e-20,2.3093102698658925e-21,1.0209111388523009e-19,2.9066204606848687e-22,2.8265179768954808e-27,8.290671818537967e-32,3.4640009256383486e-24,0.0031084242471349343,0.00018415668314442736,1.7398196842367111e-22,1.5251901238187326e-26,3.8871201858143144e-19,2.0931020655425056e-26,2.141807402912563e-27,3.3558160224015796e-27,4.316969982747816e-22,7.743792552013519e-35,1.791459837841383e-20,4.0826516280323626e-23,5.917645259793845e-79,-1.675890202755668e-20
1.361355607334e-08,0.0027792097116130575,0.0915567593028733,0.0,0.0017377645441174405,0.4513407036358753,2.360165679681316e-38,0.45378966434469037,3.256824666235057e-17,1.3763071309289575e-22,2.440731861749923e-16,3.556535231885846e-23,4.0908739931644525e-35,3.525831604502127e-05,1.2236939199903587e-13,2.023042435181337e-24,8.800340447746161e-20,1.22401997474836e-13,2.336566676160591e-10,5.012770694334631e-20,2.307119511556122e-21,1.0180139842580404e-19,2.926180296463549e-22,2.8455471187099006e-27,8.274419278324708e-32,3.494987597695112e-24,0.0031109477625575668,0.0001842955622019162,1.7438104748847576e-22,1.5243416272742363e-26,3.8939964068827954e-19,2.108969073371562e-26,2.1347732238927102e-27,3.363781409240528e-27,4.324160352892746e-22,7.816914486234144e-35,-4.65481605490273e-20,4.2590467733487365e-23,6.007082357252626e-79,4.771526233906695e-20
1.3665966977532455e-08,0.0027792097116130575,0.0915567593028733,0.0,0.0017327121344250303,0.4513406164781281,2.373368728917482e-38,0.4537871563190102,3.2598379111601117e-17,1.3805986862545063e-22,2.442995696098854e-16,3.5881928054026386e-23,4.012784821863827e-35,3.515671720140726e-05,1.230061688021439e-13,2.017329046834508e-24,8.7504320526213e-20,1.230388036644034e-13,2.336517743321692e-10,5.0371430297401247e-20,2.3092288784830172e-21,1.0151343311357674e-19,2.9457700015348187e-22,2.864690098759137e-27,8.258226277186837e-32,3.526092938838338e-24,0.0031134557882420604,0.0001844335193709571,1.7477870761622704e-22,1.5234873468827265e-26,3.900838507922623e-19,2.124870281439235e-26,2.1277714828752213e-27,3.3717180508558886e-27,4.33132455203757e-22,7.890389270668378e-35,4.024018270916736e-21,4.625368119180405e-23,6.097472580764224e-79,-2.8183305928899997e-21
