Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(48),CH2O2X(49),CH3OX(44),CH3X(50),CH4(39),CH4X(236),CH3O2X(47),CH4O2(169),H(23),HCO(31),OCHCO(260),SX(257),CH2OX(167),CHOX(166),SX(186),C2H6O(234),SX(408),SX(460)
0.05082276622385337,0.0005377589567108198,0.0915567593028733,0.0,0.00039693143908551003,0.450361312162114,2.451746096973188e-22,0.4568972401150237,1.2873695289653693e-06,2.817958729151955e-12,2.414064249516685e-06,5.474401642224906e-07,1.533713048397803e-14,1.9497507552026927e-05,5.975270269936622e-11,1.8291727429267173e-17,1.0020065581651266e-10,8.033139148050613e-08,2.3633544167579734e-10,3.0059035454789384e-11,3.5197358371145194e-23,2.3381014935323504e-14,1.3236308329550022e-12,3.356663876415748e-17,1.8462816226450954e-24,4.5379534405816323e-10,0.0011661107905009092,1.9955535241305002e-12,4.206930603023563e-11,5.3813159424107786e-21,3.2599846609937245e-07,3.6154492228988336e-09,1.6313226017722906e-18,7.73851299741252e-12,2.1650457068227233e-22,4.874982129933178e-25,1.919532918970224e-52,9.566529424668543e-14,3.1344711043484334e-21,1.2813007185143258e-20,3.2416668800516996e-21,3.8944976652757944e-18,4.746747768685883e-25,1.2404334600649413e-27
0.05116850525206905,0.0005377589567108198,0.0915567593028733,0.0,0.000396931389794718,0.4503612736764311,2.477113686475157e-22,0.4568972256348018,1.3022899686176795e-06,2.8348004413733365e-12,2.418743522871192e-06,5.518807060195923e-07,1.5506406804084493e-14,1.9497504297729992e-05,5.999271818650522e-11,1.8362958415611466e-17,1.0136192825837709e-10,8.056671554297469e-08,2.3633540538318913e-10,3.016201738836324e-11,3.5197546175674604e-23,2.3424496050125368e-14,1.3333715753897241e-12,3.3816973447403276e-17,1.8498614116346826e-24,4.574762204474702e-10,0.0011661105460435668,1.999421333802027e-12,4.2410545223898285e-11,5.461236797426743e-21,3.3106323944907495e-07,3.671587404043364e-09,1.6344922125812051e-18,7.753574213064016e-12,2.165045615917652e-22,4.891684496180879e-25,1.9460384672252668e-52,9.58514503185605e-14,3.145196956815785e-21,1.2856852599049833e-20,3.2754462945843246e-21,3.98509493137472e-18,4.857170438552019e-25,1.2692892191413132e-27
0.05151424428028473,0.0005377589567108198,0.0915567593028733,0.0,0.00039693134221534883,0.450361235143587,2.5025341449611603e-22,0.4568972112031015,1.3172680680921462e-06,2.851549309401462e-12,2.4233554384835663e-06,5.56308386208863e-07,1.567540189483076e-14,1.94975011264782e-05,6.023213728841832e-11,1.843369519851724e-17,1.0252768847390623e-10,8.079492324936153e-08,2.36335370123566e-10,3.0263693476030326e-11,3.5197731508560015e-23,2.3467351325182113e-14,1.3430762474118286e-12,3.406642660332672e-17,1.8533896741306532e-24,4.611464363552339e-10,0.0011661103064919479,2.0032334707988487e-12,4.275079616768118e-11,5.5417215088271104e-21,3.3616641485744053e-07,3.728150907279024e-09,1.6376162021636157e-18,7.768418627871842e-12,2.1650455248788467e-22,4.908175061884796e-25,1.9726366602375713e-52,9.603492694035234e-14,3.1557866262339005e-21,1.2900141331627548e-20,3.3089911150031777e-21,4.076974586733508e-18,4.969156132031794e-25,1.2985534243180634e-27
0.051859983308500404,0.0005377589567108198,0.0915567593028733,0.0,0.00039693129630542166,0.45036119656401574,2.5280067272638143e-22,0.4568971968192245,1.332303424741011e-06,2.868204911297814e-12,2.427900965985993e-06,5.607228976099965e-07,1.584409452556598e-14,1.94974980362197e-05,6.047095111228228e-11,1.850393966602803e-17,1.0369790512735253e-10,8.101618250926053e-08,2.3633533587176377e-10,3.036407378544138e-11,3.519791440068728e-23,2.350958976919968e-14,1.3527443030717736e-12,3.431498358887029e-17,1.856867151835803e-24,4.648057371511688e-10,0.0011661100717239264,2.00699073651027e-12,4.309003525578903e-11,5.622767849061288e-21,3.4130786219372554e-07,3.785138289301452e-09,1.6406952272012422e-18,7.783049362632782e-12,2.1650454337076943e-22,4.924455460025223e-25,1.999325397523545e-52,9.621576268050026e-14,3.1662411651489988e-21,1.2942877685374097e-20,3.3422997092111628e-21,4.170138722638046e-18,5.082707398598315e-25,1.3282267417234194e-27
0.05220572233671608,0.0005377589567108198,0.0915567593028733,0.0,0.0003969312520231505,0.45036115793815484,2.5535306981657707e-22,0.4568971824824822,1.3473956374648273e-06,2.8847668655157598e-12,2.432381061050925e-06,5.651239399048696e-07,1.6012464086491092e-14,1.9497495024910992e-05,6.070915023405602e-11,1.8573693717628473e-17,1.0487254700340316e-10,8.123066062040647e-08,2.363353026027297e-10,3.046316885431963e-11,3.519809488236959e-23,2.3551220261153295e-14,1.3623752144834779e-12,3.456263019579437e-17,1.8602945757703098e-24,4.68453873892634e-10,0.0011661098416178056,2.01069392078463e-12,4.342823940972838e-11,5.704373561899167e-21,3.4648744899835134e-07,3.842548081057629e-09,1.643729934918852e-18,7.797469493212905e-12,2.1650453424051683e-22,4.940527399818945e-25,2.0261026244640278e-52,9.639399555198806e-14,3.176561675060965e-21,1.2985066162904394e-20,3.37537069276664e-21,4.2645892124150094e-18,5.197826522087681e-25,1.3583097680675195e-27
0.05255146136493176,0.0005377589567108198,0.0915567593028733,0.0,0.0003969312093269486,0.4503611192664434,2.579105332312254e-22,0.45689716819219595,1.3625443067217914e-06,2.901234830060902e-12,2.4367966655920195e-06,5.695112197188035e-07,1.6180490591013066e-14,1.949749209051813e-05,6.094672475401865e-11,1.864295926532955e-17,1.0605158300778857e-10,8.143852406550877e-08,2.363352702915296e-10,3.056098966540572e-11,3.519827298337513e-23,2.3592251552149552e-14,1.3719684717697947e-12,3.480935265108742e-17,1.863672666425683e-24,4.720906033916802e-10,0.0011661096160525122,2.0143438020951066e-12,4.37653860845482e-11,5.786536363476172e-21,3.5170504054781165e-07,3.900378788461106e-09,1.646720963220166e-18,7.811682051193702e-12,2.165045250972506e-22,4.956392662669587e-25,2.0529663380118126e-52,9.656966302032506e-14,3.1867493038049164e-21,1.3026711456251285e-20,3.4082029199018754e-21,4.3603277138757855e-18,5.3145155236759695e-25,1.3888030314186474e-27
0.05289720039314744,0.0005377589567108198,0.0915567593028733,0.0,0.00039693116817544633,0.45036108054932256,2.604729914123004e-22,0.4568971539476972,1.3777490345380863e-06,2.917608501302726e-12,2.4411487079622053e-06,5.738844506917798e-07,1.634815467455044e-14,1.949748923101972e-05,6.118366431532962e-11,1.8711738233452925e-17,1.0723498216750288e-10,8.163993831979449e-08,2.3633523891338735e-10,3.06575476150218e-11,3.519844873295394e-23,2.3632692267213143e-14,1.381523582915736e-12,3.505513761562379e-17,1.8670021339154504e-24,4.757156882721267e-10,0.0011661093949077706,2.0179411477010062e-12,4.41014532739626e-11,5.869253943262539e-21,3.5696049991976354e-07,3.9586288930870325e-09,1.6496689408191225e-18,7.825690024510866e-12,2.1650451594112315e-22,4.972053097082841e-25,2.0799145809238686e-52,9.674280201133467e-14,3.1968052422839193e-21,1.3067818433483717e-20,3.4407954711859436e-21,4.457355671732463e-18,5.432776164737426e-25,1.41970699196063e-27
0.053242939421363114,0.0005377589567108198,0.0915567593028733,0.0,0.0003969311285276246,0.4503610417872346,2.630403737703595e-22,0.45689713974832646,1.3930094245190405e-06,2.933887612971931e-12,2.4454381031488925e-06,5.782433535398388e-07,1.6515437590957432e-14,1.9497486444410126e-05,6.141995819986393e-11,1.878003256106101e-17,1.0842271363247037e-10,8.18350676690791e-08,2.3633520844372755e-10,3.075285448929891e-11,3.519862215984868e-23,2.3672550907176712e-14,1.3910400737029345e-12,3.52999721839741e-17,1.8702836781263695e-24,4.793288970231253e-10,0.001166109178064143,2.0214867138132133e-12,4.443641951545787e-11,5.952523965168641e-21,3.622536880581505e-07,4.017296852926732e-09,1.6525744873764532e-18,7.839496358082647e-12,2.1650450677222965e-22,4.987510614776178e-25,2.1069454402106715e-52,9.691344891909894e-14,3.2067307219855305e-21,1.3108392128576036e-20,3.473147646112033e-21,4.555674320134736e-18,5.552609950027217e-25,1.4510220428161072e-27
0.05358867844957879,0.0005377589567108198,0.0915567593028733,0.0,0.0003969310903428093,0.45036100298062187,2.656126106756098e-22,0.45689712559343443,1.408325081861256e-06,2.9500719352906984e-12,2.4496657529663717e-06,5.825876561066415e-07,1.668232121245827e-14,1.9497483728699854e-05,6.165559524617546e-11,1.884784420354448e-17,1.0961474667650249e-10,8.202407503847229e-08,2.3633517885817267e-10,3.084692244012882e-11,3.519879329231934e-23,2.371183585047805e-14,1.4005174876106275e-12,3.554384388347325e-17,1.873517988866088e-24,4.82930004042042e-10,0.0011661089654032093,2.024981245753487e-12,4.4770263894355137e-11,6.036344068588272e-21,3.6758446383835706e-07,4.076381103111689e-09,1.6554382136305632e-18,7.85310395442789e-12,2.1650449759068956e-22,5.002767186792535e-25,2.1340570570180448e-52,9.708163961361741e-14,3.2165270124629153e-21,1.3148437731125167e-20,3.5052589550484156e-21,4.655284685513473e-18,5.674018131171505e-25,1.4827485109528378e-27
0.05393441747779447,0.0005377589567108198,0.0915567593028733,0.0,0.00039693105358065245,0.45036096412992693,2.681896334489154e-22,0.4568971114823806,1.4236956133650997e-06,2.966161273767788e-12,2.453832546245457e-06,5.869170934057619e-07,1.6848788025385657e-14,1.9497481081918073e-05,6.189056412441054e-11,1.8915175130318423e-17,1.108110506972066e-10,8.220712183120792e-08,2.3633515013257517e-10,3.0939763954420356e-11,3.519896215817137e-23,2.3750555354824133e-14,1.4099553856015615e-12,3.5786740671287295e-17,1.876705746006328e-24,4.865187896659478e-10,0.0011661087568077416,2.028425478106571e-12,4.5102966046446377e-11,6.1207118692896196e-21,3.7295268413235425e-07,4.13588005658813e-09,1.6582607215205628e-18,7.866515674278091e-12,2.1650448839667043e-22,5.017824838543474e-25,2.161247617937362e-52,9.724740944816577e-14,3.2261954181464678e-21,1.318796057327424e-20,3.537129105516607e-21,4.756187589283013e-18,5.797001709808849e-25,1.51488665802247e-27
0.054280156506010147,0.0005377589567108198,0.0915567593028733,0.0,0.00039693101820128835,0.45036092523559196,2.7077137435272363e-22,0.456897097414534,1.439120627448459e-06,2.982155467891295e-12,2.4579393590204003e-06,5.912314076529375e-07,1.7014821122554213e-14,1.9497478502116012e-05,6.212485293078556e-11,1.8982027329147418e-17,1.1201159521816981e-10,8.238436777846342e-08,2.3633512224306547e-10,3.103139182603841e-11,3.519912878476031e-23,2.3788717559027766e-14,1.419353345971749e-12,3.602865093210169e-17,1.8798476196283696e-24,4.900950402020562e-10,0.0011661085521616939,2.031820134880166e-12,4.5434506160990675e-11,6.205624960516436e-21,3.7835820387357605e-07,4.195792104881783e-09,1.6610426043186342e-18,7.879734337179327e-12,2.1650447919026474e-22,5.03268564520891e-25,2.1885153499812208e-52,9.74107932669744e-14,3.2357372754146454e-21,1.3226966117764533e-20,3.5687579948264295e-21,4.858383650587612e-18,5.921561441060885e-25,1.5474366812569587e-27
0.054625895534225824,0.0005377589567108198,0.0915567593028733,0.0,0.00039693098416532485,0.4503608862980577,2.733577665819586e-22,0.45689708338927243,1.4545997341598003e-06,2.9980543907038824e-12,2.4619870547131142e-06,5.95530348290425e-07,1.7180404200040322e-14,1.9497475987366485e-05,6.235845009597801e-11,1.904840280438247e-17,1.1321634989030906e-10,8.25559707979701e-08,2.363350951660369e-10,3.112181914406291e-11,3.5199293199013037e-23,2.3826330484761825e-14,1.4287109643021853e-12,3.6269563477813165e-17,1.882944270165087e-24,4.93658547949149e-10,0.0011661083513503526,2.0351659296588575e-12,4.57648649829081e-11,6.291080914045336e-21,3.838008761216779e-07,4.256115618832286e-09,1.6637844467571662e-18,7.892762722083131e-12,2.1650446997158087e-22,5.047351729839003e-25,2.2158585363344563e-52,9.757182541261559e-14,3.2451539513496442e-21,1.3265459952880852e-20,3.6001457039557766e-21,4.961873289513131e-18,6.04769783752747e-25,1.5803987144989358e-27
0.0549716345624415,0.0005377589567108198,0.0915567593028733,0.0,0.00039693095143377555,0.4503608473177633,2.7594874425478604e-22,0.45689706940598296,1.4701325451941958e-06,3.013857946812282e-12,2.4659764843147473e-06,5.998136719999697e-07,1.7345521553788962e-14,1.9497473535765805e-05,6.259134263660613e-11,1.9114303580753125e-17,1.1442528449130999e-10,8.27220868652326e-08,2.363350688781694e-10,3.121105924391573e-11,3.519945542745845e-23,2.38634020380819e-14,1.4380278530341163e-12,3.650946753996773e-17,1.8859963485363518e-24,4.972091112022599e-10,0.0011661081542605313,2.0384635657461914e-12,4.6094023812763825e-11,6.3770772809610204e-21,3.8928055212697277e-07,4.316848949226828e-09,1.666486825142503e-18,7.905603567932951e-12,2.165044607408041e-22,5.0618252554874405e-25,2.243275507129748e-52,9.773053973289328e-14,3.2544468386652115e-21,1.3303447771650118e-20,3.6312924822517426e-21,5.066656730035117e-18,6.175411172626183e-25,1.6137728291032242e-27
0.05531737359065718,0.0005377589567108198,0.0915567593028733,0.0,0.0003969309199682425,0.4503608082951465,2.7854424240344695e-22,0.4568970554640614,1.485718673904499e-06,3.029566072409166e-12,2.469908486564661e-06,6.040811427119899e-07,1.7510158062038987e-14,1.949747114543765e-05,6.282351991293079e-11,1.91797316922098e-17,1.1563836892793801e-10,8.288286988929064e-08,2.3633504335648625e-10,3.1299125713651395e-11,3.519961549622627e-23,2.389994001121072e-14,1.447303641525837e-12,3.674835277164547e-17,1.889004496289066e-24,5.0074653426507e-10,0.0011661079607805044,2.0417137363195086e-12,4.642196450809988e-11,6.463611592744025e-21,3.947970813946436e-07,4.377990427571464e-09,1.6691503074832822e-18,7.918259574241168e-12,2.165044514980248e-22,5.0761084261555995e-25,2.2707646226895476e-52,9.788696958827642e-14,3.2636173563684983e-21,1.334093537457315e-20,3.662198739881412e-21,5.1727340028126025e-18,6.304701484148753e-25,1.6475590348551533e-27
0.055663112618872856,0.0005377589567108198,0.0915567593028733,0.0,0.00039693088973091805,0.4503607692306425,2.811441969647531e-22,0.4568970415629122,1.5013577353238012e-06,3.04517873191296e-12,2.4737838881268054e-06,6.083325315959416e-07,1.7674299190936463e-14,1.9497468814531693e-05,6.305496585342117e-11,1.9244689213271068e-17,1.1685557323878437e-10,8.30384716091013e-08,2.3633501857832626e-10,3.1386032314981916e-11,3.5199773431062533e-23,2.3935952084283638e-14,1.456537975473287e-12,3.6986209235173045e-17,1.891969345734586e-24,5.042706274453745e-10,0.0011661077708001173,2.044917124580243e-12,4.6748669483437793e-11,6.550681362369566e-21,4.003503117480088e-07,4.439538366837769e-09,1.6717754536157871e-18,7.930733401653463e-12,2.1650444224333236e-22,5.090203473992019e-25,2.298324307994952e-52,9.804114785908963e-14,3.2726669414821095e-21,1.337792863585037e-20,3.692865044561941e-21,5.280104948805915e-18,6.435568578859892e-25,1.6817572811443086e-27
0.05597427774426696,0.0005377589567108198,0.0915567593028733,0.0,0.0003969308635365505,0.45036073403713267,2.834879140763423e-22,0.456897029086253,1.5154778312471455e-06,3.059148499477772e-12,2.477224029589209e-06,6.12144848336643e-07,1.7821591107584674e-14,1.949746676601476e-05,6.326263594321576e-11,1.930275031573549e-17,1.1795455495160545e-10,8.317420671255861e-08,2.363349968952278e-10,3.1463268179676243e-11,3.5199913768904503e-23,2.3967919563857776e-14,1.4648131533344354e-12,3.7199392586226026e-17,1.894601205445878e-24,5.074307623097756e-10,0.001166107602720385,2.0477607318669543e-12,4.704163333391389e-11,6.629499901516684e-21,4.0537947141561226e-07,4.495277627449658e-09,1.6741057638762456e-18,7.941806251516994e-12,2.1650443390410014e-22,5.102730055357363e-25,2.3231870915264287e-52,9.817800999166987e-14,3.2807093830904473e-21,1.3410804864724728e-20,3.7202601419495606e-21,5.3778446088780304e-18,6.5546967704046285e-25,1.7128879076729098e-27
0.05622957988826249,0.0005377589567108198,0.0915567593028733,0.0,0.00039693084274639744,0.45036070513700055,2.854134930335973e-22,0.4568970188735214,1.527094561871782e-06,3.0705525513428396e-12,2.4800132332211197e-06,6.152627734001523e-07,1.794212492829346e-14,1.9497465119189308e-05,6.343256801837234e-11,1.935010547646267e-17,1.1885869718581794e-10,8.328260503354822e-08,2.3633497952988054e-10,3.152595201334446e-11,3.520002764944533e-23,2.3993838245357423e-14,1.4715772544579802e-12,3.7373670682145536e-17,1.896735071156464e-24,5.100152971554423e-10,0.0011661074668125112,2.0500662785614264e-12,4.728123556343056e-11,6.6944893807699055e-21,4.095277830110631e-07,4.541254073972625e-09,1.6759951392266716e-18,7.950783916742931e-12,2.1650442705495097e-22,5.11289649524548e-25,2.3436272864016165e-52,9.828897541792551e-14,3.2872364552514506e-21,1.3437486509902286e-20,3.742592738792162e-21,5.4588193298212574e-18,6.653391331953586e-25,1.7386788066906355e-27
0.05648488203225802,0.0005377589567108198,0.0915567593028733,0.0,0.00039693082257303067,0.45036067621464715,2.8734141208887365e-22,0.45689700868218697,1.5387396057189565e-06,3.081904570005027e-12,2.482772732776577e-06,6.183716190653357e-07,1.8062369164733393e-14,1.949746350217839e-05,6.360208349100848e-11,1.9397207069342323e-17,1.197650431034278e-10,8.33883903990135e-08,2.3633496253827833e-10,3.158802364853804e-11,3.520014040254161e-23,2.4019480932987752e-14,1.4783182839214863e-12,3.754737458217669e-17,1.898846213785504e-24,5.125923062493386e-10,0.001166107332658931,2.052347273771114e-12,4.7520140132282534e-11,6.759767206599912e-21,4.1369588358528627e-07,4.587449679104112e-09,1.6778643956016896e-18,7.959665974215795e-12,2.1650442019945626e-22,5.1229636408476005e-25,2.3641037832471378e-52,9.839875920448446e-14,3.293699700111445e-21,1.3463907245296935e-20,3.764795669249654e-21,5.5404987435794874e-18,6.752944803335772e-25,1.76469415346147e-27
