Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59)
1.047088920045324e-08,0.0005284065757894736,0.0915567593028733,0.0,0.00010425566840378775,0.45153985667294294,1.1715727593591934e-39,0.4561779615486575,1.8444164622435544e-17,1.5167430279554496e-26,1.5349351030474526e-16,2.0381784173448524e-21,-1.6949812684746818e-35,5.54336621232375e-06,6.84018024655856e-15,1.3583913298828756e-25,2.7516791778151577e-20,6.858651344106202e-15,6.685329138075882e-11,5.798042780047705e-22,1.0728041047216112e-19,3.40948791101893e-20,2.8974943449692682e-21,-4.998374600047421e-21,2.506123580531367e-32,6.39021116997881e-23,0.0007226507255088631,5.0498365765650885e-14,1.7503923595625176e-24,1.1588756303321633e-28
1.0480324602258813e-08,0.0005284065757894736,0.0915567593028733,0.0,0.00010417086578148128,0.4515398589334874,1.1728290410630444e-39,0.45617791688680553,1.844560907765764e-17,1.5182854582064598e-26,1.5350534606671564e-16,-2.0153032866826781e-22,-1.6770044188152763e-35,5.538845123313939e-06,6.847336731977568e-15,2.680266635393101e-25,2.747183919480229e-20,6.8658092287577014e-15,6.684589759220777e-11,5.80197321956795e-22,1.9306920018994258e-20,3.4067616485580693e-20,-5.6247515429863236e-21,5.833762115178198e-21,2.5042678885570677e-32,-6.318926838861139e-24,0.000722695387368208,5.051444219556617e-14,1.7507939870963938e-24,1.1581999522961897e-28
1.0489760004064386e-08,0.0005284065757894736,0.0915567593028733,0.0,0.00010408620719210088,0.45153986119019757,1.1740854204878399e-39,0.4561778723008044,1.8447051063510562e-17,1.5198246496700128e-26,1.5351943292184079e-16,6.577529705968301e-21,-1.729003998809559e-35,5.534331702918804e-06,6.854493658568637e-15,5.907126141653606e-25,2.742690379608532e-20,6.8729675522335585e-15,6.683848138518038e-11,5.806724966970528e-22,-2.82600320270394e-19,3.404038014600692e-20,2.0101059606482687e-20,-2.688356890868648e-20,2.5024174541166533e-32,2.0622325701455272e-22,0.0007227399733767883,5.0530505554621285e-14,1.7511951777346163e-24,1.1575253305170762e-28
1.049919540586996e-08,0.0005284065757894736,0.0915567593028733,0.0,0.00010400169227443726,0.4515398634430831,1.1753418983828448e-39,0.4561778277904638,1.8448491007421827e-17,1.5213577237583743e-26,1.5353011609524956e-16,7.718928554571241e-21,-1.8535795578192583e-35,5.529825931903659e-06,6.8616510253663845e-15,2.531367285212708e-25,2.738241512903938e-20,6.880126313790582e-15,6.683104191133429e-11,5.8101936739729575e-22,6.354464398599113e-20,3.401298396202474e-20,2.4135759995037182e-20,-3.209524582647961e-20,2.5005762960749264e-32,2.420092756650134e-22,0.0007227844837248328,5.054655586500635e-14,1.7515959325309302e-24,1.1568506421290213e-28
1.0508630807675533e-08,0.0005284065757894736,0.0915567593028733,0.0,0.00010391732066849508,0.4515398656921535,1.1765984760798721e-39,0.456177783355594,1.8449928556539185e-17,1.5228975626818094e-26,1.535383593160269e-16,-1.0301696321289317e-20,-1.8485941575986426e-35,5.525327791082699e-06,6.868808831659771e-15,-1.976657555883222e-26,2.7338005939032776e-20,6.887285512684026e-15,6.682357938945833e-11,5.812824965717265e-22,5.045407628370469e-19,3.3985824968819356e-20,-4.457752283469295e-20,5.520367555055806e-20,2.4987403844123625e-32,-3.229868743767701e-22,0.000722828918601936,5.0562593148859727e-14,1.751996252456848e-24,1.1561772002177766e-28
1.0518066209481106e-08,0.0005284065757894736,0.0915567593028733,0.0,0.0001038330920154391,0.4515398679374183,1.177855138168591e-39,0.4561777389960064,1.8451363437925255e-17,1.5244533207799666e-26,1.5355105428850498e-16,-5.671719169352461e-22,-1.686079846266174e-35,5.520837261357114e-06,6.875967076966994e-15,3.3499029954733415e-25,2.7293391825292497e-20,6.894445148174232e-15,6.681609498766311e-11,5.817080944772036e-22,-6.066457752557306e-20,3.395878542076631e-20,-6.967649112560352e-21,7.5539224433552e-21,2.496879877141977e-32,-1.77827856384722e-23,0.0007228732781970589,5.0578617428262716e-14,1.752396138541046e-24,1.1555050603687897e-28
1.052750161128668e-08,0.0005284065757894736,0.0915567593028733,0.0,0.00010374900595763072,0.45153987017888714,1.1791118882744508e-39,0.45617769471151237,1.8452796092536022e-17,1.525986458361048e-26,1.5356474112716635e-16,3.2444829379178715e-20,-1.8430535897166232e-35,5.516354323713437e-06,6.8831257604121714e-15,4.384001827054894e-25,2.724901741062201e-20,6.901605219528209e-15,6.680858820311278e-11,5.821596985213789e-22,-3.803359980642208e-19,3.393145080675996e-20,1.1851179040848864e-19,-1.5197236686685682e-19,2.495010801010938e-32,1.0172342578647673e-21,0.0007229175626985327,5.0594628725237205e-14,1.752795591862288e-24,1.1548327175808865e-28
1.0536937013092253e-08,0.0005284065757894736,0.0915567593028733,0.0,0.0001036650621386371,0.45153987241656934,1.1803687381742603e-39,0.4561776505019244,1.8454226526104512e-17,1.527489554919091e-26,1.5357603634145708e-16,2.449284442547969e-21,-2.2559109016538034e-35,5.511878959168051e-06,6.890284881124694e-15,2.911507673912419e-25,2.7204880369763853e-20,6.908765726008376e-15,6.680105855207385e-11,5.825399549345108e-22,2.1232889990749362e-20,3.3904525344724753e-20,2.8813427971327073e-21,-5.405610477113882e-21,2.4931817357023715e-32,7.67914644286369e-23,0.0007229617722940608,5.061062706175162e-14,1.7531946133338585e-24,1.1541629913232577e-28
1.0546372414897826e-08,0.0005284065757894736,0.0915567593028733,0.0,0.00010358126020322002,0.45153987465047457,1.1816256888656963e-39,0.45617760636705534,1.8455654522073623e-17,1.5290181084249622e-26,1.5358862135401895e-16,-6.996051771095038e-21,-2.3948198202178545e-35,5.5074111487895e-06,6.897444438505999e-15,3.4295596200594633e-25,2.7160753560054074e-20,6.9159266668769085e-15,6.679350669145353e-11,5.829635063169192e-22,-4.156840991097741e-20,3.387765832582512e-20,-3.353420212867596e-20,4.075153954979187e-20,2.4913780750003775e-32,-2.193457891541543e-22,0.0007230059071707216,5.062661245972257e-14,1.7535932040322186e-24,1.1534936397800687e-28
1.0555807816703399e-08,0.0005284065757894736,0.0915567593028733,0.0,0.00010349759979732227,0.45153987688061203,1.1828827401764611e-39,0.4561775623067187,1.84570801752355e-17,1.5305686183966197e-26,1.5359991168264834e-16,3.860136933840691e-21,-2.2948116272190313e-35,5.502950873727288e-06,6.9046044317189565e-15,4.139796785410552e-25,2.711672801789066e-20,6.923088041401966e-15,6.678593226401045e-11,5.833322633871803e-22,-2.6961635428858262e-20,3.385058711805913e-20,8.190416870872067e-21,-1.216969331480342e-20,2.489561073188968e-32,1.2102557502428053e-22,0.0007230499675149718,5.0642584941009954e-14,1.7539913649808425e-24,1.1528242629014677e-28
