Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(41),COX(42),CHOX(51),CH2O2X(43)
1.2619044195629376e-08,0.00264225016925734,0.0,0.0,0.001201371594963511,0.7963175997011673,0.09999894882273722,0.09999999997206317,2.4497375685957724e-13,2.7784340703891767e-24,3.139221036405596e-16,3.694897630846173e-25,3.2714965095338996e-39,0.004604194723318124,2.543142115388537e-16,1.886365676448616e-18,1.259520460661908e-17,1.0511498120449872e-06,2.7691053682802916e-11,1.0302479546227286e-16,7.751516872507427e-21,1.0428591008236144e-23,1.5295697667003907e-21,8.01540537953765e-28,4.08354313897228e-33,4.45752604387904e-28,0.0013803029369498041,2.7692811204542654e-11,3.4219218380015466e-15,1.7434419206787055e-22
1.2686266355362043e-08,0.00264225016925734,0.0,0.0,0.001198069185739901,0.7963180157063657,0.09999895171285825,0.09999999997213711,2.4717576953632155e-13,2.8286694327669036e-24,3.165680248656255e-16,3.780912876054735e-25,3.3595889065505955e-39,0.004611637332559937,2.536142998759138e-16,1.8902880738461537e-18,1.2673728362185089e-17,1.048259769291726e-06,2.7614934599757013e-11,1.0355667752362597e-16,7.759518391027967e-21,1.0445372332051679e-23,1.5487712648128138e-21,8.143279142514337e-28,4.12461846667958e-33,4.551714518717132e-28,0.0013761656271298543,2.7616685635940458e-11,3.443032540104847e-15,1.7533059021919032e-22
1.275348851509471e-08,0.00264225016925734,0.0,0.0,0.0011947851581934912,0.7963184284701871,0.09999895458689,0.09999999997221058,2.493837669457644e-13,2.879531539914927e-24,3.1922093198066675e-16,3.8684374029314337e-25,3.4495432208512535e-39,0.0046190366635125045,2.529182894996086e-16,1.8914657760936923e-18,1.2752046762714681e-17,1.0453858154345202e-06,2.7539239208727333e-11,1.0408795337018779e-16,7.767464129452429e-21,1.0462055826447534e-23,1.5681022593455357e-21,8.272450909375819e-28,4.165857205180976e-33,4.64730857002517e-28,0.0013720531978311911,2.7540983799949848e-11,3.46415263291567e-15,1.7631548034574224e-22
1.2820710674827377e-08,0.00264225016925734,0.0,0.0,0.0011915193689053978,0.7963188380264936,0.099998957444958,0.09999999997228363,2.5159941191030375e-13,2.9310245880508372e-24,3.218807899523409e-16,3.9574886854959174e-25,3.541387666986206e-39,0.00462639307098827,2.522261759604015e-16,1.8956754346820704e-18,1.2830322783099272e-17,1.0425278249228747e-06,2.7463964199621496e-11,1.0461862149704618e-16,7.775354645879593e-21,1.0478642295612075e-23,1.587562767813139e-21,8.402925485265087e-28,4.207258684204836e-33,4.7443195850828345e-28,0.0013679654377840957,2.7465702390440242e-11,3.4852819769534513e-15,1.7729885761601116e-22
1.2887932834560044e-08,0.00264225016925734,0.0,0.0,0.0011882716759055252,0.7963192444087128,0.0999989602871865,0.09999999997235626,2.538232473058175e-13,2.98315277387296e-24,3.245475639738826e-16,4.048084283720198e-25,3.635150704910627e-39,0.00463370690603197,2.515378706832366e-16,1.8988351070851397e-18,1.2908629247306454e-17,1.0396856734756588e-06,2.7389106303170063e-11,1.0514868045568274e-16,7.783190491091875e-21,1.0495132535368301e-23,1.6071528056316874e-21,8.534707642021112e-28,4.24882223566776e-33,4.842758940174386e-28,0.0013639021380404933,2.7390838134680097e-11,3.5064204346216282e-15,1.782807173998112e-22
1.2955154994292711e-08,0.00264225016925734,0.0,0.0,0.0011850419386542001,0.7963196476498415,0.09999896311369856,0.09999999997242848,2.560538324627538e-13,3.035920294493391e-24,3.2722121946353055e-16,4.140241843075091e-25,3.7308610401527146e-39,0.004640978515964688,2.5085344006109106e-16,1.9009212674123916e-18,1.2986875371024256e-17,1.0368592380636318e-06,2.731466228000255e-11,1.0567812885321794e-16,7.790972208670557e-21,1.0511527332998066e-23,1.6268723861351833e-21,8.66780211812527e-28,4.2905471936790054e-33,4.9426380000160595e-28,0.001359863091943164,2.7316387792912715e-11,3.527567870179613e-15,1.7926105526429203e-22
1.3022377154025378e-08,0.00264225016925734,0.0,0.0,0.0011818300180243,0.7963200477824535,0.09999896592461598,0.09999999997250027,2.5829090652974893e-13,3.0893313473716254e-24,3.2990172206295827e-16,4.233979094075381e-25,3.828547623972204e-39,0.004648208244432023,2.501727171755109e-16,1.904629102352536e-18,1.3064999606022578e-17,1.0340483968945176e-06,2.7240628921258537e-11,1.0620696535123123e-16,7.798700335110035e-21,1.0527827467405166e-23,1.6467215206044076e-21,8.80221361879285e-28,4.3324328945638385e-33,5.0439681171899605e-28,0.0013558480950953402,2.724234815794426e-11,3.548724149715155e-15,1.8023986697017342e-22
1.3089599313758045e-08,0.00264225016925734,0.0,0.0,0.0011786357762836918,0.7963204448387057,0.09999896872005934,0.09999999997257164,2.605349820856224e-13,3.143390130248939e-24,3.325890376357081e-16,4.329313851823813e-25,3.928239653507929e-39,0.004655396431452314,2.4949575271078076e-16,1.907445429864301e-18,1.3143044861105551e-17,1.0312530293972834e-06,2.7167003054168446e-11,1.067351886646762e-16,7.806375399933823e-21,1.054403370928891e-23,1.6667002182974282e-21,8.937946816071214e-28,4.374478676878122e-33,5.146760631586015e-28,0.0013518569453307588,2.7168716054739262e-11,3.569889141117159e-15,1.812171484680016e-22
1.3156821473490712e-08,0.00264225016925734,0.0,0.0,0.0011754590770779614,0.7963208388503442,0.09999897150014798,0.0999999999726426,2.627859168912703e-13,3.198100841083789e-24,3.352831322656329e-16,4.4262640155541225e-25,4.02996657191408e-39,0.004662543413464108,2.4882256396099485e-16,1.9098868761855068e-18,1.3221048247202144e-17,1.0284730162071505e-06,2.7093781535424765e-11,1.0726279756086612e-16,7.813997925806846e-21,1.0560146821188551e-23,1.6868084864798076e-21,9.075006348879199e-28,4.4166838814213736e-33,5.251026869852911e-28,0.0013478894426841828,2.7095488340022144e-11,3.591062714049009e-15,1.8219289589442959e-22
1.3224043633223379e-08,0.00264225016925734,0.0,0.0,0.0011722997854134434,0.7963212298487091,0.0999989742650001,0.09999999997271317,2.6504391039366655e-13,3.2534676779883158e-24,3.379839722553462e-16,4.524847568173523e-25,4.1337580684859096e-39,0.004669649523372885,2.4815300220454684e-16,1.913406796088826e-18,1.3298991935599114e-17,1.0257082391509723e-06,2.7020961252379206e-11,1.0778979085842198e-16,7.82156842864587e-21,1.0576167557608386e-23,1.7070463304545314e-21,9.213396823115866e-28,4.459047851254301e-33,5.356778144858178e-28,0.0013439453893623829,2.7022661901886155e-11,3.61224473992234e-15,1.8316710556863146e-22
