Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CHO3X(91)
4.601301397621897e-07,0.0026772599839999995,0.1557,0.0,0.004243673110306865,0.6388222293924695,0.2019,0.0,0.0,5.61994871267726e-36,0.0,2.7034227827756693e-36,6.134568949534872e-62,0.00011546483014877701,0.0,0.0,0.0,-1.2786306938997154e-38,0.0,-2.5123313196553058e-36,0.0,0.0,-4.772375149472388e-38,-3.205256898969891e-42,0.0,1.6745533187748114e-37,0.0,0.003520038192456379,-2.4155843545850337e-46,-6.509751634453727e-45,0.0,9.415129799009791e-40,6.923844966298147e-43,0.0
4.611219973715038e-07,0.0026772599839999995,0.1557,0.0,0.00424344042146877,0.6388219937198224,0.2019,0.0,0.0,5.631565347978756e-36,0.0,2.6988509566796364e-36,6.150180960022998e-62,0.00011545886253087905,0.0,0.0,0.0,-1.2826183949183394e-38,0.0,-2.50663804885207e-36,0.0,0.0,-4.739400646378914e-38,1.1993433033610913e-41,0.0,1.6716153725446837e-37,0.0,0.0035202768489123724,-2.4095410365855215e-46,-6.489383802528731e-45,0.0,9.398691036727429e-40,6.937635373588258e-43,0.0
4.6211385498081794e-07,0.0026772599839999995,0.1557,0.0,0.004243209925861036,0.6388217602685304,0.2019,0.0,0.0,5.643179959729988e-36,0.0,2.694281902668628e-36,6.165766552835459e-62,0.00011545295116227082,0.0,0.0,0.0,-1.286593574220812e-38,0.0,-2.500950986229482e-36,0.0,0.0,-4.702226728636569e-38,-9.67043931027238e-42,0.0,1.6686792923762671e-37,0.0,0.0035205132558887155,-2.40350164663408e-46,-6.46909512862913e-45,0.0,9.382367850883912e-40,6.951427002778965e-43,0.0
4.6310571259013207e-07,0.0026772599839999995,0.1557,0.0,0.004242981602576776,0.6388215290174183,0.2019,0.0,0.0,5.654792547494233e-36,0.0,2.6897084242679655e-36,6.1813253312059815e-62,0.00011544709550689217,0.0,0.0,0.0,-1.2905562504797398e-38,0.0,-2.4952690074210325e-36,0.0,0.0,-4.6662869176917115e-38,-7.322300242593538e-42,0.0,1.6657405564832666e-37,0.0,0.0035207474348283537,-2.3974699366785842e-46,-6.448793693562077e-45,0.0,9.366016192061979e-40,6.96521973834519e-43,0.0
4.640975701994462e-07,0.0026772599839999995,0.1557,0.0,0.004242755430912903,0.6388212999455178,0.2019,0.0,0.0,5.6664031108698456e-36,0.0,2.6852046057041382e-36,6.196857282381977e-62,0.0001154412950337631,0.0,0.0,0.0,-1.2945064389451958e-38,0.0,-2.4895919307225536e-36,0.0,0.0,-4.6392764831567923e-38,1.7072176532734855e-41,0.0,1.6628456239046445e-37,0.0,0.0035209794069653564,-2.391447073214556e-46,-6.428477897810684e-45,0.0,9.349707391460149e-40,6.9790135323809165e-43,0.0
4.650894278087603e-07,0.0026772599839999995,0.1557,0.0,0.004242531390368087,0.6388210730320648,0.2019,0.0,0.0,5.678011649465342e-36,0.0,2.680736191180934e-36,6.2123627470718005e-62,0.00011543554921690853,0.0,0.0,0.0,-1.298444153986311e-38,0.0,-2.4839205364918883e-36,0.0,0.0,-4.610152774511474e-38,-9.74038266774222e-42,0.0,1.6599730210346882e-37,0.0,0.0035212091933270267,-2.385426157886935e-46,-6.408259528313305e-45,0.0,9.333551065662227e-40,6.992808518882965e-43,0.0
4.6608128541807445e-07,0.0026772599839999995,0.1557,0.0,0.004242309460640294,0.6388208482564963,0.2019,0.0,0.0,5.6896181628721773e-36,0.0,2.6762536061309713e-36,6.227842101770247e-62,0.00011542985753573637,0.0,0.0,0.0,-1.3023694123547805e-38,0.0,-2.4782556736461672e-36,0.0,0.0,-4.5809966525110224e-38,-1.341965214004396e-41,0.0,1.6570916622365796e-37,0.0,0.0035214368147359933,-2.3794138118160072e-46,-6.388034791464291e-45,0.0,9.317556703588747e-40,7.006604530284037e-43,0.0
4.670731430273886e-07,0.0026772599839999995,0.1557,0.0,0.004242089621625037,0.6388206255984505,0.2019,0.0,0.0,5.7012226506628804e-36,0.0,2.6718440597802018e-36,6.243295591567823e-62,0.0001154242194746997,0.0,0.0,0.0,-1.3062822335828603e-38,0.0,-2.4725977507386643e-36,0.0,0.0,-4.562761623190061e-38,2.3307137588082383e-41,0.0,1.6542562283990175e-37,0.0,0.0035216622918122853,-2.373414463620549e-46,-6.367775580506992e-45,0.0,9.30166625078521e-40,7.020401452543192e-43,0.0
4.680650006367027e-07,0.0026772599839999995,0.1557,0.0,0.004241871853413619,0.6388204050377633,0.2019,0.0,0.0,5.712825112409434e-36,0.0,2.6674602755806652e-36,6.2587232465801365e-62,0.0001154186345230141,0.0,0.0,0.0,-1.3101826374504943e-38,0.0,-2.4669467316897087e-36,0.0,0.0,-4.5395564980145134e-38,-8.260833584591871e-42,0.0,1.6514370711454539e-37,0.0,0.0035218856449753906,-2.367416635568695e-46,-6.347640779503131e-45,0.0,9.285828794370864e-40,7.034199513225476e-43,0.0
4.6905685824601683e-07,0.0026772599839999995,0.1557,0.0,0.004241656136290691,0.6388201865544664,0.2019,0.0,0.0,5.724425547695069e-36,0.0,2.6630182128199665e-36,6.274125055504013e-62,0.0001154131021750625,0.0,0.0,0.0,-1.314070642855215e-38,0.0,-2.4613025024290763e-36,0.0,0.0,-4.511014309298213e-38,-2.259573804188427e-41,0.0,1.6485814919522491e-37,0.0,0.00352210689444627,-2.3614262756564196e-46,-6.327509295669325e-45,0.0,9.270040707843781e-40,7.047998554347468e-43,0.0
