Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),H2X(53)
2.8074841015900806e-09,0.00048144307504249394,0.1557,0.0,8.838742590972848e-05,0.6421782575208389,0.20079770318747345,1.7783076904086303e-48,-7.27982758789989e-67,1.7020495349945109e-18,8.565524551392483e-63,1.247454275260207e-17,1.62258248081271e-26,8.920506282506683e-06,9.992753229945012e-64,7.538711804062107e-70,4.321336445520806e-69,0.0011022968107581477,3.2397320732137768e-56,1.7740826534052628e-12,1.0290301455041587e-63,2.3062954512611848e-63,1.721931282142397e-64,1.4605642180590608e-15,2.4465945619503786e-21,3.2248736858152197e-76,6.860266921481763e-21,1.7783077228059635e-48,0.00021728222513001916
2.8125258548768087e-09,0.00048144307504249394,0.1557,0.0,8.810607262011362e-05,0.6421782060744284,0.20079746022188477,1.785620977818438e-48,-7.261538153214243e-67,1.7049986407552726e-18,8.653694383082129e-63,1.2474732967484444e-17,1.6300711635635134e-26,8.894388865081732e-06,7.575687722041025e-64,7.719845425018823e-70,4.3466849132665094e-69,0.001102539776345327,3.2427208579654535e-56,1.775565646898088e-12,1.0316058849280661e-63,2.314525404611711e-63,1.736254591903022e-64,1.4636326894758124e-15,5.856894636623622e-22,3.2413314477192534e-76,6.861040067790041e-21,1.785621010245659e-48,0.00021734673024839665
2.8175676081635367e-09,0.00048144307504249394,0.1557,0.0,8.782636299474344e-05,0.6421781548449015,0.2007972187484026,1.7929266080889852e-48,-7.242444727793091e-67,1.707945766539288e-18,8.741868241143113e-63,1.2479651498298006e-17,1.6347065713656157e-26,8.86840209928021e-06,4.8961662375375404e-64,3.242396136075332e-70,4.371918152688216e-69,0.0011027812498259925,3.2456569321122546e-56,1.7770446142063447e-12,1.0341070703073992e-63,2.322566608085173e-63,1.7506236424211604e-64,1.4666947638942688e-15,-3.513123523707988e-22,3.257817675040224e-76,6.861799910526964e-21,1.792926640545567e-48,0.0002174109531574215
2.822609361450265e-09,0.00048144307504249394,0.1557,0.0,8.754828739448279e-05,0.6421781038309863,0.2007969787582926,1.8002472520246343e-48,-7.226804276316229e-67,1.710890932385515e-18,8.83003968570057e-63,1.2469892921236271e-17,1.6481527500779237e-26,8.842545250864927e-06,1.796152165194541e-63,1.413598822119858e-69,4.3968901728577574e-69,0.0011030212399345091,3.248523884771788e-56,1.7785196059421458e-12,1.0365393687554365e-63,2.330426113807372e-63,1.7650372929658563e-64,1.4697624479621072e-15,7.036199783835873e-21,3.27481926348748e-76,6.8625563628673e-21,1.8002472845098868e-48,0.00021747489549610785
2.827651114736993e-09,0.00048144307504249394,0.1557,0.0,8.727183623659638e-05,0.6421780530314183,0.20079674024287167,1.8076187092885726e-48,-7.210743536789538e-67,1.7138341621341692e-18,8.918202393366669e-63,1.2458681691025242e-17,1.6624224267258073e-26,8.816817590059707e-06,8.800199323422428e-64,1.0825391387812707e-69,4.42177341771368e-69,0.001103259755353977,3.2514390721790474e-56,1.779990634520186e-12,1.0389101071175223e-63,2.338112680707513e-63,1.779494419779132e-64,1.472844524741243e-15,7.456713879725793e-22,3.291145831965048e-76,6.863294379672543e-21,1.8076187418029763e-48,0.00021753855889386086
2.832692868023721e-09,0.00048144307504249394,0.1557,0.0,8.699699999441122e-05,0.6421780024449399,0.20079650319350761,1.8150493914919366e-48,-7.186007459450148e-67,1.7167754723214718e-18,9.006350500307718e-63,1.2474938468187029e-17,1.659803025774765e-26,8.791218391521294e-06,-1.1069712807307612e-63,-9.757729556020191e-70,4.446847646661022e-69,0.0011034968047165484,3.254483902554925e-56,1.78145764803849e-12,1.0412311071944759e-63,2.3456397261661877e-63,1.793993960981236e-64,1.4759023264029092e-15,-9.469133558806726e-21,3.30707386634428e-76,6.863989766549251e-21,1.8150494240367866e-48,0.00021760194497053413
2.837734621310449e-09,0.00048144307504249394,0.1557,0.0,8.672376919703509e-05,0.642177952070302,0.20079626760161898,1.8225239683772667e-48,-7.164930661848131e-67,1.7197148730987045e-18,9.094478997747025e-63,1.2475590774276e-17,1.6668162895703257e-26,8.765746934315775e-06,1.6539327572309752e-63,7.569130490368833e-70,4.4716401865341517e-69,0.001103732396603719,3.257619080553259e-56,1.782920721684555e-12,1.043513156930558e-63,2.353020371784811e-63,1.8085349750863938e-64,1.4789476176728019e-15,7.70417962166958e-21,3.324158560252738e-76,6.864676781175988e-21,1.8225240009534712e-48,0.00021766505533647843
2.842776374597177e-09,0.00048144307504249394,0.1557,0.0,8.645213442900703e-05,0.6421779019062613,0.20079603345867467,1.830024907970505e-48,-7.154191045206482e-67,1.7226523736610643e-18,9.182583824875695e-63,1.2448249521935949e-17,1.6913095833005748e-26,8.740402501889844e-06,2.4296544193833972e-63,2.493131074125457e-69,4.4959852471175353e-69,0.001103966539546601,3.260767864829729e-56,1.7843799415937937e-12,1.0457634596614988e-63,2.3602650930231584e-63,1.8231166525690196e-64,1.4820358375965288e-15,9.219806476668289e-21,3.34098367683539e-76,6.865371890293587e-21,1.8300249405781982e-48,0.0002177278915926007
2.8478181278839053e-09,0.00048144307504249394,0.1557,0.0,8.618208632997748e-05,0.6421778519515827,0.20079580075619358,1.8375308656402448e-48,-7.127895311370566e-67,1.7255879823388669e-18,9.270661384945324e-63,1.2485234991905893e-17,1.6759932207276418e-26,8.715184382044438e-06,-2.758188306382034e-63,-1.659336079095393e-69,4.5208199486200783e-69,0.001104199242026189,3.263895454349063e-56,1.7858351504970715e-12,1.0479847462775306e-63,2.3673803425765524e-63,1.8377382559168674e-64,1.4850905240200753e-15,-2.077584659301049e-20,3.356306567069924e-76,6.866006855639481e-21,1.837530898279208e-48,0.0002177904553304185
2.8528598811706333e-09,0.00048144307504249394,0.1557,0.0,8.591361559437225e-05,0.6421778022050378,0.20079556948574454,1.845055617422564e-48,-7.096661798355746e-67,1.7285217168086544e-18,9.358708311402671e-63,1.2516204931507004e-17,1.6641239197507138e-26,8.690091866906158e-06,4.282215999408565e-64,-1.0571860572730427e-69,4.5456707914195653e-69,0.0011044305124737674,3.2670305580423444e-56,1.7872864256281743e-12,1.0501795447922469e-63,2.3743723549900815e-63,1.8523990836022862e-64,1.4880967138793494e-15,3.0259725445352286e-21,3.372882443124693e-76,6.866626634039691e-21,1.8450556500928827e-48,0.00021785274813211858
2.8579016344573614e-09,0.00048144307504249394,0.1557,0.0,8.564671297107969e-05,0.6421777526654057,0.20079533963894575,1.8526268591140386e-48,-7.098268828294918e-67,1.7314535982485965e-18,9.446721269622451e-63,1.2425041575729137e-17,1.7282702111246255e-26,8.665124252901614e-06,6.247335974156473e-63,5.12005694923623e-69,4.569283821082026e-69,0.0011046603592711516,3.2702012014428917e-56,1.7887340718425596e-12,1.0523510197659713e-63,2.381247708418473e-63,1.867098446765286e-64,1.4912185174808659e-15,3.263650719017337e-20,3.390596388042145e-76,6.867325019069435e-21,1.85262689181607e-48,0.00021791477157060934
2.8629433877440895e-09,0.00048144307504249394,0.1557,0.0,8.538136926312068e-05,0.6421777033314721,0.20079511120746457,1.860226653493904e-48,-7.082190500274665e-67,1.7343836356630457e-18,9.534697296613781e-63,1.2455072587324799e-17,1.717215458197718e-26,8.64028084073082e-06,-3.948884369248091e-63,-7.985472551372736e-70,4.5935516374388533e-69,0.001104888790750861,3.273416719482808e-56,1.7901777053360998e-12,1.0545041680521058e-63,2.3880148442367002e-63,1.881835709372787e-64,1.4943136381991812e-15,-3.2968447655810835e-20,3.405694725425538e-76,6.867921539417846e-21,1.8602266862280798e-48,0.00021797652720957652
2.8679851410308176e-09,0.00048144307504249394,0.1557,0.0,8.511757532735361e-05,0.6421776542020301,0.20079488418301733,1.8678404067484223e-48,-7.022106516596749e-67,1.737311839479981e-18,9.622633786493973e-63,1.2603951757855969e-17,1.6315766976233676e-26,8.615560935341509e-06,-4.796095731449787e-63,-5.935239930877289e-69,4.619186360787628e-69,0.001105115815196574,3.2766701268737184e-56,1.7916171796154087e-12,1.0566434480387472e-63,2.3946818284918675e-63,1.8966102932261625e-64,1.4972159625743139e-15,-2.5325245161691188e-20,3.4208151720819675e-76,6.868398644704177e-21,1.8678404395151316e-48,0.00021803801660353497
2.8730268943175457e-09,0.00048144307504249394,0.1557,0.0,8.48553220741581e-05,0.6421776052758797,0.20079465855736908,1.8755066684876297e-48,-7.028745990301561e-67,1.7402382337544316e-18,9.710528614602729e-63,1.2419169894515152e-17,1.754455638321297e-26,8.590963845902526e-06,1.2606786095917446e-62,7.639126038676872e-69,4.642305806603865e-69,0.0011053414408434689,3.279942931915485e-56,1.793053422976306e-12,1.0587715437768281e-63,2.4012552316253854e-63,1.9114216904006628e-64,1.500356086752975e-15,7.748070349688087e-20,3.4394678026164526e-76,6.869115070469706e-21,1.8755067012870843e-48,0.0002180992412978837
2.8780686476042738e-09,0.00048144307504249394,0.1557,0.0,8.459460046710185e-05,0.6421775565518281,0.200794434322333,1.883199565892727e-48,-7.057851381494026e-67,1.7431628247663178e-18,9.798379822921398e-63,1.2320787151830213e-17,1.8239920778715234e-26,8.566488885778503e-06,-8.841135597108649e-64,4.962161235078917e-69,4.664811806716156e-69,0.0011055656758781663,3.2832218304951707e-56,1.7944858866678438e-12,1.060889371739437e-63,2.407739813257288e-63,1.9262694258754018e-64,1.5036143664525227e-15,-2.4958365716908578e-20,3.455643631503609e-76,6.869777581936503e-21,1.8831995987249572e-48,0.00021816020282895847
2.883110400891002e-09,0.00048144307504249394,0.1557,0.0,8.433540152264075e-05,0.642177508028689,0.2007942114697704,1.8908749124802464e-48,-6.95243558903757e-67,1.7460856150090167e-18,9.886185648166264e-63,1.2757756753690993e-17,1.5570953590725705e-26,8.542135372503453e-06,-1.777681918708005e-62,-1.4589614350798573e-68,4.691909281822153e-69,0.0011057885284392402,3.286534712052545e-56,1.7959134362933181e-12,1.0629992504119855e-63,2.4141416204651552e-63,1.941153056915959e-64,1.5063159759385498e-15,-1.0676420102166269e-19,3.468334005291806e-76,6.869987072913184e-21,1.8908749453455892e-48,0.00021822090272408595
2.88815215417773e-09,0.00048144307504249394,0.1557,0.0,8.407771630983786e-05,0.6421774597052831,0.20079398999159037,1.8986164652856604e-48,-6.918169829679238e-67,1.749006641361691e-18,9.973944358611336e-63,1.2546966691789903e-17,1.6964902867965645e-26,8.517902627754861e-06,1.868810833256736e-62,5.370287224609766e-69,4.716091462061354e-69,0.0011060100066178592,3.2898850998978643e-56,1.7973382239465936e-12,1.0651027437887755e-63,2.4204657086009202e-63,1.9560721559481276e-64,1.5093409080747964e-15,1.351791427487597e-19,3.4867129105070494e-76,6.870653815916299e-21,1.8986164981845434e-48,0.00021828134250163555
2.893193907464458e-09,0.00048144307504249394,0.1557,0.0,8.38215359500083e-05,0.6421774115804381,0.20079376987974953,1.9064249829235938e-48,-7.058668790951315e-67,1.751925916116151e-18,1.0061654493165759e-62,1.1951683559819944e-17,2.079732581044536e-26,8.493789977328954e-06,1.4995598116929488e-62,2.061752192513533e-68,4.734482699826231e-69,0.0011062301184573866,3.2932390867326884e-56,1.798760364914091e-12,1.0672004948578331e-63,2.426716178352139e-63,1.9710263329030697e-64,1.5130671030676924e-15,5.967455805519101e-20,3.5062231564061695e-76,6.871681529865609e-21,1.9064250158560128e-48,0.0002183415236710724
2.898235660751186e-09,0.00048144307504249394,0.1557,0.0,8.356685161641529e-05,0.6421773636529886,0.20079355112625166,1.9141686087062966e-48,-6.933527113475138e-67,1.754843417645341e-18,1.0149314739529945e-62,1.2879982469431356e-17,1.5018013527634243e-26,8.469796751115553e-06,-4.122479378214483e-62,-2.352046017221203e-68,4.762342683484371e-69,0.0011064488719536452,3.2966273884622825e-56,1.8001758878886765e-12,1.0692954534070667e-63,2.432899377060119e-63,1.9860152275072045e-64,1.5155293424597611e-15,-2.761220888450805e-19,3.516645949741372e-76,6.871486776169075e-21,1.9141686416725423e-48,0.00021840144773300918
2.903277414037914e-09,0.00048144307504249394,0.1557,0.0,8.331365453402556e-05,0.6421773159217756,0.20079333372314748,1.9189632311479e-48,-6.665416813944054e-67,1.7577584597973e-18,1.02369198498174e-62,1.4493344339951925e-17,4.883484495675398e-27,8.445922283071614e-06,4.757797797407775e-64,-4.4556644454638413e-69,4.793663191044554e-69,0.0011066662750560728,3.29810982223571e-56,1.8015856498784995e-12,1.0712686409178806e-63,2.438896016600205e-63,2.0010379218807683e-64,1.5166805067346642e-15,1.3444578322607839e-20,3.5329027898467075e-76,6.871112101942419e-21,1.918963264129012e-48,0.0002184611161792579
2.9083191673246423e-09,0.00048144307504249394,0.1557,0.0,8.306193597918102e-05,0.6421772683856471,0.2007931176625344,1.919696200640542e-48,-6.498443383837592e-67,1.760670788627978e-18,1.0324455598988202e-62,1.5176675408561955e-17,6.406248647505469e-28,8.42216591119671e-06,6.560026841860348e-63,8.438631033289411e-69,4.820772879448495e-69,0.0011068823356676105,3.295046191130013e-56,1.8029938980517273e-12,1.0728997858375962e-63,2.444476268704155e-63,2.016092083716978e-64,1.5190395437158112e-15,2.4523546720736894e-20,3.552126949385922e-76,6.872062392630069e-21,1.9196962335910243e-48,0.00021852053049288152
2.9133609206113704e-09,0.00048144307504249394,0.1557,0.0,8.281168727926708e-05,0.642177221043458,0.20079290293655616,1.9190302059542615e-48,-6.494018275588147e-67,1.763581065537539e-18,1.041189659484014e-62,1.4887523935740975e-17,2.5421239407262223e-27,8.398526977508775e-06,-9.359678832163097e-64,-8.693365760079554e-70,4.842389265032842e-69,0.0011070970616445016,3.2871702233087482e-56,1.8044004989591892e-12,1.0740258291519235e-63,2.449455117687775e-63,2.031173538488176e-64,1.5224104908114343e-15,-4.482198265824153e-21,3.566854619826795e-76,6.87398641174238e-21,1.9190302388259766e-48,0.00021857969214824532
2.9184026738980984e-09,0.00048144307504249394,0.1557,0.0,8.256289981242329e-05,0.642177173894069,0.20079268953740262,1.9201376030007732e-48,-6.54572079096852e-67,1.766490074295376e-18,1.049921508356168e-62,1.4494003946948316e-17,5.101056748908515e-27,8.37500482801916e-06,1.1293815357387355e-63,7.523941230022861e-75,4.862477133850551e-69,0.001107310460796692,3.2781690294348345e-56,1.8058036046407457e-12,1.0747292991959494e-63,2.453888769163591e-63,2.0462775404791272e-64,1.5258480716000597e-15,3.5791677430313815e-21,3.581832045359602e-76,6.875710639198427e-21,1.9201376357824788e-48,0.0002186386026110674
2.9234444271848265e-09,0.00048144307504249394,0.1557,0.0,8.231556500725547e-05,0.6421771269363488,0.20079247745730958,1.921860101033575e-48,-6.662662791954082e-67,1.769397545717634e-18,1.0586382695889463e-62,1.5313279879696287e-17,-3.9818476099687124e-29,8.351598812707838e-06,-9.970633007519428e-63,8.889185919246494e-69,4.88108242344821e-69,0.0011075225408882236,3.270363574482265e-56,1.8072006925144268e-12,1.0751279307017585e-63,2.4578702842623953e-63,2.061399556893585e-64,1.5282083653077955e-15,-1.2451729157730983e-19,3.6007052731176607e-76,6.876366775776902e-21,1.9218601337372148e-48,0.00021869726333846983
2.9284861804715546e-09,0.00048144307504249394,0.1557,0.0,8.206967434256591e-05,0.6421770801691711,0.20079226668855824,1.9213791051755674e-48,-6.574558686463009e-67,1.772302810767811e-18,1.0673385615750822e-62,1.6893190661831075e-17,-1.0022304926577278e-26,8.328308285498443e-06,-1.3432725278785468e-62,-7.429016564758153e-69,4.906880034893612e-69,0.0011077333096378781,3.2635512330239727e-56,1.8085924036520751e-12,1.07533080092071e-63,2.4614972195272406e-63,2.076536756751429e-64,1.5296384858964083e-15,-8.37077868574784e-20,3.6144992720882794e-76,6.876658089008107e-21,1.92137913781108e-48,0.00021875567577902852
2.9335279337582827e-09,0.00048144307504249394,0.1557,0.0,8.182521934705987e-05,0.6421770335914171,0.2007920572234753,1.9174078313441107e-48,-6.349902667938096e-67,1.775205574158341e-18,1.0760202137659251e-62,1.6938810455617554e-17,-1.0219793627309988e-26,8.30513260423394e-06,1.344604000077621e-62,-1.1075486139662378e-68,4.936670424298676e-69,0.0011079427747194347,3.2528437993202715e-56,1.8099834501254553e-12,1.0751259840316503e-63,2.464544494350175e-63,2.0916855695674903e-64,1.5324073107147132e-15,1.5205990521905868e-19,3.625805135550417e-76,6.878687483038618e-21,1.9174078638725763e-48,0.0002188138413728235
2.9385696870450108e-09,0.00048144307504249394,0.1557,0.0,8.158219159899702e-05,0.6421769872019746,0.2007918490544323,1.9114079225868596e-48,-6.413077637343045e-67,1.7781061995969676e-18,1.0846811036933867e-62,1.6586905676460178e-17,-7.885924702188501e-27,8.282071130653647e-06,5.937478527013535e-63,1.9425244951201653e-68,4.955901528795443e-69,0.0011081509437610795,3.2359650463062432e-56,1.8113721327590234e-12,1.0743090582153162e-63,2.466792173482289e-63,2.106841594450831e-64,1.536000278036582e-15,-3.941452520195871e-20,3.646489927873233e-76,6.881428639348055e-21,1.9114079549465302e-48,0.00021887176155148877
2.943611440331739e-09,0.00048144307504249394,0.1557,0.0,8.134058272593896e-05,0.6421769409997371,0.20079164217384576,1.9061310561782997e-48,-6.631895172069762e-67,1.7810053654275676e-18,1.093317107911909e-62,1.6853493755900866e-17,-9.528932601171121e-27,8.25912323036842e-06,-2.173013149541855e-63,3.0247056594433005e-69,4.970832721555957e-69,0.0011083578243462244,3.2164673618235563e-56,1.8127557393360413e-12,1.0728560604079051e-63,2.468183682608858e-63,2.121997926121876e-64,1.5387628271475745e-15,-1.9598908590687702e-20,3.6622002405222745e-76,6.883543210827927e-21,1.9061310883429852e-48,0.00021892943773826136
2.9481490182897943e-09,0.00048144307504249394,0.1557,0.0,8.112434099801073e-05,0.6421768995768751,0.20079145707671608,1.902333649134381e-48,-6.702795397807745e-67,1.7836134612878793e-18,1.1010644911040992e-62,1.7199846506646908e-17,-1.1679178556161312e-26,8.238566704057062e-06,1.4584910380040094e-63,-2.8852001366624115e-69,4.989129155251724e-69,0.0011085429214745565,3.2007417485737095e-56,1.8139976958975358e-12,1.0711623559820022e-63,2.4688315220370073e-63,2.135632892143289e-64,1.5411304560511013e-15,9.929429766988217e-21,3.673028985380519e-76,6.885114645335843e-21,1.9023336811418137e-48,0.0002189811388628665
2.95268659624785e-09,0.00048144307504249394,0.1557,0.0,8.090923578224351e-05,0.6421768583039614,0.20079127301166366,1.8980552357571202e-48,-6.636253623515183e-67,1.786220141456206e-18,1.1087857303801015e-62,1.7266789468276836e-17,-1.2035154924654421e-26,8.218101204310841e-06,4.3753798100440686e-64,2.3090845683256251e-69,5.012108849466766e-69,0.0011087269865257688,3.1859963294268367e-56,1.8152373870674332e-12,1.0691792740428955e-63,2.468964698390666e-63,2.1492581699827796e-64,1.5438230181644971e-15,-6.572823226578311e-21,3.687584872967043e-76,6.886922942435487e-21,1.898055267617098e-48,0.00021903264452591105
2.9572241742059053e-09,0.00048144307504249394,0.1557,0.0,8.069526107643311e-05,0.6421768171802028,0.2007910899732519,1.8945166342642057e-48,-6.274228061779628e-67,1.7888257077581315e-18,1.1164801210647863e-62,1.657897376392566e-17,-7.546291077939228e-27,8.197726276608713e-06,-7.155871450484401e-63,-2.026348622307051e-68,5.044248297637025e-69,0.00110891002493637,3.1718843339761743e-56,1.816475642151646e-12,1.0670260188945427e-63,2.468700755012611e-63,2.1628716243975062e-64,1.5471561393711964e-15,9.061139853454379e-20,3.702910084983932e-76,6.889180019301659e-21,1.8945166659830565e-48,0.00021908395574768446
2.9617617521639608e-09,0.00048144307504249394,0.1557,0.0,8.048241091000308e-05,0.6421767762048107,0.20079090795607318,1.8920908227798973e-48,-5.86854627366522e-67,1.791430257145479e-18,1.124146063695858e-62,1.5426352079807627e-17,-6.108763593007039e-29,8.177441468910783e-06,3.5756312856053775e-63,-2.3103302706038542e-68,5.076399338901275e-69,0.0011090920421140285,3.1564585698073565e-56,1.8177120640649657e-12,1.0646103467747186e-63,2.467944325673403e-63,2.176470345874728e-64,1.55102775559542e-15,1.1360118198001641e-19,3.712316527248907e-76,6.8917322315216e-21,1.8920908543445015e-48,0.00021913507354308866
2.9662993301220163e-09,0.00048144307504249394,0.1557,0.0,8.027067934383458e-05,0.6421767353769999,0.20079072695474828,1.8918106187324673e-48,-5.956310799967582e-67,1.7940340448045525e-18,1.1317843596023526e-62,1.5408273410988382e-17,1.1708288857018638e-28,8.157246331644615e-06,1.4591696235468264e-62,3.4886732534009063e-68,5.090403011191113e-69,0.0011092730434376602,3.1440235079821884e-56,1.8189435867231839e-12,1.0622117499723355e-63,2.46698859711056e-63,2.1900540203770165e-64,1.554047255025468e-15,-1.4633939606600006e-19,3.725628077653251e-76,6.893065222226527e-21,1.8918106501727318e-48,0.00021918599892166644
