Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CHO3X(91),H(23),HCO(31),CH3X(53),CH4(39),OCHCO(417),CH4X(436),CH2O3(185),SX(574),CH2OX(174),CHOX(173)
5.323787967533468e-09,0.0005344628783687447,0.1557,0.0,0.0012235237498147418,0.6420859833763295,0.2019,1.0274786704190995e-59,3.359787710967737e-36,1.348669424900115e-30,5.331545389328401e-59,5.541055994356307e-29,9.636998170564846e-52,7.076775510559049e-05,2.7211856565345226e-30,2.67906991535994e-40,3.463484785789316e-37,9.259291116509372e-31,5.124532327756482e-60,1.353972037191599e-26,7.282557852661791e-65,1.4775056164582353e-71,7.923179751802409e-29,1.918893467333141e-33,6.337860556819716e-68,3.990161278225794e-30,4.867499170027811e-56,0.0002786327461185821,3.3065429776855775e-36,6.970546627340814e-35,2.260484179392289e-61,1.2905380243157065e-32,1.0428146638565073e-34,1.6855749522206145e-97,4.747368306475583e-23,3.558851283090034e-25,5.103925702615435e-29,-1.0553852705470364e-23,1.143851229342928e-31,-5.274543646943266e-22,3.6012129228662074e-95,8.874910396998682e-99,1.4895931387370116e-36,5.1461506030610224e-36
5.414030188686195e-09,0.0005344628783687447,0.1557,0.0,0.0012199365218950723,0.6420822933390985,0.2019,1.2124787928914331e-59,3.6595834285813976e-36,1.4327869911069162e-30,6.0821977450495735e-59,5.943729563621583e-29,1.084566865498056e-51,7.056213648310945e-05,2.9189349798176528e-30,2.8652700996188626e-40,3.702187744053084e-37,9.821711621535863e-31,5.860754931175482e-60,1.4173424847114772e-26,8.200847745352404e-65,1.6701198083836793e-71,8.361256219569003e-29,2.0250317147696654e-33,7.293750772475207e-68,4.280121205834005e-30,5.642706374725361e-56,0.0002824255926607329,3.441542363373376e-36,7.276330000203084e-35,2.5885801689143033e-61,1.3805307220582396e-32,1.0860455899441237e-34,2.0498514619924104e-97,4.809392606285416e-23,3.6691065107075243e-25,-5.142690543816534e-29,-1.0725749886305723e-23,1.1792952653750325e-31,-5.272823648495791e-22,4.448417211970874e-95,1.1104125926870886e-98,1.5593886356322508e-36,5.387150506051838e-36
5.504272409838922e-09,0.0005344628783687447,0.1557,0.0,0.0012163736532258085,0.6420786283598142,0.2019,1.4265333512824158e-59,3.9795408127725376e-36,1.5204780342183317e-30,6.921670855217468e-59,6.367221101457161e-29,1.2179619467676358e-51,7.035791525314212e-05,3.1269076716713168e-30,3.0603874035629393e-40,3.951885462075868e-37,1.0406899355875544e-30,6.68635136499771e-60,1.4824528748998728e-26,9.214972183146987e-65,1.883636109498768e-71,8.814406613602246e-29,2.1348251723265563e-33,8.371539775045258e-68,4.585071112846788e-30,6.523657673724222e-56,0.0002861926825599639,3.5791719036919634e-36,7.589331244195444e-35,2.9570073185434752e-61,1.474852027819794e-32,1.1301546650807921e-34,2.4839667517774676e-97,4.870925263968041e-23,3.7806923717095854e-25,-4.7784525049435275e-29,-1.0897589423501104e-23,1.2151671621783667e-31,-5.271105287467907e-22,5.4738211314866316e-95,1.3836203814600787e-98,1.6311042223154384e-36,5.634771774272055e-36
5.594514630991649e-09,0.0005344628783687447,0.1557,0.0,0.0012128348980108997,0.6420749881856244,0.2019,1.6735512007019059e-59,4.320563008671445e-36,1.6118214769542263e-30,7.8585020486654535e-59,6.812158266067211e-29,1.364914241260387e-51,7.015507730334753e-05,3.345411955405388e-30,3.2646456983067307e-40,4.212811643304132e-37,1.1015294549617696e-30,7.61020987675087e-60,1.5493155277319913e-26,1.0332877143883367e-64,2.119871024887257e-71,9.282813170706606e-29,2.2483182003227715e-33,9.583962935004692e-68,4.9054628924522276e-30,7.522400185183792e-56,0.0002899342757246672,3.7194123251162845e-36,7.909555439250481e-35,3.369841157338918e-61,1.5736114173331892e-32,1.1751368987269746e-34,2.999656237807776e-97,4.931971671303718e-23,3.8935956047907006e-25,1.340070049273038e-28,-1.1069371361905696e-23,1.2514626555158896e-31,-5.269389283814112e-22,6.710575867185841e-95,1.7172018864250315e-98,1.7047536330291732e-36,5.889061349068342e-36
5.684756852144376e-09,0.0005344628783687447,0.1557,0.0,0.0012093200137510284,0.6420713725670683,0.2019,1.9578804208392987e-59,4.6835715479458766e-36,1.7068961155608527e-30,8.90185954643644e-59,7.279172366120838e-29,1.5265153155627197e-51,6.995360871082748e-05,3.574757846519215e-30,3.4782681898805376e-40,4.485196733822596e-37,1.1647334268846868e-30,8.641908302889917e-60,1.617942430107066e-26,1.1562994743662612e-64,2.3807591257981075e-71,9.766654250822181e-29,2.3655542240058912e-33,1.0944791926274939e-67,5.2417510634159814e-30,8.652084678680342e-56,0.0002936506285770584,3.862243849202489e-36,8.237006026018515e-35,3.831480375834559e-61,1.676918032498084e-32,1.2209871147310892e-34,3.6103323972588946e-97,4.992537143373241e-23,4.0078031126589774e-25,-2.4002563415435118e-29,-1.1241095718056582e-23,1.2881775338916658e-31,-5.267670457863454e-22,8.197210643798147e-95,2.1230213702009208e-98,1.7803502368093516e-36,6.150064902602991e-36
5.774999073297103e-09,0.0005344628783687447,0.1557,0.0,0.0012058287611885097,0.6420677812580198,0.2019,2.284347994150268e-59,5.069506076646812e-36,1.8057806027743325e-30,1.0061574554199549e-58,7.768898141934508e-29,1.7039215189351455e-51,6.97534957389584e-05,3.815257045244768e-30,3.7014770112226834e-40,4.769267836624657e-37,1.2303452333392821e-30,9.791752225210471e-60,1.6883452429559857e-26,1.2914265797033904e-64,2.6683586726648683e-71,1.026610438937111e-28,2.486575744009027e-33,1.2468894793947746e-67,5.594392612508539e-30,9.927041839649074e-56,0.0002973419941114464,4.0076462286561674e-36,8.571684863128251e-35,4.346665318489969e-61,1.7848806379948542e-32,1.2676999624332481e-34,4.3313046094387056e-97,5.0526269199002176e-23,4.12330195948846e-25,-2.2987849432189603e-28,-1.1412762497798534e-23,1.3253076377316181e-31,-5.265951728901728e-22,9.978378772470411e-95,2.6149900351907736e-98,1.8579070431280845e-36,6.417826866835847e-36
5.86524129444983e-09,0.0005344628783687447,0.1557,0.0,0.0012023609042532911,0.6420642140156321,0.2019,2.6583021859475495e-59,5.479324076885792e-36,1.908553431520413e-30,1.1348174187236472e-58,8.281973552412552e-29,1.8983564122459536e-51,6.955472483428457e-05,4.06722283191788e-30,3.934493475374137e-40,5.065248633160347e-37,1.2984079240081755e-30,1.1070814328977998e-59,1.7605353081883504e-26,1.4396160511338404e-64,2.984856957771098e-71,1.0781334350304661e-28,2.6114243509523644e-33,1.4172297505100354e-67,5.9638468410807894e-30,1.1362862014727254e-55,0.0003010086219513387,4.155598779596836e-36,8.913592286238177e-35,4.9204971018077916e-61,1.8976075799603052e-32,1.315269927104642e-34,5.180045769025653e-97,5.1122461665654654e-23,4.240079368419194e-25,2.329241149136041e-28,-1.158437177034403e-23,1.362848858579656e-31,-5.264240261682721e-22,1.2105691044249348e-94,3.209370796999286e-98,1.9374367109618785e-36,6.692390458698632e-36
5.955483515602557e-09,0.0005344628783687447,0.1557,0.0,0.001198916210010031,0.6420606706002836,0.2019,3.085657747200116e-59,5.914000582951578e-36,2.015292919321401e-30,1.2772915693961398e-58,8.819039567670019e-29,2.1111132291050685e-51,6.935728262347448e-05,4.3309699651403416e-30,4.17753831450192e-40,5.373359312310705e-37,1.3689642091235492e-30,1.249097496906956e-59,1.8345236554829415e-26,1.6018691177157716e-64,3.3325743605544016e-71,1.1312511179703566e-28,2.740140740744383e-33,1.60722473813309e-67,6.350575215733238e-30,1.2976478504044015e-55,0.00030465075840540906,4.306080409913218e-36,9.262727162646801e-35,5.5584573645136165e-61,2.0152067466640002e-32,1.3636913387647592e-34,6.176380824532387e-97,5.171399976294217e-23,4.358122719104021e-25,2.500457454391364e-28,-1.1755923573700989e-23,1.4007971383087057e-31,-5.262524912228e-22,1.463864254170358e-94,3.92512126791302e-98,2.018951558992236e-36,6.97379770347802e-36
6.0457257367552836e-09,0.0005344628783687447,0.1557,0.0,0.001195494448606224,0.6420571507755232,0.2019,3.5729440635609034e-59,6.374527892476958e-36,2.126077193391557e-30,1.4347821141126897e-58,9.380739967254367e-29,2.343557367103167e-51,6.916115591033843e-05,4.6068145826918925e-30,4.4308307337909385e-40,5.693816507157013e-37,1.4420564528304644e-30,1.406496394432969e-59,1.9103210089255172e-26,1.7792435524147503e-64,3.713970200673244e-71,1.1859798259800684e-28,2.872764722246273e-33,1.8187278903999105e-67,6.755041223018716e-30,1.4786254464691913e-55,0.00030826864652235193,4.459069653053228e-36,9.619086942181321e-35,6.266428648482729e-61,2.1377855311242365e-32,1.4129583825141196e-34,7.342720881772409e-97,5.2300933705167686e-23,4.477419545301065e-25,-6.477995163275526e-28,-1.1927417845630363e-23,1.439148468346526e-31,-5.260800988297627e-22,1.7645640437072092e-94,4.784278863110062e-98,2.1024635680184154e-36,7.262089464389992e-36
6.1359679579080105e-09,0.0005344628783687447,0.1557,0.0,0.0011920953932213576,0.6420536543080196,0.2019,4.127356377047474e-59,6.861915273124338e-36,2.2409841763951723e-30,1.6085712268794354e-58,9.967721143878737e-29,2.5971289075368247e-51,6.896633167290453e-05,4.895074105149155e-30,4.694588415123255e-40,6.026833237786627e-37,1.5177266670325655e-30,1.580640347228121e-59,1.9879377934977026e-26,1.972856760665332e-64,4.131649888108959e-71,1.2423355363304115e-28,3.0093352299008757e-33,2.0537281090108285e-67,7.177710228115602e-30,1.6812073487777688e-55,0.0003118625261446523,4.6145446960581655e-36,9.982667711676484e-35,7.050715410349566e-61,2.2654507956032614e-32,1.463065108099183e-34,8.704507550861889e-97,5.288331300403218e-23,4.597957532510902e-25,2.3492198200775815e-29,-1.2098854665381692e-23,1.4778988889159602e-31,-5.259093330134641e-22,2.1205146364146256e-94,5.8123922226950346e-98,2.187984386613643e-36,7.557305468608628e-36
6.226210179060737e-09,0.0005344628783687447,0.1557,0.0,0.0011887188200170682,0.642050180967509,0.2019,4.756810207342719e-59,7.377188665267296e-36,2.36009157283588e-30,1.8000247424309687e-58,1.058063191258137e-28,2.873345165379637e-51,6.877279706055165e-05,5.196067142169589e-30,4.969029035524607e-40,6.372618859616518e-37,1.59601650569314e-30,1.7729852371356873e-59,2.067384141420693e-26,2.1838863954839177e-64,4.588368059985277e-71,1.3003338707905142e-28,3.149890347257537e-33,2.3143566519810882e-67,7.619049337410009e-30,1.9075433909532732e-55,0.0003154326339612945,4.772483401326267e-36,1.0353464245238048e-34,7.918065677183762e-61,2.3983088379221163e-32,1.514005436527643e-34,1.0290501340572666e-96,5.346118648072902e-23,4.719724515657477e-25,1.2548563237935644e-27,-1.2270234201748761e-23,1.5170444882890772e-31,-5.257391845402303e-22,2.5406941097673933e-94,7.039003410013058e-98,2.2755253483638682e-36,7.85948432231998e-36
6.316452400213464e-09,0.0005344628783687447,0.1557,0.0,0.0011853645080882812,0.6420467305267457,0.2019,5.469999101477718e-59,7.921390381314215e-36,2.4834768560648077e-30,2.010595963443903e-58,1.1220123325217544e-28,3.17380326763937e-51,6.85805393911992e-05,5.510113401394462e-30,5.2543688659270604e-40,6.731379019784743e-37,1.6769672595898795e-30,1.9850851458902239e-59,2.1486698983573222e-26,2.4135715092192697e-64,5.08703254134926e-71,1.3599901010875196e-28,3.294467313099863e-33,2.6028942766692285e-67,8.079527264919422e-30,2.1599546915174685e-55,0.00031897920355943417,4.932863339859599e-36,1.0731470048812422e-34,8.875693344690756e-61,2.536465359536235e-32,1.5657731699739559e-34,1.2132849035668375e-96,5.403460227779126e-23,4.842708476811763e-25,-1.0100079365466608e-27,-1.2441556267544106e-23,1.5565814020551623e-31,-5.25565597296125e-22,3.0353513876285736e-94,8.498185766758033e-98,2.3650974737198976e-36,8.168663538671695e-36
6.406694621366191e-09,0.0005344628783687447,0.1557,0.0,0.0011820322394153042,0.6420433027614514,0.2019,6.2764558459157125e-59,8.495578802091145e-36,2.6112172558880343e-30,2.241829255753111e-58,1.188684849018116e-28,3.500182754099471e-51,6.838954614855386e-05,5.8375335999202915e-30,5.5508206429335416e-40,7.103315619595484e-37,1.7606198514936702e-30,2.218597013968654e-59,2.231804629475998e-26,2.6632181183204942e-64,5.630715623321155e-71,1.4213191543669782e-28,3.443102519613592e-33,2.9217785548852115e-67,8.559614202483653e-30,2.440943849236768e-55,0.00032250246547505646,5.0956618162625766e-36,1.1116677410481592e-34,9.9313010982438e-61,2.6800254353138024e-32,1.6183620012774286e-34,1.4267745682123548e-96,5.4603607870698e-23,4.966897542957311e-25,-1.748926227920345e-27,-1.2612820765134897e-23,1.596505812402275e-31,-5.253935935528233e-22,3.616159758805909e-94,1.0229142689097837e-97,2.4567114603902983e-36,8.484879575205193e-36
6.496936842518918e-09,0.0005344628783687447,0.1557,0.0,0.0011787217988168605,0.6420398974502685,0.2019,7.186617274968719e-59,9.100828070454532e-36,2.7433897467348386e-30,2.4953638746614512e-58,1.2581462397267043e-28,3.854248205185e-51,6.819980497940822e-05,6.17864937829506e-30,5.8585976319004055e-40,7.488626778523095e-37,1.8470148317384773e-30,2.4752854180007516e-59,2.316797625379884e-26,2.934200569550829e-64,6.222658708634468e-71,1.4843356186443926e-28,3.5958315501698065e-33,3.273611330747986e-67,9.059781693658957e-30,2.753205528904468e-55,0.00032600264724264597,5.2608558818436605e-36,1.1509077447509096e-34,1.1093103981566515e-60,2.829093484960018e-32,1.6717655174575307e-34,1.6736251604360047e-96,5.516825007924491e-23,5.092279983796708e-25,3.3513507304401396e-27,-1.2784028260513133e-23,1.6368139474117667e-31,-5.252274859932968e-22,4.296386984192435e-94,1.22768727328909e-97,2.550377711353681e-36,8.808167837496039e-36
6.587179063671645e-09,0.0005344628783687447,0.1557,0.0,0.0011754329739040348,0.6420365143747112,0.2019,8.211892806209859e-59,9.738227782838565e-36,2.8800710363802234e-30,2.7729383685723354e-58,1.33046217475857e-28,4.237851902297962e-51,6.80113036909911e-05,6.533783216995863e-30,6.177914657177223e-40,7.887506805870925e-37,1.9361923741928047e-30,2.757027471189877e-59,2.4036579079046284e-26,3.227957447185244e-64,6.866267733954822e-71,1.549053748239935e-28,3.752689204110311e-33,3.6611664112486104e-67,9.580502511251757e-30,3.099637442850961e-55,0.0003294799734438886,5.4284223692958867e-36,1.1908660144522324e-34,1.2369853641378686e-60,2.983773246031332e-32,1.725977209289986e-34,1.9583849097717714e-96,5.572857507868505e-23,5.218844209598142e-25,1.0949390869114418e-27,-1.295517863916628e-23,1.6775020803657535e-31,-5.2505407884788e-22,5.091080319487339e-94,1.469290694297058e-97,2.6461063577420448e-36,9.138562686732814e-36
6.677421284824372e-09,0.0005344628783687447,0.1557,0.0,0.0011721655550351153,0.642033153319121,0.2019,9.364736843138089e-59,1.0408882679467634e-35,3.0213375552151006e-30,3.0763943575520625e-58,1.4056984788406997e-28,4.652936502824991e-51,6.782403024837154e-05,6.903258355327326e-30,6.508979088706114e-40,8.300146183506372e-37,2.0281922726067688e-30,3.0658178431484902e-59,2.492394235787843e-26,3.545999746303438e-64,7.565128483496597e-71,1.6154874691929597e-28,3.913709452215518e-33,4.087397447872388e-67,1.0122250538402898e-29,3.4833517332931216e-55,0.0003329346657554277,5.598337917042811e-36,1.2315414399683589e-34,1.3770863175823478e-60,3.1441677484845667e-32,1.7809904824563032e-34,2.2860684413706576e-96,5.628462841064507e-23,5.34657876908115e-25,-7.699286690103878e-27,-1.312627090118769e-23,1.718566529067377e-31,-5.248741919905645e-22,6.017268158645241e-94,1.7536125113454978e-97,2.7439072104147353e-36,9.476097509290069e-36
6.767663505977099e-09,0.0005344628783687447,0.1557,0.0,0.001168919335271304,0.6420298140706192,0.2019,1.06587251918052e-58,1.1113912332813564e-35,3.167265446011836e-30,3.407679828289748e-58,1.4839211152829025e-28,5.1015377277634987e-51,6.763797277191386e-05,7.287398712689763e-30,6.851994940672112e-40,8.726731544240596e-37,2.1230539372893553e-30,3.403773891032214e-59,2.58301511021346e-26,3.889921267489701e-64,8.32302649381916e-71,1.6836503846493059e-28,4.0789254666679984e-33,4.555445943178397e-67,1.0685500653147683e-29,3.907686760408363e-55,0.0003363669429956969,5.77057896990326e-36,1.2729328069966671e-34,1.5306032580254946e-60,3.310379290707454e-32,1.8367986564878403e-34,2.662422395368217e-96,5.68364549938219e-23,5.475472347340769e-25,3.2609043502350094e-27,-1.3297306120092604e-23,1.7600036551731637e-31,-5.247141165785148e-22,7.094185654211064e-94,2.0873657527585135e-97,2.8437897711593713e-36,9.820804733099859e-36
6.857905727129826e-09,0.0005344628783687447,0.1557,0.0,0.0011656941103332867,0.6420264964190625,0.2019,1.2108635620227353e-58,1.1854450834535782e-35,3.31793055417966e-30,3.76885442716309e-58,1.5651961704224074e-28,5.58578709826025e-51,6.745311953477889e-05,7.686528812193537e-30,7.20717807943616e-40,9.167445648801278e-37,2.2208163921406486e-30,3.77314091342177e-59,2.6755287802340025e-26,4.2613829418885e-64,9.143924028373147e-71,1.753555780209996e-28,4.248369739051435e-33,5.068649471684824e-67,1.1270728616417032e-29,4.3762193008343326e-55,0.00033977702117084886,5.945121817058955e-36,1.3150388002873758e-34,1.698587495556281e-60,3.4825094169784445e-32,1.8933949732243253e-34,3.0938880151895484e-96,5.738409913446538e-23,5.605513763809228e-25,1.3816651223932694e-26,-1.3468285762438735e-23,1.801809863537477e-31,-5.245536922839038e-22,8.343520270604877e-94,2.478187867358764e-97,2.9457633459442176e-36,1.0172715754482123e-35
