Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60)
1.3119784044129036e-07,0.002719578564615631,0.0915567593028733,0.0,0.0003467644642834272,0.4515388057162967,8.265355193725673e-13,0.45307595549757285,8.583898482529351e-16,1.9484788659423098e-19,2.0645063959717857e-16,6.882510584232357e-18,-1.0705514854893304e-28,7.637936076569778e-06,8.545061780953269e-13,8.077648292156553e-21,5.3344628110393497e-20,2.7996377156856137e-14,4.25301172182346e-11,8.173972433281375e-16,2.8780543955182727e-22,1.3291384725415224e-20,7.997192387440305e-18,1.3095623156554973e-22,1.1342929770962121e-32,2.6094412119710397e-19,0.0038246568000831534,3.6717682925869355e-09,5.871455839132602e-24
1.314831229308202e-07,0.002719578564615631,0.0915567593028733,0.0,0.0003465199852545741,0.4515388084692127,8.285316742381235e-13,0.45307583050358247,8.585465048925289e-16,1.9507788729859048e-19,2.064874958699705e-16,6.8943412359476184e-18,-1.06923123588542e-28,7.632423912345525e-06,8.565050716546206e-13,-1.5167631360248597e-21,5.832632908385068e-20,2.799912087789551e-14,4.248207650935978e-11,8.175266178492664e-16,2.875082997895466e-22,1.3281992755090507e-20,8.002409390619672e-18,4.6923188664861155e-23,1.1336766386710656e-32,2.613925909644195e-19,0.0038247817941196535,3.6749344017431673e-09,5.867891304536845e-24
1.3176840542035006e-07,0.002719578564615631,0.0915567593028733,0.0,0.0003462771550367061,0.45153881120359207,8.305278992507541e-13,0.453075706352535,8.586962147636938e-16,1.9530775884498208e-19,2.0652429929012756e-16,6.906033566291e-18,-1.0667235289489332e-28,7.626948825768199e-06,8.585040302924724e-13,8.114332533568413e-22,5.811666781951974e-20,2.800185952516619e-14,4.2434397751797105e-11,8.176557927235168e-16,2.872135236439755e-22,1.3272663679832364e-20,8.00765096300391e-18,7.14196990230977e-23,1.1330652269689306e-32,2.618358147499954e-19,0.003824905945212775,3.6780982853806785e-09,5.8643528193147494e-24
1.320536879098799e-07,0.002719578564615631,0.0915567593028733,0.0,0.00034603596138502044,0.45153881391957196,8.325241939231688e-13,0.453075583038171,8.588429702490414e-16,1.9553750223812201e-19,2.065610502509783e-16,6.917707766923009e-18,-1.06410056509755e-28,7.621510542504845e-06,8.60503053570181e-13,1.0450518102515437e-20,5.333661342799449e-20,2.8004593147318134e-14,4.2387077816726976e-11,8.177847694767337e-16,2.86921009451988e-22,1.3263397037835547e-20,8.012841877709478e-18,1.549533747514294e-22,1.1324587068929796e-32,2.6227835077266927e-19,0.0038250292596220758,3.681259958503289e-09,5.8608401966846236e-24
1.3233897039940976e-07,0.002719578564615631,0.0915567593028733,0.0,0.0003457963921599777,0.4515388166172885,8.345205577718096e-13,0.4530754605542847,8.590009084125791e-16,1.957671184756009e-19,2.0659774914236892e-16,6.929463474658768e-18,-1.0620760265302758e-28,7.616108790577998e-06,8.625021410522983e-13,-1.525960715602612e-21,5.8777163691206e-20,2.8007321792500405e-14,4.2340113606554056e-11,8.179135495723792e-16,2.866304415932138e-22,1.3254192371189134e-20,8.018137225073522e-18,3.9096476809689394e-23,1.1318570436574215e-32,2.627239777131359e-19,0.0038251517435533037,3.684419436003463e-09,5.8573532514044156e-24
1.326242528889396e-07,0.002719578564615631,0.0915567593028733,0.0,0.00034555843532623127,0.4515388192968764,8.365169903168185e-13,0.45307533889472373,8.591532035261061e-16,1.959966085479648e-19,2.066343963506389e-16,6.941257712516267e-18,-1.0605145300236104e-28,7.61074330033143e-06,8.645012923066046e-13,-2.757063955987861e-21,5.890468013964362e-20,2.8010045508395184e-14,4.229350205456044e-11,8.180421344283835e-16,2.863421996406794e-22,1.3245049225913538e-20,8.023263061927166e-18,4.250727385417136e-23,1.1312602028791845e-32,2.6317106568269056e-19,0.003825273403158955,3.687576732663259e-09,5.853891799761642e-24
1.3290953537846946e-07,0.002719578564615631,0.0915567593028733,0.0,0.0003453220789515565,0.45153882195846917,8.385134910820036e-13,0.45307521805338813,8.592958817474431e-16,1.962259734387399e-19,2.0667099225874955e-16,6.953015832103427e-18,-1.0587439055875877e-28,7.6054138044017475e-06,8.665005069040813e-13,1.329460352516124e-20,5.115715633547083e-20,2.8012764342239573e-14,4.2247240124562943e-11,8.181705254621711e-16,2.8605625438050384e-22,1.3235967151814001e-20,8.028271455059044e-18,1.906934433725628e-22,1.1306681503238602e-32,2.6361678367112104e-19,0.003825394244538821,3.690731863155281e-09,5.850455659561308e-24
1.331948178679993e-07,0.002719578564615631,0.0915567593028733,0.0,0.00034508731120576255,0.4515388246021995,8.405100595948064e-13,0.4530750980242303,8.594526748918926e-16,1.964552141243858e-19,2.067075372464583e-16,6.964776563429792e-18,-1.056761310964693e-28,7.600120037714426e-06,8.684997844188807e-13,2.975604017310876e-22,5.813580234919912e-20,2.80154783407776e-14,4.2201324810574195e-11,8.18298724102821e-16,2.857720865982556e-22,1.3226945702452277e-20,8.03356343571652e-18,4.2496121383488274e-23,1.1300808520175528e-32,2.6406260049990655e-19,0.0038255142737405293,3.6938848420436143e-09,5.847044650101705e-24
1.3348010035752916e-07,0.002719578564615631,0.0915567593028733,0.0,0.0003448541203596575,0.4515388272281987,8.425066953862712e-13,0.4530749788012544,8.596080982097344e-16,1.966843315744e-19,2.0674403169032046e-16,6.976537674497295e-18,-1.0548680950663195e-28,7.594861737450283e-06,8.704991244282994e-13,-8.160854379220179e-21,6.173956861896473e-20,2.8018187550296902e-14,4.2155753136467835e-11,8.184267317769902e-16,2.8549017879075547e-22,1.321798443524055e-20,8.038748102997815e-18,-8.805530833111064e-24,1.1294982744325639e-32,2.6450843152251077e-19,0.0038256334967600777,3.697035683784755e-09,5.843658592165386e-24
1.33765382847059e-07,0.002719578564615631,0.0915567593028733,0.0,0.00034462249478403725,0.4515388298365973,8.445033979910125e-13,0.45307486037851524,8.597467474764422e-16,1.9691332675145913e-19,2.0678047596364972e-16,6.988251334054767e-18,-1.0527831990005493e-28,7.589638643006708e-06,8.724985265127558e-13,1.599739889007337e-20,4.9296162997474217e-20,2.8020892016673765e-14,4.2110522155647346e-11,8.185545498917488e-16,2.8521067208870927e-22,1.3209082911261219e-20,8.043673955876773e-18,2.3800350015365556e-22,1.1289203841835847e-32,2.6495246275760243e-19,0.0038257519195423646,3.7001844027285203e-09,5.8402973080105915e-24
