Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(48),CH2O2X(49),CH3OX(44),CH3X(50),CH4(39),CH4X(236),CH3O2X(47),CH4O2(169),H(23),HCO(31)
2.5193858529770117e-09,0.0005360053254522017,0.1557,0.0,0.0003013152855540438,0.6411327719917238,0.2019,1.8572170405620184e-68,3.9896267430656214e-41,2.259398860506904e-33,6.577618211964694e-65,1.7899027315371304e-32,-2.4736826551037743e-56,1.7840758033365155e-05,9.051090336083378e-34,3.2282706310602584e-44,4.8004817404529356e-42,7.134838299741973e-35,1.6394062442787608e-67,2.3697027131933917e-28,1.4594221482142294e-71,3.7225644964921906e-73,1.6191768844821491e-31,4.026842058115308e-36,4.920513583760201e-77,5.2265817476246505e-34,0.00125830762926266,4.1786477195397594e-71,3.5849398309861986e-36,5.226205692993576e-21,7.0432112648085e-25,-3.637495713632477e-21,4.559299711983511e-77,2.4850960737003162e-74,1.0909255647576828e-23,4.672452028344778e-26
2.5307498650810127e-09,0.0005360053254522017,0.1557,0.0,0.00030127611578454266,0.6411327312181146,0.2019,1.9121924008775446e-68,4.062827741471043e-41,2.2912925219678486e-33,6.7664980588142006e-65,1.8163065892739135e-32,-2.420322662403775e-56,1.7837550354201728e-05,9.18441231158969e-34,3.2728524588227257e-44,4.8699847617204966e-42,7.236269777415124e-35,1.6867987729973007e-67,2.3955400298190762e-28,1.497316520571423e-71,3.829533494276711e-73,1.6417494359673438e-31,4.078377808711956e-36,5.060554349168325e-77,5.299723595091946e-34,0.001258350006711333,4.298368149690609e-71,3.6429004936160364e-36,-6.751166082113146e-22,8.234129201380289e-25,2.2635691739755952e-21,4.690796719760406e-77,2.567719680630353e-74,1.0939426370410461e-23,4.7059601873162755e-26
2.5421138771850137e-09,0.0005360053254522017,0.1557,0.0,0.0003012381216460306,0.6411326916680063,0.2019,1.968627631529454e-68,4.137082401087054e-41,2.323530646440512e-33,6.960695127259337e-65,1.8430722589212772e-32,-2.3656954931684594e-56,1.7834438414282856e-05,9.319560834907022e-34,3.330880914237814e-44,4.940434891707516e-42,7.338791907643782e-35,1.7354126431677447e-67,2.421558800667463e-28,1.5361037892833211e-71,3.93924891706878e-73,1.66455483402976e-31,4.133807591723428e-36,5.204329893822062e-77,5.373860747625477e-34,0.00125839111278975,4.4211453582047755e-71,3.7016155587493945e-36,-5.994647219844955e-21,9.458426591916931e-25,7.583203606048131e-21,4.8256881200635516e-77,2.653143144654889e-74,1.0969586215126483e-23,4.7395597685071907e-26
2.5534778892890148e-09,0.0005360053254522017,0.1557,0.0,0.0003012012678283753,0.6411326533046661,0.2019,2.026557717685187e-68,4.2124196966944437e-41,2.3561157785972496e-33,7.1600027505480495e-65,1.8702031494032027e-32,-2.3096347165524813e-56,1.783141936875673e-05,9.456553042945712e-34,3.374461516004301e-44,5.0119832901351366e-42,7.442412547839572e-35,1.7852765703628325e-67,2.4477595811596296e-28,1.5756395520817886e-71,4.051790357479144e-73,1.687594642909471e-31,4.1974749924584225e-36,5.3516885283576695e-77,5.449001115347237e-34,0.001258430985652934,4.547109416523465e-71,3.7610923146930956e-36,6.728895907892532e-21,8.874885857929395e-25,-5.140329341935193e-21,4.964058115159662e-77,2.7412519391166247e-74,1.0999735348385636e-23,4.7732507329765764e-26
2.5648419013930158e-09,0.0005360053254522017,0.1557,0.0,0.0003011655200833654,0.6411326160924649,0.2019,2.0860184286552425e-68,4.2888483662217254e-41,2.3890504703802307e-33,7.363703996701936e-65,1.8977036396404556e-32,-2.2521805475804665e-56,1.782849045659196e-05,9.59541101410032e-34,3.416625147444608e-44,5.0845758938932355e-42,7.547139568830012e-35,1.836419817214572e-67,2.4741429254003565e-28,1.6162504374527738e-71,4.167223096431584e-73,1.7108705620738288e-31,4.2501660965449944e-36,5.503220417380197e-77,5.525156179865748e-34,0.001258469662310124,4.676300903820146e-71,3.821338085890876e-36,1.0715685404595476e-21,1.0009968487885804e-24,5.166420932119199e-22,5.1059931210146475e-77,2.8316664450656432e-74,1.1029873931908206e-23,4.807033042304065e-26
2.576205913497017e-09,0.0005360053254522017,0.1557,0.0,0.00030113084519269755,0.6411325799968449,0.2019,2.1470464181264106e-68,4.3663731805472787e-41,2.422337280988544e-33,7.573069277600875e-65,1.9255775929387692e-32,-2.1934268916203376e-56,1.7825648998146985e-05,9.736154196535594e-34,3.478635036446084e-44,5.158117663234414e-42,7.652980854974444e-35,1.888872291489114e-67,2.500709386198887e-28,1.6578614017370663e-71,4.2855937714234504e-73,1.734384028721704e-31,4.305025242008342e-36,5.658841182726077e-77,5.602335454413971e-34,0.0012585071786592184,4.8087374772663315e-71,3.882360233289984e-36,-9.653004672582476e-21,1.1781729234094702e-24,1.1241336699846139e-20,5.2515749842690175e-77,2.9251090632729505e-74,1.106000212262007e-23,4.840906658574621e-26
2.587569925601018e-09,0.0005360053254522017,0.1557,0.0,0.0003010972109370528,0.6411325449842867,0.2019,2.2096789389103345e-68,4.445026044052771e-41,2.455978776866536e-33,7.788267522897132e-65,1.9538281865284374e-32,-2.133123798338635e-56,1.7822892392819874e-05,9.87879853956797e-34,3.5276838948030393e-44,5.232784610203608e-42,7.759944331432549e-35,1.9426645276046152e-67,2.5274595150894774e-28,1.7001964126203703e-71,4.406988395574726e-73,1.7581365770388406e-31,4.3734833817725734e-36,5.818195933211107e-77,5.68054584888884e-34,0.001258543569520189,4.9445941160247606e-71,3.944166162321652e-36,8.06673400685042e-21,1.0734957746482195e-24,-6.4782784759512324e-21,5.400886602193531e-77,3.0216717806689246e-74,1.1090120072794498e-23,4.8748715443637357e-26
2.598933937705019e-09,0.0005360053254522017,0.1557,0.0,0.0003010645860658629,0.6411325110222775,0.2019,2.2739540452351445e-68,4.5248212461295487e-41,2.4899775316958045e-33,8.007913314748943e-65,1.9824600013488517e-32,-2.0712940607871145e-56,1.7820218116739668e-05,1.0023367144467664e-33,3.5666605423869347e-44,5.3085736278069e-42,7.86803793587335e-35,1.9978276136332496e-67,2.554393862351715e-28,1.7436785981333291e-71,4.5314933253625814e-73,1.7821299835297957e-31,4.427981808063249e-36,5.9820409094347846e-77,5.7597994614260886e-34,0.001258578868667484,5.0839503225964464e-71,4.006763314155603e-36,4.490315012856653e-21,1.1616354626101402e-24,-2.902347006263886e-21,5.554018072086918e-77,3.1205962210373973e-74,1.1120227930189838e-23,4.908927662723055e-26
2.61029794980902e-09,0.0005360053254522017,0.1557,0.0,0.0003010329402680767,0.6411324780792818,0.2019,2.3399108175846385e-68,4.605756914423812e-41,2.524336126383344e-33,8.233397825285227e-65,2.0114772477324038e-32,-2.0081576191719391e-56,1.7817623720531812e-05,1.0169881221250417e-33,3.631135100964715e-44,5.3853181224675705e-42,7.977269608976109e-35,2.0543933224833308e-67,2.5815129770305974e-28,1.7883091977231649e-71,4.6591460246456293e-73,1.8063656720065937e-31,4.480781482786626e-36,6.150407683978664e-77,5.840106961624797e-34,0.0012586131088614557,5.226751169368179e-71,4.070159163765277e-36,-1.4742012010322555e-20,1.423567954428342e-24,1.6330083513076983e-20,5.7110590773688015e-77,3.2226865993181085e-74,1.1150325838183171e-23,4.943074977166429e-26
2.621661961913021e-09,0.0005360053254522017,0.1557,0.0,0.0003010022441440446,0.641132446124711,0.2019,2.4075889118156197e-68,4.687865567107036e-41,2.5590571490496606e-33,8.465654182221513e-65,2.0408827544462044e-32,-1.9433577427495814e-56,1.781510682716958e-05,1.0318354936406856e-33,3.6880413014984353e-44,5.463195678350894e-42,8.087647343665689e-35,2.112394108335447e-67,2.6088174069563467e-28,1.833618994099378e-71,4.7900244015225325e-73,1.8308451156231638e-31,4.5547603353334606e-36,6.3226377409627815e-77,5.921473821836136e-34,0.0012586463218788404,5.373183905653689e-71,4.13436123337601e-36,8.63046268181674e-21,1.2687423307512055e-24,-7.042081702167013e-21,5.872096718566643e-77,3.328464811961745e-74,1.1180413935900085e-23,4.9773134516563805e-26
