Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60),CHOX2(61),SX(53),CH3OX(46),CH3X(55),CH4(41),CH2OX2(52),CHX(32),SX(406),SX(420),C2HOX(418),C2H4O(376)
1.71864100058437e-09,0.000539690409995138,0.1557,0.0,0.0005020511243661267,0.6423850819301365,0.20084357792180652,1.8561859285112133e-17,3.75746880982512e-23,5.476162942992786e-12,4.4985703553436056e-29,3.429801316852079e-15,3.895086661523874e-21,2.983567770024794e-05,7.897531289250621e-21,5.62846962134866e-27,1.7784080695025025e-24,0.001056421620805683,3.2711677723507663e-24,4.491505125557556e-10,2.858381871942727e-35,1.0229610743760411e-32,8.937328154209261e-13,2.685565385694198e-19,2.5673015838474695e-43,1.3807872204024173e-16,5.1771553081733034e-14,3.3255501073230164e-14,1.754523524496673e-12,6.326373048820421e-16,4.984023952397217e-33,3.423752123633202e-17,2.8184573093486438e-22,1.9271972190020972e-20,4.166204088998298e-16,5.0228900035127086e-14,1.4141895448750552e-18,4.343955075669225e-18,9.653985505476111e-17,1.4589052664662948e-15
1.7254095560044826e-09,0.000539690409995138,0.1557,0.0,0.0005008798197340172,0.6423851177630278,0.2008423349501034,1.8733627586137822e-17,3.7717568928699026e-23,5.485632066278176e-12,4.535888245042287e-29,3.4471414076439474e-15,3.9340099692611854e-21,2.9764010640593365e-05,7.85978614838385e-21,5.6272201606593865e-27,1.771939235073263e-24,0.001057664591248363,3.2794685843723474e-24,4.5039799529786105e-10,2.8597258047489344e-35,1.0282233284925207e-32,8.988149738193724e-13,2.686360488680627e-19,2.5910625655923053e-43,1.3877266340309593e-16,5.198325857500041e-14,3.333362539710935e-14,1.7524919377631907e-12,6.304204440803594e-16,5.023346906275688e-33,3.4488622460435756e-17,2.8431086667197574e-22,1.9486108769649147e-20,4.142440134256246e-16,5.042178719028805e-14,1.470465771533247e-18,4.35352432440518e-18,9.747333342590982e-17,1.4768957947786178e-15
1.732178111424595e-09,0.000539690409995138,0.1557,0.0,0.0004997179766679307,0.6423851533154215,0.20084110200096586,1.8906096019454346e-17,3.785998649012154e-23,5.495047676736447e-12,4.5732913440055195e-29,3.4643609590087205e-15,3.97322460114485e-21,2.9692904580467124e-05,7.822274821240203e-21,5.6228701445615055e-27,1.7655491877980002e-24,0.001058897539129587,3.28773097368882e-24,4.516413547584552e-10,2.86105528071981e-35,1.0334173300974863e-32,9.038990442614655e-13,2.699923029926477e-19,2.6149493055659388e-43,1.3946168271518574e-16,5.2194469805017735e-14,3.3411567998895356e-14,1.7504672707678002e-12,6.282209884122218e-16,5.062788032786993e-33,3.4740202454942754e-17,2.868000006444341e-22,1.970152560319246e-20,4.1189225226979965e-16,5.0614055337959694e-14,1.4332965998254471e-18,4.435027744186408e-18,9.842449719104928e-17,1.4950155922364e-15
1.7389466668447075e-09,0.000539690409995138,0.1557,0.0,0.0004985655185479035,0.6423851885895165,0.2008398789933763,1.907926295172404e-17,3.800196214108345e-23,5.504410329046595e-12,4.610772298080357e-29,3.481550745162119e-15,4.012653148128899e-21,2.962235512174317e-05,7.785139178360838e-21,5.618958013443434e-27,1.7592524802449695e-24,0.0010601205454670048,3.2959551079693586e-24,4.528806224018334e-10,2.8623663691994275e-35,1.0386168078813174e-32,9.089849167487775e-13,2.7037267748988832e-19,2.638793748553094e-43,1.4014945596438861e-16,5.2405188885780895e-14,3.348933034646613e-14,1.7484496199886259e-12,6.260388272931012e-16,5.102348251311093e-33,3.499225889222687e-17,2.8935156491399345e-22,1.9918307669000327e-20,4.0956485914486833e-16,5.080570660477167e-14,1.3519559333203862e-18,4.556103989982989e-18,9.935346690710236e-17,1.5132876116273086e-15
1.7450383667228088e-09,0.000539690409995138,0.1557,0.0,0.0004975362675438235,0.6423852201000595,0.2008387867201378,1.9235709063081913e-17,3.8129355177102695e-23,5.512791890522234e-12,4.644576850275484e-29,3.4971058212774266e-15,4.048228768898652e-21,2.9559332896934288e-05,7.75219237444522e-21,5.618516508812545e-27,1.7536518376160064e-24,0.001061212817582069,3.303324312526703e-24,4.5399249054386896e-10,2.863518839376493e-35,1.0433335144612377e-32,9.1356361361268e-13,2.707194752995734e-19,2.6603511393501046e-43,1.4077182962012678e-16,5.2594417034099143e-14,3.35591635455475e-14,1.7466398102839692e-12,6.24089577623069e-16,5.138053293221113e-33,3.52195151199917e-17,2.917181689698054e-22,2.011471634022166e-20,4.074908221885415e-16,5.0977667065823095e-14,1.4784465256395853e-18,4.491071096564239e-18,1.0016735199350231e-16,1.529836170770908e-15
1.7511300666009102e-09,0.000539690409995138,0.1557,0.0,0.0004965145018050939,0.6423852513885259,0.20083770237632176,1.939271846052306e-17,3.825637075908815e-23,5.5211313962940825e-12,4.678455301243693e-29,3.512685649822792e-15,4.0839367829646006e-21,2.9496754829491067e-05,7.719603779279587e-21,5.616029094926242e-27,1.7480969752640797e-24,0.0010622971602779624,3.3106630138202235e-24,4.551010929560026e-10,2.864661610661987e-35,1.0480460273263907e-32,9.181436924741067e-13,2.713124505103093e-19,2.682135873575461e-43,1.413951726975822e-16,5.278324983849876e-14,3.362885297146987e-14,1.7448358250610982e-12,6.221541661873774e-16,5.173852630587994e-33,3.544715365098167e-17,2.9412164902339515e-22,2.031232081716501e-20,4.054361194969778e-16,5.1149131146557754e-14,1.4957762043411932e-18,4.521032488354909e-18,1.0101858331187455e-16,1.546463149009467e-15
1.7566125964912014e-09,0.000539690409995138,0.1557,0.0,0.0004956012674292303,0.6423852793595649,0.20083673319884043,1.9534507555777787e-17,3.8370365332984727e-23,5.528601317950188e-12,4.709007543969389e-29,3.5266577433696726e-15,4.1162475655453156e-21,2.9440811732946582e-05,7.690468576695002e-21,5.613659996982971e-27,1.7431373098752594e-24,0.0010632663367539884,3.3172420145608404e-24,4.5609606219839066e-10,2.8656775339811726e-35,1.0522736750240345e-32,9.22267009630302e-13,2.717673430928796e-19,2.701860782456825e-43,1.419541385592502e-16,5.295286264964896e-14,3.369145139307195e-14,1.743217271009766e-12,6.204240607834971e-16,5.206152627435015e-33,3.5652353814794926e-17,2.962818620039975e-22,2.049112649574368e-20,4.0360326189971304e-16,5.130302572857802e-14,1.4500608110414113e-18,4.610827045798166e-18,1.0179542249108536e-16,1.5615020388948389e-15
1.7620951263814926e-09,0.000539690409995138,0.1557,0.0,0.0004946940124016461,0.6423853071531253,0.2008357703556676,1.967675110614011e-17,3.848406648154088e-23,5.536037775213622e-12,4.739615421882538e-29,3.5405908881053636e-15,4.148715821216754e-21,2.938522359660867e-05,7.661532341108452e-21,5.61192837333036e-27,1.738222000181199e-24,0.0010642291789241308,3.323796671923693e-24,4.570884216266888e-10,2.8666789979641494e-35,1.0564900989993276e-32,9.263914904062002e-13,2.722353992339846e-19,2.721590616502965e-43,1.425115004938369e-16,5.312215767275466e-14,3.375393496236732e-14,1.7416035315117075e-12,6.187050399515849e-16,5.2385293796138624e-33,3.585786112944751e-17,2.98435114840577e-22,2.067085726697162e-20,4.017857759070692e-16,5.145652069956887e-14,1.5213859882542526e-18,4.5841866078400185e-18,1.0256933571736762e-16,1.5766255258795674e-15
1.7675776562717838e-09,0.000539690409995138,0.1557,0.0,0.0004937926974750279,0.6423853347703335,0.20083481380530205,1.9819448260713222e-17,3.859748275180897e-23,5.54344104873438e-12,4.770275467044432e-29,3.554492354334303e-15,4.1813356255827085e-21,2.9329988166747457e-05,7.632814442898306e-21,5.6088698822117614e-27,1.733356251310968e-24,0.0010651857282896954,3.330327075145192e-24,4.580781877720591e-10,2.867672563878497e-35,1.060690461869164e-32,9.30517119331398e-13,2.7285565759950238e-19,2.74132710634246e-43,1.4306755292517039e-16,5.329113607530416e-14,3.381630443132899e-14,1.7399946503479773e-12,6.169970447936651e-16,5.270983158376191e-33,3.6063674437638014e-17,3.0058569769857725e-22,2.0851520247586175e-20,3.9998352629717147e-16,5.1609617231548864e-14,1.6483502533847464e-18,4.475933559022118e-18,1.0337639646113178e-16,1.5918241101278416e-15
1.773060186162075e-09,0.000539690409995138,0.1557,0.0,0.0004928972836602385,0.6423853622123098,0.20083386350651516,1.99625981717397e-17,3.8710613753345364e-23,5.55081141669519e-12,4.8009895683505293e-29,3.568405302729494e-15,4.214070255476277e-21,2.927510320379332e-05,7.604374582295097e-21,5.607482418490329e-27,1.7285360574530133e-24,0.001066136026079111,3.336833356652436e-24,4.590653768180084e-10,2.868649676482008e-35,1.064905289826955e-32,9.346438444785164e-13,2.731676622844017e-19,2.7611381155114576e-43,1.4362404368380633e-16,5.3459799031717956e-14,3.3878560546994735e-14,1.738390670024245e-12,6.153000163244169e-16,5.3035136537359006e-33,3.62697926094573e-17,3.0275167351289228e-22,2.1033158404651798e-20,3.9819637887827934e-16,5.176231650564976e-14,1.5100360673671871e-18,4.6675509784708355e-18,1.0417041202233546e-16,1.6070834113235905e-15
