Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60),CHOX2(61),SX(53),CH3OX(46),CH3X(55),CH4(41),CH2OX2(52),CHX(32),SX(406),SX(420),C2HOX(418),C2H4O(376),CH2X(63),SX(57),CH4X(383),SX(56),CH2OX(176),CHOX(175),OCCO(371),SX(421)
4.874561513403695e-12,0.00053584454179025,0.1557,0.0,0.0015583792973162093,0.6423944126048307,0.20189256360119784,8.416130405582227e-28,4.6633380605725025e-31,3.2546877598259678e-18,2.562644408446557e-41,7.908948324761278e-27,1.7532204145712444e-37,1.1174790335613821e-05,3.059710001730613e-24,8.949479817597289e-31,4.628640077568995e-31,7.436398765427785e-06,3.3784466813148264e-33,2.0373562126847567e-15,7.116930668444896e-45,6.080187521913025e-41,1.1758047794990918e-21,3.53544925583386e-27,1.6568658990155906e-52,2.938321142544939e-28,2.1641341092986717e-21,1.7650647168050292e-16,3.461584507702115e-14,4.518381616738266e-18,3.342396661224107e-42,2.0312798094370114e-29,-2.8091696244164837e-23,2.7690628834984033e-28,8.626306339198482e-19,1.8880097647030795e-21,1.2094233863923457e-31,7.033353870489157e-32,7.0959754671781025e-31,7.504947441820337e-33,2.7918392570590235e-22,9.088164048174259e-43,2.809239076148469e-23,2.9748956770418444e-39,5.266507947955355e-27,4.060884938702057e-26,7.172786610925252e-60,4.6341926410382664e-38
5.07173656165981e-12,0.00053584454179025,0.1557,0.0,0.0015576387280482533,0.6423941916970576,0.20189226484747724,1.0303063224882335e-27,6.002860595131743e-31,3.834104844748961e-18,3.554186462830428e-41,1.0756228171483183e-26,2.5799516563233973e-37,1.1616605881571097e-05,3.463085899554695e-24,1.0599927054308571e-30,5.956121428920464e-31,7.735152484414033e-06,4.1358942921108596e-33,2.29228502998509e-15,9.063108197534685e-45,7.534356086165016e-41,1.4315185962922509e-21,4.439662857191872e-27,2.494156837833963e-52,3.9961384406439325e-28,2.5478306643290794e-21,1.8360222380876194e-16,3.5990689577847267e-14,4.883356614497381e-18,4.483773694495129e-42,2.675914524722329e-29,4.236864570831726e-22,-4.176665766380992e-27,9.746579519399081e-19,2.2093374548872896e-21,1.6543716190957666e-31,9.907456483941683e-32,1.0086932637766205e-30,1.1328465127005832e-32,3.419560245214924e-22,1.2454414298443624e-42,-4.236809783157434e-22,4.2061992981529825e-39,6.285896027950963e-27,4.93805578205979e-26,1.2518758413962528e-59,6.457277842533386e-38
5.2689116099159255e-12,0.00053584454179025,0.1557,0.0,0.0015568992829145623,0.6423939712726591,0.20189196625114195,1.2517495634209596e-27,7.644813538434686e-31,4.487077929328566e-18,4.863001647602186e-41,1.4452275981596428e-26,3.7394827817795634e-37,1.2057454678603583e-05,3.9016932101393175e-24,1.2462431679690324e-30,7.582641590600835e-31,8.033748818043604e-06,5.02481527574285e-33,2.5673845853314713e-15,1.1436084578785626e-44,9.244232046357226e-41,1.72966007622934e-21,5.524742698539115e-27,3.698422336664993e-52,5.369288774655673e-28,2.981258793365499e-21,1.9069460322580361e-16,3.7363526264585166e-14,5.261769176961261e-18,5.950565764181557e-42,3.4878631999272993e-29,-6.690684221036548e-21,6.59624524098642e-26,1.0957002019810219e-18,2.5696891416470642e-21,2.236008314708835e-31,1.3774774224740354e-31,1.4146511429760307e-30,1.8768598533168116e-32,4.154708721227286e-22,1.6859808532310002e-42,6.690619984118616e-21,5.866377440053658e-39,7.457699558816433e-27,5.957324923927156e-26,2.1653217861614875e-59,8.889703398112223e-38
5.466086658172041e-12,0.00053584454179025,0.1557,0.0,0.001556160980105185,0.642393751340843,0.20189166781196594,1.5101059627962048e-27,9.64038258177947e-31,5.219445752881442e-18,6.57121517728769e-41,1.920151165512048e-26,5.344664936669353e-37,1.2497318310604938e-05,4.377189285142301e-24,1.4553834594579414e-30,9.55863542456967e-31,8.332187992373553e-06,6.061929080908047e-33,2.863383252560609e-15,1.4308491533708427e-44,1.1239641217801805e-40,2.0752415174199965e-21,6.817451129235338e-27,5.408095166466039e-52,7.133717922986802e-28,3.468761455776592e-21,1.977836151005429e-16,3.873438651432777e-14,5.653923012248008e-18,7.819462784247534e-42,4.5016306424575614e-29,1.103904556764684e-19,-1.0884160278655363e-24,1.2262191165794206e-18,2.972102009932921e-21,2.9886533465351065e-31,1.891819443648673e-31,1.9593284107814965e-30,-3.6289042396259027e-33,5.010358835350153e-22,2.2569412553113285e-42,-1.103893649978059e-19,8.079512549903987e-39,8.79880152365509e-27,7.134427338675721e-26,3.695712308852905e-59,1.2102410940855506e-37
5.663261706428156e-12,0.00053584454179025,0.1557,0.0,0.00155542383763675,0.6423935319107325,0.20189136952971967,1.8098909170364314e-27,1.2046896861339655e-30,6.037255083147937e-18,8.777732554686014e-41,2.52466228284959e-26,7.539893645171259e-37,1.2936178531426853e-05,4.8912501969504396e-24,1.689157695939624e-30,1.1940556549674328e-30,8.630470236923892e-06,7.265370414394802e-33,3.1810035735267612e-15,1.7761926068362945e-44,1.3552729833523893e-40,2.4736428106667604e-21,8.347193637003267e-27,7.805932963265999e-52,9.37958883527782e-28,4.014824768636161e-21,2.0486926468443478e-16,4.010309888255473e-14,6.0589170108544275e-18,1.0181153158090201e-41,5.757126225155646e-29,5.750070663328754e-22,-9.908744942884021e-26,1.3664906408932191e-18,3.4196505745875454e-21,3.953501645630626e-31,2.5692881152880843e-31,2.68229935479698e-30,-2.980918886390784e-32,6.000643170150906e-22,2.989868327770634e-42,-5.749050409772316e-22,1.099779942515723e-38,1.0327360483471078e-26,8.486037526574186e-26,6.210946531756292e-59,1.6305862998908982e-37
5.67249451695359e-12,0.00053584454179025,0.1557,0.0,0.0015553893493462198,0.6423935216482664,0.20189135556636137,1.82502401029203e-27,1.2170697512348523e-30,6.077747133692612e-18,8.895159315483838e-41,2.556604361240063e-26,7.660026411612194e-37,1.2956703463555732e-05,4.916294705029773e-24,1.7007377481683953e-30,1.2063066260675212e-30,8.644433595181168e-06,7.326120554196365e-33,3.196418170243549e-15,1.7939354684405977e-44,1.3669400724285996e-40,2.4936874512480503e-21,8.425160664678193e-27,7.938800811389437e-52,9.498259579811952e-28,4.041905118941584e-21,2.0520097110291428e-16,4.016713522282819e-14,6.078183843340512e-18,1.030552427325999e-41,5.822581858379236e-29,-6.859168485784187e-22,-8.70880672367746e-26,1.3732965781544947e-18,3.4417639627203374e-21,4.004671780541706e-31,2.6057097566527793e-31,2.721295869790802e-30,-2.914588716322581e-32,6.050563033510335e-22,3.0287565159439415e-42,6.860069100174605e-22,1.1154671106487262e-38,1.0403850580160402e-26,8.553895110746501e-26,6.3611407786959985e-59,1.6531062903863292e-37
5.690960138004457e-12,0.00053584454179025,0.1557,0.0,0.0015553203805224677,0.6423935011266975,0.20189132764067536,1.855596698515269e-27,1.242144624978453e-30,6.159336476382427e-18,9.134109525407601e-41,2.621539277252112e-26,7.905436202299816e-37,1.2997746601141819e-05,4.9666491085242316e-24,1.7240725305117042e-30,1.2311193070751828e-30,8.672359281059123e-06,7.448851476126617e-33,3.2273945422637178e-15,1.8298660675331187e-44,1.3905070972507533e-40,2.5341642876340046e-21,8.582877424001088e-27,8.210708729580539e-52,9.739504834103363e-28,4.0964831510149825e-21,2.0586436186041101e-16,4.0295204030545074e-14,6.116851092877127e-18,1.0558247911846315e-41,5.955401796465593e-29,-1.8441292729813922e-23,-9.304617533529982e-26,1.3869736778973553e-18,3.486309312906974e-21,4.108760179430626e-31,2.6799141410508588e-31,2.8007990415994295e-30,-2.756212722444592e-32,6.151392981498675e-22,3.107859086968861e-42,1.8537381627556087e-23,1.147433554286876e-38,1.0558199446393907e-26,8.690880949912049e-26,6.6718606201814e-59,1.6989759233075316e-37
5.700192948529891e-12,0.00053584454179025,0.1557,0.0,0.0015552858999928877,0.6423934908675967,0.20189131367834756,1.87103733974411e-27,1.2548408142137342e-30,6.200434988592783e-18,9.255659958721906e-41,2.654538612032713e-26,8.030757232745436e-37,1.3018264802909358e-05,4.991959362937226e-24,1.7358276773007697e-30,1.24368237482576e-30,8.686321608728048e-06,7.510836470953858e-33,3.2429564783393456e-15,1.8480558587248343e-44,1.4024076615853193e-40,2.5545977124673373e-21,8.662634122597014e-27,8.349807950632793e-52,9.86210348200845e-28,4.1239819635544496e-21,2.0619604620053332e-16,4.035923548189696e-14,6.136242355084673e-18,1.0686625872582235e-41,6.022776346679917e-29,4.0362666320155785e-23,-9.345766852021748e-26,1.393845455706363e-18,3.508742107827309e-21,4.161689832341197e-31,2.717704909787089e-31,2.8413172584099526e-30,-2.678472734794498e-32,6.202306048713797e-22,3.148081719870579e-42,-4.0266131110612423e-23,1.1637173059661341e-38,1.0636062376141811e-26,8.760012932407387e-26,6.832556143265411e-59,1.7223315784324725e-37
5.718658569580759e-12,0.00053584454179025,0.1557,0.0,0.0015552169467074163,0.6423934703527665,0.2018912857547225,1.9022298507415957e-27,1.2805542028229599e-30,6.283242951729641e-18,9.502979488641765e-41,2.721617364056488e-26,8.286741214067449e-37,1.3059294463174476e-05,5.042846915196488e-24,1.759514459210725e-30,1.2691254129978167e-30,8.714245233646558e-06,7.636056114996073e-33,3.274228264382609e-15,1.884889962807613e-44,1.4264446774480694e-40,2.5958576627078386e-21,8.82396194331991e-27,8.634443310550421e-52,1.0111313484271773e-27,4.179401799545315e-21,2.068593928062911e-16,4.0487282929253644e-14,6.175096012645609e-18,1.0947476278363106e-41,6.159480386369774e-29,-8.429248547398863e-24,-9.289202542762545e-26,1.4076560321687924e-18,3.553929754381001e-21,4.2693380747380505e-31,2.794696802057105e-31,2.92391581145509e-30,-2.53335241243911e-32,6.305136387305158e-22,3.2298913029559995e-42,8.525290353396217e-24,1.196896854463462e-38,1.079317570293065e-26,8.899564380352345e-26,7.1650073382223324e-59,1.7698996180837343e-37
5.755589811682495e-12,0.00053584454179025,0.1557,0.0,0.0015550790712821239,0.6423934293366185,0.20189122991159336,1.965874657864999e-27,1.3332848625611133e-30,6.451320861707608e-18,1.0014880970476385e-40,2.8601881841893655e-26,8.820705829176598e-37,1.3141326759056717e-05,5.145695045068634e-24,1.807599483613756e-30,1.3212986166549243e-30,8.770088362483387e-06,7.891553781564232e-33,3.3373655109479797e-15,1.960404511977155e-44,1.4754722603006947e-40,2.6799673734225456e-21,9.153973920374181e-27,9.230304032666378e-52,1.0626129775677237e-27,4.291944590255166e-21,2.08185997735371e-16,4.07433229256519e-14,6.2531381523103056e-18,1.148590701124405e-41,6.440854635956928e-29,-1.6730549133727561e-22,-9.264488767646986e-26,1.4355473971872844e-18,3.6456030600565724e-21,4.491943592737576e-31,2.9544674164657754e-31,3.0955257932777897e-30,-2.3339613590263055e-32,6.514858822517738e-22,3.399090973659288e-42,1.6740143953929372e-22,1.265766607851121e-38,1.1113011276730224e-26,9.183869893501885e-26,7.8764347145640125e-59,1.8685486514527196e-37
5.79252105378423e-12,0.00053584454179025,0.1557,0.0,0.0015549412374811777,0.6423933883385361,0.2018911740739576,2.0312278170604975e-27,1.3877926252123772e-30,6.622717972006905e-18,1.055055120603048e-40,3.004823181730685e-26,9.385210855769234e-37,1.3223322923960689e-05,5.249983354256376e-24,1.8566429756051356e-30,1.3752259540504208e-30,8.825925997945617e-06,8.153910880144036e-33,3.401298182334878e-15,2.0384368606563166e-44,1.5257924858794537e-40,2.7662302724130404e-21,9.493985311377777e-27,9.863233752326092e-52,1.1163475609573812e-27,4.406783064273378e-21,2.0951248498413882e-16,4.0999274910655753e-14,6.331602647814141e-18,1.2047305833321568e-41,6.733133346723306e-29,1.8794056717964586e-22,-9.626372608757152e-26,1.4637929807438901e-18,3.739022782115527e-21,4.724556740019359e-31,3.1223043519032086e-31,3.2760020085151036e-30,-2.044032066015417e-32,6.730088282172929e-22,3.5759708383542216e-42,-1.878409116127173e-22,1.338102052063923e-38,1.1440439048286379e-26,9.475213293381917e-26,8.653987053420039e-59,1.9720477175425186e-37
5.829452295885965e-12,0.00053584454179025,0.1557,0.0,0.0015548034454205615,0.6423933473585778,0.2018911182418136,2.098324064110522e-27,1.4441243191460254e-30,6.797476159238138e-18,1.1110920862101524e-40,3.1557445614443436e-26,9.981785129520868e-37,1.3305282840353112e-05,5.35572292773666e-24,1.9066574786017183e-30,1.4309534793860094e-30,8.881758141587614e-06,8.423267034982155e-33,3.4660308678668096e-15,2.1190520594609424e-44,1.577429099083822e-40,2.8546869076191368e-21,9.844226267101755e-27,1.0535294393217771e-51,1.172417651776478e-27,4.5239493258308484e-21,2.1083885458820359e-16,4.1255173483798754e-14,6.41058240922524e-18,1.2632508153878772e-41,7.036664234887266e-29,9.531642278016487e-24,-9.407601831590518e-26,1.49239523548832e-18,3.8342104983062716e-21,4.967632498403719e-31,3.2984921406625736e-31,3.465740016430363e-30,-1.682161456257972e-32,6.95093014009178e-22,3.760826008717832e-42,-9.434073893302078e-24,1.4140529117202702e-38,1.1775596556843587e-26,9.773716820908359e-26,9.503381256666698e-59,2.080604275787047e-37
5.8663835379877004e-12,0.00053584454179025,0.1557,0.0,0.001554665695216037,0.6423933063968026,0.20189106241515992,2.167198613158527e-27,1.5023276297763752e-30,6.97563732135697e-18,1.1696950862703559e-40,3.313181215501038e-26,1.0612026355469625e-36,1.3387206390919526e-05,5.4629250954785846e-24,1.9576557427669763e-30,1.4885280832387367e-30,8.937584794967931e-06,8.699763821937029e-33,3.5315683346766402e-15,2.20231940945336e-44,1.6304057980296456e-40,2.945378313161292e-21,1.0204932486211554e-26,1.1248655573239115e-51,1.2309082877003529e-27,4.643476487025546e-21,2.1216510658327352e-16,4.151100140333142e-14,6.490010416082183e-18,1.3242381059652275e-41,7.35180383863488e-29,2.3725120086738375e-22,-9.598907104222119e-26,1.521359080725713e-18,3.931188732157236e-21,5.221568156427723e-31,3.48338166070412e-31,3.6651523193007276e-30,-1.3192608065050877e-32,7.177490393359608e-22,3.9539613677651326e-42,-2.371511904083372e-22,1.4937753068333877e-38,1.2118623047054776e-26,1.0079503850945254e-25,1.0430844514259684e-58,2.1944336432692255e-37
5.903314780089436e-12,0.00053584454179025,0.1557,0.0,0.0015545279869831382,0.6423932654532687,0.20189100659399492,2.2378871821490494e-27,1.56245121965207e-30,7.157244225099127e-18,1.2309632224126266e-40,3.4773685407117054e-26,1.1277595877889667e-36,1.346909345855888e-05,5.5716011486316454e-24,2.009650470605725e-30,1.5479976129992803e-30,8.993405959649262e-06,8.983544784383819e-33,3.597915241844453e-15,2.2883092289643977e-44,1.6847470202681583e-40,3.038346015666924e-21,1.0576343006137041e-26,1.2005583905023118e-51,1.2919069229982452e-27,4.7653972190008194e-21,2.1349124100515537e-16,4.1766756187172805e-14,6.5698978293869424e-18,1.3877809217339572e-41,7.678917396165321e-29,-2.613767032651831e-22,-9.138011098770481e-26,1.5506864007867144e-18,4.029979296363181e-21,5.486742475632461e-31,3.6773717666383507e-31,3.8746659322011265e-30,-9.587577671326224e-33,7.409877737407917e-22,4.155691118527514e-42,2.6147231795562674e-22,1.5774295170737344e-38,1.2469659634254682e-26,1.0392698907881022e-25,1.1442997130396265e-58,2.3137585624053063e-37
5.977177264292907e-12,0.00053584454179025,0.1557,0.0,0.0015542526968932574,0.6423931836211589,0.20189089496812473,2.38485174246496e-27,1.688658626524962e-30,7.530967746558244e-18,1.3619072341303653e-40,3.826971362190626e-26,1.2721720985459294e-36,1.363275767775647e-05,5.793420316574647e-24,2.1166804904541037e-30,1.6728174720734444e-30,9.105031829186366e-06,9.573543392770308e-33,3.733056054450568e-15,2.4687424852679697e-44,1.797622479953812e-40,3.2312788902215676e-21,1.1352251149301563e-26,1.36597650789052e-51,1.4217908523165846e-27,5.016551531925951e-21,2.1614315727307474e-16,4.2278044708562144e-14,6.731018400306879e-18,1.5229015686833883e-41,8.370572879271374e-29,7.059371536783539e-24,-9.525349159842141e-26,1.6104389596794908e-18,4.2330853968591965e-21,6.052514388309758e-31,4.094215414985057e-31,4.325783191511047e-30,-2.5164980213818816e-33,7.8925756998762585e-22,4.586239837567116e-42,-6.958194880804927e-24,1.757205475476413e-38,1.3196336226648822e-26,1.1041816916498209e-25,1.375044702711233e-58,2.569826673194728e-37
