Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CH3X(53),CH4(39),H(23)
6.050500430615863e-08,0.0027792097116130575,0.0915567593028733,0.0,0.0005862734069105456,0.4515364991081204,1.6680175855075687e-37,0.45311027114914715,4.511197071412264e-17,3.7084302601403793e-22,3.382231583334793e-16,-1.2620787060473643e-19,7.783260442170259e-32,1.2258495383068103e-05,7.871854951123032e-13,-9.592984282616111e-23,1.0809385566730121e-20,7.872303486080514e-13,1.0506113681838341e-10,2.6659346513552706e-19,6.789500769646111e-21,3.581551615884208e-20,1.0805595360270302e-19,2.6150007219189882e-20,3.985970526274015e-32,-6.205984522141163e-21,0.0037903410860351313,2.8408127934236027e-13,3.78406614513857e-22,1.1689889339775694e-26,6.689606133520345e-19,2.320925214421038e-23,5.908540952478593e-28,1.7158296472310633e-26,2.4525250788861784e-26,7.47859107872522e-22
6.068660172892294e-08,0.0027792097116130575,0.0915567593028733,0.0,0.0005852412256090509,0.4515365100494104,1.6738867861281056e-37,0.4531097441173579,4.512351738732801e-17,3.7134658661189604e-22,3.3832358563854404e-16,-1.4652706214219788e-19,9.47617763046497e-32,1.223661280239205e-05,7.898724335923588e-13,1.2272167915665623e-21,1.0510617074630823e-20,7.899172988612332e-13,1.0475779872477284e-10,2.674180012687287e-19,1.296542711941413e-20,3.575199885593229e-20,2.237501911029994e-19,-6.825869612210672e-20,3.9800688749443115e-32,-7.205145078360486e-21,0.0037908681181249414,2.844181725526221e-13,3.790297219183074e-22,1.1688590142578307e-26,6.692949411216789e-19,2.8000137288394106e-23,5.897530674373798e-28,2.696854514759168e-26,5.747830049412166e-26,7.484516096694813e-22
6.086819915168725e-08,0.0027792097116130575,0.0915567593028733,0.0,0.0005842163069046811,0.45153652091399954,1.6797577088010857e-37,0.45310922079356697,4.513711273361624e-17,3.718494797584478e-22,3.3841784105050282e-16,-1.3967994635980387e-19,8.392368541792199e-32,1.2214883623204217e-05,7.925597440863883e-13,-1.4290308864286894e-21,1.2098000754945599e-20,7.926046210927577e-13,1.0445633478413527e-10,2.682415636975181e-19,-1.9367286964323345e-20,3.5688915430665984e-20,6.426452190926964e-20,8.401133651434244e-20,3.974043173073537e-32,-6.868475025559004e-21,0.0037913914422146536,2.847544742117446e-13,3.7965317917457522e-22,1.168737389367306e-26,6.696280302244741e-19,2.4387059356750535e-23,5.886649216772071e-28,-3.438598769653512e-26,6.290673420541484e-26,7.490425103761677e-22
6.104979657445156e-08,0.0027792097116130575,0.0915567593028733,0.0,0.000583198587334992,0.4515365317025565,1.6856301312832603e-37,0.4531087011453749,4.514885151218275e-17,3.7235178305161602e-22,3.3851116013749534e-16,-1.1673313257707684e-19,7.462183741594941e-32,1.2193306508899093e-05,7.952474239837188e-13,3.8773379477967573e-22,1.102475355967322e-20,7.952923126827063e-13,1.041567369289725e-10,2.690530438815857e-19,1.3187343333865385e-20,3.5626288051276387e-20,1.5088537142109765e-19,-2.6704479171453465e-20,3.968152454697048e-32,-5.740137116243123e-21,0.0037919110907036375,2.8509018847851403e-13,3.80276990712972e-22,1.1686241724385934e-26,6.699598711446661e-19,2.1369984008018346e-23,5.8758690044916215e-28,1.0084052914721952e-26,5.057866453517121e-26,7.496318207426197e-22
6.121323425493943e-08,0.0027792097116130575,0.0915567593028733,0.0,0.0005822887431001434,0.45153654134779625,1.6909166233244846e-37,0.4531082365781516,4.5160243428626014e-17,3.728033705600264e-22,3.38596347484831e-16,-1.1792962792277293e-19,7.425049558935488e-32,1.2174016028807141e-05,7.976666495894084e-13,2.4563014768067206e-22,1.097154444156187e-20,7.977115487714957e-13,1.0388868669634882e-10,2.69776077656295e-19,1.0867327540934708e-21,3.557028653590835e-20,1.2586005771271759e-19,-4.340575981351764e-22,3.96287236753488e-32,-5.798978732854953e-21,0.0037923756581925558,2.853918325060636e-13,3.808387276267494e-22,1.1685288411161305e-26,6.702574738110931e-19,2.1138501216985358e-23,5.866270845425703e-28,4.097977752863013e-27,4.8137952172945915e-26,7.501608491347951e-22
6.13766719354273e-08,0.0027792097116130575,0.0915567593028733,0.0,0.000581384634055775,0.45153655093246164,1.6962044818168788e-37,0.45310777493909743,4.5171602894722895e-17,3.7325449986313028e-22,3.386824917018351e-16,-1.2338289305930427e-19,7.777723481106028e-32,1.2154846697077888e-05,8.000861704296479e-13,-1.8629584019835622e-22,1.1205403169072539e-20,8.001310800588327e-13,1.0362213286596543e-10,2.705023749581025e-19,3.0007614915283624e-22,3.551463794941185e-20,1.2737463708524204e-19,3.765422678477015e-21,3.95762669613151e-32,-6.0670848288254716e-21,0.003792837297510779,2.8569300706581414e-13,3.81400758192782e-22,1.1684407716242266e-26,6.705540985866953e-19,2.1953066731388133e-23,5.856764823221058e-28,-1.5631825158349672e-27,5.497207643541033e-26,7.506886056717438e-22
6.154010961591517e-08,0.0027792097116130575,0.0915567593028733,0.0,0.0005804862153881942,0.4515365604570249,1.7014937393367716e-37,0.45310731620533284,4.5182559072695574e-17,3.737051618639407e-22,3.387680361355025e-16,-1.215199961477762e-19,7.712877211324674e-32,1.2135797569978189e-05,8.025059846583322e-13,8.824910261551622e-23,1.1101156125111514e-20,8.025509046999367e-13,1.033570673248307e-10,2.712334179242768e-19,2.172591807901604e-21,3.5459338153339964e-20,1.3435077222175294e-19,-5.180204604065703e-21,3.952425859908003e-32,-5.975467461741352e-21,0.003793296031537816,2.8599371511463254e-13,3.8196308552149187e-22,1.1683599607215156e-26,6.708497561355457e-19,2.1573979408654584e-23,5.847352490424833e-28,-1.440302563433198e-27,5.817373638824048e-26,7.512150979820961e-22
6.168720352835425e-08,0.0027792097116130575,0.0915567593028733,0.0,0.0005796824671795486,0.4515365689781307,1.706255214571139e-37,0.45310690581024127,4.5192631975748337e-17,3.7411036446640675e-22,3.388443261018557e-16,-1.1689308997409475e-19,7.378599330950306e-32,1.2118755358024674e-05,8.04684066790606e-13,1.2866450761103708e-23,1.1087831520119569e-20,8.047289961735758e-13,1.0311977460824603e-10,2.718912403391818e-19,3.957157871096391e-22,3.540986252265527e-20,1.225548938490406e-19,1.7424653528834768e-21,3.947763901010805e-32,-5.747988992670392e-21,0.003793706426864709,2.86263955917058e-13,3.8246943638270695e-22,1.1682931102104186e-26,6.711150218950199e-19,2.051415261361285e-23,5.838959960847148e-28,-1.457047732023745e-27,5.470106040216925e-26,7.516878664009414e-22
6.181958804954944e-08,0.0027792097116130575,0.0915567593028733,0.0,0.0005789629774417244,0.4515365766061046,1.710541438192213e-37,0.4531065384375045,4.520170147363519e-17,3.7447473948109883e-22,3.3891305334567236e-16,-1.1502124804199417e-19,7.263188245027192e-32,1.2103499409771305e-05,8.066445415108828e-13,-5.991919713276491e-23,1.1053058913269598e-20,8.066894792767573e-13,1.0290723246284131e-10,2.724815668586184e-19,1.2649689287482986e-21,3.536557247395994e-20,1.2242753250456746e-19,-1.0883305340100963e-22,3.9435911340183164e-32,-5.65597730754037e-21,0.0037940737998121677,2.8650685334426194e-13,3.8292536162113403e-22,1.168237581912319e-26,6.713530938816539e-19,2.0096759939004835e-23,5.831468628863321e-28,1.2256546282963083e-27,5.256883740137287e-26,7.521124921992877e-22
6.195197257074462e-08,0.0027792097116130575,0.0915567593028733,0.0,0.0005782471429283388,0.4515365841954692,1.7148285194884047e-37,0.45310617293098865,4.521051626009985e-17,3.7483882467386534e-22,3.3898181940207563e-16,-1.1443878932374781e-19,7.278253104740352e-32,1.2088320680012e-05,8.086052054594605e-13,2.738160428982072e-22,1.0844042109059091e-20,8.086501515855718e-13,1.0269565376420942e-10,2.73071122953849e-19,3.524594474120357e-21,3.532150642761062e-20,1.332343807977865e-19,-1.1539193037152246e-20,3.9394489575554483e-32,-5.627354801188689e-21,0.0037944393065375624,2.8674944987609366e-13,3.833814869454702e-22,1.168186469996303e-26,6.715905389566671e-19,2.004494075612693e-23,5.824036181241898e-28,4.7861346491055596e-27,5.344651028451765e-26,7.525363018929974e-22
6.20843570919398e-08,0.0027792097116130575,0.0915567593028733,0.0,0.0005775349406652305,0.4515365917464665,1.7191164750173356e-37,0.453105809278965,4.521950571926916e-17,3.752026221762207e-22,3.3905063810258017e-16,-1.1695082281465016e-19,7.384515378826693e-32,1.2073218684861812e-05,8.105660576749943e-13,1.433438017533406e-22,1.0902266459091306e-20,8.10611012138923e-13,1.0248503457937325e-10,2.736615426744755e-19,-3.031179794913106e-22,3.527766074194777e-20,1.2174773692837772e-19,2.5718670810738113e-21,3.935325672000203e-32,-5.7508784745405894e-21,0.0037948029587698676,2.869917470402593e-13,3.83837813926359e-22,1.1681398762188852e-26,6.718273627115532e-19,2.0212867729582648e-23,5.816663520714294e-28,-9.222262764194586e-28,5.559143268628181e-26,7.529592994144541e-22
6.221674161313498e-08,0.0027792097116130575,0.0915567593028733,0.0,0.0005768263478621959,0.45153659925933654,1.7234053102781745e-37,0.45310544746979825,4.5228694044954505e-17,3.755661333634253e-22,3.3911927941826326e-16,-1.1908112478280217e-19,7.478615157589035e-32,1.2058192944322137e-05,8.12527097205365e-13,-4.1995501045356756e-22,1.1172298497888475e-20,8.12572059984791e-13,1.0227537088411386e-10,2.7425324814163207e-19,-1.9651945083479314e-21,3.523403606194132e-20,1.1131779257164815e-19,1.5225011949969e-20,3.931213722842355e-32,-5.855628629932325e-21,0.0037951647681443144,2.8723374635484094e-13,3.842943441195155e-22,1.1680978462373192e-26,6.720635696759917e-19,2.031436270314674e-23,5.809349230823018e-28,-5.026871722265864e-27,5.655053750663391e-26,7.533814886693975e-22
