Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(50),CH2O2X(51),CH3OX(46),CH3X(52),CH4(41),CH4X(238),CH3O2X(49),CH4O2(171),SX(188),SX(53),C2H4O(231),CH2OX(169),CHOX(168),SX(54),SX(55),SX(262),SX(259),SX(436),C2HOX(464),C2H6O(236),SX(357),OCCO(227),SX(387)
2.0840265246302737e-11,0.0028149649241145727,0.1557,0.0,0.008202811300767629,0.6423746363074015,0.2018677312441477,6.334362268485326e-33,1.195073255952395e-35,8.162440574521915e-23,6.064215650833431e-42,1.0289468786614692e-25,7.368038229983077e-34,4.799604491239171e-05,8.26264701416783e-27,9.679715416996162e-36,1.1530740279819827e-35,3.226875585056613e-05,3.224222473387097e-31,1.8206993319796045e-15,1.251787889932933e-44,6.017607660855558e-41,5.488510095429914e-21,1.357079805710083e-26,4.928782173630843e-60,5.8855165209647065e-27,1.3656701420863897e-06,2.6785804730579055e-48,6.649662396749936e-28,-2.318662840228598e-22,7.934662704814079e-25,2.2846894523853457e-22,5.775014085968831e-54,1.307992927772029e-55,-3.6596263441088133e-25,7.972013237031791e-40,1.798370851883351e-27,1.261033298624504e-26,2.57169601470756e-25,8.803275440409484e-33,4.789792196139042e-40,-3.337336586048683e-32,5.69128741368796e-55,-6.928578312820592e-32,3.188794900016034e-30,-6.506747384487386e-45,-2.272687640157758e-43,7.230353185588083e-49,1.0002947236678134e-49
2.093963801277735e-11,0.0028149649241145727,0.1557,0.0,0.008202435049001137,0.6423745211229459,0.20186757888226273,6.545194911468012e-33,1.2493864828889935e-35,8.356262069536712e-23,6.397877213373902e-42,1.0674315650733887e-25,7.64736887018973e-34,4.821345576364795e-05,8.571677384128506e-27,1.0019182988461569e-35,1.2053019512805272e-35,3.2421117735459315e-05,3.3464381545544024e-31,1.846526662571986e-15,1.3051555064648764e-44,6.285939522092205e-41,5.618834363803789e-21,1.3945340407449224e-26,5.211665582282566e-60,6.1056457871319984e-27,1.372149172166898e-06,2.8269735097560645e-48,6.871705596723924e-28,3.684883327921435e-22,7.898493329462365e-25,-3.7190643692285065e-22,6.138312152369951e-54,1.4037797654508111e-55,-3.2968885444589414e-25,8.242291556338416e-40,1.7578697862226522e-27,1.2897698310947283e-26,2.6292179082611413e-25,9.050334805278078e-33,4.959777500638381e-40,-2.9399671864324785e-32,6.1080087206736704e-55,-6.132876938890651e-32,3.1786776430683295e-30,-4.279424099616778e-45,-1.6799337757384618e-43,7.686500461264089e-49,1.0535126157600883e-49
2.1039010779251964e-11,0.0028149649241145727,0.1557,0.0,0.008202058958153676,0.6423744060120694,0.20186742653444276,6.761949154577071e-33,1.3058576890124598e-35,8.553714351117478e-23,6.747949102625952e-42,1.1071543457557677e-25,7.935818133073873e-34,4.843072006569819e-05,8.890649323391077e-27,1.0368605409123387e-35,1.2595960181183707e-35,3.257346555545698e-05,3.4726426602990194e-31,1.8725928840005245e-15,1.3605117040047124e-44,6.564658097170843e-41,5.751599840451597e-21,1.432826876327068e-26,5.509135177391917e-60,6.3328568124955685e-27,1.3786278974625824e-06,2.9827264938666574e-48,7.100033456338742e-28,-6.066717332475846e-22,8.002506289428863e-25,6.032157621504235e-22,6.52240433419276e-54,1.5060360538426893e-55,-2.975300466724891e-25,8.52034668868913e-40,1.7265669014771303e-27,1.3190291205696008e-26,2.6877069311858157e-25,9.303036326305373e-33,5.134865463027666e-40,-2.7494623830772703e-32,6.552871051661018e-55,-5.555885965830497e-32,3.1266306558529283e-30,-3.013669319032059e-46,-1.1518524036497285e-43,8.169025630188584e-49,1.1092860129253776e-49
2.1138383545726578e-11,0.0028149649241145727,0.1557,0.0,0.008201683028690909,0.6423742909750071,0.20186727420068393,6.98476063663982e-33,1.364560267781363e-35,8.754847128220125e-23,7.11514203518029e-42,1.1481485398966703e-25,8.233635645473082e-34,4.86478373489994e-05,9.219830369951347e-27,1.072821722668511e-35,1.316026092716741e-35,3.2725799314238905e-05,3.6029451513125027e-31,1.8988990046284248e-15,1.4179137339052239e-44,6.854103601075247e-41,5.886839944827466e-21,1.4719725643331805e-26,5.821857789876703e-60,6.567340177566789e-27,1.3851063181019113e-06,3.1461615701767843e-48,7.334791846505558e-28,9.912759958732285e-22,7.848198738731752e-25,-9.947037662871562e-22,6.928362323368145e-54,1.615161880357829e-55,-3.0893401542743875e-25,8.806362777473353e-40,1.6962595510218475e-27,1.3488181468676938e-26,2.7471735280302556e-25,9.561480012242665e-33,5.315181039300046e-40,-2.829519900409627e-32,7.027614441552702e-55,-5.521971538573823e-32,3.090701566067127e-30,-5.653559616907858e-45,-1.1482133072584115e-43,8.679315875206731e-49,1.1677243924938716e-49
2.123775631220119e-11,0.0028149649241145727,0.1557,0.0,0.00820130726107716,0.6423741760119928,0.20186712188098266,7.213767373155203e-33,1.4255696881826767e-35,8.959710533190247e-23,7.500193308386498e-42,1.1904481746134104e-25,8.541076521578156e-34,4.886480714546398e-05,9.559493746086334e-27,1.1098257146870707e-35,1.3746639989521616e-35,3.287811901549357e-05,3.7374571866589955e-31,1.9254460313006735e-15,1.477444003627869e-44,7.154625327433678e-41,6.024588380967219e-21,1.5119848887102154e-26,6.150526755505217e-60,6.809290512049409e-27,1.3915844342137236e-06,3.317613099582066e-48,7.576129274140042e-28,-1.6745727982596765e-21,8.098191231981537e-25,1.6710951122744439e-21,7.357306922238751e-54,1.731579818157258e-55,-2.890072975860107e-25,9.100527392012676e-40,1.6727157200612662e-27,1.3791439434975813e-26,2.8076281782858346e-25,9.825764399027712e-33,5.5008515125464265e-40,-2.678097648193295e-32,7.53407670277997e-55,-5.675122986048906e-32,2.987181612712891e-30,-1.2844818271658541e-45,-7.817751278061419e-44,9.218824133751223e-49,1.228941353688225e-49
2.1337129078675805e-11,0.0028149649241145727,0.1557,0.0,0.0082009316557751,0.6423740611232597,0.20186696957533523,7.44910984912422e-33,1.4889635398874695e-35,9.168355122982433e-23,7.903867596722327e-42,1.2340880101010211e-25,8.858401457614369e-34,4.908162898842724e-05,9.909918560257466e-27,1.1478968100197271e-35,1.435583562501821e-35,3.303042466291781e-05,3.8762927650108754e-31,1.9522349693404047e-15,1.5391719522659756e-44,7.466581828211239e-41,6.16487913828607e-21,1.5528790565359625e-26,6.495862864243221e-60,7.058906638686471e-27,1.3980622459272232e-06,3.4974280313695406e-48,7.824196915304442e-28,2.933357697474821e-21,7.642029132980603e-25,-2.9367340184293116e-21,7.810409899811868e-54,1.855735991796602e-55,-3.4768568889003985e-25,9.403031571536122e-40,1.640593874059559e-27,1.4100135975881528e-26,2.8690813957924186e-25,1.0095991069043616e-32,5.692006526864586e-40,-3.04972583499299e-32,8.074198058414089e-55,-6.096860227260512e-32,2.938484781072943e-30,-1.7657153177042075e-44,-1.3778870314350764e-43,9.789071716286765e-49,1.2930547449187309e-49
2.143650184515042e-11,0.0028149649241145727,0.1557,0.0,0.008200556213246014,0.6423739463090399,0.2018668172837379,7.690930950423925e-33,1.554821582476411e-35,9.380831880305367e-23,8.32695784661061e-42,1.2791035604732881e-25,9.185876880222399e-34,4.9298302412680775e-05,1.0271389974444091e-26,1.1870597265410143e-35,1.4988606566880176e-35,3.31827162602171e-05,4.019568389445676e-31,1.9792668225451415e-15,1.6031338091344925e-44,7.79034110740141e-41,6.30774649235623e-21,1.5946706537676205e-26,6.858615398650367e-60,7.316391692467894e-27,1.4045397533719863e-06,3.6859663242660253e-48,8.079148649771302e-28,-5.268353937895858e-21,8.447079293588467e-25,5.2647937806391414e-21,8.288896138023121e-54,1.988101334986061e-55,-2.4081812310734008e-25,9.714069874625764e-40,1.6134079527959412e-27,1.441434249806085e-26,2.931543728117678e-25,1.0372265475047616e-32,5.888778183453479e-40,-2.3789057883736178e-32,8.650026610470163e-55,-5.175318399851379e-32,2.8455639612424337e-30,6.519991410853499e-45,6.368055586177718e-45,1.0391651345071308e-48,1.3601868075147615e-49
2.1535874611625032e-11,0.0028149649241145727,0.1557,0.0,0.008200180933950096,0.6423738315695657,0.20186666500618694,7.939376124292568e-33,1.623225791620709e-35,9.59719221483323e-23,8.770286104004441e-42,1.3255310815737676e-25,9.523774999176253e-34,4.951482695450638e-05,1.0644199106312418e-26,1.2273396152866517e-35,1.5645732455612204e-35,3.333499381110519e-05,4.167403090600362e-31,2.006542593183263e-15,1.6694136179267477e-44,8.126280803792977e-41,6.453225005746718e-21,1.637373217223721e-26,7.239562893671486e-60,7.581953050902853e-27,1.4110169566779493e-06,3.8836013332001473e-48,8.341141094470158e-28,9.696698073957478e-21,6.979149930654917e-25,-9.699943269576985e-21,8.794045585347354e-54,2.1291727385666682e-55,-4.150090962642791e-25,1.0033840422183031e-39,1.5775016518970902e-27,1.4734130942745297e-26,2.995025755963706e-25,1.0654690318282378e-32,6.091301023704746e-40,-3.503002058353573e-32,9.263723330902681e-55,-6.302341976648289e-32,2.8179886578624568e-30,-3.902065028688323e-44,-1.9905599232896404e-43,1.1028229932538487e-48,1.4304643077266019e-49
2.1671635636470838e-11,0.0028149649241145727,0.1557,0.0,0.008199668499779966,0.6423736749360923,0.20186645699043296,8.289772087631523e-33,1.7209467797776368e-35,9.899150402806105e-23,9.410213454577186e-42,1.39130886055667e-25,1.0002756082611453e-33,4.9810396840843036e-05,1.1172388705044482e-26,1.2842210226018268e-35,1.658430586088098e-35,3.354300956506771e-05,4.376961658822717e-31,2.0442022502349843e-15,1.7638911300393088e-44,8.605626437289167e-41,6.656258453912145e-21,1.6972132523942382e-26,7.790886253281064e-60,7.958196114429149e-27,1.4198654869507048e-06,4.169013924750663e-48,8.710739294212626e-28,3.376795238290018e-20,4.5938914339944005e-25,-3.3770661084631116e-20,9.52970164607246e-54,2.3369287643652633e-55,-7.356891581809783e-25,1.0485184863859203e-39,1.5264815160938888e-27,1.5180172984349662e-26,3.0834209939247886e-25,1.1050664790323334e-32,6.3775281283029326e-40,-5.61594674981059e-32,1.0167505213523628e-54,-8.842483935280458e-32,2.689273031437457e-30,-1.2168558923348962e-43,-5.908171759812974e-43,1.1956040356162502e-48,1.5317991749745024e-49
2.1807396661316643e-11,0.0028149649241145727,0.1557,0.0,0.008199156372295133,0.642373518443145,0.20186624900087935,8.653192895727342e-33,1.8237994219475964e-35,1.0208587365326009e-22,1.0091775091181148e-41,1.459887946211987e-25,1.0502437492282315e-33,5.01056868090291e-05,1.1723071958875055e-26,1.3433015921191698e-35,1.7571943129651606e-35,3.375099911862627e-05,4.595574736680094e-31,2.082321580781546e-15,1.8630334804922588e-44,9.109449082922723e-41,6.864320310818929e-21,1.7588224045980234e-26,8.379841039610588e-60,8.350462311231689e-27,1.4287134501413997e-06,4.4731602116667106e-48,9.094191381811026e-28,-3.53394660575791e-20,1.1084574413598332e-24,3.533602302677569e-20,1.0321218056776238e-53,2.5633403039885495e-55,-6.565347808018947e-25,1.0953730059293088e-39,1.442001937284554e-27,1.5636955136043528e-26,3.173766410454985e-25,1.1458581886326813e-32,6.675102390395893e-40,-6.416870230213118e-32,1.1152430030244628e-54,-1.1563342492969493e-31,2.4874111325402094e-30,-1.255427329101409e-43,-5.540145266243207e-43,1.2955267392142883e-48,1.6396006069908663e-49
2.194315768616245e-11,0.0028149649241145727,0.1557,0.0,0.008198644552655555,0.6423733620913084,0.2018660410375166,9.030032438599659e-33,1.9320138518404215e-35,1.052563807996001e-22,1.0817349868353672e-41,1.5313678317950965e-25,1.1023567367068171e-33,5.0400695689805234e-05,1.2297047751908898e-26,1.404649460163532e-35,1.8610831238478595e-35,3.395896248132678e-05,4.823569453107086e-31,2.1209031265923473e-15,1.967026399689599e-44,9.63880297882731e-41,7.077501320737024e-21,1.8222404164400747e-26,9.008698433135858e-60,8.759320725982142e-27,1.4375608465846523e-06,4.7971225491107797e-48,9.491922212362967e-28,7.696343631020116e-20,4.3755253068464116e-26,-7.696552084410963e-20,1.1172404113585922e-53,2.809937661767712e-55,-9.682751900406794e-25,1.1440014452988008e-39,1.3066236874384784e-27,1.6104665659043394e-26,3.266089272328207e-25,1.1878721587475918e-32,6.9843892453969745e-40,-7.482032141340262e-32,1.2225152858448697e-54,-1.3625957194217468e-31,2.2735517003014875e-30,-2.0219633501167216e-43,-8.405386938484812e-43,1.40309002537269e-48,1.754235919566765e-49
2.2078918711008254e-11,0.0028149649241145727,0.1557,0.0,0.008198133042015133,0.6423732058811636,0.20186583310033512,9.420693884249543e-33,2.0458287596359144e-35,1.0850439030455545e-22,1.158943359058815e-41,1.6058508828854588e-25,1.1566915901981218e-33,5.069542231892086e-05,1.2895138031315461e-26,1.468334348209144e-35,1.9703237782577805e-35,3.416689966274421e-05,5.061282575609085e-31,2.1599494240505842e-15,2.0760938932502928e-44,1.0194779190951696e-40,7.295893240252333e-21,1.8875068669256677e-26,9.679850048707244e-60,9.185356872374711e-27,1.4464076766163386e-06,5.142037280091075e-48,9.904366751884749e-28,-4.1887038679761413e-20,1.1553973852415202e-24,4.1883855807375186e-20,1.2087299155210964e-53,3.078364786382658e-55,-9.895466429637901e-25,1.194458969529644e-39,1.1323096227509645e-27,1.6583494660423357e-26,3.360416951613656e-25,1.231137152815919e-32,7.305763522242647e-40,-8.888103295132475e-32,1.33928229194634e-54,-1.5719077189226793e-31,2.0647186619593174e-30,-2.5914892768980394e-43,-9.96907037215792e-43,1.5188241317637925e-48,1.8760906987883224e-49
2.221467973585406e-11,0.0028149649241145727,0.1557,0.0,0.008197621841522718,0.6423730498132905,0.20186562518932538,9.825589843281297e-33,2.1654916444250912e-35,1.1183128212052443e-22,1.241064380886026e-41,1.6834423436764765e-25,1.213327570743259e-33,5.098986553725817e-05,1.3518187857901603e-26,1.5344275928325711e-35,2.0851513323506478e-35,3.437481067248239e-05,5.309060667301931e-31,2.1994630041364548e-15,2.1904425823857743e-44,1.0778506590495815e-40,7.519588841814558e-21,1.9546632905193163e-26,1.0395810470993263e-59,9.629172729076337e-27,1.455253940573585e-06,5.509096997073178e-48,1.0331970246526065e-27,-2.5913810501882148e-20,1.0143938597481113e-24,2.5910533947102547e-20,1.3070184634643005e-53,3.3703868192670586e-55,-7.374406316060939e-25,1.2468020888690805e-39,9.702787335681813e-28,1.70736340876818e-26,3.4567769227413015e-25,1.2756813922655555e-32,7.639609446101776e-40,-7.974462023571067e-32,1.466311639495691e-54,-1.6686059161659442e-31,1.841496500542752e-30,-2.0904216966038817e-43,-6.296560211464903e-43,1.6432923544728804e-48,2.0055695851522987e-49
2.2350440760699865e-11,0.0028149649241145727,0.1557,0.0,0.008197110952322699,0.6423728938882654,0.20186541730447766,1.0245142350934391e-32,2.291259071999807e-35,1.1523845136739485e-22,1.32837247671274e-41,1.7642503700132426e-25,1.2723461901950647e-33,5.128402419090317e-05,1.416706567143267e-26,1.6030021697168646e-35,2.2058093785606263e-35,3.4582695520173914e-05,5.5672601270521665e-31,2.239446392410571e-15,2.3102870386408285e-44,1.1391152847958488e-40,7.748681917285509e-21,2.023751217839078e-26,1.11592249496735e-59,1.0091386928677489e-26,1.4640996387947622e-06,5.899552876184662e-48,1.0775188393212305e-27,7.377567546293801e-22,7.760749253189821e-25,-7.4109364104679035e-22,1.412559670028823e-53,3.687898069278219e-55,-4.1749801013198925e-25,1.3010886822554866e-39,8.712913584100807e-28,1.7575277723000796e-26,3.5551967595628294e-25,1.321533352625044e-32,7.986320323272211e-40,-4.701945644138976e-32,1.6044271096137314e-54,-1.36974571340861e-31,1.6160935845369304e-30,-1.2791083341171502e-43,-1.6121050618037556e-43,1.7770928712826132e-48,2.1430970803017513e-49
2.248620178554567e-11,0.0028149649241145727,0.1557,0.0,0.00819660037555499,0.6423727381066624,0.20186520944578232,1.0679782964269549e-32,2.4233969380511676e-35,1.1872730838447545e-22,1.421155251944667e-41,1.8483861067799586e-25,1.3338312546543217e-33,5.1577897130920616e-05,1.4842663911991332e-26,1.6741327127906057e-35,2.3325502901365963e-35,3.479055421547995e-05,5.836247378873967e-31,2.2799021089974862e-15,2.4358566772505377e-44,1.2033925443031692e-40,7.983267281416005e-21,2.0948125867393908e-26,1.1972874479184621e-59,1.0572635200327597e-26,1.4729447716194799e-06,6.314717091149867e-48,1.1234487511846832e-27,1.0316823810538045e-20,6.872653888190694e-25,-1.0320792904065532e-20,1.5258339330445032e-53,4.032930457982257e-55,-4.181087297158313e-25,1.357378019995937e-39,8.215738501513764e-28,1.808862117716083e-26,3.655704132406399e-25,1.368722583106488e-32,8.346298639935047e-40,-3.131509748622067e-32,1.7545123178567563e-54,-8.512424595526299e-32,1.4391552579876832e-30,-1.481214236503214e-43,-1.900479507837827e-43,1.9208606542842807e-48,2.2891183763794114e-49
