Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(50),CH2O2X(51),CH3OX(46),CH3X(52),CH4(41),CH4X(238),CH3O2X(49),CH4O2(171),SX(188),SX(53),C2H4O(231),CH2OX(169),CHOX(168),SX(54),SX(55),SX(318),SX(259),SX(262),SX(450),C2HOX(465),C2H6O(236),SX(357)
1.9994666844924596e-10,0.0005555851823910342,0.0915567593028733,0.0,0.001170579936573232,0.45110566537770175,1.091583225095943e-19,0.4569006123284487,4.001636788027236e-18,1.8382389808724682e-23,1.0724993422250615e-13,-1.7239774969257213e-22,5.0022269083701824e-33,5.508852888290539e-05,4.8313804940262884e-20,4.2655695625054464e-21,1.6983365417523059e-18,2.4594815387586064e-18,1.2469152947244617e-11,3.182676895699842e-18,-3.947759237608348e-21,1.8148280962815644e-15,1.5129827354123435e-21,-8.548971645915616e-23,2.808132472208897e-31,-9.899534358652126e-24,0.00040941871384903787,2.1502014580636193e-19,1.6332596695285595e-26,-2.276132550636946e-32,-7.632973044588481e-25,3.1725482888406914e-23,9.969877447648399e-26,9.341646432913265e-25,-3.950575506307432e-38,1.4463482348299014e-41,-3.924151445985928e-34,5.4889741381262134e-28,2.3942170761908907e-27,-1.0852947677717139e-35,5.3780278440246545e-42,-7.79381817483025e-34,3.9952604945624024e-24,-7.623474530166915e-37,3.1461882160928485e-36,-2.581100292258598e-36,-2.6185571081437503e-38,-2.9149735926602623e-40
2.006955396372008e-10,0.0005555851823910342,0.0915567593028733,0.0,0.0011694099872575912,0.4511044689507348,1.099980419382396e-19,0.4569006123284085,4.020768474052401e-18,1.8530461164456893e-23,1.0768003585400296e-13,-1.714965701354026e-23,5.0349601028649016e-33,5.503557350138362e-05,4.8636835770477825e-20,4.2654655524289935e-21,1.7009726216884968e-18,2.4679473874437604e-18,1.2508935654840983e-11,3.1954395311084262e-18,1.7055563609952435e-21,1.8148067427057884e-15,9.393698136798283e-22,3.214391349378026e-22,2.81726821454653e-31,-1.0170598493285734e-24,0.0004106416185064182,2.1567767451227227e-19,1.665108252039524e-26,-1.459444417766055e-31,-7.631846589349482e-25,4.417255216857885e-23,1.0000854545450346e-25,9.412601783020446e-25,-1.2180165306354864e-38,1.2216530672424414e-41,-3.924562112221061e-34,5.51160060996718e-28,2.4040246123294675e-27,3.1533323709275783e-35,5.5027852422715266e-42,-1.046871737665169e-33,4.02544491424606e-24,4.9008472107266275e-36,-7.040251795987116e-36,1.982673388392387e-36,-2.631337478518768e-38,-2.9663803871088973e-40
2.0144441082515565e-10,0.0005555851823910342,0.0915567593028733,0.0,0.00116824189939334,0.4511032744110576,1.1084064343412467e-19,0.45690061232836837,4.039904077259787e-18,1.8678798911361212e-23,1.081097193899261e-13,4.454924412665714e-22,5.100498100308542e-33,5.4982669796985226e-05,4.8985189042078365e-20,4.2653623849996504e-21,1.7035833515946556e-18,2.476401999002681e-18,1.2548676184763525e-11,3.208189732356041e-18,6.7262191250980716e-21,1.814785368036639e-15,7.991058343203569e-22,-5.456412631933104e-23,2.82637820228438e-31,2.5442991205133712e-23,0.00041186261003532546,2.1633295069921415e-19,1.6984839232787287e-26,1.563116769596447e-31,-7.630236034449659e-25,8.126505348176397e-23,1.00317261156836e-25,9.483712576361805e-25,4.236210840831031e-38,1.0195156814364519e-41,-3.913932441495939e-34,5.53420373671386e-28,2.4138225799535925e-27,-2.9019203230184806e-37,5.451663235657966e-42,-4.189848717516193e-34,4.055693258307061e-24,-1.4142764252465814e-36,-1.6296342326751603e-36,9.14478109465141e-37,-2.644143343818781e-38,-2.9978148478377174e-40
2.021932820131105e-10,0.0005555851823910342,0.0915567593028733,0.0,0.0011670756692151185,0.4511020817552692,1.1168612316199038e-19,0.4569006123283282,4.059043475665943e-18,1.8827779991131254e-23,1.0853898468103594e-13,-1.8268552171042635e-22,4.988846342345665e-33,5.492981849807105e-05,4.9246768357132465e-20,4.265260037920722e-21,1.7061688789104442e-18,2.4848453881168414e-18,1.2588374634563956e-11,3.2209275256570804e-18,-7.999850367197936e-21,1.814763972582635e-15,2.072865388856585e-21,-6.0388766401070795e-22,2.8354625095326313e-31,-1.0493546897270854e-23,0.00041308169147276277,2.169859811744169e-19,1.6829685302757094e-26,1.7801461532681923e-31,-7.628584211554717e-25,3.0899980810597923e-23,1.0062492476320458e-25,9.554977734636704e-25,-5.067071018097608e-38,1.5981300722201445e-41,-3.919628903739538e-34,5.556783573949451e-28,2.423610989289672e-27,-6.356128089651133e-35,5.2189868363546984e-42,-3.2190922051310525e-34,4.086005055373192e-24,-8.033669261844599e-36,1.3621592480528415e-35,-6.697580714742524e-36,-2.6569188719506e-38,-2.8749410200271435e-40
2.0294215320106535e-10,0.0005555851823910342,0.0915567593028733,0.0,0.001165911292987755,0.45110089097998635,1.1253447729162098e-19,0.4569006123282881,4.0781865481406636e-18,1.897744884460865e-23,1.0896783159118899e-13,-6.649781623681061e-22,4.934953798555357e-33,5.487702030860835e-05,4.952071214572572e-20,4.26515848953712e-21,1.7087293503892586e-18,2.4932775694696954e-18,1.2628031044614775e-11,3.233652915468683e-18,-7.973960103931106e-21,1.8147425566535553e-15,1.4997058261525686e-21,5.277919486200806e-22,2.844521203271629e-31,-3.807361435703336e-23,0.0004142988658499357,2.176367727535606e-19,1.6987869308676376e-26,-4.46226992462044e-31,-7.62792383822242e-25,-7.768224739165682e-24,1.0093153945141287e-25,9.626396185353288e-25,-9.542103489661683e-38,1.5930478981335024e-41,-3.936021896386136e-34,5.579340178467988e-28,2.4333898507379608e-27,4.4842194212311734e-35,5.4620728813657556e-42,-1.63494369500204e-33,4.116379836625186e-24,7.07241240673733e-36,-4.768859229739911e-36,-4.534796114260191e-37,-2.6696195027336063e-38,-2.896873532146697e-40
2.036910243890202e-10,0.0005555851823910342,0.0915567593028733,0.0,0.0011647487670054962,0.4510997020818434,1.133857019978447e-19,0.4569006123282481,4.0973331744005576e-18,1.9127013279990944e-23,1.0939626202990078e-13,9.19997426076168e-22,5.197827479435747e-33,5.4824275908895464e-05,4.996105683026245e-20,4.265057718707436e-21,1.711264912098424e-18,2.5016985577461404e-18,1.2667645435110034e-11,3.246365891526872e-18,2.156599912150105e-20,1.814721120622293e-15,-6.152509404066334e-22,8.500488526537828e-22,2.853554364370721e-31,5.258915571539027e-23,0.0004155141361922911,2.1828533223748765e-19,1.7918030384924736e-26,-3.206634622828839e-32,-7.626654053052987e-25,1.1930857519651872e-22,1.0123710839733983e-25,9.697966861794976e-25,1.2337013077276709e-37,3.5541026093039814e-42,-3.917184305251335e-34,5.601873622574198e-28,2.4431591729633792e-27,9.82756589685476e-35,5.740834531813226e-42,-9.325508880131635e-34,4.146817135782029e-24,1.0611730621124073e-35,-2.203582543599385e-35,9.787200191202897e-36,-2.6823845553357616e-38,-3.1245030705484615e-40
2.0443989557697504e-10,0.0005555851823910342,0.0915567593028733,0.0,0.0011635880875912855,0.45109851505749204,1.1423979346053383e-19,0.4569006123282081,4.116483235002741e-18,1.9276929383780623e-23,1.0982427652004463e-13,7.975147964169638e-22,5.1251412037207844e-33,5.477158595626641e-05,5.026519045774416e-20,4.26495770492783e-21,1.7137757094194795e-18,2.510108367632018e-18,1.2707217954000742e-11,3.2590664977285594e-18,1.5029131701103911e-21,1.8146996647861033e-15,2.0315928567603796e-21,-1.6474126138459352e-21,2.8625620787384717e-31,4.5564961240991496e-23,0.0004167275055195529,2.189316664038426e-19,1.7689866096322043e-26,9.266612645911116e-31,-7.623813984550659e-25,1.0948767412337721e-22,1.0154163477435509e-25,9.769688702987172e-25,6.268657171783871e-38,1.204166461277659e-41,-3.8984429182187644e-34,5.6243839678678235e-28,2.4529189655255168e-27,-1.5929321417572977e-34,5.041513786425484e-42,1.2140169386041887e-33,4.177316489086506e-24,-1.8773814867014862e-35,2.1034254847342576e-35,-7.33090162062566e-36,-2.695207175921549e-38,-2.926308616118829e-40
2.0518876676492988e-10,0.0005555851823910342,0.0915567593028733,0.0,0.0011624292510960476,0.4510973299036007,1.150967478646049e-19,0.4569006123281681,4.13563661133863e-18,1.9428473387368373e-23,1.1025187246338728e-13,-2.295261302458031e-21,4.641156929508504e-33,5.471895108577476e-05,5.0331859351846905e-20,4.264858428437286e-21,1.7162618870486054e-18,2.518507013813428e-18,1.2746748703636732e-11,3.271754771715554e-18,-4.4630591577129174e-20,1.8146781893377525e-15,4.506484997176419e-21,-5.945968446633807e-22,2.8715443992287455e-31,-1.3133614398907516e-22,0.000417938976845759,2.1957578205727737e-19,1.6695528058122688e-26,-6.014047029320741e-31,-7.62327918007929e-25,-1.384785174636553e-22,1.0184512175293614e-25,9.841560653664195e-25,-3.397725929842317e-37,2.9270523015692357e-41,-3.943325453915776e-34,5.646871255396231e-28,2.462669240832573e-27,-9.194281787013984e-35,4.936456278237012e-42,-1.6439589621232954e-33,4.207877435290487e-24,-8.968497333397036e-36,2.8507921682283554e-35,-1.6422636766149955e-35,-2.707818264667844e-38,-2.607064126155854e-40
2.0593763795288473e-10,0.0005555851823910342,0.0915567593028733,0.0,0.0011612722538979475,0.4510961466168541,1.1595656140001806e-19,0.4569006123281282,4.1547931856278364e-18,1.957983765873189e-23,1.1067905213625348e-13,5.350745151335054e-23,5.120798142576192e-33,5.466637191085297e-05,5.083542322382849e-20,4.2647598698352966e-21,1.718723588997139e-18,2.526894510976148e-18,1.2786237558596009e-11,3.2844306466631496e-18,2.6964413060994386e-20,1.814656694662608e-15,-2.4964693156528693e-21,3.7469806663742945e-21,2.880501391043469e-31,3.0437809377879225e-24,0.00041914855317929777,2.2021768601059024e-19,1.8580033274109408e-26,-1.451845825125347e-30,-7.624332880281861e-25,4.9836992525163566e-23,1.0214757250131649e-25,9.91358166423641e-25,5.935269432799237e-38,-2.3070086821738887e-42,-3.953414536450877e-34,5.669335549506349e-28,2.472410008847052e-27,3.899450422381549e-34,6.401952122183549e-42,-4.037599862623548e-33,4.23849951564031e-24,3.9305628752753727e-35,-5.435289852133713e-35,1.992360087831059e-35,-2.720411553299175e-38,-3.2167256506216594e-40
2.0668650914083958e-10,0.0005555851823910342,0.0915567593028733,0.0,0.0011601170924017367,0.4510949651939534,1.1681923026177748e-19,0.4569006123280883,4.173952840911984e-18,1.9729665756184436e-23,1.1110582084196903e-13,4.7063578593899845e-21,5.78319726787844e-33,5.4613849023952794e-05,5.152437773811756e-20,4.264662010065631e-21,1.7211609585920916e-18,2.5352708738054386e-18,1.282568463658562e-11,3.2970941385490153e-18,7.29060012891155e-20,1.8146351811992046e-15,-2.708456346631864e-21,-1.322875884605775e-21,2.889433179938828e-31,2.691519713813042e-22,0.00042035623752294303,2.2085738499551986e-19,2.0080624934156766e-26,2.251869400290314e-30,-7.619631724445776e-25,4.228823274622947e-22,1.0244899018507138e-25,9.985750690757742e-25,6.096337942300914e-37,-2.045906369001507e-41,-3.866614613270068e-34,5.691776933502213e-28,2.482141276218213e-27,-7.547354128608202e-35,5.605965116489658e-42,3.327552689890358e-33,4.2691822738629765e-24,-5.081613703110762e-36,-2.2380211302503704e-35,1.6449516621638933e-35,-2.733390118364167e-38,-3.447736263174928e-40
2.0743538032879442e-10,0.0005555851823910342,0.0915567593028733,0.0,0.00115896376303817,0.45109378563161556,1.1768475064993045e-19,0.4569006123280485,4.193115461048763e-18,1.9882557140433608e-23,1.11532172103338e-13,-3.1759241528947686e-21,4.3505549580917484e-33,5.456138299717353e-05,5.120907344103401e-20,4.264564831136872e-21,1.723574138476831e-18,2.5436361169854105e-18,1.2865090356420855e-11,3.309745420937403e-18,-1.0353344484140663e-19,1.81461364893585e-15,1.1704482298794345e-20,-6.76048096701569e-21,2.898339823326492e-31,-1.8175522559091278e-22,0.00042156203287388374,2.214948857585873e-19,1.596111743777204e-26,1.3807884549804931e-30,-7.615604643724771e-25,-2.0908839508103984e-22,1.0274937796539348e-25,1.0058066694893237e-24,-5.8127216625727864e-37,3.894755769422781e-41,-3.895469735381679e-34,5.714195447706537e-28,2.4918630555237287e-27,-7.547756506426681e-34,3.1388128278118764e-42,3.264791326634609e-33,4.299925256151986e-24,-6.961650352292759e-35,1.124625535758498e-34,-4.850647794476342e-35,-2.746102438994212e-38,-2.0697656624755474e-40
2.0818425151674927e-10,0.0005555851823910342,0.0915567593028733,0.0,0.0011578122622632756,0.45109260792657235,1.1855311876956663e-19,0.45690061232800866,4.212280930706165e-18,2.0038154000727012e-23,1.1195810112105669e-13,-7.344042842985052e-21,3.955059164718969e-33,5.4508974382864515e-05,5.119214817804048e-20,4.264468315618531e-21,1.7259632706119674e-18,2.5519902551979833e-18,1.2904454443359303e-11,3.322384395422897e-18,-8.080028483933117e-20,1.8145920980245304e-15,2.4600006678298304e-21,7.234744167504361e-21,2.907221298593146e-31,-4.200755642939235e-22,0.00042276594222376106,2.221301951751927e-19,1.640172831432553e-26,-5.5633534080210204e-30,-7.622847755014514e-25,-5.432683148239148e-22,1.0304873900036982e-25,1.0130528643886886e-24,-9.09020656630872e-37,3.1373173430482773e-41,-4.0397000750961074e-34,5.736591120158007e-28,2.5015753625610124e-27,6.640392187953167e-34,6.392417355129189e-42,-1.163652776264616e-32,4.330728011152188e-24,4.715763896319563e-35,-2.0065099228683006e-35,-6.503771238037723e-36,-2.758176378970739e-38,-2.5166717030980153e-40
2.0893312270470412e-10,0.0005555851823910342,0.0915567593028733,0.0,0.001156662586557649,0.4510914320755713,1.194243308308174e-19,0.4569006123279689,4.231449135356481e-18,2.018727194393861e-23,1.1238362582635837e-13,1.1483814283581648e-20,7.175764228400874e-33,5.4456623714199214e-05,5.3019435797263234e-20,4.264372445457377e-21,1.728328496276088e-18,2.5603333031230606e-18,1.2943776461383496e-11,3.3350108209900513e-18,2.6599200275912443e-19,1.814570529395669e-15,-2.0778806677453513e-20,9.069420871882846e-21,2.916077781259877e-31,6.568937993346278e-22,0.0004239679685587055,2.2276331997951806e-19,2.5360675691099465e-26,1.0136265576640753e-30,-7.621140923236906e-25,9.66272879585304e-22,1.0334707644691732e-25,1.0203135510529813e-24,1.7661362471220445e-36,-1.7229106557424204e-40,-3.910128867315922e-34,5.758964040450243e-28,2.511278202031674e-27,1.1246988364021996e-33,9.260151139432968e-42,-1.682611815676567e-33,4.361590089946316e-24,1.0352512963279894e-34,-1.9761551796451423e-34,9.079589250078488e-35,-2.771156647006781e-38,-5.005160081510156e-40
2.0968199389265896e-10,0.0005555851823910342,0.0915567593028733,0.0,0.0011555147324261012,0.45109025807537445,1.202983830488549e-19,0.4569006123279292,4.250619961270291e-18,2.0336812170530152e-23,1.1280874593673508e-13,7.521726217414828e-21,5.8425255209966564e-33,5.4404331505752824e-05,5.3020403108128986e-20,4.264277203724307e-21,1.7306699560664817e-18,2.568665275438768e-18,1.2983057499543961e-11,3.3476251070584088e-18,-7.75679906295726e-21,1.81454894311278e-15,1.372452433696716e-20,-2.091693849271819e-20,2.9249094786899027e-31,4.300517127028829e-22,0.00042516811485935707,2.233942667101931e-19,1.9265160112339387e-26,1.0733033914951175e-29,-7.602304960557569e-25,6.4860201199469545e-22,1.0364439345630888e-25,1.0275886273128733e-24,6.574328958848299e-37,-4.872013353054915e-41,-3.7132137755885852e-34,5.781314295206969e-28,2.5209715784177003e-27,-2.1332561359374867e-33,6.617939653974401e-43,2.2200773268728743e-32,4.3925110460428535e-24,-1.4321585975517365e-34,1.4412378737186903e-34,-3.9944198480338735e-35,-2.78477891571246e-38,-2.4678519963483063e-40
2.104308650806138e-10,0.0005555851823910342,0.0915567593028733,0.0,0.0011543686963970986,0.45108908592275837,1.211752716438908e-19,0.4569006123278896,4.269793295511256e-18,2.0501079699420825e-23,1.1323342678240375e-13,-2.8437178597365e-20,4.5566829335831803e-35,5.43520982540691e-05,5.0456829851002084e-20,4.264182575832947e-21,1.7329877899004711e-18,2.5769861868192353e-18,1.3022297989157765e-11,3.360227533520641e-18,-5.446611274764279e-19,1.814527338193324e-15,3.866877188531636e-20,-4.9523410122435715e-21,2.933716160587314e-31,-1.6266927815864915e-21,0.00042636638410089515,2.2402304229226844e-19,5.4964229668438106e-27,-9.382890480603368e-30,-7.613259258185304e-25,-2.2344332322431276e-21,1.039406931725804e-25,1.0348779915474207e-24,-4.154046271509945e-36,1.659541935274814e-41,-4.05753604110336e-34,5.803641893390005e-28,2.530655515279128e-27,-9.388680989549407e-34,3.947025944983981e-43,-1.37692313527143e-32,4.423490435359938e-24,-1.164472241204038e-34,2.9107403278682866e-34,-1.505824478659736e-34,-2.7961126933898034e-38,9.33972979661894e-41
