Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(41),COX(42),CHOX(51),CH2O2X(43),CH3OX(38),CH3X(25),CH4(24),CH4X(158),SX(46),CH3O2X(40),SX(93),SX(44),SX(115)
1.577979176414439e-11,0.0007926750507772021,0.0,0.0,0.0020206643198189553,0.7999009456119148,0.09999425481670997,0.0999999998447323,1.2125377222476243e-19,1.1823315776480569e-34,6.377209514062939e-22,4.5052793625837486e-40,3.913678552546376e-56,6.122418330392099e-05,2.6655274043799046e-17,2.5976505283453604e-20,6.256178016841259e-24,5.745027559206377e-06,1.5526764143903645e-10,1.3678000296240523e-20,5.212354434850608e-22,4.523845239438093e-25,6.2295168702214486e-30,3.007814012443855e-38,3.631746809350957e-40,8.033586187547739e-43,6.844229643187268e-05,1.5573068083153548e-10,3.356716569659871e-19,1.3172500456261839e-27,1.0271340778455886e-39,6.056144354522647e-47,1.7469160054519595e-50,3.230044286957699e-50,6.44283525132826e-61,1.178224723414366e-40,6.867634694129148e-75,6.823574260491194e-60,5.283777852449139e-76
1.587383857693658e-11,0.0007926750507772021,0.0,0.0,0.0020199262901499817,0.7999003814057356,0.09999425207654121,0.09999999984478904,1.2310393840898178e-19,1.2132086778362084e-34,6.488007417986103e-22,4.707324616719894e-40,4.1209772587812215e-56,6.156635005932414e-05,2.6891952183197208e-17,2.5394951926066994e-20,6.381056596003289e-24,5.747767785013277e-06,1.5521092590071434e-10,1.3858926689652055e-20,5.240988036830449e-22,4.549874774451285e-25,6.389108889755731e-30,3.1051952665738554e-38,3.715778444348444e-40,8.393894948638293e-43,6.88354192334043e-05,1.5567362715184575e-10,3.3954926140613707e-19,1.342585718944218e-27,1.066140518853595e-39,6.29067203950035e-47,1.8364254661616886e-50,3.395542283401143e-50,6.688778983130903e-61,1.205870448346852e-40,7.227194746357085e-75,7.127532961284728e-60,5.595792739810562e-76
1.596788538972877e-11,0.0007926750507772021,0.0,0.0,0.002019188769509174,0.7998998174915605,0.09999424942834427,0.09999999984484571,1.2498515169062132e-19,1.24468624915466e-34,6.600032654442074e-22,4.917051352420167e-40,4.337784398701981e-56,6.190826671032806e-05,2.7129172782229044e-17,2.6226682782878172e-20,6.5076823975952606e-24,5.750416038949513e-06,1.5515424951904947e-10,1.4040946337604145e-20,5.269592881377806e-22,4.575885194492325e-25,6.55170520963564e-30,3.205062489152802e-38,3.8012163771788744e-40,8.767903750162287e-43,6.922837508296062e-05,1.5561661437386532e-10,3.434473200457546e-19,1.3682353081260542e-27,1.1063657758493631e-39,6.532675852744744e-47,1.9299077037056207e-50,3.568385442577224e-50,6.942411429684102e-61,1.2339856370259102e-40,7.603415948913324e-75,7.442770981370962e-60,5.924002690133924e-76
1.606193220252096e-11,0.0007926750507772021,0.0,0.0,0.00201845175576629,0.7998992538691485,0.09999424687036197,0.09999999984490235,1.2692406189315313e-19,1.276771906693476e-34,6.713290911271907e-22,5.134699048793738e-40,4.564468398997045e-56,6.22499335205943e-05,2.7366168550401835e-17,2.633410654149747e-20,6.636061508864164e-24,5.752974078226457e-06,1.550976121325093e-10,1.4224056548043107e-20,5.29816901097218e-22,4.601876520019785e-25,6.717341397641788e-30,3.3074619001290546e-38,3.888074997737606e-40,9.156039776008599e-43,6.962116408991218e-05,1.5555964230414476e-10,3.4736580520753325e-19,1.3942004026395025e-27,1.1478396713207e-39,6.782342500838905e-47,2.0275118081567612e-50,3.748849398145828e-50,7.203919313457276e-61,1.2625751706899718e-40,7.996970266000334e-75,7.769620007548501e-60,6.26913242079598e-76
1.615597901531315e-11,0.0007926750507772021,0.0,0.0,0.0020177152468255685,0.799898690538259,0.09999424440087025,0.09999999984495894,1.2883022599292794e-19,1.3094733088535203e-34,6.8277878601369105e-22,5.360512998645215e-40,4.8014093178691205e-56,6.259135075287696e-05,2.7605515188272453e-17,2.5778827309800183e-20,6.766210501218307e-24,5.755443626898759e-06,1.550410135773095e-10,1.4408254636494622e-20,5.326716467963792e-22,4.627848771420334e-25,6.886053175990323e-30,3.4124402487654773e-38,3.976368743456743e-40,9.558740583082433e-43,7.001378636320797e-05,1.555027107523933e-10,3.5130468925445476e-19,1.4204825843799708e-27,1.1905925516457317e-39,7.039862038932418e-47,2.1293914354135573e-50,3.937218227675687e-50,7.473492560313024e-61,1.2916439471104198e-40,8.408552688864021e-75,8.108418751270935e-60,6.631933867437822e-76
1.625002582810534e-11,0.0007926750507772021,0.0,0.0,0.0020169792406250888,0.7998981274986527,0.09999424201817755,0.0999999998450155,1.307696301099748e-19,1.3427981572625366e-34,6.943529156559456e-22,5.594744408706699e-40,5.048999127499646e-56,6.29325186690429e-05,2.7845356276711326e-17,2.658977459595047e-20,6.898152640702865e-24,5.757826376488886e-06,1.5498445369337086e-10,1.4593537926300895e-20,5.3552352945748085e-22,4.653801969005703e-25,7.057876420737988e-30,3.5200448156512886e-38,4.066112098961819e-40,9.976454280217508e-43,7.040624201138205e-05,1.5544581953142489e-10,3.5526394458967195e-19,1.4470834276857898e-27,1.2346552925285012e-39,7.305427906163281e-47,2.235704919510241e-50,4.1337846523457857e-50,7.751324330448243e-61,1.3211968804728985e-40,8.838881881787178e-75,8.459513030885585e-60,7.013187008290847e-76
1.634407264089753e-11,0.0007926750507772021,0.0,0.0,0.0020162437351361356,0.7998975647500911,0.0999942397206243,0.09999999984507203,1.3276946246167113e-19,1.3767541966921035e-34,7.060520439963644e-22,5.837650500862527e-40,5.307642001262746e-56,6.327343753007882e-05,2.808493146187882e-17,2.668101408743656e-20,7.031891552981544e-24,5.760123986601217e-06,1.5492793232707866e-10,1.4779903748868532e-20,5.38372553290069e-22,4.6797361330165185e-25,7.23284716071114e-30,3.630323414707869e-38,4.157319595730439e-40,1.0409639708861796e-42,7.079853114256012e-05,1.5538896845710525e-10,3.5924354365639265e-19,1.474004499353836e-27,1.280059304447544e-39,7.579236961171814e-47,2.346615379362085e-50,4.338850239933271e-50,8.037611049452076e-61,1.3512389012591603e-40,9.288700842105902e-75,8.823255853678115e-60,7.413700707351284e-76
1.643811945368972e-11,0.0007926750507772021,0.0,0.0,0.0020155087283625765,0.7998970022923361,0.09999423750658219,0.09999999984512851,1.347328232751067e-19,1.4113492149753621e-34,7.178767333715849e-22,6.0894946143661465e-40,5.577754605722463e-56,6.361410759610178e-05,2.8326917760114924e-17,2.617452250025342e-20,7.167445234332285e-24,5.762338085524222e-06,1.5487144932212572e-10,1.4967349443840197e-20,5.412187224911447e-22,4.705651283624539e-25,7.411001576553604e-30,3.743324395140783e-38,4.250005811750136e-40,1.0858766625535938e-42,7.119065386446617e-05,1.55332157348299e-10,3.632434589377653e-19,1.5012473586554472e-27,1.3268365381153204e-39,7.86148951769216e-47,2.4622908289648434e-50,4.552725611116956e-50,8.332552439356029e-61,1.3817749561292762e-40,9.75877757424357e-75,9.200007497661308e-60,7.834313576687845e-76
1.6532166266481908e-11,0.0007926750507772021,0.0,0.0,0.0020147742183402573,0.799896440125151,0.09999423537445366,0.09999999984518496,1.3673219286159625e-19,1.4465910429254922e-34,7.298275445165132e-22,6.350546309050697e-40,5.859766397454082e-56,6.395452912637823e-05,2.8569336451095107e-17,2.6952925755045932e-20,7.304838250738682e-24,5.7644702708203366e-06,1.5481500452615537e-10,1.5155872359303798e-20,5.440620412452789e-22,4.731547440929683e-25,7.592376000177199e-30,3.859096643414429e-38,4.3441853711795334e-40,1.1324315886067108e-42,7.158261028442869e-05,1.5527538602681763e-10,3.67263662956767e-19,1.528813557352608e-27,1.3750194899515019e-39,8.152389380214081e-47,2.582904295652334e-50,4.775730649125166e-50,8.636351549657453e-61,1.4128100078044702e-40,1.0249905778103745e-74,9.590135593158787e-60,8.275894858169077e-76
1.6626213079274098e-11,0.0007926750507772021,0.0,0.0,0.0020140402031364,0.7998958782482994,0.09999423332267128,0.09999999984524136,1.3879260381177333e-19,1.482487554255046e-34,7.419050365683515e-22,6.6210814695374794e-40,6.154119924743125e-56,6.429470237933043e-05,2.881150815997571e-17,2.7020342974459072e-20,7.444072071946853e-24,5.766522109905971e-06,1.547585977929268e-10,1.5345469852004768e-20,5.469025137247431e-22,4.757424624963834e-25,7.77700691368536e-30,3.977689585220984e-38,4.439872944011433e-40,1.1806779631605828e-42,7.197440050938694e-05,1.5521865431736782e-10,3.713041282760923e-19,1.556704639714403e-27,1.424641207568696e-39,8.452143879733809e-47,2.708633931740506e-50,5.008194712756397e-50,8.94921478848961e-61,1.4443490349504807e-40,1.0762905552104626e-74,9.994015204150232e-60,8.739345324902784e-76
1.6720259892066287e-11,0.0007926750507772021,0.0,0.0,0.00201330668084902,0.7998953166615465,0.09999423134969727,0.09999999984529774,1.4081443857281574e-19,1.5190466654960364e-34,7.541097670706164e-22,6.901382410440766e-40,6.461271134192775e-56,6.46346276125467e-05,2.90561040039378e-17,2.6579499175977173e-20,7.585166158738351e-24,5.76849514062025e-06,1.5470222897330733e-10,1.5536139287488827e-20,5.497401440896286e-22,4.783282855692799e-25,7.964930948448298e-30,4.0991531873882497e-38,4.537083245734909e-40,1.2306661476423044e-42,7.23660246458972e-05,1.551619620475002e-10,3.7536482749804345e-19,1.5849221425337212e-27,1.4757352952681848e-39,8.760963909578109e-47,2.839663130260354e-50,5.250456852801856e-50,9.27135195376332e-61,1.4763970320612651e-40,1.1298624110837125e-74,1.041202890930892e-59,9.225598202677202e-76
