Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(48),CH2O2X(49),CH3OX(44),CH3X(50),CH4(39),CH4X(236),CH3O2X(47),CH4O2(169),H(23),HCO(31),OCHCO(260),SX(257),CH2OX(167),CHOX(166),SX(186)
9.308224086132083e-11,0.0005485282325552088,0.0915567593028733,0.0,0.0013400318218343657,0.4512994324398846,1.1275553346274118e-38,0.4569006123352019,4.719393495382303e-19,2.6296576199742445e-28,3.396092431103947e-14,1.3640904982357979e-28,2.6456309599221927e-39,6.218168922889717e-05,9.117632266401062e-21,1.1720271667124333e-21,3.652085167338877e-19,8.472480107640418e-19,5.790437147452279e-12,1.8949450472302127e-22,5.5170499472864346e-24,1.4210721934649467e-15,2.00111369756766e-26,4.0651493618462085e-31,7.758220482999389e-32,6.664009806334622e-30,0.00021210507156657553,8.191744695630505e-20,3.9811032512805805e-31,-1.2680801306739518e-20,1.468362558485812e-24,1.2641357050169487e-20,3.2146663020992376e-26,1.1226512775492537e-25,2.385256050511098e-24,1.3742438554948242e-39,2.4097369016404073e-83,4.197061443861675e-25,4.858252526557693e-32,2.1130448794186275e-31,1.6448574909123156e-34
9.338015336264876e-11,0.0005485282325552088,0.0915567593028733,0.0,0.001339422550195595,0.45129882539333277,1.1372438815000267e-38,0.45690061233518475,4.739425122713639e-19,2.6621395330505003e-28,3.41169736621687e-14,1.387157521691402e-28,2.8107356768818318e-39,6.218613936981014e-05,9.171253280216204e-21,1.1714115233587196e-21,3.6623611727974694e-19,8.503302793170793e-19,5.80740008720635e-12,1.9099435644185191e-22,5.52347657304069e-24,1.4210740401163478e-15,2.0249856555599927e-26,4.115470675031254e-31,7.79225398942717e-32,6.776437299525851e-30,0.00021270989304771951,8.226908335630177e-20,4.034894851940895e-31,-3.907876362486425e-20,1.8072084760974628e-24,3.9037252295651255e-20,3.228952330797181e-26,1.1331695023365465e-25,2.39573940828264e-24,1.3905302483739405e-39,2.459806480577196e-83,4.2363299242556095e-25,4.8908790952679207e-32,2.1261976115040447e-31,1.7474984938651046e-34
9.367806586397669e-11,0.0005485282325552088,0.0915567593028733,0.0,0.001338814026381909,0.45129821891683536,1.146976846463757e-38,0.4569006123351677,4.759471427308551e-19,2.6948804065525355e-28,3.4273033931384075e-14,1.410511113495185e-28,2.881555773971508e-39,6.219023396895849e-05,9.225006668288624e-21,1.170803272596692e-21,3.6726113151231416e-19,8.534115635424014e-19,5.824354951605797e-12,1.9249971387915156e-22,5.5298743082180794e-24,1.4210757955535774e-15,2.049041872595814e-26,4.166189047798646e-31,7.826266714547752e-32,6.890256276669729e-30,0.00021331432224541295,8.262045733779705e-20,4.089173120876934e-31,5.572248460599026e-20,9.39408659146809e-25,-5.576389944507963e-20,3.243227784714944e-26,1.1437352256562546e-25,2.4062233289118213e-24,1.4069452457044363e-39,2.5107124439964284e-83,4.275774981537112e-25,4.923581822492172e-32,2.139382418791697e-31,1.7464608359431308e-34
9.397597836530462e-11,0.0005485282325552088,0.0915567593028733,0.0,0.001338206245640065,0.451297613007804,1.1567542324983633e-38,0.4569006123351506,4.779532364292376e-19,2.7278810302934224e-28,3.4429104221977616e-14,1.434153385903398e-28,3.134424253446665e-39,6.219397735706392e-05,9.278892238482209e-21,1.1702023280289332e-21,3.682835624377082e-19,8.564918616898842e-19,5.841301750299956e-12,1.9401056729834683e-22,5.536243436597324e-24,1.4210774609602601e-15,2.0732828839376017e-26,4.217305573533416e-31,7.860258452174663e-32,7.005477075326407e-30,0.00021391835958258184,8.297156674572796e-20,4.14394005533086e-31,-1.312235959134313e-19,2.8576305120822795e-24,1.311776459755135e-19,3.257492575968829e-26,1.1543483605075898e-25,2.416707752723836e-24,1.4234893179282086e-39,2.5624652528803164e-83,4.315396283364949e-25,4.956360435117775e-32,2.1525992223664554e-31,1.92914578742767e-34
9.427389086663255e-11,0.0005485282325552088,0.0915567593028733,0.0,0.0013375992032672764,0.45129700766367714,1.1665760423299394e-38,0.4569006123351335,4.79960788884365e-19,2.7611421905276967e-28,3.458518364817158e-14,1.458086513092963e-28,3.40193531761949e-39,6.219737381607427e-05,9.332909807049584e-21,1.1696085899160796e-21,3.693034130895892e-19,8.595711720372916e-19,5.85824049287774e-12,1.955269069409131e-22,5.542584239219364e-24,1.4210790375022703e-15,2.097709222301399e-26,4.268821339741778e-31,7.894228999225248e-32,7.122110058827028e-30,0.00021452200547981656,8.33224094568094e-20,4.199197646888421e-31,8.669441399007334e-21,1.6578679062821314e-24,-8.716939175094927e-21,3.271746617972168e-26,1.1650088195408314e-25,2.4271926207735327e-24,1.4401629346502168e-39,2.615075452619919e-83,4.355193496102857e-25,4.989214661301543e-32,2.1658479431699986e-31,2.122793370266138e-34
9.457180336796048e-11,0.0005485282325552088,0.0915567593028733,0.0,0.0013369928946113082,0.4512964028819196,1.1764422784339967e-38,0.4569006123351164,4.819697956159415e-19,2.794664669960824e-28,3.474127133499582e-14,1.4823126685209708e-28,3.546755355910715e-39,6.220042757974422e-05,9.387059189945e-21,1.1690219608982646e-21,3.7032068652522607e-19,8.626494928899521e-19,5.875171188868281e-12,1.9704872302689614e-22,5.548896994398201e-24,1.4210805263282965e-15,2.1223214178637025e-26,4.320737428007735e-31,7.928178155630534e-32,7.240165604363369e-30,0.0002151252603553968,8.367298337915828e-20,4.2549478814571215e-31,-1.4119981046796676e-20,1.949694470804984e-24,1.4070714684709523e-20,3.2859898254202827e-26,1.175716515067094e-25,2.4376778748372273e-24,1.4569665646366425e-39,2.6685536732707018e-83,4.3951662848561915e-25,5.022144230399561e-32,2.1791285020139664e-31,2.181126185220489e-34
9.486971586928841e-11,0.0005485282325552088,0.0915567593028733,0.0,0.0013363873150700164,0.4512957986600223,1.186352943038521e-38,0.4569006123350993,4.839802521441242e-19,2.8284492477590026e-28,3.489736641816586e-14,1.5068340199641688e-28,3.4971804523427634e-39,6.220314283412102e-05,9.441340202141281e-21,1.1684423496102326e-21,3.7133538582363395e-19,8.657268225804345e-19,5.892093847741576e-12,1.9857600575543272e-22,5.555181977756786e-24,1.4210819285701479e-15,2.1471199982685762e-26,4.373054914113427e-31,7.962105724348272e-32,7.359654101831698e-30,0.00021572812462531624,8.402328645193759e-20,4.311192739265631e-31,1.513784358632589e-20,1.6446298893486614e-24,-1.5186299928715636e-20,3.3002221142755345e-26,1.1864713590680377e-25,2.4481634574045724e-24,1.473900675813088e-39,2.722910629806973e-83,4.4353143135083595e-25,5.055148872993692e-32,2.1924408195843406e-31,2.037674543155893e-34
9.516762837061634e-11,0.0005485282325552088,0.0915567593028733,0.0,0.0013357824600910915,0.4512951949955021,1.1963080381270023e-38,0.4569006123350822,4.859921539922474e-19,2.8624966995588424e-28,3.50534680439623e-14,1.5316527043742545e-28,3.4409126561349634e-39,6.220552371805858e-05,9.49575265414583e-21,1.1678696688731276e-21,3.7234751408780844e-19,8.688031594682307e-19,5.9090084789091175e-12,2.0010874530526333e-22,5.561439462243269e-24,1.421083245343144e-15,2.1721054886346777e-26,4.425774868042605e-31,7.996011511293607e-32,7.480585948932775e-30,0.00021633059870330623,8.437331664499343e-20,4.367934194843471e-31,-1.0970111652551074e-20,1.8653567511321582e-24,1.092200943690135e-20,3.3144434017525674e-26,1.1972732632054095e-25,2.4586493116705066e-24,1.490965735262811e-39,2.7781571223751303e-83,4.47563724475661e-25,5.088228320911091e-32,2.205784816446668e-31,1.8928478157815347e-34
9.546554087194427e-11,0.0005485282325552088,0.0915567593028733,0.0,0.0013351783251710839,0.4512945918859017,1.2063075654414293e-38,0.4569006123350651,4.880054966882353e-19,2.896807797477278e-28,3.520957536911131e-14,1.5567708783544165e-28,3.440340611866999e-39,6.220757432360463e-05,9.550296359010318e-21,1.1673038260549953e-21,3.7335707444566266e-19,8.718785019394389e-19,5.925915091724531e-12,2.0164693183524102e-22,5.5676697181475804e-24,1.4210844777461832e-15,2.1972784115624432e-26,4.478898353998812e-31,8.029895325325705e-32,7.602971560373505e-30,0.0002169326830008606,8.472307195850579e-20,4.425174217017539e-31,6.029419695624642e-21,1.7025927418981424e-24,-6.077355354240907e-21,3.3286536063037124e-26,1.208122138830468e-25,2.4691353815272792e-24,1.5081622092250048e-39,2.8343040365454333e-83,4.516134740147394e-25,5.121382307219335e-32,2.2191604130530475e-31,1.8131252835811994e-34
9.57634533732722e-11,0.0005485282325552088,0.0915567593028733,0.0,0.00133457490585535,0.45129398932878867,1.216351526485236e-38,0.45690061233504814,4.900202757622315e-19,2.9313833101213876e-28,3.5365687560666573e-14,1.5821906719267524e-28,3.789787533064843e-39,6.220929869654408e-05,9.604971125920311e-21,1.1667447343275533e-21,3.7436407004720766e-19,8.749528484064534e-19,5.9428136954841956e-12,2.0319055548482877e-22,5.57387301312516e-24,1.4210856268622132e-15,2.2226392871412017e-26,4.532426430461917e-31,8.063756978188811e-32,7.72682135904259e-30,0.0002175343779272587,8.507255042263187e-20,4.482914768894997e-31,-1.4160150838844904e-19,3.288879129702574e-24,1.4154849636764123e-19,3.3428526476046007e-26,1.2190178969931784e-25,2.4796216115565733e-24,1.5254905630931296e-39,2.891362343562184e-83,4.556806460110843e-25,5.154610566197504e-32,2.2325675297511713e-31,2.09802754110369e-34
9.606136587460013e-11,0.0005485282325552088,0.0915567593028733,0.0,0.0013339721977367188,0.45129338732175617,1.226439922526239e-38,0.4569006123350311,4.920364867469761e-19,2.966224002598391e-28,3.5521803795891966e-14,1.6079142781066214e-28,4.321895145410032e-39,6.221070083671709e-05,9.659776772630218e-21,1.1661922996949669e-21,3.753685040644653e-19,8.780261973076527e-19,5.959704299427859e-12,2.0473960637459646e-22,5.58004961221266e-24,1.4210866937581393e-15,2.2481886329564068e-26,4.586360150172579e-31,8.097596284515726e-32,7.852145792480414e-30,0.0002181356838895894,8.542175009716098e-20,4.541157807862226e-31,-3.688948279547237e-20,2.553344612635959e-24,3.6831909965429316e-20,3.357040446539806e-26,1.229960448451358e-25,2.4901079470216738e-24,1.542951261413276e-39,2.9493431005930086e-83,4.5976520639951045e-25,5.187912833346936e-32,2.246006086789604e-31,2.5547077965323802e-34
9.635927837592806e-11,0.0005485282325552088,0.0915567593028733,0.0,0.0013333701964553049,0.451292785862422,1.236572754599514e-38,0.45690061233501406,4.940541251739395e-19,3.001330636525672e-28,3.5677923262145586e-14,1.633943921127745e-28,4.650031469417931e-39,6.221178469853188e-05,9.714713121059029e-21,1.1656464332207229e-21,3.76370379687184e-19,8.810985471070953e-19,5.976586912739237e-12,2.0629407460670654e-22,5.5861997778467376e-24,1.4210876794852387e-15,2.273926964096895e-26,4.640700560242877e-31,8.1314130617395e-32,7.978955326748733e-30,0.0002187366012927737,8.577066907116923e-20,4.599905285586611e-31,-8.907033814558424e-21,2.4487862976512615e-24,8.846314669649746e-21,3.3712169251887347e-26,1.2409497036795866e-25,2.5005943338597305e-24,1.56054476788258e-39,3.008257450976282e-83,4.638671210099737e-25,5.221288845401096e-32,2.2594760043230718e-31,2.776758772274307e-34
9.665719087725599e-11,0.0005485282325552088,0.0915567593028733,0.0,0.0013327688976985906,0.45129218494842854,1.2467500235102559e-38,0.456900612334997,4.960731865756142e-19,3.0367039700407703e-28,3.58340451567652e-14,1.6602817969049164e-28,4.626845446839569e-39,6.221255419152325e-05,9.769779989033706e-21,1.1651070547985724e-21,3.7736970012468714e-19,8.841698962942146e-19,5.9934615445466194e-12,2.0785395026539346e-22,5.592323769891315e-24,1.4210885850796679e-15,2.299854793162109e-26,4.695448702114563e-31,8.165207130101473e-32,8.107260435123776e-30,0.0002193371305395879,8.61193054626736e-20,4.659159148006111e-31,9.766748412770771e-21,2.2583748840156992e-24,-9.827041288417119e-21,3.385382006811642e-26,1.251985572877971e-25,2.5110807186741134e-24,1.578271545347684e-39,3.0681166244673602e-83,4.679863555708613e-25,5.254738340306987e-32,2.2729772024201913e-31,2.6299641457709403e-34
9.695510337858392e-11,0.0005485282325552088,0.0915567593028733,0.0,0.0013321682972011427,0.45129158457744256,1.256971729836599e-38,0.45690061233497997,4.980936664911745e-19,3.072344757811407e-28,3.599016868695495e-14,1.686930051882196e-28,4.512589828346603e-39,6.22130131808426e-05,9.824977187359038e-21,1.1645740849267221e-21,3.783664686110591e-19,8.872402433835239e-19,6.010328203923483e-12,2.0941922341743818e-22,5.5984218456628325e-24,1.4210894115627974e-15,2.3259726302693598e-26,4.7506056116240425e-31,8.198978312600908e-32,8.237071593963818e-30,0.00021993727203068662,8.646765741829043e-20,4.718921335306242e-31,-6.3531514138953586e-21,2.355472734341852e-24,6.293896977666129e-21,3.3995356158357866e-26,1.263067965980798e-25,2.5215670487268503e-24,1.5961320558032287e-39,3.128931937483676e-83,4.721228757122357e-25,5.288261057222245e-32,2.2865096010697173e-31,2.4006879834632942e-34
9.725301587991185e-11,0.0005485282325552088,0.0915567593028733,0.0,0.0013315683907436414,0.4512909847471551,1.2672378739324188e-38,0.45690061233496293,5.001155604663528e-19,3.108253751045771e-28,3.6146293069673016e-14,1.7138908355575125e-28,4.568257882589188e-39,6.221316548762333e-05,9.880304527111247e-21,1.1640474378540061e-21,3.793606884045727e-19,8.903095869143216e-19,6.027186899889074e-12,2.1098988411264082e-22,5.604494259944727e-24,1.4210901599412243e-15,2.3522809830612432e-26,4.8061723190404055e-31,8.232726434967996e-32,8.368399292289089e-30,0.00022053702616462557,8.681572311291001e-20,4.77919378191368e-31,-1.6550844152462488e-20,2.479879704615534e-24,1.6490927282750943e-20,3.41367767784171e-26,1.2741967926651058e-25,2.5320532719311287e-24,1.614126760390375e-39,3.1907147933484817e-83,4.762766469690511e-25,5.321856736531697e-32,2.3000731201847102e-31,2.3577196403238176e-34
9.755092838123978e-11,0.0005485282325552088,0.0915567593028733,0.0,0.0013309691741521018,0.45129038545528083,1.277548455930083e-38,0.4569006123349459,5.021388640471066e-19,3.144431697502852e-28,3.630241753152031e-14,1.74116633357271e-28,4.796285808954395e-39,6.221301488937494e-05,9.935761824234556e-21,1.163527029776899e-21,3.8035236278095847e-19,8.933779254503988e-19,6.044037641408997e-12,2.125659223842854e-22,5.610541265002703e-24,1.4210908312068858e-15,2.3787803567131054e-26,4.8621498490888765e-31,8.266451325624495e-32,8.501254037738611e-30,0.0002211363933378836,8.716350074937314e-20,4.839978416501679e-31,-3.8667703058204785e-20,2.8029464730468204e-24,3.860523586261882e-20,3.427808119549711e-26,1.2853719623590717e-25,2.542539336843862e-24,1.632256119395395e-39,3.2534766825329774e-83,4.804476347842985e-25,5.355525119839362e-32,2.313667679608698e-31,2.4963726892740725e-34
9.784884088256771e-11,0.0005485282325552088,0.0915567593028733,0.0,0.0013303706432973583,0.45128978669955816,1.2879034757431902e-38,0.45690061233492896,5.041635727813146e-19,3.1808793415025598e-28,3.645854130863011e-14,1.768758772159906e-28,4.900319902036011e-39,6.221256512042387e-05,9.991348900163033e-21,1.1630127749798262e-21,3.8134149503466006e-19,8.96445257579746e-19,6.060880437395792e-12,2.1414732824959686e-22,5.6165631106044355e-24,1.4210914263373034e-15,2.4054712539403453e-26,4.918539220940521e-31,8.300152815657217e-32,8.635646357181684e-30,0.0002217353739448848,8.751098855813518e-20,4.901277161981993e-31,4.315911049697316e-20,2.0725316161066334e-24,-4.322188260854788e-20,3.4419268688064304e-26,1.2965933842502606e-25,2.5530251926583356e-24,1.6505205922482708e-39,3.3172291828974875e-83,4.846358045121e-25,5.389265949938775e-32,2.327293199123833e-31,2.496612240354137e-34
9.814675338389564e-11,0.0005485282325552088,0.0915567593028733,0.0,0.001329772794095581,0.45128918847774885,1.2983029330692621e-38,0.45690061233491197,5.061896822166069e-19,3.2175974239360276e-28,3.661466364655927e-14,1.7966703137326837e-28,5.1160759488820025e-39,6.221181987252805e-05,1.0047065567337392e-20,1.1625046046779226e-21,3.8232808847628457e-19,8.995115819142709e-19,6.077715296709507e-12,2.157340917101908e-22,5.622560044052413e-24,1.4210919462962429e-15,2.4323541750058534e-26,4.975341448327418e-31,8.333830738767633e-32,8.771586777135324e-30,0.0002223339683780202,8.785818479694053e-20,4.963091935498904e-31,-1.056978506111518e-19,3.599096122977239e-24,1.0563148688856762e-19,3.456033854571609e-26,1.3078609672937038e-25,2.5635107891969325e-24,1.6689206375213537e-39,3.3819839599309354e-83,4.888411214207398e-25,5.423078970822286e-32,2.3409495984554e-31,2.6094812762393014e-34
