Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(52),COX(53)
7.138500845551531e-10,0.0007926750507772021,0.0,0.0,0.000437812402740739,0.7986143961976353,0.0999984300982776,0.09999999996635975,1.430477658075892e-15,8.24024084737046e-15,3.3216959056453264e-19,3.548002398223653e-18,2.538773329446265e-19,0.0006624681753171559,9.351113747698441e-17,2.773988555548823e-19,8.712512513856845e-20,1.281785838883971e-06,3.36388447073203e-11,2.8798443141702534e-07,5.791826361960007e-21,2.937646027706136e-24,9.777825409328348e-11,2.6095123394305056e-17,2.3986754538133317e-36,4.587590842134515e-19,0.0010542256246990687,3.366707798766105e-11
7.144989521584861e-10,0.0007926750507772021,0.0,0.0,0.00043751244592669014,0.7986141507768807,0.09999843077320576,0.09999999996638279,1.4326987620695362e-15,8.270937784955835e-15,3.3283579598376643e-19,3.565062444962532e-18,2.552456395630433e-19,0.0006625788106460257,9.344675885283557e-17,3.5891538650134575e-19,8.719685826891007e-20,1.280897884185625e-06,3.361579644798374e-11,2.881972232137035e-07,5.7927895878395764e-21,2.9379330259161824e-24,9.80360535268142e-11,2.618630943908515e-17,3.278069338895468e-36,4.60942074312761e-19,0.0010544156211354857,3.3643972134524866e-11
7.151478197618191e-10,0.0007926750507772021,0.0,0.0,0.00043721311693412665,0.798613905909937,0.09999843144639248,0.0999999999664058,1.4348215502140172e-15,8.301715552525185e-15,3.3346586647135305e-19,3.582185053528445e-18,2.566197385301411e-19,0.0006626892943503952,9.338092994432941e-17,2.091070465041362e-19,8.726857033843759e-20,1.2800117917542643e-06,3.35927965590255e-11,2.884098937996497e-07,5.793751491893642e-21,2.938219590813087e-24,9.829423364038813e-11,2.627770203603421e-17,2.762443851936239e-36,4.631329296282619e-19,0.0010546051396334028,3.362091465511509e-11
7.157966873651521e-10,0.0007926750507772021,0.0,0.0,0.0004369144143153127,0.7986136615955628,0.0999984321178418,0.09999999996642873,1.436846154806307e-15,8.332574269298049e-15,3.3405985376883257e-19,3.5993703757386e-18,2.579996471553725e-19,0.0006627996268509152,9.331360184015839e-17,2.1817004325296464e-19,8.734025657699993e-20,1.2791275572851156e-06,3.3569844654494466e-11,2.88622443343967e-07,5.7947120777757735e-21,2.9385057236598118e-24,9.855279449773582e-11,2.6369301341347122e-17,2.179337653889876e-36,4.653316685243496e-19,0.0010547941812240399,3.359790543784859e-11
7.164455549684851e-10,0.0007926750507772021,0.0,0.0,0.0004366163366262351,0.798613417832519,0.09999843278755792,0.09999999996645165,1.4390385893547383e-15,8.363514054513902e-15,3.347161472315811e-19,3.616618563553146e-18,2.593853827750893e-19,0.0006629098085668088,9.324913903541814e-17,3.660043278478156e-19,8.741196694224278e-20,1.2782451764841906e-06,3.354694072831414e-11,2.888348720156068e-07,5.7956713491559795e-21,2.9387914257161354e-24,9.881173616241614e-11,2.6461107510799823e-17,3.1150791491171264e-36,4.675383093796177e-19,0.001054982746936265,3.3574944371429225e-11
7.170944225718182e-10,0.0007926750507772021,0.0,0.0,0.00043631888242658915,0.7986131746195708,0.09999843345554492,0.09999999996647449,1.4412332308105185e-15,8.394535027432097e-15,3.3537346609258767e-19,3.6339297690749164e-18,2.607769627525285e-19,0.0006630198399160019,9.318487446003768e-17,2.6655585186205234e-19,8.748367440191316e-20,1.2773646450680684e-06,3.352408488111995e-11,2.8904717998337264e-07,5.7966293096888015e-21,2.9390766982371648e-24,9.90710586978045e-11,2.6553120699749788e-17,3.1565130274714126e-36,4.697528705868159e-19,0.001055170837796601,3.355203134484692e-11
7.177432901751512e-10,0.0007926750507772021,0.0,0.0,0.00043602205027976933,0.7986129319554853,0.09999843412180692,0.0999999999664973,1.443248883677119e-15,8.425637307331826e-15,3.3596475060915017e-19,3.651304144549155e-18,2.6217440447779708e-19,0.0006631297213150513,9.311780615277147e-17,1.7473009123106026e-19,8.755534258515855e-20,1.276485958765006e-06,3.3501276770506224e-11,2.892593674159167e-07,5.797585962987528e-21,2.9393615424723284e-24,9.933076216710143e-11,2.6645341063136665e-17,2.1499574950232445e-36,4.719753705528099e-19,0.0010553584548292302,3.3529166247376856e-11
7.183921577784842e-10,0.0007926750507772021,0.0,0.0,0.000435725838752859,0.7986126898390329,0.09999843478634803,0.09999999996652005,1.4453747839644065e-15,8.456821013512049e-15,3.365970849819134e-19,3.668741842363249e-18,2.6357772536785764e-19,0.0006632394531790705,9.305264291284411e-17,3.3360592730436713e-19,8.762702265690002e-20,1.2756091133144297e-06,3.347851621199118e-11,2.8947143448173683e-07,5.798541312676339e-21,2.9396459596676106e-24,9.959084663334159e-11,2.673776875548199e-17,2.7572027680727067e-36,4.742058276985418e-19,0.001055545599056,3.35063489685786e-11
7.190410253818172e-10,0.0007926750507772021,0.0,0.0,0.00043543024641661806,0.7986124482689871,0.09999843544917228,0.09999999996654277,1.4476273510616197e-15,8.488086265291448e-15,3.372765475152183e-19,3.686243015046456e-18,2.6498694286651347e-19,0.0006633490359218587,9.298970284868862e-17,3.3304815354573254e-19,8.769872246527159e-20,1.274734104465988e-06,3.34558033753354e-11,2.8968338134918014e-07,5.799495362385389e-21,2.9399299510652902e-24,9.985131215938198e-11,2.683040393088933e-17,3.4703929071781564e-36,4.764442604589879e-19,0.0010557322714964314,3.3483579398295234e-11
7.196898929851502e-10,0.0007926750507772021,0.0,0.0,0.00043513527184547117,0.7986122072441246,0.09999843611028376,0.09999999996656542,1.4496850193140758e-15,8.519433182008366e-15,3.3788400940885024e-19,3.703807815269639e-18,2.6640207444439366e-19,0.0006634584699559161,9.292372038790297e-17,1.6762082527868628e-19,8.777038135550238e-20,1.273860927980546e-06,3.343313806041035e-11,2.8989520818644254e-07,5.800448115696172e-21,2.9402135179017854e-24,1.001121588079021e-10,2.6923246743045196e-17,2.388743028080688e-36,4.7869068728312e-19,0.0010559184731677208,3.346085742665255e-11
