Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60),CHOX2(61),SX(53),CH3OX(46),CH3X(55),CH4(41),CH2OX2(52),CHX(32),SX(406),SX(420),C2HOX(418),C2H4O(376),CH2X(63)
1.5117521022645836e-07,0.0005367589272267694,0.1557,0.0,0.00033024506884118726,0.6423902152527707,0.20067003129133143,1.2400280110284363e-13,5.219101895005097e-18,1.220642662986693e-10,2.711701152532261e-21,1.6886804054070875e-10,7.053359091797482e-14,1.946803833050719e-05,2.1509570899415257e-19,8.606292028304648e-23,1.696055055339204e-20,0.0012298710759623415,7.202943626051262e-22,9.415134975693155e-08,4.83594149334965e-31,3.9875081643355973e-28,3.170158106174895e-09,9.507572478354227e-16,3.4207797747983243e-35,6.222621896148376e-12,4.0155677110740775e-12,1.1787675224037087e-12,1.2441565789946047e-12,4.352261550143292e-16,1.5193069331502588e-22,2.602840290666952e-13,6.364563439111978e-19,3.835201672609448e-15,1.9935912730629723e-16,2.1023251308300498e-15,2.8749851901614276e-17,8.904074460834897e-17,2.113213276954732e-15,4.131343984374932e-12,6.281536002853014e-17
1.5146028060114068e-07,0.0005367589272267694,0.1557,0.0,0.00033024492424377287,0.6423902148872759,0.20067003113419726,1.2448639018504315e-13,5.277146462613882e-18,1.2258870987735324e-10,2.761526540210527e-21,1.7059227546622092e-10,7.178015222597171e-14,1.946802805388182e-05,2.173248760079569e-19,8.702935765590154e-23,1.7150856294320434e-20,0.0012298705213381442,7.273230621096967e-22,9.483716220075546e-08,4.921096935377738e-31,4.0288867512394394e-28,3.1937562914128743e-09,9.608873851353955e-16,3.4801894377953485e-35,6.2864901321473186e-12,4.025320914333548e-12,1.1809689807466943e-12,1.2441554866668288e-12,4.362696158249613e-16,1.5345341655142383e-22,2.623098100609188e-13,6.396575798330494e-19,3.848582146595369e-15,1.9984130287290142e-16,2.0921975812906494e-15,2.887353297378376e-17,8.94426505752636e-17,2.118101878444295e-15,4.141572710568781e-12,6.227172442401599e-17
1.51745350975823e-07,0.0005367589272267694,0.1557,0.0,0.0003302447786143946,0.6423902145191634,0.20067003097593672,1.2497114830271869e-13,5.3358429467768416e-18,1.2311608728453246e-10,2.8122785217613122e-21,1.7233477172746084e-10,7.304917759521242e-14,1.946801770420038e-05,2.1957948819729994e-19,8.800762229217119e-23,1.734348495849598e-20,0.001229869962757842,7.344265824340302e-22,9.552786951617527e-08,5.0077840993212325e-31,4.0707149577946855e-28,3.217519986958117e-09,9.711345452561909e-16,3.540634865078819e-35,6.351039149504221e-12,4.0350976318326955e-12,1.1831706478705597e-12,1.2441543865460162e-12,4.3732052324423833e-16,1.5499201053921592e-22,2.6435103758666007e-13,6.414318289689665e-19,3.862016835303637e-15,2.0032690431057532e-16,2.0820473741060084e-15,2.8844654568515053e-17,8.931839934488142e-17,2.1235158106369265e-15,4.151825900541965e-12,6.207151873974112e-17
1.5203042135050531e-07,0.0005367589272267694,0.1557,0.0,0.00033024463194591415,0.6423902141484156,0.20067003081654203,1.254570782813256e-13,5.395199327767227e-18,1.2364641946024483e-10,2.863974851172564e-21,1.7409573911095062e-10,7.434108258022465e-14,1.94680072809566e-05,2.218598574333571e-19,8.899787759251978e-23,1.7538468564445275e-20,0.0012298694001940803,7.416058037679176e-22,9.622350559174744e-08,5.096031291588815e-31,4.112998141053249e-28,3.241450293516862e-09,9.81500178404751e-16,3.602134402323826e-35,6.416276815480807e-12,4.044898036718883e-12,1.1853725252650626e-12,1.2441532785781793e-12,4.3837892881376134e-16,1.5654665885416626e-22,2.664078323999822e-13,6.435150323779003e-19,3.8755052253765215e-15,2.0081595533990914e-16,2.0718063804891418e-15,2.893001303250386e-17,8.958952725933131e-17,2.1285121539691075e-15,4.162103796661161e-12,6.196984574331468e-17
1.5231549172518763e-07,0.0005367589272267694,0.1557,0.0,0.00033024448423114546,0.6423902137750136,0.20067003065600528,1.2594418296729272e-13,5.455223696161791e-18,1.241797274893987e-10,2.9166336367937473e-21,1.758753899926604e-10,7.565629061537424e-14,1.9467996783642607e-05,2.241662995153565e-19,9.000028954916579e-23,1.773583962001704e-20,0.0012298688336193316,7.488616174233835e-22,9.692410453446313e-08,5.185867355010402e-31,4.155741728524494e-28,3.2655483182618968e-09,9.9198575400659e-16,3.6647067347492055e-35,6.482211094861569e-12,4.054722303337389e-12,1.1875746144302674e-12,1.2441521627090894e-12,4.3944488440723483e-16,1.5811754744734579e-22,2.684803162168432e-13,6.470451232209319e-19,3.889045314986331e-15,2.0130847983398115e-16,2.061725675867664e-15,2.910248262619902e-17,9.015930273270368e-17,2.1333793581290358e-15,4.17240661427111e-12,6.151376571551582e-17
1.5260056209986995e-07,0.0005367589272267694,0.1557,0.0,0.00033024433546284716,0.6423902133989393,0.20067003049431847,1.2643246522816995e-13,5.515924254592355e-18,1.247160326027276e-10,2.9702733490676995e-21,1.7767393937210148e-10,7.699523317349502e-14,1.946798621175454e-05,2.2649913430848444e-19,9.101502689319889e-23,1.7935631130107e-20,0.00122986826300589,7.561949259836685e-22,9.762970067340831e-08,5.27732167964122e-31,4.198951220465679e-28,3.289815174859539e-09,1.0025927613294392e-15,3.7283709148011034e-35,6.548850051240807e-12,4.064570607239306e-12,1.1897769168766129e-12,1.2441510388842402e-12,4.4051844223624474e-16,1.5970486468004892e-22,2.7056861175583657e-13,6.49148217830928e-19,3.902638895680615e-15,2.0180450182039736e-16,2.0518047341814226e-15,2.905454020091554e-17,8.996851989990851e-17,2.138881170882591e-15,4.182734589920443e-12,6.124974641399974e-17
1.5288563247455227e-07,0.0005367589272267694,0.1557,0.0,0.00033024418563373624,0.6423902130201737,0.20067003033147351,1.2692192795277554e-13,5.577309319484791e-18,1.2525535617773973e-10,3.0249128281826805e-21,1.794916049061868e-10,7.835834992298805e-14,1.9467975564781805e-05,2.2885868571776714e-19,9.20422606498453e-23,1.8137876605227485e-20,0.0012298676883258706,7.636066434521087e-22,9.834032855769532e-08,5.370424213432795e-31,4.242632185841655e-28,3.314251983493708e-09,1.0133227069439901e-15,3.793146307218255e-35,6.616201848300978e-12,4.074443125189424e-12,1.1919794341249815e-12,1.2441499070485472e-12,4.415996548465171e-16,1.6130880135848591e-22,2.7267284274468724e-13,6.509112846177519e-19,3.916285159710123e-15,2.0230404548235791e-16,2.041910569971878e-15,2.911739721734537e-17,9.016155565328379e-17,2.1441356476863544e-15,4.193087627435957e-12,6.099268295204714e-17
1.531707028492346e-07,0.0005367589272267694,0.1557,0.0,0.00033024403473648576,0.6423902126386984,0.20067003016746243,1.2741257405134208e-13,5.639387322790037e-18,1.2579771973965914e-10,3.080571291700721e-21,1.8132860694292913e-10,7.97460888844435e-14,1.9467964842207762e-05,2.3124528170457394e-19,9.308216452446336e-23,1.8342610069694978e-20,0.0012298671095512096,7.71097695400264e-22,9.905602295816626e-08,5.465205472896016e-31,4.286790266564188e-28,3.338859870889144e-09,1.024177117217145e-15,3.859052626133021e-35,6.6842747510851605e-12,4.0843400351740065e-12,1.1941821677067642e-12,1.2441487671466968e-12,4.426885751207824e-16,1.6292955076817477e-22,2.7479313392991915e-13,6.54570507603485e-19,3.929983007941315e-15,2.028071351579819e-16,2.0320609475785263e-15,2.9341500150331775e-17,9.090891179551655e-17,2.1490053543837835e-15,4.203465845622117e-12,6.07022663140689e-17
1.534557732239169e-07,0.0005367589272267694,0.1557,0.0,0.00033024388276371903,0.6423902122544944,0.20067003000227693,1.2790440645566377e-13,5.702166813738334e-18,1.2634314496236628e-10,3.1372683424285446e-21,1.8318516855547313e-10,8.115890659113571e-14,1.9467954043515564e-05,2.3365925443733567e-19,9.413491520324986e-23,1.8549866069904885e-20,0.001229866526653664,7.786690191171643e-22,9.977681887101042e-08,5.561696554038732e-31,4.331431181652971e-28,3.3636399703396774e-09,1.0351575397509888e-15,3.9261099847551295e-35,6.753077127282443e-12,4.094261516408583e-12,1.1963851191639293e-12,1.2441476191231977e-12,4.4378525628462885e-16,1.6456730870855157e-22,2.7692961106476413e-13,6.570934962718355e-19,3.94373616970956e-15,2.0331379534151924e-16,2.022282902939909e-15,2.9276478363078194e-17,9.065793799465791e-17,2.1546934784588932e-15,4.213870182618039e-12,6.039460970109413e-17
1.5374084359859923e-07,0.0005367589272267694,0.1557,0.0,0.0003302437297080103,0.6423902118675427,0.20067002983590893,1.2839742811924472e-13,5.765656460639545e-18,1.268916536693526e-10,3.1950239764644567e-21,1.8506151557683477e-10,8.259726825309764e-14,1.9467943168185017e-05,2.3610094031086983e-19,9.520069172697572e-23,1.875967968320465e-20,0.0012298659396048099,7.863215637622086e-22,1.0050275151714403e-07,5.659929143506277e-31,4.376560721050073e-28,3.388593421731336e-09,1.0462655397086058e-15,3.994338827154074e-35,6.822617448539934e-12,4.104207749345863e-12,1.1985882900490888e-12,1.2441464629218737e-12,4.448897519049133e-16,1.6622227352842138e-22,2.7908240092249337e-13,6.585388719086112e-19,3.9575449567790706e-15,2.0382405068653964e-16,2.012608564716112e-15,2.929751904728038e-17,9.070688600196974e-17,2.1601326517830708e-15,4.224300129811333e-12,6.012316765086885e-17
