Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CH3X(53),CH4(39),H(23),CH4X(405),CH2OX(174),CHOX(173)
7.371510047515925e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0007759688673786097,0.4515229325666949,1.098899760499357e-40,0.45651698024480136,1.0440282902784127e-17,3.3568937212974845e-25,9.895865375874275e-17,6.91528186729651e-27,-1.0135011905265109e-35,3.9391578785714705e-05,3.3849116387255594e-16,3.813028444629763e-24,2.1096926102939205e-18,3.5104108707048307e-16,2.9029462015437522e-11,5.480150435971483e-23,7.822917309827334e-22,3.331608838989326e-19,4.8336083366290283e-26,1.090569235431344e-30,1.4552213089494778e-31,2.6821060401703314e-28,0.0003836320671957201,1.2698572795194681e-14,8.564174448161642e-25,4.017091617342914e-28,1.7711830526068855e-20,1.6647929672862543e-30,3.4263496030610838e-28,-5.523737150649081e-28,3.3874171648012134e-25,6.956110699334845e-24,-7.16822615208921e-23,5.731643356202043e-33,2.2630857989203032e-32
7.422723605420347e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0007733780770343137,0.45152299833092713,1.112632257487762e-40,0.4565156190853263,1.0506234245628015e-17,3.414446470719445e-25,9.937638405122997e-17,6.983450987681931e-27,-1.0135394683807713e-35,3.9260050321042716e-05,3.423430310568232e-16,3.801661027481664e-24,2.0967738222594236e-18,3.5494598610730208e-16,2.917074991501195e-11,5.54792904949394e-23,7.690793494520458e-22,3.321673176197043e-19,4.8936613735080554e-26,1.0971854882514419e-30,1.4565407197917072e-31,2.708543942476547e-28,0.00038499322652952455,1.2762868669440819e-14,8.630549046423132e-25,4.0350967855037233e-28,1.7856470066097232e-20,1.684008106099147e-30,3.431660809288914e-28,1.5532625581767612e-28,3.3740271975545666e-25,6.993216893067242e-24,-7.168162660247608e-23,5.8021759725037694e-33,2.2909563045959946e-32
7.47393716332477e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0007708045539053163,0.4515230636568653,1.1264224185771335e-40,0.45651426699775327,1.0571781131143564e-17,3.4720873615641985e-25,9.979149065858226e-17,7.052197120145051e-27,-1.0135332218111165e-35,3.912939844463592e-05,3.462084912765362e-16,3.79036129090211e-24,2.083925317822785e-18,3.5886414400335315e-16,2.9311488540490856e-11,5.615970819062072e-23,1.0451547306763193e-21,3.3117966914850773e-19,4.9541697709998165e-26,1.3203819651750583e-30,1.4578123735017116e-31,2.7352056149901514e-28,0.00038634531396182216,1.2826950241528447e-14,8.69680380683672e-25,4.052930165289694e-28,1.8000750091835766e-20,1.7033705240450816e-30,3.4367952595566783e-28,-3.601147846801672e-28,3.360637593197016e-25,7.030193076454693e-24,-7.167976854865778e-23,5.87295388823476e-33,2.318922704752573e-32
7.525150721229192e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0007682481259660554,0.45152312854887583,1.1402698822891131e-40,0.456512923891703,1.0636925783781103e-17,3.529813452252429e-25,1.0020400292319114e-16,7.12168626809701e-27,-1.0134576811761487e-35,3.899961442340201e-05,3.500874540509876e-16,3.77912863805737e-24,2.0711480275301626e-18,3.627954734326367e-16,2.945168142250374e-11,5.684296396154739e-23,3.788540910417369e-22,3.301978858807083e-19,5.015230636538457e-26,8.272683819050924e-31,1.4590372227491986e-31,2.7621554428063013e-28,0.0003876884198719363,1.2890818937312476e-14,8.762937818774562e-25,4.07059207619284e-28,1.8144668429772788e-20,1.7228810499789784e-30,3.4417553624321436e-28,1.3605107643459089e-27,3.3472480822236825e-25,7.067040136499046e-24,-7.168014653128515e-23,5.944011672563795e-33,2.34700085147307e-32
7.576364279133614e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0007657086234694407,0.45152319301126753,1.1541742909613528e-40,0.45651158967799316,1.070167045606582e-17,3.5876218439527994e-25,1.0061393276392932e-16,7.191565705811717e-27,-1.0134116505749655e-35,3.8870689639917e-05,3.5397982979883225e-16,3.767962460889349e-24,2.058442814206742e-18,3.667398879297933e-16,2.95913320541842e-11,5.752839965490008e-23,1.4609286081419734e-21,3.2922191547728034e-19,5.0766169008651637e-26,1.64612051566001e-30,1.4602160928137269e-31,2.7892566195354767e-28,0.00038902263344212464,1.2954476168465932e-14,8.828950202665632e-25,4.088086038394757e-28,1.8288223013032063e-20,1.7425402586428838e-30,3.4465442373994754e-28,-2.35853495824666e-27,3.3338593320264664e-25,7.103758951229319e-24,-7.167508489800814e-23,6.015341194281754e-33,2.375188158792028e-32
7.627577837038037e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0007631858789078025,0.4515232570482922,1.1681352892713465e-40,0.456510264268618,1.076601742641326e-17,3.6455096784514566e-25,1.0102131698341516e-16,7.262499532649629e-27,-1.0134612270919464e-35,3.874261559043919e-05,3.5788552982807417e-16,3.756862197299084e-24,2.0458104757851667e-18,3.706973018784098e-16,2.973044389902503e-11,5.821663143713285e-23,-7.731804128056078e-22,3.282517069819034e-19,5.1386957212604153e-26,-2.1074285647653652e-33,1.4613496632742384e-31,2.816766719084044e-28,0.0003903480426780898,1.301792333267122e-14,8.89484011478612e-25,4.105408122696127e-28,1.843141186552308e-20,1.762349829077336e-30,3.4511628159686793e-28,4.656048842819119e-27,3.3204698647139106e-25,7.140350389826199e-24,-7.168075676654512e-23,6.0868904076891384e-33,2.403462286643487e-32
7.680898996544069e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0007605769438993006,0.45152332327317923,1.18273057773209e-40,0.45650889357615465,1.083259237172964e-17,3.705861163448536e-25,1.0144275564033737e-16,7.336517975165752e-27,-1.013537847731111e-35,3.861016581637922e-05,3.6196602538301886e-16,3.74537449908814e-24,2.0327365031033355e-18,3.7483129766279504e-16,2.987471182490463e-11,5.893453941843837e-23,7.195870127820905e-22,3.2724763828107287e-19,5.203465751993332e-26,1.1192500234442857e-30,1.462482548149813e-31,2.8454730937054894e-28,0.00039171873499719835,1.3083759828755707e-14,8.963310589534338e-25,4.123270044940424e-28,1.858010273859515e-20,1.7831340385282553e-30,3.4557957236427214e-28,4.833385320158209e-31,3.3065307972859347e-25,7.17831326292009e-24,-7.167470336188427e-23,6.161593979834977e-33,2.4329838448997507e-32
7.734220156050101e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0007579858112501176,0.45152338904618855,1.1973864324499285e-40,0.45650753223674884,1.0898741327900906e-17,3.766292585768774e-25,1.0186149090123182e-16,7.411379321405795e-27,-1.013570882783503e-35,3.847861979754529e-05,3.6606077115780985e-16,3.733956954271971e-24,2.0197430850177907e-18,3.7897919822975234e-16,3.001840325219505e-11,5.965560702374579e-23,9.438172855121117e-22,3.262497032485501e-19,5.268860572757947e-26,1.302324525655755e-30,1.4635680958350599e-31,2.874506363080037e-28,0.00039308007425932376,1.3149371658460807e-14,9.031646535024437e-25,4.140950512237252e-28,1.872839308037689e-20,1.8040808555768274e-30,3.4602506197318102e-28,-5.247017750140493e-28,3.2925916261327437e-25,7.216139954135687e-24,-7.167278028244729e-23,6.236548105336999e-33,2.4626025951919316e-32
7.787541315556134e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0007554122993960587,0.451523454371929,1.2121024657729587e-40,0.45650618015500977,1.09644669424458e-17,3.8268008694885563e-25,1.0227756084982277e-16,7.487019897067905e-27,-1.0135596450165928e-35,3.834796831658124e-05,3.701696700420714e-16,3.722608926906025e-24,2.0068309153916988e-18,3.8314090980926702e-16,3.0161521974770864e-11,6.038040467846897e-23,4.451925249878124e-22,3.2525784594203038e-19,5.334906965586918e-26,9.319568369101303e-31,1.4646073365103003e-31,2.90384183072138e-28,0.0003944321558552391,1.3214760352147129e-14,9.099847099973618e-25,4.158452681394054e-28,1.8876280999574316e-20,1.8251901560943428e-30,3.4645304112162983e-28,9.97116956869953e-28,3.2786524321811598e-25,7.25383141467244e-24,-7.167290416317121e-23,6.311811897697497e-33,2.4923404994493896e-32
7.840862475062166e-10,0.0005377589567108198,0.0915567593028733,0.0,0.0007528562292341136,0.45152351925494666,1.22687829396913e-40,0.45650483723683993,1.1029771884401079e-17,3.8873829798803215e-25,1.0269096312902189e-16,7.563204539118493e-27,-1.0135475302711747e-35,3.8218202281089495e-05,3.7429262591198803e-16,3.7113297813890175e-24,1.9940006235802243e-18,3.873163395773373e-16,3.030407174163439e-11,6.110748043150696e-23,9.924179958273775e-22,3.2427201101396163e-19,5.401354485882654e-26,1.3655332376313475e-30,1.465601147311764e-31,2.9333882874685548e-28,0.0003957750738826464,1.3279927424598483e-14,9.167911467772867e-25,4.175778012734131e-28,1.902376471599696e-20,1.8464641227925923e-30,3.468637269332217e-28,-7.8668820247751745e-28,3.264713848347299e-25,7.291388585881028e-24,-7.166972245211524e-23,6.387376344544233e-33,2.5222004776799377e-32
