Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CH3X(53),CH4(39)
1.142452241348645e-21,0.0005284065757894736,0.1557,0.0,0.001555100552545776,0.6423999999999987,0.2019,2.4830638422977147e-174,2.005395738080561e-141,7.481157747025698e-50,6.820625848948329e-181,3.890900390382123e-103,6.708302409581052e-143,2.6447960963408646e-15,1.488170581914918e-98,2.130337009091505e-122,2.0136804513160287e-141,2.5717777065089e-83,3.4822588686372434e-173,2.6613785146556446e-65,4.4925471933925806e-166,8.176885583953165e-182,8.316807858310971e-76,7.615078368421263e-85,5.389610011484807e-192,1.219811982377881e-104,6.7048336195703e-189,4.132493900537288e-26,3.2665096941982917e-82,4.906287454390681e-74,4.60615656708578e-196,7.615078848482065e-85,8.316807837468142e-65,1.488170581914918e-98,8.8555458561115e-119
2.285897056321398e-21,0.0005284065757894736,0.1557,0.0,0.0015551005525431289,0.6423999999999974,0.2019,4.035398189602539e-172,5.143894512658549e-139,1.4968815196698636e-49,3.499031530064501e-178,1.2469518219838789e-101,4.299843544121745e-141,5.291890017253846e-15,2.383659080112561e-97,1.365489400452779e-120,5.1651450269956906e-139,2.0589941440275987e-82,8.928302148485303e-171,1.0652449811167423e-64,5.759275612010403e-164,2.0965042458205827e-179,3.328890565999508e-75,6.098238410544672e-84,1.3824496000657004e-189,3.909241104338177e-103,1.9552011368144038e-186,8.268578151977897e-26,5.230670047024819e-81,3.9280125249361893e-73,4.722862868124641e-193,6.098239179476204e-84,3.328890549312552e-64,2.383659080112561e-97,5.676308681038136e-117
4.572786686266904e-21,0.0005284065757894736,0.1557,0.0,0.0015551005525378347,0.6423999999999948,0.2019,7.35257871291801e-170,1.318128849284399e-136,2.9944130096044385e-49,1.7932651044533882e-175,3.993229924152111e-100,2.7539910611941263e-139,1.0586077859043743e-14,3.815924277803626e-96,8.745773106367694e-119,1.3235743178593694e-136,1.6478474254910731e-81,2.2874025477602916e-168,4.262367470285561e-64,7.37751802720071e-162,5.371177028908455e-177,1.331989834472016e-74,4.8810617602299176e-83,3.54254290343613e-187,1.2518926780656255e-101,6.215981175231986e-184,1.6540746654830916e-25,8.372474007399915e-80,3.1436027485116844e-72,4.839362950217589e-190,4.8810629911880404e-83,1.3319898211173527e-63,3.815924277803627e-96,3.6356427401038593e-115
9.146565946157918e-21,0.0005284065757894736,0.1557,0.0,0.0015551005525272464,0.6423999999999894,0.2019,1.50063188534825e-167,3.376063799672784e-134,5.9894759894735385e-49,9.186026425802163e-173,1.2783109968148572e-98,1.763223430773763e-137,2.117445354247926e-14,6.107133997881596e-95,5.599419794225399e-117,3.3900110319348863e-134,1.3186126108281396e-80,5.85799829120905e-166,1.7052245367958466e-63,9.44683367490299e-160,1.3755491233050365e-174,5.3288266775496215e-74,3.905837323380989e-82,9.073354897782228e-185,4.007553302889358e-100,2.2096471029165881e-181,3.308508366042418e-25,1.3398669770760882e-78,2.5153581022409792e-71,4.957119901399948e-187,3.905839293447911e-82,5.328826570691609e-63,6.107133997881596e-95,2.3277089943502813e-113
1.8294124465939942e-20,0.0005284065757894736,0.1557,0.0,0.0015551005525060696,0.6423999999999789,0.2019,3.3528501950743588e-165,8.644837826725164e-132,1.1979601949211533e-48,4.7043984729797676e-170,4.0913577034194217e-97,1.1286767545545925e-135,4.235120490877319e-14,9.77273512965697e-94,3.584307496294381e-115,8.680551476310045e-132,1.0552600541821958e-79,1.4999340815735966e-163,6.821453283960216e-63,1.2094248223217898e-157,3.522078509969798e-172,2.1317041512882325e-73,3.1250638906813356e-81,2.3233471353242634e-182,1.2826561077765115e-98,8.820833118962504e-179,6.617375767115957e-25,2.144000621997877e-77,2.012474799504963e-70,5.076914286694839e-184,3.1250670432144595e-81,2.1317040657930465e-62,9.77273512965697e-94,1.4900205248142584e-111
3.658924150550399e-20,0.0005284065757894736,0.1557,0.0,0.001555100552463716,0.6423999999999577,0.2019,7.957482078545613e-163,2.2133475482837656e-129,2.3959853868686703e-48,2.4089454416122144e-167,1.3093555053315627e-95,7.224209996063849e-134,8.470470763905266e-14,1.5637421418343457e-92,2.2941723516327343e-113,2.2224913539097997e-129,8.451115276776425e-79,3.840191580846303e-161,2.7286923447976167e-62,1.548208453752494e-155,9.017366912047707e-170,8.527163577907127e-73,2.500206843159681e-80,5.948491783290626e-180,4.1048790102966477e-97,3.878019176996413e-176,1.3235110569082582e-24,3.430560645972998e-76,1.6100518682721633e-69,5.199178013783244e-181,2.500211887549849e-80,8.527162893902655e-62,1.5637421418343457e-92,9.537042192183323e-110
7.31794755846321e-20,0.0005284065757894736,0.1557,0.0,0.001555100552379009,0.6423999999999154,0.2019,1.9569933503122547e-160,5.666505796249564e-127,4.792035770763378e-48,1.2334533710460973e-164,4.1901250518652634e-94,4.623704783492925e-132,1.6941171309037793e-13,2.502067382499175e-91,1.4683371165891614e-111,5.6899153258588665e-127,6.788682141042419e-78,9.831318654160046e-159,1.0914991444814232e-61,1.9817927480074853e-153,2.3085463823698175e-167,3.4109348268508893e-72,2.0002247417790503e-79,1.5229042132709346e-177,1.3136200446173457e-95,1.8222213977831866e-173,2.6470580172294017e-24,5.488989152410447e-75,1.2880650229516139e-68,5.324164344691666e-178,2.0002328130612453e-79,3.4109342796175035e-61,2.5020673824991745e-91,6.1039896168751596e-108
1.463599437428883e-19,0.0005284065757894736,0.1557,0.0,0.0015551005522095951,0.6423999999998307,0.2019,4.907307075701798e-158,1.4506642244650812e-124,9.584136538551485e-48,6.315450319962985e-162,1.3408660134098391e-92,2.9592296426190997e-130,3.3882572395609386e-13,4.003360051887865e-90,9.39754357878086e-110,1.4566572234864073e-124,5.519423746966076e-77,2.516855469118168e-156,4.366040990847522e-61,2.536732627147119e-151,5.909967223320125e-165,1.3643878099406421e-71,1.600198657660922e-78,3.8987388799549126e-175,4.2036656425040126e-94,8.91263309300984e-171,5.294151937582963e-24,8.782342403677747e-74,1.0304529756929213e-67,5.452033731135112e-175,1.6002115718809583e-78,1.364387372121831e-60,4.0033600518878645e-90,3.906632441161243e-106
2.9272088005940073e-19,0.0005284065757894736,0.1557,0.0,0.0015551005518707672,0.6423999999996612,0.2019,1.2431213292466343e-155,3.7137280988771307e-122,1.9168338074122474e-47,3.233534790085545e-159,4.2907872798383884e-91,1.8939145250399366e-128,6.776537455397876e-13,6.405380353454291e-89,6.014451876097589e-108,3.729070287646912e-122,4.6984792166663514e-76,6.44311188484101e-154,1.7464252784955173e-60,3.2469982878673164e-149,1.5129424051044023e-162,5.457578998082987e-71,1.2801587231282256e-77,9.980845815006754e-173,1.3451780324302207e-92,4.45750993190327e-168,1.0588339777135183e-23,1.4051351072486562e-72,8.243492373497038e-67,5.582895447718506e-172,1.2801793858940817e-77,5.457575495081225e-60,6.405380353454288e-89,2.5002555391000093e-104
5.854427526924255e-19,0.0005284065757894736,0.1557,0.0,0.0015551005511931111,0.6423999999993224,0.2019,3.1654745628686704e-153,9.50706721997891e-120,3.833674114524353e-47,1.6555565037107652e-156,1.373038138422192e-89,1.21209338723432e-126,1.355309788116222e-12,1.024849191502166e-87,3.849211378955724e-106,9.546342890468994e-120,4.664050347675825e-75,1.6493874158267502e-151,6.985718874774877e-60,4.156033381656384e-147,3.873015665687963e-160,2.1830371511997965e-70,1.0241144996201081e-76,2.5550758498237813e-170,4.304526462902164e-91,2.256229981002888e-165,2.117671545162001e-23,2.248067774059495e-71,6.594524923144626e-66,5.716824196073968e-169,1.024147559669252e-76,2.183034348101283e-59,1.0248491915021643e-87,1.6001483940842995e-102
1.170886497958475e-18,0.0005284065757894736,0.1557,0.0,0.001555100549837799,0.6423999999986447,0.2019,8.081528752755003e-151,2.433741971545057e-117,7.667354728740197e-47,8.476215448195804e-154,4.3935952975065134e-88,7.757176206773393e-125,2.7106218709052777e-12,1.6397109549830498e-86,2.463424946172435e-104,2.4437962573103257e-117,6.6276088738385444e-74,4.2221417345060115e-149,2.7942910995116317e-59,5.319356496969261e-145,9.914232369165903e-158,8.732159718315908e-70,8.192667729141075e-76,6.540813156968187e-168,1.3774087296421927e-89,1.149614624902032e-162,4.235346678211121e-23,3.596416489632738e-70,5.275166154241884e-65,5.853858949870698e-166,8.193196674525755e-76,8.73213728247398e-59,1.6397109549830394e-86,1.024066317750424e-100
2.3417739884905746e-18,0.0005284065757894736,0.1557,0.0,0.0015551005471271747,0.6423999999972894,0.2019,2.065822462906535e-148,6.2299994380874235e-115,1.5334715957138423e-46,4.339557890632411e-151,1.4058632282015453e-86,4.964287221568036e-123,5.421246027028135e-12,2.623376398025067e-85,1.5764949271868022e-102,6.255736798224919e-115,1.4567516011352359e-72,1.0807149350879315e-146,1.1177171481357085e-58,6.807808374131875e-143,2.5376799940110937e-155,3.49286612928763e-69,6.553717547170638e-75,1.674345876849433e-165,4.4074343283240436e-88,5.882857538384433e-160,8.470696936917984e-23,5.752678916706442e-69,4.219397661160275e-64,5.993982579305521e-163,6.554563807815291e-75,3.492848162967915e-58,2.623376398025002e-85,6.55362805296681e-99
4.6835489695547736e-18,0.0005284065757894736,0.1557,0.0,0.0015551005417059264,0.6423999999945788,0.2019,5.283467406924724e-146,1.5946807471032154e-112,3.066943841380101e-46,2.2215765316339522e-148,4.4981940745390744e-85,3.1767457201934678e-121,1.084249430145281e-11,4.196880045304603e-84,1.0088303223944333e-100,1.6012686674806724e-112,4.128455843229325e-71,2.7658391116642473e-144,4.470870003827126e-58,8.711498045624922e-141,6.494585679109792e-153,1.397146934072277e-68,5.2422997678394725e-74,4.285789499925223e-163,1.4102008211956339e-86,3.022569928422648e-157,1.6941397424766185e-22,9.199198545967259e-68,3.37433854420139e-63,6.137070921019665e-160,5.243653616443025e-74,1.3971325327987213e-57,4.196880045304183e-84,4.193805197117564e-97
9.367098931683172e-18,0.0005284065757894736,0.1557,0.0,0.00155510053086343,0.6423999999891575,0.2019,1.3513418341622641e-143,4.081357745062606e-110,6.1338883326590725e-46,1.13716188133484e-145,1.4390569732760671e-83,2.0326056091237483e-119,2.16849906990178e-11,6.713332340380755e-83,6.454889135526766e-99,4.098218478080792e-110,1.2772504748880178e-69,7.076492192543212e-142,1.7883482912129905e-57,1.1144317590968832e-138,1.6616526223906824e-150,5.588589269671126e-68,4.192758276615571e-73,1.0968862296561902e-160,4.5114978429391194e-85,1.658194248445233e-154,3.3882798282200525e-22,1.4702448325591876e-66,2.6975838886812454e-62,6.283458598771958e-157,4.1949238938896334e-73,5.588473608066034e-57,6.713332340378072e-83,2.6833710715444538e-95
1.8734198855939965e-17,0.0005284065757894736,0.1557,0.0,0.001555100509178438,0.642399999978315,0.2019,3.454896098982978e-141,1.0443024486878787e-107,1.2267777315002838e-45,5.81934536539266e-143,4.602644715061364e-82,1.3002124423361123e-117,4.3369982889008645e-11,1.0735969088128912e-81,4.129048398618539e-97,1.0486165712419618e-107,4.044434810575637e-68,1.809507028071702e-139,7.153393990787687e-57,1.4248355954761363e-136,4.248912786570428e-148,2.235436944586064e-67,3.3524762136956125e-72,2.8066152710682105e-158,1.4429464080210059e-83,9.130429800859345e-152,6.776559952402092e-22,2.3471976953298334e-65,2.155053434608814e-61,6.431030089459443e-154,3.355939471659542e-72,2.2353436930737953e-56,1.073596908811175e-81,1.7165069033143004e-93
3.746839870445355e-17,0.0005284065757894736,0.1557,0.0,0.0015551004658084558,0.64239999995663,0.2019,8.823563637094209e-139,2.6707285961290167e-105,2.4535555278833678e-45,2.976514547313174e-140,1.471352063774777e-80,8.312983833700669e-116,8.673996484842061e-11,1.71604119031616e-80,2.6399309500493407e-95,2.681761370242581e-105,1.2859067172112767e-66,4.62174017515008e-137,2.861358256716509e-56,1.8196089865128447e-134,1.0852098916678574e-145,8.941765293488011e-67,2.679215965117126e-71,7.177706208814424e-156,4.6127436365229005e-82,5.328637034509167e-149,1.3553120011546874e-21,3.738976696234125e-64,1.7192398628962048e-60,6.578764683231557e-151,2.6847516499522593e-71,8.94100772625071e-56,1.7160411903051876e-80,1.0974769595695071e-91
5.620259855296714e-17,0.0005284065757894736,0.1557,0.0,0.0015551004224384766,0.642399999934945,0.2019,6.736137148682744e-138,2.0493968024754457e-104,3.680333324180784e-45,2.5772290652747198e-139,7.036545171147323e-80,4.744691194794662e-115,1.301099443872452e-10,6.4891130725338126e-80,1.5067582395174176e-94,2.0578628001679508e-104,5.859091631975744e-66,3.528393739208792e-136,6.080387550490516e-56,1.2119355164571661e-133,8.284815730530693e-145,1.9001290184949163e-66,7.949423561682824e-71,5.5078461065297895e-155,2.2059831108809263e-81,4.1686676274045326e-148,2.0329679881472374e-21,1.3732748122106286e-63,4.908086504162543e-60,6.348156975846675e-150,7.970356443326896e-71,1.8999101951669635e-55,6.489113072471536e-80,6.229133970512961e-91
7.493679840148073e-17,0.0005284065757894736,0.1557,0.0,0.0015551003790684995,0.64239999991326,0.2019,3.113307337328737e-137,1.0481716250334652e-103,4.907111120392534e-45,1.4236216385855987e-138,2.3279454239560746e-79,1.7691619930320856e-114,1.7347992150546472e-10,1.68840690441403e-79,5.618277816550849e-94,1.0525015708854258e-103,1.7434069741684524e-65,1.630764373095552e-135,1.0372428275144192e-55,5.051049370566583e-133,3.8290841937708143e-144,3.2414051973968335e-66,1.7312521584776317e-70,2.8170076663115725e-154,7.29819536638624e-81,2.550738696736299e-147,2.7106239562178588e-21,3.4762504366179674e-63,1.033756408527927e-59,3.7783191990746664e-149,1.736698700028973e-70,3.2409385210258753e-55,1.6884069043900875e-79,2.394824956703675e-90
1.1240519809850792e-16,0.0005284065757894736,0.1557,0.0,0.001555100292328551,0.64239999986989,0.2019,2.870141765210987e-136,1.5010748446096166e-102,7.360666712614988e-45,2.2226129113262e-137,1.3571257664044088e-78,1.2104982174906133e-113,2.602198700608226e-10,6.191912050845741e-79,3.844144546589128e-93,1.5072756763806293e-102,7.609361247767553e-65,1.503406461842806e-134,2.1474805922100806e-55,4.023554200767456e-132,3.530015861628801e-143,6.710964203212637e-66,5.021126244816108e-70,4.0342040695784815e-153,4.254639407769041e-80,5.3876679835786545e-146,4.0659358479504996e-21,1.2117373812345317e-62,2.8167022861953535e-59,6.434832072726183e-148,5.041100405808486e-70,6.709658582951837e-55,6.191912050663644e-79,1.8213600398503755e-89
1.498735977955351e-16,0.0005284065757894736,0.1557,0.0,0.0015551002055886113,0.6423999998265201,0.2019,1.3358728399642064e-135,7.548334063323175e-102,9.814222304522436e-45,1.258259639991213e-136,4.513099787435894e-78,4.5928291148921373e-113,3.469598097145765e-10,1.6047015711723807e-78,1.4585315065688696e-92,7.579515417101834e-102,2.21216744595982e-64,6.997459735126621e-134,3.652304133915968e-55,1.702699535997061e-131,1.6430027617444897e-142,1.1413688365605586e-65,1.0972552449487329e-69,2.028646680986201e-152,1.4148734011565074e-79,3.259355156453527e-145,5.421247670100474e-21,3.019731199780973e-62,5.8808868314512905e-59,3.999316585408366e-147,1.1024317674701995e-69,1.1410897741611767e-54,1.604701571103647e-78,6.874856369331432e-89
1.8734199749256229e-16,0.0005284065757894736,0.1557,0.0,0.0015551001188486811,0.6423999997831501,0.2019,4.938760912055343e-135,3.083183946774445e-101,1.226777789609239e-44,5.539962139191575e-136,1.2162197475971638e-77,1.3912698184082012e-112,4.3369973983077647e-10,3.506595068075121e-78,4.4182151451902574e-92,3.095920170428732e-101,5.359256024377708e-64,2.5869931769127713e-133,5.5798994259054364e-55,5.729712226297476e-131,6.074221469534681e-142,1.7437722250154123e-65,2.0570002149492183e-69,8.286184511599991e-152,3.8128935302647335e-79,1.6964721124210817e-144,6.776559417697594e-21,6.3893796425883165e-62,1.0682680606514725e-58,1.9055096772948682e-146,2.0683119577990107e-69,1.743253191314484e-54,3.506595067864968e-78,2.101965261533214e-88
2.6227879688661663e-16,0.0005284065757894736,0.1557,0.0,0.0015550999453688502,0.6423999996964102,0.2019,1.083636073351482e-133,7.827392639319752e-100,1.7174889078198688e-44,2.394869427467028e-134,7.153240388469542e-77,1.2423458240309172e-111,6.071795708506183e-10,1.3460866840607697e-77,3.945280319785339e-91,7.85972466769745e-100,2.749100468030762e-63,5.676337218466437e-132,1.0729973909109393e-54,7.90965134584038e-130,1.3327344417548021e-140,3.3533256380362213e-65,5.615855068848389e-69,2.1036369899480337e-150,2.242566705406258e-78,7.500777261700445e-143,9.487182684550353e-21,2.3203789104662142e-61,2.8039334377165915e-58,1.4358196939342903e-144,5.659277804907414e-69,3.3518832929913125e-54,1.3460866838752069e-77,1.8560256049863386e-87
3.37215596280671e-16,0.0005284065757894736,0.1557,0.0,0.001555099771889058,0.6423999996096702,0.2019,6.602298527816482e-133,4.738250219956618e-99,2.2082000258934421e-44,1.7229184519370711e-133,2.408880201421409e-76,5.182631996888317e-111,7.806593631316119e-10,3.569696279010785e-77,1.645832611487509e-90,4.757821634719436e-99,8.797090679993714e-63,3.4584538590403803e-131,1.7597180831823698e-54,4.01711423251475e-129,8.11985232412953e-140,5.499675400162269e-65,1.181529199585193e-68,1.2734180328471594e-149,7.551925548650856e-78,5.788438819049923e-142,1.2197805648604577e-20,5.98185097922058e-61,5.782380584897297e-58,1.2056218291917461e-143,1.1930445092267707e-68,5.496552596089349e-54,3.569696278244848e-77,7.661022797397796e-87
4.870891950687797e-16,0.0005284065757894736,0.1557,0.0,0.0015550994249295895,0.6423999994361905,0.2019,1.861605565804688e-131,1.2948394895351657e-97,3.1896222616295385e-44,7.91098529056918e-132,1.6402366094380022e-75,5.551563159841942e-110,1.1276188314875502e-09,1.6129719901802048e-76,1.7629920696649398e-89,1.3001872308356304e-97,5.774908042369077e-62,9.751659086405087e-130,3.6482435113437104e-54,6.885867940719226e-128,2.289303706374703e-138,1.1403257193646048e-64,3.587123000880625e-68,3.479894103485201e-148,5.142198573758969e-77,3.1693764149082604e-140,1.7619050668445408e-20,2.6020799698775165e-60,1.7159596333326385e-57,9.479075842646194e-142,3.6391551373938064e-68,1.1392987431962949e-53,1.6129719893749066e-76,8.05474555541661e-86
7.868363926449972e-16,0.0005284065757894736,0.1557,0.0,0.0015550987310111177,0.6423999990892312,0.2019,1.561387107320963e-129,9.364197023747339e-96,5.152466731457935e-44,1.1207970155489363e-129,2.045926182897559e-74,1.2839068380006622e-108,1.8215373033413718e-09,1.1955938213535736e-75,4.0772578496003397e-88,9.402861048587944e-96,7.268622611929846e-61,8.179075661254923e-128,9.485784902383055e-54,2.985932523958531e-126,1.9196909634375383e-136,2.966120236688351e-64,1.540491649941945e-67,2.5165970746249924e-146,6.414044372258217e-76,5.146098473994255e-138,2.8461537075087215e-20,1.838601154585342e-59,7.180107789576416e-57,2.6516637455571496e-139,1.579059858809588e-67,2.9609086055496353e-53,1.1955938195660959e-75,1.7878853792459343e-84
1.3863307877974322e-15,0.0005284065757894736,0.1557,0.0,0.0015550973431760335,0.6423999983953136,0.2019,2.1941481324042834e-127,1.2024803927884669e-93,9.078155664542754e-44,2.8671642904417307e-127,3.8388622705262726e-73,4.714814446744669e-107,3.2093723873290894e-09,1.2457446001596807e-74,1.4972642335683617e-86,1.2074426058892535e-93,1.3562512283335021e-59,1.1493718682174193e-125,2.940493458959064e-53,2.1108703566525667e-124,2.6964297897746704e-134,9.207665025518264e-64,8.525442230505213e-67,3.231522648861116e-144,1.2034936883668252e-74,2.3988109534617535e-135,5.014649535634935e-20,1.780347834626249e-58,3.8270860076321147e-56,1.353901235180501e-136,8.927304036645472e-67,9.169277698223039e-53,1.2457445937476936e-74,6.413484680951627e-83
