Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CH3X(53),CH4(39),H(23),CH4X(405)
6.4416483792805404e-09,0.0027149456784039327,0.0915567593028733,0.0,0.0028939016492424115,0.45151025286787766,1.2342086687010234e-39,0.45438489600291526,1.7254953640004488e-17,-1.399527196529842e-17,1.3909828059681207e-16,7.127878594623098e-21,3.007660056720191e-31,6.475097625419026e-05,1.8502317082909085e-14,-2.5050462808790823e-22,1.8611028604341233e-19,1.851624065461574e-14,1.704865201888521e-10,1.7448148931751398e-17,1.2048940172278256e-21,1.0670314983726526e-19,5.621797555449254e-20,3.779317701182861e-24,6.332287889081479e-32,2.6480030658154823e-22,0.002515716167607071,9.4145268585093e-14,3.1625637586905023e-23,4.8614950465782154e-26,1.7801136059127606e-19,3.949357014854439e-24,-7.470017880131788e-25,-7.575037711051287e-26,-3.8755070692873085e-23,8.900727754578678e-23,-1.3609639404639827e-21
6.461621437265946e-09,0.0027149456784039327,0.0915567593028733,0.0,0.0028883000870501014,0.45151031555221066,1.2401835078220945e-39,0.45438203253738424,1.7277512861252783e-17,-1.3995245832331386e-17,1.3927123830012827e-16,7.179701987903557e-21,3.004540864814992e-31,6.462560758785345e-05,1.8589072408130634e-14,-1.0639094644140903e-21,1.8589664607980422e-19,1.8603017484819373e-14,1.706901548198245e-10,1.7447918995309907e-17,1.2068905751190746e-21,1.0650373434366991e-19,5.639237497959334e-20,1.3129949049682103e-24,6.327891306621947e-32,2.667249276684411e-22,0.002518579632934404,9.433029243199413e-14,3.1712356815133455e-23,4.853866950185589e-26,1.784425662060062e-19,3.963478775754849e-24,-7.442450176832474e-25,-1.4481117100407899e-28,-3.8853754809950136e-23,8.916472801292056e-23,-1.358119229774574e-21
6.481594495251352e-09,0.0027149456784039327,0.0915567593028733,0.0,0.002882720403226305,0.45151037799174915,1.2461657573754838e-39,0.4543791802558324,1.7298850383577997e-17,-1.3995219803462544e-17,1.3944355459625542e-16,7.228782014750078e-21,3.00640369256016e-31,6.450072851049972e-05,1.8675926173619283e-14,4.438199313400578e-22,1.8450180026662161e-19,1.8689892673614724e-14,1.708927104817668e-10,1.7447689665053177e-17,1.2090622361995094e-21,1.0630507096269143e-19,5.656988537140178e-20,-1.748633058049022e-24,6.323482733067094e-32,2.6854764282689663e-22,0.0025214319142835254,9.451495851784564e-14,3.179891099347112e-23,4.8462638991802156e-26,1.788726349329832e-19,3.981173751094219e-24,-7.415036030967621e-25,5.766179182197481e-26,-3.8951945445419935e-23,8.932179659143434e-23,-1.3555013210174405e-21
6.501567553236757e-09,0.0027149456784039327,0.0915567593028733,0.0,0.0028771624701849673,0.45151044018792064,1.252155390193891e-39,0.45437633909303937,1.732088902419826e-17,-1.3995193878049235e-17,1.3961522985538482e-16,7.27583854276775e-21,3.0105257058657725e-31,6.437633616700093e-05,1.8762877995105474e-14,3.7168728794246675e-22,1.83904429829612e-19,1.877686583716467e-14,1.7109419175767766e-10,1.7447460938360253e-17,1.2082136361849054e-21,1.0610715545945412e-19,5.6740152082145e-20,4.172446419694336e-24,6.319061841668351e-32,2.702952055898081e-22,0.002524273076875023,9.469926823852804e-14,3.188530044933164e-23,4.8386857685209796e-26,1.7930157043785493e-19,4.00044635693156e-24,-7.387774303021646e-25,-8.626178248380407e-26,-3.9049795393335073e-23,8.947848495495353e-23,-1.3529328815404097e-21
6.521540611222163e-09,0.0027149456784039327,0.0915567593028733,0.0,0.00287162616133092,0.4515105021421418,1.2581523790671007e-39,0.45437350898429085,1.734314152217237e-17,-1.3995168055454103e-17,1.397862604110042e-16,7.325322114552688e-21,3.0122099000142748e-31,6.425242772441637e-05,1.884992749075176e-14,-2.969317749234175e-22,1.8360886784968166e-19,1.886393659387288e-14,1.7129460320440459e-10,1.7447232811832825e-17,1.211050288918101e-21,1.0590998362894734e-19,5.691819553042167e-20,-7.783258243452375e-25,6.314629617099917e-32,2.7213293895303048e-22,0.002527103185422952,9.488322298179042e-14,3.1971525511371014e-23,4.8311324338836956e-26,1.7972937636641287e-19,4.0179512582607855e-24,-7.360663864043942e-25,3.7007580687980157e-26,-3.914760085766229e-23,8.963479476654009e-23,-1.3505194492335296e-21
6.5415136692075685e-09,0.0027149456784039327,0.0915567593028733,0.0,0.0028661113510502763,0.4515105638558179,1.2641566962848028e-39,0.4543706898653747,1.736477154557707e-17,-1.399514233504498e-17,1.3995664899680598e-16,7.375881173309205e-21,3.0112215438381527e-31,6.412900037176662e-05,1.8937074280648903e-14,1.2325584961711443e-22,1.8276658688981167e-19,1.8951104564360764e-14,1.7149394935690617e-10,1.7447005282288487e-17,1.211944103175844e-21,1.0571355129809431e-19,5.70888795582246e-20,7.006234740873081e-27,6.310186429057522e-32,2.74010615488972e-22,0.0025299223041397464,9.506682412731268e-14,3.20575865094435e-23,4.8236037717269724e-26,1.8015605630754839e-19,4.033560798142077e-24,-7.333703595534174e-25,1.2030783583084683e-26,-3.9245380287297526e-23,8.979072767877956e-23,-1.3478324401232007e-21
6.58145978517838e-09,0.0027149456784039327,0.0915567593028733,0.0,0.0028551457286035134,0.45151068656710297,1.2761872060393822e-39,0.4543650843426682,1.740816654753274e-17,-1.3995091198282004e-17,1.402955038613674e-16,7.485559373881253e-21,2.9947123060135816e-31,6.388357780087358e-05,1.911165823511019e-14,2.9611130400028616e-22,1.813752015104386e-19,1.9125730640151068e-14,1.718894637952289e-10,1.7446552001092e-17,1.2140980013926025e-21,1.053228886010276e-19,5.74206958266664e-20,4.721874565779486e-25,6.301266820030355e-32,2.7808390676925676e-22,0.002535527826450472,9.543297110388618e-14,3.2229217638833585e-23,4.808619975079055e-26,1.810060525937242e-19,4.054569121733963e-24,-7.280229147439126e-25,3.200340143825542e-29,-3.944121803850157e-23,9.010146936369204e-23,-1.3415695087565183e-21
6.621405901149191e-09,0.0027149456784039327,0.0915567593028733,0.0,0.002844264617201348,0.45151080833280427,1.288246699521826e-39,0.45435952202107,1.7451578812070406e-17,-1.399504046280557e-17,1.4063185696632252e-16,7.592763012113289e-21,2.9833649905152673e-31,6.364004639754213e-05,1.9286626862931354e-14,-1.5352963486972312e-22,1.8027293251351424e-19,1.930074107320551e-14,1.722807708868032e-10,1.744610107438839e-17,1.2173164012383209e-21,1.0493513460531315e-19,5.775676944656402e-20,-2.439411548517504e-24,6.292302856103995e-32,2.820652556444092e-22,0.0025410901476571922,9.579772004666958e-14,3.240019649868033e-23,4.7937334084641986e-26,1.8185158779932205e-19,4.079537081699787e-24,-7.2273422152253395e-25,7.795417121717675e-26,-3.9635866597484314e-23,9.041072302410032e-23,-1.3354914852671543e-21
6.661352017120002e-09,0.0027149456784039327,0.0915567593028733,0.0,0.0028334670463043546,0.45151092916378105,1.3003349631125285e-39,0.45435400240445095,1.7494164073511445e-17,-1.399499012374134e-17,1.4096575082548133e-16,7.691731261742165e-21,2.985425050641221e-31,6.33983844431477e-05,1.9461977203345607e-14,3.3984559549642783e-22,1.7874220336781272e-19,1.9476132906613022e-14,1.7266790605854994e-10,1.7445652483219664e-17,1.2177369105449489e-21,1.0455025703185792e-19,5.809141343761179e-20,3.2323607393180835e-24,6.283299164016003e-32,2.857407125987742e-22,0.0025466097638889565,9.61610817089249e-14,3.257052576679437e-23,4.778943114956508e-26,1.8269269060937083e-19,4.1141841938586645e-24,-7.175034215243079e-25,-6.732255054767979e-26,-3.9828813996449493e-23,9.071850151221916e-23,-1.3300247940037314e-21
6.7012981330908135e-09,0.0027149456784039327,0.0915567593028733,0.0,0.002822752060188721,0.45151104907072703,1.312451787861872e-39,0.45434852500425543,1.753682896565254e-17,-1.3994940176293798e-17,1.4129719959205223e-16,7.789291532612636e-21,2.9915933126708996e-31,6.315857055053429e-05,1.9637706330177244e-14,-9.076674639674267e-24,1.7766521735917282e-19,1.9651903217369277e-14,1.7305090435230226e-10,1.7445206207305167e-17,1.220763188016504e-21,1.0416822407962204e-19,5.843392624293216e-20,7.8697859684909485e-25,6.274258269822751e-32,2.8936390053593618e-22,0.0025520871637012372,9.652306672066944e-14,3.274020813645085e-23,4.764248150200084e-26,1.835293898027895e-19,4.151678267783888e-24,-7.1232967202173105e-25,-2.802512634129918e-27,-4.0020728479422486e-23,9.102481752070202e-23,-1.325109706995712e-21
