Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51)
2.4987930746717625e-21,0.0005394621125486658,0.0915567593028733,0.0,0.0015876369972210543,0.4515426283560978,8.667664941554147e-80,0.45690061234102414,1.3591326048874253e-68,7.978623373574645e-79,1.570557799066599e-44,3.480035056411032e-105,1.0173702884003298e-143,4.10841235665615e-15,1.013387498836349e-38,2.5309016932803806e-50,6.88499333275588e-58,1.0133874988388572e-38,1.5380157765880084e-22,2.1230401732864688e-52,3.679543732492892e-39,1.5886852984382829e-37,1.0212426753954154e-65,2.146441497033668e-87,6.302045606573241e-79,1.2939026085032267e-102,2.7803928898714465e-15,6.419394307301304e-26,1.3614061964403456e-53,6.04851676952918e-67,3.115917244157852e-59
4.998671165876165e-21,0.0005394621125486658,0.0915567593028733,0.0,0.0015876369972113809,0.45154262835609577,3.468194992270281e-79,0.45690061234102136,4.3518794480614446e-67,2.5547342886034234e-77,3.1417975598426804e-44,8.918089864994375e-103,1.0433815722023282e-140,8.218608652610102e-15,4.0548699936619924e-38,2.0254905411581444e-49,1.102239600233141e-56,4.054869993682067e-38,3.07669938459027e-22,1.6990770624404658e-51,1.4722964866443608e-38,6.356810531515497e-37,1.634938268626813e-64,1.3748371362576295e-85,5.044190735470565e-78,4.146729420407523e-101,5.5619930714431734e-15,1.2841576019807594e-25,1.0895384547170129e-52,9.681564524808587e-66,1.246772764668766e-58
9.998427348284972e-21,0.0005394621125486658,0.0915567593028733,0.0,0.0015876369971920342,0.45154262835609166,1.387503832224795e-78,0.4569006123410158,1.3930263884083948e-65,8.177668131533289e-76,6.284277081511623e-44,2.2842082243711578e-100,1.0692391833347257e-137,1.643900124431758e-14,1.622212034719529e-37,1.6207001659030442e-48,1.764096053566021e-55,1.6222120347355914e-37,6.154066600556278e-22,1.3595193007916512e-50,5.890142335147903e-38,2.5431381267121037e-36,2.616660723178435e-63,8.80252158964622e-84,4.036374536616107e-77,1.3355024184940783e-99,1.1125193434450966e-14,2.568593944466354e-25,8.717958841661098e-52,1.549365085622979e-64,4.987902908316244e-58
1.9997939713102585e-20,0.0005394621125486658,0.0915567593028733,0.0,0.0015876369971533405,0.45154262835608344,5.550467032338756e-78,0.4569006123410047,4.458364469032679e-64,2.6172554049855793e-74,1.2569236126719214e-43,5.8490744348580766e-98,1.095317735711542e-134,3.287978642693086e-14,6.489376250860623e-37,1.296683227236058e-47,2.822963880768925e-54,6.489376250989136e-37,1.2308801032334215e-21,1.087717913850964e-49,2.3562468372085085e-37,1.0173380294778319e-35,4.187262463870717e-62,5.634748808970478e-82,3.229508456588095e-76,4.480611590609562e-98,2.2251594159923878e-14,5.137466629374886e-25,6.975022601581386e-51,2.479234914040059e-63,1.9953235449856238e-57
3.9996964442737813e-20,0.0005394621125486658,0.0915567593028733,0.0,0.0015876369970759534,0.451542628356067,2.2202771588860282e-77,0.45690061234098245,1.4267854180700355e-62,8.375850854038494e-73,2.5139154247055508e-43,1.4975522170368436e-95,1.1218159119614869e-131,6.576135678895068e-14,2.595856126393365e-36,1.0373958032996364e-46,4.517070306790976e-53,2.5958561264961787e-36,2.4618269895273805e-21,8.70214365536874e-49,9.4253560630559e-37,4.0695176020008504e-35,6.700096587278166e-61,3.606595129263208e-80,2.583770305162516e-75,1.961878656827199e-96,4.4504395608699044e-14,1.0275211998941335e-24,5.580272268246426e-50,3.9669730927932265e-62,7.981618961678932e-57
7.999501390200826e-20,0.0005394621125486658,0.0915567593028733,0.0,0.001587636996921179,0.45154262835603415,8.881289396135466e-77,0.45690061234093793,4.565887239917441e-61,2.680367845196907e-71,5.027899096649623e-43,3.8339602254109733e-93,1.1488413484381463e-128,1.3152449750016338e-13,1.0383635760566773e-35,8.299363014902845e-46,7.227574706492008e-52,1.0383635761389305e-35,4.923720761868783e-21,6.961859754011404e-48,3.77020728489213e-36,1.627840074693991e-34,1.0720511423114592e-59,2.308325366357923e-78,2.0670816735924984e-74,1.9794557729498798e-94,8.900999849756671e-14,2.0550702737071754e-24,4.464306630754303e-49,6.347303845327233e-61,3.1927125653119665e-56
1.5999111282054917e-19,0.0005394621125486658,0.0915567593028733,0.0,0.0015876369966116304,0.45154262835596837,3.5525521204147296e-76,0.45690061234084894,1.4611116351577252e-59,8.577292890171001e-70,1.0055867206584233e-42,9.81514831668825e-91,1.1764534858832152e-125,2.630507788712812e-13,4.153496554908855e-35,6.639568563900236e-45,1.1564328433034617e-50,4.1534965555668866e-35,9.847508305565525e-21,5.569521236188498e-47,1.5080887784682026e-35,6.5114258590422264e-34,1.7153025555582426e-58,1.4773496272267025e-76,1.6536916134585214e-73,4.093668345912056e-92,1.780212042405715e-13,4.110168420932269e-24,3.571460253555944e-48,1.015576881607251e-59,1.277098097368382e-55
3.1998331065763095e-19,0.0005394621125486658,0.0915567593028733,0.0,0.001587636995992533,0.45154262835583686,1.4210287910622665e-75,0.4569006123406709,4.675600900314878e-58,2.744728485998835e-68,2.0111815683303847e-42,2.5126639821505884e-88,1.2046838211944e-122,5.261033414082861e-13,1.6614070715834992e-34,5.311685336959743e-44,1.85030898194007e-49,1.6614070721099284e-34,1.969508338901476e-20,4.4555911634342156e-46,6.032309983726023e-35,2.6045830492407385e-33,2.744475636884269e-57,9.454951924865314e-75,1.3229645020313812e-72,1.0168103423042108e-89,3.5604361558765856e-13,8.22036471377849e-24,2.8571412584735517e-47,1.6249184697300534e-58,5.108420939778506e-55
6.399677063317946e-19,0.0005394621125486658,0.0915567593028733,0.0,0.001587636994754338,0.4515426283555738,5.684152505245724e-75,0.45690061234031487,1.4961988384422213e-56,8.782970684249094e-67,4.022390874690026e-42,6.4321925689319285e-86,1.2335427053631582e-119,1.0522084656613726e-12,6.6456451811788745e-34,4.249359223687177e-43,2.9605066221634264e-48,6.645645185390334e-34,3.939023354013623e-20,3.5643998848521014e-45,2.4128694818973333e-34,1.0418354356364902e-32,4.391074150180017e-56,6.050944513160264e-73,1.0583806483817664e-71,2.5929706039437037e-87,7.120884377261427e-13,1.6440757293055078e-23,2.2856495532896057e-46,2.5998302254541664e-57,2.0433817968010794e-54
1.2799364976801218e-18,0.0005394621125486658,0.0915567593028733,0.0,0.0015876369922779485,0.4515426283550477,2.2737371268055995e-74,0.4569006123396028,4.787843969687422e-55,2.8104276143274662e-65,8.045123263418963e-42,1.6465050516430367e-83,1.2630154821879911e-116,2.104418710883852e-12,2.658261447898171e-33,3.3994897761946875e-42,4.736817531914279e-47,2.6582614512673656e-33,7.878053377927118e-20,2.8513903523454464e-44,9.651005049674706e-34,4.167343572911995e-32,7.02539282251885e-55,3.872280064769579e-71,8.467374534232146e-71,6.634264644500577e-85,1.4241780797803519e-12,3.288154242594483e-23,1.828409988790068e-45,4.159582676553761e-56,8.173800824157448e-54
2.5598740803767762e-18,0.0005394621125486658,0.0915567593028733,0.0,0.0015876369873251694,0.4515426283539955,9.097297755169615e-74,0.4569006123381786,1.53210951207463e-53,8.99254874913134e-64,1.6095608434437997e-41,4.2143299949330446e-81,1.2930454815671034e-113,4.208839188194038e-12,1.0633052514080746e-32,2.7195896048051606e-41,7.578904434109507e-46,1.0633052541034685e-32,1.575611340051091e-19,2.2808999456766742e-43,3.8600164082894334e-33,1.666935714028019e-31,1.123954776159724e-53,2.477832280815019e-69,6.775909466472517e-70,1.6979783582785354e-82,2.848357354997733e-12,6.576311258907062e-23,1.4625493216365578e-44,6.654850193893205e-55,3.2703648374501953e-53
