Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60),CHOX2(61),SX(53),CH3OX(46),CH3X(55),CH4(41),CH2OX2(52),CHX(32),SX(406),SX(420),C2HOX(418),C2H4O(376),CH2X(63),SX(57),CH4X(383)
1.2698131909569634e-07,0.0027792097116130575,0.1557,0.0,0.005343748400021987,0.6423330636529168,0.19919684909072194,9.781255720458405e-12,1.689501412321066e-11,2.20580070101772e-09,2.2040592150252422e-14,9.356349609974114e-09,8.799757296365107e-12,0.00013232591361731362,1.8150631344547258e-12,4.592048301303431e-16,1.0648353840911334e-13,0.0027016829545966343,1.903099055203763e-15,1.4087544216571658e-06,1.9801085417676832e-26,2.0250838552774252e-22,4.581621584522832e-08,5.825222500576445e-14,3.8949768204201435e-29,4.54137259029951e-10,6.31821079617794e-10,3.1878056403517094e-12,1.1832084208175342e-11,1.2721209719481682e-14,9.650366693364828e-17,7.648974687783481e-12,2.7871880632884988e-21,4.38261961177466e-11,6.275332963451014e-15,1.00246453904145e-14,7.464110703011089e-16,9.745741253713995e-16,1.199502482735854e-13,2.840589947084308e-11,3.6069441672406595e-16,9.101504589220848e-21,5.880792433694261e-10
1.2703910348272085e-07,0.0027792097116130575,0.1557,0.0,0.005343746733868768,0.6423330622166669,0.19919684734891616,9.807718793054786e-12,1.6975843680015973e-11,2.208994124515858e-09,2.218828584668873e-14,9.38336579318813e-09,8.842409533313619e-12,0.0001323258667183392,1.8202595589975613e-12,4.613769149820157e-16,1.0698750329009424e-13,0.00270168195268416,1.90864632305123e-15,1.4113794212694407e-06,1.986387956337603e-26,2.038444364750855e-22,4.5899645893328675e-08,5.842383582670465e-14,3.920810680752575e-29,4.554525859378383e-10,6.335669531614886e-10,3.1894182821513918e-12,1.1832076786322153e-11,1.273788078204711e-14,9.715660063935487e-17,7.666605925512216e-12,2.7948123267960738e-21,4.395357579677706e-11,6.2835993389810835e-15,1.0019088912012344e-14,7.473796170482458e-16,9.758368517575542e-16,1.2010671206346644e-13,2.843476974895483e-11,3.6101411462311812e-16,9.135071179056079e-21,5.897818625824979e-10
1.2709688786974537e-07,0.0027792097116130575,0.1557,0.0,0.005343745064959032,0.6423330607780021,0.19919684560419784,9.834255028009307e-12,1.7057055575797907e-11,2.2121928095802645e-09,2.2336954516377625e-14,9.410461315281451e-09,8.885267105778179e-12,0.0001323258197439084,1.825470569235788e-12,4.635590024966994e-16,1.074937920596467e-13,0.0027016809491701528,1.9142102770951056e-15,1.414008711488085e-06,1.9926884409019385e-26,2.051890973558238e-22,4.598319997842243e-08,5.859595030794909e-14,3.946813127884528e-29,4.5677178739666867e-10,6.353177816404503e-10,3.1910313360135725e-12,1.183206935242441e-11,1.275457908364522e-14,9.781390870887189e-17,7.684277843368292e-12,2.802461870174071e-21,4.40813242751092e-11,6.291879224310617e-15,1.001353642109794e-14,7.483696050808943e-16,9.77131576602804e-16,1.202643427868476e-13,2.846367802835147e-11,3.6024473448541597e-16,9.168752112707318e-21,5.914895032119232e-10
1.271546722567699e-07,0.0027792097116130575,0.1557,0.0,0.005343743393289482,0.6423330593369193,0.1991968438565634,9.860864633081703e-12,1.71386515714133e-11,2.215396764804176e-09,2.248660444372828e-14,9.437636408470116e-09,8.9283309825418e-12,0.00013232577269393561,1.830696201596365e-12,4.657511362152251e-16,1.0800241486160013e-13,0.0027016799440529047,1.9197909676024918e-15,1.4166422972499073e-06,1.9990100679562278e-26,2.0654242161265037e-22,4.6066878195256406e-08,5.876856981164427e-14,3.972985233044376e-29,4.5809487477435135e-10,6.37073578910114e-10,3.192644802611312e-12,1.1832061906468589e-11,1.2771304655579942e-14,9.847562001110585e-17,7.701990535301122e-12,2.810130031729585e-21,4.420944264045079e-11,6.300172635303704e-15,1.0008004177926313e-14,7.493392130500098e-16,9.783952708355999e-16,1.204212123578986e-13,2.8492624081506942e-11,3.60693400345329e-16,9.202547730944224e-21,5.932021799841004e-10
1.272124566437944e-07,0.0027792097116130575,0.1557,0.0,0.00534374171885683,0.6423330578934154,0.1991968421060092,9.887547816612398e-12,1.7220633435385452e-11,2.2186059987906434e-09,2.263724195215506e-14,9.464891305596659e-09,8.971602136754904e-12,0.0001323257255683421,1.8359364925648608e-12,4.679533598487495e-16,1.0851338187947002e-13,0.00270167893733071,1.9253884449840364e-15,1.4192801834850264e-06,2.0053529102393856e-26,2.0790446300191755e-22,4.615068063831541e-08,5.894169570273286e-14,3.999328073968833e-29,4.5942185946951684e-10,6.388343588603425e-10,3.1942586826184435e-12,1.1832054448441158e-11,1.278805752911282e-14,9.914176360097663e-17,7.719744095302108e-12,2.817824329319792e-21,4.433793198369929e-11,6.308479587845348e-15,1.0002473629336315e-14,7.503350529239673e-16,9.79698150963858e-16,1.2057948873862737e-13,2.8521608296941567e-11,3.5976706852122606e-16,9.236458375300148e-21,5.949199076662616e-10
1.2727024103081892e-07,0.0027792097116130575,0.1557,0.0,0.005343740041657782,0.6423330564474872,0.19919684035253163,9.91430478752396e-12,1.7303002943933914e-11,2.2218205201525316e-09,2.2788873404305257e-14,9.492226240131376e-09,9.015081545953228e-12,0.00013232567836704147,1.841191478688324e-12,4.701657172771251e-16,1.0902670333655257e-13,0.0027016779290018637,1.931002759794294e-15,1.4219223751269896e-06,2.0117170407319514e-26,2.0927527559279224e-22,4.623460740180844e-08,5.911532934894754e-14,4.025842734968604e-29,4.60752752911579e-10,6.406001354154827e-10,3.1958729767095714e-12,1.1832046978328613e-11,1.2804837735526723e-14,9.981236872057144e-17,7.737538617743982e-12,2.825536476045516e-21,4.4466793398950314e-11,6.316800097788289e-15,9.996966048948543e-15,7.513046179052498e-16,9.809611545482995e-16,1.2073670980634098e-13,2.8550630364941232e-11,3.604111011036324e-16,9.270484388063057e-21,5.96642701063826e-10
1.2732802541784344e-07,0.0027792097116130575,0.1557,0.0,0.005343738361689045,0.6423330549991318,0.1991968385961271,9.941135755322513e-12,1.7385761881004453e-11,2.2250403375125114e-09,2.2941505202288563e-14,9.519641446173619e-09,9.058770192075915e-12,0.0001323256310899561,1.8464611965718833e-12,4.723882525518332e-16,1.0954238949607692e-13,0.0027016769190646634,1.93663396273209e-15,1.424568877101199e-06,2.0181025326595926e-26,2.1065491377176246e-22,4.631865857968106e-08,5.928947212081905e-14,4.052530306932979e-29,4.620875665607979e-10,6.423709225344214e-10,3.197487685560072e-12,1.1832039496117436e-11,1.2821645306052975e-14,1.0048746480030532e-16,7.755374196993292e-12,2.8332759940961612e-21,4.4596027983506323e-11,6.325134181011336e-15,9.99145668065087e-15,7.523076963365559e-16,9.822742685254006e-16,1.2089570242263345e-13,2.8579690775845508e-11,3.592449332131838e-16,9.304626112286353e-21,5.983705750235704e-10
1.2738580980486796e-07,0.0027792097116130575,0.1557,0.0,0.00534373667894733,0.6423330535483464,0.199196836836792,9.968040930099224e-12,1.7468912038299006e-11,2.2282654595030574e-09,2.309514378790707e-14,9.547137158453074e-09,9.102669061483526e-12,0.00013232558373699844,1.8517456828824464e-12,4.746210098937265e-16,1.1006045066129149e-13,0.0027016759075174056,1.9422821046408846e-15,1.4272196943381357e-06,2.0245094594906805e-26,2.1204343224103575e-22,4.6402834265598115e-08,5.94641253916676e-14,4.079391887404985e-29,4.6342631190834313e-10,6.441467342106414e-10,3.1991028098460928e-12,1.1832032001794128e-11,1.2838480271954596e-14,1.0116708146008872e-16,7.773250927858905e-12,2.841032123494288e-21,4.472563683788506e-11,6.333481853354255e-15,9.985974505942504e-15,7.532755009273521e-16,9.835340047193934e-16,1.21053188958489e-13,2.8608789094129148e-11,3.601886365021717e-16,9.33888389177725e-21,6.001035444301648e-10
1.2744359419189248e-07,0.0027792097116130575,0.1557,0.0,0.005343734993429346,0.6423330520951273,0.1991968350745228,9.9950205225317e-12,1.7552455215305823e-11,2.2314958947664423e-09,2.3249795642887355e-14,9.574713612331034e-09,9.146779144976292e-12,0.00013232553630809253,1.857044974344267e-12,4.768640336967407e-16,1.1058089717562724e-13,0.002701674894358391,1.9479472365091305e-15,1.429874831757937e-06,2.030937894940622e-26,2.13440886024015e-22,4.6487134552960447e-08,5.96392905376138e-14,4.106428580575017e-29,4.647690004763561e-10,6.459275844722771e-10,3.2007183502445542e-12,1.1832024495345196e-11,1.2855342664429237e-14,1.0185124851050167e-16,7.791168905068983e-12,2.848817447704216e-21,4.485562106582837e-11,6.341843130690784e-15,9.980485144296384e-15,7.542880016389476e-16,9.84860624526501e-16,1.212130097021624e-13,2.863792596700791e-11,3.5865034457192947e-16,9.373258071110721e-21,6.018416242103548e-10
1.27501378578917e-07,0.0027792097116130575,0.1557,0.0,0.005343733305131807,0.642333050639472,0.19919683330931576,1.0022074743885473e-11,1.7636393219329597e-11,2.234731651954735e-09,2.3405467289112738e-14,9.602371043801685e-09,9.191101437812211e-12,0.00013232548880314895,1.8623591077439163e-12,4.791173685246736e-16,1.111037394227709e-13,0.0027016738795859188,1.953629409470649e-15,1.4325342942884079e-06,2.037387912968419e-26,2.148473304625249e-22,4.6571559534882225e-08,5.981496893756665e-14,4.1336414973705106e-29,4.661156438180136e-10,6.477134873821696e-10,3.202334307433144e-12,1.1832016976757162e-11,1.2872232514722528e-14,1.0253999595397487e-16,7.809128223888474e-12,2.8566174047474016e-21,4.49859817743106e-11,6.350218028845416e-15,9.975029661083885e-15,7.552512875192178e-16,9.861129582563457e-16,1.2137062153428761e-13,2.8667100763116197e-11,3.600627120948902e-16,9.407748995613976e-21,6.035848293282396e-10
1.2755338452723904e-07,0.0027792097116130575,0.1557,0.0,0.00534373178328478,0.6423330493272964,0.1991968317181147,1.004648752589337e-11,1.7712276499790098e-11,2.2376483908284165e-09,2.3546449113465455e-14,9.627332163501366e-09,9.231173766357812e-12,0.00013232544598362658,1.8671545481085295e-12,4.811542227689001e-16,1.1157635441009236e-13,0.0027016729649097858,1.958757977644357e-15,1.434931512597697e-06,2.043211443618718e-26,2.161208634753452e-22,4.6647648709215143e-08,5.997351947159606e-14,4.158284717083697e-29,4.673310137294619e-10,6.493251316648637e-10,3.2037890258191365e-12,1.183201019963785e-11,1.2887456882179095e-14,1.0316380983380706e-16,7.825327036528575e-12,2.8636650448367907e-21,4.510362922019915e-11,6.357767096099569e-15,9.970123233141614e-15,7.561669747526048e-16,9.87313742555314e-16,1.2151454538951237e-13,2.8693391072885982e-11,3.5917393777680977e-16,9.438890930811934e-21,6.051581084990254e-10
1.2760539047556108e-07,0.0027792097116130575,0.1557,0.0,0.005343730259181253,0.6423330480131427,0.19919683012452846,1.0070961083786633e-11,1.778848238917744e-11,2.240569453798737e-09,2.3688267096556822e-14,9.652359239667952e-09,9.271419526214452e-12,0.00013232540310238934,1.871962067187501e-12,4.831994979053984e-16,1.1205092601201339e-13,0.0027016720489241395,1.9639004281253187e-15,1.4373322418161604e-06,2.0490525705301307e-26,2.174017647888969e-22,4.6723839028833683e-08,6.013248786966328e-14,4.183072402662594e-29,4.685496048576201e-10,6.50940890313284e-10,3.2052440828498234e-12,1.183200341266511e-11,1.2902703538464777e-14,1.037913804390542e-16,7.841559482613782e-12,2.8707254536708893e-21,4.522158332622593e-11,6.365327220600835e-15,9.965225636903904e-15,7.570564901773815e-16,9.884739545098525e-16,1.216579373934161e-13,2.8719712387551443e-11,3.592124053978139e-16,9.470127962738703e-21,6.06735562315385e-10
1.2765739642388313e-07,0.0027792097116130575,0.1557,0.0,0.0053437287328188315,0.6423330466970089,0.19919682852855444,1.0095495572799802e-11,1.7865012221307092e-11,2.2434948471932943e-09,2.3830926076845785e-14,9.677452445655552e-09,9.3118394522199e-12,0.00013232536015937924,1.8767816919196516e-12,4.852532267932362e-16,1.1252746188218784e-13,0.0027016711316277444,1.9690567984922496e-15,1.4397364855261886e-06,2.0549113481380223e-26,2.186900754526394e-22,4.680013056105151e-08,6.029187514294471e-14,4.2080053780951105e-29,4.697714256892056e-10,6.525607736512594e-10,3.2066994790208355e-12,1.1831996615829146e-11,1.2917972506294232e-14,1.0442273004309747e-16,7.857825631777377e-12,2.8778037438024247e-21,4.533984490609694e-11,6.37289841389886e-15,9.960319918694123e-15,7.579505199850625e-16,9.896399546741685e-16,1.2180217020840263e-13,2.8746065055779824e-11,3.5844227622021034e-16,9.501460344759796e-21,6.083172017704319e-10
1.2770940237220517e-07,0.0027792097116130575,0.1557,0.0,0.005343727204195117,0.6423330453788922,0.19919682693019,1.0120091148558338e-11,1.794186733521968e-11,2.2464245773461328e-09,2.3974430919834098e-14,9.702611955238403e-09,9.352434282194357e-12,0.00013232531715453498,1.8816134492841407e-12,4.873154423904022e-16,1.1300596970092388e-13,0.002701670213019367,1.974227126420541e-15,1.4421442473121107e-06,2.0607878310335327e-26,2.1998583670012744e-22,4.687652337298899e-08,6.045168230425355e-14,4.2330844718147786e-29,4.709964847315376e-10,6.541847920256216e-10,3.208155214828308e-12,1.1831989809120134e-11,1.2933263808394173e-14,1.0505788104870513e-16,7.874125553983297e-12,2.884902149383997e-21,4.5458414775669406e-11,6.380480687528575e-15,9.955436701435577e-15,7.58844803690578e-16,9.9080745037675e-16,1.2194573046859638e-13,2.8772448813619115e-11,3.5866509490500923e-16,9.53288833068804e-21,6.099030378831274e-10
1.2776140832052722e-07,0.0027792097116130575,0.1557,0.0,0.005343725673307714,0.6423330440587908,0.1991968253294326,1.01447479670788e-11,1.801904907518973e-11,2.249358650597717e-09,2.4118786518158338e-14,9.72783794261087e-09,9.393204756946134e-12,0.0001323252740877991,1.8864573662976796e-12,4.893861777674423e-16,1.1348645717546299e-13,0.0027016692930977716,1.979411449682301e-15,1.4445555307533394e-06,2.0666820739710217e-26,2.2128908996227383e-22,4.6953017531587236e-08,6.061191036823538e-14,4.25831051669721e-29,4.722247905125373e-10,6.558129558061959e-10,3.209611290768882e-12,1.1831982992528262e-11,1.2948577467460142e-14,1.0569685598850382e-16,7.890459319164401e-12,2.8920198943197413e-21,4.557729375295304e-11,6.38807405303038e-15,9.950555456913142e-15,7.597491169580934e-16,9.919894097042342e-16,1.2209011088136827e-13,2.8798863950920706e-11,3.581416618878137e-16,9.564412174836794e-21,6.114930816997134e-10
1.2781341426884926e-07,0.0027792097116130575,0.1557,0.0,0.0053437241401542305,0.6423330427367022,0.19919682372627948,1.0169466184770594e-11,1.8096558790755796e-11,2.2522970732949554e-09,2.426399779179437e-14,9.753130582389186e-09,9.43415162028949e-12,0.0001323252309591104,1.891313470017091e-12,4.914654661166051e-16,1.1396893204004824e-13,0.0027016683718617263,1.9846098061468008e-15,1.4469703394308742e-06,2.0725941318724837e-26,2.225998769103988e-22,4.702961310359491e-08,6.077256035146725e-14,4.2836843502438495e-29,4.734563515808133e-10,6.574452753858869e-10,3.2110677073397067e-12,1.183197616604374e-11,1.2963913506197501e-14,1.063396775259988e-16,7.906826997532393e-12,2.8991544230019803e-21,4.5696482658120165e-11,6.395678521931272e-15,9.945695661996503e-15,7.606432022540588e-16,9.931557569517777e-16,1.2223413248919074e-13,2.8825310275735403e-11,3.583200655233141e-16,9.596032132043375e-21,6.130873442923492e-10
1.278654202171713e-07,0.0027792097116130575,0.1557,0.0,0.0053437226047322725,0.6423330414126244,0.19919682212072815,1.0194245958435878e-11,1.817439783672587e-11,2.2552398517911704e-09,2.4410069688134074e-14,9.778490049611162e-09,9.475275619048319e-12,0.00013232518776841077,1.896181787536856e-12,4.935533407439634e-16,1.1445340205595335e-13,0.0027016674493099977,1.989822233780452e-15,1.449388676921463e-06,2.0785240598243047e-26,2.2391823943436935e-22,4.7106310155578695e-08,6.093363327232811e-14,4.3092068145430673e-29,4.746911765056475e-10,6.590817611806539e-10,3.2125244650384354e-12,1.1831969329656771e-11,1.2979271947284648e-14,1.0698636845598145e-16,7.923228659293209e-12,2.9063087261343477e-21,4.581598231350564e-11,6.4032941057643865e-15,9.94083576965487e-15,7.615476591868192e-16,9.94337252891919e-16,1.2237892409051872e-13,2.8851788046511207e-11,3.5782903223140806e-16,9.627748457638175e-21,6.146858367603815e-10
1.2791742616549335e-07,0.0027792097116130575,0.1557,0.0,0.005343721067039448,0.642333040086555,0.19919682051277587,1.0219087445269919e-11,1.8252567573188686e-11,2.2581869924460972e-09,2.4557007182092268e-14,9.803916519736398e-09,9.516577503063237e-12,0.00013232514451563907,1.9010623459911723e-12,4.956498350681597e-16,1.1493987501148518e-13,0.002701666525441355,1.995048770646899e-15,1.4518105468028968e-06,2.084471913076206e-26,2.2524421963079403e-22,4.718310875391254e-08,6.1095130151009e-14,4.3348787562534646e-29,4.759292738770048e-10,6.607224236295146e-10,3.2139815643632256e-12,1.1831962483357559e-11,1.2994652813406355e-14,1.0763695170509086e-16,7.939664374912408e-12,2.9134811404841755e-21,4.593579354360903e-11,6.410920816050413e-15,9.935993522870564e-15,7.624471729293824e-16,9.955113915929327e-16,1.225234167036609e-13,2.88782971110957e-11,3.579561803610141e-16,9.659561407444762e-21,6.162885702291962e-10
1.279694321138154e-07,0.0027792097116130575,0.1557,0.0,0.005343719527073362,0.6423330387584919,0.19919681890242005,1.024399080286168e-11,1.8331069365528547e-11,2.261138501625871e-09,2.4704815276232418e-14,9.829410168646751e-09,9.558058025200648e-12,0.00013232510120073725,1.905955172551907e-12,4.9775498262539185e-16,1.1542835872205342e-13,0.002701665600254568,2.0002894549071713e-15,1.4542359526489881e-06,2.0904377470444732e-26,2.2657785982156903e-22,4.726000896478592e-08,6.125705200955714e-14,4.3607010266380897e-29,4.771706523055566e-10,6.623672731945593e-10,3.2154390058127404e-12,1.1831955627136317e-11,1.3010056127222144e-14,1.0829145033245878e-16,7.956134214871145e-12,2.920672689200362e-21,4.605591717509859e-11,6.41855866431362e-15,9.93115154341783e-15,7.633539176567161e-16,9.966957916118745e-16,1.2266861258326673e-13,2.8904837705504127e-11,3.574967436548202e-16,9.691471237793754e-21,6.178955558513565e-10
