Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60),CHOX2(61),SX(53),CH3OX(46),CH3X(55),CH4(41),CH2OX2(52),CHX(32),SX(406),SX(420)
1.6683186929692008e-09,0.0005284065757894736,0.1557,0.0,0.00044655201293660054,0.6423858135986115,0.20081982395771622,6.422775265746424e-18,1.434939864863535e-23,3.832460966457676e-12,1.2039412339542842e-29,1.8528352063625734e-15,1.3875919385042085e-21,2.837249991536693e-05,3.392582962727834e-21,1.899388639892843e-27,6.904969103700047e-25,0.001080175742579949,1.1344515761708448e-24,2.941613276107874e-10,6.276814689937461e-36,2.19940655143665e-33,4.663534217285945e-13,1.2983195544859923e-19,3.312876747761125e-44,5.790131759508605e-17,3.15700628399153e-14,3.1248370981289875e-14,1.1802925419249078e-12,3.9269568638122882e-16,1.2006578116144635e-33,1.2796520347029935e-17,1.098641713844263e-23,1.8446628914155613e-21,2.905207514703783e-16,3.097774566171733e-14,1.3380651005790704e-16,4.649349909616589e-16
1.67061408263185e-09,0.0005284065757894736,0.1557,0.0,0.0004460783629178794,0.6423858288088132,0.20081931988702692,6.443264388562808e-18,1.4365989394211262e-23,3.834421347221986e-12,1.2069061879422185e-29,1.8556225323952206e-15,1.3920346704060842e-21,2.834207924735298e-05,3.385277917915263e-21,1.8979296842626944e-27,6.89265763205155e-25,0.0010806798130083579,1.135349070695554e-24,2.944200320690198e-10,6.275914416319826e-36,2.2027942893637843e-33,4.672199741923688e-13,1.2987568532132153e-19,3.3214666249070315e-44,5.798806621915595e-17,3.161216762410201e-14,3.1272200543784684e-14,1.1795914575931798e-12,3.920501530792125e-16,1.2035688404380046e-33,1.2827780292622067e-17,1.0990279897455954e-23,1.847433789422681e-21,2.897571731454914e-16,3.101741291402724e-14,1.3435294681306674e-16,4.668465651245187e-16
1.672909472294499e-09,0.0005284065757894736,0.1557,0.0,0.00044560592989753133,0.642385843981382,0.20081881710860244,6.463780804062628e-18,1.43825498878311e-23,3.83637660065204e-12,1.2098714842626397e-29,1.858407851880502e-15,1.3964828003838837e-21,2.8311733845861134e-05,3.3779992927563245e-21,1.8964322517209334e-27,6.880362101103503e-25,0.0010811825911722995,1.1362446349964023e-24,2.946783327670298e-10,6.275007911662917e-36,2.206179531453333e-33,4.680863561624334e-13,1.2991930774699774e-19,3.3300634196429285e-44,5.807475104224032e-17,3.165422276377291e-14,3.1296004850890594e-14,1.1788910131796929e-12,3.914063257485189e-16,1.20648021920865e-33,1.2859052331333938e-17,1.0994134366658767e-23,1.850202690560317e-21,2.889964512190012e-16,3.105702542255828e-14,1.349035220879553e-16,4.687591273346949e-16
1.6775002516197972e-09,0.0005284065757894736,0.1557,0.0,0.0004446647023194274,0.6423858742139983,0.2008178154152596,6.504895384453812e-18,1.4415580229610237e-23,3.84027180211364e-12,1.2158031099170521e-29,1.863972483375207e-15,1.4053952260705958e-21,2.8251268086386753e-05,3.363520869313075e-21,1.8934542810859023e-27,6.855818308285654e-25,0.001082184283995389,1.1380299936479835e-24,2.9519372706715877e-10,6.273173789145384e-36,2.2129426658829903e-33,4.698186065656101e-13,1.3000623410503568e-19,3.347277745588085e-44,5.824792967112319e-17,3.173818438388298e-14,3.134353795832651e-14,1.1774920612804573e-12,3.901237751039106e-16,1.2123040019558482e-33,1.2921632475365034e-17,1.1001818762351289e-23,1.8557345150023338e-21,2.874835329082127e-16,3.113608649430081e-14,1.3601071596370944e-16,4.725935762540561e-16
1.6820910309450954e-09,0.0005284065757894736,0.1557,0.0,0.0004437283052179142,0.642385904297214,0.20081681885119615,6.546118750047767e-18,1.4448490711487366e-23,3.844146723318767e-12,1.2217358833822553e-29,1.8695291253460954e-15,1.414329158901422e-21,2.8191101129743416e-05,3.349146831759509e-21,1.8904931359376733e-27,6.831344825763534e-25,0.0010831808475405952,1.139807693451052e-24,2.9570751886072385e-10,6.271312249114393e-36,2.2196960162967204e-33,4.71550168897784e-13,1.300927421793841e-19,3.364512090807988e-44,5.842085425827439e-17,3.1821948251444863e-14,3.139097082070838e-14,1.1760957201577412e-12,3.888480066072029e-16,1.2181291479713832e-33,1.2984260356704116e-17,1.1009470974755027e-23,1.8612583904558463e-21,2.8598190958429103e-16,3.121492945125807e-14,1.371226176160275e-16,4.764437886437797e-16
1.6866818102703936e-09,0.0005284065757894736,0.1557,0.0,0.00044279671373769337,0.6423859342317787,0.20081582739005766,6.5874506446892466e-18,1.4481282011942266e-23,3.848001515578463e-12,1.227669705805696e-29,1.875077802555481e-15,1.4232845427413196e-21,2.813123147656951e-05,3.33487632834576e-21,1.8875371884543112e-27,6.806944779761068e-25,0.0010841723081625552,1.1415777755421822e-24,2.962197164642655e-10,6.269423593684367e-36,2.226439597905245e-33,4.732810392315347e-13,1.3017883955860607e-19,3.381767208685639e-44,5.859352558841987e-17,3.190551492166848e-14,3.1438303952485644e-14,1.174702023084584e-12,3.875789923478495e-16,1.2239556279998193e-33,1.3046935557836305e-17,1.1017091647608726e-23,1.866774342891806e-21,2.844914948535872e-16,3.129355487198809e-14,1.3823910718802493e-16,4.803098607282034e-16
1.6912725895956917e-09,0.0005284065757894736,0.1557,0.0,0.0004418699031517397,0.6423859640184385,0.20081484100562533,6.6288908129453514e-18,1.4513954512308895e-23,3.851836329046497e-12,1.2336045771118505e-29,1.8806185400221552e-15,1.4322613219827392e-21,2.80716576352944e-05,3.3207085157844514e-21,1.8845860926311366e-27,6.782618122147607e-25,0.0010851586920799094,1.1433402808695897e-24,2.96730328161309e-10,6.267508386635995e-36,2.2331734377512212e-33,4.750112137509345e-13,1.3026453376369227e-19,3.399046791359369e-44,5.876594445427006e-17,3.198888495365333e-14,3.148553786546079e-14,1.1733110026845694e-12,3.863167043494194e-16,1.2297833992295259e-33,1.3109657666113125e-17,1.1024681418851013e-23,1.8722823985317217e-21,2.830122028944419e-16,3.137196333919716e-14,1.3935995109164918e-16,4.841920021533562e-16
1.69586336892099e-09,0.0005284065757894736,0.1557,0.0,0.0004409478488605348,0.6423859936579349,0.20081385967181586,6.670439000110642e-18,1.454650858279938e-23,3.855651312727184e-12,1.2395405009712535e-29,1.886151363015159e-15,1.4412594415451958e-21,2.8012378122094144e-05,3.3066425584580505e-21,1.881642488904086e-27,6.758364693205515e-25,0.0010861400253760242,1.145095250193636e-24,2.9723936220241066e-10,6.265567136752459e-36,2.239897565331154e-33,4.767406887501616e-13,1.303498322482135e-19,3.4163522627179344e-44,5.893811165632436e-17,3.207205891027182e-14,3.153267306880333e-14,1.1719226909397971e-12,3.8506111457407244e-16,1.2356124193131574e-33,1.317242627371556e-17,1.1032240920378564e-23,1.877782583841653e-21,2.815439484517809e-16,3.145015543950939e-14,1.4048539459701993e-16,4.880899436106258e-16
1.7004541482462881e-09,0.0005284065757894736,0.1557,0.0,0.0004400305263913997,0.6423860231510061,0.20081288336268038,6.712094952211909e-18,1.4578944691209976e-23,3.859446614482952e-12,1.2454774496315987e-29,1.891676297047972e-15,1.4502788468747479e-21,2.7953391460850458e-05,3.292677628109934e-21,1.8787062580734233e-27,6.734185346738956e-25,0.0010871163339996911,1.1468427240869238e-24,2.97746826805105e-10,6.263600323493374e-36,2.2466120081515407e-33,4.784694606321724e-13,1.3043474239900117e-19,3.4336827627151225e-44,5.911002800268896e-17,3.2155037358058206e-14,3.157971006906331e-14,1.1705371191990522e-12,3.838121949270297e-16,1.241442651488586e-33,1.3235240977618272e-17,1.103977077808508e-23,1.8832749255263343e-21,2.8008664683470054e-16,3.152813176332178e-14,1.416155267208948e-16,4.920035719747484e-16
1.7096357068968845e-09,0.0005284065757894736,0.1557,0.0,0.0004382099796592116,0.6423860817008062,0.2008109457153053,6.7957291390171175e-18,1.4643464889227633e-23,3.866978758003549e-12,1.2573543172692348e-29,1.9027026014769163e-15,1.4683812992483573e-21,2.7836290828053554e-05,3.2650475729549018e-21,1.8728563629724558e-27,6.686052071561101e-25,0.0010890539803559637,1.1503153469321871e-24,2.987570803995771e-10,6.259591934219086e-36,2.2600119518978253e-33,4.819248811926889e-13,1.3060342691543732e-19,3.468416746062561e-44,5.945311139779544e-17,3.2320410010955035e-14,3.167349147351582e-14,1.1677743180071137e-12,3.813342533807338e-16,1.2531066085594459e-33,1.3361007085985248e-17,1.1054744036496759e-23,1.894236185998999e-21,2.772045661372897e-16,3.168343946142135e-14,1.4388967006314954e-16,4.998779790437495e-16
