Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CH3X(53),CH4(39),H(23),CH4X(405),CH2OX(174),CHOX(173),HCO(31),OCHCO(440)
2.4503573273766397e-11,0.002771910154243354,0.1557,0.0,0.008101898652376998,0.6423720835342183,0.2019,9.654995853955391e-88,2.773451034262344e-54,5.924777175367844e-39,8.284686768673636e-84,2.3570908852869135e-44,3.6708646089631075e-74,5.5832931559937815e-05,1.5579602674868204e-45,1.7794347561563358e-54,2.684551400744207e-54,1.240651138900761e-40,5.109397505079403e-86,2.4523342810208402e-34,2.1428269304851515e-88,4.015682806469708e-95,7.218222290870252e-40,2.5220891321959333e-45,1.9795114533404144e-99,1.1233404934831134e-45,1.9670929814546637e-84,8.987242448968935e-16,1.3474042410553664e-43,2.25987536485986e-42,7.416442222188309e-89,7.936576305266312e-47,4.080631574667471e-43,5.812313075700845e-20,-1.1633248752138243e-24,3.4154248478152304e-25,-5.812191467749836e-20,1.5618962131962e-45,2.838315367586031e-44,1.5626384395539642e-30,9.208418312488359e-38
2.4575882903400277e-11,0.002771910154243354,0.1557,0.0,0.008101743527200321,0.6423720059716298,0.2019,1.005517022353093e-87,2.859463543183296e-54,5.942495217965168e-39,8.587736052930488e-84,2.4192720899059434e-44,3.786126688225351e-74,5.598805673653188e-05,1.5990589521931832e-45,1.8235260050503824e-54,2.767560561800617e-54,1.2589697830758409e-40,5.320918309007855e-86,2.481270051780541e-34,2.2249764574375784e-88,4.171605660793625e-95,7.345668354315893e-40,2.5736165473327037e-45,2.0734272715433514e-99,1.1529747567033415e-45,2.0549545860553047e-84,9.013673165854564e-16,1.3632474652431168e-43,2.286486726508957e-42,7.751965650823514e-89,8.123542569442569e-47,4.1404812277769695e-43,-3.451746423347779e-20,-2.939159144527255e-25,3.435296660456094e-25,3.451786320844127e-20,1.5887149828537744e-45,2.8857157062759846e-44,1.5764213737694152e-30,9.292509228325487e-38
2.4648192533034156e-11,0.002771910154243354,0.1557,0.0,0.008101588479984469,0.6423719284480218,0.2019,1.0470676486319587e-87,2.947852544675646e-54,5.960217377145286e-39,8.900917565264422e-84,2.482897732402074e-44,3.904674639734339e-74,5.614310395248602e-05,1.6411123137484888e-45,1.8685606877528054e-54,2.8528548051932403e-54,1.2775035127915176e-40,5.5405318410337985e-86,2.5104601032296685e-34,2.3100170690815394e-88,4.3330860621512275e-95,7.474973537588024e-40,2.6260354781209607e-45,2.1715776501477805e-99,1.1832974086748295e-45,2.1464599129672375e-84,9.040103373609177e-16,1.3792291002670859e-43,2.3133311606385888e-42,8.101688292465825e-89,8.314332141188e-47,4.201024928969703e-43,-3.000629848453529e-21,-5.837235138727156e-25,3.45522354259991e-25,3.0012513490479338e-21,1.6159162517433058e-45,2.933747765113057e-44,1.5902843702865207e-30,9.377106779444385e-38
2.4720502162668036e-11,0.002771910154243354,0.1557,0.0,0.008101433510888037,0.6423718509634736,0.2019,1.090205389407346e-87,3.038675649825686e-54,5.977943700444375e-39,9.224538541849654e-84,2.547996789933241e-44,4.026592759821609e-74,5.6298073049231454e-05,1.6841395036174265e-45,1.914555801228734e-54,2.940489266137536e-54,1.2962542043679021e-40,5.7685222648976786e-86,2.539905903865349e-34,2.3980413971221933e-88,4.5003043031066574e-95,7.606159232873578e-40,2.6793585348833827e-45,2.274143903065476e-99,1.214322259297899e-45,2.24174843055308e-84,9.06653307248909e-16,1.3953499362009976e-43,2.340410004454442e-42,8.466169461531561e-89,8.509011280554067e-47,4.262268544201787e-43,-4.721793912594443e-20,-1.42282684416134e-25,3.475205466215253e-25,4.7217911555761544e-20,1.6435043154042956e-45,2.982417715471749e-44,1.604227650537785e-30,9.462212425575898e-38
2.4792811792301915e-11,0.002771910154243354,0.1557,0.0,0.008101278620068857,0.642371773518064,0.2019,1.1349858934569575e-87,3.13199166898784e-54,5.995674235797779e-39,9.55891457671559e-84,2.614598727531379e-44,4.151967267049448e-74,5.645296386843341e-05,1.7281599956998783e-45,1.9615285912773614e-54,3.030520220465198e-54,1.315223744768282e-40,6.0051828087285366e-86,2.5696089261849533e-34,2.4891447950914127e-88,4.673445947345444e-95,7.739247011547639e-40,2.7335984668690578e-45,2.381314688805235e-99,1.2460633509831915e-45,2.340964490378866e-84,9.092962262751139e-16,1.4116107651982065e-43,2.3677245987352293e-42,8.845988813534049e-89,8.707647186324347e-47,4.32421796992741e-43,4.6957654067600645e-20,-1.0302254316418318e-24,3.4952424032145243e-25,-4.6956810092575065e-20,1.6714835036414746e-45,3.031731764355872e-44,1.6182514358425047e-30,9.547827625727833e-38
2.4865121421935794e-11,0.002771910154243354,0.1557,0.0,0.008101123807685046,0.6423716961118718,0.2019,1.1814665938783265e-87,3.2278606399133426e-54,6.013409031544401e-39,9.90436987594218e-84,2.6827335076357464e-44,4.2808863524739645e-74,5.660777625238292e-05,1.7731935926313663e-45,2.0094965546658864e-54,3.1230051112001306e-54,1.3344140318005412e-40,6.250816083710714e-86,2.5995706467069164e-34,2.583425319935267e-88,4.852702000407086e-95,7.874258626145832e-40,2.7887681606650484e-45,2.493286339186282e-99,1.2785349631950431e-45,2.4442575137495733e-84,9.119390944652678e-16,1.4280123815021816e-43,2.3952762878536565e-42,9.2417471548835e-89,8.910308011901295e-47,4.386879133275914e-43,-5.328565784508066e-20,-7.274938611801674e-26,3.51533432545381e-25,5.32854541804161e-20,1.699858180507061e-45,3.081696154646875e-44,1.6323559474058853e-30,9.63395383817923e-38
2.4937431051569674e-11,0.002771910154243354,0.1557,0.0,0.0081009690738937,0.6423716187449763,0.2019,1.2297067579708766e-87,3.3263438481739736e-54,6.031148136428491e-39,1.026123745917842e-83,2.7524315964403186e-44,4.413440217646893e-74,5.676251004352296e-05,1.8192604299779144e-45,2.0584774447448646e-54,3.218002567800035e-54,1.3538269740004293e-40,6.505734345705207e-86,2.6297925459655286e-34,2.6809838295203585e-88,5.0382690388233564e-95,8.011216011160762e-40,2.844880642752939e-45,2.610263146615617e-99,1.311751615476517e-45,2.551782148814334e-84,9.14581911845158e-16,1.4445555814440115e-43,2.4230664197693592e-42,9.654067131984253e-89,9.11706287505188e-47,4.450257991977953e-43,7.57264020286252e-20,-1.307211204989028e-24,3.5354812047330073e-25,-7.572524059163588e-20,1.7286327442152365e-45,3.1323171651056443e-44,1.6465414063189e-30,9.72059252047936e-38
2.5009740681203553e-11,0.002771910154243354,0.1557,0.0,0.008100814418852098,0.6423715414174557,0.2019,1.2797677910923744e-87,3.427504018357684e-54,6.048891599655968e-39,1.0629860576982459e-83,2.8237240386601114e-44,4.549721388223264e-74,5.69171650849457e-05,1.866381025648834e-45,2.1084893073930844e-54,3.3155725877041226e-54,1.3734644922330764e-40,6.770261091997378e-86,2.660276109042394e-34,2.7819242334166286e-88,5.23035006512785e-95,8.1501413083022e-40,2.901949092338078e-45,2.732458760395868e-99,1.3457281030814295e-45,2.6636991521471723e-84,9.17224678440631e-16,1.461241163731182e-43,2.4510963465167557e-42,1.0083596957365769e-88,9.327981998326733e-47,4.51436053792617e-43,1.7129002302180184e-20,-7.68507242625875e-25,3.5556830127885723e-25,-1.7128262676936384e-20,1.7578116308348848e-45,3.1836011152359095e-44,1.6608080335428177e-30,9.807745129348819e-38
2.5082050310837433e-11,0.002771910154243354,0.1557,0.0,0.008100659842716873,0.6423714641293882,0.2019,1.3317126856075414e-87,3.5314049255274446e-54,6.066639470763696e-39,1.101059002639794e-83,2.89664229893476e-44,4.6898240939205676e-74,5.7071741219937075e-05,1.9145761750805493e-45,2.1595504023904955e-54,3.415776166731923e-54,1.3933285160877345e-40,7.044728163116954e-86,2.691022824250292e-34,2.8863530016165166e-88,5.4291528261724865e-95,8.291056807830166e-40,2.959986808175301e-45,2.8600938746616166e-99,1.3804794213906871e-45,2.78017383681196e-84,9.198673942775742e-16,1.4780699287359999e-43,2.4793674230003893e-42,1.0531003960231721e-88,9.54313640318747e-47,4.579192787639126e-43,9.028278067151381e-20,-1.4783696573017657e-24,3.575939721312002e-25,-9.028118255238001e-20,1.7873993043514865e-45,3.2355543534654655e-44,1.6751560499463835e-30,9.895413120916958e-38
2.5154359940471312e-11,0.002771910154243354,0.1557,0.0,0.008100505345644578,0.642371386880852,0.2019,1.3856064172553766e-87,3.6381116496360773e-54,6.084391799697118e-39,1.1403786005758582e-83,2.97121836275152e-44,4.833844682679093e-74,5.7226238292263265e-05,1.963867017936264e-45,2.2116792485189945e-54,3.5186755408930675e-54,1.4134209859848127e-40,7.329477826467538e-86,2.7220341838814446e-34,2.9943800980790015e-88,5.634891086248244e-95,8.43398498342029e-40,3.019007247591415e-45,2.9933980447097512e-99,1.4160208140100253e-45,2.9013772202526815e-84,9.225100593819266e-16,1.4950426788842615e-43,2.507881007666284e-42,1.0996979410755851e-88,9.762598100312098e-47,4.644760788593954e-43,-8.708444322873302e-20,1.9930965673197365e-25,3.5962513019394667e-25,8.708434351346931e-20,1.8174002647359487e-45,3.288183263722687e-44,1.6895856762842776e-30,9.983597950584201e-38
