Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CH3X(53),CH4(39),H(23),CH4X(405),CH2OX(174),CHOX(173),HCO(31)
1.2276573622804283,0.0027079452504016393,0.1557,0.0,0.007721755944066197,0.6422545184396421,0.2018999999999998,2.9553966624536196e-24,7.54596897106971e-17,1.2389536394147053e-23,-1.336639460451282e-32,6.302395264140609e-19,1.1671380364954448e-38,0.00020449073501260128,1.957564887484172e-16,2.001968553183913e-29,2.3263357018083982e-20,2.731904538171767e-20,5.625975976462472e-33,2.213695406926923e-22,4.265914069066909e-44,1.904409178120285e-42,1.7770478759988764e-23,2.5236775539906363e-28,4.785263994316463e-46,2.1815326208817596e-21,1.767317214169179e-23,4.3236192850327834e-05,1.2003409068977887e-28,1.4894792487814203e-30,-7.593645105189801e-32,3.6643754580302986e-22,5.417865973340462e-30,2.492015097087132e-29,2.600443688105435e-16,4.147146852899058e-22,1.119485444901001e-17,1.1167860660909354e-32,8.428313825417561e-32,9.008212174252228e-24
1.4242603615170681,0.0027079452504016393,0.1557,0.0,0.007715059376030197,0.6422477326612909,0.20189999999999975,3.986438413305628e-24,8.775586733306105e-17,1.2410659292194285e-23,-6.464242491179983e-33,6.312957630370525e-19,1.1710602085813411e-38,0.00020431231438232514,2.269968638130321e-16,2.1299268822751696e-29,2.7030664413088283e-20,2.734133023988765e-20,7.581650449451639e-33,2.2155608521700875e-22,5.748553572488229e-44,2.5671522235746516e-42,1.7785092992382408e-23,2.525738933761384e-28,5.675954110197045e-46,2.1833023726551082e-21,2.379741193042265e-23,5.0111181516603955e-05,1.2002799819567654e-28,1.4894407948728465e-30,-3.5694844555778363e-32,3.6673580031984275e-22,5.41770036649253e-30,2.8895910527301414e-29,3.017984677582517e-16,4.1470960354804955e-22,1.2981082650949675e-17,1.1177212634310055e-32,8.435416228884403e-32,9.015920235915607e-24
1.620863360753708,0.0027079452504016393,0.1557,0.0,0.00770837592898302,0.6422409601796549,0.2018999999999997,5.172834278619712e-24,1.0013235655183207e-16,1.2431848697828376e-23,1.7933473064997913e-32,6.323577777758155e-19,1.175103341867736e-38,0.00020413424520500834,2.5815636534577026e-16,2.2596068586862823e-29,3.081616559501928e-20,2.7363908928233683e-20,9.829032113686012e-33,2.217433416913049e-22,7.452326455018331e-44,3.329332465388148e-42,1.779981342840689e-23,2.527815495911159e-28,6.796418030240016e-46,2.1850853700205696e-21,3.082620447985026e-23,5.6972697741047905e-05,1.2002304062494226e-28,1.4894068700505872e-30,9.770685157793034e-32,3.6703640421001566e-22,5.417550686811613e-30,3.286506251315196e-29,3.4355501148819173e-16,4.1470452681488087e-22,1.476432338888588e-17,1.1186600491993201e-32,8.44254573878086e-32,9.023626439495698e-24
1.8174663599903478,0.0027079452504016393,0.1557,0.0,0.00770170557709815,0.6422342009685585,0.20189999999999964,6.515430313566209e-24,1.1259995076995793e-16,1.2453781748986624e-23,1.0771770544504824e-32,6.334929007667121e-19,1.1793212392115932e-38,0.00020395652678161218,2.89224126331865e-16,2.3912370575299202e-29,3.462313446959011e-20,2.7390041833679214e-20,1.236898085486001e-32,2.2194307616952123e-22,9.37779536056148e-44,4.189894790837935e-42,1.7816392820682385e-23,2.530158056528753e-28,7.504961850991564e-46,2.187099748188802e-21,3.8759928895983e-23,6.382076804925405e-05,1.2003340048998555e-28,1.4894594248419143e-30,6.337774480537471e-32,3.673781689985429e-22,5.4177089785622535e-30,3.6827619569497403e-29,3.853139240625443e-16,4.146994550871696e-22,1.6544582263947574e-17,1.1196617784358206e-32,8.450150329995263e-32,9.031330770985003e-24
2.014069359226988,0.0027079452504016393,0.1557,0.0,0.0076950482946003505,0.642227455001877,0.20189999999999958,8.01474944742899e-24,1.2516940146606948e-16,1.2475321219564686e-23,-3.771247903597915e-33,6.345885152693913e-19,1.183340449105338e-38,0.00020377915841451424,3.2018951124251324e-16,2.5246957780022096e-29,3.8454820546825875e-20,2.7414121785665783e-20,1.520170910440039e-32,2.221358382532545e-22,1.1525160392844454e-43,5.149639049349574e-42,1.7831941557551707e-23,2.532353159410266e-28,8.119401857760332e-46,2.188985809481327e-21,4.759685590817165e-23,7.065541891411026e-05,1.20034982938596e-28,1.4894640927685069e-30,-5.594994296683654e-33,3.6769712913852412e-22,5.4176970523709435e-30,4.0783610314793634e-29,4.27075311423428e-16,4.146943883616977e-22,1.8321872532145145e-17,1.1206283394924953e-32,8.457489457728348e-32,9.039033216389946e-24
2.4072753577002675,0.0027079452504016393,0.1557,0.0,0.007681772834920719,0.6422140026975229,0.2018999999999995,1.1485516646559641e-23,1.5065621189865748e-16,1.2517467525431436e-23,-2.283558412367715e-32,6.366849967426192e-19,1.191395425266283e-38,0.00020342546906578434,3.8177077736865027e-16,2.7975019870015923e-29,4.6205083798587634e-20,2.7457508943197127e-20,2.174628756888439e-32,2.225036006006682e-22,1.648620760985319e-43,7.367666447861232e-42,1.7860401640575513e-23,2.536365882772696e-28,9.429933494042161e-46,2.1924295709717942e-21,6.797371668568954e-23,8.428456794237811e-05,1.2001652010536072e-28,1.4893453194294605e-30,-1.3176237466435849e-31,3.6827665179639348e-22,5.4172164664660186e-30,4.8675965526232234e-29,5.106054543764942e-16,4.1468426990465177e-22,2.1867580248677624e-17,1.1224718414220664e-32,8.471491458487965e-32,9.05443239304287e-24
2.800481356173547,0.0027079452504016393,0.1557,0.0,0.007668549344763869,0.6422006030586362,0.2018999999999994,1.5595437395279028e-23,1.7667643359022098e-16,1.2554790489969458e-23,1.0761589992385533e-31,6.383019224792252e-19,1.1975051329036897e-38,0.00020307317160605032,4.4281686172990027e-16,3.0780542749199154e-29,5.409200768316382e-20,2.7476129563093926e-20,2.9475835884663943e-32,2.227847996508741e-22,2.2345641346020955e-43,9.993382898466246e-42,1.7876024961429447e-23,2.5385415437467154e-28,1.2935773748784603e-45,2.1942745706256484e-21,9.197785792549765e-23,9.786035555875072e-05,1.1988810789224935e-28,1.48860964460156e-30,7.432765125168117e-31,3.685720061645211e-22,5.414540450748228e-30,5.654230792739687e-29,5.941457266589665e-16,4.1467417141822327e-22,2.5401529056959416e-17,1.1238786168053958e-32,8.482197691303517e-32,9.069823857788807e-24
3.1936873546468267,0.0027079452504016393,0.1557,0.0,0.0076553776197637894,0.6421872558780857,0.20189999999999933,2.0332053298848642e-23,2.0331089174892702e-16,1.2611316661600538e-23,3.438744415013501e-32,6.418151310181482e-19,1.2114874288135918e-38,0.0002027222605050241,5.032444105254458e-16,3.37187445954375e-29,6.213960293057783e-20,2.7593172784286446e-20,3.836124521940613e-32,2.2341401232416804e-22,2.908058709178101e-43,1.3002516535109638e-41,1.7943324384799547e-23,2.5481138798934356e-28,1.2797638789007706e-45,2.2025581846945964e-21,1.195018465432975e-22,0.0001113829916596644,1.2020906020128789e-28,1.4904280289224093e-30,-2.1546442397897306e-31,3.7001161825468423e-22,5.4209586249137565e-30,6.438256224800248e-29,6.77693663255066e-16,4.1466409287703735e-22,2.892367927096027e-17,1.127041491979527e-32,8.506154021794296e-32,9.085207499191417e-24
3.5868933531201064,0.0027079452504016393,0.1557,0.0,0.007642257456365485,0.6421739609495619,0.20189999999999925,2.5716397178329087e-23,2.3064074035864284e-16,1.2627166386954034e-23,9.642278807169329e-34,6.413057464745761e-19,1.2082925228557644e-38,0.00020237273025480493,5.629785082351942e-16,3.667031197557775e-29,7.037186991101422e-20,2.749494002770357e-20,4.843837935445549e-32,2.2326314536374643e-22,3.671918526559452e-43,1.6428814695704427e-41,1.7894845178400793e-23,2.541109216950073e-28,1.630275081810966e-45,2.1964063980390443e-21,1.5064366410745833e-22,0.00012485268530834537,1.1949456647817774e-28,1.4862305746649013e-30,1.2794689268684095e-30,3.6888693188592933e-22,5.40594298809033e-30,7.219745394742783e-29,7.612551826596283e-16,4.1465403425600646e-22,3.243437497899105e-17,1.1262668302961671e-32,8.500409988116361e-32,9.100583206045869e-24
3.980099351593386,0.0027079452504016393,0.1557,0.0,0.007629188651820947,0.6421607180675746,0.20189999999999916,3.165194243302338e-23,2.5873880201570435e-16,1.2741265890890662e-23,2.6805380593487677e-31,6.505062795205539e-19,1.2459583235348113e-38,0.00020202457536976513,6.219317725511772e-16,3.99515016380383e-29,7.880986529630531e-20,2.7929350060617754e-20,5.950454628548078e-32,2.251123311374074e-22,4.510652017353241e-43,2.0170322179481474e-41,1.814338703895951e-23,2.576647158370273e-28,1.4085514691739477e-45,2.22731448567308e-21,1.847188007160483e-22,0.00013826964473800913,1.2150919802414788e-28,1.498377115429283e-30,-1.9023179165251212e-30,3.7434329074679304e-22,5.4492154287380866e-30,7.998569757420989e-29,8.448163652578714e-16,4.146439955299171e-22,3.593299635986262e-17,1.1355913489697068e-32,8.570814967938768e-32,9.115950867385394e-24
