Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50)
1.2536073192384815e-10,0.0005367589272267694,0.0915567593028733,0.0,0.0012923636115565892,0.4515101732851616,1.9641604741841644e-42,0.4567894084530162,5.689733864406934e-19,8.564145429496368e-27,1.765805812640608e-17,1.2391055614145974e-29,2.6931460624556064e-50,6.491014187064633e-05,1.3616019899502501e-17,-3.45847494557925e-20,1.7021479768416874e-18,1.585255544793654e-17,6.622214062882167e-12,1.7100979443749776e-24,3.5492582515054845e-21,4.911128900035244e-19,7.612115146719166e-28,2.9246148202431905e-32,3.9105484036208116e-32,4.699618339145023e-31,0.0001112038813882401,2.8672944630752505e-15,6.270245874984105e-26,4.7460074888720663e-29,7.054814789910511e-22,4.224207576581392e-33,6.217518358719159e-29
1.2601033646864866e-10,0.0005367589272267694,0.0915567593028733,0.0,0.0012914230806544556,0.4515101850946892,1.9917774045921966e-42,0.45678892637802176,3.2059795918909503e-19,8.695405913892397e-27,1.7787396202704638e-17,1.2563063006479925e-29,2.3127026143263733e-50,6.488652281519328e-05,1.3748734680011502e-17,4.758846723479491e-19,1.45642716316551e-18,1.600164339355188e-17,6.6535050147236145e-12,1.729816840587152e-24,-4.0635469314541464e-21,4.909653747583404e-19,7.700109310993865e-28,-9.480442662391086e-32,3.940252308865511e-32,4.764856889935649e-31,0.00011168595635138308,2.880907274753021e-15,6.324614518735674e-26,4.785737434650666e-29,7.146266844186891e-22,4.295736114638173e-33,6.268076444407326e-29
1.2665994101344917e-10,0.0005367589272267694,0.0915567593028733,0.0,0.0012904844476959258,0.451510197151542,2.0195954689154248e-42,0.45678844500467414,4.253818667101289e-19,8.827729413331883e-27,1.7916438672547058e-17,1.2651875195610974e-29,1.6375709836163563e-50,6.486240910968862e-05,1.3882023090386056e-17,2.795928169635654e-19,1.564297287205597e-18,1.6151293969181843e-17,6.684771666231395e-12,1.7473342520930777e-24,-2.5127169246349755e-21,4.908146758612512e-19,7.6879217681020325e-28,-3.1787124329228423e-33,3.9698794895125773e-32,4.798544015685718e-31,0.00011216732966776474,2.8945101863343568e-15,6.379128965189551e-26,4.823919896897971e-29,7.23825080090511e-22,4.366995581376828e-33,6.318653565755091e-29
1.2730954555824968e-10,0.0005367589272267694,0.0915567593028733,0.0,0.001289547695147545,0.4515102094488734,2.047615203148514e-42,0.45678796433105295,9.296295144232503e-19,8.961115639460521e-27,1.804594354008736e-17,1.299514347503126e-29,2.8504107646640386e-50,6.48378144468721e-05,1.4015884290623098e-17,-7.161117018927418e-19,2.0721051178743465e-18,1.6301506116478014e-17,6.71601404405959e-12,1.7568115988163202e-24,2.477077990263315e-20,4.906608800396081e-19,7.9324956234456365e-28,3.8480841658417476e-31,3.999439910159338e-32,4.928732614781853e-31,0.00011264800325773034,2.9081032177318106e-15,6.433788784132946e-26,4.864084999099172e-29,7.330767187987891e-22,4.440025528496088e-33,6.369178543928147e-29
1.279591501030502e-10,0.0005367589272267694,0.0915567593028733,0.0,0.0012886128058502728,0.4515102219800082,2.0758359389332176e-42,0.45678748435525385,6.918942639009718e-19,9.095564170592354e-27,1.81756543907323e-17,1.33804135744577e-29,3.6204997390063035e-50,6.481275217710377e-05,1.415031746535062e-17,-2.2670401359260427e-19,1.8367721921290794e-18,1.6452278785835597e-17,6.747232257399202e-12,1.775902930567649e-24,1.6866684768950885e-20,4.905040714449247e-19,8.324775241730024e-28,8.585454092366953e-32,4.0289255506145046e-32,5.074850239887827e-31,0.00011312797902562982,2.9216863886757792e-15,6.488593061647779e-26,4.907010466389996e-29,7.423811282894568e-22,4.513173866071258e-33,6.419622490274249e-29
1.286087546478507e-10,0.0005367589272267694,0.0915567593028733,0.0,0.001287679763010474,0.45151023473843843,2.104258103839214e-42,0.45678700507538816,3.268066493263513e-19,9.231074614913545e-27,1.8304703641596876e-17,1.3433881900965012e-29,2.305628970796905e-50,6.478723531669416e-05,1.4285321782950445e-17,5.176482346652839e-19,1.4738354087107745e-18,1.6603610936227864e-17,6.778426347738897e-12,1.803214315469739e-24,-1.6690895651422806e-20,4.903443313932062e-19,8.450392142326523e-28,-2.505818846928898e-31,4.058345861348853e-32,5.095133409032887e-31,0.0001136072588601346,2.9352597187171823e-15,6.543540592533084e-26,4.943450976753992e-29,7.517383389973162e-22,4.588115581216456e-33,6.470188496942044e-29
1.292583591926512e-10,0.0005367589272267694,0.0915567593028733,0.0,0.00128674855019122,0.4515102477178188,2.1328812371350467e-42,0.45678652648958257,6.0981930991039145e-19,9.367646894945382e-27,1.8432993204236162e-17,1.3321087605470988e-29,9.368268313995884e-51,6.476127655595928e-05,1.4420896391800617e-17,-3.5070727206619434e-20,1.7598577030882026e-18,1.6755501535014782e-17,6.809596275747255e-12,1.8145822764322744e-24,9.851377485652942e-21,4.901817403678261e-19,8.252483782948448e-28,3.0371648005733636e-31,4.0876926919961657e-32,5.052362166442689e-31,0.00011408584463454497,2.9488232272312097e-15,6.598631408302243e-26,4.980986908399235e-29,7.611481144358165e-22,4.663953869300796e-33,6.520752426957714e-29
1.2990796373745172e-10,0.0005367589272267694,0.0915567593028733,0.0,0.0012858191513037335,0.4515102609119631,2.1617070055768665e-42,0.4567860485959789,7.882826939575903e-19,9.50527971667113e-27,1.8562933631029054e-17,1.3608270086273546e-29,1.511820444759439e-50,6.473488826716557e-05,1.4557040469578476e-17,-3.784514794239888e-19,1.941079010166597e-18,1.6907949557800836e-17,6.840742098928194e-12,1.8133646195291638e-24,7.148000202815299e-20,4.900163777012787e-19,8.885029006459265e-28,4.544927984004863e-31,4.116992983959716e-32,5.161280525770194e-31,0.00011456373820709312,2.9623769334220833e-15,6.65386537776696e-26,5.0343710052337097e-29,7.706109116355374e-22,4.746101669226644e-33,6.57089769945637e-29
1.3055756828225223e-10,0.0005367589272267694,0.0915567593028733,0.0,0.0012848915505989432,0.4515102743148405,2.1907302061334147e-42,0.4567855713927336,7.60523370513345e-20,9.643973769553409e-27,1.8691532681563015e-17,1.3032063571921994e-29,-6.601229157393131e-50,6.47080825125421e-05,1.4693753255670292e-17,1.0608794423130058e-18,1.230270124902949e-18,1.7060953988226605e-17,6.87186408597572e-12,1.862841347605973e-24,-3.8274014818496294e-20,4.898483179118231e-19,8.95622407074298e-28,-1.5013467026641515e-30,4.1461677219131935e-32,4.9427620706608416e-31,0.00011504094142124369,2.9759208563261824e-15,6.709239582927677e-26,5.075712015518137e-29,7.801244691416212e-22,4.819374366887561e-33,6.621155773163449e-29
1.3120717282705274e-10,0.0005367589272267694,0.0915567593028733,0.0,0.0012839657326592312,0.4515102879205709,2.2199589153992347e-42,0.4567850948780178,3.530539854506845e-20,9.783729897845317e-27,1.8816559517165474e-17,1.1871633146103441e-29,-1.9502684124497403e-49,6.46808710517618e-05,1.4831033902117892e-17,1.1563569280240403e-18,1.1918188240509927e-18,1.7214513817866826e-17,6.902962185017491e-12,1.935638205804921e-24,-2.104712496937949e-19,4.896776322892268e-19,7.363195756975232e-28,-1.592562164360254e-30,4.1753387957031705e-32,4.502679221393958e-31,0.00011551745610598059,2.9894550148144406e-15,6.764752908521483e-26,5.074495215589254e-29,7.896923514245027e-22,4.908702390519982e-33,6.67269891513717e-29
1.3185677737185325e-10,0.0005367589272267694,0.0915567593028733,0.0,0.0012830416823903636,0.45151030172342216,2.2493878976891068e-42,0.4567846190500166,7.88198534527087e-19,9.924550297910692e-27,1.8940228406884242e-17,1.1594015542633887e-29,-2.3108287982729617e-49,6.465326534938495e-05,1.4968881452696917e-17,-3.3647180886541476e-19,1.948021063929829e-18,1.736862804595205e-17,6.934035955873813e-12,1.894531773068932e-24,2.5972686540015097e-20,4.895043979101875e-19,5.135207317817231e-28,1.1009810895996082e-30,4.2044126698088374e-32,4.397399573299481e-31,0.00011599328407609277,3.0029794275971015e-15,6.82041062651704e-26,5.135778521756717e-29,7.993125450880445e-22,4.999063079535015e-33,6.723009170047347e-29
1.3250638191665376e-10,0.0005367589272267694,0.0915567593028733,0.0,0.001282119385013945,0.45151031571780575,2.279025011261682e-42,0.45678414390692923,3.4884631907843266e-19,1.006641926110347e-26,1.9076686498462733e-17,1.1785526175689291e-29,-2.7231912140224732e-49,6.46252765818552e-05,1.5107295137356822e-17,5.569655223145933e-19,1.5101897834762711e-18,1.75232956794199e-17,6.965085612861427e-12,1.7876692191105707e-24,4.2180978912776533e-19,4.893286918533191e-19,9.079999953883763e-28,-1.0266308253516257e-30,4.233523505595945e-32,4.470034869949381e-31,0.00011646842713244027,3.0164941132300106e-15,6.876210577745186e-26,5.291938614192639e-29,8.089873154264463e-22,5.113580077215844e-33,6.769540302036674e-29
1.3315598646145426e-10,0.0005367589272267694,0.0915567593028733,0.0,0.0012811988260596117,0.45151032989827394,2.308889904330507e-42,0.45678366944696847,4.093079812066084e-20,1.0209321556089507e-26,1.9223019694440903e-17,1.0750548566228895e-29,-3.742098098734208e-49,6.459691564528585e-05,1.524627444080431e-17,1.1873626052117667e-18,1.2039490833034833e-18,1.7678515732727225e-17,6.996112255504616e-12,1.9139812301380277e-24,-5.934908505154314e-20,4.891505713076899e-19,1.7771561194146578e-27,-2.165055024402016e-30,4.262978437065814e-32,4.077529455484453e-31,0.00011694288706223068,3.0299990901131397e-15,6.932139609327038e-26,5.22904414305944e-29,8.187231261403748e-22,5.309986156038391e-33,6.821428242179512e-29
1.3374063055177474e-10,0.0005367589272267694,0.0915567593028733,0.0,0.0012803717976341573,0.45151034281540503,2.3359512653978957e-42,0.4567832430156105,6.402901719671628e-19,1.03388412828537e-26,1.9343107259140882e-17,9.7604288644702e-30,-4.404289862356904e-49,6.457108138286395e-05,1.5371838433985547e-17,5.611873326830855e-22,1.805996686707233e-18,1.781868529071103e-17,7.024015487135826e-12,1.914136963429135e-24,-2.755223738961306e-20,4.88988246861096e-19,2.008261130813972e-27,6.010826241650055e-32,4.2895840532472984e-32,3.702035451229882e-31,0.00011736931839216751,3.0421452834074508e-15,6.982598492595582e-26,5.255734531001045e-29,8.275323740952036e-22,5.52186701678288e-33,6.86849569873024e-29
1.3432527464209522e-10,0.0005367589272267694,0.0915567593028733,0.0,0.0012795461557227738,0.45151035587518173,2.3631649791237037e-42,0.4567828171348643,8.755154799234035e-19,1.0469241301874449e-26,1.9455333632331944e-17,1.0247005897676705e-29,3.3406749780549073e-49,6.454496182947968e-05,1.5497859147497445e-17,-4.573362172645106e-19,2.0432635706280483e-18,1.7959300807497164e-17,7.051899499894824e-12,1.920926289280152e-24,2.3552086928575934e-20,4.888240750331326e-19,1.8702987698993764e-27,1.1554116257310618e-31,4.3159365777973565e-32,3.8865724476821637e-31,0.0001177951991105541,3.054283640542937e-15,7.033169209075531e-26,5.296438609795777e-29,8.363785999718698e-22,5.705955082109349e-33,6.914120802658534e-29
1.349099187324157e-10,0.0005367589272267694,0.0915567593028733,0.0,0.0012787218903876664,0.4515103690739105,2.390526494585865e-42,0.45678239180345404,5.960110071669744e-19,1.060051316105011e-26,1.956758410271735e-17,1.1132541655584203e-29,6.652740011296553e-49,6.451856437199642e-05,1.562433600959835e-17,1.1503448115303818e-19,1.764981151244934e-18,1.8100361579408112e-17,7.079764389558532e-12,1.9526379389535568e-24,-1.1306186827273492e-20,4.886581041238515e-19,1.7374446469547025e-27,-5.915731941314732e-32,4.3419686242256176e-32,4.222412865181033e-31,0.00011822053049291754,3.0664141747108767e-15,7.083850164417421e-26,5.330247077365998e-29,8.452607869554324e-22,5.8498264745028844e-33,6.959322936068977e-29
1.3549456282273617e-10,0.0005367589272267694,0.0915567593028733,0.0,0.0012778989918748322,0.4515103824079814,2.418045606530882e-42,0.45678196702011276,5.509177404588492e-19,1.0732637794262179e-26,1.96829192148257e-17,1.1718750320539421e-29,1.1665731916603739e-49,6.449189622993657e-05,1.575126838834031e-17,2.182863948450573e-19,1.721395397037198e-18,1.8241866907390134e-17,7.107610033659536e-12,1.965826713308586e-24,1.7258984440679185e-21,4.884903736165972e-19,1.7554038858893163e-27,1.0030006338651146e-31,4.3678556575396075e-32,4.444734787787562e-31,0.00011864531380645722,3.078536898921214e-15,7.134641665947786e-26,5.366882687602676e-29,8.54182791709387e-22,5.983072877639231e-33,7.004365685593865e-29
1.3607920691305665e-10,0.0005367589272267694,0.0915567593028733,0.0,0.0012770774506102637,0.4515103958738668,2.4457311444238972e-42,0.4567815427835812,7.244967697790476e-19,1.0865609416469935e-26,1.9799795895144932e-17,1.2070082305778873e-29,-3.813489299268479e-49,6.44649644591951e-05,1.587865571559229e-17,-1.160609612281516e-19,1.8967256826127784e-18,1.8383816096689767e-17,7.1354365288988905e-12,1.9791640541240192e-24,3.736926259275022e-21,4.883209257657032e-19,1.8513188323025954e-27,3.007895858947058e-32,4.3937509905376724e-32,4.577980755461872e-31,0.0001190695503101864,3.0906518260541958e-15,7.18554319168707e-26,5.403161509473714e-29,8.631475356287189e-22,6.1319017227389064e-33,7.049594031030462e-29
1.3666385100337712e-10,0.0005367589272267694,0.0915567593028733,0.0,0.0012762572571963066,0.45151040946811866,2.4735827195142067e-42,0.45678111909260843,7.22484509302239e-19,1.0999436332491615e-26,1.9915391801683606e-17,1.2419159884902946e-29,-4.046474962276861e-49,6.443777595554788e-05,1.60064974101859e-17,-9.891794298366828e-20,1.8961456646080094e-18,1.852620845678635e-17,7.163243920857828e-12,1.996919228323978e-24,-2.639703965575963e-21,4.881498065162e-19,1.890491150125906e-27,2.553700388886101e-32,4.4196445902956965e-32,4.710371741072917e-31,0.0001194932412550682,3.1027589689354738e-15,7.236554132129722e-26,5.439246109110829e-29,8.72154496467577e-22,6.295222856088971e-33,7.095023639241899e-29
1.372484950936976e-10,0.0005367589272267694,0.0915567593028733,0.0,0.0012754384024076682,0.45151042318736734,2.5015950843647748e-42,0.45678069594595155,6.366693979443472e-19,1.1134124620269306e-26,2.0029590449026704e-17,1.2931737645054936e-29,-2.1462278640147477e-49,6.441033745822151e-05,1.6134792882839414e-17,8.599771153649456e-20,1.8115844622392714e-18,1.866904330148399e-17,7.191032221925041e-12,2.01401756143042e-24,1.3529631475254911e-21,4.8797706055789085e-19,1.8672910569170283e-27,5.690049949085819e-32,4.4454456659238686e-32,4.904769475409011e-31,0.00011991638788414975,3.114858340314266e-15,7.287674039566986e-26,5.47551341027191e-29,8.812016725267935e-22,6.457924746238673e-33,7.140264223090987e-29
1.3783313918401808e-10,0.0005367589272267694,0.0915567593028733,0.0,0.0012746208771875869,0.4515104370283196,2.529765615290689e-42,0.45678027334237525,6.676614492861784e-19,1.1269670980907563e-26,2.014383555299187e-17,1.351012072306425e-29,-1.2836320979231962e-49,6.438265555344091e-05,1.6263541552420374e-17,3.719602184873162e-20,1.8439220591703236e-18,1.881231994887949e-17,7.2188014686021004e-12,2.032263867542953e-24,7.997749937971235e-22,4.878027281234147e-19,1.8506007924039477e-27,3.536653286222105e-32,4.471115696780371e-32,5.124123615418579e-31,0.00012033899143269408,3.1269499528518088e-15,7.338902467506979e-26,5.511769550008464e-29,8.902881654834169e-22,6.612793945422262e-33,7.185355296262515e-29
1.3841778327433855e-10,0.0005367589272267694,0.0915567593028733,0.0,0.0012738046726441762,0.45151045098775744,2.5580958300725316e-42,0.4567798512806519,7.2104851336260565e-19,1.1406070428108484e-26,2.0258640894482672e-17,1.402137227998673e-29,-1.9233838398559582e-49,6.435473667786213e-05,1.6392742835373847e-17,-5.635982567112274e-20,1.898607372834534e-18,1.8956037721191698e-17,7.246551683969101e-12,2.0497203144603237e-24,-3.630054498427798e-22,4.876268481378224e-19,1.8649420911789057e-27,3.9482840016001e-32,4.496690092232244e-32,5.318018434347307e-31,0.00012076105312830967,3.1390338191176442e-15,7.390238921944802e-26,5.548054771679627e-29,8.994144931610685e-22,6.764777479823024e-33,7.230530775899992e-29
1.3900242736465903e-10,0.0005367589272267694,0.0915567593028733,0.0,0.001272989780046838,0.4515104650625354,2.586587863344209e-42,0.45677942975956143,7.036710876984439e-19,1.1543322865967035e-26,2.037358320144092e-17,1.448562262906975e-29,-2.6219284319741568e-49,6.43265871219209e-05,1.652239615122502e-17,-8.238160833944176e-21,1.8823680782151927e-18,1.9100195944638825e-17,7.274282896983138e-12,2.0661697645835706e-24,8.051524961914205e-22,4.87449460960534e-19,1.8902205850226307e-27,4.5703766633005334e-32,4.5222106673370855e-32,5.4940882628055655e-31,0.00012118257419107646,3.151109951592495e-15,7.441682936920162e-26,5.584375060149406e-29,9.085812776911527e-22,6.920528747223565e-33,7.275764020028606e-29
1.395870714549795e-10,0.0005367589272267694,0.0915567593028733,0.0,0.0012721761908227336,0.4515104792495798,2.615241800463656e-42,0.4567790087778912,6.892793568903241e-19,1.1681430468055339e-26,2.0488216616897807e-17,1.4964019048452127e-29,-2.5619801046402197e-49,6.429821303311326e-05,1.6652500922905608e-17,3.395368992508905e-20,1.8690612002944017e-18,1.92447939494156e-17,7.301995143738003e-12,2.0834707287130845e-24,3.776587271677299e-22,4.872706064335645e-19,1.9052203233833868e-27,3.9735542372978874e-32,4.5476791322794516e-32,5.675522936924175e-31,0.00012160355583366879,3.1631783626782914e-15,7.49323404787616e-26,5.620721311964886e-29,9.1778838440501e-22,7.08059824767238e-33,7.320918147946375e-29
1.4017171554529998e-10,0.0005367589272267694,0.0915567593028733,0.0,0.0012713638965533305,0.45151049354588674,2.644056340906425e-42,0.4567785883344356,7.145703768502844e-19,1.1820393352701126e-26,2.06025322006686e-17,1.5472878319467985e-29,-2.1753678982193966e-49,6.4269620419196e-05,1.6783056572309852e-17,-3.214476788097544e-21,1.8954198289292987e-18,1.938983106966502e-17,7.329688451977752e-12,2.1011705360081585e-24,1.862986328096793e-22,4.870903221673624e-19,1.9095146552930777e-27,4.2395729726063206e-32,4.573073574378216e-32,5.868510525320632e-31,0.00012202399926147597,3.175239064699775e-15,7.544891787813602e-26,5.657096851430354e-29,9.270352386086219e-22,7.241498538691627e-33,7.366004152128551e-29
1.4075635963562046e-10,0.0005367589272267694,0.0915567593028733,0.0,0.0012705528889710338,0.4515105079485207,2.673030658459127e-42,0.45677816842799673,7.290820109264821e-19,1.1960209999926828e-26,2.0716779092213452e-17,1.5992884897553466e-29,-2.0110412070200527e-49,6.424081515131837e-05,1.6914062522527978e-17,-1.874735718678956e-20,1.9109107205111746e-18,1.9535306643390866e-17,7.357362849021777e-12,2.1187477166215593e-24,5.5007472121491815e-22,4.8690864453386e-19,1.915014520782343e-27,4.340245605003071e-32,4.5983836415832464e-32,6.0657256953596415e-31,0.00012244390567272014,3.1872920699018533e-15,7.596655695434354e-26,5.693500759898485e-29,9.363214753962552e-22,7.401210438346254e-33,7.411104794871432e-29
1.4134100372594093e-10,0.0005367589272267694,0.0915567593028733,0.0,0.0012697431599558832,0.45151052245461276,2.7021649416251357e-42,0.4567777490573833,7.232997792118816e-19,1.2100879570842907e-26,2.0831056453485363e-17,1.650287161262382e-29,-2.1002589270142897e-49,6.421180296709928e-05,1.704551819860375e-17,6.3859900554324866e-21,1.9060173171989384e-18,1.9681220012363265e-17,7.385018364364502e-12,2.1363480437894247e-24,3.427072099050003e-22,4.867256097777526e-19,1.9264886217702204e-27,4.169330313031079e-32,4.6236179868873253e-32,6.259140889962118e-31,0.0001228632762585716,3.1993373904502204e-15,7.648525311415154e-26,5.729932384391458e-29,9.456470809098667e-22,7.56071581539993e-33,7.456215236176662e-29
