Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50)
5.5972865557107864e-08,0.0027344314106420324,0.0915567593028733,0.0,0.0005682663349399052,0.4515364181473586,3.7454547822124696e-13,0.45316723984828483,8.825971646458329e-16,1.4840944073253227e-19,2.1256222455140876e-16,3.924767640306769e-18,-3.1634565137842265e-29,1.2420416936629002e-05,4.042348170678244e-13,5.096104464141439e-21,1.477242098186912e-19,2.971630211362894e-14,9.576201084254125e-11,8.443658897218285e-16,9.151275485165431e-22,2.4249299389596946e-20,7.190724809088994e-18,-1.9783270946889948e-21,2.043861088073414e-32,1.5890205721005863e-19,0.0037333723965758407,2.6893017733597097e-13
5.6091005230061336e-08,0.0027344314106420324,0.0915567593028733,0.0,0.0005674180867989482,0.45153642750739487,3.755193271640959e-13,0.45316680636428264,8.827802529112998e-16,1.485838207102374e-19,2.126073217009001e-16,3.93105771260736e-18,-3.125839115040859e-29,1.2401696863689929e-05,4.0521341299687236e-13,5.0886890788289696e-21,1.4731709760312384e-19,2.97210547798486e-14,9.555284302971622e-11,8.445297663493605e-16,4.136616100524895e-22,2.421395343122854e-20,7.191954140732178e-18,3.1896964938831435e-21,2.0412138202473567e-32,1.5915668798833354e-19,0.0037338058807862857,2.6914437541026785e-13
5.619733093571946e-08,0.0027344314106420324,0.0915567593028733,0.0,0.0005666579429736353,0.45153643589536197,3.7639590487258333e-13,0.4531664179044952,8.829445684014327e-16,1.4874056715065235e-19,2.1264815650119496e-16,3.935292095942396e-18,-2.787872227554178e-29,1.2384920929113347e-05,4.060942461984696e-13,5.082034004134471e-21,1.4695273823131016e-19,2.9725315373853616e-14,9.536528406821386e-11,8.446768225891189e-16,7.9835404444245755e-22,2.41822754665182e-20,7.203655922698956e-18,-1.286148474270241e-21,2.0388428078622695e-32,1.5932806953209164e-19,0.0037341943407603823,2.6933688068333994e-13
5.629302407081177e-08,0.0027344314106420324,0.0915567593028733,0.0,0.0005659764555624749,0.45153644341547694,3.771849164723943e-13,0.4531660696407576,8.830920785528599e-16,1.48881481165536e-19,2.126845483487597e-16,3.94022160029705e-18,-2.7101487636335996e-29,1.2369880698804416e-05,4.068870742207976e-13,5.076072534371919e-21,1.466264509310502e-19,2.9729136375752764e-14,9.519703970914186e-11,8.448088247410314e-16,6.5578641357321545e-22,2.4153872550253835e-20,7.207018045938524e-18,6.789889022634321e-22,2.036715670599041e-32,1.5952761118528464e-19,0.0037345426046654267,2.695099152068858e-13
5.638871720590408e-08,0.0027344314106420324,0.0915567593028733,0.0,0.0005652974585630152,0.4515364509082037,3.779740145575873e-13,0.45316572264961413,8.832392363529161e-16,1.4902224623967133e-19,2.1272066664053667e-16,3.945944249355985e-18,-2.789578190805074e-29,1.2354895244939725e-05,4.076799759907756e-13,5.0701368305311785e-21,1.4630170275568349e-19,2.973294462859341e-14,9.502932322429626e-11,8.449404983155195e-16,6.806894274202794e-23,2.4125570685106927e-20,7.205593430297528e-18,6.594387090223384e-21,2.0345940379497784e-32,1.5975927524841995e-19,0.0037348895959757426,2.696827418899625e-13
5.6484410340996396e-08,0.0027344314106420324,0.0915567593028733,0.0,0.0005646209399375561,0.4515364583736744,3.787631987900765e-13,0.4531653769249141,8.83386043500826e-16,1.4916286288841605e-19,2.1275664148163362e-16,3.9534624430403334e-18,-2.936849643155344e-29,1.23399643031981e-05,4.084729512391834e-13,5.064208721403543e-21,1.459784925500009e-19,2.97367402010525e-14,9.48621332639829e-11,8.450718446597065e-16,8.908863710768326e-22,2.4097369848360267e-20,7.217808516604066e-18,-3.0090084248790513e-21,2.0324770767633792e-32,1.600636553517815e-19,0.003735235320842242,2.6985536149163475e-13
5.658010347608871e-08,0.0027344314106420324,0.0915567593028733,0.0,0.0005639468877255527,0.45153646581202034,3.7955246883358366e-13,0.45316503246054524,8.835325016677297e-16,1.493033316255214e-19,2.1279264872353618e-16,3.96005338353086e-18,-3.007699881679219e-29,1.2325087610935869e-05,4.092659996980175e-13,5.058303593403619e-21,1.4565680318611982e-19,2.974052316232726e-14,9.469546849513006e-11,8.45202865342412e-16,1.450985215143869e-21,2.4069269275147513e-20,7.226227954671787e-18,-7.863075709459534e-21,2.0303702821470466e-32,1.6033048608337198e-19,0.0037355797853769568,2.700277747673169e-13
5.667579661118102e-08,0.0027344314106420324,0.0915567593028733,0.0,0.0005632752900416469,0.45153647322337204,3.8034182435360153e-13,0.4531646892504341,8.83678612511618e-16,1.4944365296124206e-19,2.1282868535357127e-16,3.96370331175164e-18,-2.9630247880793267e-29,1.2310264907168481e-05,4.1005912110056287e-13,5.052441066277496e-21,1.4533661610174927e-19,2.974429358085313e-14,9.452932751367106e-11,8.453335619882891e-16,-3.645846415425066e-22,2.4041267894932667e-20,7.212649520697335e-18,1.2329470177838404e-20,2.0282738095961924e-32,1.6047821642244233e-19,0.0037359229956533384,2.7019998246877943e-13
5.6771489746273335e-08,0.0027344314106420324,0.0915567593028733,0.0,0.0005626061350748101,0.45153648060785917,3.8113126501741563e-13,0.45316434728854577,8.838243777100041e-16,1.4958382740249384e-19,2.1286467849825868e-16,3.969274055566131e-18,-2.8625544157400033e-29,1.2295495932558219e-05,4.10852315181415e-13,5.046581082984774e-21,1.450179425239168e-19,2.9748051524008395e-14,9.43637088875708e-11,8.454639363159674e-16,1.4275581826199552e-22,2.4013366236896345e-20,7.225049442116098e-18,4.5335605196939e-21,2.026180954518968e-32,1.607037296042009e-19,0.0037362649577065716,2.7037198534416676e-13
5.686718288136565e-08,0.0027344314106420324,0.0915567593028733,0.0,0.0005619394110874046,0.4515364879656106,3.8192079049402324e-13,0.4531640065688827,8.839697989135992e-16,1.4972385545220244e-19,2.129004690718003e-16,3.97797743841561e-18,-2.918587687639681e-29,1.2280780429393095e-05,4.1164558167650525e-13,5.040718841438912e-21,1.447007749429231e-19,2.975179705783718e-14,9.419861115209387e-11,8.455939898273058e-16,3.071563720177408e-21,2.398556412146028e-20,7.25765945051537e-18,-2.674298501221256e-20,2.0240940216419883e-32,1.6105610333244704e-19,0.0037366056775338633,2.7054378413801325e-13
