Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),H2X(53)
6.866221877632664e-22,0.0024393115802153024,0.11111111111111112,0.0,0.007178893980569878,0.22222222222222193,0.22222222222222116,0.22222222222222224,0.22222222222222018,7.917547857825962e-55,6.756085460278321e-44,4.544258721153675e-112,3.1325980581346475e-142,5.248505157008837e-16,3.7951503909951604e-22,6.89582390313059e-24,2.057475556393652e-15,1.100038686675329e-15,8.775901810988416e-18,4.1760144034879505e-45,1.822524335932071e-38,1.8225243358533685e-38,3.4801745165110693e-59,5.075172562282872e-70,3.413689524473163e-92,2.3224226054646697e-81,9.232601683481456e-115,9.586784510322786e-177,6.560631360065476e-17
1.3738409195645548e-21,0.0024393115802153024,0.11111111111111112,0.0,0.007178893980566118,0.2222222222222216,0.22222222222222004,0.22222222222222224,0.22222222222221813,1.5841974558273766e-54,1.3518040673345628e-43,1.4760534441302346e-110,4.0647242814051e-140,1.0501570266362206e-15,7.593598045574068e-22,1.379763896515954e-23,4.116738667519379e-15,2.2010330976649398e-15,1.7559428209276556e-17,3.344198419496611e-44,7.294846979619804e-38,7.294846978989548e-38,1.392976753993269e-58,2.1034463936506821e-69,2.771349325876497e-91,1.8598216525487356e-80,2.9588579294510506e-113,2.487851418576129e-174,1.312696266049119e-16
2.7482783831671313e-21,0.0024393115802153024,0.11111111111111112,0.0,0.007178893980558598,0.22222222222222093,0.22222222222221785,0.2222222222222222,0.22222222222221402,3.169082795916913e-54,2.7041951099479854e-43,4.911933069396043e-109,5.3649951985306065e-138,2.10077004850469e-15,1.5190493354715965e-21,2.760126908918844e-23,8.235264889614964e-15,4.403021919641718e-15,3.512648100108361e-17,2.6767141563695034e-43,2.9188889899872003e-37,2.9188889894827398e-37,5.573721503678754e-58,1.072386249284194e-68,2.306838085100262e-90,1.4886111182002678e-79,9.475454602076224e-112,6.566959571577985e-172,2.625962526132846e-16
5.497153310372285e-21,0.0024393115802153024,0.11111111111111112,0.0,0.007178893980543558,0.22222222222221963,0.22222222222221344,0.22222222222222218,0.22222222222220578,6.338853476095892e-54,5.408977195174699e-43,1.991915330120906e-107,8.129544820634844e-136,4.201996092232813e-15,3.0384283972936098e-21,5.520852933713025e-23,1.6472317333182662e-14,8.806999563585499e-15,7.026058656562078e-17,2.1419136258224267e-42,1.1677456628856623e-36,1.1677456624819916e-36,2.2298518210123442e-57,1.1676259390691615e-67,2.3514489932697122e-89,1.1911904877548745e-78,3.0333406970787975e-110,1.9892021422037136e-169,5.252495046294634e-16
1.0994903164782591e-20,0.0024393115802153024,0.11111111111111112,0.0,0.007178893980513478,0.222222222222217,0.22222222222220464,0.2222222222222221,0.2222222222221893,1.2678394836453475e-53,1.0818541365628e-42,2.447849357547604e-105,3.125832079931324e-133,8.40444817965379e-15,6.077186520912169e-21,1.104230498325499e-22,3.294642221782415e-14,1.761495485143396e-14,1.4052879761838737e-16,1.713747847423832e-41,4.671362813921769e-36,4.671362810691995e-36,8.920139289666596e-57,2.8310196209011825e-66,7.346170516579999e-88,9.53073043946427e-78,9.711162922905422e-109,1.5266464353347668e-166,1.0505560086595555e-15
2.1990402873603203e-20,0.0024393115802153024,0.11111111111111112,0.0,0.007178893980453318,0.22222222222221175,0.22222222222218702,0.22222222222222196,0.22222222222215635,2.5357477557167237e-53,2.1637669706540318e-42,9.83710237503728e-103,4.545056865460724e-130,1.680935235435468e-14,1.2154702768047424e-20,2.208520908215332e-22,6.589463197713156e-14,3.5230865426974493e-14,2.810652194186895e-16,1.3710850619261302e-40,1.868621161971992e-35,1.868621159388009e-35,3.5682118978784716e-56,8.697683666963549e-65,7.422294577624072e-86,7.625067023766416e-77,3.121157961902753e-107,4.4353245268054546e-163,2.101169016710676e-15
4.398140229124443e-20,0.0024393115802153024,0.11111111111111112,0.0,0.0071788939803329975,0.22222222222220123,0.2222222222221518,0.22222222222222168,0.22222222222209045,5.071564299859237e-53,4.32759263884878e-42,4.936786128997612e-100,9.039269850159633e-127,3.361916070319218e-14,2.4309735261910474e-20,4.417101727920764e-22,1.31791051455844e-13,7.046268657742998e-14,5.621380617983698e-16,1.0969027641688684e-39,7.474636733163628e-35,7.474636712491111e-35,1.427332398791576e-55,2.768891913090159e-63,9.31676671745745e-84,6.100246738222169e-76,1.0666912875822205e-105,1.7640428311236617e-159,4.202395032776665e-15
8.796340112652689e-20,0.0024393115802153024,0.11111111111111112,0.0,0.007178893980092357,0.22222222222218022,0.22222222222208132,0.22222222222222113,0.22222222222195867,1.014319738815357e-52,8.655243975447356e-42,2.5236332940222227e-97,1.8470675631351443e-123,6.723877739861011e-14,4.861980024800674e-20,8.834263367034684e-22,2.635838902536596e-13,1.4092632887583863e-13,1.1242837416740345e-15,8.77536097356095e-39,2.9898851184007998e-34,2.9898851018625246e-34,5.709693410773673e-55,8.854862351824945e-62,1.1906936995479894e-81,4.880274710634492e-75,6.887465054050043e-104,7.209175953175919e-156,8.404847064763632e-15
1.7592739879709179e-19,0.0024393115802153024,0.11111111111111112,0.0,0.007178893979611075,0.2222222222221382,0.2222222222219404,0.22222222222222,0.22222222222169508,2.0286463565107836e-52,1.731054665203978e-41,1.2919336888113016e-94,3.782139141425924e-120,1.3447801078041769e-13,9.723993021367989e-20,1.7668586644074744e-21,5.271695672108534e-13,2.818536134626466e-13,2.2485750818905794e-15,7.020344322683368e-38,1.195960138662057e-33,1.1959601254313325e-33,2.2843846576731457e-54,2.833357095166463e-60,1.5238906499476448e-79,3.904250811292201e-74,1.999021272655449e-101,2.9523654852932408e-152,1.680975112815752e-14
3.518553941382216e-19,0.0024393115802153024,0.11111111111111112,0.0,0.0071788939786485125,0.22222222222205415,0.22222222222165855,0.22222222222221774,0.22222222222116791,4.0572995930986835e-52,3.4621152059749276e-41,6.614635885911097e-92,7.745750889837925e-117,2.6895647750791956e-13,1.9448019011894878e-19,3.533723319340376e-21,1.0543409185714914e-12,5.637081825962255e-13,4.497157684184535e-15,5.616297674688223e-37,4.7838527872595316e-33,4.7838526814133176e-33,9.145544654027658e-54,9.066702864245277e-59,1.950558130110233e-77,3.1234132536866754e-73,9.746218542230783e-99,1.2092779144365713e-148,3.3619559252625116e-14
